special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
97_4018,97,4018,草业科学,四年,农学学士,本科(普通),农学,草学类,<p>培养具有草业科学基本理论、基本知识和基本技能，可在高等院校、科研机构、政府部门、企事业单位等从事天然草地规划与利用、生态旅游、自然保护区建设、农区草业、城市园林规划与设计、草坪绿地与运动场建植与养护，以及草畜产品加工和草原保护等方面的教学、科研、开发、生产、规划等工作，具有较宽领域和较强适应能力的专门人才。</p>
97_4011,97,4011,历史学,四年,历史学学士,本科(普通),历史学,历史学类,<p>一、专业简介</p><p></p><p>历史学，是研究事物发生发展历程、经验和智慧的学科。历史学专业，包括中国史、世界史、考古学等一级学科。主要让学生掌握历史科学的基本理论和基本知识，全面、客观地了解中国历史和世界历史发展的基本史实，进行史学教育、史学研究、史学著述以及文化遗产保护等多方面素养的基本训练，使之具有从事相关专业工作所需的基本能力。</p><p></p><p>兰州大学历史学专业，创始于1932年甘肃学院文史系，1946年兰州大学历史学系正式成立，著名国学大师顾颉刚教授担任首届系主任，著名史学家张舜徽、史念海、杨向奎、王树民等先后在系内执教。解放后，在该系执教的著名教授有赵俪生、张孟伦、李天祜、汤季芳等。经过历代学者们的不断努力，该专业具有良好的教学传统和很高的学术声誉，逐步奠定了在全国综合性重点高校历史学专业的发展地位。该专业已陆续培养出了大量优秀人才。暨南大学副校长、博士生导师纪宗安教授，清华大学历史系教授、博士生导师秦晖，全国劳动模范、读者出版集团有限公司副董事长彭长城，著名实业家王瑞琴女士等，就是我校历史学毕业生中的典型代表。</p><p></p><p>目前本专业已形成“本科—硕士—博士—博士后流动站”完整的专业人才培养体系。目前教师队伍结构合理，教研业绩突出，其中有国家级教学名师、国家社科基金评审专家、全国教育系统职业道德建设标兵等。本科生与研究生的培养已形成重视基础理论、基础知识、基本技能教育和稳步提升科学研究水平的良好传统。以“赵俪生奖学金”、“跬步计划”等为激励平台，以《史学纵横》、《九色鹿》、《清声》等院内刊物营造学术氛围，引导和鼓励学生进行科学研究，并先后出版了《晓龙集萃》、《萃英论史》、《史学论丛》等本科生学术研究论文集。近年来，学生在学术探索方面取得了喜人的成绩：自第一届全国历史学基地“史学新秀奖”评选活动开展以来，本科生论文每届评选均有获奖；博士论文陆续有入选全国百篇优秀博士论文和获得全国百篇优秀博士论文提名者。在刻苦钻研、努力探索的优良学风推动下，本科生的考研率、就业率逐年稳步上升。</p><p></p><p>目前已拥有中国史、考古学硕士学位授权一级学科，中国史博士学位授权一级学科，历史文献学、专门史博士点，中国史博士后流动站等，现有一个国家重点学科、一个教育部人文社会科学重点研究基地等。从1990年代至今，我校历史学专业陆续被确立为国家文科人才培养与科学研究历史学基地、教育部高等学校特色专业建设点、 教育部人才培养模式创新实验区，在全国21个历史学基地建设评估中被评为优秀基地。</p><p></p><p>二、专业的人才培养定位与目标</p><p></p><p>历史学专业，主要为有关的教学、科研、编辑出版、图书情报、行政、外事、媒体以及文化建设等社会各领域，培养所需的高水平历史文化专业人才。</p>
97_350033,97,350033,生物技术,四年,理学学士,本科(普通),理学,生物科学类,"<p>    培养目标：本专业培养具备较强的数理化基础，具有国际化视野，接受严格科学思维、专业理
论和专业技能的训练，掌握生物科学与技术的基础理论、基本知识和基本技能，并能运用所掌握
的理论知识和技能在教学、科研、生物技术产业及其相关领域从事科学研究、技术开发、人才培养
及管理等方面工作的复合型人才。
</p><p>    培养要求：本专业学生主要学习数理化基础、生物学及相关方向的基本知识和理论，接受生
物技术基础研究和应用基础研究方面的科学思维培养和基本技能训练，掌握扎实的科学理论基
础知识，具有生物技术研发能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的职业道德、高度社会责任感和丰富的人文科学素养；
</p><p>    2．掌握生物学的基础理论及基本知识，具有扎实的数学、物理、化学的学科基础、具有计算
机及信息科学和人文社会科学等方面的基本素质；
</p><p>    3．掌握细胞工程、基因工程、发酵工程、蛋白质工程以及生化与分子生物学等基本技术；
</p><p>    4．具有综合运用所掌握的理论知识和技能，从事生物技术及其相关领域产品研发的能力，
以及开展创新实验的初步能力；
</p><p>    5．熟悉生物技术及其产业的相关方针、政策和法规；
</p><p>    6．了解生物技术的发展历史、现状、国内外研究前沿和最新技术动态，以及行业发展趋势；
</p><p>    7．具有初步的科学研究和实际工作能力，具有一定的批判性思维能力，具有适应社会需求、
继续深造的潜能，以及应对危机与突发事件的初步能力；
</p><p>    8．具有一定的国际视野和初步的交流、竞争与合作能力。
</p><p>    主干学科：生物学、医学、农学。
</p><p>    核心知识领域：生命的化学分子基础，细胞的结构、功能与重大生命活动，生物体的结构与功
能及生物多样性，微生物的特征与代谢，生物的遗传与进化，生物与环境，生物技术的原理与
应用。
</p><p>    核心课程示例（以下课程按每16学时折合1学分）：
</p><p>    示例一：普通生物学（理论课48学时，实验课16学时）、微生物学（理论课48学时，实验
课16学时）、生物化学（理论课64学时，实验课32学时）、分子生物学（48学时）、细胞生物学
（理论课48学时，实验课16学时）、遗传学及实验（理论课48学时，实验课16学时）、生物统
计与实验设计（理论课16学时，实验课16学时）、发育生物学（理论课48学时，实验课16学
时）等。
</p><p>    示例二：生物化学（理论课80学时，实验课24学时）、微生物生物学（理论课72学时，实验
课24学时）、细胞生物学（理论课56学时，实验课16学时）、遗传学（理论课72学时，实验课24
学时）、分子生物学（48学时）、分子克隆技术（32学时）、基因操作原理（56学时）等。
</p><p>    示例三：生物化学（理论课48学时，实验课64学时）、微生物学（理论课48学时，实验课32
学时）、分子生物学与基因工程（理论课48学时，实验课32学时）、细胞生物学与细胞工程（理论
课48学时，实验课32学时）、发酵与酶工程（理论课48学时，实验课32学时）、海洋生物活性物
质营养与分析（理论课48学时，实验课32学时）等。
</p><p>    主要实践性教学环节：生产实习、综合实践、毕业论文等。
</p><p>    主要专业实验：普通生物学实验（或动物生物学和植物生物学实验）、生物化学与分子生物
学实验、细胞生物学实验、微生物学及发酵工程实验、遗传学实验、基因工程实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士或工学学士。
</p>"
97_4020,97,4020,大气科学,四年,理学学士,本科(普通),理学,大气科学类,<p>大气科学的研究对象是地球大气及其与地球系统其他圈层以及人类活动之间的相互作用。揭示发生在大气中的物理、化学现象和过程、大气运动和变化规律及其相伴随的天气和气候的形成和变化规律是大气科学的重要任务。数学、物理学、化学以及计算和信息技术等学科是大气科学的学科基础。大气科学在环境科学、海洋科学、人类活动及日常生活等方面均有着广泛应用。</p><p></p><p>        大气科学基地班（中国气象局与兰州大学联合共建人才培养和科学研究基地）：以精英教育为宗旨，培养具有坚实的数学、物理、计算机基础，掌握大气科学、应用气象学基础理论和技能的优秀本科人才，为大气科学各专业及相关学科高层次人才培养输送优秀的研究生生源。</p><p></p><p>        大气科学专业国防生是由中国人民解放军依托普通高校从参加全国高校统一招生考试的应届考生中招收培养的本科生。招收大气科学专业国防生旨在培养造就既具有地方大学生基础扎实、知识面宽、创新能力强等特点，又具备军人意志坚强、忠于职守、令行禁止的高素质新型专业技术军官和指挥军官。国防生在校期间，除参加军政训练等活动外，在管理上，与其他在校生相同；在学业上，与本专业其他在校生课程内容基本一致。培养国防生是国家依托普通高等教育资源支持国防建设的重大举措，是新时期我军实施科技强军战略，是加强军队干部队伍建设的有效途径和实际步骤。目前，国防生已经成为我军军官的重要培养渠道。</p>
97_350021,97,350021,行政管理,四年,管理学学士,本科(普通),管理学,公共管理类,"<p>    培养目标：本专业培养具有一定马克思主义理论素养和现代公共精神，掌握行政管理领域的
基础理论知识和专业技能，能在党政机关、企事业单位、社会团体从事管理工作以及科研工作的
复合型人才。
</p><p>    培养要求：本专业学生应系统学习马克思列宁主义、毛泽东思想、中国特色社会主义理论体
系，掌握行政管理学、管理学、政治学、经济学、法学等基础理论和专业知识，培养逻辑思维能力、
领导决策能力、组织协调能力、沟通交流能力、语言表达与写作能力，掌握社会调查分析、现代信
息技术和管理操作技术等基本技能。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握行政管理学、管理学、政治学、经济学、法学等相关领域的基础理论和基础知识；
</p><p>    2．具有较强的学习意识和创新精神，具备获取、更新和应用知识和信息的能力；
</p><p>    3．掌握文献检索、资料查询的基本方法，具备数据收集、处理和统计分析的基本能力；
</p><p>    4．具有科学的思维方式、良好的逻辑思维能力、较强的语言表达和写作能力；
</p><p>    5．掌握领导决策、组织协调、沟通交流等方面的系统知识和基本能力；
</p><p>    6．掌握和运用现代化信息技术手段，具有较强的信息技术应用能力；
</p><p>    7．熟悉我国有关法律法规、方针政策和制度；
</p><p>    8．了解学科发展动态和理论前沿。
</p><p>    主干学科：公共管理、政治学。
</p><p>    核心课程：政治学原理、管理学原理、公共管理学（行政管理学）、法学概论（宪法与行政法）、
公共经济学（政府经济学）、公共政策学、行政组织学、公共部门人力资源管理等。
</p><p>    主要实践性教学环节：社会调查、机关或企事业单位实习、毕业论文等。
</p><p>    主要专业实验：电子政务实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：管理学学士。
</p>"
97_350034,97,350034,生物科学,四年,理学学士,本科(普通),理学,生物科学类,"<p>    培养目标：本专业培养具备生物学基础理论、基本知识和基本技能，具有数理化基础、人文社
科素质、国际化视野和科学思维能力，接受专业理论和专业技能训练，并能运用所掌握的理论知
识和技能在生物学及相关领域从事科学研究、技术开发、教学及管理等方面工作的创新型人才。
</p><p>    培养要求：本专业学生主要学习数理化基础、生物学基本理论和基本知识以及人文社科知
识，接受专业技能和科学研究方面的基本训练，具备科学思维和国际化视野，掌握从事生物学及
相关领域基础科学研究及应用技术开发的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的职业道德、高度社会责任感和丰富的人文科学素养；
</p><p>    2．掌握生物学的基础理论及基本知识，具有扎实的数学、物理、化学的学科基础，具有计算
机及信息科学和人文社会科学等方面的基本素质；
</p><p>    3．掌握群体、个体、细胞和分子等生物学不同层次的分析方法与实验技术；
</p><p>    4．具有从事生物学相关领域研究、教学和管理的初步能力；
</p><p>    5．熟悉生物学及其发展规划的相关方针、政策和法规；
</p><p>    6．了解国内外的生物学理论前沿和应用前景；
</p><p>    7．具有初步的科学研究和实际工作能力，具有一定的批判性思维能力，具有适应社会需求、
继续深造的潜能，以及应对危机与突发事件的初步能力；
</p><p>    8．具有一定的国际视野和初步的交流、竞争与合作能力。
</p><p>    主干学科：生物学、医学、农学。
</p><p>    核心知识领域：生命的化学分子基础、细胞的结构与功能及其重要生命活动、动物体的结构
与功能、植物体的结构与功能、微生物的特征与代谢、生物多样性与进化、生物与环境。
</p><p>    核心课程示例（以下课程按每16学时折合1学分）：
</p><p>    示例一：动物生物学（理论课48学时，实验课48学时）、植物生物学（理论课48学时，实验
课48学时）、生物化学（理论课80学时，实验课48学时）、细胞生物学（理论课48学时，实验课
48学时）、遗传学（理论课48学时，实验课48学时）、微生物学（理论课48学时，实验课48学
时）、分子生物学（32学时）等。
</p><p>    示例二：动物生物学（理论课64学时，实验课32学时）、植物生物学（理论课48学时，实验
课32学时）、生物化学（理论课80学时，实验课32学时）、细胞生物学（理论课48学时，实验课
32学时）、遗传学（理论课48学时，实验课32学时）、微生物学（理论课48学时，实验课32学
时）、生态学（理论课48学时，实验课32学时）、分子生物学（32学时）等。
</p><p>    示例三：植物生物学（理论课64学时，实验课64学时）、动物生物学（理论课64学时，实验
课64学时）、生物化学（理论课64学时，实验课32学时）、微生物学（理论课48学时，实验课32
学时）、遗传学（理论课48学时，实验课32学时）、细胞生物学（理论课32学时，实验课16学
时）、分子生物学（理论课32学时，实验课16学时）等。
</p><p>    主要实践性教学环节：野外综合实习、综合实践及毕业论文、学术与科技活动等。
</p><p>    主要专业实验：植物生物学实验和动物生物学实验（或普通生物学实验）、微生物学实验、生
物化学与分子生物学实验、细胞生物学实验、遗传学实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
97_350036,97,350036,材料化学,四年,工学学士,本科(普通),工学,材料类,"<p>    培养目标：本专业培养具备材料化学等方面的知识与技能，能在材料科学与工程及其相关领
域从事科研、教学、开发及相关管理工作的材料学科创新型人才。
</p><p>    培养要求：本专业学生主要学习材料与化学等方面的基本理论、基本知识和基本技能，接受
科学思维与科学实验方面的基本训练，具备运用化学和材料的基本理论、基本知识和实验技能进
行材料研究和技术开发的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握材料学科及相关数学、物理、化学等学科的基本理论和基本知识；
</p><p>    2．掌握材料合成（或制备）和材料结构与性能测定等方面的基础知识、基本原理和基本
技能；
</p><p>    3．掌握运用现代信息技术获取专业相关信息的基本方法；具有一定的设计实验，创造实验
条件，归纳、整理、分析实验结果，撰写论文，并参与学术交流的能力；
</p><p>    4．熟悉国家关于材料科学与工程研究、科技开发及相关产业的政策，国内外知识产权等方
面的法律法规；
</p><p>    5．了解材料化学的理论前沿、应用前景和最新发展动态，以及材料科学与工程产业的发展
状况；
</p><p>    6．具有一定的科学研究和实际工作能力，具有一定的批判性思维能力。
</p><p>    主干学科：材料科学与工程、化学。
</p><p>    核心知识领域：无机化学、有机化学、分析化学、物理化学、化工原理、材料科学基础、材料化
学、结构化学、近代分析测试技术、合成技术与方法。
</p><p>    主要实践性教学环节：专业实验、课程设计、教学实习、生产实习、社会实践、科技训练、毕业
论文（设计）等。
</p><p>    主要专业实验：无机化学实验、有机化学实验、分析化学实验、物理化学实验、化工原理实验、
材料化学专业实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士或理学学士。
</p>"
97_350039,97,350039,物理学,四年,理学学士,本科(普通),理学,物理学类,"<p>    培养目标：本专业主要培养从事物理学及相关前沿学科教学和研究的专业人才，同时也培养
能将物理学应用于技术和社会各个领域的复合型人才。经过学习和训练，本专业学生应具备在
物理学及相关学科进一步深造的基础，能达到毕业后从事研究、教学、技术应用和管理等方面工
作的要求。
</p><p>    培养要求：本专业学生主要学习物理学的基本知识与原理，接受科学思维和物理学研究方法
的训练，具有科学精神、科学素养、科学作风和创新意识，具备一定的独立获取知识的能力、实践
能力和研究能力。
</p><p>    毕业生应获得以下几方面知识和能力：
</p><p>    1．具有职业道德和爱国敬业精神；
</p><p>    2．具有科学的世界观，比较系统扎实地掌握物理学的基本理论和基本实验方法，具备本专
业所需的数学基础知识，具备职业安全意识；
</p><p>    3．掌握外语、计算机及信息技术等方面的知识，掌握人文社会科学知识以及其他自然科学
和相关工程技术的初步知识；
</p><p>    4．具有独立获取知识和应用知识的能力，具有书面和口头表达能力、应用外语的交流能力
以及向社会公众传播科学普及知识的能力；具有一定的国际视野和跨文化环境下的交流能力；
</p><p>    5．具有创造性思维、独立思考及批判性思维能力，具有初步的科学研究能力和一定的科技
开发能力；
</p><p>    6．了解国家科学技术、知识产权等有关政策和法规；
</p><p>    7．对近代物理学和物理学的新发展在高技术和生产中的应用，以及与物理学相关学科和技
术的新发展有所了解。
</p><p>    主干学科：物理学。
</p><p>    核心知识领域：机械运动现象与规律、热运动现象与规律、电磁和光现象与规律、物质微观结
构和量子现象与规律、凝聚态物质结构及性质、时空结构、物理学中的数学方法。
</p><p>    核心课程示例：
</p><p>    示例一：力学（68学时）、热学（51学时）、电磁学（51学时）、光学（51学时）、近代物理（51学
时）、原子核物理（68学时）、理论力学（51学时）、电动力学（51学时）、热力学与统计物理学(51
学时)、量子力学（68学时）、固体物理学（85学时）、数学物理方法（68学时）。
</p><p>    示例二：力学（54学时）、热学（54学时）、电磁学（72学时）、光学（72学时）、原子物理学(54
学时)、数学物理方法（72学时）、理论力学（72学时）、热力学与统计物理（72学时）、电动力学
（72学时）、量子力学（72学时）、固体物理学（72学时）、半导体物理与器件（72学时）。
</p><p>    示例三：力学（64学时）、热学（56学时）、电磁学（64学时）、光学（64学时）、原子物理学(56
学时)、数学物理方法（72学时）、理论力学（64学时）、热力学与统计物理学（64学时）、电动力学
（64学时）、量子力学（72学时）、计算物理基础（32学时）、固体物理学（56学时）。
</p><p>    主要实践性教学环节：研究性训练、大学生创新训练、毕业论文（毕业设计）等。
</p><p>    主要专业实验：普通物理实验、近代物理实验、专业方向实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
97_4028,97,4028,理论与应用力学,四年,工学学士,本科(普通),工学,力学类,<p>一、专业介绍</p><p></p><p>我院理论与应用力学专业为甘肃基础科学研究和教学人才培养基地，国家质量工程的特色专业建设点，2012年在武汉大学全国高校学科排序列中为该专业第一位。培养具有扎实数理基础，掌握力学基本理论、知识和技能，能充分利用计算机对工程中的力学问题开展分析计算、设计和应用研究，也可在新兴学科、交叉学科具有相当竞争能力的专门人才，适于在工程领域、研究单位和高校从事相关工作。力学是一门应用性与交叉性强的应用基础学科，是连接工程科学（如土木建筑、机械、桥梁、铁路、化工机械、航空航天、造船、武器装备和仪器仪表等）与基础科学研究的桥梁与纽带。</p><p></p><p>本学科拥有力学一级学科博（硕）士学位授权点，力学一级学科博士后科研流动站，固体力学国家重点学科，力学一级学科省级重点学科，设有“长江学者奖励计划”特聘教授岗位，国家创新研究群体。拥有中科院院士、国家杰出青年科学基金获得者、长江学者特聘教授、国家教学名师、教育部新世纪人才等高水平教授队伍。在培养出的高水平人才中，毕业生3人当选为院士、3位国家杰青、2位国家创新研究群体负责人、2位长江学者特聘教授、2位分获国家授予的“做出有突出贡献的中国博士学位获得者”和全国优秀博士论文奖。获国家教学成果二等奖1项，国家自然科学二等奖1项和国家科技进步二等奖1项。</p><p></p><p>本专业围绕力学科学研究与工程应用所需要的知识体系设置其课程，主要课程有：高等数学、线性代数、微分方程、理论力学、材料力学、结构力学、弹性力学、流体力学、实验力学、计算力学、计算程序与操作、力学与工程概论、工程制图与CAD、大型工程软件应用等。毕业生可到厂矿企业、事业单位、技术和行政部门从事科技开发、应用研究、生产技术和管理工作，也适宜到科研部门、高等学校和中等专业学校从事科学研究与教学工作，优良者可继续攻读力学及与力学相关的工程学科、交叉领域等学科的高层次硕（博）士学位。</p><p></p><p>二、 专业的人才培养定位与目标</p><p></p><p>本专业培养德，智，体全面发展，具有良好数理基础，掌握力学基本理论、基本知识和基本技能，能充分利用计算机进行工程力学和结构计算及计算机辅助设计的专门人才。</p><p></p><p>通过力学科研研究与工程应用所需基础知识在本阶段的系统训练，使学生对科学研究各环节有基本的认识和了解，包括从大量实际问题中观察、发现与提出科学问题的能力和运用现有科学技术手段开展探索性研究的解决途径等，经本专业学习后学生将初步具有提出问题、分析问题和解决问题的能力，并使学生具备基本的科学研究激情与从事力学专业相关职业的热情。毕业学生适宜到厂矿企业，事业单位，技术和行政部门从事科技开发，应用研究，生产技术和管理工作；适宜到科研部门，高等和中等学校从事科学研究和教学工作；可以继续攻读力学及与力学相关的工程学科，交叉学科的硕士学位；在当今高等教育国际化进程中，本专业积极发挥大学国际文化交流的职能和作用，开展与国际知名学府合作培养，并开展双语教学，以促进本专业的进一步发展。</p><p></p><p>三、 专业的基本要求</p><p></p><p>(一)思想政治和德育方面</p><p></p><p>1.热爱社会主义祖国，拥护中国共产党的领导，努力学习马列主义，毛泽东思想和邓小平理论，按照三个代表精神，逐步树立辩证唯物主义和历史唯物主义的世界观。</p><p></p><p>2.积极参加社会实践，受到必要的军事训练，走与工农群众，生产劳动相结合的道路，有为国家富强，民族昌盛而奋斗的志向和责任感，愿为社会主义现代化建设服务，为人民服务。</p><p></p><p>3.热爱科技事业，培养良好学风，理论联系实际，具有艰苦求实，善于合作和勇于创新的科学精神。</p><p></p><p>(二)业务方面</p><p></p><p>1.较系统扎实地掌握力学的基本理论、基本知识和基本方法，掌握力学的基本实验技能和实验分析方法，受到比较严格的科学思维训练。具备开展力学科学研究的正确思维方法、科学精神与激情。</p><p></p><p>2.掌握本专业所必需的数学与物理基本理论和基本知识；有较强的科学观察、分析和推演能力。</p><p></p><p>3.能够比较熟练地运用计算机进行工程和科学计算；具有计算机辅助设计的初步能力。</p><p></p><p>4.掌握一定的工程背景知识和力学建模方法，对本专业范围内科学技术的新发展有所了解；具有获得现有知识与知识自我扩展的基本能力，具有创新精神，具有解决实际问题和从事科学研究的初步基础。</p><p></p><p>5.初步掌握一门外语，能阅读本专业的外文书刊，熟悉文献检索和其他获取科技信息的方法。</p><p></p><p>(三)体育方面</p><p></p><p>了解体育的基本知识。掌握科学锻炼身体的基本技能，达到国家规定的大学生体育合格的标准。</p><p></p><p>培养良好的体育锻炼和卫生习惯，身心健康。</p><p></p><p>四、学制与学分</p><p></p><p>（一）学制：四年。学校实行弹性学制，允许学生分阶段完成学业。但具有学籍的时间最长不超过八年，累计修业时间不超过六年。</p><p></p><p>（二） 学分：总学分不低于155，其中必修课94学分，选修课23学分（其中通识选修课10学分），专业实践教学环节38学分（毕业论文或毕业设计8学分，其他教学活动实践环节: 28学分，创新创业教育课程2学分）创新实践学分分配细则见后。</p><p></p><p>（三）学位: 完成本专业学业，并符合学校有关学位授予规定者，授予兰州大学理学学士学位。</p><p></p><p>五、专业主干课程、特色课程和精品课程</p><p></p><p>（一）主干课程：理论力学、材料力学、弹性力学、实验力学、流体力学、计算力学、力学与工程概论，线性代数</p><p></p><p>（二）特色和精品课程：理论力学、弹性力学，计算力学</p>
97_4038,97,4038,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,"<p>兰州大学数学与应用数学专业于1998年根据教育部颁布的本科专业修订目录设立，由原基础数学和应用数学专业发展而来，2008年成为教育部批准的高等学校特色专业建设点，目前包括运筹与控制方向、概率统计方向和金融工程方向在内。经过多年的努力，本专业在学科建设、师资队伍建设等方面均取得了显著成绩,拥有从学士、硕士、博士到博士后的完整人才培养体系，在科研方面具有突出的特点和专业优势，具有一支治学严谨、研究领域广泛、实力雄厚的师资队伍。</p><p>      本专业既注重学生的数学素质训练，又注重学生实践能力的培养，既突出数学优势，也强调应用技能，目的是培养具备扎实的数学基础，能熟练运用计算机处理分析数据，具有创新思维与创新能力，能够适应日益激烈的国际化竞争要求，满足比较广泛的社会需要的专门数学人才。</p><p>      本专业学生主要学习数学和应用数学的基础理论、基本方法，接受数学建模、计算机应用和软件开发等方面的培养。</p>"
