special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
32_1801756,32,1801756,纪检监察,四年,法学学士,本科(普通),法学,法学类,内蒙古大学纪检监察专业于2021年经教育部批准为新增本科专业，2022年正式开始招生。该专业在内蒙古自治区党委、政府以及自治区纪委监委的大力支持下，坚持以习近平新时代中国特色社会主义思想为指导，以纪检监察理论、制度及实践为基本研究对象，依托法学学科并综合政治学、马克思主义理论、行政管理学等学科，为集中统一、权威高效的中国特色纪检监察体制培养专门人才。</br>纪检监察专业全面贯彻党的教育方针，秉承“求真务实”校训，立足北疆，面向全国，放眼世界，立德树人，致力于培养既熟悉法学专业基础知识，又具备纪检监察理论知识和实践能力，忠诚于党、忠诚于纪检监察事业，政治过硬、本领高强，具有法治意识、责任意识，德才兼备、高素质的复合型、职业型、创新型专门人才，为全面推进新时代纪检监察工作提供有力的人才智力保障。</br>纪检监察专业紧紧把握新时代纪检监察专门人才培养目标，以能力培养为核心，调整优化课程内容结构，建立起全面涵盖通识教育课、专业基础课、专业核心课、专业方向课以及实践教学环节的专业课程体系设置，特别是开设了纪检监察文书写作、纪检监察谈话实务、纪检监察问题线索处置实务等实务类课程，由专任教师与校外实务专家共同授课，着重培养学生从事纪检监察工作的能力和素养。</br>纪检监察专业通过引进和培养相结合，建立起一支年龄结构合理、知识结构完整、专业背景丰富、政治素质过硬，具有较高教学科研水平的师资队伍。现有专任教师31人，其中教授7人，副教授15人，讲师9人，具有博士学位的教师27人。</br>纪检监察专业立足于内蒙古大学监察官培训学院、内蒙古自治区廉政研究中心、内蒙古大学党内法规研究教育中心等平台，积极与纪检监察实务部门建立联系，充分利用协同育人机制，设立了多个符合教学要求的校外实践教学基地，为纪检监察人才培养、科学研究和教学实践提供了基本保障与重要支撑。</br>
32_183,32,183,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,"<p>    培养目标：本专业培养具备数理基础和人文社科知识，掌握测绘工程基础理论、基本知识和
基本技能，接受科学思维和工程实践训练，具有创新意识与创业能力，能在测绘、规划、国土资源、
矿山、交通、水利、电力等部门从事测绘工程技术及相关领域的生产、设计、开发、研究、教学及管
理等方面工作的高素质、复合型工程科技人才。
</p><p>    培养要求：本专业学生主要学习人文社科、数理基础、测绘科学与技术、计算机与通信技术等
方面的基本理论和基本知识，接受测绘项目设计、技术开发、工程应用与管理等方面的基本训练，
具有运用所学知识从事测绘工程实践及技术创新的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的工程职业道德、强烈的爱国敬业精神、社会责任感和丰富的人文科学素养；
</p><p>    2．具有从事测绘工程专业工作所需的数学、地球科学知识以及一定的工程管理知识；
</p><p>    3．熟悉测绘法律法规和行业规范，具有良好的质量、环境、职业健康、安全和服务意识；
</p><p>    4．掌握扎实的测绘学科基本理论和系统的专业知识，具有较强的测绘数据分析能力，具有
从事测绘生产的专业技能，了解测绘科学与技术的理论前沿、技术发展动态和行业需求；
</p><p>    5．具有综合运用所学测绘工程专业的理论进行项目方案设计和工程实施及解决工程实际
问题的能力；
</p><p>    6．具有信息获取和职业发展学习的能力，具有较强的创新意识和进行测绘工程软硬件系统
的集成开发和设计、技术改造与创新的初步能力；
</p><p>    7．具有较好的组织管理能力、较强的交流沟通、环境适应和团队合作的能力，具有应对危机
与突发事件的初步能力；
</p><p>    8．具有一定的国际视野和跨文化环境下的交流、竞争与合作的初步能力。
</p><p>    9．具有相关领域的创业能力。
</p><p>    主干学科：测绘科学与技术、地理科学、地球物理学。
</p><p>    核心知识领域：本专业的知识体系由通识教育、专业教育和综合教育3部分构成。通识教育
包含人文社会科学、自然科学、管理科学、外语、计算机信息技术、体育和实践训练等；专业教育包
含专业基础、专业理论知识、专业实验与实践训练等，涵盖地球空间信息采集技术、数据处理理论
和方法、测绘信息表达与应用、计算机网络与信息系统、大地测量学与导航定位、工程与工业测
量、摄影测量与遥感、地图制图学与地理信息工程等核心知识领域；综合教育包括思想品德教育、
专业实践教育、社情国情教育，通过开展各种学术交流和社会实践活动，拓展学生国际视野，提高
人文素养和专业素质。
</p><p>    核心课程示例：
</p><p>    1．示例一：专业核心课程包括测绘学概论（18学时）、大地测量学基础（54学时）、数字地形
测量学（72学时）、误差理论与测量平差基础（45学时）、地图学基础（45学时）、GPS原理及其应
用（45学时）、遥感原理与应用（45学时）、地理信息系统原理（45学时）、数字图像处理（36学
时）。
</p><p>    (1)大地测量与卫星导航方向：物理大地测量学（45学时）、空间大地测量学（45学时）、地
壳形变（45学时）、GPS测量与数据处理（36学时）、导航学（45学时）；
</p><p>    (2)工程与工业测量方向：摄影测量学（54学时）、工程测量学（54学时）、GPS测量与数据
处理（36学时）、变形监测数据处理（36学时）、工业测量（36学时）；
</p><p>    (3)航天航空测绘方向：摄影测量学（54学时）、遥感物理（36学时）、航空与航天成像技术
（45学时）、数字摄影测量学（45学时）、遥感图像解译（36学时）；
</p><p>    (4)城市空间信息工程方向：城市空间信息学（45学时）、城市灾害应急管理（45学时）、GIS
工程设计与实践（45学时）、城市规划原理（45学时）、网络地理信息系统原理（45学时）、土地资
源管理学（45学时）。
</p><p>    2．示例二：数字测量学（64学时）、地图学基础（48学时）、误差理论与测量平差基础（56学
时）、大地测量基础（56学时）、数据结构与测绘软件开发（48学时）、计算机地图制图（48学时）、
卫星导航与定位技术（40学时）、地理信息系统原理（48学时）、摄影测量基础（40学时）、遥感原
理与应用（40学时）、矿山测量学（48学时）、工程测量学（48学时）、变形与沉陷工程学（48学
时）、土地整治与复垦（32学时）、资源信息学（32学时）。
</p><p>    3．示例三：测绘学导论（16学时）、误差理论与测量平差（64学时）、计算机地图制图（64学
时）、数字测图原理与方法（72学时）、大地测量基础（56学时）、摄影测量基础（48学时）、GPS原
理与应用（56学时）、遥感原理与应用（48学时）、地理信息系统原理（40学时）、测量程序设计
（56学时）、精密测绘仪器原理与使用（48学时）、变形监测与灾害预报（40学时）、数字摄影测量
（56学时）、创新专题设计（16学时）、科技论文写作（16学时）、工程测量学（56学时）、矿山测量
学（56学时）、GPS数据处理（32学时）、地籍测量与土地管理（48学时）。
</p><p>    主要实践性教学环节：集中实习、课程设计、工程实践、综合设计、毕业设计（论文）等。
</p><p>    主要专业实践能力：建立测量控制网和地球坐标系统，地理空间信息采集、处理与应用，测绘
生产技术，项目设计与管理。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
32_105103,32,105103,生物科学,四年,理学学士,本科(普通),理学,生物科学类,"<p>    培养目标：本专业培养具备生物学基础理论、基本知识和基本技能，具有数理化基础、人文社
科素质、国际化视野和科学思维能力，接受专业理论和专业技能训练，并能运用所掌握的理论知
识和技能在生物学及相关领域从事科学研究、技术开发、教学及管理等方面工作的创新型人才。
</p><p>    培养要求：本专业学生主要学习数理化基础、生物学基本理论和基本知识以及人文社科知
识，接受专业技能和科学研究方面的基本训练，具备科学思维和国际化视野，掌握从事生物学及
相关领域基础科学研究及应用技术开发的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的职业道德、高度社会责任感和丰富的人文科学素养；
</p><p>    2．掌握生物学的基础理论及基本知识，具有扎实的数学、物理、化学的学科基础，具有计算
机及信息科学和人文社会科学等方面的基本素质；
</p><p>    3．掌握群体、个体、细胞和分子等生物学不同层次的分析方法与实验技术；
</p><p>    4．具有从事生物学相关领域研究、教学和管理的初步能力；
</p><p>    5．熟悉生物学及其发展规划的相关方针、政策和法规；
</p><p>    6．了解国内外的生物学理论前沿和应用前景；
</p><p>    7．具有初步的科学研究和实际工作能力，具有一定的批判性思维能力，具有适应社会需求、
继续深造的潜能，以及应对危机与突发事件的初步能力；
</p><p>    8．具有一定的国际视野和初步的交流、竞争与合作能力。
</p><p>    主干学科：生物学、医学、农学。
</p><p>    核心知识领域：生命的化学分子基础、细胞的结构与功能及其重要生命活动、动物体的结构
与功能、植物体的结构与功能、微生物的特征与代谢、生物多样性与进化、生物与环境。
</p><p>    核心课程示例（以下课程按每16学时折合1学分）：
</p><p>    示例一：动物生物学（理论课48学时，实验课48学时）、植物生物学（理论课48学时，实验
课48学时）、生物化学（理论课80学时，实验课48学时）、细胞生物学（理论课48学时，实验课
48学时）、遗传学（理论课48学时，实验课48学时）、微生物学（理论课48学时，实验课48学
时）、分子生物学（32学时）等。
</p><p>    示例二：动物生物学（理论课64学时，实验课32学时）、植物生物学（理论课48学时，实验
课32学时）、生物化学（理论课80学时，实验课32学时）、细胞生物学（理论课48学时，实验课
32学时）、遗传学（理论课48学时，实验课32学时）、微生物学（理论课48学时，实验课32学
时）、生态学（理论课48学时，实验课32学时）、分子生物学（32学时）等。
</p><p>    示例三：植物生物学（理论课64学时，实验课64学时）、动物生物学（理论课64学时，实验
课64学时）、生物化学（理论课64学时，实验课32学时）、微生物学（理论课48学时，实验课32
学时）、遗传学（理论课48学时，实验课32学时）、细胞生物学（理论课32学时，实验课16学
时）、分子生物学（理论课32学时，实验课16学时）等。
</p><p>    主要实践性教学环节：野外综合实习、综合实践及毕业论文、学术与科技活动等。
</p><p>    主要专业实验：植物生物学实验和动物生物学实验（或普通生物学实验）、微生物学实验、生
物化学与分子生物学实验、细胞生物学实验、遗传学实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
32_105086,32,105086,中国少数民族语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,"<p>    培养目标：本专业培养具备扎实的少数民族语言文学基础、兼通汉语言文学相关知识，具有
初步的语言文学研究能力，同时具有一定的跨文化交流能力，能在文化、教育、出版、传媒机构以
及政府机关等部门工作，或在周边相通语言国家从事语言文化交流工作的中国语言文学学科复
合型人才。
</p><p>    培养要求：本专业学生主要学习中国少数民族语言文学的基础理论和基本知识，接受人文社
会科学和语言学诸方面的基本训练，掌握汉民族及少数民族跨文化现象的分析方法，掌握创造性
思维以及从事本学科领域科学研究以及综合运用所学知识进行社会实践诸方面的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握汉语言文学及相关少数民族语言文学的基础理论和基本知识；
</p><p>    2．掌握汉民族及少数民族跨文化现象的分析方法；
</p><p>    3．具有语言文字表达，人文知识普及，运用专业知识在本领域发现问题、分析问题、解决问
题的基本能力；
</p><p>    4．熟悉国家在少数民族语言文字及文学创作、传播和研究方面的方针、政策和法规；
</p><p>    5．了解本学科领域的理论前沿及发展动态，具有较宽广的文化视野；
</p><p>    6．具有不断获取新知识的能力以及一定的科学研究和实际工作能力，具有一定的批判性思
维能力。
</p><p>    主干学科：中国语言文学。
</p><p>    核心课程：文学概论、语言学概论、少数民族语言文学（分民族、语族）、现代汉语、中国现代
文学、外国文学、古代汉语、写作。
</p><p>    主要实践性教学环节：教学实习、写作技能训练、汉语言文学及相关少数民族语言文化现象
的研讨等。
</p><p>    修业年限：四年。
</p><p>    授予学位：文学学士。
</p>"
32_223,32,223,物理学,四年,理学学士,本科(普通),理学,物理学类,"<p>    本专业培养掌握物理学的基本理论与方法，具有良好的数学基础和实验技能，能在物理学或相关的科学技术领域中从事科研、教学、技术和相关的管理工作的高级专门人才。<br />
    业务培养要求：本专业学生主要学习物质运动的基本规律，接受运用物理知识和方法进行科学研究和技术开发训练，获得基础研究或应用基础研究的初步训练，具备良好的科学素养和一定的科学研究与应用开发能力。<br />
    毕业生应获得以下几方面的知识和能力：<br />
    1. 掌握数学的基本理论和基本方法，具有较高的数学修养；<br />
    2. 掌握坚实的、系统的物理学基础理论及较广泛的物理学基本知识和基本实验方法，具有一定的基础科学研究能力和应用开发能力；<br />
    3. 了解相近专业的一般原理和知识；<br />
    4. 了解物理学发展的前沿和科学发展的总体趋势；<br />
    5. 了解国家科学技术、知识产权等有关政策和法规；<br />
    6. 掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；具有一定的实验设计，创造实验条件，归纳、整理、分析实验结果，撰写论文，参与学术交流的能力。<br />
    主干学科：物理学。<br />
    主要课程：高等数学、普通物理学、数学物理方法、理论力学、热力学与统计物理、电动力学、量子力学、固体物理学、结构和物性、计算物理学入门等。<br />
    主要实践性教学环节：包括生产实习，科研训练，毕业论文等，一般安排10～20周。<br />
    主要专业实验：普通物理实验、近代物理实验、电子线路实验等。<br />
    修业年限：四年。<br />
    授予学位：理学学士。<br />
    相近专业：应用物理学。</p>
"
32_191,32,191,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"<p>    本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才。<br />
    业务培养要求：本专业学生主要学习计算机科学与技术方面的基本理论和基本知识，接受从事研究与应用计算机的基本训练，具有研究和开发计算机系统的基本能力。<br />
    毕业生应获得以下几方面的知识和能力：<br />
    1. 掌握计算机科学与技术的基本理论、基本知识；<br />
    2. 掌握计算机系统的分析和设计的基本方法；<br />
    3. 具有研究开发计算机软、硬件的基本能力；<br />
    4. 了解与计算机有关的法规；<br />
    5. 了解计算机科学与技术的发展动态；<br />
    6. 掌握文献检索、资料查询的基本方法，具有获取信息的能力。<br />
    主干学科：计算机科学与技术。<br />
    主要课程：电路原理、模拟电子技术、数字逻辑、数字分析、计算机原理、微型计算机技术、计算机系统结构、计算机网络、高级语言、汇编语言、数据结构、操作系统、编译原理、系统分析与控制、信号处理原理、通信原理概论。<br />
    主要实践性教学环节：包括电子工艺实习、硬件部件设计及调试、计算机基础训练、课程设计、计算机工程实践、生产实习、毕业设计(论文)。<br />
    主要专业实验：编程与上机调试、电子线路、数字逻辑、微型计算机接口技术、计算机组成等。<br />
    修业年限：四年。<br />
    授予学位：工学或理学学士。</p>
"
32_189,32,189,自动化,四年,工学学士,本科(普通),工学,自动化类,"<p>    本专业培养的学生要具备电工技术、电子技术、控制理论、自动检测与仪表、信息处理、系统工程、计算机技术与应用和网络技术等较宽广领域的工程技术基础和一定的专业知识，能在运动控制、工业过程控制、电力电子技术、检测与自动化仪表、电子与计算机技术、信息处理、管理与决策等领域从事系统分析、系统设计、系统运行、科技开发及研究等方面工作的高级工程技术人才。<br />
    业务培养要求：本专业学生主要学习电工技术、电子技术、控制理论、信息处理、系统工程、自动检测与仪表、计算机技术与应用和网络技术等方面的基本理论和基本知识，受到较好的工程实践基本训练，具有系统分析、设计、开发与研究的基本能力。<br />
    毕业生应获得以下几方面的知识和能力：<br />
    1. 具有较扎实的自然科学基础，较好的人文社会科学基础和外语综合能力；<br />
    2. 掌握本专业领域必需的较宽的技术基础理论知识，主要包括电路理论、电子技术、控制理论、信息处理、计算机软硬件基础及应用等；<br />
    3. 较好地掌握运动控制、工业过程控制及自动化仪表、电力电子技术及信息处理等方面的知识，具有本专业领域1～2个专业方向的专业知识和技能，了解本专业学科前沿和发展趋势；<br />
    4. 获得较好的系统分析、系统设计及系统开发方面的工程实践训练；<br />
    5. 在本专业领域内具备一定的科学研究、科技开发和组织管理能力，具有较强的工作适应能力。<br />
    主干学科：控制科学与工程、电气工程、计算机科学与技术。<br />
    主要课程：电路原理、电子技术基础、计算机原理及应用、计算机软件技术基础、过程工程基础、电机与电力拖动基础、电力电子技术、自动控制理论、信号与系统分析、过程检测及仪表、运筹学、计算机仿真、计算机网络、过程控制、运动控制、系统辨识基础、计算机控制系统、系统工程导论、人工智能导论等。<br />
    主要实践性教学环节：包括金工实习、计算机应用基础训练、电子工艺实习、电子技术课程设计、专业课程设计、生产实习等，一般安排在夏季学期。<br />
    主要专业实验：自动控制理论实验、电力电子技术实验、运动控制实验、过程控制实验、自动检测与仪表实验、计算机控制实验、系统仿真实验、网络及多媒体实验等。<br />
    修业年限：四年。<br />
    授予学位：工学学士。<br />
    相近专业：电气工程及其自动化。</p>
"
32_190,32,190,通信工程,四年,工学学士,本科(普通),工学,电子信息类,"<p>    本专业培养具备通信技术、通信系统和通信网等方面的知识，能在通信领域中从事研究、设计、制造、运营及在国民经济各部门和国防工业中从事开发、应用通信技术与设备的高级工程技术人才。<br />
    业务培养要求：本专业学生主要学习通信系统和通信网方面的基础理论、组成原理和设计方法，受到通信工程实践的基本训练，具备从事现代通信系统和网络的设计、开发、调测和工程应用的基本能力。<br />
    毕业生应获得以下几方面的知识和能力：<br />
    1. 掌握通信领域内的基本理论和基本知识；<br />
    2. 掌握光波、无线、多媒体等通信技术；<br />
    3. 掌握通信系统和通信网的分析与设计方法；<br />
    4. 具有设计、开发、调测、应用通信系统和通信网的基本能力；<br />
    5. 了解通信系统和通信网建设的基本方针、政策和法规；<br />
    6. 了解通信技术的最新进展与发展动态；<br />
    7. 掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。<br />
    主干学科：信息与通信工程、计算机科学与技术。<br />
    主要课程：电路理论与应用的系列课程、计算机技术系列课程、信号与系统、电磁场理论、数字系统与逻辑设计、数字信号处理、通信原理等。<br />
    主要实践性教学环节：包括计算机上机训练、电子工艺实习、电路综合实验、生产实习、课程设计、毕业设计等。一般要求实践教学环节不少于30周。<br />
    主要专业实验：通信原理实验、电子电路实验、数字系统与逻辑设计实验、电磁场实验等。<br />
    修业年限：四年。<br />
    授予学位：工学学士。<br />
    相近专业：电子信息工程。</p>
"
32_185,32,185,电子信息科学与技术,四年,工学学士,本科(普通),工学,电子信息类,"<p>    培养目标：本专业培养具备化学工程与工艺方面的知识，具有高度社会责任感、良好的道德
文化修养和健康的身心素质，具有创新意识和较强动手实践能力，能在化工、能源、环保、材料、冶
金、信息、生物工程、轻工、制药、食品和军工等部门从事工程设计、技术开发、工厂操作与技术管
理、科学研究等工作的工程技术人才。
</p><p>    培养要求：本专业学生主要学习化学工程学和化学工艺学等方面的基本理论和基本知识，接
受化学与化工实验技能、工程实践、计算机应用、科学研究与工程设计方法等方面的基本训练，掌
握对现代化工生产过程进行模拟计算和过程优化、对现有化工生产工艺与设备进行技术改造以
及对化工新产品、新工艺、新设备进行开发与设计的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握马克思主义、毛泽东思想基本原理、邓小平理论、“三个代表”重要思想和科学发展
观，具有高度的社会责任感、良好的人文社会科学素养和良好的职业道德；
</p><p>    2．具有本专业所需的数学、化学等自然科学知识以及一定的经济学和管理学知识，掌握化
学工程、化学工艺等学科的基本理论、基本知识和相关的工程技术基础知识；
</p><p>    3．掌握典型化工过程与单元设备的设计及模拟优化的基本方法；
</p><p>    4．具有较强的创新意识和对化工新产品、新工艺、新技术和新设备进行研究、开发和设计的
基本能力；
</p><p>    5．掌握文献检索、资料查询及运用现代信息技术获取相关信息的基本方法；
</p><p>    6．具有一定的科学研究和实际工作能力以及一定的质疑和批判性思维能力；
</p><p>    7．了解化学工程与技术学科的理论前沿，了解化工新产品、新工艺、新技术和新设备的发展
动态；
</p><p>    8．了解国家对于化工生产、设计、研究与开发、环境保护等方面的方针、政策和法规，具有自
愿改善健康、安全和环境质量的责任关怀理念，遵循责任关怀的主要原则，了解化工生产事故的
预测、预防和紧急处理预案等，具有应对危机与突发事件的初步能力；
</p><p>    9．具有一定的组织管理能力、较强的表达能力、人际交往能力以及团队合作能力；
</p><p>    10.具有对终身学习的正确认识和学习能力；
</p><p>    11.具有一定的国际视野和跨文化环境下的交流、竞争与合作的初步能力。
</p><p>    主干学科：基础化学、化学工程与技术。
</p><p>    核心知识领域：无机化学、有机化学、分析化学、物理化学、化工原理、化工热力学、化学反应
工程、化工设计。
</p><p>    主要实践性教学环节：课程实验、专业实验、课程设计、认识实习、生产实习、毕业设计（论
文）。
</p><p>    主要专业实验：基础化学实验、化工原理实验、化工热力学实验、化学反应工程实验、化学工
艺实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
32_206,32,206,生物技术,四年,理学学士,本科(普通),理学,生物科学类,"<p>    本专业培养具备生命科学的基本理论和较系统的生物技术的基本理论、基本知识、基本技能，能在科研机构或高等学校从事科学研究或教学工作，能在工业、医药、食品、农、林、牧、渔、环保、园林等行业的企业、事业和行政管理部门从事与生物技术有关的应用研究、技术开发、生产管理和行政管理等工作的高级专门人才。<br />
    业务培养要求：本专业学生主要学习生物技术方面的基本理论、基本知识，受到应用基础研究和技术开发方面的科学思维和科学实验训练，具有较好的科学素养及初步的教学、研究、开发与管理的基本能力。<br />
    毕业生应获得以下几方面的知识和能力：<br />
    1. 掌握数学、物理、化学等方面的基本理论和基本知识；<br />
    2. 掌握基础生物学、生物化学、分子生物学、微生物学、基因工程、发酵工程及细胞工程等方面的基本理论、基本知识和基本实验技能，以及生物技术及其产品开发的基本原理和基本方法；<br />
    3. 了解相近专业的一般原理和知识；<br />
    4. 熟悉国家生物技术产业政策、知识产权及生物工程安全条例等有关政策和法规；<br />
    5. 了解生物技术的理论前沿、应用前景和最新发展动态，以及生物技术产业发展状况；<br />
    6. 掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；具有一定的实验设计，创造实验条件，归纳、整理、分析实验结果，撰写论文，参与学术交流的能力。<br />
    主干学科：生物学。<br />
    主要课程：微生物学、细胞生物学、遗传学、生物化学、分子生物学、基因工程、细胞工程、微生物工程、生化工程、生物工程下游技术、发酵工程设备等。<br />
    主要实践性教学环节：包括教学实习、生产实习和毕业论文(设计)等，一般安排10～20周。<br />
    主要专业实验：微生物学实验、细胞生物学实验、遗传学实验、生物化学实验、分子生物学实验、生物技术大实验等。<br />
    修业年限：四年。<br />
    授予学位：理学学士。<br />
    相近专业：生物科学、生物工程。</p>
"
