special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
49_1381,49,1381,中医学,五年,医学学士,本科(普通),医学,中医学类,具备中医药基础理论、中医学专门知识和专业实践技能，从事中医临床医疗工作的中医学专门人才。
49_1369,49,1369,中药学,四年,理学学士,本科(普通),医学,中药学类,我校中药学专业是我国首批批准设立的中医药院校本科专业，历史悠久。在药用植物与中药鉴定、中药化学与中药分析、中药炮制与中药制剂、中药药理与中药临床等领域有深厚的积淀，师资力量强，科研能力居于全国领先地位。
49_1376,49,1376,公共事业管理,四年,管理学学士,本科(普通),管理学,公共管理类,学 制：五年（限招英语） <br> <br>培养目标： <br> <br>　　本专业培养能运用现代管理学、经济学、医学等方面的知识，在卫生事业单位及相关领域从事管理工作的专门人才。 <br> <br>培养要求： <br> <br>     (1) 掌握现代管理科学的基本理论、基本知识和方法； <br>     (2) 掌握经济学的基本理论、基本知识和方法，熟悉卫生行业的基本经济规律； <br>     (3) 掌握一定的医学与法律知识，熟悉国家卫生方针政策、法律法规； <br>     (4) 掌握卫生事业管理的基本技术与定量分析方法，具有计算机基础知识和较强的计算机应用能力； <br>     (5) 掌握文献检索、资料查询的基本方法，具有初步的科学研究能力。具备基本的管理、人际沟通、协同合作和组织实施的工作能力。 <br> <br>主要课程： <br> <br>　　 经济学、概率论与数理统计、管理学原理、运筹学、医院会计与财务管理、管理心理学、人力资源管理学、管理信息系统、数据库开发与应用、管理文秘、中医学基础概论、现代医学基础概论、临床医学概论、卫生统计学、卫生学、卫生法学、社会医学、流行病学、行政法学、卫生事业管理、医院管理学、卫生经济学、计算机网络等。 <br> <br>学习期满，成绩合格，通过论文答辩，符合我校学士学位授予条例者，授予管理学学士学位。  <br> <br>公共事业(卫生事业)管理专业后期分化有：信息管理方向。  <br> <br>信息管理方向在公共事业(卫生事业)管理基础课上增加专业方向课：面向对象的程序设计、数据库系统应用、数据结构、离散数学等课程的学习。
49_1368,49,1368,针灸推拿学,五年,医学学士,本科(普通),医学,中医学类,培养能运用中医药基础理论、针灸推拿（含气功）专业知识和基本技能，以及一定的西医学知识和专业外语能力，在医药健康产业等领域中从事中医针灸推拿医疗、教学、科研工作的中医针灸推拿人才。
49_1378,49,1378,护理学,四年,理学学士,本科(普通),医学,护理学类,学 制：四年 <br> <br>培养目标： <br> <br>　培养掌握现代护理理论与技能，并掌握中医特色护理理论与方法，能从事临床护理工作，具有护理教学、科研和管理发展潜力的高级护理人才。 <br> <br>培养要求： <br> <br>(1) 具备护理学相关的自然科学基础和人文社会科学基础； <br>(2) 掌握必要的中西医基础医学、临床医学和预防保健的基本理论知识，掌握中西医护理学基本理论、基本知识、基本技能； <br>(3) 掌握护理急、慢性和重症病人的基本原则、操作技术，初步掌握专科护理和监护技能，能够应用护理程序对护理对象实施整体护理； <br>(4) 能够参与社区健康服务，具有护理管理和护理教育的基本能力； <br>(5) 尊重和理解护理对象，具有合作精神和较强的人际沟通交流能力;具有良好的职业道德； <br>(6) 熟悉国家卫生工作方针、政策及法规； <br>(7) 熟悉护理科学研究方法，具有创新精神、批判性思维和科学研究的初步能力; <br>(8) 了解护理学和医学技术发展动态，具有独立获取知识、持续自我发展的能力。 <br> <br>主要课程： <br> <br>　　 正常人体解剖学、生理学、药理学、医学免疫学与微生物学、病理学、护理学基础、健康评估、内科护理学、外科护理学、妇产科护理学、儿科护理学、护理心理学、社区护理学、护理科研设计、中医学基础、中医护理学基础、中医临床护理学、急救护理学、护理伦理学等。 <br> <br>学习期满，成绩合格，通过论文答辩，符合我校学士学位授予条例者，授予理学学士学位。 <br>建议身高1.60米以下、澳抗阳性考生慎报该专业。
49_1377,49,1377,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,学 制：四年（限招英语） <br> <br>培养目标： <br> <br>　　本专业培养能运用现代管理学、经济学及医药方面的知识，在医药企业及相关领域从事技术管理工作的专门人才。 <br> <br>培养要求： <br> <br>     (1) 掌握管理学、经济学的基本原理和企业管理的基本理论、基本知识及现代管理的基本技能； <br>     (2) 掌握医药企业管理的定性、定量分析方法及药品质量管理的基本知识与技能； <br>     (3) 掌握一定的中医药相关知识； <br>     (4) 熟悉药事管理基本理论和我国医药企业管理的基本方针、政策、法规以及国际企业管理惯例； <br>     (5) 熟悉文献检索、资料查询等科学研究的基本方法，具有初步的科学研究与实际工作能力，了解工商管理学科理论的前沿知识和药事实践的发展动态； <br>     (6) 有较强的合作精神与人际沟通、及分析和解决药学事业管理工作问题的基本能力。 <br> <br>主要课程： <br> <br>　　 管理学原理、管理统计学、组织行为学、人力资源管理学、市场营销与实务、管理信息系统、概率论与数理统计、运筹学、管理文秘、经济学、财务管理、药事管理学、药品质量管理、战略管理、生产作业管理、经济法通论、物流管理、国际贸易学、电子商务、中医药学概论、药理与中药药理学、中药药剂学、基础化学与分析检测技术、数据库开发与应用、计算机网络等。  <br> <br>学习期满，成绩合格，通过论文答辩，符合我校学士学位授予条例者，授予管理学学士学位。  <br> <br>工商管理(医药企业)专业后期分化有：药事管理方向。  <br> <br>药事管理方向在工商管理(医药企业)专业基础课上增加专业方向课：药事法学、医药产业经济学等课程的学习。
49_1373,49,1373,法学（医药卫生）,四年,法学学士,本科(普通),法学,法学类,培养具有坚实的法学理论基础，掌握全面的法律知识和必要的医药卫生知识，能够熟练处理医药卫生领域相关法律事务，解决医药卫生领域法律问题，胜任国家机关、企事业单位、社会团体、法律服务机构等相关单位法律工作的法律专门人才。
49_1386,49,1386,药事管理,四年,理学学士,本科(普通),医学,药学类,旨在培养具有中医药专业基本知识，系统掌握管理学、经济学、法学等社会学科的专业理论，具备人文精神、科学素养、国际化视野和社会责任感，能够在药品监督管理部门、医疗卫生机构、医药生产经营企业、医药科研院所等机构从事药事管理工作的复合型专业人才。
49_1383,49,1383,康复治疗学,四年,理学学士,本科(普通),医学,医学技术类,培养具备现代医学基础理论知识、掌握现代康复医学和针灸推拿专业知识和实践技能，在康复医学及物理治疗学相关领域工作的高级人才；以及能够在综合医院康复科、康复中心、基层社区卫生服务中心等部门，从事中西医结合物理治疗的高素质康复治疗师，以及能够在医学和健康卫生相关领域工作的专门人才。
49_100424,49,100424,药学,四年,理学学士,本科(普通),医学,药学类,该专业在药学课程体系内融入了中医药学基础等我校中医药特色课程，使学生在掌握药学专业必备的相关知识和专业技能的基础上具有更广阔的视野。
49_1370,49,1370,中药制药,四年,"理学学士,工学学士",本科(普通),医学,中药学类,我校中药制药专业为中医药高等教育首批批准建设的具有优势特色的本科专业，经过数十年的建设，已具有深厚的教育培养模式的积淀。
49_1499932,49,1499932,中医骨伤科学,五年,医学学士,本科(普通),医学,中医学类,<p>专业定义</p><p>培养学习中医骨伤科学的内容、掌握骨伤科的基本知识、基本技能、基本操作。遇到相关疾病时，可进行中医临床诊疗的能力。例如肩关节疼痛、活动受限病人。</p><p>课程体系</p><p>《中医骨病学》《中医经典》《中医内科学》《中医外科学》等。</p><p>就业方向</p><p>可在各级医疗卫生、预防保健及教学等部门从事中医骨伤临床医疗、预防保健、教学以及卫生行政管理等工作。</p><p><br/></p>
