special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
38_660,38,660,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>本专业始建于1909年，历经百年，是国内通信与信息工程领域知名的老专业。2007年被教育部批准为全国第一批特色专业建设点，2011年通过IEEE专业认证专家评估，2012年获批国家“专业综合改革试点”，2016年通过中国工程教育专业认证。本专业具有“通信与信息系统”和“信号与信息处理”两个国家级重点学科点，建有“下一代互联网互联设备”国家工程实验室、“电磁兼容”国家级认证实验室、“教育部全光网与现代通信网”重点开放实验室、“通信与信息系统”北京市重点实验室等科研平台，建有国家电工电子教学基地、国家电工电子实验教学示范中心、国家电子信息实验教学示范中心、国家轨道交通通信与控制虚拟仿真实验教学中心等国家级教学平台。</p>
38_661,38,661,轨道交通信号与控制,四年,工学学士,本科(普通),工学,自动化类,<p>本专业已有五十余年的历史，依托“交通信息工程及控制”国家级重点学科、“轨道交通控制与安全”国家重点实验室、“轨道交通运行控制系统”国家工程研究中心、“城市轨道交通自动化控制”北京市重点实验室以及国家电工电子实验教学示范中心、国家电子信息实验教学示范中心、国家轨道交通通信与控制虚拟仿真实验教学中心和北京交通大学-郑州铁路局国家级工程实践教育中心，旨在培养具有社会主义核心价值观，具备良好工程素质，掌握轨道交通信号与控制基础理论和专业知识，具有较强的工程实践能力、团队合作能力和专业表达能力，具有国际视野和创新意识，适应持续的职业发展，能够在轨道交通信号与控制领域胜任研究、设计、制造、运营和管理工作的高级专门人才。</p>
38_652,38,652,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>土木工程专业为宽口径专业，包括建筑工程、桥梁工程、地下与岩土工程等专业方向。以土木工程的设计施工为主线，培养能够作为工程师服务于交通基础设施和城市建设等行业，胜任土木工程的设计、施工、咨询和技术管理工作，能够在土木工程及相关领域主要研究型大学继续深造，具有获得土木工程及相关领域的执业资质的能力，具有能够引领行业技术发展的潜质，具有能够随着行业和职业发展需求终身学习的能力的创新型高级专门人才。</p>
38_653,38,653,铁道工程,四年,工学学士,本科(普通),工学,土木类,<p>本专业为我校的特色方向和传统专业领域，2010年列入教育部“卓越工程师教育培养计划”，2017年获教育部正式批准成为单独招生专业。培养掌握铁道工程领域的专门知识与关键技术，了解铁路与城市轨道交通建造、运营和管理的基本知识，受到工程师的良好训练，可从事铁路和城市轨道工程的规划、设计、施工、管理工作的高级工程技术人才。</p>
38_666,38,666,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>电气工程及其自动化专业始于北京交通大学前身北京铁路管理传习所1912年设置的“高等电气工程甲班”，历经百年，为国家培养了大批专门人才。专业以“宽口径、厚基础、重实践、求创新”为培养理念，面向轨道交通与电力能源领域培养理论基础扎实、工程素养过硬、具有创新意识及国际化交流能力、适应社会与经济发展需要的高素质人才。电气工程及其自动化专业于2012年通过国家工程教育专业认证。</p><p></p><p>电气工程及其自动化专业特点是弱电与强电结合、硬件与软件结合、元件与系统结合、基础科学与工程技术结合。</p>
38_649,38,649,机械工程,四年,工学学士,本科(普通),工学,机械类,机械工程与自动化专业下的铁路机车车辆方向是机电学院的重点发展的专业方向之一，并最早建立了车辆工程硕士点和博士点，具有良好的科研、教学基础和完整的学术梯队，与用人单位有广泛的联系。  <br>   本专业方向以培养高速动车组技术为核心的铁路机车车辆和城市轨道车辆的设计、制造、检修、运用及科研开发等相关领域的高级工程技术人才和管理人才为目标。  <br>   学生在校期间，除公共基础课以及机械工程与自动化专业基础课外，还设置了大量特色课程供学生选修，有动车组工程、动车组设计理论基础、动车组传动与控制、动车组装备与运用工程、动车组制造工艺与装备、计算机辅助机车车辆设计综合实践等课程，使学生在机车车辆设计、制造、运用以及工程管理等方面获得系统的专业知识。  <br>   本专业方向毕业生除可攻读研究生继续深造以外，将在全国各大铁路工厂、科研院所、各大铁路局站段、大城市的城市轨道交通公司以及相关外资企业有广阔的就业前景。
38_650,38,650,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,<p>计算机科学与技术专业作为计算机科学与信息技术相结合的宽口径专业，依托计算机科学与技术一级学科优势，在专业培养方面突出计算机科学与信息技术及其应用的交叉与融合，致力于为本科生构筑扎实的理论基础和专业知识体系；通过多种专业技术指导与实践训练等途径，注重强化学生的计算机系统分析能力与解决相关复杂工程问题的实际能力，着力培养学生的创新实践能力与学生个性化应用能力；力求培养能够进行计算机系统分析与设计、系统核心技术研究与开发、计算机工程设计与技术应用等相关复杂工程问题分析与解决的高级专门人才。计算机科学与技术专业依托“计算机科学与技术”一级学科博士点和“计算机应用技术”北京市重点学科，是教育部特色专业，2013年、2016年通过了国家工程教育专业认证。</p>
38_639,38,639,经济学,四年,经济学学士,本科(普通),经济学,经济学类,<p>本专业旨在依托国家重点学科产业经济学和国家级经济学特色专业优势，培养掌握扎实的经济学基础理论与方法，具备较高人文科学素养和较强专业实务运作能力，能够在经济及相关领域从事分析、科研、教育、经营管理、规划和决策工作，并可进一步胜任相关学科研究的高素质专门人才。本专业主要课程包括中级宏微观经济学、计量经济学、产业经济学、运输经济学、技术经济学、创新经济学等课程。</p>
38_170736,38,170736,人工智能,四年,工学学士,本科(普通),工学,电子信息类,"专业定义</br>

人工智能（ArtificialIntelligence），英文缩写为AI。它是研究、开发用于模拟、延伸和扩展人的智能的理论、方法、技术及应用系统的一门新的技术科学。人工智能是计算机科学的一个分支，它企图了解智能的实质，并生产出一种新的能以人类智能相似的方式做出反应的智能机器，该领域的研究包括机器人、语言识别、图像识别、自然语言处理和专家系统等。例如：人脸识别技术，语音识别技术、基于用户兴趣的智能算法推荐技术。</br>

课程体系</br>

《人工智能、社会与人文》、《人工智能哲学基础与伦理》、《先进机器人控制》、《认知机器人》、,《机器人规划与学习》、《仿生机器人》、《群体智能与自主系统》《无人驾驶技术与系统实现》《游戏设计与开发》《计算机图形学》《虚拟现实与增强现实》、《人工智能的现代方法I》、《问题表达与求解》、《人工智能的现代方法II》、《机器学习、自然语言处理、计算机视觉等》。</br>

就业方向</br>

实际应用：机器视觉，指纹识别，人脸识别，视网膜识别，虹膜识别，掌纹识别，专家系统，自动规划，智能搜索，定理证明，博弈，自动程序设计，智能控制，机器人学，语言和图像理解，遗传编程等。</br>"
38_670,38,670,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>根据教高【2003】4号文件批准，北京交通大学软件学院于2003年3月成立，2006年11月通过教育部示范性软件学院评估验收，成为首批通过验收的27所国家示范性软件学院之一。</p><p></p><p>学院依托北京交通大学已有的计算机学科优势，面向产业需求、突出工程能力与职业素养培养、强调团队合作、强化实践环节，在国际化环境与工程实践环境中培养具有创新意识的精英型软件工程师，建设一流国际化软件学院。学院与国际著名高校积极开展交流项目，与国内外知名企业开展产学研合作，构建重能力培养、促素质提高的课程体系，探索有效提升工程实践能力和英语实用能力的教学模式与培养途径。</p>
