special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
39_713,39,713,希腊语,四年,哲学学士,本科(普通),文学,外国语言文学类,<p>培养具有扎实的相应语语言基础比较广泛的科学文化知识，能在外事、经贸、文化、新闻出版、教育、科研、旅游等部门从事翻译、研究、教学、管理工作的相应语言高级专门人才。</p>
39_917978,39,917978,翻译,四年,哲学学士,本科(普通),文学,外国语言文学类,"<p>    培养目标：本专业旨在培养德才兼备、具有创新意识与国际视野的通用型翻译专业人才，能
够胜任外事、商务、教育、文化、科技、军事等领域中一般难度的笔译、口译或其他跨文化交流工
作，能成为国家哲学、社会科学走出去战略，引进国际先进技术与文化的生力军。
</p><p>    培养要求：本专业学生主要学习语言和翻译的基本理论和基础知识，接受汉语和外语两方
面语言技能与语言知识的训练，掌握跨文化交际和汉外口笔译基本技能，具备口笔译基本
能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握语言知识与能力，包括外语语音、词汇、语法知识，外语听、说、读、写能力，汉语知识
与写作能力，演讲与辩论能力，语言学习能力；
</p><p>    2．掌握翻译学科的基本理论、基础知识与能力，包括口笔译技能、口笔译理论、跨文化交际
能力以及译者综合素质；
</p><p>    3．掌握翻译需要的相关知识与能力，包括中外社会文化知识，语言学与文学知识，使用现代
信息技术和翻译工具的知识，国际商务知识，公共外交知识；
</p><p>    4．了解翻译学的理论前沿和应用前景，了解翻译专业的行业需求和发展动态；
</p><p>    5．熟悉国家的方针、政策和法规；
</p><p>    6．具有较强的批判性思维能力，实际工作能力和一定的科学研究能力。
</p><p>    主干学科：外国语言文学、中国语言文学。
</p><p>    核心课程：语言知识与能力模块：综合外语、外语听力、口语、阅读、写作；现代汉语、古代汉
语、高级汉语写作。翻译知识与技能模块：翻译概论、外汉笔译、汉外笔译、应用翻译；联络口译、
交替传译、专题口译。相关知识与能力模块：中国文化概要、所学外语国家概要、跨文化交际、计
算机与网络应用、国际商务、公共外交。
</p><p>    主要实践性教学环节：语言综合技能训练、汉外翻译实践训练等。
</p><p>    修业年限：四年。
</p><p>    授予学位：文学学士。
</p>"
39_720,39,720,西班牙语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>为适应国家经济建设和社会发展的需要，西班牙语专业将在提高语言教学水平的基础上，在高年级开设新的课程，讲授外交学、经贸学、中国及西语国家的国情，历史、文化等基础知识，为国家培养高质量的复合型人才。 </p>
39_711,39,711,阿拉伯语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>主要是为我国外交、对外文化交流、对外经贸、对外新闻、对外军事和其它涉外领域培养德、智、体全面发展的复合型人才，同时为我国高等学校和科研单位输送合格的师资和科研人员。近年来，阿语系毕业生主要去向是外交部、商务部、中联部、文化部、对外友协等国家部委以及新华社、国际广播电台、社会科学院、高等院校、进出口公司、外交人员服务局、旅行社等部门。各用人单位对阿拉伯语系毕业生各方面素质、能力以及发展潜力均比较满意，学生毕业后就业顺利。</p>
39_710,39,710,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>教学分为本科和研究生两个层次。本科为 4 年，对学生进行听、说、读、写、译等五个方面的全面高级训练，并在此基础上为学生开设英美文学、语言学和翻译学、跨文化交际等方面的专业课程，同时为学生提供英语国家社会与文化、外交、新闻与法律等方面的大量选修课，使他们具备一流的英语水平和宽广的知识面。</p>
39_717,39,717,德语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>德语系以培养“高素质的复合型德语人才”为办学的指导思想，以改革教学内容和课程体系为深化教学改革的主要任务，不断加强和完善基础阶段教学课程和高年级专业科课程。目前已建成 6 个用德语开设的专业教学与研究方向的新型课程体系。</p>
39_715,39,715,俄语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>本科学制 4 年。本科生除俄语语言外，还学习俄罗斯历史、文化和文学等课程。高年级则开设了外交、经贸等专业倾向性课，并为学生提供辅修英语的条件，使学生毕业后能胜任相应专业的工作。  </p>
39_716,39,716,日语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>本科生每年招收中学学习日语和学习英语的毕业生，并根据学生的不同特点进行有针对性的教学，以培养具有扎实语言基本功和一定专业技能的复合型外语人才为目标。培养学生“听、说、读、写、译”全面发展，并在专业知识方面打下坚实的基础</p>
39_725,39,725,葡萄牙语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p>基本修业年限三年
</p><p>培养目标
</p><p>    本专业培养德、智、体、美全面发展，具有良好职业道德、人文素养、心理素质和身体
素质，掌握商用飞机驾驶、附加多发仪表等级的基本知识和技能，具备飞机驾驶的能力，从
事工业、农业和其他行业通用航空飞机驾驶工作的高素质技术技能人才。
就业面向
</p><p>    主要面向通用航空行业，在飞行和领航等岗位群，从事工业、农业和其他行业的通用航
空飞机驾驶等工作。
</p><p>主要职业能力
</p><p>    1．具备对新知识、新技能的学习能力和创新创业能力；
</p><p>    2．具备座舱资源管理的能力；
</p><p>    3．具备国际民航组织要求的飞行人员英语能力；
</p><p>    4．掌握商用飞行员执照及仪表等级的基础知识、基本程序和方法；
</p><p>    5．熟悉现代民用飞机系统、动力装置及机载设备的工作原理及其使用方法；
</p><p>    6．熟悉现代航行系统、航空气象知识。
</p><p>核心课程与实习实训
</p><p>    1．核心课程
</p><p>    飞机系统、航空动力装置、飞机电子电气系统、飞行原理、空中交通管制基础、航空气
象、飞行中人的因素、仪表飞行程序、空中领航、飞行英语、私用驾驶员执照课程、商用驾
驶员执照课程、仪表等级课程等。
</p><p>    2．实习实训
在校内进行私用驾驶员执照飞行训练、商用驾驶员执照飞行训练和仪表等级训练。
在通用航空企业进行实习。
</p><p>职业资格证书举例
</p><p>    民用航空器驾驶员
</p><p>衔接中职专业举例
  无
</p><p>接续本科专业举例
</p><p>    飞行技术运输交通交通工程机械工程
</p>"
39_728,39,728,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,<p>本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才。</p>
