special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
31_88,31,88,考古学,四年,历史学学士,本科(普通),历史学,历史学类,<p>业务培养目标：本专业培养具备考古学基础知识与基本技能，有进一步培养潜能的高层次专门人才和能在考古、文物、博物馆等事业单位及国家机关从事研究、教学、管理等实际工作的考古学高级专门人才。</p>
31_165,31,165,数学类,四年,,本科(普通),理学,数学类,"数学系 数学系设基础数学与应用数学专业。专业方向包括：代数、拓扑、几何、微分方程、动力系统、函数论、应用数学。 

概率统计系 概率论与数理统计是二十世纪迅速发展的学科，研究各种随机现象的本质与内在规律性以及自然、社会等学科中不同类型数据的科学的综合处理及统计推断方法。该系设有统计学专业，同时包含数学与应用数学的一部分，必修和选修课程门类丰富。 

科学与工程计算系 科学与工程计算是伴随着计算机的出现而迅速发展起来的一门新的学科，涉及计算物理、计算化学、计算力学、计算材料学、环境科学、地球科学、金融保险等众多交叉学科。它运用现代数学的理论与方法解决各类科学与工程问题；分析和提高计算的可能性、有效性和精确性；研究各类数值软件的开发技术。 

信息科学系 我们已经进入了一个信息时代，信息科学的飞速发展正在改变着世界的面貌。该系是培养在信息时代国家急需的信息识别、人工智能、数据压缩等各种实际领域的复杂信息处理的专门人才。该系的专业学习主要是围绕着运用数学的理论和方法进行信息与信号的处理，以及有关的信息科学、计算机科学与技术等方面的课程。

金融数学系 金融数学是新兴综合学科，受到国际金融界和应用数学界的高度重视。该系培养对金融活动进行定量分析和科学预测的复合型金融人才。有金融数学和保险精算学两个方向。除了数学基础课程，该系学生还要学习利息理论及应用、证券投资学、寿险精算等金融数学专业课程，以及经济学院或光华管理学院的部分课程。"
31_117,31,117,化学类,四年,,本科(普通),理学,化学类,化学学院设立了化学、材料化学、化学生物学、应用化学四个专业。其中化学专业的5个二级学科（无机化学、有机化学、分析化学、物理化学、高分子化学与物理）继1989和2001年，2007年再次被评为国家教育部重点学科，是全国高校中唯一 “所有化学二级学科均为重点学科” 的化学学院，并成为化学一级学科重点学科。
31_167,31,167,电子信息类,四年,,本科(普通),工学,电子信息类,"学院设有计算机科学与技术、电子信息科学与技术、微电子科学与工程和智能科学与技术4个本科生专业，统一按学院招生。一年级不分专业，实行通识教育，二年级进行专业分流，学生自愿选择专业。

计算机科学与技术专业（Computer Science and Technology），理学学士
培养在计算机理论和应用领域具有坚实的理论和专业知识，具有分析和解决问题、自我完善和不断创新能力的人才。

电子信息科学与技术（Electronics Science and Engineering），理学学士
培养在电子信息领域具有扎实的数理基础和专业知识，具有创新研究和综合系统实现能力的领军人才。

微电子科学与工程（Microelectronics Science and Engineering）,理学学士
培养在微纳电子领域具备扎实的数理基础和专业知识，具有半导体器件、集成电路和制造工艺方面创新能力的尖端人才。

智能科学与技术（Intelligent Science and Technology），工学学士
培养在智能科学技术领域掌握信息、认知和心理等多学科交叉知识，具备智能科学理论和实践能力的人才。"
31_141,31,141,中国语言文学类,四年,,本科(普通),文学,中国语言文学类,"<p>北大中文系的本科生培养，前两年不分专业，统一组织核心基础课程学习。第三年始由学生根据自己的志趣自由选择专业。目前共设有4个本科专业：中国文学、汉语语言学、古典文献学、应用语言学（中文信息处理）。
中国文学  综合培养文艺审美、文艺评论及写作人才

汉语语言学  侧重培养语言研究、语言文化和对外汉语教学等方向的人才

古典文献学  培养具备深厚的国学素养、从事传世文献、出土文献、海外汉学与古籍数字化的整理与研究人才

应用语言学（中文信息处理）  中文信息处理，文理兼修。</p>"
31_142,31,142,历史学类,四年,,本科(普通),历史学,历史学类,"北大历史学系本科生第一年不分专业，统一学习专业基础课程和专业外语课程。进入第二年由学生根据自己的兴趣选择适合自己的专业方向。目前本系设有历史学（中国史）、世界史和外国语言与外国历史三个专业，并设有中西古典学珠峰计划项目。

历史学（中国史）专业  主要学习中国史的基本知识，了解中国文明的一般发展历程和中国史研究的基本方法、学术史和最新动态，接受史学理论、外国语、断代史与专题史、文献学、史料学、历史地理学及文化人类学等方面的基本训练。

世界史专业  主要学习世界史的基本知识，了解人类文明的一般发展历程和世界各主要国家和地区的历史研究基本方法、学术史和最新动态，接受史学理论、外国语、史料学、地区国别史、国际政治、国际经济、国际关系及文化人类学等方面的基本训练。

外国语言与外国历史专业  要求选修历史学系主要专业课程，并在外国语学院修习一门外国语（英语除外）。本专业为历史学系会同外国语学院、元培学院联合设立的创新专业，培养方案由历史学系世界史专业和外国语学院该当语种核心课程组成，要求学生在熟练掌握英语之外，精通另一门与其研究方向相关的外语。包括法语与法国史、德语与德国史、日语与日本史、越南语与越南史等数十种选择。

古典学项目（中学）  实行导师制，可在历史学系、中文系、哲学系等院系选修有关课程，研读中国古典。

古典学项目（西学）  实行导师制，可在历史学系、中文系、哲学系、外国语学院等院系选修有关课程，学习拉丁语和古希腊语，研读西方古典。"
31_116,31,116,信息管理与信息系统,四年,"工学学士,管理学学士",本科(普通),管理学,管理科学与工程类,信息管理与信息系统专业培养具备现代管理学理论基础、计算机技术及计算机应用能力，信息系统分析与设计方法等方面的知识，具有扎实的数学基础， 计算机科学的基本理论和知识，具备信息资源组织与管理，信息系统分析与设计、实施、管理维护和测试评价的能力，进行数据的分析与决策支持，能在国家各级管理部门、金融机构和科研单位承担信息化管理、信息系统设计和开发，决策支持以及信息资源开发利用工作的复合型管理人才。
31_128,31,128,英语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p><span style=""color: rgb(67, 67, 67); font-family: &quot;Microsoft YaHei&quot;; font-size: 14px; text-indent: -28px; text-wrap-mode: wrap; background-color: rgb(255, 255, 255);"">教育部确定的全国四个英语重点学科之一，培养语言和文化并举，技能与思想联姻，有较高人文素养，对人类文化和世界有较深造诣的优秀人才。</span></p>"
31_147,31,147,日语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p><span style=""color: rgb(67, 67, 67); font-family: &quot;Microsoft YaHei&quot;; font-size: 14px; text-indent: -28px; text-wrap-mode: wrap; background-color: rgb(255, 255, 255);"">国内高校中开设最早的专业，在全国日语教学和研究中占据领先地位。旨在培养具有国际视野、全面深入了解日本民族、社会的精英人才。</span></p>"
31_76,31,76,法学,四年,法学学士,本科(普通),法学,法学类,法学院贯彻追求“大气”的办学理念，培养“厚基础、宽口径”的新型法律人才，在本科阶段不划分具体专业方向。学生可在研究生阶段选择确定具体专业领域。学院拥有教育部人文社科重点教育基地1个、国家重点学科4项、博士点、博士后流动站9个、硕士点13个。
31_149,31,149,西班牙语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p><span style=""color: rgb(67, 67, 67); font-family: &quot;Microsoft YaHei&quot;; font-size: 14px; text-indent: -28px; text-wrap-mode: wrap; background-color: rgb(255, 255, 255);"">教育部、北京市特色专业，严谨求实的作风、民主宽松的学术氛围，知识结构上的优势使学生具备较强的思辨能力和综合能力。</span></p>"
31_132,31,132,阿拉伯语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p><span style=""font-size: 14px; font-family: &quot;Microsoft YaHei&quot;; color: rgb(67, 67, 67); text-indent: -28px; text-wrap-mode: wrap; background-color: rgb(255, 255, 255); line-height: 2;"">教育部、北京市特色专业之一，国内高校建立最早的专业。阿拉伯语是联合国工作语言之一，适用于西亚北非</span><span style=""font-size: 14px; font-family: &quot;Microsoft YaHei&quot;; color: rgb(67, 67, 67); text-indent: -28px; text-wrap-mode: wrap; background-color: rgb(255, 255, 255); line-height: 2;"">20</span><span style=""font-size: 14px; font-family: &quot;Microsoft YaHei&quot;; color: rgb(67, 67, 67); text-indent: -28px; text-wrap-mode: wrap; background-color: rgb(255, 255, 255); line-height: 2;"">多个国家和地区，旨在培养德才兼备的应用型专门人才。</span></p>"
31_95915,31,95915,生物科学类,四年,,本科(普通),理学,生物科学类,暂无简介
31_95913,31,95913,物理学类,四年,,本科(普通),理学,物理学类,物理学院的实体单位和以物理学院为依托的研究单位及其相应的学科如下图示。物理学院目前按物理学类和天文学科招生。同学入学后，第一、二年级不分专业，根据自己的兴趣，在选课指导委员会指导和综合指导下，自主选修数学、物理、计算机、电子技术等基础课程，三年级起，学院坚持“以人为本”的理念，在充分尊重学生自主选择的基础上，以物理学类入校的同学们在物理学科、大气与海洋学科中选课、研修，以天文学科入校的同学在天体物理专业内各方向分别选课、研修。
31_93,31,93,天文学,四年,理学学士,本科(普通),理学,天文学类,物理学院的实体单位和以物理学院为依托的研究单位及其相应的学科如下图示。物理学院目前按物理学类和天文学科招生。同学入学后，第一、二年级不分专业，根据自己的兴趣，在选课指导委员会指导和综合指导下，自主选修数学、物理、计算机、电子技术等基础课程，三年级起，学院坚持“以人为本”的理念，在充分尊重学生自主选择的基础上，以物理学类入校的同学们在物理学科、大气与海洋学科中选课、研修，以天文学科入校的同学在天体物理专业内各方向分别选课、研修。
31_95920,31,95920,地质学类,四年,,本科(普通),理学,地质学类,"学院分为“地质学类”和“地球物理学类（含地球物理学、遥感与地理信息科学、空间科学与技术3个本科专业）”两个本科生招生方向。本科生入学第一年不分专业方向，统一学习数学、物理、化学和计算机等大类平台课程和学科群基础课程，为今后发展打下坚实的基础；高年级学生在充分了解学科情况并结合自身情况和特点，明确兴趣方向后自主选择本科专业。学院充分尊重学生的自主选择，从新生入校开始，配有班主任进行生活上的管理，同时实行新生导师制，对学生的学习和科研提供悉心指导。 

地质学专业（Geology）理学学士  地质学主要研究地球及其演化的历史。学习内容涵盖构造地质、古生物、石油勘探、资源开发等方向，培养理论与实践并重、多学科交叉的创新型地质人才。

地球化学专业 (Geochemistry) 理学学士  地球化学主要研究元素、矿物、岩石和矿床的形成和演化的理论模拟、成岩成矿过程的实验研究等。学习内容包括元素、岩石、矿物、矿床，培养具有地球化学前沿交叉学科先导意识和国际视野的专精人才。"
