special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
30_5,30,5,信息与计算科学,四年,理学学士,本科(普通),理学,数学类,"培养具有良好道德及科学与文化素养，具有良好数学基础和数学思维能力，掌握数学与应用数学的基本理论、方法与技能，能够运用数学知识和数学技术解决实际问题，能够适应数学与科技发展需求进行知识更新, 受到科学研究初步训练, 能够在数学及相关领域从事科学研究或在科技、教育、信息产业、经济金融、行政管理等部门从事研究、教学、应用开发和管理等工作的人才。"
30_31,30,31,英语,四年,文学学士,本科(普通),文学,外国语言文学类,英语专业旨在培养具有扎实的英语语言技能、具备人文与科学素养和思辨能力、并具有宽广的英语语言文学知识、厚植中国优秀文化、具有家国情怀的英语专门人才。通过四年的学习，高素质、全面发展、适应国家及改革开放实际需要，能熟练运用英语和本族语从事翻译、外事、外语教育、外经贸、新闻媒体国际旅游研究等工作。
30_36,30,36,电子科学与技术,四年,工学学士,本科(普通),工学,电子信息类,本专业面向国家特别是京津冀地区经济与社会发展需要，培养爱国、自信、信念执着、品德优良，具有良好的社会与职业道德；有宽广的学科视野与扎实的理论基础，能够将自然科学基本知识，集成电路、微电子、光电子专业基础理论知识用于解决复杂电子集成系统工程问题，并体现创新能力；团队合作意识与沟通表达能力强、具有独立思考能力；具有全球化意识和国际视野，实践能力突出、可持续发展能力强，有能力继续学习以适应专业领域不断发展需要；能够胜任电子科学与技术领域的研究开发、技术支持、测试分析、工程项目实施与管理等工作的高素质创新型人才。
30_711501,30,711501,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,"<p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">培养目标：本专业培养符合国民经济和科学技术发展需求，具有扎实的自然科学基础、人文 社会科学基础和材料科学与工程专业基础，具有较强实践能力、自我获取知识能力、社会交往能 力、组织管理能力，能在材料相关领域的科研院所或企业从事材料科学与工程基础理论研究，新 材料、新工艺和新技术开发，企业管理，生产技术管理等工作的创新型人才。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">培养要求：本专业学生通过材料科学与工程基础理论和相关知识的学习，以及材料制备、性 能分析与测试技能的基本训练，掌握材料的成分、制备方法与组织结构和性能之间关系的基本规 律，以及材料设计、制备与工艺控制的基本方法，从而具有开展材料科学与工程基础理论研究、材 料设计、材料性能优化、新材料开发和材料生产管理的知识和能力。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">毕业生应获得以下几方面的知识和能力：</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">1．掌握从事材料科学与工程工作所需的数学、物理和化学等自然科学基本理论和基础知 识，掌握本专业所需的制图、机械、电工电子技术和计算机应用等基本知识和技能，掌握一定程度 的人文、社会科学知识和经济管理基础知识，较熟练地掌握一门外语并具有外语综合应用能力；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">2．掌握扎实的材料科学与工程基础知识，掌握本专业领域常规的材料制备、材料性能与结 构分析检测方法和技术；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">3．具有选用适当的材料科学与工程理论和实验方法分析并解决材料生产中的实际问题，以 及从事科学研究的初步能力；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">4．了解新材料、新工艺、新设备和先进的材料制备与加工生产方法，以及本专业的发展现状 和趋势；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">5．具有有效的沟通与交流能力，熟悉所属行业的方针、政策及法规；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">6．具备良好的职业道德，能自觉承担对职业、社会和环境的责任。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">主干学科：材料科学与工程。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">核心知识领域：工程图学、机械设计基础、电子电工技术基础、工程力学、材料科学基础、材料 工程基础、材料制备技术、材料生产装备与生产工艺、材料研究方法与测试技术、材料性能与应 用等。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">核心课程示例：</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">1．示例一：工程制图基础（56学时）、物理化学（80学时）、物理化学实验（50学时）、仪器分 析（32学时）、仪器分析实验（24学时）、有机化学（56学时）、有机化学实验（48学时）、工程力学 （48学时）、电气工程学概论（96学时）、电工学实验（32学时）、机械设计基础（48学时）、材料研 究与计算机应用（32学时）、材料科学基础（56学时）、材料力学性能（48学时）、材料物理性能 （40学时）、材料现代研究方法（56学时）、材料概论（32学时）。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">(1)专业方向一：高分子物理（48学时）、高分子化学（56学时）、高分子材料成型加工原理 （40学时）；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">(2)专业方向二：金属学（40学时）、固态相变（40学时）、工程材料学（40学时）；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">(3)专业方向三：无机材料相图与应用（40学时）、无机材料高温动力学（40学时）、先进陶 瓷制备与加工（32学时）。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">2．示例二：机械设计制图B（48学时）、电工技术（48学时）、物理化学D（64学时）、电工技 术实验（16学时）、材料科学基础实验（48学时）、物理化学实验B（32学时）、电子技术（48学 时）、材料科学基础（128学时）、电子技术实验（16学时）、统计物理B（32学时）、冶金工程概述 （32学时）、材料物理性能A（48学时）、材料制备与加工（48学时）、材料分析方法（64学时）、金 属材料学（48学时）、材料力学性能（48学时）。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">3．示例三：工程制图与AutoCAD( B)（64学时）、工程力学A（64学时）、材料物理化学(64 学时)、材料科学基础A（80学时）、机械设计基础A（64学时）、材料性能学A（80学时）、材料现 代测试技术（56学时）、材料综合实验I（48学时）、材料中的固态相变（48学时）、材料结构与性 能（48学时）、冶金原理（48学时）、材料合成与制备（32学时）。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">(1)金属材料方向：金属材料学（56学时）、表面工程学（48学时）、材料综合实验Ⅱ（48学 时）；</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">(2)无机非金属材料方向：陶瓷材料（56学时）、材料综合实验Ⅱ（48学时）、粉体工程学(56 学时)。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">主要实践性教学环节：认识实习、生产实习、电工电子实习、机械课程设计、专业课程设计或 专业综合试验、毕业设计（论文）等。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">主要专业实验：材料制备方法实验、材料力学性能实验、材料物理性能实验、材料结构分析方 法与测试技术实验等。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">修业年限：四年。</p><p style=""caret-color: rgb(0, 0, 0); white-space: normal; text-size-adjust: auto;"">授予学位：工学学士。</p><p><br/></p>"
30_162365,30,162365,土木工程（茅以升班）,四年,工学学士,本科(普通),工学,土木类,强调“厚基础、重个性、强能力、国际化”，注重培养基础宽厚，富有创新意识和创造能力，在工程及其相关领域具有科学研究能力、开发能力和国际竞争力的高素质创新人才。为研究生培养输送创新能力强、综合素质高的优秀人才。
30_11,30,11,土木工程,四年,工学学士,本科(普通),工学,土木类,本专业面向国家（重点是京津冀区域）城市与工程建设需求，培养德智体美劳全面发展，具有宽厚基础知识、较好人文素养、较强工程实践和可持续学习能力及国际化视野的复合型工程技术创新人才，为行业创新领军人才培养奠定基础。</br>毕业生经过工程实践与创新能力基本训练，具有综合运用所学知识进行土木工程设计、施工、管理、技术开发的能力，具备初步的科学研究能力，具有较好的组织管理、环境适应、交流沟通、团队合作能力，能从事土木工程领域的工程勘察、设计、施工、管理、检测评估、维修加固、技术开发、科学研究等工作。</br>毕业五年左右，具有担任中级专业技术职务或技术负责人的能力。
30_2,30,2,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,本专业旨在培养开放经济新格局下适应我国社会主义经济建设发展需要，德智体美劳全面发展，具有开放的国际视野和创新意识，掌握宽广的经济、管理理论基础及专业技能，熟练应用英语和现代信息技术，熟悉国际经贸环境和通行的国际贸易惯例与规则，能够从事国际商务经营、管理和研究工作的国际化、复合型、高素质人才。
30_35,30,35,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,本专业培养具备管理、经济、法律等方面的知识和能力；掌握管理学的基本理论和现代企业管理的基本知识；结合现代信息技术，掌握企业管理的定性、定量分析方法；具有较强的语言与文字表达、人际沟通以及分析和解决企业管理问题的基本能力；熟悉国际企业管理工作的基本知识和技巧；了解本学科的理论前沿和发展动态；熟练掌握一门外语；掌握文献检索、资料查询的基本方法；具有较强的实际工作能力，能在各类企、事业单位从事管理工作的专门人才。
30_30,30,30,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,培养适应社会主义市场经济建设需要，具备人文素养、科学精神和诚信品质，掌握会计、管理、经济、法律和计算机应用的知识，具有实践能力和沟通技巧，能够在工商企业、金融企业、中介机构、政府机构、事业单位及其他相关部门胜任会计及相关工作的应用型、复合型、外向型和创新型专门人才。
30_46,30,46,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,本专业面向国家、特别是京津冀地区经济与社会发展需要，培养具有社会主义核心价值观，信念执着、品德优良，掌握数学、自然科学和电子工程专业知识，具备电子信息工程专业实践和专业综合能力，能够胜任电子电路、信号与信息处理及相关领域系统设备的研究开发、系统设计、技术支持、测试分析、工程项目实施与管理等工作的可持续发展能力强的高素质创新型人才。
30_3,30,3,法学,四年,法学学士,本科(普通),法学,法学类,法学专业培养德才兼备、德法兼修，具有扎实的专业理论基础和熟练的职业技能、合理的知识结构，具备科学立法、依法行政、公正司法、高效高质量法律服务能力与创新创业能力，坚持中国特色社会主义法治思想的复合型、应用型、创新型法治人才及后备力量。
30_15,30,15,工业设计,四年,工学学士,本科(普通),工学,机械类,培养学生具备人文-科技-美学多学科知识融合的系统理论和设计思想，能够对人的需求进行恰如其分的研究，从人的本质需求出发进行产品创新设计研究，通过设计工程技术途径，实现设计创造价值符合社会进步价值，实现自身知识、能力、智慧、素质全面发展，使其成为具有创造能力的不同潜质的综合性应用型设计创新人才。</br>该专业专注于产品研发过程中的设计程序，以及用户研究、用户体验、工程技术、市场调研观测、服务设计等知识方法能力。
