special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
52_1474,52,1474,特殊教育,四年,教育学学士,本科(普通),教育学,教育学类,<p>本专业培养具备普通教育和特殊教育的知识和能力，主要能在特殊教育机构及与特殊教育相关的机构从事特殊教育实践、理论研究、管理工作等方面的高级专门人才。 </p>
52_1429,52,1429,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>学制四年，授予文学学士学位</p>
52_1436,52,1436,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,<p>本专业培养掌握数学科学的基本理论与基本方法，具备运用数学知识、使用计算机解决实际问题的能力，受到科学研究的初步训练，能在科技、教育和经济部门从事研究、教学工作或在生产经营及管理部门从事实际应用、开发研究和管理工作的高级专门人才。 </p>
52_1438,52,1438,物理学,四年,理学学士,本科(普通),理学,物理学类,<p>本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才。 </p>
52_1435,52,1435,历史学,四年,历史学学士,本科(普通),历史学,历史学类,<p>本专业培养具有一定的马克思主义基本理论素养和系统的专业基本知识，有进一步培养潜能的史学专门人才，以及能在国家机关、文教事业、新闻出版、文博档案及各类介事业单位从事实际工作的应用型、复合型高级专门人才。</p>
52_1451,52,1451,心理学,四年,理学学士,本科(普通),理学,心理学类,<p>本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才。 </p>
52_1440,52,1440,天文学,四年,理学学士,本科(普通),理学,天文学类,<p>本专业培养具备良好的数学、物理和天文等方面的基本知识和基本能力，能在天文学及相关学科从事科研、教学和技术工作的高级专业人才。 </p>
52_1421,52,1421,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,<p>本专业培养的学生应较系统地掌握马克思主义经济学基本原理和国际经济、国际贸易的基本理论，掌握国际贸易的基本知识与基本技能，了解当代国际经济贸易的发展现状，熟悉通行的国际贸易规则和惯例，以及中国对外贸易的政策法规，了解主要国家与地区的社会经济情况，能在涉外经济贸易部门、外资企业及政府机构从事实际业务、管理、调研和宣传策划工作的高级专门人才。</p>
52_1442,52,1442,地理科学,四年,理学学士,本科(普通),理学,地理科学类,<p>本专业培养地理科学的基本理论、基本知识和基本技能，能在科研机构、学校、企业从事科研、教学、管理、规划与开发及在行政部门从事管理工作的高级专门人才。</p>
52_1426,52,1426,体育教育,四年,教育学学士,本科(普通),教育学,体育学类,<p>本专业培养具备系统地掌握体育教育的基本理论、基本知识和基本技能，掌握学校体育教育工作规律，具有较强的实践能力，在全面发展的基础上有所专长，能在中等学校等从事体育教学、课外体育活动、课余体育训练和竞赛工作，并能从事学校体育科学研究、学校体育管理、社会体育指导等工作的高级专门人才。 </p>
52_627563,52,627563,传播学（网络新媒体方向）,四年,文学学士,本科(普通),文学,新闻传播学类,"<p>    培养目标：本专业培养能够在各类传媒、党政机关、企事业单位以及其他公共传播机构从事
跨国际、跨文化、跨专业领域公共关系协调和公共信息传播的专业人才。本专业毕业生具备比较
宽厚的人文、社会科学基础知识和一定的自然科学基础知识，能以马克思主义的立场、观点、方法
独立观察分析社会现象，系统掌握新闻传播学及其他相关学科的基本知识和技能，熟悉媒体融合
的发展趋势与运作机制。
</p><p>    培养要求：本专业要求学生学习新闻传播学知识背景，熟悉媒体融合的新趋势，熟悉大众媒
体运作机制，熟练掌握新媒体及网络媒体应用技能，通晓新闻传播、文化宣传政策和法规，熟练运
用外语和计算机。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握马克思主义基本原理和新闻传播学的基本理论、基本知识；
</p><p>    2．熟悉公共传播相关的法律、制度、方针、政策；
</p><p>    3．接受公共传播和社会形势研究、社会调查与统计等方面的基本训练，具有调查研究、分析
判断和协调组织等方面的基本能力，具有独立、综合地分析各类公共传播现象和解决各种公共传
播问题的能力；
</p><p>    4．具有较高的文字写作、口语表达水平和较强的组织领导能力、团队合作精神、国际沟通
能力；
</p><p>    5．能够熟练地掌握和运用一门外语，学会电脑操作与统计分析，掌握文献检索、资料查询的
基本方法和手段，具有一定的科学研究能力和在现代传播媒体和其他公共传播部门从事较强的
实际工作的能力。
</p><p>    主干学科：新闻传播学。
</p><p>    核心课程：马克思主义新闻思想、新闻学概论、传播学概论、新闻采访与写作、媒介融合概论、
传播学研究方法、人际传播学、组织传播学、政治传播、公共危机传播管理、公共关系学、演讲与修
辞、说服与传播运作设计、传播统计软件应用。
</p><p>    主要实践性教学环节：新闻媒体（报纸、电台、电视台）、新闻网站以及大型企事业单位从事
公关实习。实习可分为一次或两次，实习时间不少于20周。
</p><p>    主要专业实验：新闻采访与写作、多媒体制作、公共关系操作。
</p><p>    修业年限：四年。
</p><p>    授予学位：文学学士。
</p>"
52_1461,52,1461,日语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>培养了解日本政治、经济、历史、文化、文学等方面的基础知识，能在外事、经贸、文化、新闻出版等部门，从事管理及接待工作的高级技术应用性专门人才。 　</p>
52_1459,52,1459,哲学,四年,哲学学士,本科(普通),哲学,哲学类,<p>本专业培养具有一定马克思主义哲学理论素养和系统的专业基础知识，有进一步培养潜质的哲学专门人才，以及能在国家机关、文教事业、新闻出版、企业等部门从事实际工作的应用型、复合型高级专门人才。 </p>
52_1458,52,1458,公共事业管理,四年,管理学学士,本科(普通),管理学,公共管理类,<p>本专业培养具备现代管理理论、技术与方法等方面的知识以及应用这些知识的能力，能在文教、体育、卫生、环保、社会保险等公共事业单位行政管理部门从事管理工作的高级专门人才。 </p>
52_1457,52,1457,人力资源管理,四年,管理学学士,本科(普通),管理学,工商管理类,<p>本专业培养具备管理、经济、法律及人力资源管理等方面的知识和能力，能在事业单位及政府部门从事人力资源管理以及教学、科研方面工作的工商管理学科高级专门人才。 </p>
52_1456,52,1456,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>本专业培养具备管理、经济、法律和会计学等方面的知识和能力，能在企、事业单位及政府部门从事会计实务以及教学、科研方面丁作的工商管理学科高级专门人才。</p>
