special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
43_993,43,993,林学,四年,农学学士,本科(普通),农学,林学类,<p>学制四年，授农学学士学位。</p><p>培养目标：培养具备森林培育、森林经理、林木遗传育种、野生植物资源开发利用等方面的理论知识和技术，能从事林木良种选育、森林培育（包括经济林栽培）、森林资源经营管理、森林资源保护及开发利用、自然保护区与森林公园经营管理、城市绿地规划与设计、生态环境建设等方面工作的高级复合型专业技术人才。</p><p>主要课程：气象学、植物学、植物生理学、土壤学、树木学、测树学、森林生态学、林木遗传育种、森林培育学、森林有害生物控制、森林经理学、森林资源资产评估、森林资源监测与管理、经济林学、野生动物保护与管理等。</p><p>就业方向：毕业生可在林业、环保、园林、规划设计、国土绿化、科研、教育等企事业单位和行政部门，从事森林培育、森林调查规划设计、森林资源经营管理、森林保护、植物资源开发与利用、经济林培育与加工利用、生态环境综合治理、城市园林绿化、公园经营管理等方面的生产、行政管理和教学科研工作。</p>
43_976,43,976,园林,四年,农学学士,本科(普通),农学,林学类,<p>培养具有生态学、园林植物、园林规划设计、园林建筑工程等领域的基础知识，具有园林植物的繁殖、栽培、养护、管理及应用的基本能力，能够运用生态学理论、植物学理论、艺术及设计理论进行规划设计艺术创作及表达、城市园林绿化施工与组织管理，从事园林植物繁育、养护管理与应用、城乡各类园林绿地的规划与设计，园林施工组织与管理等方面工作的高级复合型科学技术人才。</p>
43_1010,43,1010,农林经济管理,四年,管理学学士,本科(普通),管理学,农业经济管理类,<p>培养具备宽厚的经济科学、管理科学和相关农林科学的基础理论知识，掌握农林业经济管理、社会经济调查、数量经济分析、技术经济分析、资源经营管理、政策评估和计算机应用等基本方法和技能，具有宽广复合的知识面、扎实的专业素养、较强的实践动手能力和开拓创新精神的复合型卓越农林经济管理人才。</p>
43_972,43,972,木材科学与工程,四年,工学学士,本科(普通),工学,林业工程类,<p>学制四年，授工学学士学位。</p><p>木材科学与工程专业源自1958年开始招生的木材机械加工专业，经过多年的专业建设，于1998年正式以木材科学与工程专业进行招生，同时设置木材科学与工程专业（家具设计与制造方向），2008年木材科学与工程专业被评为国家级一类特色专业建设点。木材科学与工程专业是北京林业大学历史悠久、富有特色的专业之一，是北京林业大学的校级特色专业和品牌专业，具有北京市优秀教学团队。</p><p>培养目标：培养掌握木材及其木质复合材料的物理、化学和力学性能与加工工艺的基本理论，掌握木制产品结构设计与制造工艺基本知识和技能，具有工艺设计、产品开发与技术管理等方面能力的高级工程技术人才。</p><p>主要课程：机械设计基础、高分子概论、木材学、工程木制材料、木材干燥学、木材保护与改性、木质环境学、木工机械、木材切削原理与刀具、胶粘剂与涂料、木制品生产工艺学、人造板生产工艺学、企业管理、人体工程学、室内装饰材料与工程、家具设计、木工计算机辅助设计等。</p><p>就业方向：毕业生可在木材加工、家具生产和销售企业、建筑装饰公司以及相关教学和研究部门从事材料研发、企业管理、技术支持和教学、科研工作。</p>
43_99806,43,99806,水土保持与荒漠化防治,四年,农学学士,本科(普通),农学,自然保护与环境生态类,"<p>    培养目标：本专业培养适应社会经济发展、满足水土保持行业及水土保持学科发展需要，掌
握水土保持与荒漠化防治的基本理论、基本知识和基本技能，德、智、体等方面全面发展，具有求
实创新能力的复合型专业人才。本专业毕业生可在林业、水利、农业、公路、铁路、采矿、环境保
护、国土资源等行业从事教学、科研、规划、设计、施工、监测、资源开发、工程管理等工作。
</p><p>    培养要求：本专业学生主要学习水土保持学科的基本理论和基本知识，接受应用基础研究和
应用研究方面的科学思维和科学实验训练，具有较好的科学素养和一定的教学、科研和工程管理
能力。
</p><p>    毕业生应获得以下几方面的知识、能力和素质：
</p><p>    1．素质结构
</p><p>    (1)具备较高的思想道德素质，包括正确的政治方向、遵纪守法、诚信为人，有较强的团队意
识和健全的人格；
</p><p>    (2)具备较高的文化素质，掌握一定的人文社科基础知识，具有较好的人文修养，具有国际
化视野和现代意识和健康的人际交往意识；
</p><p>    (3)具备良好的专业素质，接受严格的科学思维训练，掌握一定的科学研究方法，有求实创
新的意识和革新精神，在农学领域具有较好的综合分析素养和价值效益观念；
</p><p>    (4)具备良好的身心素质，包括具有健康的体魄、良好的心理素质和生活习惯。
</p><p>    2．能力结构
</p><p>    (1)获取知识的能力：掌握文献检索、资料查询的基本方法，具有良好的自学习惯和能力，具
有一定的科学研究和实际工作能力，具有较强的调查研究与决策、组织与管理、口头与文字表达
能力，具有独立获取知识、信息处理和创新的基本能力，具有较强的对环境和社会的适应能力；
</p><p>    (2)应用知识能力：具有良好的学风和协作奉献精神，具有综合运用所掌握的理论知识和技
能从事水土保持与荒漠化防治基础理论及相关领域的技术开发、组织管理、教学与科研工作
能力；
</p><p>    (3)创新能力：具备较强的创造性思维能力，具有开展创新实验和科技开发的基本能力。
</p><p>    3．知识结构
</p><p>    (1)工具性知识：能较熟练地运用外语阅读专业期刊和进行文献检索，有初步的外语交流和
科技写作能力，具有较强的计算机操作能力；
</p><p>    (2)人文社会科学知识：具有哲学、中国传统文化、艺术、法学、心理学等方面的知识；
</p><p>    (3)自然科学知识：具有较强的数学、物理学、化学、计算机科学等方面的知识；
</p><p>    (4)管理学知识：具有初步的经济学、水土保持与荒漠化防治等相关工程管理方面的知识；
</p><p>    (5)专业知识：具有水土保持与荒漠化防治的基本知识，了解农林业生产和科学技术的科学
前沿和发展趋势，掌握生态环境建设规划、水土保持与荒漠化防治的规划与设计、水土保持与水
利工程技术、荒漠化防治工程技术、景观规划设计技术、现代信息管理技术、项目工程建设管理技
术、生态环境与灾害监测评估等技术，熟悉我国相关的政策和法规。
</p><p>    主干学科：水土保持与荒漠化防治、土壤学、生态学。
</p><p>    核心课程：土壤侵蚀原理、水文与水资源学、风沙物理学、水土保持工程学、荒漠化防治工程
学、林业生态工程学。
</p><p>    主要实践性教学环节：课程实验（主要专业基础课和专业课实验）、教学实习、社会实践、科
研训练、毕业论文（毕业设计）等。
</p><p>    主要专业实验：土壤侵蚀原理实验、水文与水资源学实验、地貌学实验、生态学实验、水土保
持工程学实验、荒漠化防治工程学实验、林业生态工程学实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：农学学士。
</p>"
43_1023675,43,1023675,生物科学,四年,理学学士,本科(普通),理学,生物科学类,"<p>    培养目标：本专业培养具备生物学基础理论、基本知识和基本技能，具有数理化基础、人文社
科素质、国际化视野和科学思维能力，接受专业理论和专业技能训练，并能运用所掌握的理论知
识和技能在生物学及相关领域从事科学研究、技术开发、教学及管理等方面工作的创新型人才。
</p><p>    培养要求：本专业学生主要学习数理化基础、生物学基本理论和基本知识以及人文社科知
识，接受专业技能和科学研究方面的基本训练，具备科学思维和国际化视野，掌握从事生物学及
相关领域基础科学研究及应用技术开发的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的职业道德、高度社会责任感和丰富的人文科学素养；
</p><p>    2．掌握生物学的基础理论及基本知识，具有扎实的数学、物理、化学的学科基础，具有计算
机及信息科学和人文社会科学等方面的基本素质；
</p><p>    3．掌握群体、个体、细胞和分子等生物学不同层次的分析方法与实验技术；
</p><p>    4．具有从事生物学相关领域研究、教学和管理的初步能力；
</p><p>    5．熟悉生物学及其发展规划的相关方针、政策和法规；
</p><p>    6．了解国内外的生物学理论前沿和应用前景；
</p><p>    7．具有初步的科学研究和实际工作能力，具有一定的批判性思维能力，具有适应社会需求、
继续深造的潜能，以及应对危机与突发事件的初步能力；
</p><p>    8．具有一定的国际视野和初步的交流、竞争与合作能力。
</p><p>    主干学科：生物学、医学、农学。
</p><p>    核心知识领域：生命的化学分子基础、细胞的结构与功能及其重要生命活动、动物体的结构
与功能、植物体的结构与功能、微生物的特征与代谢、生物多样性与进化、生物与环境。
</p><p>    核心课程示例（以下课程按每16学时折合1学分）：
</p><p>    示例一：动物生物学（理论课48学时，实验课48学时）、植物生物学（理论课48学时，实验
课48学时）、生物化学（理论课80学时，实验课48学时）、细胞生物学（理论课48学时，实验课
48学时）、遗传学（理论课48学时，实验课48学时）、微生物学（理论课48学时，实验课48学
时）、分子生物学（32学时）等。
</p><p>    示例二：动物生物学（理论课64学时，实验课32学时）、植物生物学（理论课48学时，实验
课32学时）、生物化学（理论课80学时，实验课32学时）、细胞生物学（理论课48学时，实验课
32学时）、遗传学（理论课48学时，实验课32学时）、微生物学（理论课48学时，实验课32学
时）、生态学（理论课48学时，实验课32学时）、分子生物学（32学时）等。
</p><p>    示例三：植物生物学（理论课64学时，实验课64学时）、动物生物学（理论课64学时，实验
课64学时）、生物化学（理论课64学时，实验课32学时）、微生物学（理论课48学时，实验课32
学时）、遗传学（理论课48学时，实验课32学时）、细胞生物学（理论课32学时，实验课16学
时）、分子生物学（理论课32学时，实验课16学时）等。
</p><p>    主要实践性教学环节：野外综合实习、综合实践及毕业论文、学术与科技活动等。
</p><p>    主要专业实验：植物生物学实验和动物生物学实验（或普通生物学实验）、微生物学实验、生
物化学与分子生物学实验、细胞生物学实验、遗传学实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
43_1015,43,1015,林产化工,四年,工学学士,本科(普通),工学,林业工程类,"<p>学制四年，授工学学士学位。</p><p>基于本专业的林产化学加工工程学科1993年成为硕士点，2000年成为博士点，2006年被批准为国家林业局重点学科，2007年被批准为北京市重点学科，为国家“985”优势学科平台建设学科和“211工程”二期、三期重点建设学科。</p><p>培养目标：培养具有宽厚的化工基础,掌握化学及化工基础理论和生物质化学利用技术，可在生物质材料、能源、化学品、精细化工、生物医药等领域从事生产过程的设计、产品开发、技术服务、研究和管理等方面工作的高级工程技术人才。</p><p>主要课程：物理化学、有机化学、分析化学、仪器分析、化工原理、过程控制及仪表、工业微生物、有机合成与高分子化学、植物资源化学、林产化工工艺学、精细化学品生产工艺学、生物化工工艺学、生物质能源技术、天然高分子材料与改性等。</p><p>就业方向：毕业生可在生物质材料、能源、化学品、精细化工、有机化工、日用化工、食品化工、生物医药、质量检测等国内外相关企事业、科研机构、设计院以及教学单位，从事生产技术、企业管理、工艺设计、科研和教学工作。</p>"
43_1024,43,1024,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>培养适应社会主义现代化建设需要、德智体美全面发展、具备电气工程基础知识与应用能力，能在工业生产第一线从事产品开发、科技研究、工程设计、运行管理和经营销售等方面工作的复合型高级电气工程技术人才。</p>
43_1019,43,1019,车辆工程,四年,工学学士,本科(普通),工学,机械类,<p>培养具备与车辆工程相关的机械设计、制造、控制的理论基础知识和综合专业技能，接受现代工程师的基本训练，具有从事车辆设计、制造、控制的工程技术能力与管理服务能力的工程技术与研究人才。</p>
43_1020,43,1020,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>以机械设计与制造为核心，面向机电一体化，培养具备机械设计、制造、自动化基本知识与运用能力，能够在现代制造业及相关领域内从事机电产品的设计制造、科技开发、应用技术研究、生产组织管理和经营管理工作的高级复合型专业技术人才。</p>
