special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
47_1212,47,1212,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,　　学科：理学 <br />　　门类：数学类 <br />　　专业名称：数学与应用数学 <br /><br /> <br />　　业务培养目标：本专业培养掌握数学科学的基本理论与基本方法，具备运用数学知识、使用计算机解决实际问题的能力，受到科学研究的初步训练，能在科技、教育和经济部门从事研究、教学工作或在生产经营及管理部门从事实际应用、开发研究和管理工作的高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习数学和应用数学的基础理论、基本方法，受到数学模型、计算机和数学软件方面的基本训练，具有较好的科学素养，初步具备科学研究、教学、解决实际问题及开发软件等方面的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．具有扎实的数学基础，受到比较严格的科学思维训练，初步掌握数学科学的思想方法； <br />　　2．具有应用数学知识去解决实际问题，特别是建立数学模型的初步能力，了解某应用领域的基本知识； <br />　　3．能熟练使用计算机(包括常用语言、工具及一些数学软件)，具有编写简单应用程序的能力； <br />　　4．了解国家科学技术等有关政策和法规； <br />　　5．了解数学科学的某些新发展和应用前景； <br />　　6．有较强的语言表达能力，掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法，只有一定的科学研究和教学能力。 <br /><br />　　主干学科：数学 <br /><br />　　主要课程：分析学、代数学、儿何学、概率论、物理学、数学模型、数学实验、计算机基础、数值法、数学史等，以及根据应用方向选择的基本课程。 <br /><br />　　主要实践性教学环节：包括计算机实习、生产实习、科研训练或毕业论文等，一般安排10-20周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：理学学士 <br /><br /> <br />
47_1210,47,1210,信息与计算科学,四年,理学学士,本科(普通),理学,数学类,"<p>    培养目标：本专业是以信息技术、计算技术和运筹控制技术的数学基础为研究对象的理科类
专业，培养具有良好的数学基础和数学思维能力，掌握信息或计算数学的基本理论、方法与技能，
接受科学研究的初步训练，能解决信息技术或科学与工程计算中的实际问题的高级专门人才。
本专业毕业生能在科技、教育、信息产业、经济金融等部门从事研究、教学、应用开发和管理工作，
或继续攻读硕士、博士学位。
</p><p>    培养要求：本专业学生主要学习数学和信息科学的基本理论和基本方法，接受数学建模、计
算方法、程序设计和应用软件等方面的基本训练，受到数学和信息理论及其应用方面的良好教
育，具有较高的科学素养和较强的创新意识，具有科学研究、教学、解决信息技术或科学工程计算
中实际问题等方面的基本能力和较强的更新知识的能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的数学基础，掌握信息科学、计算数学或运筹控制的基础理论和基本方法；
</p><p>    2．具备熟练应用计算机（包括常用语言、工具软件及专用软件）的基本技能，具有较强的算
法设计、算法分析与编程能力；
</p><p>    3．能运用所学的理论、方法和技能解决信息技术或科学与工程计算或运筹控制中的某些实
际问题；
</p><p>    4．接受科学研究的初步训练，了解信息科学、计算数学或运筹控制理论、技术与应用的新发
展，具有较强的知识更新、技术跟踪及创新的能力。
</p><p>    主干学科：数学、计算机科学与技术。
</p><p>    核心知识领域：几何、分析、代数、微分方程、概率统计、数值计算、信息科学、运筹与控制、计
算机软件与应用。
</p><p>    核心课程：数学分析、高等代数、解析几何、概率统计、物理学、常微分方程、复变函数论、程序
设计与算法语言、数据结构与算法、数值分析、数据分析、数学建模。
</p><p>    核心课程示例：
</p><p>    示例一：数学分析I-Ⅲ（304学时）、高等代数I-Ⅱ（192学时）、空间解析几何（96学时）、
常微分方程（96学时）、概率统计（96学时）、实变函数（96学时）、普通物理（144学时）、大学计
算机基础（64学时）、C语言与程序设计（96学时）、数学物理方程（96学时）、复变函数（96学
时）、数学模型（64学时）、数值分析I（64学时）、数值分析Ⅱ（64学时）、数据结构与算法（64学
时）、微分方程数值解法（64学时）、泛函分析（64学时）、信息论基础（64学时）。
</p><p>    示例二：大学物理（130学时）、C语言程序设计（46学时）、微机原理与系统设计（78学
时）、数学分析（240学时）、高等代数（1 36学时）、空间解析几何（46学时）、复变函数（46学
时）、概率论与数理统计（90学时）、常微分方程（46学时）、实变函数（46学时）、数学物理方
程（46学时）、泛函分析（46学时）、数值逼近（60学时）、数值代数（60学时）、微分方程数值解
（60学时）。
</p><p>    示例三：大学物理（96学时）、C语言程序设计（64学时）、数学分析（288学时）、高等代数
（144学时）、解析几何（48学时）、复变函数（64学时）、概率论与数理统计（64学时）、常微分方
程（56学时）、数学物理方程（48学时）、泛函分析（64学时）、数值分析（80学时）、数据结构与算
法（80学时）、数据库原理与技术（64学时）、运筹学（48学时）、数学建模（48学时）。
</p><p>    主要实践性教学环节：学术与科技活动、课程设计及实验、毕业实习及社会调查（实践）、毕
业论文（设计）等。
</p><p>    主要专业实验：（并行）程序设计与实现。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
0702  物理学类
</p>"
47_1213,47,1213,应用物理学,四年,理学学士,本科(普通),理学,物理学类,"<p>    培养目标：本专业培养具有较扎实的物理学基础和相关应用领域的专门知识，具有较强实践
能力和创新意识，能在应用物理学科、交叉学科以及相关科学技术领域从事研究、教学、新技术开
发与应用以及管理工作的人才。本专业部分毕业生适合在相关学科领域进一步深造。
</p><p>    培养要求：本专业学生主要学习物理学和特定专业方向的基本知识与原理、基本实验技能与
技术，接受科学思维和物理学研究方法的训练，具有科学精神、科学素养、科学作风和创新意识，
具备一定的独立获取知识的能力、实践能力和技术开发能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有职业道德和爱国敬业精神；
</p><p>    2．具有科学的世界观，较为系统地掌握物理学和特定专业方向的基本理论、基本技能，具备
本专业所需的数学基础知识，具有职业安全意识；
</p><p>    3．掌握外语、计算机及信息技术、专利申请等方面的知识和人文社会科学知识，并掌握其他
自然科学和相关工程技术的基础知识；
</p><p>    4．具有一定的创造性思维能力、科学研究能力和技术开发能力；
</p><p>    5．具有独立获取知识和应用知识的能力，具有技术管理能力、书面和口头表达能力、与人沟
通能力、团队协作能力，以及活动策划能力，具有一定的国际视野和跨文化环境下的交流能力；
</p><p>    6．了解国家科学技术、知识产权等有关政策和法规；
</p><p>    7．了解应用物理学相关专业方向的前沿、发展动态、应用前景以及相关高新技术产业的发
展状况。
</p><p>    主干学科：物理学。
</p><p>    核心知识领域：机械运动现象与规律、热运动现象与规律、电磁和光现象与规律、物质微观结
构和量子现象与规律、凝聚态物质结构及性质、时空结构、物理学中的数学方法。
</p><p>    核心课程示例：
</p><p>    示例一：经典力学（64学时）、热学（48学时）、电磁学（64学时）、光学（64学时）、原子物理
学（48学时）、数学物理方法（64学时）、电动力学I（48学时）、热力学与统计物理I（48学时）、
量子力学I（48学时）、分析力学（32学时）、固体物理（64学时）、电工电子技术（电路80学时+
模电60学时+数电56学时+实验48学时）、计算物理（56学时）、半导体物理（48学时）、光电子
学（64学时）、光电技术及其应用（32学时）。
</p><p>    示例二：普通物理学（力学、热学，80学时）、普通物理学（电磁学，64学时）、普通物理学（光
学，56学时）、原子与原子核物理学（56学时）、理论力学（48学时）、热力学与统计物理（56学
时）、电动力学（56学时）、量子力学（64学时）、固体物理学（56学时）、数学物理方法（64学时）、
计算物理（48学时）、模拟电路（40学时）、数字与逻辑电路（48学时）、传感器原理及应用（48学
时）、单片机原理及应用（48学时）、智能仪器原理(40学时)。
</p><p>    示例三：大学物理（136学时）、固体物理（51学时）、量子力学（68学时）、模拟电路（51学
时）、半导体物理（51学时）、热力学统计物理（51学时）、电动力学（68学时）、原子物理（51学
时）、数理方法（68学时）。
</p><p>    主要实践性教学环节：生产实习、科研训练、大学生创新训练、毕业论文（毕业设计）等。
</p><p>    主要专业实验：普通物理实验、近代物理实验、电工电子实验、应用物理方向专业实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
47_1233,47,1233,工程力学,四年,工学学士,本科(普通),工学,力学类,"<p>  培养目标：本专业培养适应我国社会主义现代化建设需要，德、智、体等方面全面发展，掌握
工程力学专业的基础理论以及计算技术与实验技能，能够在有关工程领域中从事与力学问题相
关的工程设计与分析、技术开发及技术管理工作，或继续攻读硕士、博士学位的工程力学及相关
专业的高层次研究人才或高校教师。
</p><p>    培养要求：本专业学生主要学习工程力学的基本理论和基本知识，接受必要的工程技能训
练，具有应用计算机和现代实验技术手段解决与力学有关的工程问题的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的思想道德素质、强烈的民族自豪感和社会责任感，身心健康；
</p><p>    2．具有较好的人文、艺术和社会科学基础及较强的文字表达能力；
</p><p>    3．具有较扎实的数学和其他相关的自然科学以及工程技术的基础理论知识；
</p><p>    4．具有较系统的工程力学专业基础知识，较扎实的综合实验能力、工程实践能力和力学建
模的能力；
</p><p>    5．具有初步的解决与力学有关的工程技术问题的能力，了解学科前沿与发展趋势；
</p><p>    6．具有初步的与力学有关的工程计算与分析能力，以及大型工程软件的应用与开发的
能力；
</p><p>    7．具有自学能力、创新意识、团队精神和发展潜力；
</p><p>    8．具有外语听、说、读、写的综合运用能力及查阅外文科技文献的能力。
</p><p>    主干学科：力学。
</p><p>    核心知识领域：理论力学、材料力学、弹性力学、流体力学、实验力学、计算力学、振动力学。
</p><p>    主要实践性教学环节：课程设计、综合大作业或小论文，金工实习、与应用背景有关的专业认
识实习以及专业（生产）实习、毕业论文（设计）等。
</p><p>    主要专业实验：固体力学实验、流体力学实验、动力学实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
0802  机械类
</p>"
47_1215,47,1215,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,<p>学科：理学</p><p>门类：</p><p>培养目标:养具备包括金属材料、无机非金属材料、高分子材料等材料领域的科学与工程方面较宽的基础知识，能在各种材料的制备、加工成型、材料结构与性能等领域从事科学研究与教学、技术开发、工艺和设备设计、技术改造及经营管理等方面工作，适应社会主义市场经济发展的高层次、高素质全面发展的科学研究与工程技术人才。</p><p>主要课程：物理化学、量子与统计力学、固体物理、材料学概论、材料科学基础、材料物理、材料化学、材料力学、材料科学研究方法、材料工艺与设备、计算机在材料科学中的应用等。</p><p>就业方向：可从事钢企、制造企业、汽车厂，以及陶瓷、水泥、家电等企。</p>
47_1232,47,1232,飞行器动力工程,四年,工学学士,本科(普通),工学,航空航天类,　　学科：工学 <br />　　门类：航空航天类 <br />　　专业名称：飞行器动力工程 <br /><br /> <br />　　业务培养目标：本专业培养具备飞行器动力装置或飞行器动力装置控制系统等方面的知识，能在航空、航天、交通、能源、环境等部门从事飞行器动力装置及其它热动力机械的设计、研究、生产、实验、运行维护和技术管理等方面工作的高级工程技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习有关飞行器动力装置的基础理论和基本知识，受到机械工程设计、实验测试和计算机应用等方面的基本训练，具有飞行器动力装置及控制系统的设计、实验和运行维护等方面的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握扎实的数学、力学、机械学及电子学等学科的基本理论、基本知识； <br />　　2．掌握飞行器动力装置或飞行器动力装备控制系统的原理和结构的设计和分析方法； <br />　　3．具有综合的机械工程设计的基本能力； <br />　　4．了解飞行器动力装置的应用前景和发展动态； <br />　　5．掌握文献检索、资料查询的基本方法，具有初步的科学研究和实际工作能力； <br />　　6．具有较高的人文社会科学知识的修养，具有一定的组织管理能力和社会活动能力。<br /><br />　　主干学科：机械工程、力学、动力工程与工程热物理。 <br /><br />　　主要课程：机械原理及机械设计、电工与电子技术、工程力学、自动控制原理、工程热力学、传热学、动力装置原理及结构、动力装置制造工艺学等。 <br /><br />　　主要实践性教学环节：包括金工实习、工程图测绘、认识实习、计算机应用与上机实践、课程设计(机械原理及机械零件课程设计、动力装置课程设计)、专业综合实验(热工综合实验、自控综合实验)、校外生产实习、毕业设计，一般安排30——35周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士  <br /><br />
47_1227,47,1227,飞行器设计与工程,四年,工学学士,本科(普通),工学,航空航天类,　　学科：工学 <br />　　门类：航空航天类 <br />　　专业名称：飞行器设计与工程 <br /><br /> <br />　　业务培养目标：培养具有较好数学、力学基础知识和飞行器工程基本理论及飞行器总体结构设计与强度分析、试验能力，能从事飞行器(包括航天器与运载端)总体设计、结构设计与研究、结构强度分析与试验，并有从事通用机械设计及制造的高级工程技术人员和研究人员。 <br /><br />　　业务培养要求：本专业学生主要学习飞行器设计方面的基本理论和基本知识，受到航空航天飞行器工程方面的基本训练，具有参与飞行器总体和部件设计方面的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握飞行器设计的基本理论、基本知识； <br />　　2．掌握飞行器结构设计的分析方法； <br />　　3．具有飞行器设计的基本能力； <br />　　4．熟悉航空航天飞行器设计的方针、政策和法规； <br />　　5．了解航空航天飞行器设计的理论前沿、应用前景和发展动态； <br />　　6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。 <br /><br />　　主干学科：航空宇航科学与技术、力学、机械学。 <br /><br />　　主要课程：材料力学、机械设计、弹性力学、结构力学、流体力学与空气动力学基础、飞行器动力学、飞行力学、力学性能与结构强度、试验技术、自动控制理论等。 <br /><br />　　主要实践性教学环节：包括机械制图、金工实习、生产实习、计算机应用与上机实践、课程设计、毕业设计。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士  <br /><br />
47_1129707,47,1129707,智能制造工程,四年,工学学士,本科(普通),工学,机械类,"专业定义</br>

智能制造工程专业立足“新工科”培养理念，该专业主要研究智能产品设计制造、智能装备故障诊断、维护维修，智能工厂系统运行、管理及系统集成等，培养能够胜任智能制造系统分析、设计、集成、运营的学科知识交叉融合型工程技术人才及复合型、应用型工程技术人才。</br>

课程体系</br>

《人工智能技术》、《工业机器人技术》、《计算机程序设计（Python、Java）》、《智能制造信息系》、《工业互联网》、《数据库技术》、《机械设计基础》、《物联网技术与应用》等。</br>

就业方向</br>

智能制造行业：智能产品设计及制造、智能制造产品开发、智能产品管理、系统架构规划。</br>"
47_1250,47,1250,交通运输,四年,工学学士,本科(普通),工学,交通运输类,　　学科：工学 <br />　　门类：交通运输类 <br />　　专业名称：交通运输 <br /><br /> <br />　　业务培养目标：本专业培养具备运筹学、管理学、交通运输组织学等方面知识，能在国家及省、市的交通运输管理部门、交通运输企事业单位等从事交通运输组织、指挥、决策，交通运输企业生产与经营管理的高级技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习运筹学、管理学、交通运输组织学方面的基本理论和基本知识，受到交通运输技术管理、商务管理、信息管理的基本训练，具有运用运输技术设备，合理组织运输生产以获得最佳社会与经济效益的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握运筹学、管理学、交通运输组织学等基本理论、基本知识； <br />　　2．掌握一般的最优化方法和计算机在交通运输中应用的基本技术； <br />　　3．具有交通运输组织指挥、交通运输企业生产与经营的基本能力； <br />　　4．熟悉国家关于交通运输方面的方针、政策和法规； <br />　　5．了解交通工程设备及交通运输组织管理的发展动态； <br />　　6．掌握文献检索、资料查询的基本方法，具有初步的科学研究和实际工作能力。 <br /><br />　　主干学科：运筹学、管理学、交通运输组织学。 <br /><br />　　主要课程：运筹学、管理学营销学、财务管理、运输经济学、交通运输设备、交通运输技术管理、交通运输商务管理、交通运输企业管理、交通港站与枢纽、交通运输法规等。 <br /><br />　　主要实践性教学环节：包括工程制图、测量实习、港站实习等，一般安排12周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士  <br /><br /> <br />
47_1467014,47,1467014,飞行器动力工程（航天）,四年,工学学士,本科(普通),工学,航空航天类,"<p>    培养目标：本专业培养具有良好数学基础知识、力学基础知识、飞行器动力工程基本理论，掌
握发动机总体设计、结构设计、控制设计与试验能力，获得飞行器动力工程专业基本工程训练，在
工程实践、信息技术和外语运用等方面具有很强适应能力的高素质工程技术人才。
</p><p>    培养要求：本专业学生主要学习飞行器动力原理、结构设计、控制系统原理及设计、专业实验
等方面的基础理论和专业知识，具有参与发动机总体和结构设计、试验测试、批判性思维等方面
的基本能力。
</p><p>    毕业生应当获得以下几方面的知识和能力：
</p><p>    1．掌握飞行器动力总体设计的基本理论和基本知识；
</p><p>    2．掌握飞行器动力结构设计与强度分析的方法和实验方法；
</p><p>    3．掌握飞行器动力控制系统的设计方法和测试方法；
</p><p>    4．具有飞行器动力工程专业基本工程能力；
</p><p>    5．了解飞行器动力的理论前沿、应用前景和发展动态；
</p><p>    6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。
</p><p>    主干学科：航空宇航科学与技术、动力工程及工程热物理、力学。
</p><p>    核心知识领域：数学分析、理论力学、材料力学、流体力学、工程热力学、空气动力学、传热学、
自动控制原理、航空发动机原理、航空发动机结构设计。
</p><p>    主要实践性教学环节：金工实习、生产实习、科研训练、课程设计、专业实习、毕业设计（论
文）等。
</p><p>    主要专业实验：热工综合实验、流体力学实验、空气动力学实验、强度振动实验、专业综合
实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
