special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
48_1332,48,1332,机械工程,四年,工学学士,本科(普通),工学,机械类,"<p>    培养目标：机械工程是一个宽口径的机械类专业。本专业培养具有宽厚的机械工程基本理
论和基础知识，能在机械工程领域从事工程设计、机械制造、技术开发、科学研究、生产组织管理
等方面工作的复合型高级工程技术人才。
</p><p>    培养要求：本专业学生主要学习数学和其他相关的自然科学知识以及机械设计、机械制造、
控制的基本理论和基本知识，接受机械工程师的基本训练，具备在机械工程领域里从事设计、制
造、技术开发、科学研究、生产组织与管理的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握从事机械工程工作所需的数学和其他相关的自然科学知识以及一定的经济管理
知识；
</p><p>    2．掌握机械工程基础理论和专业知识，了解机械工程前沿发展现状和趋势；
</p><p>    3．具有综合运用所学科学理论和技术方法对于机械工程问题进行系统表达、建立模型、综
合分析并提出解决方案的基本能力；
</p><p>    4．掌握在机械工程实践中基本工艺操作等各种技术、技能，具有使用现代化工程工具的
能力；
</p><p>    5．具有较强的创新意识和对机械工业新产品、新工艺、新技术和新设备进行研究、开发和设
计的初步能力；
</p><p>    6．具有较好的人文社会科学素养、较强的社会责任感，较强的语言文字表达能力、团队合作
精神、一定的组织管理能力和良好的工程职业道德；
</p><p>    7．了解与机械工程相关的法律、法规，具有环境保护和可持续发展等方面的意识，具有一定
的国际视野，正确认识机械工程对于客观世界和社会的影响；
</p><p>    8．具有终身教育的意识和继续学习的能力。
</p><p>    主干学科：机械工程、力学、动力工程及工程热物理。
</p><p>    核心知识领域：工程图学、工程力学、流体力学、传热学、工程热力学、电工电子学、控制工程
基础、工程材料及成型基础、机械设计基础、机械制造工程与技术、机电传动与控制等。
</p><p>    主要实践性教学环节：金工实习、课程实验、课程设计、生产实习、科技创新与社会实践、毕业
实习、毕业设计（论文）等。
</p><p>    主要专业实验：工程力学实验、机械设计基础实验、工程测控实验、电工与电子技术实验、传
动与控制技术实验、机械制造基础实验、互换性测量技术基础实验、材料成型技术基础实验、制造
装备和过程自动化技术实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
48_1338,48,1338,通信工程,四年,工学学士,本科(普通),工学,电子信息类,通信工程专业是面向通信与信息行业、口径较宽、适应面较广的专业。本专业是我校的优势专业，是国家级、北京市级特色专业。集六十余年通信工程专业的办学经验，我校积累了丰富的研究成果和办学实力，取得了突出的成绩。本专业依托信息与通信工程、电子科学与技术两个国家一级重点学科，师资力量雄厚，并与电信运营商和设备制造商建立了长期、广泛和密切的合作，专业学习和实践内容与通信行业发展同步，毕业生备受行业青睐。本专业已为通信信息行业输送了大批优秀的专业技术人才，在社会上享有很高的声誉和知名度
48_1339,48,1339,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,计算机科学与技术专业是全国首批国家级特色专业。本专业是一个软件与硬件结合、网络与通信兼顾的计算机学科宽口径专业，旨在培养具有良好的科学素养，具有自主学习意识和创新意识，科学型和工程型相结合的计算机专业高级工程技术人才。计算机与通信网络相结合是本专业区别于其他高校计算机专业的显著特色。
48_1345,48,1345,电子商务,四年,管理学学士,本科(普通),管理学,电子商务类,"<p>    培养目标：本专业培养具备管理、经济、法律、计算机、电子商务等方面知识，具备人文精神、
科学素养和诚信品质，能在企事业单位从事网站网页设计、网站建设维护、企业商品和服务的营
销策划、客户关系管理、电子商务项目管理、电子商务活动的策划与运作等工作的应用型、复合型
人才。
</p><p>    培养要求：本专业学生主要学习计算机和工商管理方面的基本理论和基本知识，接受电子商
务系统工程的开发、应用与管理方面的基本训练，掌握分析和解决电子商务问题的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握管理学、经济学、计算机、电子商务的基本理论、基本知识；
</p><p>    2．掌握有关电子商务问题的定性和定量分析方法，具有电子商务系统的设计与开发能力；
</p><p>    3．具有较强的语言表达能力，信息采集、信息分析能力及分析和解决电子商务问题的基本
能力；
</p><p>    4．熟悉国内外与电子商务相关的方针、政策和法规和国际惯例；
</p><p>    5．了解电子商务领域的理论前沿和发展动态；
</p><p>    6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力，具有一定的
批判性思维能力。
</p><p>    主干学科：工商管理、计算机、经济学。
</p><p>    核心课程：市场营销学、电子商务概论、网络营销基础与实践、电子商务营销写作实务、电子
商务管理实务、ERP与客户关系管理、电子商务网站建设等。
</p><p>    主要实践性教学环节：专业实习（含课程实习、毕业实习等）。
</p><p>    主要专业实验：电子商务模拟实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：管理学学士或经济学学士或工学学士。
</p>"
48_1326,48,1326,电子科学与技术,四年,工学学士,本科(普通),工学,电子信息类,"<p>    培养目标：本专业培养具有良好的思想品德与人文素养，具备电子科学与技术专业扎实的自
然科学基础、系统的专业知识和较强的实验技能与工程实践能力，具有良好的外语能力，具有创
新意识以及跟踪掌握本专业新理论、新知识、新技术的能力，能够在微电子、光电子、物理电子、电
子材料与元器件、电磁场与微波等方面从事研究、开发、制造及管理工作的专门人才。
</p><p>    培养要求：本专业学生要求在物理学、工程数学、电子学等方面掌握扎实的基础理论，在电子
材料与元器件、微电子器件、光电子器件、物理电子器件、电路与系统等方面接受设计、制造及测
试技术的基本训练，掌握文献资料检索的基本方法，具有较强的本专业领域实验技能与工程实践
能力，初步具有研究、开发新系统和新技术的能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有较好的人文社会科学素养、较强的社会责任感和良好的职业道德，树立终身学习
理念；
</p><p>    2．掌握物理学、工程数学、电子学、信息技术的基本理论和基本知识；
</p><p>    3．掌握电子材料与元器件、微电子器件、光电子器件、物理电子器件、电路及系统的设计方
法及测试技术；
</p><p>    4．具有固体电子技术、微电子技术、光电子技术、物理电子技术和信息处理技术等方面的基
本实验能力；
</p><p>    5．了解电子科学与技术领域的科技发展动态及产业发展状况，熟悉国家电子信息产业政策
及国内外有关知识产权的法律法规，掌握文献检索及运用现代信息技术获取相关信息的基本
方法；
</p><p>    6．能归纳、整理、分析实验结果，具备撰写论文和参与学术交流的基本能力，具有初步的科
学研究能力和一定的批判性思维能力；
</p><p>    7．具备较强的创新意识，初步具有产品设计与开发、技术改造与创新的工程实践能力。
</p><p>    主干学科：电子科学与技术。
</p><p>    核心知识领域：
</p><p>    专业基础核心知识领域：电路原理、电子技术基础、信号与系统、电磁场与电磁波、固态电子
学物理基础（包括量子力学、固体物理、半导体物理等内容）。
</p><p>    专业方向核心知识领域：
</p><p>    1．微电子技术基础、半导体器件、集成电路；
</p><p>    2．物理光学、激光原理与技术、光电子器件；
</p><p>    3．电介质物理、电子材料、电子元器件；
</p><p>    4．物理电子学、电子光学、等离子体物理与技术；
</p><p>    5．微波技术、天线与电波、射频／微波电路。
</p><p>    核心课程示例：
</p><p>    示例一：电子学基础课组（96学时）、数字电路基础课组（96学时）、计算机基础课组（96学
时），信号与系统（64学时）、量子与统计（64学时）、固体物理基础（48学时）、电动力学（48学
时）、激光原理（48学时）、物理光学（48学时）、固态电子与光电子（48学时）。
</p><p>    示例二：核心必修课，包括电路分析基础（68学时）、信号与系统（68学时）、模拟电子技术基
础（60学时）、数字电路与逻辑设计（46学时）、电磁场与电磁波（46学时）、量子力学（46学时）；
专业方向核心限选课，包括固体物理（46学时）、半导体物理（46学时）、物理光学与应用光学(80
学时)、电子材料（46学时）、固态电子器件（76学时）、光电子技术（46学时）、激光原理与技术
（46学时）、电介质物理（46学时）、电子元器件（54学时）。
</p><p>    示例三：电路分析基础（48学时）、信号与系统（64学时）、模拟电子技术（64学时）、数字电路与
逻辑设计（64学时）、量子物理（64学时）、电磁场理论（32学时）、激光原理（48学时）、固体电子导
论（64学时）、物理光学（48学时）、光电子学(48学时)、半导体器件物理（48学时）。
</p><p>    主要实践性教学环节：金工实习、电子工艺实习、课程设计、生产实习、毕业设计（论文）等。
</p><p>    主要专业实验：电路实验、电子技术实验、信号与系统实验、半导体基础实验以及专业方向实
验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士或理学学士。
</p>"
48_1330,48,1330,电信工程及管理,四年,工学学士,本科(普通),工学,电子信息类,依托中英两校优质资源（北邮通信工程专业排名全国第一、伦敦玛丽女王大学全英科研排名前十），电信工程及管理专业是面向信息行业、宽口径的交叉学科。本专业根据现代信息社会需求，培养既具有通信技术、通信系统和信息网方面的基础知识，又具备管理理论基础知识，能在通信领域中从事运营、管理，能开拓国际市场的高素质复合型人才。
48_1321,48,1321,法学,四年,法学学士,本科(普通),法学,法学类,法学专业依托学校强大的信息网络技术优势，培养系统掌握法学理论知识，熟悉我国法律和党的相关政策，熟悉信息网络的发展规律和趋势，熟悉我国现行有关通信、信息网络和电子商务方面的有关法律法规的复合型的高级法律人才，使毕业生具有运用法学理论和方法分析和解决信息网络问题的基本能力，具有比较扎实的计算机应用基础知识和能力，以及熟练的外语能力，能在国家机关、企事业单位和社会团体、特别是能在立法机关、行政机关、检察机关、审判机关、仲裁机构、律师事务所、法律咨询机构、企业法律部门等单位从事相关工作。本专业毕业生连续多年保持100%就业率。
48_1348,48,1348,英语,四年,文学学士,本科(普通),文学,外国语言文学类,英语专业培养既掌握英语语言知识及技能，又了解信息产业领域科学基础知识的跨学科高级外语人才。学生毕业后主要从事信息产业及其他相关的涉外科研、行政及教学工作。此外，英语专业还有外国语言学与应用语言学（含日语）和英语语言文学两个方向的硕士点，毕业时授予文学硕士学位，这也为英语专业本科生继续深造提供了机会。本专业毕业生连续多年保持近100%就业率。
48_1347,48,1347,公共事业管理,四年,管理学学士,本科(普通),管理学,公共管理类,公共事业管理专业旨在培养基本精通公共管理理论、方法与技巧，熟练掌握计算机应用技术和英语技能，具有较强创新意识和较高信息管理能力，能够在政府部门、企事业单位及其它公共组织中胜任管理和研究工作的专门人才。公共事业管理专业拥有雄厚的师资力量，突出信息网络优势，把公共管理理论和实践与信息网络发展背景相综合，注重交叉型知识的传授和复合型能力的培养，侧重公共信息管理（含电子政务）和网络社区管理，满足信息化时代对高素质公共管理人才的全面要求。
48_1356,48,1356,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,工商管理专业对学生进行工商管理理论知识与能力的系统性、全面性培养，注重全局意识和系统思维的训练，强调传统管理理论和手段在新兴IT、互联网、通信行业企业的应用和创新，培养学生掌握环境变化、产业发展和企业运营的基本规律，得到企业经营管理方法和技能的全方位训练，具备分析和解决企业经营管理中各类复杂问题的能力，目标是使学生成为能在各个行业尤其是信息通信、互联网行业的企事业单位及政府机构从事工商管理相关工作的高级专门人才。本专业拥有工商管理一级学科硕士点，毕业生还可报考我院管理科学与工程或应用经济学两个硕士专业。
