special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
127_1781709,127,1781709,播音与主持艺术（按艺术类招生）,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,<p>播音与主持艺术（按艺术类招生）</p><p><br/></p><p>培养目标：以艺术学为基础，突出与广播电视学、新闻传播学等多学科交叉与融合，以视听媒介为载体，培养口语传播能力强、具备艺术表现力、视野开阔，掌握基本理论和技能的艺术专业复合应用型人才。</p><p><br/></p><p>课程设置：广播电视学、新闻传播学、电视艺术学、播音与主持艺术专业课程等。</p><p><br/></p>
127_6315,127,6315,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,　　学科：文学 <br />　　门类：新闻传播学类 <br />　　专业名称：新闻学 <br /><br /> <br />　　业务培养目标：本专业培养具备系统的新闻理论知识与技能、宽广的文化与科学知识．熟悉我国新闻、宣传政策法规，能在新闻、出版与宣传部门从事编辑、记者与管理等工作的新闻学高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习马克思主义基本原理和新闻学基本理论和基础知识，受到新闻业务的基本训练，具有社会活动和科研的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1.掌握新闻学基本理论与基本知识； <br />　　2.掌握新闻采访、写作、编辑、评论、摄影等业务知识与技能； <br />　　3.具有调查研究和社会活动能力； <br />　　4.了解新闻工作的方针、政策和法规； <br />　　5.了解中国新闻工作现状与发展趋势，了解外国新闻工作发展动态。 <br /><br />　　主干学科：新闻传播学 <br /><br />　　主要课程：新闻学概论、中国新闻事业史、外国新闻事业、新闻采访与写作、新闻编辑与评论、马列新闻论著选读、中国历代文学作品选读、大众传播学、新闻法规与新闻职业道德、新闻摄影、 广播电视学、新闻事业管理、广告学与公共关系学等。<br /><br />　　主要实践性教学环节：包括初级实习、毕业实习等，一般安排30周。<br /><br />　　修业年限：四年<br /><br />　　授予学位：文学学士 <br /><br />
127_6331,127,6331,信息安全,四年,工学学士,本科(普通),工学,计算机类,信息安全专业：培养从事计算机网络、通信、电子信息、电子商务、电子金融、电子政务等领域的信息安全专门技术人才。主要课程：组合数学、有限域、数论、离散数学、数字逻辑、信号与系统、数据结构、数值分析、密码学基础、计算机组成原理、操作系统原理、计算机网络、访问控制、信息论与编码、数据库系统原理、计算机系统结构、软件工程、安全技术专题等。 <br>　　毕业生就业去向：信息技术、电子商务、电子政务、电子金融等相关领域和行业；科研院所与高等院校、金融、通信、税务、外贸、工商、交通、海关以及政府管理部门以及其他企事业单位。 <br>
127_6342,127,6342,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>学科：理学</p><p>门类：</p><p>培养目标:培养适应计算机应用学科的发展，特别是软件产业的发展，具备计算机软件的基础理论、基本知识和基本技能，具有用软件工程的思想、方法和技术来分析、设计和实现计算机软件系统的能力，毕业后能在IT行业、科研机构、企事业中从事计算机应用软件系统的开发和研制的高级软件工程技术人才。</p><p>主要课程：马克思主义理论、大学外语、高等数学、大学物理、物理实验、线性代数、概率论与数理统计、程序设计语言、数据结构、离散数学、操作系统、编译技术、软件工程概论、统一建模语言、软件体系结构、软件需求、软件项目管理。</p><p>就业方向：可从事各级各类企事业单位的办公自动化处理、计算机安装与维护、网页制作、计算机网络和专业服务器的维护管理和开发工作、动态商务网站开发与管理、软件测试与开发及计算机相关设备的商品贸易等方面的有关工作。</p>
127_6358,127,6358,临床医学,五年,医学学士,本科(普通),医学,临床医学类,　　学科：医学 <br />　　门类：临床医学与医学技术类 <br />　　专业名称：临床医学 <br /><br /> <br />　　业务培养目标：本专业培养具备基础医学、临床医学的基本理论和医疗预防的基本技能；能在医疗卫生单位、医学科研等部门从事医疗及预防、医学科研等方面工作的医学高级专门人才。<br /><br />　　业务培养要求：本专业学生主要学习医学方面的基础理论和基本知识，受到人类疾病的诊断、治疗、预防方面的基本训练．具有对人类疾病的病因、发病机制作出分类鉴别的能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力：<br />　　1．掌握基础医学中临床医学的基本理论、基本知识； <br />　　2．掌握常见病名发病诊断处理的临床基本技能；<br />　　3．具有对急、难、重症的初步处理能力；<br />　　4．熟悉国家卫生工作方针、政策和法规；<br />　　5．掌握医学文献检索、资料调查的基本方法，具有一定的科学研究和实际工作能力。<br /><br />　　主干学科：基础医学、临床医学。<br /><br />　　主要课程：人体解剖学、组织胚胎学、生理学、生物化学、药理学、病理学、预防医学、免疫学、诊断学、内科学、外科学、妇产科学、儿科学、中医学。<br /><br />　　主要实践性教学环节：毕业实习安排一般不少于48周。<br /><br />　　修业年限：五年<br /><br />　　授予学位：医学学士  <br /><br /> <br />
127_6334,127,6334,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,     机械设计制造及其自动化专业：本专业是工程领域社会需求量最大、应用面最广的专业之一，也是众多专家为广大考生力荐的首选平台专业。我院在该专业有一流的办学实力，不仅师资力量雄厚、实验设备优良，而且在国内外同专业领域享有极高声誉。该专业紧密结合计算机技术、信息技术等高新技术，以培养国内制造业一流人才为己任，使其成为具备机械设计制造基础知识及应用能力、能在生产一线从事机械制造领域的设计制造、科研开发、应用研究、运行管理及经营销售等方面工作的高级工程技术人才。 <br>
127_6341,127,6341,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,"　　学科：工学 <br />　　门类：电气信息类 <br />　　专业名称：电气工程及其自动化 <br /><br /> <br />　　业务培养目标：本专业培养能够从事与电气工程有关的系统运行、自动控制、电力电子技术、信息处理、试验分析、研制开发、经济管理以及电子与计算机技术应用等领域工作的宽口径""复合型""高级工程技术人才。<br /><br />　　业务培养要求：本专业学生主要学习电工技术、电子技术、信息控制、计算机技术等方面较宽广的工程技术基础和一定的专业知识。本专业主要特点是强弱电结合、电工技术与电子技术相结合、软件与硬件结合、元件与系统结合，学生受到电工电子、信息控制及计算机技术方面的基本训练，具有解决电气工程技术分析与控制技术问题的基本能力。<br /><br />　　毕业生应获得以下几方面的知识和能力：<br />　　1．掌握较扎实的数学、物理、化学等自然科学的基础知识，具有较好的人文社会科学和管理科学基础和外语综合能力；<br />　　2．系统地掌握本专业领域必需的较宽的技术基础理论知识，主要包括电工理论、电子技术、信息处理、控制理论、计算机软硬件基本原理与应用等；<br />　　3．获得较好的工程实践训练，具有较熟练的计算机应用能力； <br />　　4．具有本专业领域内1——2个专业方向的专业知识与技能，了解本专业学科前沿的发展趋势； <br />　　5．具有较强的工作适应能力，具备一定的科学研究、科技开发和组织管理的实际工作能力。 <br /><br />　　主干学科：电气工程、计算机科学与技术、控制科学与工程。 <br /><br />　　主要课程：电路原理、电子技术基础、电机学、电力电子技术、电力拖动与控制、计算机技术、信号与系统、控制理论等。 <br /><br />　　主要实践性教学环节：包括电路与电子技术实验、电子工艺实习、金工实习、计算机软件实践及硬件实践、课程设计、生产实习、毕业设计。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士 <br /><br /> <br /><br /> <br />"
127_6340,127,6340,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,　　学科：工学 <br />　　门类：电气信息类 <br />　　专业名称：计算机科学与技术 <br /><br /> <br />　　业务培养目标：本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习计算机科学与技术方面的基本理论和基本知识，接受从事研究与应用计算机的基本训练，具有研究和开发计算机系统的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握计算机科学与技术的基本理论、基本知识； <br />　　2．掌握计算机系统的分析和设计的基本方法； <br />　　3．具有研究开发计算机软、硬件的基本能力； <br />　　4．了解与计算机有关的法规； <br />　　5．了解计算机科学与技术的发展动态； <br />　　6．掌握文献检索、资料查询的基本方法，具有获取信息的能力。 <br /><br />　　主干学科：计算机科学与技术 <br /><br />　　主要课程：电路原理、模拟电子技术、数字逻辑、数字分析、计算机原理、微型计算机技术、计算机系统结构、计算机网络、高级语言、汇编语言、数据结构、操作系统等。 <br /><br />　　主要实践性教学环节：包括电子工艺实习、硬件部件设计及调试、计算机基础训练、课程设计、计算机工程实践、生产实习、毕业设计(论文)。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学或理学学士 <br /><br />
127_6355,127,6355,工程力学,四年,工学学士,本科(普通),工学,力学类,　　学科：工学 <br />　　门类：工程力学类 <br />　　专业名称：工程力学 <br /><br /> <br />　　业务培养目标：本专业培养具备力学基础理论知识、计算和试验能力，能在各种工程(如机械、土建、材料、能源、交通、航空、船舶、水利、化工等)中从事与力学有关的科研、技术开发、工程设计和力学教学工作的高级工程科学技术人才。 <br /><br />　　业务培养要求：本专业主要学习力学、数学基本理论和知识，受到必要的工程技能训练，具有应用计算机和现代实验技术手段解决与力学有关的工程问题的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识与能力： <br />　　1．具有较扎实的自然科学基础，较好的人文、艺术和社会科学基础及正确运用本国语言、文字的表达能力； <br />　　2．较系统地掌握本专业领域宽广的技术理论基础知识，主要包括固体力学、流体力学、电工与电子技术、市场经济及企业管理等基础知识； <br />　　3．具有较强的解决与力学有关的工程技术问题的理论分析能力与实验技能； <br />　　4．具有较强的计算机和外语应用能力； <br />　　5．具有较强的自学能力、创新意识和较高的综合素质。 <br /><br />　　主干学科：力学 <br /><br />　　主要课程：理论力学、材料力学、弹性力学、流体力学、振动力学、计算力学、实验力学、结构力学、电工与电子技术、计算机基础知识及程序设计。 <br /><br />　　主要实践性教学环节：包括军训，金工、电工、电子实习，认识实习，生产实习，社会实践，课程设计，毕业设计(论文)等，一般应安排40周以上。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士<br /><br />
127_6357,127,6357,预防医学,五年,医学学士,本科(普通),医学,公共卫生与预防医学类,　　学科：医学 <br />　　门类：预防医学类 <br />　　专业名称：预防医学 <br /><br /> <br />　　业务培养目标：本专业培养具备预防医学基本理论知识和卫生检测技术，能在卫生防疫、环境卫生或食品卫生监测等机构从事预防医学工作的医学高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习基础医学、预防医学的基本理论知识，受到卫生检测技术、疾病控制的基本训练，具有卫生防疫、控制传染病与职业病、改进人群环境卫生条件、实施食品卫生监督等工作的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握预防医学的基本理论知识和防疫工作的基本能力； <br />　　2．掌握对人群劳动、生活、学习、环境和食品进行卫生检测和监督的基本能力； <br />　　3．具有分析影响人群健康的各种因素和疾病流行规律，制定预防疾病和增进人群健康措施与计划的能力； <br />　　4．熟悉国家卫生工作方针、政策和法规； <br />　　5．熟悉临床医学的基本理论知识和常见病、多发病的防治技术，熟悉健康教育工作； <br />　　6．掌握文献检索、资料查询、计算机应用及统计分析的基本方法，具有-定的科学研究和实际工作能力。 <br /><br />　　主干学科：基础医学、预防医学。 <br /><br />　　主要课程：生物化学、医学微生物学、免疫学、生理学、病理学、诊断学、内科学、卫生统计学、流行病学、环境卫生学、营养与食品卫生学、劳动卫生学、儿少卫生学等。 <br /><br />　　修业年限：五年 <br /><br />　　授予学位：医学学士  <br /><br /> <br />
