special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
98_4104,98,4104,教育技术学,四年,教育学学士,本科(普通),教育学,教育学类,<p>主要培养IT企业和相关教育部门、政府职能部门从事数字媒体策划与制作、动漫设计、网络系统集成与管理、人工智能教育应用的高级复合型专门技术人才。主要开设有教育技术学导论、教育传播学、多媒体原理与应用、数字影音制作、计算机动画、计算机平面设计、计算机网络、网络工程、人工智能与教育等课程。安排有网络系统集成、数字影音制作、人工智能技术、机器人编程及控制、开源硬件编程等项目实践，到企事业单位从事数字媒体设计与网络集成、智慧学习环境建设等专业实践以及毕业设计（论文）等。</p>
98_101136,98,101136,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,"<p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">培养目标：本专业培养掌握数学科学的基本理论与基本方法、具有运用数学知识和使用计算
机解决实际问题的能力、接受科学研究的初步训练，能在科技、教育、经济和金融等部门从事研究
和教学工作，在生产、经营及管理部门从事实际应用、开发研究和管理工作，或继续攻读研究生学
位的创新型人才。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">培养要求：本专业学生主要学习数学和应用数学的基本理论、基本方法并接受数学建模、计
算机和数学软件方面的基本训练，在数学理论和应用两方面都受到良好的教育，具有较高的科学
素养和较强的创新意识，具备科学研究、教学、解决实际问题及软件开发等方面的基本能力和较
强的更新知识的能力。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">毕业生应获得以下几方面的知识和能力：</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">1．具有比较扎实的数学基础，接受严格的科学思维训练，初步掌握数学科学的思想方法；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">2．具有运用数学知识建立数学模型以解决实际问题的初步能力和进行数学教学的能力；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">3．了解数学科学发展的历史概况以及当代数学的某些新发展和应用前景；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">4．能熟练使用计算机（包括常用语言、工具软件及数学软件），具有编写简单程序的能力；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">5．有较强的语言表达能力，掌握资料查询、文献检索以及运用现代信息技术获取相关信息
的基本方法，具有一定的科学研究能力。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">6．师范类毕业生还应具有良好的教师职业素养，了解教育法规，掌握并能初步运用教育学、
心理学以及数学教育学的基本理论，具有一定的组织管理能力。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">主干学科：数学。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">核心知识领域：几何、分析、代数、微分方程、概率统计、数学建模、数值计算。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">核心课程示例：</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">示例一：数学分析I-Ⅲ（288学时）、高等代数I-Ⅱ（192学时）、解析几何（80学时）、初等
数论（32学时）、近世代数基础（32学时）、常微分方程（64学时）、拓扑学（48学时）、理论力学
（48学时）、大学物理（64学时）、实变函数（64学时）、复变函数论（64学时）、数理统计（64学
时）、泛函分析（64学时）、偏微分方程（64学时）、科学计算（64学时）、随机过程（64学时）。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">示例二：数学分析I-Ⅲ（378学时，含习题课）、高等代数I-Ⅱ（198学时）、解析几何（72学
时）、常微分方程（72学时）、复变函数I（72学时）、概率论与数理统计I-Ⅱ（144学时）、微分几
何（72学时）、抽象代数（72学时）、实变函数I（72学时）、泛函分析（双语）（72学时）、数学模型
与数学软件（72学时）、数值分析（72学时）、普通物理学I-Ⅱ（180学时，含实验）、计算机基础
（72学时）、C语言程序设计（108学时，含实验）。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">示例三：数学分析I-Ⅲ（324学时）、高等代数I-Ⅱ（198学时）解析几何（72学时）、C语
言（90学时）、普通物理（108学时）、概率与统计（90学时）、数学软件（54学时）、数学建模（72学
时）、近世代数（54学时）、常微分方程（54学时）点集拓扑（72学时）、实变函数（72学时）、中学
数学教材教法（54学时）、微分几何（54学时）、复变函数（54学时）、初等数论（36学时）、泛函分析（54学时）。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">主要实践性教学环节：学术与科技活动、课程设计及实验、毕业实习及社会调查（实践）、毕
业论文（设计）等。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">修业年限：四年。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">授予学位：理学学士。</span></p>"
98_101118,98,101118,化学,四年,理学学士,本科(普通),理学,化学类,"<p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">培养目标：本专业培养具有良好的科学、文化素养，能够较系统扎实地掌握化学基础知识、基
本理论和基本技能，富有创新意识和实践能力，能在化学及相关领域从事科研、教学及其他工作
的人才。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">培养要求：本专业学生主要学习化学及相关学科的基础知识、基本理论和基本技能，具有一
定的人文和社会科学知识，接受较系统的科学思维和科学研究的基本训练，初步具备综合运用化
学及相关学科的基本理论和技术方法进行研究、教学和开发的能力。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">毕业生应获得以下几方面的知识和能力：</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">1．具有高度的社会责任感、良好的科学文化素养和较强的创新意识；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">2．系统掌握化学基础知识、基本理论和基本技能，了解化学的知识体系、学科前沿、发展趋
势和应用前景；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">3．掌握本专业所需的数学、物理学等学科的基本内容，初步掌握生命、环境、材料、能源等相
关领域的基础知识；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">4．掌握一定的信息技术，具有获取、加工和应用信息的能力；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">5．能够发现、提出、分析和解决问题，具有从事化学研究、教学和其他实际工作的能力；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">6．具有较强的学习、交流、协调能力和团队合作精神，适应科学和社会的发展；</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">7．具有一定的国际视野和跨文化环境下的交流、竞争与合作的能力。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">主干学科：化学。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">核心知识领域：物质的结构层次、形态与构效关系，化学键及分子间的相互作用，化学反应的
方向、限度、速率和机理，无机和有机物的组成与结构、合成与分离、分析与表征、反应与转化、性
质与应用，化学实验的基本操作及技术，常用仪器与设备的原理与应用，化学信息获取、处理和表
达的方法。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">核心课程示例：</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">示例一：普通化学（64学时）、定量分析（32学时）、有机化学（80学时）、无机化学（64学
时）、结构化学（64学时）、仪器分析（32学时）、高分子化学（32学时）、化工基础（32学时）、物理
化学（96学时）、普通化学实验（80学时）、定量分析实验（64学时）、有机化学实验（112学时）、
无机化学实验（64学时）、仪器分析实验（64学时）、物理化学实验（112学时）、综合化学实验( 64
学时)。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">示例二：普通化学原理（51学时）、无机化学（51学时）、分析化学（51学时）、有机化学(102
学时)、物理化学（85学时）、仪器分析（51学时）、结构化学（51学时）、化工基础（51学时）、化学
信息学（34学时）、生物化学（34学时）、高分子化学（51学时）、基础化学实验(I、Ⅱ、Ⅲ、Ⅳ)
（340学时）、生物化学实验（34学时）、化工基础实验（34学时）、综合化学实验（102学时）、研究
设计实验（34学时）。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">示例三：无机化学（102学时）、分析化学（51学时）、有机化学（102学时）、物理化学（102学
时）、仪器分析（51学时）、材料化学（34学时）、化学工程基础（51学时）、结构化学（51学时）、生
物化学（34学时）、基础化学实验(I、Ⅱ、Ⅲ、Ⅳ、V)（359学时）、基础化学工程实验（60学时）、
化学合成与表征实验（115学时）、综合化学实验（102学时）。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">主要实践性教学环节：化学实验、物理实验、实习、毕业论文等。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">主要专业实验：基础化学实验、综合化学实验、研究性化学实验等。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">修业年限：四年。</span></p><p style=""text-align: justify; text-indent: 2em;""><span style=""font-family: 微软雅黑, &quot;Microsoft YaHei&quot;;"">授予学位：理学学士。</span></p>"
98_4085,98,4085,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>本专业以培养适应社会发展需要、具有较强中文与英文写作能力，并有一定商务理论知识与实践经验的复合型人才为目标。除了要求修读学校的通识教育课程、大类教育课程与中国语言文学基础课程以外，还开设基础写作、行政公文写作、英语实用写作、涉外文秘实务、秘书学概论、秘书心理学、办公室实务、计算机基础、网络技术等理论课程以及实训实践课程。本专业毕业生适合于外资企业、外贸部门以及涉外企业事业单位的英文或中文秘书工作，也适合于党政机关、事业单位的秘书工作与行政管理工作。</p>
98_349846,98,349846,软件工程（中英联合培养）,四年,工学学士,本科(普通),工学,计算机类,"<p>    培养目标：本专业培养德、智、体等方面全面发展，掌握自然科学和人文社科基础知识，掌握
计算科学基础理论、软件工程专业的基础知识及应用知识，具有软件开发能力以及软件开发实践
的初步经验和项目组织的基本能力，能从事软件工程技术研究、设计、开发、管理、服务等工作的
专门人才。
</p><p>    培养要求：本专业学生主要学习自然科学和人文社科基础知识，学习计算科学、软件工程相
关的基本理论和基本知识，接受软件工程的基本训练，具有软件开发实践的基本能力和初步经
验、软件项目组织的基本能力以及基本的工程素养，具有初步的创新和创业意识、竞争意识和团
队精神，具有良好的外语运用能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握基本的人文和社会科学知识，具有良好的人文社会科学素养、职业道德和心理素质，
社会责任感强；
</p><p>    2．掌握从事本专业工作所需的数学和其他相关的自然科学、系统科学知识以及一定的经济
学与管理学知识；
</p><p>    3．掌握计算学科基础理论知识和专业知识，了解本学科的核心概念、知识结构和典型方法；
</p><p>    4．掌握软件工程学科的基本理论和基本知识，熟悉软件需求分析、设计、实现、评审、测试、
维护以及过程与管理的方法和技术，了解软件工程规范和标准；
</p><p>    5．经过系统化的软件工程基本训练，具有参与实际软件开发项目的经历，具备作为软件工
程师从事工程实践所需的专业能力；
</p><p>    6．具备综合运用掌握的知识、方法和技术解决实际问题的能力，能够权衡和选择各种设计
方案，使用适当的软件工程工具设计和开发软件系统，能够建立规范的系统文档；
</p><p>    7．充分理解团队合作的重要性，具备个人工作与团队协作的能力、人际交往和沟通能力以
及一定的组织管理能力；
</p><p>    8．具有初步的外语应用能力，能阅读本专业的外文材料，具有一定的国际视野和跨文化交
流、竞争与合作能力；
</p><p>    9．了解与本专业相关的职业和行业的重要法律法规及方针与政策，理解软件工程技术伦理
的基本要求；
</p><p>    10.了解软件工程学科的前沿技术和软件行业的发展动态，在基础研发、工程设计和实践等
方面具有一定的创新意识和创新能力；
</p><p>    11.能够运用所学的知识、技能和方法对系统的各种解决方案进行合理的判断和选择，具备
一定的批判性思维能力；
</p><p>    12.具备自我终身学习的能力，自觉学习随时涌现的新概念、新模型和新技术，使自己的专
业能力保持与学科的发展同步。
</p><p>    主干学科：软件工程。
</p><p>    核心知识领域：计算基础、数学和工程基础、职业实践、软件系统建模与分析、软件系统设计、
验证与确认、软件演化、软件过程、软件质量、软件管理。
</p><p>    核心课程示例：
</p><p>    示例一（括号内为理论授课+实验学时数）：离散数学（64学时）、计算系统基础（64+48学
时）、计算与软件工程I（个人级软件开发）（48+48学时）、计算与软件工程Ⅱ（小组级软件开
发）（48+48学时）、计算与软件工程Ⅲ（团队软件工程实践）（16+96学时）、数据结构与算法
（64+48学时）、操作系统（48+48学时）、计算机网络（48+48学时）、数据库系统（48+48学
时）、软件需求工程（32+32学时）、软件系统设计与体系结构（32+32学时）、软件构造(32+32
学时)、软件测试与质量（32+32学时）、人机交互的软件工程方法（32+32学时）、计算机组织
结构（限选）（48学时）、软件工程统计方法（限选）（48学时）、软件过程与管理（限选）（32学
时）。
</p><p>    示例二：程序设计基础（32学时）、面向对象的编程与设计（32学时）、数据结构（32学时）、
离散结构（32学时）、操作系统（32学时）、数据库系统（32学时）、计算机网络（32学时）、软件工
程概论（32学时）、软件系统分析与设计技术（32学时）、软件体系结构（32学时）、软件项目管理
（32学时）、软件测试技术与实践（32学时）、计算机应用与编程综合实践（实验64学时）、面向对
象与交互式应用开发综合实践（实验64学时）、数据结构与算法综合实践（实验64学时）、数据
库应用系统综合实践（实验64学时）、软件系统构思综合训练（实验64学时）、软件工程综合实
践（实验64学时）。
</p><p>    示例三（括号内为理论授课+实验学时数）：程序设计基础（60+20学时）、离散数学（64学
时）、面向对象程序设计（40+16学时）、数据结构（60+20学时）、计算机组成与结构（52 +12学
时）、操作系统（62 +10学时）、数据库概论（52 +12学时）、软件工程导论（40+8学时）、网络及其
计算（56+16学时）、软件建模技术（30+10学时）、软件质量保证与测试（32+8学时）、软件项目
管理（32+8学时）、软件工程课程设计（实验80学时）。
</p><p>    主要实践性教学环节：课程实验、课程设计、专业实习、毕业设计（论文）等。
</p><p>    主要专业实验：程序设计实验、计算机网络实验、操作系统实验、数据库设计实验、系统分析
与软件建模实验、软件系统设计实验、软件测试实验、专业综合实践。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
98_349847,98,349847,信息与计算科学（中澳联合培养）,四年,理学学士,本科(普通),理学,数学类,"<p>    培养目标：本专业是以信息技术、计算技术和运筹控制技术的数学基础为研究对象的理科类
专业，培养具有良好的数学基础和数学思维能力，掌握信息或计算数学的基本理论、方法与技能，
接受科学研究的初步训练，能解决信息技术或科学与工程计算中的实际问题的高级专门人才。
本专业毕业生能在科技、教育、信息产业、经济金融等部门从事研究、教学、应用开发和管理工作，
或继续攻读硕士、博士学位。
</p><p>    培养要求：本专业学生主要学习数学和信息科学的基本理论和基本方法，接受数学建模、计
算方法、程序设计和应用软件等方面的基本训练，受到数学和信息理论及其应用方面的良好教
育，具有较高的科学素养和较强的创新意识，具有科学研究、教学、解决信息技术或科学工程计算
中实际问题等方面的基本能力和较强的更新知识的能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有良好的数学基础，掌握信息科学、计算数学或运筹控制的基础理论和基本方法；
</p><p>    2．具备熟练应用计算机（包括常用语言、工具软件及专用软件）的基本技能，具有较强的算
法设计、算法分析与编程能力；
</p><p>    3．能运用所学的理论、方法和技能解决信息技术或科学与工程计算或运筹控制中的某些实
际问题；
</p><p>    4．接受科学研究的初步训练，了解信息科学、计算数学或运筹控制理论、技术与应用的新发
展，具有较强的知识更新、技术跟踪及创新的能力。
</p><p>    主干学科：数学、计算机科学与技术。
</p><p>    核心知识领域：几何、分析、代数、微分方程、概率统计、数值计算、信息科学、运筹与控制、计
算机软件与应用。
</p><p>    核心课程：数学分析、高等代数、解析几何、概率统计、物理学、常微分方程、复变函数论、程序
设计与算法语言、数据结构与算法、数值分析、数据分析、数学建模。
</p><p>    核心课程示例：
</p><p>    示例一：数学分析I-Ⅲ（304学时）、高等代数I-Ⅱ（192学时）、空间解析几何（96学时）、
常微分方程（96学时）、概率统计（96学时）、实变函数（96学时）、普通物理（144学时）、大学计
算机基础（64学时）、C语言与程序设计（96学时）、数学物理方程（96学时）、复变函数（96学
时）、数学模型（64学时）、数值分析I（64学时）、数值分析Ⅱ（64学时）、数据结构与算法（64学
时）、微分方程数值解法（64学时）、泛函分析（64学时）、信息论基础（64学时）。
</p><p>    示例二：大学物理（130学时）、C语言程序设计（46学时）、微机原理与系统设计（78学
时）、数学分析（240学时）、高等代数（1 36学时）、空间解析几何（46学时）、复变函数（46学
时）、概率论与数理统计（90学时）、常微分方程（46学时）、实变函数（46学时）、数学物理方
程（46学时）、泛函分析（46学时）、数值逼近（60学时）、数值代数（60学时）、微分方程数值解
（60学时）。
</p><p>    示例三：大学物理（96学时）、C语言程序设计（64学时）、数学分析（288学时）、高等代数
（144学时）、解析几何（48学时）、复变函数（64学时）、概率论与数理统计（64学时）、常微分方
程（56学时）、数学物理方程（48学时）、泛函分析（64学时）、数值分析（80学时）、数据结构与算
法（80学时）、数据库原理与技术（64学时）、运筹学（48学时）、数学建模（48学时）。
</p><p>    主要实践性教学环节：学术与科技活动、课程设计及实验、毕业实习及社会调查（实践）、毕
业论文（设计）等。
</p><p>    主要专业实验：（并行）程序设计与实现。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
0702  物理学类
</p>"
98_349848,98,349848,电子信息工程（中澳联合培养）,四年,工学学士,本科(普通),工学,电子信息类,"<p>    培养目标：本专业培养具备现代电子技术理论、通晓电子系统设计原理与设计方法，具有较
强的计算机、外语、相应工程技术应用能力以及在本专业领域跟踪新理论、新知识、新技术的能
力，能在信息通信、电子技术、智能控制、计算机与网络等领域和行政部门从事各类电子设备和信
息系统的科学研究、产品设计、工艺制造、应用开发和技术管理的复合型工程技术人才。
</p><p>    培养要求：本专业学生主要学习电子信息工程方面的基本理论和基本知识，学习信息获取、
信号处理、信号传输以及电子信息系统设计、应用开发等方面的专业知识，接受电子工程、信息工
程、计算机辅助设计实践的基本训练，掌握电子设计、信息处理、应用开发和集成电子设备及信息
系统的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．身心健康，具有良好的工程职业道德、爱国敬业精神、丰富的人文科学素养和社会责任
感，追求卓越；
</p><p>    2．具有从事电子信息工程领域科学研究、工程设计、技术服务等工作所需的数理知识和其
他相关的自然科学知识；
</p><p>    3．具有良好的质量、环境、职业健康、安全和服务意识；
</p><p>    4．掌握信号与系统、电子技术、电磁场与电磁波、信息论、计算机基础等基本理论和基本知识；
</p><p>    5．掌握电子系统、信号处理、信息传输等基本分析、设计、开发、测试和应用的基本知识，具
有集成电子设备及信息系统的基本能力，具有综合运用科学理论和工程技术分析解决工程问题
的基本能力，具有较强的创新意识和对产品、技术与设备进行研究、开发、设计和技术改造或创新
的初步能力；
</p><p>    6．熟悉信息产业的基本方针、政策和法规，了解企业管理的基本知识；
</p><p>    7．了解电子设备和信息系统的理论前沿、应用前景，发展动态和行业需求；
</p><p>    8．具有一定的科学研究和实际工作能力，具有一定的批判性思维能力；
</p><p>    9．具有较强的继续学习能力；
</p><p>    10.掌握文献检索、资料查询的基本方法，具备信息获取的能力；
</p><p>    11.具有较好的组织管理能力、较强的语言表达能力和交流沟通能力以及良好的团队意识
和合作精神。
</p><p>    主干学科：电子科学与技术、信息与通信工程。
</p><p>    核心知识领域：电路分析基础、信号与系统、模拟电子技术、数字电路、电磁场与电磁波、通信
原理、微型计算机原理、数字信号处理、信息论等。
</p><p>    主要实践性教学环节：课程实验、课程设计、生产实习、毕业设计（论文）等环节。
</p><p>    主要专业实验：电子电路实验、通信原理实验、微型计算机原理实验、综合性电路系统实验、
创新系列实验等。
修业年限：四年。
授予学位：工学学士或理学学士。
</p>"
98_349849,98,349849,金融学（中外合作）,四年,经济学学士,本科(普通),经济学,金融学类,"<p>  培养目标：本专业培养具有全球视野，系统掌握金融知识和金融理论，具备金融实务专业技
能，具有较强的社会适应能力，胜任银行、证券、保险等金融机构及政府部门和企事业单位的专业
工作，具有深厚理论功底、精湛专业技能、良好综合素质和优秀人格品质的创新型金融人才。
</p><p>    培养要求：本专业学生主要学习经济学科和金融学科的基础理论和基础知识，系统掌握金融
学的基本理论、专业知识和业务技能，具有较强的金融工作实践能力，掌握金融学科学研究的
方法。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握经济学和金融学的基本理论、基本知识和基本方法；
</p><p>    2．能够较好地运用数学、统计学、计量经济学等分析方法对现实金融问题进行分析研究；
</p><p>    3．具有较强的学习能力、写作能力、语言表达能力、人际沟通和跨文化交流能力，以及计算
机和信息技术应用等方面的基本能力；
</p><p>    4．熟悉国情，熟悉国家有关经济和金融的方针、政策和法规；
</p><p>    5．了解金融学科的理论前沿和发展动态，了解金融领域的最新发展状况及国际金融活动的
规则和惯例，了解中国金融发展与改革需要解决的重大问题；
</p><p>    6．具有能初步从事金融学理论研究的能力和实际工作能力，具有一定的批判性思维能力，
具有良好的品德操行、人文修养、职业道德和社会责任感，具有较强的社会适应能力和优秀的综
合素质。
</p><p>    主干学科：理论经济学、应用经济学、工商管理。
</p><p>    核心课程：政治经济学、西方经济学（含微观经济、宏观经济）、计量经济学、经济法律概论、
会计学、国民经济统计学、管理学原理、国际经济学、金融学、金融中介学、金融市场学、投资学、保
险学、商业银行经营学、国际金融学、公司金融、金融工程学、中央银行学。
</p><p>    主要实践性教学环节：实验课程（含基本统计分析软件应用、实务模拟等）、社会实践（含社
会调查、实习等）、科研和论文写作（含毕业论文、学年论文、科研实践等）。
</p><p>    修业年限：四年。
</p><p>    授予学位：经济学学士。
</p><p>    【本专业为国家控制布点的专业】
</p>"
98_349851,98,349851,财务管理（中澳联合培养）,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>    培养目标：本专业培养适应现代市场经济需要，具备人文精神、科学素养和诚信品质，具备经
济、管理、法律和财务管理等方面的知识和能力，能在营利性和非营利性机构从事财务管理以及
教学、科研方面工作的应用型、复合型人才。
</p><p>    培养要求：本专业学生主要学习财务管理方面的基本理论和基本知识，接受财务、金融管理
方法和技能方面的基本训练，具有分析和解决财务问题的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握经济学、管理学的基本理论和基本知识；
</p><p>    2．掌握财务管理的基本理论、基本方法和基本技能；
</p><p>    3．具有较强的语言与文字表达、人际沟通、信息获取以及分析和解决财务管理实际问题的
基本能力；
</p><p>    4．熟悉国内外有关财务、金融管理的方针、政策和法规；
</p><p>    5．了解本学科的理论前沿和发展动态；
</p><p>    6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。
</p><p>    主干学科：工商管理、经济学。
</p><p>    核心课程：财务会计、管理会计（含成本会计）、财务管理（或公司财务、公司金融）、资本市场
（或金融市场）、财务分析、投资学等。
</p><p>    主要实践性教学环节：专业实习（含课程实习、毕业实习等）。
</p><p>    主要专业实验：财务管理模拟实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：管理学学士。
</p>"
98_349852,98,349852,财务管理（中美联合培养）,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>    培养目标：本专业培养适应现代市场经济需要，具备人文精神、科学素养和诚信品质，具备经
济、管理、法律和财务管理等方面的知识和能力，能在营利性和非营利性机构从事财务管理以及
教学、科研方面工作的应用型、复合型人才。
</p><p>    培养要求：本专业学生主要学习财务管理方面的基本理论和基本知识，接受财务、金融管理
方法和技能方面的基本训练，具有分析和解决财务问题的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握经济学、管理学的基本理论和基本知识；
</p><p>    2．掌握财务管理的基本理论、基本方法和基本技能；
</p><p>    3．具有较强的语言与文字表达、人际沟通、信息获取以及分析和解决财务管理实际问题的
基本能力；
</p><p>    4．熟悉国内外有关财务、金融管理的方针、政策和法规；
</p><p>    5．了解本学科的理论前沿和发展动态；
</p><p>    6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。
</p><p>    主干学科：工商管理、经济学。
</p><p>    核心课程：财务会计、管理会计（含成本会计）、财务管理（或公司财务、公司金融）、资本市场
（或金融市场）、财务分析、投资学等。
</p><p>    主要实践性教学环节：专业实习（含课程实习、毕业实习等）。
</p><p>    主要专业实验：财务管理模拟实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：管理学学士。
</p>"
