special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
105_89948,105,89948,机械类（创新班）,四年,,本科(普通),工学,机械类,培养具备机械设计制造与自动化控制领域的扎实理论基础，系统化掌握计算机应用、数字化设计、机械制造自动化控制、数字化智能制造、精密制造、机器人及智能生产线设计等专业技能，并具有优秀的科研创新能力和较强的国际化交流能力，能够推动区域制造业发展的创新型人才及引领人才。培养模式为本硕3+1+3，本博3+1+5，前三年为机械工程领域基础课程、专业课程学习阶段，中间一年为“本－硕”贯通，学生提前一年进入导师课题，完成本科毕业设计、课外科技实践环节与研究生阶段的科研方向相衔接实现贯通，本硕后三年为硕士研究生培养阶段，本博后五年为博士研究生培养阶段。深造就业：可在产品设计、先进制造、自动化装备及智能生产线等相关领域进行科学研究、技术攻关、项目管理、教学工作。
105_1999927,105,1999927,工科试验班（智能装备与先进制造）（含机械工程、机械电子工程、车辆工程、过程装备与控制工程、材料成型及控制工程）,四年,,本科(普通),,,2022年，机械工程、机械电子工程、车辆工程、过程装备与控制工程、材料成型及控制工程五个专业按照工科试验班（智能装备与先进制造）大类进行招生，培养宽口径、厚基础、复合型的“三创型”人才。学生将按学校规定的时间根据学院选报专业实施细则进行专业分流。</br>机械工程（国家级一流本科专业建设点、国家级特色专业、广东省名牌专业）</br>培养具备机械设计制造与自动化控制领域的扎实理论基础，并系统化掌握计算机应用、数字化设计、机械制造自动化控制、数字化智能制造、精密制造、机器人及智能生产线设计等专业技能的创新型人才。深造就业：可在产品设计、先进制造、自动化装备及智能生产线等相关领域从事研究、开发、设计、制造、营销、管理等工作。</br>机械电子工程（国家级一流本科专业建设点、广东省名牌专业）</br>将机械与电子技术深度有机融合，配合数据与算法构成通往未来智能制造、智能生活等领域的必由之路。通过本专业学习可以掌握本领域系统的跨学科基础理论和扎实的专业知识，具备宏观思考能力、实践能力、创新能力与决策能力，拥有国际化视野。可以在专业院校或几乎所有门类工业企业从事专业教学、科学研究、技术开发工作，也可以胜任工程管理、策划营销等工作。</br>车辆工程（省级一流本科专业建设点）</br>培养车辆工程专业领域掌握汽车设计、制造、电子控制及整车系统集成新技术等专业知识的高素质复合型专业人才，具有运用专业知识、工程技能研究和解决车辆工程及其相关领域实践中遇到的研究、运用、设计、制造及实验等问题的能力。深造就业：可在国内外知名高校、科研院所以及汽车行业企事业单位研发机构和管理部门等从事车辆相关科学研究、工程技术、管理及教学等相关工作。</br>过程装备与控制工程（国家级一流本科专业建设点）</br>培养在过程装备与控制工程专业领域掌握过程装备设计、自动控制理论、智能制造、系统优化与控制以及3D打印、机电一体化等新技术应用的高素质、国际化、三创型人才。深造就业：可在新能源、智能装备制造、航空航天、生物制药等企事业单位，在高校、科研院所以及质监、安监、环保等政府部门从事科学研究、技术开发、项目管理以及教学等相关工作。</br>材料成型及控制工程</br>以国家重大科技计划与应用工程为需求牵引，培养从事金属材料及其结构功能一体化构件的制备与成形（先进液态与固态成形技术、3D与4D打印增材制造等）、近净成形智能装备设计与控制、新型计算机技术应用等方面的高级复合型人才。深造就业：可在材料、机械、汽车、通讯、航空、航天、船舶、兵器、计算机等军民行业，以及科研院所和管理部门从事科研、教学、技术开发与管理等工作。
105_4768,105,4768,建筑学,五年,工学学士,本科(普通),工学,建筑类,建筑学（首批国家级一流本科专业、国家级特色专业、广东省名牌专业、广东省重点专业）</br>学生毕业后可就业于建筑设计机构、城市规划设计机构，房地产开发、咨询部门，相关科研和教学部门及政府管理部门。
105_4769,105,4769,城乡规划,五年,工学学士,本科(普通),工学,建筑类,城乡规划（首批国家级一流本科专业、国家级特色专业、广东省名牌专业）</br>毕业生能够在城乡规划、设计和管理等相关部门从事研究、编制、设计、开发、实施管理、教育等方面的技术或管理工作。
105_4770,105,4770,风景园林,五年,工学学士,本科(普通),工学,建筑类,毕业生可就业于风景园林及城乡规划设计、建筑设计机构，园林工程建设企业，房地产开发建设企业，政府行政部门，国家公园、风景名胜区、自然保护区和公园绿地管理部门等。
105_89949,105,89949,工程力学（创新班）,四年,工学学士,本科(普通),工学,力学类,实施本硕（3+1+2）、本博（3+1+4）一体化人才培养模式，推行本科生导师制。结合交通、航空航天等行业背景，开设系统的力学基础课程，结合新工科开设多门跨学科选修课程，致力于培养具有创新能力和国际化视野的高素质人才。拥有“广东省力学实验教学示范中心”“广东省航空航天先进材料与结构工程技术中心”等多个省级教学实践平台。</br>联系人：王老师  (020)87111030-3693  ctjwang@scut.edu.cn
105_4773,105,4773,土木工程（卓越全英班）,四年,工学学士,本科(普通),工学,土木类,依托粤港澳大湾区经济和科技优势，致力培养高层次复合型智慧土木学科人才，保研率（含直攻博）50%（不含由导师推荐赴国（境）外高水平大学读研深造人员）。主干课程全英教学，实行本科生导师制，二年级开始即可参与到导师所主持的行业前沿创新性研究和工程实践。提供跨国企业和境外院校的实习交流及国际化联合培养机会，开拓国际视野。联系人：李老师  (020)87114632  cvjingli@scut.edu.cn
105_1999928,105,1999928,工科试验班（智慧土木与数字建造）（含智能建造、土木工程、水务工程、工程管理）,四年,,本科(普通),,,（1）智能建造</br>建筑行业已具备较完善的智慧化和数字化升级技术基础，智能建造市场潜力巨大。智能建造专业依托土木工程学科，适应建筑行业可持续化和智慧化发展趋势，大力培养具有土木工程、人工智能、计算机、自动化、工程管理等交叉学科背景的创新型、复合型人才，加快促进土木建筑业升级转型。</br>联系人：胡老师  nanhu026@scut.edu.cn</br>（2）土木工程</br>以粤港澳大湾区土建行业为依托，面向土建行业趋于可持续、韧性和智能等未来发展方向开设房建、地下结构、桥梁、道路等相关专业课程，培养国际化、具备适应土木相关行业基本知识和技能的复合创新人才。</br>联系人：潘老师  (020)87113425  ctjrpan@scut.edu.cn</br>（3）工程管理（广东省一流本科专业建设点）</br>本专业适应“新工科”要求，培养具备建设工程技术、经济、管理、法律、生态、人文等理论基础的复合型工程管理领军人才。采用工作坊、探究式等教学模式，重视实践、创新与国际化交流，聘请海内外教学名师主讲部分专业课程，加强数字化、智能化的前沿领域特色探索，培养智慧建造理念及相应的管理技能。</br>联系人：黄老师  hww@scut.edu.cn</br>（4）水务工程</br>响应国家发展建设对水务工程高级人才需求，培养学生掌握涉水基础设施的规划、设计、建设和管理专业知识，具备解决我国水资源利用、水生态环境保护、水灾害防治与水安全保障中复杂问题的能力。针对我国水务信息化短板，打造“互联网/人工智能+水务工程”特色课程体系。</br>联系人：王老师  wangzhl@scut.edu.cn
105_4766,105,4766,船舶与海洋工程,四年,工学学士,本科(普通),工学,海洋工程类,专业有较高的学术声誉和行业口碑，科研教学相辅相成，培养学生海洋工程建设尤其是中国南海工程建设所需能力。毕业生可从事海洋工程、船舶工程、海洋清洁能源开发、智能无人船、水下机器人、海岸工程、海洋工程环境及相近领域的研究、设计、制造、检验、规划、经营和管理等工作，可至科研单位或院所从事科研教学工作，可至政府从事管理工作，可继续攻读国内外研究生。</br>联系人：樊天慧  (020)87111030-3504  fanth@scut.edu.cn
105_4752,105,4752,电气工程及其自动化（卓越班）,四年,工学学士,本科(普通),工学,电气类,专业培养目标：培养适应和支撑未来电力能源工业及其与信息、通信、计算机等技术融合的，具有深厚的专业基础知识、活跃的创新思维、博雅的人文精神、高尚的道德情操，兼具家国情怀和全球视野的“三力”（学习力、思想力、行动力）、卓越、德智体美劳全面发展的“三创型”（创新、创造、创业）人才。</br>本专业是全国首批“卓越工程师教育培养计划”实施专业。2011年开始招生，2013年通过专业认证。依托电力学院优越的学科优势、师资力量和科研创新条件，充分利用学院丰富的校企合作资源，采取导师制培养、贯穿培养全环节的工程训练、顶岗式企业实训、打通本硕培养通道、增设双语教学课程等一系列措施提高学生的工程实践能力和创新研究能力，培养拥有复合知识结构，掌握先进技术，具有很强的研发能力、工程实践能力、创新精神与国际化视野的高素质电气工程及其自动化专业拔尖工程人才。</br>实行本研贯通培养，大四提前进入研究生学习阶段。2021届约70%的毕业生继续攻读研究生学位，其中50%的毕业生获得保送攻读研究生资格，20%的毕业生通过考研或出国的方式继续攻读研究生学位。毕业生可选择在电网企业、电力设计与建设企业、电力设备设计与制造企业、电力电子企业、建筑电气设计企业从事技术、管理和科研工作。
