special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
111_5165,111,5165,经济学,四年,经济学学士,本科(普通),经济学,经济学类,"<p><strong>师资力量</strong>　　</p><p>学院师资力量雄厚，其中有国家级有突出贡献的中青年学者洪银兴教授、2010年荣膺素有中国管理学界的“诺贝尔奖”之称的“复旦管理学奖突出贡献奖”的赵曙明教授、长江学者刘志彪教授、范从来教授，国家级教学名师沈坤荣教授、刘厚俊教授等。

　　</p><p>学院175名教职工中，教授54名（博士生导师41名），副教授58名，长江学者特聘教授2名，长江学者讲座教授1名，国家级教学名师3名，国家级有突出贡献的青年专家1名，人事部百千万人才工程3名，教育部“跨世纪优秀人才培养计划”2名，教育部“新世纪优秀人才培养计划基金”获得者7名。4位教师先后获得经济学界最高奖“孙冶方经济科学奖”。

　　</p><p><strong>科研成果

　</strong>　</p><p>2003至2010年3月，学院先后承担国家自然科学基金项目39项、社科基金项目25项、教育部人文社科基金项目16项，出版著作、译著188部，发表SSCI、SCI论文12篇，发表一流、核心期刊论文1319篇，获得省部级以上奖励68项。学院学术活动丰富，如斯密论坛、德鲁克论坛、MBA名家讲坛等。

　　</p><p><strong>国际交流与合作</strong>　　</p><p>学院致力于加强与海内外的学术交流和合作，与哈佛大学、康奈尔大学、南加州大学、密苏里大学、悉尼大学、蒙那希大学、纽卡索尔大学、马斯特里赫特管理学院、剑桥大学、里兹大学、新加坡国立大学、南洋理工大学、名古屋大学、九州大学、庆熙大学、全南大学等许多院校建立了稳定的学术交流与合作关系。经常邀请诺贝尔经济学奖获得者等国际知名学者和著名跨国企业总裁来院讲学或开展合作研究。选派教师到哈佛大学、康乃尔大学等名校进修，接待境外学生的学习访问。

　　</p><p><strong>人才培养

　</strong>　</p><p>学院是国内著名的包含经济、管理两个学科的综合性商学院，注重经、管融合，全院内所有课程均可自由选修。建有经济学国家经济学基础人才培养基地，所有专业平台课均由博士生导师亲自为本科生传授。学院鼓励本科生参与科研，所有本科生在大二、大三阶段均配备导师，较早进入导师研究课题组，平均每届本科生有10余篇CSSCI索引论文发表。学院与上海陆家嘴金融人才港、中国银行江苏分行、浦发银行南京分行、交通银行南京分行、广发证券等大型企业集团建立了良性的人才培养合作关系，定期选派学生参加各类实习活动。

　　</p><p>学院培养了许多社会精英，包括商务部部长陈德铭，新闻出版总署党组成员、副署长邬书林，天津家世界商业有限公司董事长杜厦，国有大型企业监事会主席何家成，北京大学光华管理学院党委书记陆正飞，中国人民大学经济学院院长杨瑞龙，北海银河董事长潘琦等。

　　</p><p><strong>专业设置</strong>　　</p><p>学院下设经济学、国际经济与贸易、金融学、保险学、金融工程、产业经济学、工商管理、会计学、财务管理、电子商务、市场营销、人力资源管理等12个专业，核心平台课程包括：政治经济学、微观经济学、宏观经济学、管理学、会计学、金融市场学、货币银行学、投资学、财务管理、市场营销学等。

　　</p><p><strong>奖助学金

　</strong>　</p><p>除校级奖助学金外，学院设有杜厦奖学金、曙明奖学金、苏宁电器奖学金、远东奖学金、菲尼克斯奖学金、83经济奖学金、88国贸奖学金、赵安中奖助学金、移动助困金和远东励志奖学金等奖助学金。奖学金覆盖率达40%，助学金覆盖率100%。

　　</p><p><strong>毕业生情况</strong>　　</p><p>学院学生就业能力强，就业层次高，就业率高。毕业生中，25%左右的同学被保送到本校或国内其他知名高校继续深造，15%左右的同学出国。就业同学的主要去向为：政府机关、事业单位、银行、会计师事务所、金融证券机构、国有大中型企业、外资企业、外贸企业等。</p>"
111_5228,111,5228,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,"<p style=""text-wrap: wrap;"">培养目标：本专业培养能够在各类媒体从事新闻采访、写作、编辑、评论、摄影等新闻实务以 及在党政机关、企事业单位从事新闻宣传的复合型人才。本专业毕业生应该具有坚定的政治方 向、强烈的社会责任感、科学的思维方法、厚实的人文科学基础知识、宽阔的国际视野和精湛的新 闻传播技能。</p><p style=""text-wrap: wrap;"">培养要求：本专业学生主要学习人文与社会科学的基本知识，掌握新闻传播历史和基本理 论，接受新闻传播实践的训练，具备利用多种传播媒介从事新闻传播活动的能力。</p><p style=""text-wrap: wrap;"">毕业生应获得以下几方面的知识和能力：</p><p style=""text-wrap: wrap;"">1．良好的思想政治素质、人文情怀、道德品质、协作意识、文化修养以及健康的体魄；</p><p style=""text-wrap: wrap;"">2．宽厚的人文社会科学基础，具备多学科知识背景与综合思维能力；</p><p style=""text-wrap: wrap;"">3．掌握新闻传播学基本理论，熟悉中外新闻事业的历史，了解中国国情及与新闻传播相关 的法律与政策，坚守职业伦理道德；</p><p style=""text-wrap: wrap;"">4．具备采访、写作、编辑、评论以及摄影摄像等专业技能；</p><p style=""text-wrap: wrap;"">5．熟练地掌握一门外语。</p><p style=""text-wrap: wrap;"">主干学科：新闻传播学。</p><p style=""text-wrap: wrap;"">核心课程：马克思主义新闻思想、中外新闻史、新闻学原理、传播学原理、媒介伦理与法规、新 闻采访与写作、新闻编辑、新闻评论、新闻摄影、音视频节目制作、新媒体导论、媒介经营与管理。</p><p style=""text-wrap: wrap;"">主要实践性教学环节：基层社会实践（低年级，6周左右）、新闻媒体专业实践（高年级，16周 左右）。</p><p style=""text-wrap: wrap;"">主要专业实验：新闻摄影、新闻采访与写作、新闻编辑、融合新闻。</p><p style=""text-wrap: wrap;"">修业年限：四年。</p><p style=""text-wrap: wrap;"">授予学位：文学学士。</p><p><br/></p>"
111_5190,111,5190,软件工程,四年,工学学士,本科(普通),工学,计算机类,本科专业分为移动互联网、嵌入式软件技术、服务计算、信息系统工程等方向。主干课程：离散数学、计算系统基础、计算机组织结构、计算与软件工程、数据结构与算法、操作系统、计算机网络、数据库系统、统计与经验方法、软件需求分析、软件设计、软件构造、大型软件系统构造与体系结构、软件测试、人机交互技术、C++程序设计、软件过程与管理、服务计算、嵌入式系统等。
111_5215,111,5215,哲学,四年,哲学学士,本科(普通),哲学,哲学类,"师资力量

　　该系拥有一批学术造诣深厚，教学经验丰富，在海内外学界具有重要影响的老中青学术带头人和学术骨干，其中国务院学位委员会学科评议组成员1人，教育部社会科学委员会委员1人，国家社科基金评审专家3人，享受国务院政府特殊津贴专家8人，中央和教育部马克思主义理论研究与建设工程首席专家3人、课题组主要成员4人，教育部“跨世纪优秀人才培养计划”2人、“新世纪优秀人才培养计划”6人，全国宣传文化系统“四个一批”人才1人，“新世纪百千万人才工程”国家级人选1人，全国优秀博士学位论文获得者2人，国家社科基金重大攻关课题和教育部人文社会科学重大招标课题首席专家4人。

　　人才培养

　　该系十分注重培养学生的综合素质和创新能力，着眼于培育基础扎实、知识面宽、适应性强的复合型人才，实行课堂教学、学术活动、社会实践相结合的“三元”教学模式。在本科生培养方面，按照学校“三三制”培养方案，从学术研究型、学术交叉型、就业创业型三个层次，全面推进本科人才培养工作，取得显著成效，入选“财政部、教育部高等学校本科一类特色专业建设点”和“江苏省高等教育人才培养模式创新实验基地”。多年来，该系培养了一大批哲学及相关学科教学科研高级专门人才和管理决策人才。

　　专业设置及主干课程

　　该系本科设有哲学专业，目标是把学生培养成为专业基础扎实、理论视域宽广、多元化发展空间广阔、社会适应性强的高素质综合型人才。主干课程：中国哲学、欧洲哲学、马克思主义哲学、伦理学、现代逻辑、科学思想史、宗教与社会等。

　　奖助学金

　　除校级奖助学金外，该系设有金箔奖、华藏奖、殷海光逻辑奖、宏德奖学金等。

　　毕业生情况

　　2010届毕业生中升学、出国深造的比例约占75%。就业率96.3%，就业领域分布在政府机关、科研机构、金融机构、大型企业等，如爱立信（中国）有限公司、中国移动重庆公司、江西省委政协、福建省委组织部，凤凰传媒出版集团、译林出版社、江苏省委办公厅、江苏省台办、广东安全厅、深圳国安局、苏宁集团等。"
111_5216,111,5216,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,本科专业为汉语言文学，戏剧影视文学。戏剧影视文学按照艺术类专业招生，旨在培养在戏剧影视艺术方面掌握比较扎实的基本理论和创作技能，具备较强艺术感悟力与创造力的学士学位获得者。主干课程：中文方向有现代汉语、古代汉语、语言学概论、文学概论、中国古代文学、中国现当代文学、外国文学、文献学、经典著作研读、高级秘书实务等；戏剧影视文学方向有中国戏剧、外国戏剧、舞台剧写作、影视戏剧艺术概论等。
111_5178,111,5178,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,"师资力量

　　全系现有专职教师69人，教授25名，副教授30名，博士生导师20名，千人计划入选者1名，长江学者客座教授3名、讲座教授1名，国家杰出青年基金获得者5名，国家百千万人才2名，教育部青年教师奖励基金获得者2名，教育部新世纪优秀人才4名。具有博士学位的教师占教师总数的89.9%，40岁以下的教师占教师队伍的56.7%，全部具有博士学位。教授、博导亲临本科教学第一线，96.8%的本科生专业基础课和专业主干课由教授、副教授讲授。

　　科研成果

　　该系近年来获得各类奖励30余项，包括国家自然科学二等奖、晨兴数学奖、求是杰出青年学者奖、中国高校自然科学一等奖、江苏省科技进步一等奖等高级别奖项。2/3以上的教师主持着国家级科研项目，目前主持在研的包括973项目在内的国家重大项目、国家自然科学基金杰出、重点和面上项目近70项，达到了人均一项，在国内高校数学系名列前茅，主持的国家自然科学基金项目数更是在全国高校数学院系中位居前三。

　　国际交流与合作

　　该系每年举办高水平的国际会议，数十名国外知名学者应邀前来访问、作高水平讲座，并聘请国际一流大学教授为学生系统讲课，拓宽学生的国际化视野。

　　人才培养

　　该系坚持“扬学科优势、建一流队伍、出一流成果、育一流人才”的办学理念，按数学大类招生，一、二年级不分专业，强化基础、拓宽视野，三、四年级根据学生的学习基础和学习兴趣分流培养，数学模式增加若干研究生课程作为选修课，应用模式增加微观经济学、精算数学、软件工程等应用型选修课。并依托“数学基地班”，打造数学学科拔尖人才培养的绿色通道，形成了“新生研讨课”、“高年级研讨课”、“本科生导师制”、“学生评教制度”等具有鲜明数学系特色的人才培养体系。"
111_5217,111,5217,英语,四年,文学学士,本科(普通),文学,外国语言文学类,"业务培养目标：本专业培养具有扎实的英语语言基础和比较广泛的科学文化知识，能在外事、经贸、文化、新闻出版、教育、科研、旅游等部门从事翻译、研究、教学、管理工作的英语高级专门人才。

　　业务培养要求：本专业学生主要学习英语语言、文学、历史、政治、经济、外交、社会文化等方面基本理论和基本知识，受到英语听、说、读、写、译等方面的良好的技巧训练，掌握-定的科研方法，具有从事翻译、研究、教学、管理工作的业务水平及较好的素质和较强能力。"
111_5212,111,5212,物理学,四年,理学学士,本科(普通),理学,物理学类,"师资力量

　　学院师现有教授77人、副教授50人。其中包括中国科学院院士9人，第三科学院院士2人，教育部“长江学者奖励计划”特聘教授14人，国家杰出青年基金获得者16人，国家基金委创新团队2个，教育部创新团队2个，“国家重点基础研究发展计划（973计划）”项目首席科学家7人。

　　科研成果

　　学院是我国物理学及相关领域研究的重要基地之一。目前承担“国家重点基础研究发展计划（973计划）”项目课题25项；承担“国家高技术研究发展计划（863计划）”项目课题5项；承担国家自然科学基金重大、重点和面上项目140余项；此外还承担了部、省级项目以及国际合作项目40余项。

　　学院坚持以自主创新为特色，一批高水平的科研成果发表在Nature、Science和Phys. Rev. Lett上。自1978年国家设立科技奖励制度以来，共获得国家级奖37项，省部级奖148项；1999年国家实行新的科技奖励制度后，又获得国家自然科学一等奖1项，国家自然科学二等奖6项。有4人获何梁何利基金科学与技术进步奖，1人获第三世界科学院基础科学奖，1人获陈嘉庚数理科学奖，1人获中国物理学会胡刚复物理奖。

　　国际交流与合作

　　学院和美国马里兰大学、法国巴黎高科、西澳大利亚大学等十一所国际著名大学物理系建立了人才培养交流与合作关系。每年派遣数十名名优秀研究生和十余名本科生去国外、境外著名大学和研究所开展合作研究、参加国际会议、暑期学校, 或从事一个月至一学期不等的学习与交流。

　　学院每年还邀请近百名国内外著名学者前来访问和讲学，仅2010年物理学院和国家实验室开设的“钟山论坛”就邀请到包括诺贝尔物理学奖获得者David J. Gross教授、诺贝尔生理学奖获得者Erwin Neher教授、美国科学院院士沈元壤教授，美国工程院院士翔教授等国际著名学者，其中两位诺贝尔奖获得者还专门给本科生作了专题报告。2010年暑期，物理学院开办了国家实验班暑期学校，邀请了加拿大滑铁卢大学的廖永琪教授、美国马里兰大学的史砚华教授采用英文分别讲授了《理论物理》、《量子信息与量子光学》课程。"
111_5213,111,5213,大气科学,四年,理学学士,本科(普通),理学,大气科学类,　　学科：理学 <br />　　门类：大气科学类 <br />　　专业名称：大气科学 <br /><br /> <br />　　业务培养目标：本专业培养具有扎实的大气科学基本理论、基本知识和基本技能。能够在大气物理、大气环境、大气探测、气象学、气候学、应用气象及相关学科从事科研、教学、科技开发及相关管理工作的高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习大气科学等方面的基本理论和基本知识，受到科学思维与科学实验(包括野外实习和室内实验)方面的基本训练，具备良好的科学素养，具有进行人文科学基础研究或应用研究，进行理论分析、数据处理和计算机应用的基本技能。具有较强的知识更新能力和较广泛的科学适应能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握系统的数学、物理、化学、计算机等方面的基本理论和基本知识； <br />　　2．具有扎实的大气科学的基础理论、基础知识和基本技能，掌握进行大气探测的技术和分析的基本方法； <br />　　3．了解相近专业的一般原理和知识； <br />　　4．了解国家科技发展、环境保护、知识产权等有关政策和法规； <br />　　5．了解大气科学及相关学科发展的理论前沿和最新发展动态； <br />　　6．掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；具有一定的实验设计，创造实验条件，归纳、整理、分析实验结果，撰写论文，参与学术交流的能力。 <br /><br />　　主干学科：大气科学、环境科学 <br /><br />　　主要课程：大气科学概论(地球科学概论)、大气物理学、大气探测学、天气学、大气动力学基础、近代气候学基础等。 <br /><br />　　主要实践性教学环节：包括天气学实习、大气探测实习和毕业论文等，一般安排10-20周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：理学学士 <br /><br /> <br />
111_5225,111,5225,信息与计算科学,四年,理学学士,本科(普通),理学,数学类,　　学科：理学 <br />　　门类：数学类 <br />　　专业名称：信息与计算科学 <br /><br /> <br />　　业务培养目标：本专业培养具有良好的数学知识，掌握信息科学和计算科学的基本理论和方法，受到科学研究的初步训练，能运用所学知识和熟练的计算机技能解决实际问题，能在科技、教育和经济部门从事研究、教学和应用开发和管理工作的高级专门人才。<br /><br />　　业务培养要求：本专业学生主要学习信息科学和计算科学的基本理论、基本知识和基本方法，打好数学基础，受到较扎实的计算机训练，初步具备在信息科学与计算科学领域从事科学研究、解决实际问题及设计开发有关软件的能力。<br /><br />　　毕业生应获得以下几方面的知识和能力：<br />　　1．具有扎实的数学基础，掌握信息科学和计算科学的基本理论和基本知识；<br />　　2．能熟练使用计算机(包括常用语言、工具及一些专用软件)，具有基本的算法分析、设计能力和较强的编程能力；<br />　　3．了解某个应用领域，能运用所学的理论、方法和技能解决某些科研或生产中的实际课题；<br />　　4．对信息科学与计算科学理论、技术及应用的新发展有所了解；<br />　　5．掌握文献检索、资料查询的基本方法，具有一定的科学研究和软件开发能力。<br /><br />　　主干学科：数学、计算机科学与技术。<br /><br />　　主要课程：数学基础课(分析、代数、几何)、概率统计、数学模型、物理学、计算机基础(计算概论、算法与数据结构、软件系统基础)、信息科学基础、理论计算机科学基础、数值计算方法、计算机图形学、运筹与优化等。<br /><br />　　主要实践性教学环节：包括生产实习，科研训练，毕业论文(毕业设计)等，一般安排10——20周。<br /><br />　　修业年限：四年<br /><br />　　授予学位：理学学士 <br /><br />
