special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
112_1024500,112,1024500,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,"<p>    培养目标：本专业培养掌握安全科学、安全技术、安全管理和职业健康基本理论、基础知识和
基本技能，具备专门从事安全工程设计、研究、检测、评价、监察和管理等工作能力的高素质复合
型工程技术专业人才。
</p><p>    培养要求：本专业学生在学习工程专业基础、人文社科知识的基础上，主要学习安全科学与
工程基础理论、安全工程技术及安全管理相关课程，接受校内外实践环节、专业相关课程的课程
设计和毕业论文与毕业设计的基本训练，具备注册安全工程师基础知识、专业能力和素质，具备
服务于建筑、化工、冶金、矿业、机电、能源、交通运输、保险、职业健康等各个行业的安全健康业
务，并具有在安全健康行政管理、安全中介等机构中工作的能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有较好的人文社会科学素养、较强的社会责任感、工程职业道德和服务意识；
</p><p>    2．具有从事安全专业所需的自然科学知识和一定的经济管理知识；
</p><p>    3．具有一定的国际视野和跨文化交流、竞争与合作的能力；
</p><p>    4．具有工程制图、计算机辅助设计和应用计算机进行数据处理及分析的能力；
</p><p>    5．掌握文献检索及运用现代信息技术获取相关信息的基本方法，了解本专业的发展现状和
趋势，了解本专业领域技术标准、相关行业政策、法律和法规；
</p><p>    6．掌握安全科学、安全工程、安全管理、职业健康的基本理论、基础知识和基本技能；
</p><p>    7．具备从事安全工程方面的设计、研究、检测、评价、监察和管理等工作的能力；
</p><p>    8．具有综合运用所学知识分析并解决安全工程问题的基本能力以及从事特定行业安全新
工艺、新技术开发与设计的初步创新能力；
</p><p>    9．具有一定的组织管理能力、较强的人际交往能力和团队精神；
</p><p>    10.具有应对危机与突发事件的能力。
</p><p>    主干学科：安全科学与工程。
</p><p>    核心知识领域：工程理化基础、机电工程设备安全技术、安全人机工程、事故致因理论、安全
管理及其系统方法、通风及火灾爆炸控制技术。
</p><p>    主要实践性教学环节：集中实习、课程设计、工程实践、毕业设计（论文）等。
</p><p>    主要专业实验：机电工程设备安全技术类课程实验、通风及火灾爆炸控制类课程实验、安全
人机工程、事故致因理论、安全管理及其系统方法类课程实验等。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
112_5248,112,5248,自动化,四年,工学学士,本科(普通),工学,自动化类,<p>　　一、专业特色</p><p></p><p>　　本专业历史悠久、师资力量雄厚、教学条件优越，是国家级特色专业建设点。拥有国家级优秀教学团队和国家级教学名师，在“以人为本，以学生为中心”的理念指导下，高度重视学科建设向专业建设的渗透和高水平科研成果向本科教学的转化，构建了一套培育系统设计师的实践教学体系。在运动控制、过程控制、网络控制以及嵌入式系统等方面，特色鲜明。建设有多门国家级和省级精品课程、国家级优秀双语教学课程、省级自动化实践教学示范中心、大学生创新实践活动基地，极大地促进了学生科研素养的提升和创新能力的培养，为学生培养和进一步深造提供了良好的条件。近年来，本专业在校生在智能汽车竞赛、中国机器人大赛、电子设计大赛、“挑战杯”等全国性大学生科技竞赛中获得一、二等奖十余项，并连年获得省级优秀毕业设计团队奖。毕业生动手能力强、适应面宽，综合素质高，得到用人单位广泛赞誉。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：控制科学与工程。</p><p></p><p>　　主要课程：电路、模拟电子线路、数字逻辑电路、微机原理及接口、软件技术基础、电力电子技术、网络与数据通信、传感器与检测技术、自动控制理论、信号与系统、控制系统计算机辅助设计、工业自动化网络、过程计算机控制系统、运动控制系统、建模与辨识基础、机器人控制导论、微控制器应用及系统设计、嵌入式系统及应用、PLC原理及应用、导航技术基础、模糊控制基础、航天控制概论等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　本专业主要培养综合应用自动控制理论、计算机、电子和电气元部件、计算机网络、信息处理技术的能力，从事与电气信息领域相关的自动化仪表和设备、嵌入式计算机控制系统、测控应用软件、运动控制系统、过程控制系统、网络控制、交通控制和智能建筑等综合自动化测控系统的研究、设计、开发、运行管理与决策的宽口径高素质复合型专门人才。</p>
112_5247,112,5247,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>　　一、专业特色</p><p></p><p>　　本专业为国家特色专业、江苏省品牌专业。办学历史悠久，设施先进，师资精良。本专业在原雷达专业基础上演变而来，以雷达这一综合电子系统为背景，加强学生电子系统知识的学习，以适应现代电子系统的发展要求。专业教学在秉承哈军工的严谨、规范、踏实的优良传统的同时，又具有着浓厚的信息时代特征。本专业将最新科研成果注入课程教学之中，使学生在信号分析与处理、电子系统分析与设计和计算机应用等方面的能力得到培养。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：信息与通信工程、电子科学与技术。</p><p></p><p>　　主要课程：电路理论系列课程、计算机技术系列课程、通信原理、信号与系统、数字信号处理、数字逻辑电路、电磁场理论、自动控制原理、感测技术等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　在信息、电子等行业从事各类电子设备和信息系统的研究、设计、制造、应用和开发工作。</p>
112_5254,112,5254,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,<p>　　一、专业特色</p><p></p><p>　　本专业是国家级特色专业和省部级重点建设的品牌专业。专业负责人为国家级教学名师，专业师资队伍是国家级优秀教学团队，建设的实验中心为国家级教学示范中心。重点培养在化工、能源、轻工、食品、环保等部门从事化工过程与设备以及新工艺、新产品、新技术的研制、开发、应用和生产组织管理、化工贸易、科学研究等方面工作的高级工程技术人才。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：化学、化学工程与技术。</p><p></p><p>　　主要课程：四大化学、化工原理、化工机械与设备、化工自动化及仪表、化学反应工程等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　从事轻工、医药、食品、能源、环境等化工、生物化工过程和设备以及新工艺、新产品、新技术的研制、开发及应用工作。</p>
112_5273,112,5273,应用化学,四年,理学学士,本科(普通),理学,化学类,<p>　　一、专业特色</p><p></p><p>　　化学是研究物质的组成、结构、性质以及变化规律的科学。应用化学运用化学基本理论与方法，解决科研和生产中与化学紧密相关的问题。本专业主要研究精细化学品的结构、性质、设计、制备、测试、应用、管理与营销等，具有理工交融，以工为主的鲜明特色。本专业依托我校应用化学国家级重点学科，有硕士、博士学位授予权和博士后流动站，拥有国家级化学化工实验教学中心、省级化学实验教学示范中心，培养具有基础扎实、实验和创新能力强的新世纪人才。学生的知识面广、动手能力强、就业面宽。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：化学、化学工程与技术类。</p><p></p><p>　　主要课程：无机化学、有机化学、分析化学、仪器分析、物理化学、化工原理、精细化学品化学与工艺学、现代分离方法与技术、现代工业化学、绿色化学、有机合成设计等。</p><p></p><p>　　三、毕业就业方向</p><p></p><p>　　本专业毕业生可在海关、商检、石油、化工、医药、建材、冶金、食品、环境监测等领域从事研究、开发和管理工作。</p>
112_5270,112,5270,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>　　一、专业特色</p><p></p><p>　　本专业培养整体目标明确，实行“以学生为主体，关注个性发展”的人才培养方案，体现“宽专业、厚基础”的特征，形成“全员重视教学、科研促进教学、管理服务教学”的育人氛围，形成了“强电与弱电，软件与硬件，系统与元件”相结合的人才培养模式，“电气与自动化”、“电力与自动化”、“电气与信息技术”相结合的专业格局，形成了“军工与民用”相结合的科研教学局面。2005年，被批准为江苏省特色专业。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：电气工程。</p><p></p><p>　　主要课程：电路、电机学、工程电磁场、电力电子技术、电力系统分析、电力系统继电保护、电力系统自动装置、模拟电子线路、数字逻辑电路、微机原理及接口、电气检测技术、自动控制理论、信号与系统、数字信号处理、电气检测技术、电力拖动与控制、计算机技术（语言、软件基础、硬件基础、单片机）等。高年级根据社会需要学习柔性的、适应性强、覆盖面宽的专业课及专业选修课等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　本专业培养能够从事与电气工程领域的电力系统及其自动化、电气测控、电气设备、电力电子、信号处理、实验分析、研制开发、系统集成、经济管理以及电子与计算机技术应用等领域工作的宽口径复合型高级工程技术人才。</p>
112_5242,112,5242,高分子材料与工程,四年,工学学士,本科(普通),工学,材料类,<p>　　一、专业特色</p><p></p><p>　　本专业主要研究方向为：导电高分子材料、生物医用高分子材料、高性能高分子材料及复合体系。对电、生物医用高分子材料的合成、高性能高分子复合材料及高分子材料加工过程的基础及应用基础进行深入的研究，承担过多次国家自然科学基金、国防科所等科研项目。培养的人才所涉及的工业部门包括：信息和电子行业、航空航天、汽车工业、医用材料、化工、轻工、建材等。本专业对应学科“材料科学与工程”为江苏省重点学科，“材料学”为国家级重点学科。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：材料科学与工程。</p><p></p><p>　　主要课程：有机化学、物理化学、高分子化学、高分子物理、高分子材料研究方法、聚合物反应工程、聚合物加工原理、聚合物成型工艺等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　高分子材料成型加工和改性以及设计、研究、开发、管理工作。</p>
112_5243,112,5243,工业设计,四年,工学学士,本科(普通),工学,机械类,<p>　　一、专业特色</p><p></p><p>　　本专业为江苏省重点专业。根据武汉大学中国科学评价研究中心与中国科教评价网合著的《中国大学及学科专业评价报告》中，2011年我校工业设计专业在全国239所院校所办的工业设计专业中，排名第8。所依托的一级学科是设计学，拥有设计学和工业设计工程两个硕士点。专业教学坚持理论与实践相结合，重视专业的交叉性并已形成了科学高效的教学体系，建立了多个教学实习基地，着重培养信息、家电、交通及国防等领域产品的工业设计专业人才。多次获得国家、省级优秀教学成果奖，工业设计教学团队为国家级教学团队。近年来本专业的就业率都在98%以上。，有1/3左右的学生攻读国内外的硕士研究生。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科、交叉学科：机械工程、设计学。</p><p></p><p>　　主要课程：素描、色彩、造型设计基础、产品设计基础、人机工程学、计算机辅助设计、机械设计与制造基础、产品设计、视觉传达设计、媒体设计、环境设计等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　在企事业单位、专业设计部门、科研单位、高等院校等，从事工业产品创新设计相关的教学、科研工作。</p>
112_5244,112,5244,车辆工程,四年,工学学士,本科(普通),工学,机械类,<p>　　一、专业特色</p><p></p><p>　　该专业为工信部重点专业、江苏省重点专业类，紧密结合汽车行业现代技术与需求，经过多年的发展，形成了机电液结合、军用暨专用车辆结构设计与分析和国际化的专业特色。与美国福特、美国车桥等外资企业建立了良好的合作关系，与美国密西根大学、英国考文垂大学等国际名校长期开展专业和学术交流，在上汽集团和总装汽车试验场等单位建立了稳固的学生实习基地。本专业师资力量雄厚，拥有双聘院士一人，教授4人，大部分教师都拥有博士学位。所属车辆工程学科拥有硕士、博士学位授予权，并建有博士后科研流动站。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：机械工程、力学。</p><p></p><p>　　主要课程：工程图学、理论力学、材料力学、机械设计基础、机械制造基础、控制工程基础、工程材料及成形工艺、测试技术、计算机系列课程、经营与管理、电工与电子技术基础理论课程，及汽车构造、汽车理论、汽车设计、车辆动力装置、汽车电测与电控等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　毕业生主要在科研院所、企业、高新技术公司从事各种车辆（包括汽车、改装车辆、特种车辆）的研究、设计、制造、检测、实验、开发、应用研究等工作以及从事运行管理、经营销售工作。</p>
112_5245,112,5245,材料成型及控制工程,四年,工学学士,本科(普通),工学,机械类,<p>　　一、专业特色</p><p></p><p>　　材料成型及控制工程是江苏省特色专业，是一门多学科交叉、综合性、应用性很强的专业，培养学生掌握计算机技术、机械制造、材料科学、硬件电路、检测与自动控制、材料加工工艺及设备等基础理论和技术、以及材料加工专业知识和技术，并通过现代工程培训、综合实验、实习、毕业设计等实践教学环节提高学生综合应用能力。从事材料加工工艺及设备的设计选型、过程自动控制、性能质量测控、生产管理和经营销售等方面工作的高级工程技术人才。</p><p></p><p>　　二、主干学科和主要课程</p><p></p><p>　　主干学科：材料加工工程、材料学、机械工程。</p><p></p><p>　　主要课程：材料工程力学、机械设计基础、模拟与数字电路、材料科学基础、程序设计、微机原理及应用、材料加工检测与控制、材料成型原理、材料成型设备与控制、检测技术及控制工程、CAD/CAM基础等。</p><p></p><p>　　三、毕业生就业方向</p><p></p><p>　　主要从事材料的加工工艺及设备设计、加工过程自动测控、性能质量检测与控制的科学研究与教学、试验开发、生产技术管理等方面的工作。</p>
