special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
77_3015,77,3015,飞行器设计与工程,四年,工学学士,本科(普通),工学,航空航天类,<p>航空航天科技水平已成为一个国家科技水平和综合国力集中体现的标志之一。本专业为你提供了成为一名优秀的飞行器设计师所需知识的培养方案。</p><p>本专业创建于1952年，是目前我国航空航天类专业中最具特色、最具实力、最具影响力的专业。本专业是首批国家级特色专业、江苏省品牌专业和国防重点专业。本专业依托的飞行器设计二级学科首批获博士、硕士学位授予权，为我国首批唯一的飞行器设计国家重点学科。</p><p>本专业主要从事新型/新概念飞行器设计、飞行器先进设计理论和技术的研究，在飞行器设计领域有着深厚的基础和领先的技术。本专业自行研制成功了我国第一架大型无人驾驶靶机、第一架有人驾驶轻型飞机、第一架直升机、第一架飞翼式微型飞机、第一架可控仿鸟扑翼飞行器等29种型号的各类飞行器，多个型号填补了我国飞行器空白。参与了歼10战机、歼11B战机、歼20战机、歼15舰载机、运20大型运输机、直10武装直升机、直19武装直升机、蛟龙600水陆两用飞机、C919大型客机、神舟飞船、嫦娥探月飞行器、天宫空间实验室等国家重大型号的研制，共获得国家级科技成果奖11项。授课教师们先进的设计理论与技术、丰富的设计实践和经验确保你能学习到系统的专业知识和了解到前沿的先进思想。</p><p>本专业社会影响力大、吸引力强，已成为我国航空航天的品牌专业。本专业培养的学生中涌现出了一大批杰出人才，如：石屏院士、徐至展院士、赵淳生院士，C919大型客机总设计师吴光辉、直10武装直升机总设计师吴希明、蛟龙600大型水上飞机总师黄领才等国家重大型号总设计师。据中航工业集团公司统计，其员工来自全国200余所高校，其中约1/5的飞行器总师级人物来自本专业。</p><p>本专业十分重视创新型人才的培养，建立了大学生飞行器创新设计开放实验室，设立了面向大学生的创新基金，配备了导师，近几年每年取得100多项课外科技创新成果。如胡铃心等同学获得首届国际“飞向未来——太空探索创新大赛”亚太赛区第一名等8项国家级以上科技创新成果奖，2009年当选为团中央委员，受到温家宝总理的亲切接见。2011年，在全球12万多初赛者、75个国家2600多名大学生组成的315支决赛队的激烈竞争中，本专业大学生组成的“凤凰之翼”科创团队荣获第二届空中客车FYI全球大学生航空创意竞赛全球总冠军，成为我国迄今为止该国际竞赛的唯一获奖者。</p><p>本专业有高质量的教学。现有专任教师中教授51人，拥有博士学位人数119人，60%以上的教师具有境外一年以上的留学或工作经历，70%来自国内外著名大学。师资队伍中包括1名中科院院士、1名国家教学名师、4名千人计划/长江学者和3名973首席科学家。本专业拥有优良的教学条件，建有国家级“直升机旋翼动力学”国防科技重点实验室、“机械结构力学与控制”国家重点实验室、“飞行器先进设计技术”国防重点学科实验室、国家级“航空工程实验教学”示范中心、国家级“航空气动工程实践中心”。本专业还与30多家航空航天主机厂所有很好的合作关系，建立了稳定的产学研人才培养基地。</p><p>本专业的就业前景好，近几年的就业率为100%。毕业生大多在航空航天主机厂所、民航企事业找到了一份如意的工作</p>
77_3013,77,3013,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>本专业为国家级特色本科专业、国防特色重点专业、江苏省品牌特色专业、江苏省“十二五”重点专业以电气工程领域为对象，注重计算机科学、控制理论和信息科学在电气工程各领域中的应用，具有广阔的发展前景，相关研究领域在国内具有重要影响力，就业渠道广。</p><p>本专业设有电力电子与电力传动、电机与电器、电力系统及其自动化、电工理论与新技术四个研究方向。培养具有电气工程领域较宽广的专业基础知识和工程技术基础，具有较好的电气分析、电气设计、电气系统设计、电气系统运行、科学研究、技术开发和管理工作能力的适应国民经济建设特别是航空航天、国防工业和新能源产业发展的高素质的电气领域的高级工程技术人才。</p><p>主要专业课程：电路、信号与线性系统、模拟电子技术、自动控制原理、工程电磁场、电机学、数字电子技术、电力电子技术、电力工程、计算机硬件技术基础、航空航天供电技术等</p>
77_3003,77,3003,飞行器环境与生命保障工程,四年,工学学士,本科(普通),工学,航空航天类,<p>飞行器环境与生命保障工程所涉及的系统是飞行器最大的机载机电系统，系统任务是为航空航天飞行器内部人员提供舒适的工作环境、保障电子设备稳定可靠工作、为飞行器提供防冰系统技术、为飞行器着陆和回收提供气动减速和防护救生技术等。</p><p>南京航空航天大学飞行器环境与生命保障工程专业师资力量雄厚，专业水平国内领先，旨在培养具备航空航天环境模拟及控制、生命保障系统设计与研究能力的高素质人才，毕业生能在航空航天领域从事飞行器环境控制与生命保障系统、在民用领域从事热能利用、空调、供暖、散热等系统设计和管理的工作。</p><p>我们的教师立足讲台但又身怀绝技。他们在飞行器环境与生命保障工程领域有着丰富的科研和工程项目经验，长期以来与航空航天科研厂所进行着卓有成效的合作，承担了大量国防领域的科研项目，这些科研和工程经验将在课堂上充分展示给你，让你能够对将来所从事的专业方向具有更加直观和深刻的理解。我们还定期邀请行业内部人士开展技术和行业发展讲座和交流，拓展你的视野的同时，也有益于将来你的职业规划。</p><p>我们有高质量的教学手段，完备的课程体系。你既能够充分掌握将来从事飞行器环境与生命保障工程相关工作所必备的专业知识，还能学习到多种交叉学科的课程。你可以在学习过程中，充分掌握飞行器环境与生命保障系统的设计方法，又可以在未来工作和升学深造时能够自如地进入其他学科专业领域。</p><p>我们提供了丰富的实习实践环节。我们拥有国内高校规模最大的飞行器环境与生命保障实验室，承担了大量的国防型号和民用项目科研任务，是我国人机与环境工程科学研究和高层次人才培养的重要基地，你可以在这里开展专业课程的实验，也能够进行本科生创新研究项目实验；我们还与航空航天厂所建立了三个本科生实习基地，让你能够到科研生产一线亲身体验和学习飞行器环境与生命保障、空调制冷技术、防护救生等领域的实际研发过程。</p><p>你有大量的机会参与各类专业竞赛和创新性研究活动。我们有固定的由恩布拉科和江森自控资助的专业创新设计大赛，我们的教师和研究生在做着多个前沿领域的研究：机载蒸发制冷循环系统、飞机结冰及防除冰、防护救生及气动减速。我们欢迎和鼓励本科生参与教师的科研项目及创新性研究活动，你可以加入这些在国内甚至国际领先的研究团队，训练和提升你的科研素养，展现你的创新才能。</p><p>我们的师生关系和谐融洽，我们关注学生的冷暖。定期的师生交流活动，能够让你尽快熟悉大学生活和学科专业背景，能够让教师及时听到你的声音；本专业所在系设立了“人机与环境工程励志奖学金”，用于奖励经济困难却又积极进取的学生，同时还有其他各类奖学金和创新研究基金，为具有梦想和开拓精神的同学提供资助和奖励。</p><p>我们的就业领域广泛。由于学生综合素质高，同时本系与各航空航天企业具有良好的合作关系，毕业生深受用人单位的喜爱和好评，你所学的专业知识适合多个领域的就业，除了在航空航天企业从事飞行器环境与生命保障领域的研发和管理工作，亦可拓展到其他领域，如舰船和潜艇环境控制、空调制冷行业、电子设备热设计行业、热能与动力行业等。</p>
77_3007,77,3007,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>随着国家经济及航空事业的发展，建筑、道路、桥梁、隧道与机场建设被推上了一个新的发展高度。本专业既体现国民经济建设的需要，又具有鲜明的航空特色，就业面宽，需求量大。</p><p>本专业旨在培养掌握扎实的力学和数学基础理论知识，掌握土木工程学科的基本理论、基本知识和基本技能，具备从事土木工程的项目规划、工程设计、研究开发、施工及管理能力，具有较高的外语水平、熟练的计算机应用能力、创造性的思维、广阔的国际视野和良好的沟通能力的高级专门人才。</p><p>毕业生能在建筑工程、桥隧和道路工程、机场工程等领域从事设计、研究开发、施工和管理等方面的工作。</p>
77_3005,77,3005,工程力学,四年,工学学士,本科(普通),工学,力学类,<p>本专业创建于60年代，历经半个多世纪的发展，形成了以力学和航空宇航科学与技术两个一级国家重点学科、国家工科基础课程(力学)教学基地、机械结构力学及控制国家重点实验室等一批国家级教学、科研平台为支撑，特色鲜明的一级学科主干重点专业。本专业面向航空、航天、国防科技、高新技术等领域，在国家战略发展规划中占有重要地位和作用。</p><p>在结构动力学与控制、机械结构强度、振动利用与精密驱动、微纳系统力学、智能材料与结构等研究方向具有重要和广泛的学术影响。拥有院士领衔，长江学者特聘教授、国家杰出青年基金获得者、全国优秀博士论文获得者、教学名师等组成的一流师资队伍，荣获2014年中央组织部、中央宣传部、人力资源社会保障部、科学技术部四部委联合颁发的“全国专业技术人才先进集体”称号。</p><p>多年来，学校对工程力学“钱伟长班”倾注优势资源和雄厚师资力量，聘请了中国科学院院士和著名学者担任首席导师。在“刻苦学习理论、勤于动手实践、勇于独立思考、善于自我创新”的育人目标引领下，将学习、实践、创新融为一体，注重塑造科学精神和人文素养，培养学生从工程中提炼问题、解决问题以及在技术上自主创新的能力。</p><p>本专业分为两个班，其中一个班采用本硕(博)连读培养方式，实行导师制。毕业后直接进入硕士、博士阶段学习。遵循“宽口径、厚基础、强能力、高素质”的培养模式，通过数学、力学、机械、信息、控制等多学科交叉融合，培养的学生能在先进制造、航空、航天、交通运输、海洋产业等高新技术领域，以及高等院校、政府企事业机构等从事技术研发、科学研究、高级管理等工作。</p>
77_3002,77,3002,飞行器动力工程,四年,工学学士,本科(普通),工学,航空航天类,<p>本专业培养具有高尚的人格品行和社会责任感、扎实的基础理论和系统的专业知识，以及较强的工程实践能力与创新意识的飞行器动力高素质工程技术人才，能够在航空、航天、民航、能源、动力等行业从事飞行器动力装置以及其它热动力机械的工程设计、科学研究、生产运行和技术管理等方面工作。</p><p>本专业学制四年，招收理科考生，毕业生授予工学学士学位。</p><p>动力系统是飞行器的心脏，也是推动飞行器一代又一代高速发展的决定性因素。“发展航空航天，动力先行”已成为国际航空航天界的共识和航空航天技术发达国家的成功经验。目前，在世界范围内能真正独立研制先进航空发动机的国家只有美、英、法、俄等国。为了适应国家航空航天事业的发展和国防现代化的需要，在我国已经启动的16项重大专项中，有3项与航空航天动力技术直接相关。</p><p>飞行器动力工程专业是我校的主机专业之一，是国家级特色专业、教育部卓越计划专业、江苏省品牌专业，在国内具有较高的知名度。随着我国航空航天事业（特别是大飞机和大发动机事业）的迅速发展，其对飞行器动力类高水平专门人才的需求不断加大。因此我国飞行器动力正处于朝阳发展阶段，本专业具有很好的发展前景。</p>
77_3001,77,3001,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,<p>本专业致力于能源高效综合利用和热动力装置，特别是燃气轮机的研发。专业以热工、力学和机械科学理论为基础，以计算机和控制技术为工具，培养具有高尚人格品行和社会责任感，具备能源生产、转化、利用与动力系统研发基本理论和应用技术，具备节能减排理念，可从事先进能源动力、新能源研究开发以及动力装置优化设计等工作的高水平科技开发人才。</p><p>本专业学制四年，招收理科考生，毕业时授予工学学士学位。</p><p>我院能源与动力工程专业是动力工程与工程热物理一级学科下的本科专业，现为工业和信息化部重点专业、江苏省特色专业，为学校重点投入和发展的专业之一，在国内具有较好的知名度。随着国家和江苏省对能源与动力产业重视程度不断提升，投入逐年加大，迫切需要能源与动力工程专业方面的高素质和综合性人才，同时也给能源与动力工程专业建设和发展带来了历史性的良好机遇，具有极强的发展前景。</p><p>该专业建有动力工程及工程热物理一级学科博士点，下设“工程热物理”、“热能工程”、“制冷及低温工程”、“动力机械及工程”、“流体机械及工程”等硕士点和博士点以及“环境工程”硕士点，并设有“动力工程与工程热物理”博士后流动站</p>
77_3000,77,3000,车辆工程,四年,工学学士,本科(普通),工学,机械类,<p>本专业培养适应社会主义现代化建设需要的、德智体美全面发展的，具备车辆设计、制造基础知识与应用能力，能在车辆企业、研究院所及相关行业从事设计、研究、生产、试验、开发和管理等方面工作的创新型高级工程技术与管理人才。</p><p>本专业学制四年，招收理科考生，毕业授予工学学士学位。</p><p>汽车是我国重点发展的支柱产业，是我国2009年提出的“十大产业振兴规划”中的第一大产业。我院车辆工程专业是学校重视发展的专业之一，是省重点学科所属的专业，在国内具有一定的知名度。随着我国汽车行业及其相关产业的发展，其人才需求也不断增强，同时我国汽车行业正处于朝阳发展阶段，所以该专业具有很好的发展前景。</p>
77_3006,77,3006,自动化,四年,工学学士,本科(普通),工学,自动化类,<p>本专业为国家特色专业、工业与信息化部重点专业、国防特色重点专业、江苏省品牌特色专业、江苏省“十二五”重点专业、列入教育部及江苏省卓越工程师计划，专业优势突出，就业渠道广，培养的人才具有“一专多能”的特点。</p><p>本专业设有飞行控制、工业自动化及导航与测控三个方向。培养具有扎实的控制科学与工程、计算机应用等较宽广领域的工程技术基础和专业知识，具有较好的系统分析、系统设计、系统运行、科学研究、技术开发和管理工作能力的适应国民经济建设特别是航空航天和国防工业发展的高素质的自动化领域的高级工程技术人才。</p>
77_3014,77,3014,测控技术与仪器,四年,工学学士,本科(普通),工学,仪器类,<p>本专业是光、机、电、算等学科相结合的大类专业，是江苏省特色本科专业，在培养模式和课程设置上具有航空特色，办学历史悠久，就业渠道广，发展前景广阔。</p><p>主要专业方向：现代计算机测控系统、智能仪器、信号分析与处理、传感器技术、光电检测、无损检测。培养出的学生具有扎实的基础知识和熟练的外语和计算机应用能力，能在计算机测控、智能仪器、传感器开发等领域从事科技开发、工程设计、试验分析和经营管理。</p><p>主要专业课程：测控技术与仪器专业导论、测试精度分析、传感器原理、数字信号处理、数字化测试技术、航空测试系统、模拟电子技术、数字电子技术、计算机硬件技术基础、单片机与嵌入式系统等</p>
