special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
59_1903,59,1903,金融学,四年,经济学学士,本科(普通),经济学,金融学类,<p>自1982年开始招收本科生，是我国最早的国家重点学科之一，师资力量雄厚，拥有一批国内外知名专家学者和国际金融学、商业银行经营与管理等国家级精品课。该专业培养学生宽厚的经济学、金融学理论素养，培养学生运用统计学、数学和计算机知识和基本技能教学金融分析能力，培养学生对国内外金融运行实践和政策相关问题的分析理解能力，斌培养学生创新性解决问题的能力，其主要内容包括国际金融、货币银行学等宏观金融、传统优势学科部分，投资分析，资本市场与金融机构、公司金融不动产金融、金融风险管理、金融租赁、财富管理、资产管理等应用金融部分，以及以资产定价等为代表的现代金融学的内容。该专业毕业生去向在南开大学所有毕业生情况调查中名列前茅。</p>
59_1918,59,1918,哲学,四年,哲学学士,本科(普通),哲学,哲学类,<p>该专业旨在培养德智体全面发展、掌握哲学专业知识并兼通其他专业知识的人才。要求学生掌握马克思哲学的基本理论和方法，熟悉马克思主义哲学的历史，了解中外哲学的历史和当代哲学思潮，具有一定的社会科学、自然科学和思维科学的基础知识，有较强的理论思维能力、语言表达的能力、社会活动能力、和初步的科研能力。基础课程主要有哲学概论、马克思主义哲学、西方哲学、中国哲学、逻辑学导论、科学哲学导论、伦理学导论、宗教学导论、美学导论、哲学研究与写作、马克思主义哲学经典与历史、西方马克思主义哲学导论、当代马克思主义哲学、认识论、形而上学、西方哲学原著、佛教哲学、儒家哲学等。毕业去向：哲学社会科学研究机构、高等院校、广播电视及新闻出版单位、党政领导机关、大型企业的党政领导部门等。本科生入学后享有奖学金的比例达80%以上，困难生可以通过勤工俭学获得各种资助。</p>
59_1945,59,1945,历史学,四年,历史学学士,本科(普通),历史学,历史学类,<p>国家一级重点学科。师资力量雄厚，课程完备丰富，重视学生学术能力的培养。主要课程有中国古代前期史、中国古代后期史、中国近代史、20中国史、史学概论、中国史学史、世界上古中古史、史学写作、历史文选、文物考古学概要、历史学电子资源应用、中国经济史、中国环境史、历史地理、中国婚姻家庭史、中国风俗史、中国社会史、中国近世疾病医疗社会史、中国城市史、中国近现代政治制度史、中国近代社会转型研究、中美关系史、中日关系史、文化大革命史等。毕业去向：主要就业于高等院校、科研机构、新闻出版单位、党校、党政机关、外事部门外贸部门、文化宣传部、国家和省市博物馆、三资与民营企业及城市建设规划部门。</p>
59_1886,59,1886,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>培养目标：</p><p>面向21世纪的学术发展和文化进步，适应社会主义现代文化建和国际文化交流需要，培养具有扎实的汉语言文学基本知识和理论素养，较强的读说写能力和创新意识，能够从事本专业相关的新闻、出版等工作的高级应用型人才，主干课程主要有，语言研究概论、现代汉语，古代汉语，应用语言学、方言研究、文学概论、文艺美学基础、中国古代文学作品选、中国古代文学史、现代中国文学、外国文学、比较文学、中国文学批评史、中国思想史、中国文化史、、文学批判、唐诗研究、词语词学研究、宗教与文学、海外华文文学研究、西方现代派文学现代中国文体与写作、中国女性文学、现代中国小说、中国新诗等。毕业去向：主要就业方向为高校师资、文化、文艺、宣传媒体部门从业人员和政府公务员。该专业每年都有20多名本科毕业生被免试推荐继续攻读硕士学位。</p>
59_1897,59,1897,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,<p>该专业分为基础数学、应用数学和数学金融与精算科学三个专业方向。基础数学方向汉族要培养能从事数学基础理论研究和数学教学的优秀人才，同时也为数学类所有的其他专业方向以及数学类之外的其他基础理论方向和应用科学方向等培养具有较高数学素养的专业人才。应用数学方向的培养目标是通过严格的训练，使学生掌握坚实的数学基础知识和熟练的计算机应用技术，初步具备计算机科学、信息科学以及管理科学知识，为毕业生今后在数学、经济和管理、计算机科学、信息科学等相关专业的进一步学习打好基础，为国民经济建设培养新型人才。数理金融和精算科学方向培养目标是使学生在扎实的数学、计算机技术和金融经济学基础上，掌握各种金融信息分析方法、金融决策技术、金融计算机网络技术及其有关软件的使用、熟悉各种金融产品、金融市场和金融工程、培养能在金融机构及相关领域从事高新技术工作或金融研究的高新技术专业人才。</p>
59_1915,59,1915,统计学,四年,理学学士,本科(普通),理学,统计学类,<p>统计学是关于收集、整理、分析和解释统计数据的科学，在自然科学、工程技术、生物医药、经济金融、社会科学、人文和管理科学等许多学科，以及日常生活中都有着广泛的应用。统计学人才的主要社会需求在各个自然科学研究，人文社会科学研究，政府机构、金融经济领域、基金、保险等各种金融机构，生物医药和医学研究中心、医药公司、疾控中心医院，工程技术和其他研究和应用机构等。国际交流，学生在学期间及毕业后，有多种形式的国际合作交流及出国深造的机会，如伯苓班加州伯克利大学交流项目、威斯康星—麦迪逊“3+1+1”联合办学项目，牛津——剑桥暑期交流、加拿大阿尔伯塔大学、南开大学——ucla暑期合作项目、百人计划等。</p>
59_1916,59,1916,世界史,四年,历史学学士,本科(普通),历史学,历史学类,<p>国家一级重点学科。学科体系完整，重视国际交往和外语教育，常年聘请外国专家任教。主要课程有，中国史学史、断代史、政治制度史、政治思想史、文化史、社会史、外交史、城市史、外国史学史、世界地区国别史、国际关系史、国际政治史、世界宗教史、国际文化、世界商务史、国际礼仪、专业外语、口语、应用英语翻译等。毕业去向：主要就业于高等院校、科研机构、新闻出版单位、党校、党政机关、外事部门外贸部门、文化宣传部、国家和省市博物馆、三资与民营企业及城市建设规划部门。</p>
59_1921,59,1921,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,<p>旨在培养一批在全球化竞争环境下具有国际化视野、知识结构全面和较高综合素质与能力，可从事组织与战略规划、创业及创新、运营管理、项目管理、服务管理等领域研究和实践工作的高级复合型人才。毕业去向：被保送或考取国内重点大学攻读硕士研究生、申请到美国、欧洲等地的名校继续深造就业渠道：党政机关、企事业单位、四大会计师事务所等三资企业。</p>
59_1912,59,1912,经济学,四年,经济学学士,本科(普通),经济学,经济学类,<p>坚持教育为先、能力为重、全面发展，促进学生主动适应社会，开创美好未来，经过四年本科培养，为学生成长为具有全球视野，国家情怀和人文关怀的经济学家鉴定坚实的基础，“自食其力有余，以助人为己乐”是底线要求。允公允能，兼具爱国乐群之公德与服务社会之能力。以“人的全面自由发展”为学习和研究经济学之追求，以“知中国服务中国”为己任。依托“史论结合”和“社会调查”为突出特色的经济学理论人才培养体系，使学生掌握中外经济发展历史与现实，掌握经济学的源起、发展脉络和最新前沿，同时对人文、社会和自然科学有广泛的涉猎。毕业去向：主要是各大银行，国企、党政机关、其他相关金融机构等。</p>
59_1899,59,1899,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>软件工程专业适应国家加快实施创新驱动发展战略，满足社会对高层次、复合型、创新型软件技术人才的迫切需求，培养软件系统分析师、系统架构师、高级工程师等高级软件技术人才。专业定位于复合型、创新型、国际化人才培养，以培养基础扎实、视野开阔、能够领导团队的创业领袖、优秀的系统分析师、架构师、软件工程师为目标，要求学生具备软件开发工作所需基础知识与规范熟练的开发技能，具备一定的项目开发经验、管理能力和综合性技术素质，胜任知名IT公司、金融机构、事业单位及政府机关等相关岗位工作。毕业以上免试去向：毕业生30%以上免试推荐或考取研究生，14%以上自费出国留学或入选南开大学“百名后备师资培养计划”公派出国，主要去向为清华、北大、南开、中科院以及美国哥伦比亚大学、加利福尼亚大学洛杉矶分校、澳大利亚悉尼大学、日本东京大学、香港中文大学、香港科技大学等。近五年，软件工程专业毕业生薪资水平始终保持在南开大学前三名。就业去向集中在北京、上海、天津、深圳等知名IT、通讯、电力、银行、保险等企业以及党政机关、事业单位，如：百度、阿里巴巴、腾讯、华为、农业银行、工商银行、国家电网、中国移动等。</p>
