special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
108_5064,108,5064,汉语国际教育,四年,文学学士,本科(普通),文学,中国语言文学类,1.历史渊源</br></br>南昌大学汉语国际教育于2006年开始设置，并于当年开始招生。本专业的培养目标是树立国际化、现代化、多样化的教育理念，全面实施素质教育，整合优化课程体系，深化教学内容改革，以人为本，因材施教，促进学生个性发展，培养综合素质高、知识结构合理、基础扎实、适应能力强、具有创新精神和创业能力的复合型、创新型对外汉语高级人才。</br></br>2.师资队伍</br></br>本专业师资力量雄厚，教授——副教授——讲师的梯队建设呈现出金字塔，呈现出极具发展后劲的面貌。现有教师49人，其中教授19人，博士39人，特聘专家2人，全国优秀教师1人，江西省新世纪百千万人才1人，赣鄱英才555工程人才1人，省高校中青年学科带头人6人，省骨干教师9人，省校级教学名师1 人。</br></br>3.教学科研与学科建设平台</br></br>自专业建立以来，本专业共建设3个国家级平台项目（“现代汉语”国家精品资源共享课、“现代汉语与社会生活”精品视频公开课、“中国语言文学本专业”国家特色专业），并有多项省级教学平台立项，这些平台大幅度地促进了本专业教学与科研的建设水平。</br></br>4.培养方式与特色</br></br>本专业注重汉英双语教学，并依据学生的兴趣和专业发展的需求，开设了法语和西班牙语课程，培养目标是具有扎实的中英文基础、一定的第二外语修养，对中国语言文学、中国文化及中外文化交往有较全面了解，能在国内外各级部门从事包括对外汉语教学在内的涉外工作，有进一步培养潜能的高层次复合型双语人才。
108_4970,108,4970,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,"1.历史渊源</br></br>南昌大学中国语言文学专业拥有一级学科博士点和一级学科硕士点，于1958年设立并招收第一届本科生，1979年招收第一届硕士研究生，1996年应用语言学被列入国家“211工程”重点建设学科（是南昌大学四个“211工程”重点项目之一）。于2003年被评为省级品牌专业后，2006年又被列为南昌大学八大强势学科之一。在2015年江西省本科专业评估中荣获第一名。2019年被评为国家一流本科专业。</br></br>2.师资队伍</br></br>本专业师资力量雄厚，现有教师49人，其中教授19人，博士39人，特聘专家2人，全国优秀教师1人，江西省新世纪百千万人才1人，赣鄱英才555工程人才1人，省高校中青年学科带头人6人，省骨干教师9人，省校级教学名师1 人。另外，外聘3人,其中教授1人，博士 3 人；名校兼职讲学教授30余人。</br></br>3.教学科研与学科建设平台</br></br>从教学平台和教学成果上看，本专业也具有相当的实力。其中教学平台方面：国家级教学质量工程项目4个；省级教学质量工程项目4个；校级质量工程项目2个；教学实习基地 6 个。教学成果上，获得国家级教学成果二等奖1项（参与），省级教学成果奖6项；出版教材4部，获江西省普通高校优秀教材一等奖1项；已完成省级教研项目18项，在研省级教研项目5项。</br></br>4.培养方式与特色</br></br>本专业现有的学科平台除了一级学科博士点和硕士点外，还有“十二五”中国语言文学省级重点学科、“十二五”中国语言文学省级示范性硕士点、江西省文科重点研究基地、国学研究院（全国第二个）、语言类型学研究所（全国第一所）、现当代文学研究所、作家工作室。</br>　 根据《中国大学评价研究报告（2015）》（艾瑞深中国大学研究团队组编，科学出版社出版）发布：在全国开设相同专业的469所高校中，南昌大学汉语言文学专业排在全国前四十强之列。"
108_5076,108,5076,经济学,四年,经济学学士,本科(普通),经济学,经济学类,经济学专业（下设三个方向：现代经济学方向、经济统计学和国际经济学方向）入选首批国家级一流本科专业建设点，也是江西省一流本科专业、省级“专业综合改革试点项目”。</br></br>本专业旨在培养具有扎实的马克思主义经济学理论功底，熟悉西方经济学理论，掌握现代经济分析方法，同时具备使用计算机分析处理经济数据的能力，能够适应经济社会发展需要的创新复合型人才。毕业生既可以在经济学各个分支学科进行扩展和深造，又能在经济管理部门、政策研究部门、金融部门、企业和教育部门从事经济分析、预测、规划、经营、管理和教学工作。</br></br>专业课程主要包括：政治经济学、微观经济学、宏观经济学、统计学、会计学、管理学、国际经济学、计量经济学、时间序列计量经济学、高等数据分析、金融学、财政学、中级微观经济学、中级宏观经济学、博弈论、产业经济学、区域经济学、证券投资学等。
108_5059,108,5059,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,1、历史渊源：</br></br>本专业是由原江西大学数学与应用数学专业发展而来，江西大学数学与应用数学专业于1958年设立并开始招生。1984年本专业开始招收首批硕士研究生。1993年江西大学和江西工业大学合并组建南昌大学， 江西大学数学与应用数学专业改名为南昌大学数学与应用数学专业发展至今。</br></br></br></br>2、师资队伍：</br></br>现有专任教师26人，其中教授7人，副教授13人，博士生导师6人，获博士学位23人，国家杰出青年基金获得者1人，国家“万人计划”领军人才、国家级教学名师1人，享受国务院特殊津贴者1人，国家级教学团队1个，赣鄱“555”领军人才、省“百千万”人才、省中青年学科带头人、省杰青等骨干教师7人。从美国和英国全职或柔性引进海外高层次人才3人，有海内外高水平大学和科研院所访学或求学经历教师8人。</br></br></br></br>3、教学科研与学科建设平台：</br></br>本专业2003年获批江西省品牌专业，2010年获批江西省特色专业，2016年获批江西省重点专业和综合改革试点专业，是国家“双万”计划中央赛道第一批国家级一流专业建设点，有独立的专业实验室和数学建模实验室。</br></br></br></br>4、培养方式与特色:</br></br>培养方式：本专业践行“格物致新，厚德泽人”的校训，围绕建设“高水平新型综合性大学”的战略目标，以科学研究引领学科发展，以教学改革和人才培养方式转变为动力，重基础，强能力，抓创新，培养掌握数学科学的基本理论与方法，具有坚实数学基础和良好数学素养，受到科学研究的系统训练，具备运用数学知识和使用计算机解决实际问题的能力，具有坚定政治认同、开放创新思维、严谨科学精神、宽广国际视野的人格健全的复合型优秀人才。</br></br>特色：本专业借鉴国内外知名高校的办学经验，以培养具有国际化视野的高素质创新型人才为培养目标，以人才培养模式改革为中心，以学生继续深造和及时就业为导向，以专业课程体系优化和教学模式改革为重点，制定了一个目标明确、特色突出、符合社会需求和经济发展需要的数学人才培养方案，重点突出数学素养和创新能力的培养。</br></br></br></br>● 专业小贴士：</br></br>1、本专业的学习研究对象是什么？</br></br>本专业学习研究对象是：分析学、代数学、几何学及其应用的基本理论和基本方法以及一些常用的计算机知识和数学软件的使用。</br></br></br></br>2.核心课程有哪些？专业研究方向有哪些？</br></br>核心课程有：数学分析、高等代数、解析几何、概率论、数理统计、常微分方程、Python程序设计、偏微分方程、实变函数、复变函数、泛函分析、近世代数、微分几何、拓扑学、数学建模、数学规划、回归分析、可靠性数学、运筹学、时间序列分析、数值分析、多元统计分析、随机过程、数据结构与数据库原理等。</br></br>专业研究方向有：分析，代数，几何，方程，拓扑，数论，概率论与数理统计等。</br></br></br></br>3、本专业有哪些精彩的学科竞赛或国际化交流项目？</br></br>本专业目前开展或参加的学科竞赛主要有：密码挑战赛，校级、省级和国家级数学竞赛以及校级、省级、国家级数学建模竞赛和美国数学建模竞赛。</br></br>本专业的国际化交流项目有：</br></br>南昌大学与很多发达国家的著名高校建立了全方位、多层次和形式多样的合作办学关系，本专业学生在校学习期间可参加学校组织的交流生选拔活动，通过选拔获得赴国外著名高校交流学习的机会。</br></br></br></br>4、现实中有哪些问题需要通过本专业的人才来解决？</br></br>本专业培养的人才服务面广，可继续从事数学研究，创新和发展数学理论基础，也可服务于航天工程，生物技术，电子信息、经济、金融、证券等行业，为这些行业的发展提供数学理论和数学方法支撑。</br></br></br></br>5、专业发展趋势如何？</br></br>在国家重视基础科学发展以及重点建设“一流”专业之际，本专业作为第一批国家级一流专业建设点迎来了一个千载难逢的发展机遇，发展前景广阔，发展趋势很好。
108_5006,108,5006,水产养殖学,四年,农学学士,本科(普通),农学,水产类,1、历史渊源</br></br>水产养殖学专业是南昌大学生命学科中的优势特色学科，是生命科学与农学的交叉学科方向，也是生命科学基础研究在水产学的具体应用和体现。本专业创立于1973年，是江西省高校最早创立的水产类本科专业，也是南昌大学最早的专业之一，由邓宗觉教授等老一辈科学家创办至今，在学校三代人的努力下已形成较为独特的专业优势，不仅在江西省处于领先水平，在全国也处于前列，在全国近百所高校水产学科中排名大约13-14名，为全国特别在江西的相关行输送了大批优秀人才，为水产业发展做出了重要贡献。本专业2013年获批江西省特色专业并入选江西省卓越农林人才培养计划，2014年入选首批国家卓越农林人才培养计划，2016年江西省本科专业评估排名第一，2019年入选江西省一流建设专业；具有江西省目前唯一的水产科学类省级重点实验室。</br></br></br></br>2、师资队伍</br></br>现有教授4人，其中二级教授2人；副教授5人，讲师7人，博士导师3人，硕士导师7人，教育部高等学校生物科学类和水产类专业教学指导委员会委员2人，省百千万人才2人，赣鄱“555”领军人才2人，省级教学名师1人，高校中青年学科带头人3人，省优秀中青年骨干教师1人等，具有博士和硕士学位以上的占95%以上，67%以上为45周岁以下，学术结构合理，师资力量雄厚。</br></br></br></br>3、教学科研与学科建设平台</br></br>南昌大学水产养殖学专业具有较为完善的实践教学资源，有8个专业实验室，2500多万实验仪器和设备。其中用于本科专业实验教学面积有2000 ㎡，用于学生毕业设计（论文）和科研实验室有3000 ㎡，在南昌大学生物园建有水产养殖试验专用基地。具有校内国家级南昌大学生物学实验教学中心和江西省水产动物资源与利用重点实验室教学科研平台外，还与省里外20余家水产养殖企业建立卓越水产本科和研究生联合培养基地，其中有4家被江西省教育厅、江西省科技厅、江西省人保厅、江西省信工委等省直单位联合授予“研究生联合培养基地”称号。聘请了一批校外指导老师，涵盖了本专业培养的所有技术领域。</br></br></br></br>4、培养方式与特色</br></br>南昌大学水产养殖卓越班实行“小班化”和“双导师制”，进行模块化教学，强化实践教学环节，设立“科研能力提升计划”，鼓励学生开展自主调研和国内外学生交流的人才培养模式。本专业特色在于围绕鄱阳湖流域水生生物资源和产业经济发展，在大生命科学类教育背景进行水产养殖学专业人才培养，实现生命科学和水产学深度交叉融合，打造宽口径、通识人才培养模式，建立“四结合两应用一融合”育人机制：学科建设与专业建设相结合、科研与教学相结合、研究生与本科生培养相结合、校内教师和企业导师相结合；将南昌大学“双一流”学科建设和科研相关资源充分应用于本专业人才培养，将科研项目和成果应用于教学实践，产教深度融合。
108_5016,108,5016,生物科学,四年,理学学士,本科(普通),理学,生物科学类,1、历史渊源</br></br>南昌大学生物科学专业有着近八十年的办学历史，源于1940年成立国立中正大学生物系，创办于抗日烽火之中，2007年成为江西省特色专业，2009年获批国家级特色专业，2013年获江西省普通本科高等学校专业综合改革试点项目，2019年获批国家一流专业。</br></br></br></br>2、师资队伍</br></br>本专业师资力量雄厚，现有专任教师20人，其中教授5人，副教授7人；教师队伍中，973首席科学家1人，入选“赣鄱英才555工程人选”1人，生物学国家教指委委员1人，江西省主要学科学术带头人2人，江西省高校学科带头人3人；专任教师具有博士学位比例为90%，生师比约为12:1。</br></br></br></br>3、教学科研与学科建设平台</br></br>近5年教师承担的各类科研59项，其中国家自然基金重点项目1项，“十二五”农业科技支撑项目 1 项，国家农业科技成果转化项目 1项，国家自然科学基金 20 项，省部级科技项目 43 项，纵向总经费 1300 万元；发表论文 230 余篇，其中 SCI 收录论文 100 余篇。获得江西省科技进步一等奖1项，二等奖2项。高水平的科学研究带动了高水平的本科教学，促进了学生创新实践活动的开展。</br></br></br></br>4、培养方式与特色</br></br>本专业实施全员导师制，突出“导学”作用。全体专业教师都担任本科生导师，覆盖到全体本科生，每个导师负责指导一个小组（不同年级不同专业的8-10名学生组成），导师对学生的指导贯穿于大学四年学习全过程。不仅指导学生的学习，还指导学生的生活，进行德育，在师生之间建立了一种“导学”关系，针对学生的个性差异，因材施教，指导学生申报创新项目，开展创新训练，培育学生的创新人格。
108_4999,108,4999,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,1.历史渊源</br></br>南昌大学化学工程与工艺专业源于1958年江西工学院化学工程系，历经时代变革与学科的多次改革发展，由最初的无机化工、有机化工和硅酸盐三个专业，逐渐扩大发展出了化学工程、精细化工、食品工程、环境工程和制药工程五个专业。1998年化学工程和精细化工两个专业合并为现在的化学工程与工艺专业。</br></br>南昌大学化学工程与工艺专业是国家级一流本科专业，江西省特色专业和江西省品牌专业，是江西省和南昌大学“双一流”建设专业，专业已通过国家工程教育专业认证（华盛顿协议），学历获国际承认。化学工程与技术学科是江西省高水平重点学科，江西省高校“十二五”重点建设学科，在第四次全国高校学科评估中排名全国45位（B-）。拥有“工业催化”二级学科博士学位授权点、“化学工程与技术”博士后科研流动站、“化学工程与技术”一级学科硕士学位授权点（江西省高校“十二五”示范性硕士点）、“化学工程”、“化工工艺”、“生物化工”三个二级学科学术硕士学位授权点、“材料与化工”工程硕士学位授权点，已成为江西省化工领域的高层次人才培养基地。</br></br></br></br>2.师资队伍</br></br>具有一支年龄、学历、职称、学科结构合理、教学经验丰富的国际化师资队伍。专业现有在职专任教师22人，其中正高职称11人；副高职称6人。博士研究生导师4人，硕士研究生导师16人；具有博士学位的15人。包括国家专业教指委委员一人，江西省学科学术和技术带头人2人，江西省青年千人计划2人。</br></br></br></br>3.教学科研与学科建设平台</br></br>专业拥有“化工热力学”省级精品课程、“过程工程原理（化工原理）”省级精品资源共享课程和“化工过程反应技术”省级研究生优质课程”，省级精品视频共享课“化工工艺过程”已在中国大学MOOC上线。专业主编“十三五”普通高等教育本科国家级规划教材《化工原理实验》1部，主编全国高等院校化工类专业规划教材《化工计算》1部，主编出版《化工热力学》1部；参编“十一五”、“十二五”普通高等教育本科国家级规划教材《化工设计》第一版到第四版。近年已承担五项江西省教改课题，已完成三项，并已将成果用于本科教学中。</br></br>专业设有“化学工程与技术”博士后科研流动站、“江西省药食同源植物资源高值化利用重点实验室”、“化工原理省级实验教学示范中心”和“南昌市化学工程与技术重点实验室”。化学工程与工艺专业专用实验室使用面积约2181平方米，在册的固定资产2340万元。专业在稀土资源开发利用、有机硅深加工、锂资源开发利用、新能源材料、精细化工、生物制药、环保等方面与省内多家企业建立了紧密的产学研合作关系、与国外多所大学建立了广泛的国际合作与交流关系，具有一定的国际学术影响和地位。近10年，承担完成国家级科研项目20多项、省部级科研项目50多项、企业委托科研项目500多项，总经费3000多万元，授予博士学位20多人、硕士学位300多人，发表SCI论文200多篇，获发明专利30余项，获得国家级、省部级科技奖励10多项。专业将进一步为江西省甚至全国相关产业和企业的创新、升级和发展提供技术、人才和平台支撑。</br></br></br></br>4.培养方式与特色</br></br>（1）工程优势明显：依托已建立的完备的学位（本科-硕士-博士）教育体系、平台优势和拥有政府部门颁发的化工工程设计资质和清洁生产审核资质，突出学生工程实践能力培养；使学生能够综合运用专业知识分析和解决复杂化学工程问题。</br></br>（2）国际化背景好：专业已通过国家工程教育专业认证（华盛顿协议），学历获国际承认。本专业教师中有美国籍和加拿大籍教授各一位。并成立了美国化学工程师协会南昌大学学生会，并选派学生到新加坡淡马锡理工学院开展学习交流，拓展了学生的视野，提高国际化人才培养水平。</br></br>（3）注重学生创新能力和自主学习能力的培养：专业始终贯彻“以学生为中心，以学生的学习成果为导向”的指导方针，积极支持和鼓励学生参加各类专业学科创新与竞赛，专业教学也有针对性地开展教学改革和创新，使学生学到的知识能在实践中融会贯通，同时也使学生明白自己的短板，使学习更有主动性和方向性。近三年，专业学生已获全国大学生化工实验竞赛国家级一等奖2次，二等奖1次；获全国大学生化工设计竞赛国家级二等奖2次，获全国大学生互联网+化学反应工程课件竞赛国家级三等奖1次。考研成功率约为35%，大部分同学被985高校录取。、
108_5056,108,5056,过程装备与控制工程,四年,工学学士,本科(普通),工学,机械类,1、历史渊源</br></br>南昌大学过程装备与控制工程专业源于1975年创建的原江西工学院化学工程系化工机械与设备专业，南昌大学是江西省设立该专业的唯一本科高校。1998年获得化工过程机械硕士授予权，是江西省“十五”、“十一五”重点学科。2010年获得教育部首批“卓越工程师教育培养计划”试点建设专业、2012年获得江西省“卓越工程师教育培养计划”试点建设专业、2019年申请国际工程教育认证并已通过专家认证。</br></br></br></br>2、师资队伍</br></br>本专业专任教师队伍数量与结构合理，能够满足专业教学需求。目前，本专业有一支年龄、专业及学历血缘结构基本合理的教师队伍，具有高级职称的教师8人，博士研究生导师3人，硕士研究生导师6人。还聘请工程实践经历丰富的企业专家为兼职教师，为学生授课或做教学指导。专业师资力量雄厚，多人具有海外留学经历，拥有教育部高等学校机械学科教学指导委员会过程装备与控制工程专业教学指导分委员会委员、安全学科与工程类专业教学指导委员会委员、江西省教学名师和金牌教授、江西省杰出青年科学基金获得者，江西省青年科学家，江西省高校中青年学科带头人等杰出教师。</br></br></br></br>3、教学科研与学科建设平台</br></br>承担包括国家级和省级重点科技攻关项目等共50余项，发表相关高水平学术论文100余篇，荣获两项江西省科技成果奖。本专业教师主持承担和完成省级教学改革与质量工程项目十多项，荣获两项江西省教学成果奖、拥有国家级MOOC课、江西省精品课程和江西省精品资源共享课程；发表相关教学改革论文十余篇和教材多部。拥有动力工程与工程热物理一级学科授权点（化工过程机械和流体机械与工程二级学科授权点）、能源动力工程专业硕士学位授权点，形成了本科和硕士研究生多层次的人才培养体系，作为江西省重点学科，它成为江西省该专业领域高层次人才的培养基地。</br></br></br></br>4、培养方式与特色</br></br>本专业是横跨机械工程、控制工程、化学工程、动力工程及工程热物理等学科的交叉学科，培养具备扎实宽厚的过程装备、过程工艺和过程控制的理论基础，以及突出工程实践能力的高级工程技术人才和卓越工程技术人才。本专业毕业生适应在过程设备、流体机械、控制仪表、化工、炼油、能源、环保、制药、食品、轻工、安全工程及政府质量技术监督与安全监察等部门从事过程装备与控制工程的研究开发、生产运行、经营管理和监督检验等工作。专业围绕江西省过程装备制造产业的特色，强化学生创新和实践能力的培养，已成为培养过程装备与控制工程高层次人才的基地。专业紧跟产业人才需求，加强“双师”型师资队伍建设，强化与企业的产学研合作，培养学生的创新和实践能力。专业培养的学生受产业的高度认可，为产业的快速发展提供了有力的人才保障，很多学生已成为这些企业的技术骨干和领导。</br></br>、
108_5054,108,5054,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,1、历史渊源</br></br>能源与动力工程专业源于我校1978年设立的“内燃机”和1993年设立的“制冷与空调技术”两个本科专业。1998年合并为“热能与动力工程”专业，2013年根据新专业目录调整为“能源与动力工程”专业。2010年被省教育厅评为江西省高校特色专业，2010-2011年先后被教育部、江西省列为“卓越工程师培养计划”试点专业，2017年江西省专业综合评价排名专业第一。</br></br></br></br>2、师资队伍</br></br>本专业有专职教师17人，其中教授4人，副教授5人；博导1人，硕导7人；具有博士学位教师12人； 江西省“百千万人才”1人，省级骨干教师2人。</br></br></br></br>3、教学科研与学科建设平台</br></br>专业对应动力工程及工程热物理学科，1989年开始招收工程热物理专业硕士研究生，2006年获动力工程及工程热物理一级学科硕士授予权，学科研究集中在工程热物理、动力机械与工程、热能动力工程三个方向。专业相关平台有：南昌大学-江铃汽车国家级工程实践教育中心，江西省汽车产教融合重点创新中心、江西省新能源汽车产业创新战略联盟、江西省汽车电子工程技术研究中心。</br></br></br></br>4、培养方式与特色</br></br>专业学制4年，要求修满169学分。专业本着夯实基础、突出特色，使学生既能够全面掌握本专业的基础知识与技能，又能形成一定的专业方向特色与专长。专业在工程热物理和机械工程学科基础上，设置有三个专业方向：以内燃机及其驱动系统为主的动力机械方向（汽车发动机）；以制冷空调及建筑环境系统设备为主的制冷空调方向；以热力发电厂系统设备为主的热能工程方向。</br></br>在“卓越工程师计划”的引导下与江铃汽车、吉利汽车以及空调企业合作开设实验班，形成特色鲜明校企合作模式；制冷空调等学科竞赛和本科生的创新创业科研活动培养模式，有效地提升专业学生的实践能力。
108_5052,108,5052,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,1、 历史渊源</br></br>本专业起源于1958年江西工学院机械制造工艺及设备专业，2002年评为江西省品牌专业，2008年入选江西省特色专业，2010年入选教育部首批卓越工程师教育培养计划试点，2016年江西省本科专业综合评价机械类大类排名第一，2018年受理国际工程教育专业认证，2019年为江西省一流本科优势专业，2019年获国家级一流本科专业建设点。所属机械工程学科，1990年获机械制造及其自动化硕士学位授权点，2003年获机械电子工程博士学位授权点，2006年获机械设计及理论博士学位授权点，2007年获机械工程博士后流动工作站，2010年获机械工程一级学科博士学位授权点；机械电子工程、机械设计及理论学科在“十一五”期间被评为江西省重点学科，机械工程学科在“十二五”期间被评为江西省高水平重点学科。</br></br></br></br>2、 师资队伍</br></br>本专业现有专任教师 58 人，其中教授 16 人、副教授 22 人，具有博士学位 75%，海外留学经历 60%，工程实践经历 80%；获全国优秀教师、全国优秀骨干教师、江西省教学名师、江西省模范教师等国家、省部级教育教学人才 22 人次。</br></br></br></br>3、 教学科研与学科建设平台</br></br>本专业为国家级一流本科专业建设点，教育部首批实施卓越工程师教育培养计划试点专业。先后被评为省品牌专业、省特色专业、省一流本科专业，江西省本科专业综合评价机械大类专业中排名第一。本专业隶属于机电工程学院机械工程系，所属机械工程学科拥有一级学科硕士/博士学位授权点、博士后科研流动站，以及江西省制造业信息化工程技术研究中心、江西省机器人与焊接自动化重点实验室、江西省高等学校现代机械设计工程技术研究中心等省级科研平台，作为工程学科之一进入全球ESI排名前1%，全国第四轮学科评估机械工程B-，入选“新材料技术”世界一流学科群；获国家技术发明二等奖、国家科技进步二等奖各 1 项。</br></br></br></br>4、 培养方式与特色</br></br>本专业面向国家实施“中国制造 2025”战略，依托机械工程学科，立足江西、面向全国、对接国际，围绕国家和区域经济、江西制造业发展需要，目标建设区域特色鲜明、国内一流、国际知名专业。</br></br>本专业培养德智体美劳全面发展并具有强烈的职业道德和社会责任感，扎实的基础理论、机械工程专业知识和工程实践能力，国际化视野和良好的团队合作能力与沟通能力，较强的创新意识和终身学习能力，能够适应机械工程及相关领域从事科学研究、设计制造、技术开发、运行管理、技术服务等工作的高素质专门人才，成为机械工程及相关领域的技术骨干或管理人员。</br></br>本专业以培养学生创新能力、工程实践能力为主，形成了特色鲜明的“实习实训提高实践能力，教协同激发创新思维，学科竞赛增强创新能力，产教融合提升工程能力”多层次、立体式创新型人才培养体系，学生参加学科竞赛比例达 50%以上。</br></br>
