special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
102_4472,102,4472,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,<p>培养系统掌握现代经济学基本原理，国际经济贸易基本理论，国际市场营销等管理学基本知识，了解当代世界经济发展现状，熟悉国际贸易通行规则与惯例及我国对外经贸政策法规，具备突出的商务外语与计算机应用技能，适应国际市场竞争需要的高素质复合型人才。</p><p></p><p>主要课程：经济学原理、国际经济学、微观经济学、宏观经济学、计量经济学、政治经济学、国际贸易、中国对外贸易概论、国际金融、国际贸易实务、国际经济合作、国际商务、国际投资、国际结算、经济数学、统计学原理、财政学、金融学、世界经济概论、服务贸易学、外贸函电、外贸口语洽谈、转轨经济专题、公司治理、英语、商务英语选读、计算机等。</p><p></p><p>就业方向：政府涉外经济管理部门、外经贸企业（含三资企业）、金融机构、海关、商务咨询机构、科研和高教部门等。</p>
102_4546,102,4546,广告学,四年,文学学士,本科(普通),文学,新闻传播学类,<p>广告学专业培养目标：秉承“理论与实务并重”的基本信念，紧跟全球化发展的时代特点，通过与国际一流大学齐步的理论课程，和与企业紧密联系、与国际国内重大赛事接轨的实践教学，培养具备高素质，熟悉和掌握广告策划、品牌规划、媒体计划、公共关系、广告管理、市场调研、电子商务、广告创意、广告设计、活动营销等综合能力，并能适合新媒体传播环境的高级AE人才及适合社会发展的智慧型人才。</p><p></p><p>广告学专业核心课程涵盖：1）社会人文基础类课程如心理学、艺术美学等；2）新闻传播基础类课程如大众传播理论、中外传播史、传播学研究方法、影视制作等；3）广告学专业课程如：广告学概论、市场营销学、公共关系学概论、广告心理学、品牌学、广告史、广告策划、媒体计划、市场调查、媒体经营与管理、顾客关系管理、广告英语、广告文案写作、广告创意与表现、视觉艺术基础、广告视觉设计、视听广告制作、广告摄影、活动营销、电子商务、数字营销、新媒体艺术概论、广告综合知识等。</p>
102_4478,102,4478,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>以培养会计通用人才为目标，培养能在在金融证券业、政府管理部门、公司和企业从事会计、财务分析等工作，在高校和科研机构从事教学、科研工作的德才兼备的高级专门人才。</p><p></p><p>主要课程：外语、高等数学、管理学、微观经济学、宏观经济学、管理信息系统、统计学、市场营销、会计学原理、成本会计、中级财务会计、高级财务会计、财务管理、管理会计、审计学、会计信息系统、西方财务会计、企业理财等。</p><p></p><p>注册会计师专门化 经全国注册会计师培养工作领导小组批准设立，以培养注册会计师为目标，培养能在会计事务所从事审计、咨询业务，在金融证券业、政府管理部门、公司和企业从事财会工作，在高校和科研机构从事注册会计师专门化教学、科研工作的德才兼备的高级专门人才。</p><p></p><p>主要课程：外语、高等数学、管理学、微观经济学、宏观经济学、管理信息系统、统计学、市场营销、会计学原理、成本会计、中级财务会计、高级财务会计、财务管理、管理会计、审计学、会计信息系统、西方财务会计、企业理财等。</p><p></p><p>国际会计 以培养国际通用会计师人才为目标，必修课按特英国许公认会计师公会（ ACCA ）等国际会计组织的考试框架设计，采用全英文教材，并强化有关业务课程。该方向培养能在涉外企事业单位从事审计、咨询业务，在金融证券业、政府管理部门、公司和企业从事财会工作，在高校和科研机构从事会计教学、科研工作的德才兼备的高级专门人才。</p><p></p><p>主要课程：外语、高等数学、管理学、微观经济学、宏观经济学、管理信息系统、统计学、会计学原理、财务报告、成本会计、财务管理、财务报告、审计、税法、管理信息系统、高级审计、业绩管理、公司报告、高级财务报告、高级财务管理、企业分析等。</p><p></p><p>CIMA 以培养国际通用的管理会计师为目标，必修课按照英国皇家特许管理会计师公会（CIMA）的考试框架设计，采用原版教材，配以专业的师资团队，同时借鉴哈佛商学院、沃顿商学院、芝加哥大学管理学院等美国顶级商学院的课程设置，设计出充分与国际接轨的专业课程体系，形成全新的双语教学班。该方向培养具有国际视野，既掌握核心财务会计技能、同时兼具商业头脑、人际能力与领导力的优秀专业人才。</p><p></p><p>主要课程：外语、高等数学、管理学、微观经济学、宏观经济学、管理信息系统、统计学、会计学原理、中级管理会计、高级管理会计、CIMA案例、中级财务报告、高级财务报告、风险管理、运营管理、战略管理、财务战略、财务报表分析、会计信息系统等。</p><p></p><p>我系与国外各所知名大学拥有合作关系，以上各专业方向学生在学期间如表现优异，均有可能获得赴境外大学交换学习或海外实习的机会。</p><p></p><p>根据国家有关部门对未来10年人才需求预测表明：会计人才是最为紧俏的几类人才之一。厦门大学会计系热烈欢迎有志于会计事业的青年报考。</p>
102_4518,102,4518,化学,四年,理学学士,本科(普通),理学,化学类,<p>化学专业培养具有坚实的化学基础、实验技能和其它学科知识，创新意识强、综合素质高，能在化学、材料、化工、生命、医药、环保、能源等领域从事科研、教学、科技开发及管理工作的高素质人才。该专业分两个层次：“面向前沿，培养研究型人才”；“面向社会，培养复合型人才”。“研究型人才”培养模式强调高起点，化学基础知识深、宽、厚，并特别注重科研训练和创新意识的培养，为今后硕士和博士生的学习奠定基础。2013级开始在“研究型人才”培养模式下新增“化学专业能源化学方向”，该方向旨在培养具备深厚的化学及与能源化学相关的交叉学科知识的创新型人才。“复合型人才方向”强调宽口径、应用性、交叉性，学生在完成基本的化学理论课与实验课的基础上，可选择其它专业的基础课程，如计算机、经济、管理、法律等，培养适合我国科技与经济发展的多样化的人才。</p><p></p><p>化学专业设置的主要课程是：高等数学、普通物理、无机化学、分析化学、有机化学、物理化学、结构化学、仪器分析、高分子化学、生物化学、谱学基础、基础化学实验、综合化学实验、计算机技术基础、化工基础及实验，并设置环境化学、材料化学等多门与化学领域相关的选修课程，以及其它学科领域的选修课程。</p><p></p><p>厦门大学化学系具有教学科研密切结合、互相促进的办学传统，是一个培养高层次国际性化学人才的摇篮，热烈欢迎有志于化学事业的青年报考。</p>
102_4474,102,4474,统计学,四年,理学学士,本科(普通),理学,统计学类,"<p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">培</span><span style=""font-family: 宋体;line-height: 150%;font-size: 16px""><span style=""font-family:宋体"">养目标：本专业培养具备系统的统计学理论知识和应用知识，掌握统计学的主要方法，具</span> <span style=""font-family:宋体"">有处理特定行业数据问题的能力，能在经济、管理、生物、医药、金融、保险、工业、农业、林业、商</span> <span style=""font-family:宋体"">业、信息技术、教育、卫生、医药、气象、水利、环境和减灾等相关领域中从事数据搜集、分析与决策</span> <span style=""font-family:宋体"">的创新型人才。</span></span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">培养要求：本专业学生主要学习并掌握统计学专业的基本理论，基本知识和基本技能。</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">毕业生应获得以下几方面的知识和能力：</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">1．具有良好的政治、思想、文化、道德、身体和心理素质；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">2．掌握统计学的基础知识、基本理论和系统的统计思想；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">3．掌握搜集数据的科学方法，能够根据数据的特点选用恰当的统计方法进行分析、推断和 预测；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">4．掌握中外文资料查询和文献检索的现代信息技术，初步具备获取所关心问题的解决方案 及对这些方案评断的能力；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">5．初步具备应用统计学知识解决行业领域（如经济、金融、保险、管理、市场调查、生物、医 药、工业、农业、林业、商业、信息技术、教育、卫生、气象、水利、环境和减灾等方面）中问题的能力 与应用创新意识；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">6．了解统计学理论与方法的发展动态，具有统计学创新意识和初步的科学研究能力；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">7．具有进一步职业发展能力；</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">8．具有较强的交流沟通、环境适应和团队合作的能力。</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">主干学科：统计学、数学。</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px""><span style=""font-family:宋体"">核心知识领域：统计学基本思想、数学理论、概率论、统计调查、参数估计与假设检验、非参数</span> <span style=""font-family:宋体"">方法、回归分析、多元统计方法、随机过程、时间序列分析、试验设计和统计软件。</span></span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">核心课程示例：</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px""><span style=""font-family:宋体"">示例一：统计学导论（授课</span><span style=""font-family:宋体"">48学时，上机实践32学时）、数学分析（288学时）、代数学基础 （224学时）、解析几何（64学时）、常微分方程（64学时）、概率论（64学时）、应用随机过程（64学 时）、复变函数（64学时）、实变函数（64学时）、统计学基础（授课48学时，上机实践32学时）、概 率测度I（64学时）、多元统计分析（授课48学时，上机实践32学时）、时间序列分析（48学时）、 试验设计（48学时）。</span></span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px""><span style=""font-family:宋体"">示例二：数学分析（</span><span style=""font-family:宋体"">300学时）、高等代数（200学时）、解析几何（60学时）、近世代数（80学 时）、常微分方程（60学时）、概率论基础（60学时）、复变函数（60学时）、实变函数（80学时）、统 计学（60学时）、测度论（60学时）、随机过程（60学时）、实用回归分析（60学时）、应用多元统计 分析（60学时）、应用时间序列分析（60学时）、统计软件选讲（60学时）。</span></span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">主要实践性教学环节：上机操作训练、社会调查、统计实习、科研训练和毕业论文等。</span></p><p style=""line-height:150%""><span style=""font-family: 宋体;line-height: 150%;font-size: 16px"">修业年限：四年。</span></p><p><span style=""font-family: 宋体;font-size: 16px"">授予学位：理学学士。</span></p><p><br/></p>"
102_4456,102,4456,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,<p>开设的主要课程有：数学分析、高等代数、解析几何、常微分方程、实变函数、泛函分析、概率论、数理统计、离散数学、计算机基础、 C 语言程序设计、复变函数、偏微分方程、抽象代数、微分几何、拓扑学、精算数学、金融数学、运筹学、数学模型、西方经济学、随机过程、计算机软件技术以及其它选修课程。通过四年的系统学习，学生能受到科学研究的初步训练，能应用数学理论、计算机技术解决科学、工程和经济管理中的实际问题，能具有良好的科学素养。</p>
102_4523,102,4523,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,<p>材料科学与工程系本科下设材料科学与工程专业</p><p></p><p>培养目标：本专业培养具备材料科学与工程基础理论知识，能在各种材料的制备及加工、材料结构与性能等领域从事科研、技术开发及经营管理等方面的高素质人才。</p><p></p><p>课程设置：学制四年，实行学分制和导师制，每个学生均有导师指导。学生将在金属及无机非金属材料或高分子及生物材料两个方向中选修一个方向的专业课程，主要课程分别为材料力学、材料科学基础等金属及无机非金属材料领域相关的专业课程和有机化学、高分子化学、高分子物理等高分子领域相关的专业课程。</p><p></p><p>实施教育部卓越工程师计划，并开设“卓越工程师班”和“拔尖班”，对学生实行个性化教学。</p><p></p><p>每学年第二学期在材料科学与工程专业大一学生中公开选拔学业和综合素质情况优秀、具有工程实践潜力、有志于从事各类材料的开发与设计、技术改造与创新以及相关产品的营销与管理的学生进入“工程师班”，人数约20%。将聘请有工程经验的教师作为入选计划的学生的导师，专门为入选学生开设大型仪器使用培训课程，培训合格的学生可获得实验教学中心颁发的证书，并可获得相应的学分；优秀的学生可受聘于实验教学中心，参与大型仪器的管理；鼓励并推荐入选学生参加校级及以上科技竞赛获奖、进入实验室参与科研与创新、参加企业实习与实践等；入选学生的社会实践及毕业设计要求在企业中完成，在评奖或工程硕士推免时予以优先考虑。</p><p></p><p>每学年第二学期在材料科学与工程专业大一学生中公开选拔热爱材料学、成绩优异、有志于从事材料科学研究的学生进入“拔尖班”，人数为20%。对英才班的学生单独开设高级英语辅导课、科研创新讨论、科研实验等课程。积极拓展与国外一流的大学教育和科研机构合作与交流，优先推荐入选学生参加各类国际交流项目或去国外一流的院校攻读研究生；资助英才班的学生参加一次国内学术会议，扩大科研视野；入选学生在评奖、硕士研究生推免或硕士研究生入学考试时予以优先考虑。</p><p></p><p>就业前景：主要面向能源和光电高新技术行业、大型石化企业、材料高新技术企业、机械冶金行业、政府部门科技管理机构等，毕业去向多以东南沿海、北京、上海和天津等发达城市为主，也可选择出国留学或者升学深造，还有学习成绩优秀者可参与推荐免试攻读研究生。近两年学生出国留学率约6%，研究生升学率达35%。</p>
102_4529,102,4529,法学,四年,法学学士,本科(普通),法学,法学类,<p>培养目标：本专业旨在培养具有扎实、系统的专业知识和理论功底，敏锐的专业思维能力和较高的专业实践能力，良好的人文素养和司法伦理修养以及相当程度竞争力的高素质专门人才。</p><p>主要课程：法理学、宪法学、民法总论、物权法、债权法、刑法学、行政法学、经济法学、商法学、民事诉讼法学、刑事诉讼法学、行政诉讼法学、国际公法、国际私法、国际经济法学、知识产权法、婚姻法、劳动和社会保障法、国际贸易法、国际投资法、国际税法、国际海事法、国际货币金融法、国际商事仲裁法、犯罪学、立法学、中国法律史、台湾法概论、香港法概论、司法文书学、律师制度与实务、海商法、保险法、税法、金融法、环境法等。</p><p>适合就业单位：本专业毕业生适合到国家各级立法、司法、行政机关、社会团体、企事业单位、涉外经贸企业、律师事务所等从事立法、司法、行政管理、诉讼和非诉讼代理以及企事业单位的法律顾问等法律实务工作。</p>
102_4550,102,4550,历史学,四年,历史学学士,本科(普通),历史学,历史学类,"<p>    培养目标：本专业培养具有历史学基本理论、专门知识和基本技能，能在国家机关、新闻出
版、文教事业及各类企业事业单位或领域从事研究、教学和管理等方面工作的历史学科复合型
人才。
</p><p>    培养要求：本专业学生主要学习历史学科的基本理论和基础知识，接受中国历史和世界历史
发展的基本史实及史学研究的基本训练，掌握从事专业工作和历史学教学研究的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握历史学科的基本理论和基础知识，对有关人文科学、社会科学与自然科学有一定的
了解；
</p><p>    2．掌握历史学的基本研究与分析方法；
</p><p>    3．具有从事历史研究的初步能力和较强的口头表达和文字表达能力；
</p><p>    4．熟悉古文字学、史料学、历史地理学等方面的基础知识及教育法规，能够初步运用教育
学、心理学基础理论与历史学基本理论；
</p><p>    5．了解国内外历史学研究与教学的理论前沿和发展动态；
</p><p>    6．掌握文献检索、资料查询的基本方法，具有一定的批判性思维能力。
</p><p>    主干学科：中国史、世界史。
</p><p>    核心课程：中国通史、世界通史、史学概论、中国历史要籍介绍及选读、外国历史要籍介绍及
选读、中国史学史、西方史学史等。
</p><p>    主要实践性教学环节：学年论文、毕业论文、专业考察、教学实习、读书报告、学术前沿讲座、
大学生科研立项等。
</p><p>    修业年限：四年。
</p><p>    授予学位：历史学学士。
</p>"
102_4526,102,4526,海洋科学,四年,理学学士,本科(普通),理学,海洋科学类,"<p>　培养具有良好科学素质，掌握海洋科学基本理论、基本知识和基本实践技能的高级人才。通过系统的学习和严格的科学训练，毕业生适宜在海洋科学基础研究、海洋资源调查与开发利用、海洋环境保护、海洋高新技术及海洋事务管理等领域里从事相关的科研、教学和管理工作。</p><p>海洋科学专业主要课程有：海洋科学导论、海洋生态学、海洋地质学、海洋生物学基础、高等数学 ( 含线性代数 , 概率与统计等 ) 、普通物理学、大学化学、海洋管理概论及海洋科学基础实验等。</p><p>专业（含方向）选修课程有：化学海洋学、电子线路、数理统计、仪器分析、海洋环境化学、海洋地球化学导论、物理化学、同位素海洋化学、海洋底栖无脊椎动物学、海洋浮游生物学、海洋微生物学、鱼类学、生物化学、动物生理学、海洋化学专门化实验、细胞生物学、海洋资源化学、分离提取化学、海洋环境生物学、海洋环境预报、物理海洋学、近岸海洋动力学、海洋港工水文学、海洋法基础、专业英语等。</p>"
