special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
63_2145,63,2145,信息管理与信息系统,四年,管理学学士,本科(普通),管理学,管理科学与工程类,信息管理与信息系统专业是国家级一流本科建设专业，国家级特色专业，拥有国家级教学团队和教学名师，拥有学士、硕士和博士学位授予权。</br>培养目标</br>该专业培养面向国家重大战略需求，面向经济社会主战场，面向世界科技发展前沿，拥有系统化管理思想和较高管理素质，掌握管理学、经济学和信息学基础理论，以及信息系统开发、大数据分析、信息资源管理等相关技术知识，具有一定的科研能力、实践能力以及创新创业能力，具备职业道德与国际视野，满足新一代信息技术环境下现代管理需要的高素质、复合型人才。</br>就业方向</br>在IT企业从事信息系统分析与开发、数据分析工作；在企事业单位、政府部门从事信息管理、数据分析工作；在高等学校或科研院所从事信息管理与信息系统相关专业的教学与科研工作。</br>学制四年，毕业授予工学学士学位。
63_2139,63,2139,车辆工程,四年,工学学士,本科(普通),工学,机械类,车辆工程专业</br>本专业创办于1958年，是我国大学中最早设置的汽车专业之一，是国家级特色专业、国家级首批一流本科专业。2018年通过教育部第二轮工程教育认证专业。</br>培养目标</br>本专业培养学生掌握以数理、力学知识为基础，综合机械、电子、计算机、控制等专业基础知识与汽车构造、理论、设计、实验等专业知识构建的车辆工程知识体系；具备在车辆工程领域各方向（汽车底盘方向、汽车车身方向、新能源汽车方向等）的宽厚理论基础、扎实专业知识、实验技能以及工程创新实践能力。</br>就业方向</br>毕业生可从事车辆工程相关的机械、控制、电子、互联网等产业，毕业生就业范围：1、在汽车整车及零部件、电子控制、交通运输等领域的企事业单位从事相关的研发、设计、制造、管理等工作；2、从事车辆相关产品质量控制与质量管理等领域的工作；3、科研院所、高等院校从事科研、教学工作。</br>学制四年，毕业授予工学学士学位。
63_2182,63,2182,资源勘查工程,四年,工学学士,本科(普通),工学,地质类,资源勘查工程专业</br>本专业是融地质学理论、现代勘查技术、资源经济与环境科学于一体，以工为主、理工结合。是国家“特色专业”、“卓越工程师教育培养计划”和“综合改革试点”专业，通过了国家工程教育专业认证，拥有国家级教学团队和国家级精品课程，2019年获批国家“一流本科”专业。本专业和地质学一级学科硕士点和博士点以及地质学博士后流动站构成了一套完整的人才培养体系。本专业具有一流的师资力量、实验平台和完善的实践实习基地。</br>培养目标</br>培养德才兼备、能力卓越，具备坚实的地质学和矿产勘查学的基础理论、基本知识和基本技能，能够运用现代技术、方法和手段，从事自然资源调查管理、评价和研究等工作，适应国家和社会可持续发展需要，能够解决复杂资源勘查工程问题和紧缺战略性矿产资源的保障，并具有创新精神和领导能力的科学研究、工程技术和行业管理的高级实用型领军专门人才。</br>就业方向</br>主要在国有自然资源及地调事业单位、大型设计院、石油和工程公司、科研院所、大专院校、以及相关政府主管部门等工作，也可出国深造。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>专业介于理科和工科之间，强调基础理论扎实、学科专业交融、生产实践紧密、在科技创新中培养人才的理念。学生基础扎实，工程实践能力和创新能力强，综合素质和成才声誉度高。
63_2195,63,2195,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,电气工程及其自动化专业</br>电气工程及其自动化专业为国家级特色专业，2012年通过全国工程教育专业认证。2019年度获批国家级一流本科专业建设点。</br>培养目标</br>培养具有人文社会科学素养、职业道德和社会责任感，具有创新意识、可持续发展理念和终身学习能力，具有国际化沟通与交流能力，掌握电气工程及其自动化专业基础理论、专门知识及基本技能，具有产品研发和科学研究能力，具有企事业单位的组织、管理能力，能够胜任行业快速发展需求的社会主义建设者和接班人。</br>就业方向</br>毕业生能够在电气装备制造业、电力工业、能源工业等行业和科研院所从事研究开发、工程设计、生产制造、系统运行、自动控制、信息处理、工程管理和教育科研等方面工作。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>本专业以强电为主，强电与弱电结合，电气与电子并重，软件与硬件兼备，理论研究与工程应用相融，形成“理论与实践、设计与综合、工程与创新”三结合的实践教学构架。在可再生能源分布式发电技术、新能源发电变流技术、特种电机设计及控制、高电压与绝缘等方向具有鲜明特色。
63_2183,63,2183,测控技术与仪器,四年,工学学士,本科(普通),工学,仪器类,测控技术与仪器</br>培养目标：本专业以信息获取与信息应用为中心，以数理知识为基础，培养学生掌握信息获取理论与方法、精密机械与仪器设计、测试信号处理技术、智能控制理论与方法等相关基础知识，掌握信息获取、传输、处理和应用的基本技术与方法，具有研究、设计、开发和应用测控系统的基本技能，可从事计量测试、精密仪器、电子信息、精密工程等领域的测控系统设计开发、科学研究、企业管理等工作。</br>就业方向：毕业生可从事测控技术与仪器相关的精密机械、测量与控制、光电信息、计算机应用等产业，毕业生就业范围：(1)在现代信息、制造等领域的企事业单位从事测量与控制相关的研究、开发、制造、应用、营销或管理工作；(2)从事产品质量控制与质量管理等领域的工作；(3)科研院所、高等院校从事科研、教学工作。
63_2184,63,2184,光电信息科学与工程,四年,工学学士,本科(普通),工学,电子信息类,光电信息科学与工程</br>培养目标：毕业生可从事本专业以光电信息的获取、处理、显示与应用为中心，培养学生掌握以数理知识为基础，综合光学、电子、通信、计算机、光学机械等专业基础知识与光电测试系统与仪器、光电信息处理等专业知识构建的光电信息科学与工程知识体系；具备在光电信息科学与工程领域各方向（光电信息方向、机器视觉方向、光电传感与测试方向、光电子器件方向）的宽厚理论基础、扎实专业知识、实验技能以及工程创新实践能力。</br>就业方向：毕业生可从事光电信息科学与工程相关的光电智能测试系统与工程、光电子技术、光电信息技术、计算机应用、通信等产业，毕业生就业范围：（1）光电信息产业相关的企事业单位(如通讯、平板显示、信息处理应用、计算机应用、精密智能制造与组装等领域)，从事光电信息技术与系统的研发、制造、应用、营销或管理工作；（2）光电产业基础理论研究与产业开发应用；（3）科研院所和高等院校从事光电信息学科以及交叉学科的研究工作。
63_2204,63,2204,生物医学工程,四年,工学学士,本科(普通),工学,生物医学工程类,生物医学工程</br>培养目标：本专业突出医疗仪器设计与技术应用能力的培养，构建以医学理论、电子技术、计算机工程为主干的知识体系，结合产学研相结合的工程教学模式，培养学生能够适应社会经济发展需求，具备扎实理论基础、宽厚专业知识以及娴熟实验能力，能够综合考虑工程与社会因素，进行医疗仪器及相关领域等方面的设计、开发与应用。</br>就业方向：医疗仪器设备的研发、工程设计、系统建设、应用和管理经营；电子工程和信息技术等相关领域；继续在相关领域深造。
63_2196,63,2196,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,机械设计制造及其自动化专业</br>机械设计制造及其自动化为我校创办最早的专业之一，人才培养依托于机械设计及理论国家级重点学科、机械工程安徽省A类重点学科。拥有2个国家级实验教学示范中心及1个国家级虚拟仿真实验教学示范中心，1个博士后流动站、3个博士点和5个硕士点；本专业于2009年被教育部批准为国家级特色专业，同年通过了国际工程教育专业认证，2015、2018年通过了续认证，为教育部首批“卓越工程师教育培养计划”专业、安徽省首批品牌专业。2019年度获批国家级一流本科专业建设点。</br>培养目标</br>本专业培养适应社会主义现代化建设需要、德智体美劳全面发展、基础扎实、知识面宽、能力强、素质高，适应国家和地方经济社会发展、适应国际竞争和经济结构调整需要的宽厚、复合、开放、创新特征的高水平、高素质的高级专门人才。</br>具有应用数学、自然科学和机械工程科学知识的能力；制订实验方案、进行实验、分析和解答、建立模型、分析求解和论证的能力；使用现有的技术、工具或新兴技术，设计机械系统、部件，发现、分析和解决工程实践活动中的问题。毕业后通过5年的锻炼，能成为机械工程及相关领域的技术或管理骨干。</br>就业方向</br>机械工程领域（包括真空装备）产品的设计、制造及控制；机械工程领域（包括真空装备）产品的科技开发、应用研究、运行管理等方面的工作；在高等学校或研究机构从事教学或科研工作。</br>学制四年，毕业授予工学学士学位。
63_2194,63,2194,工业工程,四年,管理学学士,本科(普通),管理学,工业工程类,工业工程专业</br>工业工程专业是国家级一流本科专业、安徽省一流本科建设专业，省级特色专业和省级综合改革试点专业，是安徽省工业工程分会理事长单位。本专业依托学校机械工程和管理科学与工程两个一级优势学科，经过20年建设和发展，形成了本、硕、博层次齐全的人才培养体系，建设有国家级和省级两个本科虚拟仿真实验教学中心，是国内和地区“智能制造系统与物联装备”和“工业4.0”等现代工业工程领域高级人才培养的重要基地。</br>培养目标</br>本专业培养兼具工程技术及现代管理技能，掌握对智能化生产和服务系统及过程进行规划、设计、改进与执行的专业知识和技术，致力于提高系统效率，改善运行质量，推动国民经济与社会发展进步，具有国际化视野与竞争力的复合型创新人才。</br>就业方向</br>学生毕业后，可在制造业和服务业从事生产系统和服务系统规划与设计等技术工作，从事质量、物流、人力资源、市场营销、金融服务等管理工作；可在国家行政管理部门、事业单位从事管理系统规划、设计、运行、评价、咨询等工作；可在高等学校或研究机构从事教学或科研工作等。</br>学制四年，毕业授予工学学士学位。
63_2193,63,2193,飞行器制造工程,四年,工学学士,本科(普通),工学,航空航天类,飞行器制造工程专业</br>本专业是安徽省省级特色专业，安徽省高校中唯一的航空航天类专业，集飞行器制造技术、智能制造技术、机电一体化技术和材料成型技术为一体的多学科融合专业，依托我校机械设计及理论（国家级重点学科）和航空结构件成形制造与装备安徽省重点实验室等学科平台办学，充分体现了学科交叉、宽口径培养模式。本专业为全国航空系统院校实习联合体单位，与省内外知名飞机制造企业签订了长期实习、实践协议，并建有无人机创客实验室和校航模队，可为学生在本专业领域的创新创业实习与实践提供优质平台。</br>培养目标</br>本专业培养学生具备飞行器制造基本理论知识，掌握飞行器制造相关技术，具有较强的工程实践能力，富有创新精神和团队精神；经过严格工程训练和能力培养，学生能够在飞行器制造工程领域从事工艺设计与产品制造、科研开发、应用研究以及相关管理工作，并具有一定创新能力的应用型高级工程技术人才和管理人才。</br>就业方向</br>学生毕业后，可从事航空航天、机械设计与制造、控制工程、车辆工程、民航管理与维修等相关领域的产品研发、应用技术、企业策划、运行管理和营销等工作，高等学校及研究机构从事教学及科学研究工作。</br>学制四年，毕业授予工学学士学位。
63_2192,63,2192,材料成型及控制工程,四年,工学学士,本科(普通),工学,机械类,材料成型及控制工程专业（合肥和宣城校区招生）</br>培养目标</br>培养适应社会、经济和科技发展需要，德智体美劳全面发展，具有良好的社会责任感、职业道德和综合素质，具备材料成型及控制工程专业的基础知识和专业知识，能在材料、机械、汽车、航空航天、冶金、能源、电子、通讯等行业，从事技术应用与管理、科学研究、教育等工作，适应科技与工业发展的具有创新精神、国际视野开阔的高级专门人才。</br>就业方向</br>毕业去向主要是材料、机械、汽车、航空航天、冶金、能源、电子、通讯等国民经济重要行业，在材料成形及加工领域从事产品与工艺设计、技术与设备开发、生产与经营管理等工作，也可在高等院校及科研院所从事相关专业的教学、科研及技术管理工作。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>立足于材料科学与工程与机械工程学科，以材料成形基本原理与工艺方法为核心，强调设计、实验、测试、计算、分析等能力的培养，形成多学科交叉融合以及宽口径复合型的专业人才培养体系。培养具有较强实践能力、创新精神和社会责任感的专业人才。</br>在学校的整体框架下，宣城校区材料成型及控制工程专业参加与白俄罗斯国立工业大学2+2人才联合培养项目，参加该项目的本科生第一学年和第二学年在合肥工业大学宣城校区学习，第三学年和第四学年在白俄罗斯国立工业大学学习，满足双方的毕业要求之后可获得两校的学士学位。
63_2190,63,2190,无机非金属材料工程,四年,工学学士,本科(普通),工学,材料类,无机非金属材料工程专业</br>培养目标</br>培养适应社会、经济、科技发展需要，德、智、体、美、劳全面发展，有强烈社会责任感、良好职业道德、综合素质、创新精神和开阔的国际视野，具备无机非金属工程专业知识与技能，能在新材料、机械汽车、航空航天、电力电子、新能源等行业从事技术与产品开发、工程设计与经营管理、科学研究等工作的高级专门人才。</br></br>就业方向</br>毕业去向主要是无机非金属材料领域，如结构-功能陶瓷、光电材料、新能源、电力电子、特种显示(照明)、半导体器件等的高新技术企业、科研院所、高等院校等，从事新材料研究、技术开发、生产管理等工作。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>构筑公共基础、学科专业、科学研究的三位一体教学模式，全方位强化创新创业意识，培养从事结构-功能陶瓷、光电材料、新能源、电力电子、特种显示(照明)、半导体器件等领域的高层次复合型人才。</br>学生专业基础扎实，创新意识与创新能力强，毕业生继续攻读硕、博士学位比例高。
63_2203,63,2203,材料物理,四年,工学学士,本科(普通),工学,材料类,材料物理专业</br>培养目标</br>本专业培养适应国家经济和社会发展需要，德、智、体、美、劳全面发展，具备深厚的数学和物理基础、扎实的材料科学与工程专业基础、以及广泛的人文知识，掌握材料制备、材料结构表征和材料性能测试等各个环节的基本实验技能，具有较强的开拓创新能力，能在电子、通讯、信息、电气、能源、汽车、航空航天等相关行业，特别是在新型功能材料（光、电、磁）及微电子、新能源等领域从事技术与产品开发、工艺设计、生产与经营管理、科学研究等工作的高级专门人才。</br>专业特色</br>本专业针对材料学科发展趋势，突出物理学与材料科学与工程的交叉融合。</br>面向新材料特别是新型功能材料与器件领域，培养具备深厚的物理基础和扎实的材料科学与工程专业知识、具有较强的综合实验能力和工程实践能力的复合型高级专业人才。</br>就业方向</br>毕业后能在新型功能材料（光、电、磁）、微电子、新能源等领域从事材料和产品的设计、研究和开发，或在科研单位和高等院校从事科研和教学工作。</br>学制四年，毕业授予工学学士学位。
63_2197,63,2197,自动化,四年,工学学士,本科(普通),工学,自动化类,自动化专业</br>本专业始于1958年开设的“工业企业电气化及自动化”专业，2008年被评为校级特色专业，2011年获批教育部“卓越工程师教育培养计划”试点专业。2019年度获批国家级一流本科专业建设点。</br>培养目标</br>适应社会科技与经济发展需要，面向装备制造业、流程工业、电气工程、国防等领域，培养具有良好的人文社会科学素养、社会责任感和职业道德，具有扎实的自动化基础理论、基本知识和专业技能；具有较强的创新意识和工程实践能力，能够从事有关运动控制、过程控制、自动化仪表和设备、智能监控系统等方面研究开发、设计应用、技术管理、运行维护的高级工程技术人才。</br>就业方向</br>毕业生能够在装备制造业、流程工业、电气工程、国防等领域从事有关运动控制、过程控制、机器人与智能系统等方面的研究开发、设计实现、运营维护、工程管理、教育培训等工作，也可进一步深造攻读控制科学与工程、电气工程等相关学科的硕士和博士学位。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>本专业弱电与强电相结合，软件与硬件相结合，系统集成与装置研发相结合，理论研究与工程应用相结合，在运动控制、过程控制、自动检测、智能监控系统等方面具有特色。本专业构建理论教学、综合实验、工程实践、系统设计与企业学习有机结合的立体化人才培养体系，培养“数理基础扎实，系统观点明确，控制技术先进，工程能力卓越”的工程技术人才。</br></br>
63_2202,63,2202,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,计算机科学与技术专业（合肥校区和宣城校区招生）</br>计算机科学与技术专业入选首批国家级一流本科专业建设。本专业是安徽省特色专业，入选教育部第二批卓越工程师教育培养计划，是目前国内各高校中少数通过国家工程教育专业认证的专业之一。</br>就业方向</br>毕业后可在科研院所、企事业单位和行政管理部门从事计算机方面的科学研究、计算机系统设计、技术开发与应用等工作，可以从事计算机软硬件开发、移动互联网软件开发、嵌入式系统开发、数据管理与分析、人工智能、项目管理、系统集成、网络设计与维护、IT管理与咨询顾问等工作，部分学生可以继续攻读计算机科学与技术学科及相关学科的硕士学位。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>面向国民经济和社会发展主战场，适应国家和地方对计算机科学与技术领域的人才需求，培养德、智、体、美、劳全面发展，知识结构合理，具有良好的人文素质、科学素养、设计开发能力、系统分析能力和创新意识的计算机工程高级专门人才。</br>经过几十年的建设与发展，已在人工智能、大数据、嵌入式系统、计算机软件与理论、数字媒体等方面具有较强的工程积累和学科优势，专业开设了四个特色方向：嵌入式系统方向、软件工程方向、数字媒体方向、大数据方向。</br>专业办学特色为“计算机科学基础厚、计算机工程能力强、学科支撑条件优、产学研用结合紧”。
63_2199,63,2199,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,电子信息工程专业</br>电子信息工程专业始于1958年建立的无线电技术专业，获批建设国家一流本科专业，是合肥工业大学的特色专业，安徽省综合改革试点专业，并入选教育部第三批卓越工程师教育培养计划，具有雄厚的师资力量和良好的教学、科研条件，办学特色鲜明。本专业分为信号检测与控制、多媒体信息处理、雷达与电子对抗等三个方向。</br>培养目标</br>本专业面向消费电子、通信传输、雷达与电子对抗、安防监控、智能制造等领域，培养“工程基础厚、工作作风实、创业能力强”，德、智、体、美、劳全面发展，胜任电子信息产品及系统的设计、开发和生产管理等工作，具有社会责任感、创新精神和国际视野，德才兼备、能力卓越、自觉服务国家的电子信息工程领军和骨干人才。</br>学生毕业五年后应达到如下职业能力目标：</br>LG1.能综合运用数学、自然科学和电子信息相关理论和技术，对电子信息领域复杂工程项目进行优化设计和创新开发，胜任电子信息产品和系统的方案设计工程师、硬件设计工程师、软件设计工程师、算法工程师或者项目经理等岗位工作，工作经验丰富。</br>LG2.具有社会责任感，积极服务国家与社会，坚守职业规范，坚持公众利益优先。</br>LG3.具有良好的人文素养和团队协作精神，善于沟通、交流、合作，能在团队中担任骨干或领导。</br>LG4.具有国际化视野、创新能力和终身学习能力，能积极学习、主动适应不断发展变化的国内外形势和环境。</br>就业方向</br>从事信号检测与控制、多媒体信息处理、雷达与电子对抗等电子信息相关领域的科研和教学工作；从事无线通信、视频监控、导航与定位、物联网、智能家电、智能制造以及国防电子等行业的电子信息产品的设计、开发以及生产、制造、管理等工作；可进一步深造攻读信息与通信工程等相关学科的硕士和博士学位。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>“厚基础、强能力、尚创新”。本专业在注重数理基础、专业基础和人文素质培养的基础上，加强电路分析设计能力、信号分析和处理能力、程序设计能力和电子信息系统软硬件综合设计能力的训练，培养创新型优秀人才。
63_2189,63,2189,通信工程,四年,工学学士,本科(普通),工学,电子信息类,"通信工程专业</br>通信工程专业是面向通信与信息行业、口径较宽、适应面较广的专业，主要培养从事移动通信、无线网络、微波与导航以及智能信息处理等领域的专门人才, 现代的5G无线通信、光纤通信、卫星通信、量子保密通信等都属于通信工程学科领域。随着互联网和移动通信广泛应用，通信工程已经发展成为一个有着广阔应用前景和社会需求的专业领域。</br>就业方向</br>本专业重视本科阶段科研实践能力和兴趣的培养，学生毕业后具有较强的就业适应能力，既可以从事通信网络、移动通信等本专业领域的科学研究、技术开发、教学及管理工作，也具备在电子信息，软硬件开发相关专业领域从事研发工作的能力。学生也可选择进一步深造攻读信息与通信工程等相关学科的硕士和博士学位。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>本专业以无线通信与网络、智能通信与信息处理、导航与雷达技术为主要的专业方向，在无线致密网络、毫米波通信、仿生偏振导航与北斗应用等领域具有较好的学科优势。</br>本专业培养方案通过三个阶段实践环节培养学生创新创业能力，学生在挑战杯、创青春和互联网+等大赛中获奖丰硕。"
63_2200,63,2200,信息安全,四年,工学学士,本科(普通),工学,计算机类,信息安全专业</br>当前，信息已成为整个社会的重要资源，信息产业正以前所未有的速度高速发展，网络空间已经成为海、陆、空、天之外的第五疆域，各国对网络与信息安全高度重视。本专业是由计算机、电子信息、通信等领域相互渗透而形成的一门新兴学科，具有广阔的就业前景和国家需求。</br>就业方向</br>通过本专业的学习和实践，毕业生可从事银行、通信、邮电等企事业单位和政府机关的网络与信息安全研发或管理工作，国安、公安、军事、国防等国家重要部门的网络与信息安全研发或管理工作，以及网络安全、数据安全、可信软件、大数据处理和分析、移动通信等方面公司企业的研发和管理等工作，也可在高等院校和科研部门从事相关的教学和研究工作。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>以学习信息安全理论与技术为主，兼学计算机、通信技术，加强数学基础，强调工程实践。通过本专业的学习要求学生在信息安全理论基础和实际动手能力两方面都得到培养提高。在宽口径、重基础的前提下适度培养信息安全特色方向综合能力。在应用密码学与内容安全、网络安全及工程、信息系统及软件安全等方向具有一定的专业特长。
63_2201,63,2201,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,化学工程与工艺专业</br>化学工程与工艺专业前身是创建于1958年的无机化工专业，1992年更名为化工工艺专业，1998年更名为化学工程与工艺专业。该专业现为国家级一流专业建设点、安徽省一流品牌专业、安徽省特色专业，于2011年、2018年两次通过国家工程教育专业认证，2013年获批国家级卓越工程师培养计划试点专业、安徽省专业综合改革试点专业，2014年获批省级校企合作实践教育基地，2020年获批国家一流本科专业建设点。该专业所在的学科为安徽省重点学科，作为合肥工业大学办学历史最悠久的专业之一，是学校教学科研力量雄厚、办学特色鲜明的重点发展专业。</br>培养目标</br>培养德才兼备，适应社会、经济、科技发展需要，掌握扎实的基础知识和化学工程与工艺专业知识，具备较强的工程实践能力，具有创新意识和国际化视野，具有较强的社会责任感、良好的职业道德，具备安全、环保意识和可持续发展的绿色化工理念，能在化学工业及其相关领域从事产品研制、技术开发、工程设计、生产管理、产品营销等工作的工程技术人才。培养的毕业生在未来5年后具有较强的团队合作能力，能够通过自我学习，具有较强的技术开发和组织管理能力，能够在化工及相关行业中从事生产管理、工艺优化、技术开发等工作，成为应用型高级专门人才。</br>就业方向</br>毕业生面向化工、环保、材料、能源、轻工、医药、冶金等工业部门及科研与设计院所，主要从事生产技术管理、科学研究、产品研制与开发、工程设计、品质控制、产品营销等方面的工作；或在高等院校从事化学工程与工艺专业及相近专业的教学、科研、管理等工作，就业面宽，适应能力强。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>■本专业以材料化学工程、材料学博士点、化学工程与技术一级学科硕士点及材料与化工专业学位硕士点为学科支撑，师资力量雄厚。</br>■构建并形成特色鲜明的“三层次、三结合”一体化实践教学体系，突出学生工程实践能力培养。</br>■开展各类科技创新实践活动，强化学生创新能力和创业意识培养。</br>■在能源材料化工、分离过程与技术、资源循环综合利用等研究方向上特色显著，采用产学研紧密结合的方式培养面向国家重大需求、服务地方区域经济建设的相关领域工程技术人才。
63_2175,63,2175,高分子材料与工程,四年,工学学士,本科(普通),工学,材料类,高分子材料与工程专业</br>高分子材料与工程专业前身是创建于1958年的有机合成工学专业、1959年改设的高分子工学专业，1977年更名为高分子化工专业，1985年更名为高分子材料专业，1998年更名为高分子材料与工程专业。该专业于2011年批准为国家级卓越工程师培养计划试点专业，2012年获批省级校企合作实践教育基地。该专业是合肥工业大学办学历史最悠久的专业之一，也是学校教学科研力量雄厚、办学特色鲜明的重点发展专业。毕业生或进入国内外著名高校和科研机构深造，或服务于国家机构与大中型企业。</br>培养目标</br>培养德才兼备，能适应社会、经济、科技发展需要，掌握扎实的基础知识和高分子材料与工程专业知识，具备较强的工程实践能力，具有创新意识和国际化视野，具有较强的社会责任感、良好的职业道德，能在高分子材料的合成、改性、成型加工、测试和应用等领域从事科学研究、技术和产品开发、工艺和设备设计、材料选用、生产等方面工作的工程技术人才。培养的毕业生在未来五年后具有较强的团队合作能力，能够通过自我学习，在高分子化工与材料等相关领域具有较强的职场竞争力，能够在社会大背景下理解和解决复杂的工程问题，成为应用型高级专门人才。</br>就业方向</br>毕业生面向国内外高校、研究机构、政府机关、企事业单位和大中型企业，或继续深造，或从事科学研究、技术开发、工程设计、生产管理与行政管理等方面工作，就业面宽，适应能力强。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>■本专业以材料学博士点、材料与化工、材料学、化学等硕士点为学科支撑，在功能高分子合成、高分子纳米材料的合成及应用、高分子高性能化与绿色化等高分子化工与材料研究方向上师资力量雄厚，成果斐然。每位本科生均有机会参与本系老师的科研及实践工作，参与发表高水平学术论文或申请/授权专利。</br>■构建并形成多层次实践教学体系，依托“国家级卓越工程师培养计划”，突出培养学生的工程实践能力。</br>■开展各类科技创新实践活动，强化创新能力和创业意识培养。本系教职员工积极支持鼓励本科生参加各项大学生创新创业活动。</br>■产学研紧密结合，科研反哺教学效果明显。
63_2173,63,2173,应用化学,四年,理学学士,本科(普通),理学,化学类,应用化学（工）专业（在合肥校区和宣城校区招生）</br>应用化学学科于1984年开始招收硕士研究生，是合肥工业大学最早的硕士点之一。在18年学科建设基础上，于2002年开始招收应用化学专业本科生。本学科为原机械部重点学科和安徽省重点学科，2014年获安徽省专业综合改革试点专业。本专业师资力量雄厚，专业教师博士学位获得率100%，高级职称比例为85.7%，其中教授比例为50.0%。历年来本专业毕业生攻读研究生的比例约为50%，大多进入985或“双一流”全国知名高校或中科院研究所继续深造。</br>培养目标</br>培养具有良好的科学知识、文化素养和高度的社会责任感，德才兼备、能力卓越，自觉服务国家的专业技术人才。掌握功能材料专业基础理论和专业知识与技能，能够从事新型功能材料及精细化学品领域的科学研究、技术开发、生产应用等方面的工作，具有开阔的国际视野、较强的创新意识和实践能力的复合型人才。</br>就业方向</br>本专业毕业生适应能力强、就业面宽，可从事新型功能材料如光电材料、化学合成材料（包括有机、无机及高分子材料）、新能源材料、光伏材料、航空航天材料等领域的技术研发，工艺设计、分析检测和生产管理工作。还可以从事石化、汽车、化工、日化、农药、医药、环保及能源等精细化学品领域的相关产品的制备、研发及应用研究工作。同时也可以到高等学校、科研单位从事教学科研工作。</br>学制四年，毕业授予工学学士学位。</br>专业特色</br>■本专业以有机、无机及高分子三大合成技术为基础，电化学技术为检测手段制备新型功能材料（有机、无机及高分子材料）特别是光电材料及元器件为特色，培养学生运用化学合成技术原理进行新型功能材料的制备及元器件的生产、应用研发的能力。</br>■本专业以生物质化学与工程博士点、应用化学、生物化工、工业催化等三个硕士点为学科支撑，在新型功能材料制备、精细化学品绿色合成、应用电化学、工业催化等研究方向上具有显著特色。</br>■师资力量雄厚，注重“厚基础、宽口径、重能力、求创新”的人才培养模式，强化实践教学，彰显理工融合。
