special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
73_2745,73,2745,工程管理,四年,管理学学士,本科(普通),管理学,管理科学与工程类,"工程管理专业是工程技术与管理知识交叉融合的专业，含工程项目管理、房地产经营与管理两个方向。工程管理专业发展六十余年，具有深厚的历史底蕴，师资队伍综合素质高，办学经验丰富, 在国内工程管理科研教育中起着引领和标杆作用。本专业牢牢扎根中国大地，用创新性的理念和方法培养高质量优秀人才，造就业界精英，同时面向世界，建设高水平国际工程管理合作平台，应对全球挑战。在强调大类教学的基础上，强化实践教学和数字化创新，突出素质教育和创新教育，适应国际化教学的需要，并在工程管理信息化、大型群体复杂项目系统控制关键技术、城市有机更新模式及技术等诸多领域处于领先地位。</br>本专业培养具备适应社会、经济和科学技术发展需要的，德、智、体、美全面发展的，具备土木工程技术知识以及与国内、国际工程管理相关的管理、经济和法律等基础知识和专业知识，能够在国内外建设工程及其它工程领域或房地产领域从事全过程工程管理或房地产开发经营管理的，基础扎实、知识面宽、创新能力强、人文素质高、具有国际视野的高级专门人才和拔尖创新人才。工程管理专业是国家级特色专业，入选“卓越工程师”计划，并于2019年入选首批国家级一流本科专业建设点。“工程施工组织与管理”、“工程项目管理”等多门课程被列为国家级精品课程。本专业的教师团队致力于人才创新培养模式改革，荣获高等教育国家级教学成果奖二等奖等多项奖励。本专业拥有“同济大学－Autodesk BLM”联合实验室、复杂工程管理研究院、同济大学建筑产业创新发展研究院、同济经纬不动产研究院、工程管理研究所、房地产研究所和房屋土地资源信息研究中心等实验教学及专业研究机构，为学生提供优质的专业发展条件。"
73_2746,73,2746,信息管理与信息系统,四年,管理学学士,本科(普通),管理学,管理科学与工程类,信息管理与信息系统专业融合管理科学、信息科学、系统科学及计算机科学等多学科知识，通过研究企事业单位和政府机关的全过程信息管理活动，以计算机科学为实现手段，为各类组织提供高效的信息管理和决策支持。我校于1984年成立信息管理与信息系统专业，是国内最早成立该专业的高校之一。其所在一级学科“管理科学与工程”在教育部第四轮学科评估中全国排名A+（并列第一）。2019年度，信息管理与信息系统专业入选首批国家级一流本科专业建设点。伴随着信息技术的飞速发展，信息管理与信息系统专业积极探索教学改革，从“社会——技术系统”视角开展信息管理与信息系统的教学工作。通过生动的案例教学、行业应用热点展示等方法，不断实现教学内容和教学手段的创新，并形成了具有鲜明同济特色的专业培养计划体系。更可喜的是，近年来该专业先后申请到多项国家、地方、企业的重点科研项目。随着科研成果不断转化为教学实践，该专业的教学水平得到进一步提升。近年来，顺应“互联网+”、大数据的时代要求，本专业正在驶入发展的快车道。</br>本专业是管理理论与信息技术相互渗透的综合性学科，面向互联网时代的商业背景，研究信息技术与企业管理融合所产生的实践问题。培养既具有经济与管理知识，又掌握新兴IT技术的复合型高级管理人才。能够在工商企业、金融机构、国家机关、科研机构，从事信息化战略制定、信息资源规划、信息系统开发与维护、信息技术治理与审计、商业大数据分析等工作。此外，本专业能够为学生打造扎实的管理科学与工程专业知识基础，学生亦适合继续攻读硕士、博士学位，从事科学研究。
73_2747,73,2747,物流管理,四年,管理学学士,本科(普通),管理学,物流管理与工程类,物流管理专业是运用信息技术实现物流系统和供应链系统最优化管理的专业。我校于2004年创办物流管理专业，是国内第一批成立该专业的高校之一。依托学院在信息管理与信息系统方面的学科优势，在一批学术造诣深厚的教授带领下，锐意进取，积极探索教学改革，逐渐在物流信息化方面形成了自己的鲜明特色。目前拥有从本科到硕士、博士学位授予点的完整学科体系。依托多项国家级、省部级重点课题的支持，本专业在供应链管理、服务运作管理、物流系统规划等领域积累了丰富的研究成果。其所在一级学科“管理科学与工程”在教育部第四轮学科评估中全国排名A+（并列第一）。</br>本专业面向企业和政府相关部门，培养能适应社会经济发展需要，培养具备扎实的管理知识和国际化理念，掌握物流管理与物流工程理论、知识和方法，熟悉供应链运作、物流控制、信息管理、财务、金融等工作，能够运用信息管理与信息系统的方法，在物流管理领域从事全过程策划、管理和物流信息化工作的复合型专门人才和拔尖创新人才。此外，本专业毕业生储备了扎实的管理科学与工程专业知识，亦适合继续攻读硕士和博士学位，从事科学研究。
73_2749,73,2749,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,本专业旨在培养面向国家经济发展需要、适合未来社会及技术进步、德智体全面发展的高级会计专业人才。学生将系统地掌握会计学科的相关原理与知识，基础理论扎实、专业知识宽厚、实践能力强，具有成长为卓越会计师的良好素质，能胜任企事业单位的会计核算与财务管理工作，并具有国际化视野和系统化管理才能。专业课程主要有会计学、财务管理、应用统计、审计学、会计信息系统、中级财务会计、中级财务管理、成本管理会计、高级财务会计、国际会计、跨国公司财务、税务会计，以及相关的经济金融、工商管理及法律等方面的课程。</br>会计学专业属于工商管理学科，应用性强，学制四年，学成授予管理学学士。本专业在培养中突出“会计技术＋管理”的模式，更能够适应社会与经济发展对管理的要求。对人才培养理念定位为“国际视野、中国情怀、创新务实与业精德高”，毕业生一直为著名四大会计师事务所、银行等金融机构、国内重点企业所青睐。
73_2773,73,2773,金融学,四年,经济学学士,本科(普通),经济学,金融学类,金融学专业属于应用经济学科，培养系统地掌握马克思主义基本原理，具备坚定的社会主义政治思想素质和职业道德素养，了解金融理论与实务，系统掌握投融资管理技能、金融交易技术与操作、金融产品设计与定价、财务分析、金融风险管理以及相关领域的知识和技能，具有较强的解决金融实际问题能力、满足中国特色社会主义市场经济需求的金融专门人才。</br>本专业注重金融理论知识应用与创新能力的养成，是研究个人、机构、政府如何获取、支出、管理资金以及其他金融资产的学科专业。同济大学金融学本科专业设立于1998年，以卓越人才培育为导向，大胆创新、勇于实践，借鉴先进的教学理念与教学方法，有着显著的人才培养特色。多年来培养了大量高端金融专业人才，在国内外享有较高的学术地位和影响。2019年，金融学专业入选首批国家级一流本科专业建设点。
73_2761,73,2761,历史建筑保护工程,四年,工学学士,本科(普通),工学,建筑类,培养目标</br>培养适应社会发展需求，面向建筑遗产与历史环境的保存、修复、利用设计和文物保护及其管理领域，既具备建筑学专业基本知识和技能，又系统掌握遗产保护的理论体系与应用方法，兼具国际视野和创新思维的专业引领者和未来开拓者。</br>特色优势</br>本专业是以建筑学为基础，跨历史人文和工程技术学科领域，研究建筑遗产保护的理论、方法与技术的新兴专业，具有很强的实践应用性和交叉综合性。专业涉及历史文化遗产保护、历史建筑和历史环境的保护与再生以及城市更新等当代建筑学的新兴方向与前沿领域，是我国建筑与城市发展中的急需专业，2010年被评为国家级特色专业。</br>本专业组建了一支国际化的跨建筑、规划、景观、结构、材料、历史、测量等学科的教学团队，创建了国内首个历史建筑保护技术实验中心，创办了亚洲该领域首份学刊——《建筑遗产》和Built Heritage（建成遗产）。四年制的专业培养计划由建筑学基础课程与保护类专业课程两部分构成。学生在掌握建筑学的基础理论与知识、建筑学通用技术体系和建筑设计能力的同时，还要掌握建筑遗产保护与再生的基本理论与知识、特殊技术体系以及设计方法。</br>国际交流</br>本专业对外交流频繁，国际学术合作交流十分活跃。除了国际建造节、国际联合设计教学、海外访学计划、国际双学位培养、国际夏令营、国际博士生院、国际论坛和国际联合科研等一系列项目，还先后与美国宾夕法尼亚大学、哥伦比亚大学、意大利佛罗伦萨大学、米兰理工大学和法国夏约学院等遗产保护名校建立了常态的教学交流合作机制。同时，依托联合国教科文组织亚太地区世界遗产培训与研究中心、故宫学院（上海）等机构，积极在研究与实践领域开展国内外协作。曾应邀赴麻省理工学院、佛罗伦萨大学、悉尼大学等举办专业建设成果展，获得热烈反响。</br>未来发展</br>本专业已培养12届逾250名毕业生，其中的75%以上在国内外名校继续深造，已有百余位毕业生获得了剑桥大学、哈佛大学、宾夕法尼亚大学、东京大学、南加州大学等海外名校和国内名校的硕士、博士学位。毕业生大多活跃在国内城市建筑遗产保护的第一线，成为遗产保护管理、设计、研究方面的中坚力量。</br>本专业的毕业主要去向有：各类专业设计院所、科研与教学机构；各级政府的文物、规划、建设主管部门；以及自主创业等。
73_2753,73,2753,风景园林,四年,工学学士,本科(普通),工学,建筑类,培养目标</br>培养以环境可持续为导向，专业范围涵盖自然与人文资源的保护与利用、风景规划与园林设计、人居环境的建设、运营与管理等，以培养服务于国家公园、风景名胜区、自然公园等城区与郊野环境、城市景观、公园绿地等具有风景园林学基本理论与专门知识、规划与设计方法、实务技能与实践能力的专业引领者人才为目标。</br>特色优势</br>面向整个国土、城市与乡村的自然和人文资源的保护、利用和人居环境空间建设，研究景观要素为主的空间环境的规划与设计、建设与管理的综合性学科，涉及人文、环境、生态、技术、艺术和社会科学等领域。</br>专业教育引领创新：教学思想、教学体系、教学计划、教学教案、教材为国内众多院校效仿与采用。</br>科研与实践前沿：完成国家级科研项目课题30余项、出版专著教材85部、学术论文1000余篇、完成风景园林规划设计项目600多项。</br>教学模式国际化：推进中外联合设计教学模式，实行中外教师、学生互动，科目、学分互认的国际化合作方式。</br>就业服务国家需求：毕业生除继续进入研究生阶段学习以外，主要去向是各类规划设计研究院、企业、政府部门从事规划编制与设计创作、景观治理与政策法规、资源评价与生态服务、文旅策划与项目开发等工作。</br>国际交流</br>本专业对外交流频繁，国际学术合作交流十分活跃。分别与德国、荷兰、法国、意大利、西班牙、奥地利、瑞典、芬兰、英国、爱尔兰、美国、澳大利亚、日本、韩国、新加坡等国家及港澳台地区等近20多所国际知名大学的相关学院建立了多层次的、长期的合作与交流关系。同时，根据合作方的不同优势和条件，进一步拓展合作的对象和方式，形成丰富立体的合作交流构架，为国际双学位、学生交流、教学合作、科研合作奠定了基础。</br>未来发展</br>作为风景园林学科进入国家“双一流”建设名单的4所高校之一，同济大学风景园林专业在新时代的发展机遇广阔。随着“生态文明建设” 的大背景下，风景园林的服务领域逐步扩展到国土全域的自然资源与文化景观、新型城镇与美丽乡村、棕地修复与湿地保护、健康休闲与全域旅游等。</br>优秀校友</br>本专业培养了诸多优秀校友，如担任南京林业大学校长王浩、北京林业大学园林学院院长王向荣、上海复旦规划建筑设计研究院景观院长施海涛、澳大利亚墨尔本大学规划系原主任韩笋生、中国建筑文化中心公共艺术部主任潘亚元、上海市规划与国土资源局原总工俞斯佳等。
73_1024391,73,1024391,视觉传达设计,四年,艺术学学士,本科(普通),艺术学,设计学类,专业课程包括：强调从概念创意到设计发展、到最后实施的完整设计过程的图形与符号、动态与媒介、信息与传达、交互与系统、整合设计等专业设计类课程；强调技能训练的印刷、摄影、摄像、三维动画、创意编程、开源硬件等技术实践类课程；以及为研究生学习作准备，如设计史、数字媒体艺术和技术导论、传播理论、游戏化设计、用户研究、空间叙事等基础理论方法类课程。</br>毕业生可以选择继续深造，也可从事平面设计、图形界面设计、影视视频包装、互动展示设计、插画设计、新媒体艺术、游戏界面设计、应用程序设计等相关工作，亦有部分毕业生选择根据所学专业知识和技能进行自主创业。</br>培养特色</br>在信息网络技术日益成熟，全球经济向数字化、低碳化转型的语境下， “媒体”也好，“传达”也好，都有了新的内涵。“媒体”可以成为促成某种状态，比如创新、商业成功和更美好生活的工具。她既可以是纸质的，也可以是数字的；既可以是实体的，也可以是非物质的。甚至信息、产品、服务、建筑、城市、系统，都可以成为广义的媒体或是媒介。而传达，则是指人与人、人与物、人与信息、人与自然的沟通和交互方式。2014年，同济把视觉传达设计和数字媒体设计两个方向合并为“媒体与传达设计”，希望能在一个新的视角下，开始这个学科方向新的探索；目前专业方向集教学、实践和科研为一体，致力于为社会培养使数字信息人性化、人文化、艺术化和勇于探索新媒介下创新设计可能性的设计师和研究者。
73_1024392,73,1024392,环境设计,四年,艺术学学士,本科(普通),艺术学,设计学类,在设计创意学院，环境设计专业拥有一个来自差异化学科背景的创新社群。我们提出新环境设计的倡议：关注人类体验，创造激发人类潜力的场所；关注环境可持续，响应气候变化、资源危机和社会转型的挑战；运用设计思维，整合技术、创意和商业，塑造城乡未来。  </br>我们把环境设计定义为“致力于运用整体的、以人为本的以及跨学科的方式来创造和促成一种可持续的‘生活-空间生态系统’，包括人和环境交互过程中的体验、交流和场所”。“生活-空间生态系统”把环境设计从物质范畴拓展到意义的设计、互动的设计、服务的设计、体验的设计和生活方式的设计等非物质范畴。学生将通过学习环境图形、空间建构、品牌体验、场景交互、服务设计、社会创新等方面的知识和技能，以及设计史论、环境心理、社会经济与商业的相关知识，建立起系统和可持续的环境设计观。</br>毕业生可选择继续深造，可申请国内外顶尖高校的环境设计、建筑设计、景观设计、室内建筑、设计策略、系统设计、交互设计、服务体系设计、可持续创新等专业方向；也可在设计实践和设计咨询领域开启职业发展。可进入的工作领域有建成环境设计（包括城市及建筑设计、文旅设计、体验设计、景观设计、交互设计等）、品牌设计、公共设计、环境图形设计、展示设计( 博物馆、 画廊、科技馆等)、活动设计、影视或游戏场景设计、戏剧与舞台、项目策划与策略等。</br>培养特色</br>同济大学的设计教育1986年发轫于建筑学，深受包豪斯思想影响。环境设计专业成立于2000年，与工业设计/产品设计、媒体与传达设计在一个宽阔的设计学科知识平台上充分交叉。2010年起，面向新技术的发展和社会经济需求，专业开始从“环境艺术”到“环境设计”的改革，教学重点和内容从关注环境中“物”的设计向关注“人与环境的关系”的设计拓展，以回应产业转型和城乡可持续发展对创新人才的新需求。“生活-空间生态系统”成为环境设计的核心对象。我们培养学生跨学科的全局视野，独立思考与研究的能力，面对复杂、不确定情境的创新和开拓精神，通过空间体验、场所营造、系统关联等设计，优化人与环境之间的各种交互关系，应对社会和生活方式变革对环境的新需求。</br>
73_1024393,73,1024393,产品设计,四年,艺术学学士,本科(普通),艺术学,设计学类,工业设计专业参照教育部高等学校教学指导委员会制定的《普通高等学校本科专业类教学质量国家标准》中“”机械类教学质量国家标准“设置。产品设计专业参照教育部高等学校教学指导委员会制定的《普通高等学校本科专业类教学质量国家标准》中“设计学类教学质量国家标准”设置。依托国家级工业设计高等学校特色专业建设点、国家卓越工程师计划专业、设计学双一流建设专业、上海市设计学IV类高峰学科建设专业等学科优势，在技术高速变革和国家经济转型的时代背景下，定位人才培养内涵从关注“造物”向关注“造物系统”拓展，强调对整合式创新设计能力的培养。</br>专业课程涵盖产品设计理论与方法、艺术与美学、材料与制造工艺、人机工程、交互与体验设计、商业品牌与产品策略、先进制造与先进设计技术与工具等相关知识的学习；既面向学生未来就职后进入不同行业的共通性设计思维的培养，也包括相关产业创新设计需求背景下的设计知识与能力的培养。</br>毕业生可选择不同类型企业的产品设计、交互设计、市场与趋势研究、产品和品牌策略与管理等部门，覆盖所有以产品和服务为导向的产业创新需求，如交通、能源、医疗、通信、消费电子、时尚、家居、互联网等领域，也可选择设计咨询服务类企业、独立设计工作室、新兴创业型企业，或自主创业。</br>培养特色</br>面向智能制造与未来美好生活，以问题为导向，倡导以人为本与可持续创新。以“造物之美”、“人本交互”、“商业创新”和“未来建构”四大模块的知识与能力培养为核心，结合“交通工具与智慧出行”、“生活美学与文化产品”、“健康关爱与医疗服务”、“运动装备与时尚前沿”、“数字制造与智能硬件”等设计主题下的实践训练，培养具有艺术修养、工匠精神、系统思维、策略思维、国际视野和社会责任的新产品及其服务系统的创新设计践行者与促成者。</br>
