special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
124_6176,124,6176,核化工与核燃料工程,四年,工学学士,本科(普通),工学,核工程类,"首批教育部“卓越工程师教育培养计划”专业、2019年度省级一流本科专业建设点，国内专业排名第一。培养“思想品质好、辨识能力强、掌握核科学与技术知识”的核化工与核燃料工程领域的卓越工程师与一流专业人才。采用“3+1”的校企联合培养模式，即学生有3年在校进行基础理论学习，累计1年时间到国内主要的核燃料循环企业及相关科研（设计）院所等单位进行实习、实验及毕业设计等。</br>

核类专业本科生和研究生就业主要集中在涉核研究所、中国核工业集团有限公司、中国广核集团有限公司、中国电力投资集团公司、国家核电技术公司、中国船舶重工集团公司、中国人民解放军海军等单位下属研究院、设计院和运营公司以及各高等院校，以上单位多处于省会城市或沿海发达地区。</br>"
124_6185,124,6185,光电信息科学与工程,四年,工学学士,本科(普通),工学,电子信息类,黑龙江省重点专业，本专业的毕业生应具备健全的人格和良好的科学文化素养，具备高尚的职业道德和强烈的社会责任感，具备坚定的团队意识和良好的沟通协作能力，能够在多学科团队和跨文化环境下工作。能够有效运用光电信息科学与工程专业知识和工程技术原则，分析并解决光电信息或相关领域的工程技术问题。学院以“培养能够在光电信息及相关领域形成职业竞争力，在光电检测、光电信息处理、光纤通信与传感、光电显示与存储、光电仪器设计等相关领域的企事业单位从事研究、设计、开发、运营或管理工作的尖端人才”为目标；以“培养具备扎实的基础理论和创新思维，能够胜任高级工程技术岗位或具备攻读研究生学历的综合素质人才”为己任。多年来，培养了众多光电信息科学与工程领域具有解决复杂工程问题能力的卓越工程师和杰出专业人才。
124_6140,124,6140,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,"黑龙江省重点专业。培养掌握数学科学的基本理论与基本方法、具有运用数学知识分析解决实际问题的能力、受到初步的科学研究训练的专业人才。毕业生能够在科技、教育、经济和金融等部门从事实际应用、开发研究和管理工作，或能继续攻读研究生学位。</br>

该专业学生主要学习数学和应用数学的基础理论、基本方法，受到数学建模、计算机技能和数学软件方面的基本训练，具备数学应用的能力。通过相关的课程训练，学生可根据自身特点从事数据分析方向、计算数学方向、代数与图论方向、微分方程方向等方向的学习实践，具备很好的就业前景。优秀毕业生曾保送至南开大学、上海交通大学、大连理工大学、中科院等院所继续深造。毕业生就业主要去往哈尔滨、大连、北京、深圳等地。</br>"
124_6154,124,6154,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,"黑龙江省重点专业。培养具备化学工程与工艺的基础知识和技能，能在在化工、能源、材料、环保等相关行业，尤其是在船舶工业、海军装备、海洋开发，核能应用领域，从事与化工相关的工程设计、技术开发、质量控制、生产管理和科学研究等工作的高层次、高素质工程技术人才，并成为该领域的技术骨干或中坚力量。</br>

该专业学生毕业后具备化工过程及设备、化工工艺、化工新产品及新技术研究与开发的知识和能力，毕业生就业于中船重工、中船工业以及中核、中石化等国有大型企业。"
124_6139,124,6139,金融学,四年,经济学学士,本科(普通),经济学,金融学类,本专业旨在培养具有坚定马克思主义信念，践行社会主义核心价值观，视野宽、基础厚、能力强、素质优，身心健康，德智体美全面发展，适应中国特色社会主义新时代金融发展和对外贸易、投融资活动需要，具有创新精神、创业意识、创新创业能力和国际视野，系统掌握经济学、管理学基础知识以及金融专业知识，具备较强的信息获取能力，具备金融数据分析能力、金融业务操作能力、金融管理能力以及初步从事金融领域科学研究的能力，满足金融机构、政府部门和企事业单位需求的可靠顶用专门人才。该专业一直是经济管理学院最热门专业，学生的就业率和考研率一直名列前茅。
124_6148,124,6148,通信工程,四年,工学学士,本科(普通),工学,电子信息类,"通过中国工程教育专业认证、教育部“卓越工程师教育培养计划”试点专业、黑龙江省一流建设专业。培养从事通信与信息技术、通信网络、通信系统的研究、设计、开发、应用与管理的创新型高级工程技术人才。该专业的学生知识面宽、适应性强，毕业后可到与通信技术有关的部门，从事现代通信系统、通信网、信息传输与处理系统和现代通信设备等方面的研究开发、运行管理、生产制造、市场营销等工作。</br>

电子信息类毕业生社会需求量大，就业面广。近几年一次就业率始终保持在95%左右，升学率始终保持在50%以上，就业质量较高。以国有企业、科研院所及民营企业等IT科技类企业为主，这三类单位占总就业人数的90%左右，世界500强、中国500强及国防系统单位占总就业人数的80.3%，知名企业如中国电子科技集团、中国航天科工/科技集团、中国船舶重工集团、华为技术、中兴通讯、大疆无人机、小米百度、腾讯公司、移动联通电信三大运营商等。就业岗位以软硬件研发、技术支持为主。我院学生普遍受到国内相关行业的欢迎，就业城市主要分布在广东、上海、北京、天津、成都、深圳、杭州、南京、哈尔滨、西安、青岛、扬州、武汉等大中城市，还有一些毕业生选择在本校继续深造攻读博士学位。</br>

目前，学院获批1项英国爱丁堡大学国家留学基金委优秀本科生资助项目，学院还与美国、加拿大、澳大利亚、日本、韩国、德国、台湾、香港、澳门等多个国家和地区高校建立了校际合作关系，现有100余名学生赴美国威斯康星大学麦迪逊分校、英国剑桥大学、加拿大阿尔伯塔大学、日本东京电气大学、韩国檀国大学、韩国延世大学、德国莱比锡大学、台湾清华大学、台湾中原大学、香港科技大学、澳门大学等多所高等院校交流学习。</br>

学院注重对学生综合素质的培养，努力培养学生的创新意识和实践动手能力。几年来，有近千名学生参加了学科竞赛，100余人获国家一、二等奖，200余人获省级奖励，历届学科竞赛获奖率高达50%以上。由学院学生组建的科技社团“E唯”协会先后获团中央“百优大学生优秀社团”、团中央“小平科技创新团队”奖、中国雅虎网“超级社团”评选全国第三名的荣誉。</br>"
124_6180,124,6180,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,国家一流建设专业、教育部“卓越工程师教育培养计划”试点专业、教育部本科教学工程专业综合改革试点专业。培养具有电子技术、信息系统以及有关信息特性等方面的专业基础知识，具备设计、开发、应用和集成电子设备和信息系统的基本能力，具有研究、开发新系统、新技术的初步能力，能够从事各类电子设备和信息系统的研究、设计、应用以及开发等工作的高级工程技术人才。该专业的毕业生社会需求量大，就业面广。
124_6143,124,6143,工业设计,四年,工学学士,本科(普通),工学,机械类,<p>培养具有良好职业品德，掌握工业设计基本理论和技能，既有坚实的科学技术基础，又具有科技和艺术的整合能力以及较强的创新能力，在产品开发设计领域具有扎实的专业基础、并具有一定视觉传达设计能力的高级设计专门人才。</p><p></p><p>该专业是科学技术、艺术、社会科学融于一体的交叉边缘学科。工业设计以产品设计为中心，对产品的功能、材料、结构、工艺、色彩和外部造型等进行分析，并对市场、广告宣传、销售方式、售后服务和经济效益等方面进行技术、艺术、社会和经济的综合处理。它要解决的是人——产品——环境的有机协调和统一。工业设计还兼容环境设计和视觉传达设计，既要学习广告设计、装潢设计和室内设计等课程，还结合行业特点，研究船舶建筑美学设计、船舶舾装设计等。</p><p></p><p>开设的主要课程：工程力学、工程制图、机械设计基础、设计素描、平面构成、色彩构成、工业设计史、设计方法学、设计调研、计算机辅助工业设计、产品设计程序与方法、产品开发设计、产品系统设计、人机工程学、船舶美学与舾装设计等。</p><p></p><p>该专业就业面广，学生适应能力强。学生毕业后能胜任产品研制与开发工作，也能进行环境设计、装潢广告设计，还可从事船舶美学和舾装设计工作。毕业生主要就业去向为高等院校、大型企业、设计公司、科研院所和技术管理部门等单位。该专业毕业生近三年一次就业率分别为94.69%、90.48%、78.95%。</p><p></p><p>该专业毕业生就业主要单位：中国建筑第一工程局第二建筑公司、航天科技控股集团股份有限公司、海尔集团、中航光电科技股份有限公司、STX（大连）造船海洋技术有限公司、四川长虹电器股份有限公司、重庆长安铃木汽车有限公司、上海汽车集团股份有限公司商用车技术中心、乐金显示（广州）有限公司、皇明太阳能集团有限公司、广东美的环境电器制造有限公司、广东步步高电子工业有限公司、浙江吉利汽车研究院有限公司、中船桂江造船有限公司等。</p>
124_6165,124,6165,软件工程,四年,工学学士,本科(普通),工学,计算机类,通过工程教育专业认证、黑龙江省重点专业。培养学生理想信念坚定、德智体全面发展、理论基础扎实、实践创新能力突出，掌握自然科学、人文科学与数理基础知识，系统掌握软件工程领域基本理论和基本方法，具备在软件工程领域开展科学研究、工程实践和应用开发的能力，具有系统的科学思维方法、工程实践技术和工程创新能力，能够综合运用学科基础知识与工程技术解决软件工程及交叉领域的复杂工程问题；未来五年内，培养的毕业生能够紧跟软件工程领域的国际发展前沿，具备国际视野与合作能力，是满足软件工程及交叉领域的项目管理、产品研发及理论研究等岗位需求的复合型专门人才。
124_6150,124,6150,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,"本专业通过工程教育专业认证、是黑龙江省重点专业，致力于培养适应社会与经济发展需要，能够在电力电子、电力拖动、电力系统，尤其是在船舶电力系统和电气自动化及相关领域从事装备制造、工程设计、系统运行、技术开发、项目管理、科学研究等工作的高级工程技术人才。</br>

学生毕业后主要就业领域为科研院所、电力部门及其它涉及电控类工程的企事业单位，从事电气工程及其自动化方面的工作。"
