special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
99_92757,99,92757,历史学类,四年,,本科(普通),历史学,历史学类,暂无简介
99_4179,99,4179,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,"<p>培养目标：培养具有扎实、系统的新闻传播理论基础及熟练的新闻采访、编辑、写作、评论、摄影等专业技能的新闻学高级专业人才。</p>
<p>主干课程：新闻学概论、新闻采访学、新闻写作、新闻编辑、新闻评论、新闻摄影、广播理论与业务、电视新闻、深度报道写作研究、大众传播学、广告学等。</p>
<p>就业方向：到报社、杂志社、广播电台、电视台、出版社担任编辑、记者工作，也可到企事业单位从事新闻宣传工作或到新闻教育与研究部门任职。</p>
<p>授予学位：文学学士</p>
<p> </p>
<p><br />
 </p>"
99_4212,99,4212,核工程与核技术,四年,工学学士,本科(普通),工学,核工程类,"<p>培养目标：本专业培养能在核技术、反应堆、核电站、辐射防护及相关专业领域从事应用研究、基础研究、教学、管理等的专门人才。要求毕业生具有良好的数理基础和核技术、核电站工程等的专门理论，具有较深入的专业知识和熟练的专业实验技能，掌握核工程与核技术专业的基础知识体系，掌握相关的工程技术知识，包括工程制图、机械电工、电子技术、计算机等。要求了解本专业各方向的理论前沿、研究动态、应用前景以及相关技术、产业的发展状况，能够适应核技术、核工程、辐射防护等学科的发展。</p>
<p>主干课程：高等数学、普通物理学、理论物理、数学物理方法、原子核物理学、核电子学、辐射探测与测量、辐射剂量与防护、加速器原理及技术、反应堆物理与工程、核电站工程导论、核分析技术、同位素技术及应用、工程热力学、工程流体力学、科研训练、毕业论文、毕业实习等。</p>
<p>主要专业实验：普通物理实验、近代物理实验、电子技术实验、核电子学实验、辐射探测实验、核技术应用实验、反应堆实验等。</p>
<p>就业方向：本专业毕业生主要面向核工业系统企事业单位、核电站、环境、医疗、卫生、国防、工业、农业等部门，同时面向研究院所、高等院校等，主要从事应用或基础研究、教学与运营管理等以及进一步攻读核工程与核技术方面研究生。</p>
<p>授予学位：工学学士</p>
<p> </p>"
99_92786,99,92786,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,"<p>    培养目标：本专业培养具备扎实的汉语言文学基础和良好的人文素养，熟悉汉语及中国文学
的基础知识，具有较强的审美能力和中文表达能力，具有初步的语言文学研究能力，同时具有一
定的跨文化交流能力，能在文化、教育、出版、传媒机构以及政府机关等企事业部门从事与汉语言
文字运用相关工作的中国语言文学学科复合型人才。
</p><p>    培养要求：本专业学生主要学习汉语言文学方面的基础理论和基本知识，接受人文社会科学
及相关方面的基本训练，掌握审美鉴赏、创造性思维、从事本学科领域科学研究以及综合运用所
学知识进行社会实践诸方面的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握汉语言文学学科的基础理论、基本知识；
</p><p>    2．掌握汉语言文学及相关文化现象的分析方法；
</p><p>    3．具有语言文字表达，人文知识普及，运用专业知识在本领域发现问题、分析问题、解决问
题的基本能力；
</p><p>    4．熟悉国家在汉语言文字以及文学创作、传播和研究方面的政策和法规；
</p><p>    5．了解本学科领域的理论前沿及发展动态，具有较宽广的文化视野；
</p><p>    6．具有不断获取新知识的能力以及一定的科学研究和实际工作能力，具有一定的批判性思
维能力。
</p><p>    主干学科：中国语言文学。
</p><p>    核心课程：文学概论、中国古代文学（含中国古代文学史、中国古代文学作品选）、中国现代
文学（含中国现代文学史、中国现代文学作品选、中国当代文学）、外国文学、语言学概论、古代汉
语、现代汉语、写作。
</p><p>    主要实践性教学环节：教学实习、写作技能训练、汉语言文学及相关文化现象研讨等。
</p><p>    修业年限：四年。
</p><p>    授予学位：文学学士。
</p>"
99_92875,99,92875,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,"<p>    培养目标：本专业培养掌握数学科学的基本理论与基本方法、具有运用数学知识和使用计算
机解决实际问题的能力、接受科学研究的初步训练，能在科技、教育、经济和金融等部门从事研究
和教学工作，在生产、经营及管理部门从事实际应用、开发研究和管理工作，或继续攻读研究生学
位的创新型人才。
</p><p>    培养要求：本专业学生主要学习数学和应用数学的基本理论、基本方法并接受数学建模、计
算机和数学软件方面的基本训练，在数学理论和应用两方面都受到良好的教育，具有较高的科学
素养和较强的创新意识，具备科学研究、教学、解决实际问题及软件开发等方面的基本能力和较
强的更新知识的能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．具有比较扎实的数学基础，接受严格的科学思维训练，初步掌握数学科学的思想方法；
</p><p>    2．具有运用数学知识建立数学模型以解决实际问题的初步能力和进行数学教学的能力；
</p><p>    3．了解数学科学发展的历史概况以及当代数学的某些新发展和应用前景；
</p><p>    4．能熟练使用计算机（包括常用语言、工具软件及数学软件），具有编写简单程序的能力；
</p><p>    5．有较强的语言表达能力，掌握资料查询、文献检索以及运用现代信息技术获取相关信息
的基本方法，具有一定的科学研究能力。
</p><p>    6．师范类毕业生还应具有良好的教师职业素养，了解教育法规，掌握并能初步运用教育学、
心理学以及数学教育学的基本理论，具有一定的组织管理能力。
</p><p>    主干学科：数学。
</p><p>    核心知识领域：几何、分析、代数、微分方程、概率统计、数学建模、数值计算。
</p><p>    核心课程示例：
</p><p>    示例一：数学分析I-Ⅲ（288学时）、高等代数I-Ⅱ（192学时）、解析几何（80学时）、初等
数论（32学时）、近世代数基础（32学时）、常微分方程（64学时）、拓扑学（48学时）、理论力学
（48学时）、大学物理（64学时）、实变函数（64学时）、复变函数论（64学时）、数理统计（64学
时）、泛函分析（64学时）、偏微分方程（64学时）、科学计算（64学时）、随机过程（64学时）。
</p><p>    示例二：数学分析I-Ⅲ（378学时，含习题课）、高等代数I-Ⅱ（198学时）、解析几何（72学
时）、常微分方程（72学时）、复变函数I（72学时）、概率论与数理统计I-Ⅱ（144学时）、微分几
何（72学时）、抽象代数（72学时）、实变函数I（72学时）、泛函分析（双语）（72学时）、数学模型
与数学软件（72学时）、数值分析（72学时）、普通物理学I-Ⅱ（180学时，含实验）、计算机基础
（72学时）、C语言程序设计（108学时，含实验）。
</p><p>    示例三：数学分析I-Ⅲ（324学时）、高等代数I-Ⅱ（198学时）解析几何（72学时）、C语
言（90学时）、普通物理（108学时）、概率与统计（90学时）、数学软件（54学时）、数学建模（72学
时）、近世代数（54学时）、常微分方程（54学时）点集拓扑（72学时）、实变函数（72学时）、中学
数学教材教法（54学时）、微分几何（54学时）、复变函数（54学时）、初等数论（36学时）、泛函分
析（54学时）。
</p><p>    主要实践性教学环节：学术与科技活动、课程设计及实验、毕业实习及社会调查（实践）、毕
业论文（设计）等。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
99_4242,99,4242,法医学,五年,医学学士,本科(普通),医学,法医学类,"<p>培养目标：培养适应社会进步和现代化建设所需要的德、智、体等方面全面发展的、具备系统的医学、法医学和法律基本理论知识及基本技能，在公安、检察、司法机关、保险公司、社会鉴定机构等从事法医学鉴定，高等医药院校或相关机构从事法医学研究及相关专业工作的高级专门人才。该专业招生录取参照公安部相关标准执行，主要招男生，男生身高1.7米，女生身高1.6米以上。</p>
<p>主干课程：法学理论、人体解剖学、病理学、内科学、外科学、刑事科学技术、法医病理学、法医毒理学、法医临床学、法医物证学、法医精神病学、法医毒物分析。</p>
<p>就业方向：在公安、检察、司法机关、保险公司、社会鉴定机构等从事法医学鉴定，医院从事医疗管理或其他专业技术，高等医药院校或相关机构从事法医学及相关专业工作。</p>
<p>授予学位：医学学士</p>
<p> </p>
<p> </p>"
99_563778,99,563778,环境设计,四年,艺术学学士,本科(普通),艺术学,设计学类,"<p>    培养目标：本专业培养适应我国社会主义经济建设的发展需要，掌握专业基础理论、相关学
科领域理论知识与专业技能，并具有创新能力的和设计实践能力，能在高等艺术学校从事环境设
计或教学、研究工作，在艺术环境设计机构从事公共建筑室内设计、居住空间设计、城市环境景观
与社区环境景观设计、园林设计，并具备项目策划与经营管理、教学与科研工作能力的高素质环
境艺术应用型和研究型人才。
</p><p>    培养要求：本专业在能力结构方面要求学生应具有一定的设计创新思维意识，初步具备综合
运用所学知识分析和解决室内外环境设计工程中遇到的科研、教学、设计等方面问题的能力，能
清晰地表达设计思想，熟悉室内外环境设计的程序与方法，能在综合把握环境的功能、空间、材
料、结构、外观、尺度、施工工艺和市场需求诸要素的基础上对环境进行合理的改进性设计和创新
性设计。本专业还要求学生具备较强的空间表现能力，能用草图、图纸、模型、效果图和计算机图
形技术生动、准确地表达设计意图，掌握基本的摄影技能，熟练掌握多种设计软件，熟悉材料及加
工工艺，具备综合运用CAD/CAM/CAE/3DS手段进行室内外环境设计的基本能力。
</p><p>    同时，本专业人才培养规格一般还有以下要求：
</p><p>    1．在素质结构方面，要求具有良好的政治素质、思想素质、道德品质，以及法制意识、诚信意
识、团体合作意识；在文化素质上具有较好的中国传统文化素养、文学艺术修养，并具有现代意
识、人际交往意识；身心健康。
</p><p>    2．在知识结构方面，要求除本专业确定的学科基础知识和专业能力外，同时具有一定的外
语、计算机及信息技术应用、文献检索、论文写作等方面的工具性知识，以及文学艺术、历史、哲
学、心理学等方面的人文社会科学知识。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握建筑、环境艺术的基础理论知识，具有专业设计与实践的基本能力；
</p><p>    2．掌握建筑与环境艺术的相关技术以及各类材料的施工工艺；
</p><p>    3．掌握环境艺术设计表达相关技能与方法，包括徒手艺术表现、计算机应用技术、创意能力
与工作方法；
</p><p>    4．具有文化艺术与跨学科知识素养，了解我国环境艺术设计领域的方针、政策、法规以及国
内外发展动态；
</p><p>    5．掌握文献检索、资料查询方法，掌握一门外语，具有一定的设计实施与科研能力；
</p><p>    主干学科：建筑及环境设计方法学、人机工程学、材料学。
</p><p>    核心课程：建筑设计史、建筑设计方法学、室内空间设计、室内外设计效果图表现技法、人机
工程学、制图、建筑模型制作与工艺、建筑及环境设计调研方法、数字化环境设计及建筑环境设计
相关软件等基础、中外工艺美术史、设计学（美学、心理学、公关关系学）、造型基础、构成（平面、
色彩、立体构成）、世界建筑及环境设计发展史等相关课程等。
</p><p>    主要实践性教学环节：按环境设计专业方向，进行从项目策划、设计、施工图纸设计、材料和
施工工艺设计、完成设计报告书等实战课题。
</p><p>    主要专业实验：按环境设计专业方向，进行环境及空间的相关材料性能及施工工艺实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：艺术学学士。
</p>"
99_563779,99,563779,视觉传达设计,四年,艺术学学士,本科(普通),艺术学,设计学类,"<p>    培养目标：本专业培养具有国际设计文化视野、中国设计文化特色、适合于创新时代需求，集
传统平面（印刷）媒体和现代数字媒体，在专业设计领域、企业、传播机构、大企业市场部门、中等
院校、研究单位从事视觉传播方面的设计、教学、研究和管理工作的专门人才。
</p><p>    培养要求：本专业要求学生具有为国学习的思想和为社会服务的理念，了解专业相关的法律
法规，具有较为系统的视觉传播专业理论和专业知识。学生应在设计创新，语言、文字表达能力，
社会交流沟通能力等方面得到全面锻炼，并符合国家考级的外语水平。本专业培养规格为应用
型创意人才。
</p><p>    根据市场、中等设计学校和研究机构的需要，毕业生应具备以下三个方面的能力：
</p><p>    1．在专业能力结构方面，要注重创意、美学、技术表现三方面能力的培养。创新时代创意为
先，美学质量和技术表现是完善创意的重要组成部分，因此要从理论课程、基础课程和专业课程
三个模块中建立起一个体现这个培养方向的正确指导思想，即课程教学的核心理念要贯穿于创
新教学之中，在培养学生创意能力的同时提高其美学和技术能力。
</p><p>    2．在专业素质结构方面，要求学生不仅有很强的创意能力，还应具备较好的创意解说能力、
文字语言的表达能力和很好的社会沟通能力。这四种能力是专业素质不可缺少的组成部分，因
为设计不仅要有个性化，更要注重通过语言、文字、行为和作品与人沟通、与市场和社会沟通。
</p><p>    3．在综合知识结构方面，要求学生除了已确定的本科专业知识外，同时具有一定的文学素
养，以提高设计的创意想象能力，具有一定的数学、物理知识，使设计具有理性的思维方式和有条
理地进行逻辑思维的能力，具有一定的外语水平，具有广阔的视野和交流能力，以及掌握软件应
用、获取信息和文献检索的能力。
</p><p>    主干学科：艺术学、设计学、传播学、美学、心理学。
</p><p>    核心课程：中外设计艺术史、艺术概论、大众传播学、广告学、美学、消费心理学、公共关系学、
装饰与图案、图形创意、文字与版式、平面（印刷）设计与印刷制作、展示与陈设、数字媒体设计与
制作、企业形象、品牌形象策划等。
</p><p>    主要实践性教学环节：本专业总体实践教学体系是将专业核心课程与实践教学内容密切地
联系在一起，一是课程教学和上机熟悉软件结合，二是应用性专业除了研究性课题外，结合社会、
企业的项目课题进行实践训练，为学生积累就业经验。
</p><p>    主要专业实验：在传统车间培养学生的动手能力，如在纸艺车间、木工车间、模型加工车间和
金属加工车间进行相关设计制作和材料实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：艺术学学士。
</p>"
99_563780,99,563780,绘画,四年,艺术学学士,本科(普通),艺术学,美术学类,"<p>    培养目标：本专业培养具备坚实的科学文化和艺术理论知识，具有绘画创作、教学的能力，能
在专业艺术领域和各类学校从事绘画创作或教学、研究工作的应用型人才。
</p><p>    培养要求：本专业学生根据所择定的油画、版画、壁画、水彩画等不同的专业方向，在能力结
构要求上，要求具有该专业方向方面较扎实的绘画基本功，掌握该专业方向必要的理论知识和较
全面的专业素质。同时，应根据学生的不同特点，发掘和培养学生的创新能力，引导和发展学生
在绘画创作方面的潜能，使之具有较高的艺术修养和从事本专业创作、教学和研究工作的能力。
</p><p>    毕业生还应具备以下几方面的知识和素质：
</p><p>    1．在素质结构方面，在思想道德素质上要求具有良好的政治素质、思想素质、道德品质，以
及法制意识、诚信意识、团体合作意识；在文化素质上具有较好的中西方传统文化素养、文学艺术
修养，并具有现代意识、人际交往意识；身心健康。
</p><p>    2．在知识结构方面，要求除本专业确定的学科基础知识和专业能力外，同时具有一定的外
语、计算机及信息技术应用、文献检索、论文写作等方面的知识，以及文学艺术、历史哲学、政治思
想道德、心理学等方面的人文社会科学知识。
</p><p>    主干学科：美术学、艺术学理论。
</p><p>    核心课程：素描、速写、解剖与透视、色彩基础理论、色彩（静物）、社会实践（风景、采风）、所
择定专业方面的绘画（人物、人体）、绘画材料、创作、中国美术史、西方美术史。
</p><p>    主要实践性教学环节：下乡写生、艺术考察、社会调查、毕业创作、毕业实习等。
</p><p>    主要专业实验：素描、绘画、艺术创作。
</p><p>    修业年限：四年。
</p><p>    授予学位：艺术学学士。
</p>"
99_563781,99,563781,中国画,四年,艺术学学士,本科(普通),艺术学,美术学类,"<p>		专业代码：130406T

</p><p>		授予学位：艺术学学士

</p><p>		修学年限：四年

</p><p>		开设课程：

</p><p>		国画、篆书、隶书、楷书、篆刻、行草、古代汉语、中国书法史、创作实践和毕业论文、书画鉴定概论。

</p><p>		相近专业：

</p><p>		美术   绘画   书法  

</p><p>		主要实践教学环节 

</p><p>		包括课程实习、毕业实习等。

</p><p>		培养目标 

</p><p>		本专业培养学生既有传统文化基础、传统艺术的修养，具有很高品格的审美精神和造型能力，能在文化艺术部门、学校及有关单位从事中国画人物、山水、花鸟、书法篆刻的创作、教学、研究和其它美术工作的、具有较强适应能力的德才兼备的高级专门人才。

</p><p>		专业培养要求 

</p><p>		本专业要求学生系统掌握中国画基本理论、基本知识和基本技能，具有中国画人物、山水、花鸟、书法篆刻的传统技法以及实际工作能力和初步的科研能力。

</p><p>		毕业生具备的专业知识与能力 

</p><p>		1.熟悉我国的文艺方针、政策；2.具有本专业的基础理论、基础知识，能较熟练地掌握中国画人物、山水、花鸟、书法篆刻的传统技法；3.了解中国画的历史传统和造型规律、艺术手法；4.具有较高的艺术修养、独立完成创作和教学的能力；5.有一定的实际工作能力和初步的科研能力；6.在掌握外语工具方面，应具有较强的阅读本专业书刊的能力，一定的听的能力，初步的写和说的能力。</p>"
