special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
33_248,33,248,信息管理与信息系统,四年,管理学学士,本科(普通),管理学,管理科学与工程类,"培养目标：本专业面向社会信息化需求，结合交通运输行业特色，主要培养具有系统观点、管理才能、信息系统开发与设计技能以及大数据分析能力的复合型人才。 <br>

专业特色：本专业作为辽宁省重点学科，创办于1988年，是国内首批创建信息管理与信息系统专业的高校之一，拥有辽宁省重点实验室和辽宁省创新团队，学科建设、专业实验室的规模和水平已跻身国内大学同类专业先进行列。2015年7月入选辽宁省首批本科优势特色专业。 <br>

本专业强调管理与信息技术的融合，着重培养学生的管理思维、信息技术技能和数据分析技能，注重理论与实践相结合，在教学内容中突出工程技术在信息管理中的先行和基础地位，通过大量的实验课程，使学生充分理解信息资源与信息系统在企业和组织中的重要作用，让学生熟悉先进的管理理念，掌握信息系统开发的理论、方法，能够在管理中熟练使用大数据分析工具及技术以支持企业或组织的管理和决策。 <br>

主要课程：管理学、经济学、运筹学、管理统计学、数据结构、C语言程序设计、JAVA程序设计、Web应用开发、数据库原理、信息系统分析与设计、计算机网络及设计、商务智能、ERP原理、系统工程、项目管理、决策支持系统、物流管理与模拟等。 <br>"
33_262,33,262,航海技术,四年,工学学士,本科(普通),工学,交通运输类,"培养目标：本专业培养具备良好的人文素养，扎实的自然科学基础知识和航海技术基本理论，系统掌握船舶航行、货物积载与装卸、船舶作业管理和人员管理、船舶通信等方面的知识和技能，综合素质好、安全与环保意识强、具有国际竞争能力的高级航海人才。毕业生可从事远洋船舶驾驶、船舶引航、管理、航海教育等工作。 <br>

专业特色：本专业在国内外享有较高的知名度，1992年被列为交通部“八五”首批重点建设学科专业，支持交通信息工程及控制、航海科学与技术和载运工具运用工程3个二级学科硕士和博士点。航海技术专业2006年被评为辽宁省高等学校示范专业，2007年被评为国家高等学校特色专业建设点，2011年被评为辽宁省高等学校综合改革试点专业，2013年获批加入教育部“卓越工程师”教育培养计划。2017年，交通运输工程（自定）学科进入国家“双一流”建设学科名单，学校获批成为国家“双一流”建设高校。 <br>

专业居国内高校同类专业领先水平，拥有一支雄厚的航海技术专业教学师资队伍，31名教师持有远洋船长或高级船长适任证书。同时，还拥有国内外一流的航海技术实验实践教学仪器设备，航海实验实践教学中心2008年被评为辽宁省普通高校实验教学示范中心，2012年被评为国家级实验教学示范中心，2014年航海虚拟仿真实验教学中心获辽宁省虚拟仿真实验教学示范中心建设立项。 <br>

专业要求：思想政治素质好，热爱远洋运输事业，组织纪律性强，英语语种，辨色力正常（无色盲无色弱），无复视，身高1.65米及以上，双眼裸视力均能达4.7（0.5）及以上，且矫正视力均能达4.9（0.8）及以上。由于工作性质特殊，不适宜女生报考。 <br>

主要课程：航海力学、电工学、船舶无线电技术基础、大学计算机基础、船舶原理、航海学、电子海图显示与信息系统、船舶结构与设备、船舶操纵、船舶值班与避碰、航海气象学与海洋学、船舶安全管理、航海仪器、GMDSS设备及通信业务、船舶货运、驾驶台资源管理、航海英语阅读、航海英语会话与评估、远洋运输业务与海商法等。 <br>"
33_236,33,236,海事管理,四年,管理学学士,本科(普通),管理学,公共管理类,"培养目标：本专业主要培养适应国家航运业发展，具有海上交通工程与航海技术、公共管理、海事法律理论基础，掌握海上交通安全、防治船舶污染海洋和航海保障技术能力的海事管理专门人才。 <br>


专业特色：本专业是具有浓厚工程背景的公共管理类专业，是我国最早招收海事管理专业本科学生的专业，是我校的特色专业。2007年被评为国家高等学校特色专业，2009年被评为辽宁省高等学校示范专业。支持海上交通工程、交通运输工程学科硕士和博士点。拥有一支雄厚的专业教学师资队伍，以及完备的实验实践教学系统与仪器设备。 <br>

专业要求：思想政治素质好，热爱海事事业，有海洋意识与社会责任感，英语语种。 <br>

主要课程：海上交通工程、航海学、交通工程基础、安全评价与技术、船舶交通管理系统、航标设备与管理、船舶与船员管理、船舶防污染管理、危险品运输安全管理、海事调查与分析、海上搜寻与救助、海事信息系统、海事公共管理、海上安全公约、海事行政法等。 <br>"
33_278,33,278,地理信息科学,四年,理学学士,本科(普通),理学,地理科学类,"培养目标：本专业主要面向“交通强国”、“海洋强国”战略，培养适应交通空间信息化建设需要，掌握扎实的空间信息技术、交通信息化技术，熟悉国际公约和国际形势变化，能够胜任“互联网+”与“大数据”背景下的交通、航海、海洋和海事信息化建设、具有较强实践和创新创业能力的高级应用和管理人才。 <br>


专业特色：本专业作为信息集成、处理、分析与应用学科，在航海类学科及其应用中发挥了重要作用。地理信息科学成为“电子海图”、“交通信息工程”、“遥感遥测”、“船舶模拟仿真”、“安全与救助”、“智能交通”等重大科研、应用工程建设的核心支撑技术。2007年交通部根据行业发展要求，正式批准设立地理信息系统专业（2012年教育部统一将“地理信息系统”改为“地理信息科学”）。专业拥有国内外一流的地理信息科学教学研发基地及国家重点领域创新团队。 <br>

主要课程：地理信息系统、遥感原理与应用、新型全球卫星定位系统、测量学、海洋测绘、电子海图技术、空间信息技术前沿、航海学、航海气象与海洋学、海事管理、GIS二次开发、遥感图像处理、空间分析、数据库原理与空间数据库、定量遥感、海洋遥感基础及应用、VTS与AIS原理与应用、GIS与遥感实习等。 <br>"
33_169037,33,169037,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,"培养目标：本专业致力于培养具有宽广的工科基础理论、坚实的安全科学与技术专业基础知识、系统的安全监督与管理能力的综合型高级人才。毕业生能够从事航运领域内安全工程的设计与研究、安全评估与咨询、安全监察、安全技术管理等方面工作，主要服务于航运、海事、船舶修造、港口运营与仓储物流等领域，同时可从业于政府公共安全管理、化工、能源、交通运输等行业。

专业特色：我国经济社会的发展对安全人才类型的需求是多方面的，大连海事大学安全工程专业遵循学校“立足航运、服务交通”的发展理念，强化行业特色的培养模式，主动适应国家交通运输、海洋与海事领域和地方经济建设对安全人才的需求，以培养航运安全人才为主，兼顾海洋、海事等其它领域的人才需求。

本专业依托大连海事大学在国内外的影响力以及在船舶安全、港口安全、海洋环境保护等领域多年积累的科研优势，努力培养具有扎实工科背景、鲜明航运特色的安全工程技术与安全管理相结合的高级人才。

主要课程：安全学原理、安全管理学、安全人机工程、安全系统工程、安全评价理论与技术、危险物质管理、燃烧与爆炸原理、海运安全科学技术、船舶火灾爆炸工程学、船舶与港口防污染技术、船舶安全法规与业务、海上事故调查与分析、海上交通工程等。"
33_1033754,33,1033754,轮机工程（海上专业）（海上方向）,四年,工学学士,本科(普通),工学,交通运输类,"培养目标：本专业培养具有扎实的基础理论知识和较高的人文社会科学素养，具有海洋意识、国际视野、创新精神和社会责任，具有较强的实践能力、沟通能力和安全环保意识，能够在轮机工程及相关领域从事操作与维护、生产制造、技术服务、运营管理以及科技开发等工作的高素质工程技术人才和管理人才。 <br>

专业特色：本专业方向重点面向航运业培养轮机工程相关领域的应用型人才。培养过程遵守相关国际海事组织（IMO）制定的STCW公约和中华人民共和国海船船员教育培训相关法规，并充分考虑国内外航运企业的实际要求，具有鲜明的行业特色。课程设置上强调重基础、宽口径，除了满足工程教育要求，还着力加强外语能力、创新创业能力、国际法规意识和跨文化相处与交流能力的培养。专业的实践性强，包含课程实验、校内集中实践实验和海上实习等多种实践环节，实践学时多。专业拥有实力雄厚的双师型教师队伍和国际一流的实验设施设备。 <br>

专业要求：思想政治素质好，热爱远洋运输事业，组织纪律性强，英语语种，无色盲，无复视，身高1.60米及以上，双眼裸视力均能达4.6（0.4）及以上，且矫正视力均能达4.8（0.6）及以上。由于工作性质特殊，不适宜女生报考。 <br>

主要课程：工程力学、工程流体力学、热工基础、机械设计基础、轮机工程材料、电工学、船舶柴油机、船舶辅机、船舶动力装置技术管理、轮机自动化、船舶电气设备及系统、轮机维护与修理等。 <br>"
33_1033755,33,1033755,轮机工程（海上专业）（海洋装备技术与管理方向）,四年,工学学士,本科(普通),工学,交通运输类,"培养目标：本专业培养适应海洋平台和海洋工程船舶等海洋工程装备的作业与管理要求，符合国家教育方针和国际国内相关法规要求，熟练掌握海洋技术、液压技术、电气技术、电子技术、控制技术、计算机控制及其网络技术等先进知识，能够胜任现代海洋平台和海洋工程船舶等海洋工程装备操作、管理、维护和修理的高级海洋装备技术与管理人才。 <br>

专业特色：本专业方向属于船舶与海洋工程学科范畴，是一个典型的新兴、复合型专业，涉及轮机工程、海洋工程、电气工程、电子信息、自动化与仪表、控制理论与控制工程、计算机科学等诸多学科的理论知识和方法应用，是培养海洋资源开发、利用的高级海洋装备技术与管理人才，且满足国际海事公约要求的特色专业。 <br>

专业要求：思想政治素质好，热爱海洋事业，组织纪律性强，英语语种，无色盲，无复视，身高1.60米及以上，双眼裸视力均能达4.6（0.4）及以上，且矫正视力均能达4.8（0.6）及以上。由于工作性质特殊，不适宜女生报考。 <br>

主要课程：机械设计基础、液压传动与控制、仪器仪表与检测技术、轮机自动化基础、船舶电气设备及系统、海洋装备辅助设备、船舶动力装置技术管理、锚泊及动力定位系统、海洋装备综合管理、海洋工程规范与法规等。 <br>"
33_164039,33,164039,轮机工程（陆上专业）,四年,工学学士,本科(普通),工学,交通运输类,"培养目标：本专业方向主要培养适应社会主义现代化建设要求，获得工程师基本训练，德智体全面发展，符合国家有关标准要求和胜任现代化船舶机电设备设计、制造与维修工作的高级工程技术人才。 <br>

专业特色：本专业方向与机械工程、材料科学与技术、热能与动力工程等学科（专业）交叉融合，是一个典型的复合型专业。本专业涉及轮机工程、船舶与海洋工程、表面工程、材料科学与技术等诸多学科的理论知识和方法的研究和应用，是培养高级船舶与海洋工程装备设计、制造与维修人才的特色专业。 <br>

本专业拥有完备的教学和实验设施，包括大连海事大学油液检测中心（拥有中国船级社认可的检测资质）、金属材料性能检测实验室、无损探伤实验室、船机零件修复技术实验室等。公共课程教学使用本校公共课堂教学资源、公共实验室和公共实验（实践）资源，专业课程教学使用学院拥有的课堂教学资源和轮机综合实验室、柴油机实验室、辅机实验室、热工实验室、船舶电气实验室、船舶电工实验室和陆上机舱实验室等实验（实践）教学资源，实践（实习）环节教学利用学校位于国内造修、造船中心的优势，与多家企业建立联系，目前拥有1个国家级工程实践教育中心和1个辽宁省工程实践教育中心；在大连中远船务工程有限公司、大连中远海运川崎船舶工程有限公司、大连船用推进器有限公司、大连船用柴油机有限公司、大连万方船舶技术有限公司、董氏镀铁有限公司（大连）、大连迪施船机有限公司等多家涉及修造船、船机零件制造与维修企业建立了实习基地，确保学生实践能力的培养。 <br>

主要课程：画法几何及机械制图、工程力学、电工学、工程材料及其工艺学、互换性及测量技术、轮机热工基础、机械原理、机械设计、船舶柴油机、船舶辅机、维修理论基础、船机维修与再制造技术、船机制造工艺等。 <br>"
33_269,33,269,船舶电子电气工程,四年,工学学士,本科(普通),工学,交通运输类,"培养目标：本专业主要培养适应船舶电气电子系统自动化和信息化的要求，熟练掌握电气、电子、控制以及网络等基础理论知识，具备一定的工程素质和实际技能，满足国际海事组织STCW国际公约中规定的“电气、电子和控制工程”、“维护和修理”和“船舶操作控制和船上人员管理”等职能要求，既能够胜任现代船舶电子电气装置的管理、维护和修理等任务，又能够从事船舶电子电气工程领域的产品研发、工程设计、监造、技术支持等工作的复合型船舶工程技术类人才。 <br>

专业特色：本专业入选辽宁省工程人才培养模式改革试点专业和辽宁省普通高校首批一流本科示范专业、教育部“卓越工程师”教育培养计划专业。 <br>

本专业重点面向航运业培养船舶电子电气工程相关领域的应用型人才。培养过程遵守国际海事组织（IMO）的STCW公约和中华人民共和国海船船员教育培训相关法规，具有鲜明的行业特色。课程体系注重理论课程与实践课程相结合，知识结构强电和弱电相融合。特色实践课程有行业实践、企业培养第一阶段、企业培养第二阶段以及实践技能的操作与评估等，使学生有较强解决工程实际问题的能力。 <br>

专业要求：思想政治素质好，热爱远洋运输事业，组织纪律性强，英语语种，无色盲，无复视，身高1.60米及以上，双眼裸视力均能达4.6（0.4）及以上，且矫正视力均能达4.8（0.6）及以上。由于工作性质特殊，不适宜女生报考。 <br>

主要课程：电路原理、模拟电子技术、数字电子技术、电力电子学、自动控制原理、嵌入式系统技术基础、可编程序控制器及其通信网络、电机学、交流变频调速、船舶电站、船舶电力拖动系统、船舶主机监测与控制系统、船舶机舱监测与报警系统、船舶辅助控制装置、船舶综合驾驶台系统等。 <br>"
33_243,33,243,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,"培养目标：本专业主要培养适应社会主义现代化建设，服务于船舶、港口及其它领域现场电气工程师，能够从事与电气工程有关的系统运行、自动控制、信息处理、试验分析、研制开发、经济管理以及计算机技术应用等领域工作的“宽口径、复合型”德智体全面发展的高级工程技术人才。 <br>

专业特色：本专业为教育部高等学校特色专业建设点、辽宁省普通高等学校本科示范性专业、辽宁省普通高等学校本科重点支持专业、辽宁省普通高等学校本科综合改革试点专业。 <br>

本专业具有海洋工程特色，强电弱电结合、理论与实践结合。培养计划注重实践能力的培养，以适应社会对高质量工程技术人才的需要。本专业已成为辽宁省老工业基地改造，特别是辽宁船舶航运企业研发高附加值船舶所需的电气技术专门人才的重要基地。本专业师资力量强大，92%教师具有博士学位，正高级教师数量充足。 <br>

本专业为教育部高等学校特色专业建设点、辽宁省普通高等学校本科示范性专业、辽宁省普通高等学校本科重点支持专业、辽宁省普通高等学校本科综合改革试点专业。此外，本专业拥有良好的实验教学设施设备，为学生提供优越的学习和发展条件，本专业实验教学中心被评为辽宁省电气工程实验教学示范中心。 <br>

主要课程：电路原理、模拟电子技术基础、数字电子技术基础、电机学、自动控制理论、PLC及工业控制网络、嵌入式系统技术基础、电力电子技术、电力拖动自动控制系统、港口供电系统、船舶电站及其自动化装置等。 <br>"
