special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
89_3699,89,3699,中药学,四年,理学学士,本科(普通),医学,中药学类,<p>培养目标：本专业培养热爱中医药事业，德、智、体、美全面发展，系统掌握中药学基础理论、基本知识、基本技能，具有中医药思维及较强的传承、创新与社会服务能力，能够从事中药生产、检验及药学服务等方面工作，并具备将来在中药教育、研究、管理、流通、国际交流及文化传播等行业发展的潜能，最终形成具备良好的人文、科学与职业素养的专业人才。</p><p></p><p>专业优势：本学科为天津市高等学校“十二五”综合投资规划品牌专业。在2012年教育部学科评估中，中药学专业全国排名第二。</p><p></p><p>主要课程：中医学基础、中药学、方剂学、基础化学(无机化学、有机化学、分析化学、物理化学)、生物化学与分子生物学、药理学、药用植物学、中药化学、中药药剂学、中药鉴定学、中药炮制学、中药药理学、中药制剂分析、药事管理学等。</p><p></p><p>学制学位：学制4年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予理学学士学位。</p><p></p><p>就业方向：本专业毕业生可继续攻读中药学、药学相关专业的硕士学位、博士学位，也可进入各类各级中医药企事业单位从事中药生产、检验及药学服务等方面工作，并具备将来在中药教育、研究、管理、流通、国际交流及文化传播等行业发展的潜能。毕业生的平均就业率在95 %以上，考研率在20 %以上。</p><p></p><p>提醒：由于本专业基础课程以化学类为主，高考化学成绩偏低者，慎重报考本专业。</p>
89_3706,89,3706,针灸推拿学,五年,医学学士,本科(普通),医学,中医学类,<p>培养目标：培养系统掌握中医针灸推拿学基本理论、基本知识和基本技能，能够在医疗卫生领域从事疾病的预防、治疗、保健、康复等方面工作的针灸推拿学应用型人才。</p><p></p><p>培养模式：</p><p></p><p>主要课程：中医学基础课程、现代医学基础课程、针灸医籍及各家学说、经络腧穴学、针灸处方学、刺法灸法学、针灸治疗学、实验针灸学、中医内科学、中医外科学、中医妇科学、中医儿科学、推拿学基础、推拿治疗学、中医伤科学、西医内科学、西医外科学、神经病学、康复医学等。</p><p></p><p>专业特色：针灸推拿学科为国家重点学科，针灸推拿学专业为国家特色专业。针灸推拿学教学团队为国家教学团队，针灸学实验教学中心为国家实验教学示范中心。本专业为我校特色王牌专业。</p><p></p><p>学制学位：学制5年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予医学学士学位。</p><p></p><p>就业方向：本专业毕业生可到各级中、西医医疗机构从事相关临床工作；可到相关健康产业机构从事健康养生工作；也可到相关院校和科研院所从事相关学科的教学和研究工作。</p>
89_3692,89,3692,药学,四年,理学学士,本科(普通),医学,药学类,<p>培养目标：本专业培养具备药学学科基础知识、基本理论和基本技能，能够在药物研发、生产、检验、流通、使用和管理等领域，从事药物发现和评价、药物制剂设计与制备、药品质量标准研究和质量控制、药品管理以及药学服务等方面工作的专门人才。</p><p></p><p>专业优势：本学科为天津市高等学校“十二五”综合投资规划品牌专业。</p><p></p><p>主要课程：有机化学、分析化学、仪器分析、物理化学、人体解剖生理学、生物化学、微生物学与免疫学、药物化学、天然药物化学、生药学、临床医学概论、药剂学、药理学、药物分析、生物药剂学与药物动力学、药事管理等。</p><p></p><p>学制学位：学制4年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予理学学士学位。</p><p></p><p>就业方向：本专业毕业生可继续攻读药学、中药学相关专业的硕士学位、博士学位，或到与医药卫生相关的单位及部门从事药物发现和评价、药物制剂设计与制备、药品质量标准研究和质量控制、药品管理以及药学服务等方面工作。毕业生的平均就业率在96 %以上，考研率在22 %以上。</p><p></p><p>提醒：由于本专业基础课程以化学类为主，高考化学成绩偏低者，慎重报考本专业。</p>
89_3682,89,3682,中药资源与开发,四年,理学学士,本科(普通),医学,中药学类,<p>培养目标：</p><p></p><p>本专业培养适应社会主义现代化建设和中医药事业发展需要，具备中药学、生物学基础理论、基本知识、基本技能，掌握一定的人文社会科学、自然科学，具有良好思想道德、职业素质、创新意识和社会服务能力。掌握相应的科学方法，具有自主学习和终身学习的能力。达到知识、能力、素质协调发展。能够在中药资源的调查、鉴定、生产、保护、管理、开发、利用等方面从事中药资源合理开发利用与保护、中药质量评价、药用植物栽培与引种、中药材加工与养护、中药生产和经营、中药新药的研究与开发和企业管理等方面工作的中药学、生物学复合型人才。</p><p></p><p>学科优势：天津市高校“十二五”综合投资规划战略性新兴产业相关专业。</p><p></p><p>主要课程：</p><p></p><p>临床中药学、植物生理学、药用植物生态学、药用植物学、中药鉴定学、药用植物栽培学、中药资源学、中药生物技术、中药化学、中药质量分析、中药加工与炮制学、中药新产品开发等。</p><p></p><p>学制学位：学制4年。期满合格者，颁发本科毕业证书，授予理学学士学位。</p><p></p><p>就业方向：</p><p></p><p>本专业毕业生可继续攻读中药学、生药学、生物学等相关专业的硕士学位，或到中药科研单位、中药原料药生产加工企业、药用植物种植单位、中药制药企业、环保部门等从事中药资源合理开发利用与保护、中药质量评价、药用植物栽培与引种、中药材加工与养护、中药生产和经营、中药新药的研究与开发和企业管理等方面工作。</p><p></p><p>提醒：由于本专业基础课程以化学类为主，高考化学成绩偏低者，慎重报考本专业。</p>
89_3697,89,3697,中药制药,四年,"理学学士,工学学士",本科(普通),医学,中药学类,<p>培养目标：培养热爱中医药事业，德、智、体、美全面发展，系统掌握中药制药的基础理论、基本知识和基本技能，具备中医药思维、创新意识和社会服务能力，并具备良好的质量意识、环保意识和用药安全意识，同时应具有现代中药制药技术研究、中药新药研发、中成药二次开发等方面的潜能，能从事中药药物制备、中药工艺设计、中药生产质量控制、制药过程的管理及药学服务等方面工作，最终形成具备良好人文素养、科学素养、职业素养和综合能力均衡发展的专业人才。</p><p></p><p>专业优势：天津市高校“十二五”综合投资规划战略性新兴产业相关专业</p><p></p><p>主要课程：化工原理、工程制图、中药化学、中药药剂学、中药制剂分析、中药制药工艺学、中药制药设备与车间设计、药事管理学等。</p><p></p><p>学制学位：学制4年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予工学学士学位。</p><p></p><p>就业方向：中药制药专业毕业生可以继续攻读药学类、中药类、工程类专业的硕士学位，或到各类各级企事业单位从事中药药品的生产、质量管理、产品研发等方面的工作。</p>
89_145298,89,145298,中医学,五年,医学学士,本科(普通),医学,中医学类,"<p>    培养目标：本专业培养具备良好的人文、科学和职业素养，系统的中医学基本理论、基本知
识、基本技能和对常见病症进行中医临床诊疗的能力，能在医疗卫生领域从事医疗、预防、保健、
康复等方面工作的中医学应用型人才。
</p><p>    培养要求：本专业学生主要学习中医学基础理论、基本知识和必要的基础医学、临床医学基
本知识，接受人文、科学、职业素养教育以及临床技能方面的基本训练，掌握运用中医药进行诊
疗、预防、康复和人群健康服务等方面的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握与中医学相关的人文社会科学、自然科学基本知识和科学方法；
</p><p>    2．掌握中医学基本理论、基本知识、基本技能、中医思维方法以及必要的基础医学、临床医
学知识和基本技能；
</p><p>    3．熟悉国家医疗卫生相关的方针、政策和法规；
</p><p>    4．熟悉心理学、医学伦理学和人文关怀的有关知识；
</p><p>    5．熟悉全科医学思想和中医全科医生的工作任务、方式以及必要的预防医学知识与常见传
染病的防治原则；
</p><p>    6．了解中医学术思想的发展历史和主要学术观点；
</p><p>    7．了解中医学科发展动态和行业需求；
</p><p>    8．具有正确的价值观、良好的职业道德和团队协作能力；
</p><p>    9．具有对常见病症进行辨证论治的基本能力以及对常见危急重症进行判断和初步处理的
能力；
</p><p>    10.具有与患者及其家属有效沟通以及对患者和公众进行健康教育的能力；
</p><p>    11.具有阅读中医古典医籍和医学相关文献以及利用现代技术获取信息的能力；
</p><p>    12.具有初步的中医科学研究和实际工作的能力，具有一定的批判性思维能力和创新精神；
</p><p>    13.具有自我完善、不断追求卓越的意识和自主学习、终身学习的能力；
</p><p>    14.具有依法行医和在执业活动中保护患者以及自身合法权益的意识与能力。
</p><p>    主干学科：中医学。
</p><p>    核心课程：中医基础理论、中医诊断学、中药学、方剂学、中医经典、针灸学、中医内科学、中医
外科学、中医妇科学、中医儿科学。
</p><p>    主要实践性教学环节：课程实验、临床技能训练、临床见习、毕业实习、科学创新活动、社会实
践等。
</p><p>    主要专业实验（实训）：正常人体解剖学实验、生理学实验、病理学实验、药理学实验、体格检
查训练、中医四诊技能训练、中医内科临床技能训练、中医外科临床技能训练、针灸技能训练、急
症临床技能训练、医患沟通技能训练等。
</p><p>    修业年限：五年。
</p><p>    授予学位：医学学士。
</p><p>    【本专业为国家控制布点的专业】
</p>"
89_3704,89,3704,中西医临床医学,五年,医学学士,本科(普通),医学,中西医结合类,"<p>【培养目标】我校于2007年开设中西医临床医学本科专业。目前该专业为天津市品牌专业，中西医结合学科为中国中医药管理局及天津市重点学科。2014年，我校与天津市人民医院联合办学，成立了中西医结合学院，专业建设水平进一步加强，以天津市品牌专业和重点学科建设为依托，在基础医学课程设置上，中、西医课程同时进行，相互渗透，注重培养学生的中西医结合思维；在临床专业课程和教学实习阶段，“以早临床、多临床、反复临床”为核心，充分利用临床医院的临床、教学与科研资源,加强学生临床实践技能培养，理论与实践相结合，知行合一，融会贯通；同时利用网络教学、PBL等教学模式提高学生自主学习的兴趣和能力，丰富学生知识结构，拓展学生发展空间。该专业毕业生可继续攻读中医学类、中西医结合类及相关专业的硕士学位或到各类各级医疗单位及相关机构从事医疗、预防、保健、康复、教学、科研等相关工作。</p><p></p><p>具备中西医常见疾病的诊疗能力以及正确处理临床急、难、重症的能力；具备在大型综合医院、专科医院、社区医院、诊所等从事临床医疗工作的能力；具备在医药卫生院校和医药科研机构从事教学、科研和管理工作的能力；具有自主学习和终身学习的意识和能力，具有知识自我更新和自我发展的潜能。</p><p></p><p>【培养模式】</p><p></p><p>医学基础课：医古文、中外医学史、中医基础理论、中医诊断学、中药学、方剂学、医学生物学、系统解剖学、组织学与胚胎学、生理学、生物化学、医学免疫学、病原生物学、人体寄生虫学、病理解剖学、病理生理学、药理学、诊断学、医学影像学、医学心理学、医学伦理学、医事法规等。</p><p></p><p>医学专业课：中西医结合医学导论、中医内科学、中医外科学、中医妇科学、中医儿科学、针灸学、内科学、外科学、妇产科学、儿科学、神经病学、传染病学、预防医学、急诊医学等。</p><p></p><p>【学制学位】学制5年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予医学学士学位。</p><p></p><p>【就业方向】各级中医院、诊所、社区医院，综合医院中医科、中西医结合科从事中西医结合诊疗及全科医生的工作；可从事与药品、保健品、医疗器械、化妆品等销售、经营、开发等相关的职业；可考取国家公务员、从事相关教育管理工作等。本专业毕业生可继续攻读中西医结合类、中医类及相关专业硕士学位。</p>"
89_3694,89,3694,食品卫生与营养学,四年,理学学士,本科(普通),医学,公共卫生与预防医学类,<p>培养目标：食品卫生与营养专业旨在培养德、智、体全面发展，掌握食品与营养学的基本理论、熟知国际食品质量安全体系和标准体系进行质量管理的；具备食品检测和分析、食品品质评价、食品安全管理与风险评估，以及营养学基本知识和技能，能够解决食品质量安全相关问题的；具备应对市场变化、跟踪食品质量与安全新技术和新变化、适应社会需求不断发展要求能力的；在食品企业、商检、卫生防疫、科研院所等领域，从事食品安全与营养相关技术、管理、策划、生产、研究等工作的应用型复合人才。</p><p></p><p></p><p>培养要求:本专业主要学习和掌握生命科学、食品科学以及食品安全与营养学的基本知识，掌握食品安全检测与营养分析技能，具备食品安全与营养评估，产品开发，以及科研和管理等方面的能力。本专业毕业生应获得以下几方面的知识和技能：</p><p></p><p>1.掌握食品卫生与营养学的基本理论知识； </p><p></p><p>2.掌握基础医学、临床医学、营养与食品卫生的基本理论知识</p><p></p><p></p><p>3.掌握食品营养检测分析技能； </p><p></p><p>3.熟悉国家的食品卫生法规；</p><p></p><p>4.具有一定的研究能力和科学思维方法。</p><p></p><p>主要课程:预防医学、营养学基础、公共营养学、分子营养学、临床营养学、食品化学、食品微生物学、食品毒理学、食品安全评价体系、食品工艺卫生学、食品安全的监督管理。</p><p></p><p></p><p>学科优势：发挥中国传统文化在饮食、营养方面的传承，使学生在系统学习现代营养学及食品卫生学方面知识的同时，具备中医营养学的特色，拓展学生能力。</p><p></p><p>学制学位：学制四年。学习期满成绩合格者，颁发本科毕业证书，授予理学学士学位。</p><p></p><p>就业方向：本专业毕业生可继续攻读食品卫生与营养学及相关专业的硕士学位，或到食品企业、食品检验、卫生防疫、科研院所和医院临床营养科等领域，从事食品安全与营养相关技术、管理、策划、生产、研究等工作。</p>
89_3693,89,3693,社会体育指导与管理,四年,教育学学士,本科(普通),教育学,体育学类,<p>培养目标：本专业根据“健康中国2030”规划纲要要求，依托我校资源，突出“体医结合”，将社会体育专业发展规律与人才市场需求相结合，培养适应体育社会化及产业化发展需要的德、智、体、美全面发展，具备社会体育基本理论知识与技能、中医传统养生康复知识与技能，能在各级健身中心、康复中心、养老机构、社区以及相关领域中从事健身技能指导、科学健身咨询、群众体育活动组织管理和经营开发等工作的应用型人才。</p><p></p><p>主要课程：本专业开设主要课程有：中医学基础、推拿学基础、体育概论、社会体育概论、体育管理导论、社区体育导论、体育经济学、体育俱乐部管理、健康评价与运动处方以及中医传统养生类、球类、大众健身类等课程。</p><p></p><p>学制学位：学制4年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予教育学学士学位。</p><p></p><p>就业方向：本专业毕业生可继续攻读相关专业硕士学位，或到各级健身中心、康复中心、养老机构、社区及相关领域从事科学健身指导、健身咨询、群众体育活动组织管理和经营开发等工作。</p>
89_3683,89,3683,汉语言,四年,文学学士,本科(普通),文学,中国语言文学类,<p>培养目标：本专业培养适应我国新世纪现代化建设和中医药事业发展需要，德、智、体、美全面发展，具有良好的团队合作意识，具备扎实的汉语和英语基础，掌握基本的语言学理论和方法，掌握一定的中医药文化知识，具有初步的语言研究能力和较强的语言应用能力，同时具有一定的跨文化交流能力，能够在文化、教育、出版、传媒机构以及政府机关等从事与汉语言文字相关工作的应用型人才。</p><p></p><p>主要课程：</p><p></p><p>专业基础课：语言学概论、古代汉语、现代汉语、中国现代文学、中国古代文学、写作、中国古代哲学、逻辑学基础</p><p></p><p>专业课：汉语史、理论语言学、语法学、语义学、语用学、应用语言学、欧美语言学、文字学、训诂学、音韵学、外国文学、文学概论、中国文化概论、汉语方言学及汉语方言调查、古典文献学、文献检索、中医药学概论、中医文献导读</p><p></p><p>学制学位：学制4年。在修业年限内，合格完成培养计划规定的全部内容，可以获得毕业证书；根据《天津中医药大学学士学位授予工作细则》，符合学士学位授予条件者，授予文学学士学位。</p><p></p><p>该专业2003年开始招生，以应用语言为特色。毕业生可继续攻读语言学、文献学、文学及相关专业的硕士学位，或在各级各类卫生、企事业单位做文案工作，或与医药卫生相关的新闻、出版行业从事记者或编辑工作，还可以从事对外汉语教学。</p>
