special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
92_3858,92,3858,运动康复,四年,教育学学士,本科(普通),教育学,体育学类,<p>学科：</p><p>门类：</p><p>培养目标:培养适应现代发展需要，在初步掌握运动人体科学、基础医学、临床医学基本知识的基础上，系统掌握运动康复与健康专业的基本理论、基本技能、基本方法和相关知识，成为具有一定发展潜力及创新精神、具有较强实践能力的高级康复治疗师。</p><p>主要课程：系统解剖学、中医基础、人体解剖、运动解剖学、人体生理、运动生理学、生物化学、运动生物力学、康复心理学、医学统计学、组织学、药理学、病理学（含病理物理学）、免疫学、外科学、内科学、中国传统康复治疗学（含针灸、按摩）、运动疗法原理与技术、运动损伤学、运动医务监督、临床运动疗法学、理疗学。</p><p>就业方向：运动训练基地、医药卫生系统、社区康复治疗师；体育科研机构研究人员；各级各类教学单位师资。</p>
92_3857,92,3857,应用心理学,四年,理学学士,本科(普通),理学,心理学类,　　学科：理学 <br />　　门类：心理学类 <br />　　专业名称：应用心理学 <br /><br /> <br />　　业务培养目标：本专业培养具备心理学的基本理论、基本知识、基本技能，能在教育、工程设计部门、工商企业、医疗、司法、行政管理等部门从事教学、管理、咨询与治疗、技术开发等工作的高级专门人才。<br /><br />　　业务培养要求：本专业学生主要学习心理学方面的基本理论和基本知识，受到心理学科学思维和科学实验的基本训练，具有良好的科学素养。具备进行心理学实验和心理测量的基本能力和将心理学理论、技术应用于某一相关领域，解决实际问题的能力。<br /><br />　　毕业生应获得以下几方面的知识和能力：<br />　　1．掌握数学、物理、化学、生物学等方面的基本理论和基本知识；<br />　　2．掌握应用心理学的基本理论、基本知识和实证研究方法，掌握相关的统计、测量方法，具有综合分析、数据处理和计算机应用的能力；<br />　　3．了解相近专业的一般原理和知识；<br />　　4．了解国家科学技术、知识产权等有关政策和法规；<br />　　5．了解应用心理学的最新发展动态和应用前景；<br />　　6．掌握资料查询、文件检索及运用现代信息技术获取相关信息的能力；具有一定的实验设计，创造实验条件，归纳、整理、分析实验结果，撰写论文，参与学术交流的能力。<br /><br />　　主干学科：心理学 <br /><br />　　主要课程：普通心理学、实验心理学、心理统计、学习心理学、社会心理学、心理测量、工业心理学、教育心理学、临床心理学。<br /><br />　　主要实践性教学环节：根据课程要求，最好从一年级时便安排教学实习，也可到高年级时安排。包括精神病院实习、企业管理实习等，一般安排10——20周。<br /><br />　　修业年限：四年<br /><br />　　授予学位：理学学士 <br /><br /> <br />
92_3855,92,3855,社会体育指导与管理,四年,教育学学士,本科(普通),教育学,体育学类,<p>养目标：培养适应我国体育社会化和产业化发展需要的，能在各级各类健身中心、俱乐部及其相关领域中从事健身技能指导、科学健身咨询、群众性体育活动的组织管理和经营开发等方面工作的应用型专门人才。  <br/>　　主干课程：社会体育概论、社会体育管理学、体育产业概论、体质测评与运动处方、网球、健美操、跆拳道、健美运动、俱乐部健身技能指导等。  <br/>　　修学年限：四年  <br/>　　授予学位：教育学学士</p>
92_3854,92,3854,公共事业管理,四年,管理学学士,本科(普通),管理学,公共管理类,　　学科：管理学 <br />　　门类：公共管理类 <br />　　专业名称：公共事业管理 <br /><br /> <br />　　业务培养目标：本专业培养具备现代管理理论、技术与方法等方面的知识以及应用这些知识的能力，能在文教、体育、卫生、环保、社会保险等公共事业单位行政管理部门从事管理工作的高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习现代管理科学等方面的基本理论和基本知识，受到一般管理方法、管理人员基本素质和基本能力的培养和训练，掌握现代管理理论、技术与方法，能从事公共事业单位的管理工作，具有规划、协调、组织和决策方面的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握管理科学、经济学、社会科学等现代科学的基本理论和基本知识； <br />　　2．具有适应办公自动化，应用管理信息系统所必须的定量分析和应用计算机的技能； <br />　　3．具有进行质量管理、数据的收集和处理，进行统计分析的基本知识和能力； <br />　　4．熟悉我国有关的法律法规、方针政策以及制度； <br />　　5．具有较强的社会调查和写作能力； <br />　　6．掌握文献检索、资料查询的基本方法，具有初步的科学研究和实际工作能力。 <br /><br />　　主干学科：公共管理 <br /><br />　　主要课程：管理学原理、管理心理学、人力资源开发与管理、管理经济学、公共关系、公共财务、管理定量分析、应用统计、管理信息系统、管理文秘。 <br /><br />　　主要实践性教学环节：社会调查、企事业单位实习等，一般安排6-8周。<br /><br />　　修业年限：四年 <br /><br />　　授予学位：管理学、教育学、文学或医学学士  <br /><br />
92_3853,92,3853,特殊教育,四年,教育学学士,本科(普通),教育学,教育学类,培养目标：培养具备普通教育和特殊教育的知识和能力，了解残疾人体育教学、训练、竞赛等相关知识和组织办法，能够在特殊教育或相关机构从事特殊教育实践、研究和管理，在残障人体育组织与管理方面具有专长的德智体全面发展的专门人才。  <br>　　主干课程：特殊教育学概论、盲童心理与教育、聋童心理与教育、弱智儿童心理与教育、儿童异常发展与教育、特殊儿童病理学、特殊儿童康复、中国手语、盲文、教育科学研究方法、残障人体育概论、特殊儿童体育游戏、特殊儿童游戏教学、残障人体育运动项目与规则、残障人医学和功能分级。  <br>　　修学年限：四年  <br>　　授予学位：教育学学士
92_3852,92,3852,英语,四年,文学学士,本科(普通),文学,外国语言文学类,培养目标：培养具有扎实的英语语言基础，宽广的知识面和一定的体育专业知识，了解国际体育概况，能在国际体育交流，体育赛事，体育旅游领域里和体育涉外机构从事口译及从事英语教育等工作的应用型专门人才。  <br>　　主干课程：基础英语、高级英语、英语阅读、英语写作、英语听说、英语口笔译、口译、　　语言学导论、体育英语、体育概论、体育管理学、运动项目与竞赛规则、体育休闲与健身概论。  <br>　　修学年限：四年  <br>　　授予学位：文学学士
92_3851,92,3851,市场营销,四年,管理学学士,本科(普通),管理学,工商管理类,    市场营销专业（体育产业经营管理方向） <br>　　培养具备管理、经济、法律、市场营销等方面的知识和能力，能在企事业单位及政府部门从事体育产业的经营开发与管理以及教学、科研等方面工作的应用型人才。 <br>　　主干课程：体育产业概论、市场营销
92_3850,92,3850,舞蹈学,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,培养目标：培养具备较高文化艺术修养，具有较系统的专业理论知识和实践技能，以及一定的舞蹈表演、教学、创编能力，能够在普通学校、社区、俱乐部、机关团体、青少年活动中心等部门从事以舞蹈为特长的艺术教育与普及工作的专门人才。  <br>　　主干课程：舞蹈概论、舞蹈写作教程、舞蹈形态学、中国舞蹈史、中国民族民间舞蹈、欧美现代舞史、舞蹈文献检索与利用、中外舞蹈思想教程、舞蹈解剖学、芭蕾舞基本功训练、中国古典舞身韵、现代舞、教育学、心理学。  <br>　　修学年限：四年  <br>　　授予学位：文学学士 
92_3849,92,3849,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,培养目标：培养熟悉我国新闻宣传政策法规，具备系统的新闻传播理论知识和实践技能，了解体育运动的一般规律特点，在新闻宣传领域中从事编辑、记者等相关工作的应用型人才。  <br>　　主干课程：中外文学概论、中外新闻事业史、新闻学概论、传播学概论、新闻采访与写作、报刊编辑、新闻摄影与电视摄像、体育新闻学、体育概论、体育专项理论。  <br>　　修学年限：四年  <br>　　授予学位：文学学士
92_3848,92,3848,武术与民族传统体育,四年,教育学学士,本科(普通),教育学,体育学类,民族传统体育专业 <br>　　培养武术套路、散打、摔跤、体育养生等民族民间体育以及跆拳道、柔道等项目的运动员、教练员、专业教师、健身指导、体育俱乐部经营管理人员及民族传统体育工作等应用型人才。 <br>　　主干课程：运动训练学、运动解剖学、
