special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
93_3866,93,3866,农学,四年,农学学士,本科(普通),农学,植物生产类,<p>农学专业是我院开设最早的专业之一，已有38年的历史。2008年被教育部批准为国家级特色专业，2010年被天津市批准为市级品牌专业2012年被批准为天津市级专业综合改革试点。随着社会的进步和时间的演进，本专业不断改革并得到逐步完善，更加适应现代农业的要求，更加受到社会，特别是专业部门的认同，本专业师资力量雄厚、教学设备先进、教学管理规范，专业基础课和专业课任课教师中，享受国务院特殊津贴专家1人，天津市优秀教师1人，教授1 1名，副教授5名，讲师2名，具有博士学位的占65%，目前已累计为社会培养大学木科生千余名，众多的优秀毕业生，生已成为部门或单位的领导或科技骨干。</p><p>培养目标：本专业学生主要学习农业生物科学、农业生态学、作物生长发育和遗传规律等方面的基本理论和植物生产基本知识。毕业生具有植物生理生化、土壤农化、农业生态和植物保护的基本理论和实践技能，作物遗传育种和种子生产的基本理论和技能，作物栽培与耕作的基本理论和技能；堂握主要农机具的一般工作原理及选型、配套和使用，农产品贮藏加工等多种经营，农业经济和贸易、农业组织管理和农业技术开发方法；掌握科技文献检索、资料查询基木方法；具有农业科学研究，应用、开发和管理基片能力；具有较好的科学素质、创新意识、团队精神、合作精神。</p><p>主要课程：无机和有机化学、生物化学、植物学、植物生理学、计算机技术基础与应用、普通遗传学、土壤肥料学、植物保护学、农业生态学、田间试验与生物统计、作物栽培与耕作学，作物育种学、农业推广学。</p><p>主要实践性教学环节：包括军事训练3周，实训、教学实习及科研训练8周，寒假期间社会实践调查3周，毕业实习与毕业论文15周，共29周。</p><p>就业方向：毕业生能有企事业单位及政府管理机构、行政部门等从事现代农业生产技术研究、技术开发、推广、经营、管理等工作。近两年毕业生考取研究生录取率平均达25%以上。</p>
93_3899,93,3899,水族科学与技术,四年,农学学士,本科(普通),农学,水产类,"<p>专业简介：水族科学与技术专业2008年经教育部批准建立,是国内高校开设此专业的前三名,本专业的设置是顺应市场发展要求,培养社会所需的水族养殖、工程技术和水族经营管理等应用型专业人才。该专业配备了专业设备和实验傻器,专业数学卖验设备价值500万元,具备培养水族专业高级技术人员的基本基础和条件。师资队伍结构合理,其中副高级以上职称9人,现担任中国水产学会观觉鱼分会委员1人。目前承担科界、北京市水产科学研兖所、天津市晨辉饲科有限公司、国家级天津市换新水产良种场、天津市和谐荣达实业有限公司、天津市天祥水产有限责任公司、天津市金水族水产养殖有限公司等多个稳定的产学研基地。</p><p>培养目标：本专业培养具有观赏水族养殖与鉴赏、繁殖与育种、水质调控、营养与饲料、病害防治、经营管理等方面知识与能力,能够在水族产业的企事业单位从事休闲渔业及观赏水族科研、开发、教学、管理等工作的复合应用型科学技术人才</p><p>培养要求：本专业学生主要学习现代生物科学和环境科学的基本理论以及观赏水族的养殖、水族产业的经营和管理等方面的知识,接受有关生物学和化学实验教学、观赏贳水族养殖实践性环节、计算机应用等方面的基本训练,掌握观赏水族养殖技术、水域环境控制、营养与饲料、病害防控等方面的基本能力</p><p>毕业生可获得以下几方面的知识和能力</p><p>1、掌握现代生物科学【包括形态、分类、生态、生理化、遗传育种等和环境科学〔包括生态系统、环境分析环境保护}的基本理论;2、掌握賞水生动植物的养殖【栽培】技术、营养与饲料、病害防治、游钓等方面的基本知识和基本技能;3、掌握主要观赏水生动植物的人工育苗、有种和成体的集约化养殖等生产环节的技术关键;4、熟悉有关水产资源保护、环境保护等方面的方针、政策和法规。</p><p>主干学科：生物学、环境科学技术、水产养殖学科。</p><p>主要课程：动物学、鱼类学、水生生物学、生物化学、动物生理学、水产微生物学、水族景观生态学、水环境化学、水族动物遗传育种学、组织胚胎学、水族养殖学、水族营养与饲料学水族疾病防治学、生物饵料培养。</p><p>研究方向：观赏淡、海水水族动植物养殖、水族景观设计、水族观赏动物营养与饲料学、观赏鱼病肪治学。</p><p>就业方向：毕业生能在大中专院校、科研院所、环境保护、海关检疫、动植物检疫、现代渔业技术等部门从事有美教学、科研行政管理、技术推广等方面的工作。</p>"
93_3860,93,3860,环境科学,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>专业简介：环境科学专业是我院根据经济和社会发展需求于2003年设置的，目前已招收学生十四届，该专业为天津市品牌专业，现有专任教师16名，其中教授7名，副教授5名，讲师4名具有博士学位者6名，硕士学位者8名，硕士以上学历教师占80%</p><p>培养目标：本专业面向基层环保部门及会事业单位，培养适应环境科学产业发展需要，掌握环境科学技术及其相关专业技能的人才。通过应用基础研究和科技开发研究的系统训练，使学生具备良好的科学素质、较强的创新意识和实践能力，重点培养学生环境资源调查、分析，质量检测、评价、污染防治、资源综合利用等方面的专业基础理论和技能，特别是农村生态环境建设、农田环境监测，与污染防治、农产品质量监测等技术，使学生掌握2-3门实用的废物资源化和污染防治技术，了解相关的政策和法规。</p><p>主要课程：环境学、环境化学、生态学、环境生物学、环境监测、环境质量及评价、环境土壤学、环境工程学、水污染控制工程、环境管理学、环境信息系统、环境统计学等。</p><p>主要实践性教学环节：包括军事训练3周，教学实习7周，科研训练4周，社会实践3周，毕业实习与毕业论文16周，共33周。</p><p>就业方向：毕业生能在环境保护与污染治理产业部门从事环境产品的设计、环境监测与评价、农产品得分析检验以及在相关的事业单位进行教学、科学研究及管理等工作I。近几年毕业生应届</p><p>考取研究生录取率20%以上，还有部分学生选择出国深造。</p>
93_3874,93,3874,海洋渔业科学与技术,四年,农学学士,本科(普通),农学,水产类,"<p>专业简介</p><p>天津农学院海洋渔业科学与技术专业于2002年经教育部批准建立。,是天津市级品牌专业,有副高级以上职称人员10名,产学研基地12个。主要从事研究海洋经济生物综合利用技术与产业化开发、海洋渔业资源保护与恢复、渔业管理策略风险评估、渔业信息化建设、海洋生态系统动力及其与渔业生物关系、生态防治理论与关键技术、退化渔业生态系统的恢复途径和方法等研究、并在生态系统多样性、物种多样性和种内遗传多样性三个层次上开展与渔业种质资源相美的工作,形成了以海洋生物资源保护性开发和渔业水环境改善为发展方向的特色专业。目前国内有10所高校开设此专业。</p><p>培养目标：战能力和创新精神的高层次科学技术与管理人才:毕业后能从事渔业资源开发技术、渔业水环境修复、渔业资源评估、渔业管理、渔业信息应用技术的科学研究,能承担相关领域的生产、科研、教学和管理工作。</p><p>培养要求：本专业要求掌握渔具应用理论与技术、鱼粪行为与海洋环境关系、渔业信息分析技术、渔业资源评怙方法及管理策略风评、渔业资源调查与监测、洫业及洫港管理、渔业水环境监测与评价、信息自动化建设与运用等理论知识和技能。毕业生可获得以下几方面的知识和能力</p><p>1、具备扎卖的数学、物理、化学和生物学等基本理论知识;2、掌握海洋生物资源开发、海濰环境保护及海洋综合管理等方面的基本知识;3,掌握现代渔业资源调查、评估古、开发与管理。渔水域环境监测与改薑等技术。具有从事海洋渔业及相关领域工作的基本能力;4.熟器我国海洋渔业科技渔业环境护。渔业资源管理与利用等方面的方针、政策和规以及海洋渔业科披与囯民经渀可持续发展战暗的关系;5了解海洋渔业学科的新成就、新技术和国际渔业发展动恣,具备渔业可持续发展。渔业开发与自然资源环境和谐的意识6,有鬟强的调查研究与决策、组织与管理、口头与文字表达能力,具有独立获取知识、信息处理和创新的基本能力;7。掌握文献检索,资料查询的基本方法,具有一定的科学研究和卖际工作能力。</p><p>主千学科：水产学科。生物学科。海洋学科、管理学科。</p><p>主要课程：高等数学、程序设计语言、线性代数、概率论与数理统计、大学物理、海洋生态学、海洋学、鱼类学、渔具渔法学海萍法、渔具材料与工艺学,渔具理论与设计。過资源生物学、渔场学、鱼美行为学、渔业资源评估与管理。渔业法规与渔政管理,過业资源经济学。</p><p>研究方向：渔业资源开发与环境修复,渔业资源评估与管理策略风险评怙。渔业资源生物学与种质资源。</p><p>主要实践性教学环节：包括军事训练3周,专业实习13周〔包括:专业认知实习、动物学实习、资源监测与调查、大学生创新综合实训、渔政管理与渔港监督等],杜会实践10周,毕业实习与毕业论文16周,共42周。</p><p>就业方向：毕业生能在渔业,海生物科学和海洋境保护等部门从事教学、科研、生产以及管理等工作</p>"
93_3875,93,3875,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>业务培养目标：本专业培养具备管理、经济、法律和会计学等方面的知识和能力，能在企、事业单位及政府部门从事会计实务以及教学、科研方面丁作的工商管理学科高级专门人才。</p>
93_3873,93,3873,水产养殖学,四年,农学学士,本科(普通),农学,水产类,"<p>专业简介：水产养殖学专业成立于1976年,是国内高校较早开设的专业之一,是天津农学院最早建立的四大传统专业之一,经过40年的发展和积淀,该专业已成为国家级特色专业、天津市品牌专业和天津市重点学科,也是我校首批获批的硕士点之一。该专业具有雄厚的师资力量、完善的教学设施和先进的管理经</p><p>验,具有副高级以上职称29人,其中担任全国人大代表1人,天津市水产学会副理事长1人,理事1人,中国鱼类学会理事1人,天津市“青年千人“计划1人。拥有“水产养殖学专业教学团队""和“水产动物营养与饲料学教学团队""2个天津市级教学团队,1个“天津市现代水产生态健康养殖创新团队;捐有“天津市水产生恣及养殖重点实验室”,“天津市水产生态与养殖实验教学中心”被评为国家级实验教学示范中心建设单位,“天津透水鱼产业国家级科技特源员创业链""被科技部评为第二批国家级科技特派员创业链。该专业拥有11个稳定的“产、学。研基地“和1个“大学生创新创业基地”。</p><p>专业特色：本专业以培养具有很强专业实践隧力和一定创新能力的应用型人才为国标,通过在""产、学。研基地”、“大学生创新创业基地“和“天津市就业见习基地”实习,使学生牢围掌握水产动物规模化繁育、水质测与调控。饲料检测与配制、疾病防治等技术。</p><p>培养目标：本专业培养德、智、体、美全面发展。具备水产养殖学方面的基础理论,基本知识和基本技能,具备创新精神、实践能力和创业力,能在与水产养殖学相关领域从事生产、教学研发、管理等工作的复含型高级人才。</p><p>主要课程：动物学,鱼英学,水生生物学、养殖水域生态学鱼粪生理学、组织甌胎学、水域环境学,水产动物营养与饲料学、水产动物遗传育种学、鱼美增养殖学、水产动物疾病防治学、生物饵料培养。</p><p>就业方向：1、在各级海洋局、水产局。渔政局。出入境检验检疫局。环锯局等相羔政府部门事海,護水养殖管理。资源监察、水产品检验检疫。水生生物资源保护与修复等工怍:2。在高梭。科哥院所。技术推广站、水库湖泊管理。白然保护区等事业单憶从事教学、科研、技术推广和水生生物资源保护等工作;3、在国内外水产养殖、饲科、渔药企业从事生产管理。技术哥发,水产贸易等工作;4、也可以继续攻读水产养殖、冰生生物学及相美学科的硕士学位。</p>"
93_563064,93,563064,动物医学（小动物医学方向）,四年,农学学士,本科(普通),农学,动物医学类,"<p>培养目标：本专业以培养“厚基础、强能力、高素质、广适应”的兽医师为目标。本专业毕业
生应具有系统而深入的专业知识、具有较为宽广的自然科学和人文科学知识，具有创新意识和发
展潜力，适应性强，具有在兽医医疗、兽医管理与执法、兽医技术服务、兽医教育与科研及相关部
门从事动物医疗、执法监督、管理、教学、科学研究、技术服务等工作能力的专业人才。</p><p>培养要求：本专业学生主要学习基础兽医学、预防兽医学和临床兽医学的专业理论和专业知
识，接受动物疾病诊断、治疗、动物疫病防控、人畜共患病、动物源食品安全等方面的训练，具有动
物临床诊疗、防疫检疫、人畜共患病、动物源食品安全、动物保护、兽医执法等方面的能力，掌握实
验动物饲养管理、动物试验等方面的基本技能。</p><p>毕业生应获得以下几方面的知识、能力和素质：</p><p>1．素质要求</p><p>(1)拥护中国共产党、热爱祖国、热爱人民、遵纪守法、团结协作、坚忍不拔，具有良好的思想
品德和职业道德；</p><p>(2)具有较强的外语应用能力，能够熟练阅读和翻译专业外文资料，具有较强的计算机应用
能力，能够熟练操作常用软件；</p><p>(3)掌握文献检索和资料查询的基本方法；</p><p>(4)具有一定的调查研究、组织管理、口头与文字表达能力，具有一定的开拓创新精神和一
定的批判性思维能力；</p><p>(5)具有健康的体魄，达到“大学生体育锻炼合格标准”的要求。</p><p>2．知识要求</p><p>(1)系统掌握基础兽医学、预防兽医学和临床兽医学的专业理论和知识；</p><p>(2)熟悉兽医科学、医学、生命科学理论与技术的前沿和发展趋势；</p><p>(3)熟悉国家兽医科学和动物生产发展规划、动物疫病防控、人畜共患病、动物源食品安全、
动物及动物产品进出口检验检疫等有关方针、政策和法规；</p><p>(4)熟悉动物福利与动物保护的相关理论和知识；</p><p>(5)具有一定的自然科学和人文科学方面的知识。</p><p>3．能力要求</p><p>(1)掌握动物疾病诊断与治疗技术；</p><p>(2)掌握动物疫病与人畜共患病的防控技术；</p><p>(3)掌握动物及动物产品检验检疫技术；</p><p>(4)掌握兽药正确使用技术；</p><p>(5)掌握保障动物源食品安全与公共卫生等基本技能；</p><p>(6)具有实验动物及动物试验的基本技能；</p><p>(7)具有一定的科学研究能力。</p><p>主干学科：基础兽医学、预防兽医学和临床兽医学。</p><p>核心课程：动物解剖学、动物组织学与胚胎学、动物生理学、动物生物化学、兽医微生物学、兽
医免疫学、兽医药理与毒物学、动物病理学、动物传染病学、兽医流行病学、兽医寄生虫学、兽医内
科学、兽医临床诊断学、兽医外科学、兽医手术学、兽医产科学、中兽医学、动物性食品卫生学、兽
医公共卫生学、实验动物学、动物福利与动物保护、兽医法规等。</p><p>主要实践性教学环节：课程教学实验、临床实习和科研训练，具体包括课程实验（主要专业
课实验）、教学实习、生产实习、毕业实习、毕业论文（毕业设计）、科研训练、生产劳动、社会实
践等。</p><p>主要专业实验：动物解剖学实验、动物组织与胚胎学实验、动物生理学实验、动物生物化学实
验、兽医药理学实验、兽医毒理学实验、兽医微生物实验、兽医免疫学实验、动物病理学实验、动物
病理剖检学实验、动物尸体剖检动物传染病学实验、兽医寄生虫学实验、动物性食品卫生检验、兽
医公共卫生学实验、兽医内科学实验、兽医外科学实验、兽医外科手术学实验、兽医产科学实验及
兽医临床诊断技术实验等。</p><p>修业年限：五年/四年。</p><p>授予学位：农学学士。</p>"
93_3901,93,3901,动物药学,四年,农学学士,本科(普通),农学,动物医学类,"<p>专业简介:本专业是以动物药学基本理论为核心内容,对动物药品配方、生产、分析检测、营销、管理以及动物性食品安全、药物与毒素残留检测等相关知识和技能进行研究的动物医学、药学的交叉专业。它的基本任务是培养从事与动物药品研究与开发相关工作,具有创新精神和实践能力的复合型高级科学技术人才。本专业于2010年经教育部批准建立,目前具有专业教师10名,教授3名,副教授4名,其中具有博士学位者7人。动物药学立足于动物医学专业平合,依托兽医学重点学科,具有动物解剖与组织学实验室、动物生理生化实验室、动物病理及药理学实验室、动物预防医学实验宰、临床药学实验室、新兽药研发中心等教学和实验条件,注重产、学、研相结合。目前该专业教师主持或主要参加完成的科研成果有28项,获得国家发明专利12项,获得天津市科技进步和科技成果二等奖、三等奖</p><p>专业特色:本专业在天津市及周边省市建立了12个产、学、研教学实习基地,实验室具有满足本专业教学和科研的常规实验设备。通过药学理论学习和动物药品生产环节的实践、动物医学临床实践,对学生进行动物药学相关的实验、动物药品生产技.能的基本训练,使学生掌握动物药品生产与研发、分析与检</p><p>测、销售与技术服务以及动物疾病诊断与治疗等工作的基本能力</p><p>培养目标:本专业培养熟悉动物医学和药学的基础理论,掌握药学基本知识和基本技能,具备动物药品研制开发、生产管理、质量检验、残留分析、临床应用等方面能力的复合型专业人才</p><p>主要课程:家畜解剖学、家畜组织学与胚胎学、动物生物化学、动物生理学、兽医微生物学、药物化学、药物分析、兽医药理学、兽医病理学、兽医生物制品学、动物免疫学、动物毒理学、药用植物学、生药学、中兽医学、临床药物学、药物制剂学、中药制剂学、制剂设备学等。</p><p>就业方向:毕业生能在制药企业、保健公司、药监局、医药类政府管理部门、科研院所、高等院校、防疫站、现代化养殖场、动物医院等,从事与药学有关的药品生产与研发、检测与分析、经营与管理、教学与科研以及动物性食品安全检测等工作。</p>"
93_3892,93,3892,市场营销,四年,管理学学士,本科(普通),管理学,工商管理类,<p>业务培养目标：本专业培养具备管理、经济、法律、市场营销等方面的知识和能力，能在企、事业单位及政府部门从事市场营销与管理以及教学、科研方面工作的工商管理学科高级专门人才。 </p><p>业务培养要求：本专业学生主要学习市场营销及工商管理方面的基本理论和基本知识，受到营销方法与技巧方面的基本训练，具有分析和解决营销问题的基本能力。 </p><p>毕业生应获得以下几方面的知识和能力： </p><p>　　1．掌握管理学、经济学和现代市场营销学的基本理论、基本知识； </p><p>　　2．掌握市场营销的定性、定量分析方法； </p><p>　　3．具有较强的语言与文字表达、人际沟通以及分析和解决营销实际问题的基本能力； </p><p>　　4．熟悉我国有关市场营销的方针、政策与法规及了解国际市场营销的惯例和规则； </p><p>　　5．了解本学科的理论前沿及发展动态； </p><p>　　6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。 </p><p>主干学科：经济学、工商管理 主要课程：管理学、微观经济学、宏观经济学、管理信息系统、统计学、会计学、财务管理、市场营销、经济法、消费者行为学、国际市场营销、市场调查。 主要实践性教学环节：包括课程实习和毕业实习，一般安排10——12周。 </p><p>修业年限：四年 授予学位：管理学学士</p>
93_3894,93,3894,应用化学,四年,理学学士,本科(普通),理学,化学类,<p>业务培养目标：本专业培养具备化学的基本理论、基本知识相较强的实验技能，能在科研机构、高等学校及企事业单位等从事科学研究、教学工作及管理丁作的高级专门人才。 </p><p>业务培养要求：本专业学生主要学习化学方面的基础知识、基本理论、基本技能以及相关的工程技术知识，受到基础研究和应用基础研究方面的科学思维和科学实验训练，具有较好的科学素养，具备运用所学知识和实验技能进行应用研究、技术开发和科技管理的基本技能。 </p><p>毕业生应获得以下几方面的知识和能力： </p><p>　　1．掌握数学、物理等方面的基本理论和基本知识； </p><p>　　2．掌握无机化学、分析化学(含仪器分析)、有机化学、物理化学(含结构化学)、化学工程及化工制图的基础知识、基本原理和基本实验技能； </p><p>　　3．了解相近专业的-般原理和知识； </p><p>　　4．了解国家关于科学技术、化学相关产品、知识产权等方面的政策、法规； </p><p>　　5．了解化学的理论前沿、应用前景、最新发展动态，以及化学相关产业发展状况； </p><p>　　6．掌握中外文资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；具有一定的实验设计，创造实验条件，归纳、整理、分析实验结果，撰写论文，参与学术交流的能力。 </p><p>主干学科：化学 </p><p>主要课程：无机化学、分析化学(含仪器分析)、有机化学、物理化学(含结构化学)、化学工程基础及化工制图。 </p><p>主要实践性教学环节：包括生产实习、毕业论文等，一般安排10一20周。</p><p>修业年限：四年授予学位：理学或工学学士</p>
