special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
78_100139,78,100139,临床医学,五年,医学学士,本科(普通),医学,临床医学类,"<p>培养目标：本专业培养适应医药卫生事业发展需要，具有良好职业素养、初步临床工作能力、
终身学习能力和进一步深造基础，能在各级卫生保健机构在上级医师的指导与监督下，从事安全
有效的医疗实践的应用型人才。</p><p>培养要求：本专业学生主要学习自然科学、基础医学和临床医学方面的基本知识与基本理
论，接受临床技能、沟通技能等方面的基本训练，掌握初步的医疗、健康宣教、自主学习和终身学
习的能力。</p><p>毕业生应获得以下几方面的知识和能力：</p><p>1．掌握医学相关的自然科学、社会科学知识和方法，并能用于指导未来的学习与医学实践；</p><p>2．掌握基础医学相关知识，即生命各阶段人体的正常结构、功能和心理状态，掌握各种常见
病和多发病（包括精神疾病）的发病原因、发病机制、临床表现、诊断及防治原则；</p><p>3．掌握基本的药理知识和临床合理用药原则；</p><p>4．掌握正常的妊娠和分娩知识、产科常见急症处理方法、产前及产后的保健原则以及计划
生育的医学知识；</p><p>5．掌握临床流行病学的有关知识和相关科学实验方法，掌握健康教育、疾病预防与筛查的
原则，掌握缓解与改善疾患和残障、康复以及临终关怀的有关知识；</p><p>6．掌握中国传统医学的基本特点，了解中医的辨证论治等原则；</p><p>7．掌握传染病的发生、发展及传播规律，掌握常见传染病的防治原则；</p><p>8．掌握临床医学的基本知识和临床操作的基本技能，具备临床各科常见病、多发病的诊断
和处理能力，具备一般急症的诊断、急救及处理能力；</p><p>9．掌握临床思维分析方法，能够运用循证医学、预防医学原理指导医学实践；</p><p>10.具有一定的科学研究能力，能够结合临床实际，独立利用图书馆和现代信息技术研究医
学问题和获取信息，能够用一门外语阅读医学文献；</p><p>11.具有与病人及家属进行有效沟通的能力，具有与医生、护士及其他医疗卫生从业人员交
流沟通的能力，能够对病人和公众进行健康生活方式、疾病预防等方面知识的宣传教育；</p><p>12.熟悉医疗相关方针、政策和法规，理解全科医学和社区卫生政策；</p><p>13.了解医疗相关专业领域的最新前沿进展；</p><p>14.具备自主学习和终身学习的能力。</p><p>主干学科：基础医学、临床医学。</p><p>核心课程：人体解剖学、组织胚胎学、生理学、生物化学、病理学、诊断学、内科学、外科学、妇
产科学、儿科学。</p><p>主要实践性教学环节：临床见习、临床实习等。</p><p>主要专业实验：普通化学实验、生物物理实验、机能实验等。</p><p>修业年限：五年。
授予学位：医学学士。
【本专业为国家控制布点的专业】
1003  口腔医学类</p>"
78_3026,78,3026,药学,四年,理学学士,本科(普通),医学,药学类,<p>药学学科是以化学、生命科学、医学等相关学科为基础的一门综合性学科，其内容主要包括：药物发现、药物作用、药物传输、药物质量控制、药物临床应用和药物监管等方面的相关理论和科学技术问题。随着科技不断的发展，一些新兴学科如基因组学、蛋白质组学、代谢组学、化学生物学、结构生物学、信息学、社会管理学等不断渗入药学学科。</p><p>培养目标：培养具备药学学科基本理论、基本知识和实验技能、能在药品生产、检验、流通、使用和研究与开发领域从事药物分析、药物设计、药物合成，一般药物制剂及临床合理用药等方面工作的高级科学技术人才。</p><p>主要课程：无机化学、有机化学、分析化学、物理化学、计算机、物理学、药学基础化学实验、生理、人体解剖学、生物化学、微生物学、临床医学概论、药学专业实验、专业英语、药物动力学、生物统计、临床药理学、药理学、药剂学、生物药剂学、药物分析、药物化学、药事管理学、药用植物学、生药学、天然药物化学、波谱分析、色谱分析、新药设计等。</p><p>授予学位：理学学士学位  就业方向：医院药房、制药厂及医药研究所从事各类药物开发、研究、生产质量保证和合理用药等方面的工作。</p><p>就业率：近三年毕业生一次就业率达92%以上</p>
78_562033,78,562033,临床医学（“5+3”一体化）,五年,医学学士,本科(普通),医学,临床医学类,"<p>培养目标：本专业培养适应医药卫生事业发展需要，具有良好职业素养、初步临床工作能力、
终身学习能力和进一步深造基础，能在各级卫生保健机构在上级医师的指导与监督下，从事安全
有效的医疗实践的应用型人才。</p><p>培养要求：本专业学生主要学习自然科学、基础医学和临床医学方面的基本知识与基本理
论，接受临床技能、沟通技能等方面的基本训练，掌握初步的医疗、健康宣教、自主学习和终身学
习的能力。</p><p>毕业生应获得以下几方面的知识和能力：</p><p>1．掌握医学相关的自然科学、社会科学知识和方法，并能用于指导未来的学习与医学实践；</p><p>2．掌握基础医学相关知识，即生命各阶段人体的正常结构、功能和心理状态，掌握各种常见
病和多发病（包括精神疾病）的发病原因、发病机制、临床表现、诊断及防治原则；</p><p>3．掌握基本的药理知识和临床合理用药原则；</p><p>4．掌握正常的妊娠和分娩知识、产科常见急症处理方法、产前及产后的保健原则以及计划
生育的医学知识；</p><p>5．掌握临床流行病学的有关知识和相关科学实验方法，掌握健康教育、疾病预防与筛查的
原则，掌握缓解与改善疾患和残障、康复以及临终关怀的有关知识；</p><p>6．掌握中国传统医学的基本特点，了解中医的辨证论治等原则；</p><p>7．掌握传染病的发生、发展及传播规律，掌握常见传染病的防治原则；</p><p>8．掌握临床医学的基本知识和临床操作的基本技能，具备临床各科常见病、多发病的诊断
和处理能力，具备一般急症的诊断、急救及处理能力；</p><p>9．掌握临床思维分析方法，能够运用循证医学、预防医学原理指导医学实践；</p><p>10.具有一定的科学研究能力，能够结合临床实际，独立利用图书馆和现代信息技术研究医
学问题和获取信息，能够用一门外语阅读医学文献；</p><p>11.具有与病人及家属进行有效沟通的能力，具有与医生、护士及其他医疗卫生从业人员交
流沟通的能力，能够对病人和公众进行健康生活方式、疾病预防等方面知识的宣传教育；</p><p>12.熟悉医疗相关方针、政策和法规，理解全科医学和社区卫生政策；</p><p>13.了解医疗相关专业领域的最新前沿进展；</p><p>14.具备自主学习和终身学习的能力。</p><p>主干学科：基础医学、临床医学。</p><p>核心课程：人体解剖学、组织胚胎学、生理学、生物化学、病理学、诊断学、内科学、外科学、妇
产科学、儿科学。</p><p>主要实践性教学环节：临床见习、临床实习等。</p><p>主要专业实验：普通化学实验、生物物理实验、机能实验等。</p><p>修业年限：五年。
授予学位：医学学士。
【本专业为国家控制布点的专业】
1003  口腔医学类</p>"
78_562036,78,562036,护理学（助产方向，只招女生）,四年,理学学士,本科(普通),医学,护理学类,"<p>    培养目标：本专业培养具备较系统的护理学及相关的医学和人文社会科学知识，具有基本的
临床护理能力、初步的教学能力、管理能力、科研能力以及终身学习能力和良好的职业素养，能在
各类医疗卫生保健机构从事护理工作的应用型专业人才。
</p><p>    培养要求：本专业学生主要学习护理学及相关的医学和人文社会科学的基本理论、基本知识
和基本技能，接受临床护理及护理科研等方面的基本训练，具备为护理对象提供整体护理的基本
能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握与护理学相关的自然科学、人文社会科学、基础医学与临床医学的基本理论和基本
知识；
</p><p>    2．掌握护理学专业的基本理论、基本知识和基本技能；
</p><p>    3．掌握常见病及多发病的防治及护理原则；
</p><p>    4．具有应用护理程序为护理对象实施整体护理的基本能力；
</p><p>    5．具有初步配合急危重症患者的抢救和应急处理突发事件的能力；
</p><p>    6．具有与护理对象和相关专业人员有效沟通与合作的能力；
</p><p>    7．熟悉防治传染病以及突发公共卫生事件的基本知识；
</p><p>    8．熟悉不同人群卫生保健及健康促进的相关知识和方法；
</p><p>    9．了解国家卫生工作的基本方针、政策和法规；
</p><p>    10.了解护理学科的发展动态及趋势；
</p><p>    11.了解中医护理的基本知识及基本方法；
</p><p>    12.具有创新思维及评判性思维能力，树立终身学习、不断进行自我完善和推动专业发展的
理念；
</p><p>    13.具有初步的教学能力、管理能力及科研能力；
</p><p>    14.具有人道主义精神以及为人类健康服务的奉献精神；
</p><p>    15.具有尊重他人、严谨求实的工作态度及符合职业道德标准的职业行为；
</p><p>    16.树立依法执业的法律观念，具有在执业活动中保护护理对象和自身合法权益的意识和
能力。
</p><p>    主干学科：基础医学、护理学、人文社会学。
</p><p>    核心课程：人体解剖学、病理生理学、药理学、病原生物学、健康评估、护理学基础、内科护理
学、外科护理学、妇产科护理学、儿科护理学、精神科护理学、社区护理学及护理伦理学等。
</p><p>    主要实践性教学环节：包括一定量的教学实践（临床见习）以及不少于40周的毕业实习，以
确保学生获得足够的护理实践技能训练。实习科室包括内科、外科（含手术室）、妇产科、儿科、
急诊科、精神科等临床科室及社区卫生保健机构。此外，安排一定时间的科研训练以培养学生基
本的科研能力。毕业论文可以采取个案报告、综述、科研论文等多种形式。
</p><p>    在学习期间，还应安排一定量的其他社会实践活动，以培养学生的综合素质。
</p><p>    主要专业实验：包括基础医学实验和护理学专业技能实践两部分，主要有人体形态与机能实
验（包括解剖、生理、病理生理、药理、免疫等）、基础护理学技能实践、健康评估技能实践以及内
科、外科、妇产科、儿科、急救、精神科和社区护理等专科护理技能实践。
</p><p>    修业年限：四年。
</p><p>    授予学位：理学学士。
</p>"
78_3047,78,3047,基础医学,五年,医学学士,本科(普通),医学,基础医学类,<p>基础医学专业“朱宪彝”班实施“4+5”本硕博连续培养模式。凡符合推免生条件者，可全部进入硕士研究生培养，硕士第二学年可进入硕博连读研究生培养。</p><p>基础医学专业是天津市高等学校“十二五”综合投资规划战略性新兴产业相关专业。专业秉承“加强基础，注重创新，整体优化”的教育理念，实行小班授课、后期导师制，重点培养“基础扎实、创新精神强、实践能力强、综合素质高”的创新型复合人才。</p><p>培养目标：基础医学专业培养具有良好的科学素养、具有自然科学、 生命科学及医学科学基本理论知识、实验技能，具有从事基础医学教育和科学研究能力的高级专门人才。</p><p>主要课程：人体解剖学、组织学与胚胎学、细胞生物学、生物化学、生理学、医学微生物学、医学免疫学、人体寄生虫学、病理生理学、病理学、药理学、机能实验学、分子生物学、预防医学、医学遗传学、神经生物学等。</p><p>授予学位：医学学士，科学型博士学位（硕博阶段成绩合格并通过学位论文答辩者）方向：科研机构、高等学校以及临床有关实验室等与医学相关的科研、教学工作</p>
78_3045,78,3045,医学影像技术,四年,理学学士,本科(普通),医学,医学技术类,"<p>医学影像技术专业是医学影像学发展的需要，随着医学技术的不断进步，影像设备的数字化使病变显示更为清晰,尤其近年来数字化图像通讯的标准化，为远程图像传输、远程教学奠定了基础。也正是因为这些先进仪器的出现，促进了医学影像技术专业的发展，本专业培养掌握现代医学影像学基本原理和发展趋势，掌握医学影像信号采集、分析和处理技术，从事现代医学影像成像技术的研究和设备功能利用与开发、处理与分析医学影像学图像的专业人才。</p><p>培养目标：培养基础医学与相关临床医学知识较强，具有深厚医学影像学基础知识及能力，能在医疗卫生单位从事医学影像学各种检查技术等方面工作的专门人才。</p><p>主要课程：电子电工学、断层解剖学、影像解剖学、生理学、病理学、医学成像原理、计算机接口技术、医学图像处理、疾病概论、影像设备学、影像诊断学、医学影像检查技术等课程。 授予学位：理学学士</p>"
78_3043,78,3043,医学检验技术,四年,理学学士,本科(普通),医学,医学技术类,"<p>医学检验技术是一门多学科交叉的应用型学科，是运用现代物理、化学方法，实验室技术，借助高科技精密医疗仪器设备进行检测，对疾病的临床诊断、治疗监测和预后评估提供判断依据的一门学科。通过系统的学习，使学生具有基础医学、医学检验及医学检验技术等方面的基本理论知识和基本技术能力，并具有为临床提供及时准确检验结果的能力。随着现代医学理论迅速发展和检测技术方法学的创新,医学检验学不仅为临床提供充分的检验项目和可靠的数据，还结合临床进行学术交流和信息沟通，参与医学相关领域科学研究，在现代医学中具有重要的作用和地位。</p><p>培养目标：本专业旨在培养适应我国21世纪医药卫生事业现代化发展需要的德、智、体、美全面发展，具有基础医学、医学检验及医学检验技术相关临床医学等方面的基本理论知识和基本技术能力，能在各级医院、医学研究、血站、体外诊断试剂研发及生产等部门，从事医学检验及医学类实验室工作的医学检验专门人才。</p><p>主要课程：系统解剖学、细胞生物学、无机化学、有机化学、分析化学、生物化学、生理学、病理解剖学、医学统计学、临床医学概论、临床检验学基础、临床微生物学检验、临床免疫学检验、临床血液学检验、临床生物化学检验、临床寄生虫学检验、分子诊断学、临床检验仪器学、实验室管理学。</p><p>授予学位：理学学士</p><p>就业方向：在各级医院、医学研究机构、血站、疾病防控中心、体外诊断试剂研发及生产、医学独立实验室、商品检验机构、环境保护、海关检疫等部门，从事医学检验及医学类实验室工作。近三年毕业生一次就业率达95%以上，考研率在30%左右。</p>"
78_3048,78,3048,药物制剂,四年,理学学士,本科(普通),医学,药学类,<p>药物制剂学就是将药物通过特定的工艺制成规定的剂型，从而得到临床所需的药品的学科。根据《中华人民共和国药品管理法》第一百零二条关于药品的定义：药品是指用于预防、治疗、诊断人的疾病，有目的地调节人的生理机能并规定有适应症、用法和用量的物质，包括中药材、中药饮片、中成药、化学原料药及其制剂、抗生素、生化药品、放射性药品、血清疫苗、血液制品和论断药品等。药物制剂学解决了药品的用法和用量问题。</p><p>培养目标：培养具备药学、药剂学和药物制剂工程等方面的基本理论、基本知识和实验技能，能在药物制剂和制剂技术相关联的领域从事研究、开发、工艺设计、生产技术改进和质量控制等方面工作的高级科学技术人才。</p><p>主要课程：无机化学、有机化学、分析化学、物理化学、计算机、物理学、药学基础化学实验、正常人体学、生物化学、微生物学、药学专业实验、专业英语、药代动力学、工业药剂学、药理学、生物药剂学、药物分析、药物化学、工业管理学、药用植物学、生药学、天然药物化学、药用高分子材料学、制剂设备与车间设计、化工原理、化工仪表、科研设计、药物结构与制剂等。</p><p>就业方向：在药物制剂和与制剂技术相关联的领域从事研究、开发、工艺设计、生产技术改进和质量控制等方面工作。</p><p>就业率：近三年毕业生一次就业率达92%以上  授予学位：理学学士学位</p>
78_3049,78,3049,生物医学工程,四年,工学学士,本科(普通),工学,生物医学工程类,<p>生物医学工程是理、工、医相结合的边缘学科。它是运用现代自然科学和工程技术的原理和方法，从工程学的角度，在多层次上研究人体的结构、功能及其相互关系，揭示其生命现象，为防病、治病提供新的技术手段的一门综合性、高技术的学科。</p><p>培养目标：培养具备生物医学基础知识，掌握与生物医学工程相关的电子技术、计算机技术、信息科学的基本理论知识和技能，实践能力强，受过严格的科学实验训练，具备较强的知识更新能力和创新能力的高素质人才。毕业后可以在生物医学工程及相关领域从事科学研究、技术开发、服务、管理和教育等工作。</p><p>主要课程：高等数学、线性代数、工程数学、概率与统计、大学物理、英语；人体解剖学、生理学、生物学基础；计算机文化基础、程序设计与C语言、电路分析、模拟电子技术、数字电子技术、微机原理、单片机与接口技术、信号与系统、数字信号处理；生物医学工程导论、生物建模仿真。学生自主选择的专业课程模块：医学仪器、医学物理、医学神经工程、生物信息学，学生可以自主选择的主要专业课程有：生物医学电子学、医学电子仪器原理与设计、生物医学传感器，医学图像处理、医学成像系统，生物医学信号处理、神经工程基础，生物信息学、系统生物学等。</p><p>学制与学位：四年，工学学位。 就业方向：近几年毕业生有30%到985院校和科研单位上研究生；国家食品药品监督管理局、国家海关、省市相关的医疗器械检验所等政府机关和事业单位从事专利，专业标准制定，产品定标和检验；国内外大型企业医疗仪器公司如强生、飞利浦、美敦力、九安，理邦等的研发，销售和售后服务；三甲医院设备维护和管理，医院信息管理中心。 就业率：近三年毕业生一次就业率达95%以上</p>
78_3050,78,3050,生物信息学,四年,理学学士,本科(普通),理学,生物科学类,<p>生物信息学是研究生物信息从遗传信息载体到各层次生命活动的传递及其在生命科学和医学等领域应用的新兴学科。它通过综合运用数学和信息科学等多领域的方法和工具对生物信息进行获取、加工、存储、分析和解释，来阐明生物数据所包含的生物学奥秘。生物信息学已成为生命科学和医学等学科的重要组成部分和现代生物技术的关键核心领域，在解决人类面临的人口、健康、环境、粮食、资源、能源等诸多难题方面发挥着重要的作用。</p><p>培养目标：生物信息学专业培养具备生命科学和医学基础知识，掌握与生物信息学相关的信息科学、计算机科学、数学和生物技术的基本理论、知识和技能，实践能力强，受过严格的科学实验训练，具备较强的知识更新能力和创新能力，能在生物，制药及生物信息学相关领域从事科学研究、技术开发、服务、管理和教育等工作的复合型人才。</p><p>主要课程：高等数学、线性代数、概率与统计、大学物理、有机化学、物理化学、英语、计算机文化基础、程序设计与C语言；普通生物学、系统解剖学、生理学、免疫学；生物化学、细胞生物学、分子生物学；生物信息学、系统生物学、模式识别、计算机辅助药物设计、分子模拟、基因组学、基因工程、细胞工程等。</p><p>学制与学位：四年，理学学位。</p><p>就业方向：生物信息学专业毕业生就业面广，近几年毕业生有50%以上到强生、葛兰素史克、华大基因及诺禾致源生物信息科技等跨国企业或科技公司从事产品开发及产品检验等工作；或者到医院及医学检验机构从事生物检验及数据分析工作。有30%以上的毕业生到中国科学院、北京大学、浙江大学、上海交通大学及中国科技大学、美国亚利桑那大学、纽约大学等高校及科研单位攻读研究生。 就业率：近三年毕业生一次就业率达96%以上</p>
