special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
91_3794,91,3794,土木工程,四年,工学学士,本科(普通),工学,土木类,"专业简介：本专业为国家级特色专业、专业综合改革试点专业，国家首批一流专业建设点，通过国家工程教育专业认证；建有国家级实践教学基地、天津市级实验教学示范中心和一批具有行业特色的企业实习基地，为学生实习实践奠定坚实基础；拥有土木工程一级学科硕士学位授予权和土木水利领域专业学位工程硕士授予权，为学生提供了深造平台。
培养目标:培养适应国家现代化建设和经济发展需要，服务城镇化和城市现代化进程，德、智、体、美、劳全面发展；熟练运用基础理论和专业知识，具备获得土木工程及相关领域执业资格的能力；能在房屋、道路、桥梁、地下等相关行业独立承担技术或管理工作；具有创新意识、人文素养、社会责任感和一定国际视野，以及良好的组织管理、沟通协调能力；在终身学习、专业发展和领导能力上能够持续进步，成为土木工程及相关领域的复合型应用人才。包括：
目标1 履行并承担土木工程及其相关领域工程技术人员应尽的社会义务及责任，主动提高并展示自身社会服务职责、社会公德、人文科学素养和工程职业道德；
目标2 针对土木工程及其相关领域复杂工程实际问题，运用数学、物理、力学和工程科学等知识，经分析、判断和综合处理等过程，提出并践行工程解决方案；
目标3 应用分析与设计、施工与管理等专业能力，承担土木工程及其相关领域多学科背景下复杂工程项目设计、施工、管理等工作；
目标4 开展土木工程及其相关领域技术和服务工作，主动提高并展示多学科背景下沟通及跨文化条件下交流能力；
目标5 主动锤炼团队意识和终身学习能力，拓展自己知识和能力，追求新职业机会，适应不同环境赋予的工作任务，能够在不同岗位上做出贡献，获得自身持续发展。
培养要求：完成本专业学习后，应具备工程知识应用、问题分析、设计开发、研究、现代工具使用、工程评价、可持续发展评价、职业担当、团队协作、沟通、项目管理、终身学习等12个能力。
主要课程：材料力学、结构力学、工程地质学、土力学、土木工程材料、房屋建筑学、混凝土结构设计原理、钢结构设计原理、工程结构抗震原理、基础工程、土木工程施工技术与组织、桥涵水文、桥梁工程、路基路面工程、道路勘测设计、城市地下空间规划与设计、地下建筑结构、地下工程测试原理与监测等。
主要实践教学环节：大学物理实验、材料力学实验、土木工程材料实验、土力学实验、建筑结构试验、测量实习、生产实习、房屋建筑学课程设计、混凝土结构设计原理课程设计、房屋结构设计课程设计、钢结构课程设计、基础工程课程设计、土木工程施工组织课程设计、路基路面工程课程设计、桥梁工程课程设计、道路勘测课程设计、地下建筑结构课程设计、毕业设计等。
专业方向：
1.建筑工程方向
2.道路与桥梁工程方向
3.地下结构工程方向
就业方向：在土木工程相关部门（如房屋建筑、道路、桥梁、地下工程等）从事研究、项目勘察、设计、施工、测量、监理、规划、管理及教学等方面工作。
科类：理工类
基本修业年限：四年
授予学位：工学学士"
91_3792,91,3792,环境工程,四年,工学学士,本科(普通),工学,环境科学与工程类,"专业简介：办学基础是1978年建校之初成立的给水排水工程专业，多年发展形成了环境污染治理、环境监测与评价两个主要专业方向。所属一级学科环境科学与工程是天津市一流学科、天津市生态城市特色学科群的牵头学科，具有环境科学与工程一级学科硕士学位授权点和环境工程领域工程硕士授权点，建有天津市水质科学与技术重点实验室、化工废水源头减排与资源化工程技术中心、实验教学示范中心、基础设施防护和环境绿色生物技术国际联合研究中心。具有一支中青年教师为主、学缘结构合理的人才梯队，拥有教育部新世纪优秀人才、天津市特聘教授、天津市“131”创新型人才培养工程人才、天津市高校“领军人才”、“中青年骨干创新人才”等10人，博士学位教师占86%，并拥有一支“水处理理论与资源化技术创新团队”。培养了大批优秀的环境工程应用人才，本科毕业生就业率平均达93%以上，已为社会输送了18届共1635名毕业生，具有良好的社会声誉，并与与美国、日本、加拿大、澳大利亚、波兰等多个国家建立国际交流和签订人才联合培养项目。
培养目标：培养立足天津、面向全国、放眼世界，服务城镇化和城市现代化进程，培养德、智、体、美全面发展，系统掌握环境工程的基本理论，具备扎实的专业基础知识和工程实践能力，接受专业技能、工程设计等方面的基本训练，具备环境监测与评价、环境污染治理工程技术研究、开发与设计等方面的综合专业技能，具有创新精神和创业意识的复合型应用人才。
毕业要求：掌握数学、物理、化学、生物等方面的基本理论和基础知识，掌握水、气、声、固体废弃物的污染治理及环境监测、评价与规划等的基本理论和知识，接受环境工程师的基本训练；具备分析与解决环境问题的初步能力，同时具有进行环境工程的规划、设计、施工、运行、管理、检测、教学与研究开发的基本能力。
主要课程：水污染控制工程、大气污染控制工程、固体废物处理与处置、环境分析化学、环境工程原理、环境生物学、环境监测、环境评价与规划等。
主要实践教学环节：水污染控制工程设计、大气污染控制工程设计、固体废物处理与处置工程设计、认识实习、生产实习、毕业实习、毕业设计（论文）等。
就业方向：政府管理部门、规划设计部门、高等院校和科研院所、环保企事业单位从事环境工程的规划、设计、施工、管理、检测、教学和研发等方面工作。
科类：理工类
基本修业年限：四年
授予学位：工学学士"
91_3789,91,3789,建筑学,五年,工学学士,本科(普通),工学,建筑类,"科类：理工类
基本修业年限：五年
授予学位：建筑学学士
培养目标：建筑学的毕业生具备建筑设计、城市设计、室内设计、市政设计等方面的知识和专业技能，能在设计部门从事各项设计工作，在房地产部门从事建筑策划与管理工作，并具有多种职业适应能力的通用型、复合型高级工程技术人才。
培养要求：具备建筑师的职业道德和社会责任感，具有人文、艺术和社会科学基础、具有建筑工程方案设计和建筑施工图技术设计的能力。
主要课程：设计基础、建筑设计、建筑设计原理、中国建筑史、外国建筑史、力学与结构、建筑构造、建筑物理、建筑设备、计算机辅助建筑设计、城市规划原理、规划设计等。
主要实践教学环节：设计基础认识实习、专业美术综合实习、建筑设计调研、建筑技术实习、建筑测绘实习、模型制作实习、建筑师业务实习等。
就业方向：在设计院从事建筑设计、城市规划或在房地产开发企业从事房地产策划管理；在城市建设行政管理部门及政府下辖的相关职能部门从事城市建设实施管理与城市建设相关政策法规方面的研究工作；能在高等院校与研究部门从事建筑学教学与科研工作。"
91_3790,91,3790,城乡规划,四年,工学学士,本科(普通),工学,建筑类,"科类：理工类
基本修业年限：五年
授予学位：工学学士
培养目标：培养适应社会主义现代化建设需要，德智体美全面发展的，掌握城市规划设计的基础知识和基本理论，具备规划调研分析能力、规划方案设计能力，具有城市建设实施管理与城市发展战略研究的基本能力，能在城市建设的企事业单位（科研、设计和管理部门）从事技术和管理等工作，基础扎实、知识面宽、实践能力强、综合素质高、具有创新意识的应用型人才。
培养要求：学习城市规划、区域规划、城市生态与环境保护等基础理论知识，进行方案设计、城市规划师从业实践的基本训练。
主要课程：设计基础、建筑设计、城市规划设计、中外城市建设史、城市规划原理、城市设计原理、城市社会学、城市规划系统工程学、城市经济学、城市地理学、城市景观设计、城市生态与环境规划、城市道路与交通、地理信息系统原理、社会调查研究方法、城市工程系统规划、区域规划概论、历史文化遗产保护与旧城更新、城乡规划管理与法规等。
主要实践教学环节：设计基础认识实习、模型实习与空间感知、专业美术综合实习、日照分析实训、城乡社会综合调研、城乡社会综合实践、城乡管理实践、业务实习、毕业实习等。
就业方向：在城市规划或建筑设计院、房地产开发企业等部门从事设计与城市开发和房地产策划；在城市规划行政管理部门及政府所辖的相关职能部门从事城市建设实施管理与城市建设相关政策法规研究；在高等院校与研究部门从事城市规划教学与科研。"
91_3791,91,3791,风景园林,四年,工学学士,本科(普通),工学,建筑类,"科类：理工类
基本修业年限：四年
授予学位：工学学士
培养目标：培养掌握风景园林学科的基础知识和基本理论，具备风景园林规划设计与工程施工能力，能在园林规划设计与施工企业、房地产开发及政府管理等部门从事设计、施工与管理工作，具备基础扎实、知识面宽、实践能力强、综合素质高、有创新意识的应用型人才。
培养要求：学习风景园林规划与设计、园林植物、园林建筑、园林工程、生态学等方面的基础理论和基本知识，受到风景园林专业设计与施工的基本训练，具备能在风景园林规划、设计、施工、管理、教育、科研、开发等相关部门从事技术与管理工作的基本能力。
主要课程：设计基础、园林绿地规划与景观设计、园林树木学、园林花卉学、中外园林史、风景园林工程、风景园林建筑设计、风景园林艺术原理、生态学原理等。
主要实践教学环节：专业美术综合实习、设计基础认识实习、树木花卉认识实习、园林史实习、测绘实习、现代景观实习、综合实习。
就业方向：在园林、规划或建筑设计院所、房地产开发企业、园林绿化企业、高等院校及企事业单位等部门从事规划、设计、施工、养护、管理、教学等。"
91_3796,91,3796,港口航道与海岸工程,四年,工学学士,本科(普通),工学,水利类,"科类：理工类
基本修业年限：四年
授予学位：工学学士
培养目标: 培养掌握港口航道与海岸工程学科以及相关的工程管理、技术经济、人文科学等方面知识，具备计算机和外语的应用能力，获得工程师的基本训练，能在港口工程、航道工程、海岸工程、近海工程以及相近的水利工程、海洋工程、土木工程等领域从事规划、勘测、设计、施工、科研、技术开发、技术管理等方面的工作，具有广博的科学素养、深厚的人文素养、扎实的专业素养、创新探索精神和实践能力，具有一定国际视野的高素质复合型应用人才。
培养要求：学习港口航道与海岸工程方面的基本知识和基础理论，受到工程制图、计算机应用、结构设计、施工实践、专业实验等方面的基本训练，掌握工程施工、项目管理、工程设计、实验测试、科学运算等方面的基本能力，具备良好的道德、文化、专业、心理等方面的素质。
主要课程：工程制图、理论力学、材料力学、结构力学、水力学、土力学、工程地质、工程测量、工程材料、水工钢筋混凝土结构、工程水文学、海岸动力学、河流动力学、港口规划与平面布置、港口工程学、海岸工程学、航道工程学、水运工程施工、工程法规、工程经济、工程管理等。
主要实践教学环节：基础水力学实验、工程测量实验、土木工程材料实验、水工钢筋混凝土实验、土力学与地基基础实验、海岸动力学实验、河流动力学实验、港口水工建筑物试验、航道工程学试验、测量实习、地质实习、基础工程课程设计、水工钢筋混凝土结构课程设计、港口规划与平面布置课程设计、港口水工建筑物课程设计、水运工程施工课程设计、认识实习、生产实习、毕业实习、毕业设计等。
就业方向：在港口工程、航道工程、海岸工程、近海工程以及相近的水利工程、海洋工程、土木工程等领域从事规划、勘测、设计、施工、科研、技术开发、技术管理等方面的工作。"
91_3795,91,3795,交通工程,四年,工学学士,本科(普通),工学,交通运输类,"科类：理工类
基本修业年限：四年
授予学位：工学学士
培养目标：培养具有交通工程和系统规划、设计与控制等方面知识，获得从事现代城市和区域交通规划、设计的基本能力的高级工程技术人员。
培养要求：掌握交通工程项目规划、设计与管理方面的系统基本理论和基本知识技能，接受交通运输规划、管理与交通工程设计方面系统训练，具备在城市及城市内区域交通设计、管理及道路交通控制、交通管理系统软件的研制与开发、道路桥梁施工与管理及监理等领域工作的能力。
主要课程：运筹学，运输经济学，交通工程总论，交通规划原理，城市交通管理与控制，交通工程设计，交通安全工程，智能交通系统概论，路基路面工程，道路勘测设计等。
主要实践教学环节：测量实习，驾驶实习，交通调查实习，交通工程认识实习，交通综合课程设计，道路勘测实习，道路勘测课程设计，路基路面课程设计，毕业实习与毕业设计（论文）等。
就业方向：在国家与省市的发展计划部门、交通规划与设计部门、交通管理部门等从事交通规划设计、交通控制系统开发、管理等方面的工作。"
91_3793,91,3793,道路桥梁与渡河工程,四年,工学学士,本科(普通),工学,土木类,"科类：理工类
基本修业年限：四年
授予学位：工学学士
培养目标：培养掌握道路桥梁与渡河工程学科的基本理论和专业知识，具备道路桥梁与渡河工程的项目规划、设计、施工及管理的能力，能在交通、城建或其它部门的交通基建领域，从事勘测、设计、施工、监理、监控、管理和科学研究等方面工作，且基础扎实、知识面宽、实践能力强、综合素质高、具有研发能力和创新意识的复合型应用人才。
培养要求：掌握道路桥梁与渡河工程学科的基本理论和专业知识，接受道路桥梁与渡河工程的设计、施工、规划和管理等方面的系统训练，了解本学科前沿及发展趋势，具备较强的工程实践能力以及在道路桥梁与渡河工程设计、施工和管理等领域工作的初步能力。
主要课程：理论力学、材料力学、结构力学、工程地质、工程测量、土力学、水力学、桥涵水文、道路建筑材料、混凝土结构设计原理、桥梁工程、隧道工程、路基路面工程、道路勘测设计、基础工程、桥梁钢结构、桥梁结构抗震抗风设计、道路桥梁施工技术、路桥工程施工组织等。
主要实践教学环节：工程测量实习、桥梁工程生产实习、路基与路面工程生产实习、道路勘测实习、混凝土结构设计原理课程设计、桥梁工程课程设计、基础工程课程设计、路基与路面工程课程设计、道路勘测课程设计、路桥工程施工组织课程设计、毕业设计等。
就业方向：在道路工程、桥梁工程、隧道与岩土工程等规划、设计、研究、施工、教育、管理、投资、开发等部门从事技术或管理等方面的工作。"
91_3797,91,3797,城市地下空间工程,四年,工学学士,本科(普通),工学,土木类,"科类：理工类
基本修业年限：四年
授予学位：工学学士
培养目标：培养具备土木工程学科基本原理和基本知识，掌握城市地下空间工程专业的基本技能和知识，能在城市地下民用与商业工程、市政工程、岩土工程等领域从事设计、研究、施工与管理等方面工作的复合型工程技术人才。
培养要求：掌握数学、力学、工程材料、结构分析方面的基本理论和基本知识，接受力学分析、地下结构设计、施工技术与工程管理、文字图纸表达等方面的基本训练，掌握地下工程勘察、地下空间规划、地下结构设计、施工技术与管理等方面的基本能力。
主要课程：材料力学、结构力学、工程地质学、土力学、岩体力学与工程、工程地下水、混凝土结构设计原理、基础工程、城市地下空间规划与设计、地下建筑结构、地下工程施工、地下结构抗震原理、地下工程测试原理与监测等。
主要实践教学环节：大学物理实验、材料力学实验、土木工程材料实验、土力学实验、测量实习、工程地质实习、认识实习、生产实习、地下工程测试实习、毕业实习、混凝土结构课程设计、基础工程课程设计、城市地下空间规划课程设计、地下建筑结构课程设计、地下工程施工课程设计、毕业设计等。
就业方向：在城市地下铁道、地下隧道与管线、建筑基础工程、地下商业与工业空间等工程的设计、研究、施工等部门从事技术或管理工作。"
91_3799,91,3799,建筑环境与能源应用工程,四年,工学学士,本科(普通),工学,土木类,"科类：理工类
基本修业年限：四年
授予学位：工学学士
培养目标：掌握建筑环境与能源应用系统（如空调、制冷、供热系统）及相关城市公共基础设施（如热力、燃气）方面的基础理论和先进技术，从事建筑环境与能源应用系统的规划设计、施工、运行管理工作的复合型应用人才。
培养要求：掌握建筑物理环境和人工室内环境及城市相关设施方面的基本理论和基本知识，接受室内环境设备系统及城市公共基础设施系统设计、安装、调试、运行管理及特殊环境系统的研究开发等方面的基本训练，具有在本专业领域工作的初步能力。
主要课程：工程力学、机械设计基础、电工与电子学、流体力学、工程热力学、传热学、建筑环境学、热质交换原理与设备、流体输配管网、空调用制冷技术、锅炉及锅炉房设备、供热工程、空气调节工程、燃气输配、建筑设备自动化等。
主要实践教学环节：金工实习、认识实习、生产实习、毕业实习、制冷站与空调工程课程设计、供热工程课程设计、锅炉及锅炉房设备课程设计、燃气输配课程设计、毕业设计。
就业方向：在各类企、事业单位从事工业与民用建筑领域暖通空调，城市燃气和热力供应等公共设施的设计、施工、安装、调试、运行、管理等方面的工作。"
