special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
87_3559,87,3559,朝鲜语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>职业前景 </p><p></p><p>中韩自1992年建交以来，两国各领域关系发展迅速，现为战略合作伙伴关系。特别是2015年以来，双方签订自由贸易协定，两国在经济发展、企业运营、群众生活等方面交流更加广泛、深入。目前，双方共建立168对友好省市关系，仅在天津投资的韩国企业已超过三千多家，为韩语人才提供广阔的就业空间。 </p><p></p><p>2、  核心课程 </p><p></p><p>该专业开设的核心课程主要有：基础朝鲜语、高级朝鲜语、朝鲜语视听说、朝汉互译、朝鲜语语法、朝鲜文学作品选读、朝鲜半岛社会与文化、朝鲜文学史等。朝鲜语专业努力构建精品课程体系，其中“基础朝鲜语”为市级精品课程、“朝鲜语语法”、“中韩翻译”为校级精品课程程。 </p><p></p><p>3、  实践基地 </p><p></p><p>朝鲜语专业强化能力培养，积极搭建实践教学平台，先后与“三星通信”、“三星光电子”、“三星电机”、“LG公司”等近十个知名公司签约教学实践基地。选派学生参加“东亚运动会”等大型外事、外贸和文化交流活动，实地锻炼听说、翻译能力，开拓国际视野，提升综合能力。 </p><p></p><p>4、  部分就业单位 </p><p></p><p>近几年毕业生就业的主要单位有：外交部、天津市对外办公室、天津边检站、深圳边检站、珠海边检站、浙江公安边防总队、安全局、韩亚航空、大韩航空、韩国友利银行、韩国IBK企业银行、韩国产业银行、北京现代公司、天津三星电子公司、浦项制铁、LG公司等。 </p><p></p><p>5、  优秀毕业生介绍 </p><p></p><p>朝鲜语专业毕业生在各行各业绽放异彩，其中2005届毕业生朱志平毕业后考入北京大学法学硕士，现于哈佛法学院继续深造；2006届毕业生徐飞、2007届毕业生栗彦先后以优异成绩考入外交部，专业基础过硬，工作认真负责，深受领导与同事好评；2016届毕业生曾雪玲以优异的笔试和面试成绩考入北京大学韩国文学方向研究生。 </p>
87_104541,87,104541,日语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p>    培养目标：本专业培养日语语言文学专业基础扎实、人文背景深厚、日语综合技能较强、能熟
练运用日语从事外事、对日文化交流、教育、经贸、科技、军事等领域工作的应用型、研究型人才。
</p><p>    培养要求：本专业对学生进行全面的语言技能训练，要求其在日语听、说、读、写、译等方面达
到较高水平，同时要求学生学习日本的文学、文化、政治、经济、历史、社会等方面的基本知识，具
备对日交流交际的实践能力，具有运用专业知识发现、分析以及解决问题的能力和科学研究能
力，为学生毕业后适应各类工作岗位或进一步的学习研究打下基础。
</p><p>    毕业生应获得以下几个方面的知识和能力：
</p><p>    1．日语的理解和表达能力；
</p><p>    2．日语语言文学方面的基本知识；
</p><p>    3．与日语语言文学密切相关的日本文化、政治、经济、历史、社会方面的基本知识；
</p><p>    4．对中日交流的历史和现状，以及我国外交、教育、经贸、文化交流等方面的方针、政策和法
规有较为全面的了解和认识；
</p><p>    5．具有运用专业知识发现、分析、解决问题的能力，掌握创造性思维和科学研究的方法；
</p><p>    6．熟练运用日语进行交流和跨文化交际的能力；
</p><p>    7．具有较强的法制观念和诚信意识，具有国际化视野、跨文化交际意识，具有较高的文化素
养和文学艺术修养，具有求实创新精神，具有健康的体魄和健全的心理素质。
</p><p>    主干学科：外国语言文学、中国语言文学。
</p><p>    核心课程：
</p><p>    1．日语专业技能课程，包括基础日语、高级日语、听力、会话、阅读、写作、口译、笔译等。
</p><p>    2．日语专业知识课程，包括日本概况、日语概论、日本文学、日本文化、翻译理论等。
</p><p>    日语专业技能课程的学时应不低于专业教育课程学时总量的40 010，日语专业知识课程的学
时应占专业教育课程学时总量的35%左右。
</p><p>    主要实践性教学环节：本专业的实践性教学环节既体现在课堂教学中也体现在学生的课外
学习和实践活动中。课外学习和实践是课堂教学的延伸与扩展，是培养和发展学生能力的重要
途径。课外学习和实践活动应以课堂教学的内容为基础，激发学生的学习兴趣，培养学生的自主
学习能力、语言综合运用能力、组织能力、交际能力、思维能力和创新能力。此外，还应鼓励学生
积极参加与专业相关的各种实践（如涉外活动和教育实习）和社会实践活动。
</p><p>    修业年限：四年。
</p><p>    授予学位：文学学士。
</p>"
87_3582,87,3582,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>1、职业前景 </p><p></p><p>英语（国际新闻）专业是英语学院根据现代社会需求设立的特色专业，在提高学生英语基础理论和基本技能的基础上培养学生英语新闻写作、采编、评论等技能，使学生能够系统地了解新闻传播等领域的理论知识和业务知识。 </p><p></p><p>英语（英美文化）专业是英语学院的传统专业，旨在培养具有扎实英文基础、深厚人文知识和广阔社会视角的跨文化交际人才。本专业除开设提高语言技能的基础课程外，还开设了内容丰富的专业课程，为学生今后在文化交流、教育培训、涉外服务、旅游公关等多领域中从事翻译、教学、宣传、行政等工作以及在国内外继续深造打下了良好的基础。 </p><p></p><p>  </p><p></p><p>2、 核心课程 </p><p></p><p>专业品牌——国家级特色专业，天津市品牌专业；天津市级教学团队。 </p><p></p><p>专业名师——陈法春：教授，博士生导师，天津市教学名师，教育部高等学校教学指导委员会入选人员，天津市高校“中青年骨干创新人才培养计划”入选教师。 </p><p></p><p>核心课程——基础英语、高级英语、阅读、听力、口语、写作、英美文学、英语国家社会与文化、跨文化交际、学术论文写作、英语戏剧实践、西方美学通论、语言学、语言与社会、英语新闻采访、英语新闻写作、英语新闻编辑等。 </p><p></p><p>3、实践基地：中央电视台、天津电视台、渤海早报、天津市历史风貌建筑整理有限公司、海岸线国旅等。 </p><p></p><p>4、部分就业单位：中建一局、中海油、深交所、天津市第一中学等。 </p><p></p><p>5、优秀毕业生介绍： </p><p></p><p>2007届英语专业毕业生潘虹晓 </p><p></p><p>潘虹晓，2007年本科毕业后进入中央电视台财经频道工作，在职期间进入中国人民大学新闻学院研修研究生学位。 </p>
87_3580,87,3580,翻译,四年,文学学士,本科(普通),文学,外国语言文学类,<p>1、职业前景 </p><p></p><p>随着中国国际化程度的日益提高和对外交流与合作的日益活跃，国家将需要越来越多的高级专业翻译人才。为了满足对翻译人才的需要，培养更多较高素养的专门翻译人才，英语学院从2009年开始招收翻译专业本科生。该专业依托天津市普通高等学校实验教学示范中心“英语语言实验教学中心”的教学资源，为学生创造了良好的学习环境。该专业毕业生具备良好的英汉双语表达、沟通与转换能力，具有成为职业翻译工作者的从业实力、心理素质和职业道德素养，就业前景广阔。 </p><p></p><p>2、核心课程 </p><p></p><p>专业品牌——天津市品牌专业；首批天津市“高等学校专业综合改革试点项目”；“教育部高等学校翻译专业教学协作组”成员单位；第一批天津市普通高等学校实验教学示范中心建设单位；英语翻译教学团队为天津市级教学团队；天津市第一个本科翻译专业；全国规模最大的本科翻译专业人才培养基地；我国唯一同时荣获鲁迅文学奖和中国翻译事业杰出贡献奖的翻译教学单位。 </p><p></p><p>专业名师——林克难：教授，天津市政协委员，中国英汉语比较研究会常务理事，获“中国翻译事业杰出贡献奖”，曾获市级教学楷模称号，天津市社会科学优秀成果三等奖。 </p><p></p><p>项成东：教授，获天津市从事来华教育研究有重要贡献学者奖。全国语用学研究会、认知语言学研究会、语言哲学研究会、语言教育研究会理事，中国对外汉语修辞研究会副会长，曾入选省级“151人才工程”后备人选，省级“高校中青年骨干教师”。 </p><p></p><p>赵彦春：教授，博士生导师。天津市特聘教授。《世界诗学》主编、《世界语言》主编，兼任中国诗词协会名誉会长、中国语言教育研究会副会长。 </p><p></p><p>程幼强：教授，主持天津市精品课程，获天津市级教学成果二等奖，主编普通高等教育国家级规划教材，曾获天津市高校青年教师基本功大赛一等奖、天津市“技术创新先进个人”、天津市教卫系统“三育人先进个人”、天津市“三八红旗手”，获天津市“九五”立功奖章、“十五”立功奖章、“十一五”立功奖章、天津市“劳动模范”称号。 </p><p></p><p>  </p><p></p><p>核心课程——该专业的课程设置分为英语语言基础、国学、翻译基本技巧、文化意识培养、翻译场景实践、学术入门六个部分。核心课程为：基础英语、高级英语、英语写作、英语阅读、口语、听力、英汉翻译、汉英翻译、中级口译、同声传译、英语国家文化、英美文学选读、语言学概论、跨文化交际、论文写作、中外翻译基础理论、古代汉语、现代汉语、国学基础、汉语阅读与写作等。 </p><p></p><p>3、实践基地：意大利驻重庆总领事馆、三星电子、海南航空、冀东发展集团等。 </p><p></p><p>4、部分就业单位：德勤会计师事务所、中煤集团、聚龙集团、天津电视台等。 </p><p></p><p>  </p><p></p><p>5、优秀毕业生介绍： </p><p></p><p>2015届翻译专业毕业生秦士杰 </p><p></p><p>秦士杰，男，中共党员，英语学院2015届毕业生，现于北京大学攻读美国法律博士学位，获得北京大学研究生新生特等奖学金。本科期间曾获国家奖学金、天津市十佳大学生、天津市人民政府奖学金、天津市王克昌特等奖学金等。近三年来连续担任“外研社杯”全国大学生英语辩论赛全国总决赛特邀评委、地区决赛副总裁判长。 </p>
87_3553,87,3553,商务英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>1、职业前景 </p><p></p><p>随着中国与其他国家商务交往日益频繁，国家急需具备国际视野、熟悉国际惯例、精通国际贸易理论、外语能力强的应用型、复合型人才。正是基于“英语＋商务”这一理念，商务英语专业除开设英语专业必修课外，还开设国际贸易、国际金融、跨国公司人力资源管理三大方向的核心课程。该专业通过“校企结合”方式为学生提供实践机会，增强学生的就业竞争力。 </p><p></p><p>2、核心课程 </p><p></p><p>专业品牌——天津市战略性新兴产业相关专业；天津市级教学团队。 </p><p></p><p>专业名师——高嘉勇：商务英语学科带头人，教授，天津市教学名师。 </p><p></p><p>主干课程——英汉翻译、汉英翻译、口译理论与实践、英语公共演讲、商务谈判、英语商务实训、跨文化交际、国际商务英语、西方经济学、国际贸易实务、国际会计、国际金融、外贸函电、市场营销、跨国公司人力资源管理、管理学、外贸单证制作、货币银行学等。 </p><p></p><p>3、实践基地：：国家发展改革委员会宏观经济研究院对外经济合作办公室、天津银行、天士力集团等。 </p><p></p><p>4、部分就业单位：：中国银行、中国工商银行、渣打（科技）运营有限公司、阿联酋航空等。 </p><p></p><p>  </p><p></p><p>5、优秀毕业生介绍： </p><p></p><p>2008届毕业生孟蒙 </p><p></p><p>孟蒙，04年进入天外商务英语系，08年考入中国传媒大学文学院硕士研究生，09年参加快乐女声和麦克达人甜蜜派，获奖后完成全球音乐之旅，2014年申请到常青藤联盟校美国哥伦比亚大学东亚系继续攻读博士学位。 </p>
87_3587,87,3587,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,<p>1、职业前景（市场需求） </p><p></p><p>国际经济与贸易专业是天津外国语大学最早的非语言类专业，为天津市普通高等学校“十二五”综合投资规划“品牌专业”建设项目。该专业所依托的我校世界经济学科（研究生专业）为天津市重点学科。该专业在国际经贸领域有着良好的升学与就业前景。 </p><p></p><p>该专业授予经济学学士学位。毕业生可到政府部门从事外向型经济的管理工作，到各类涉外企业从事外贸进出口业务、报关及国际货物运输等国际物流业务，到各大工商企业从事对外贸易、市场营销、财务管理等经营管理工作及国际市场调研、策划、国际贸易纠纷调解等各类具体实务操作工作，到高等院校、科研单位从事教学及科研工作等。 </p><p></p><p>2、核心课程 </p><p></p><p>该专业的教学在一、二年级以基础课程为主，在三、四年级重点讲授国际经贸类专业课程。开设的课程主要有：国际经济学、宏微观经济学、计量经济学、国际贸易理论、国际贸易实务、国际贸易运输、国际物流、国际市场营销、国际技术转让与合作、金融学、国际金融学、货币银行学、证券市场与期货市场、财政与税收、会计学、统计学、管理学、国际商法等，同时还开设英语精读、英语阅读、英语口语、英语听力、商务英语、微积分、线性代数、概率论与数理统计、计算机应用等多门基础课程。该专业对部分经济类课程实行双语教学，部分课程引进英文原版教材。 </p><p></p><p>3、职业规划： </p><p></p><p>从扎实学好基础课程入手，初步了解国际经济与贸易行业，提高人际沟通能力与团队合作能力；做好由基础课程学习向专业课程学习的过渡，提高专业基本素质，强化外语能力，为职业发展确定方向；提高职业素养，整理海内外高校求学信息或考研信息、就业企业信息，向职业生涯目标加速；围绕职业生涯规划的阶段目标进行冲刺，达到个人期望，获得出国深造offer或考研、就业成功。 </p><p></p><p>4、实践基地 </p><p></p><p>本专业的校内实践基地为经济管理实验教学中心，是天津市普通高等学校实验教学示范中心建设项目。本专业实践基地合作的国内企业主要包括：天津乾海国际货运代理有限公司、大美网络科技有限公司、天津崇信企业管理咨询有限公司等。 </p><p></p><p>5、部分就业单位 </p><p></p><p>有多人考取国内外著名高校，如伦敦政治经济学院（英国金三角名校、G5超级精英大学）等，并有多人进入普华永道、中国银行、中国远洋集团等国内外知名企业。学生在国际经贸领域具有良好的升学和就业前景。 </p><p></p><p>6、优秀毕业生介绍 </p><p></p><p>李涵，国际经济与贸易2012届毕业生，现就职于英国驻广州总领事馆。 </p>
87_3586,87,3586,国际商务,四年,管理学学士,本科(普通),管理学,工商管理类,<p>1、职业前景（市场需求） </p><p></p><p>目前，我国及天津国际商务人才需求旺盛。据统计，目前在世界500强企业中已有150多家在津投资，实际直接利用外资早已突破百亿美元大关，各类外商投资企业、中外合资企业等涉外企业发展迅猛。本专业的特色方向为跨境电商。当前，新的外贸形式——跨境电子商务成为中国进出口贸易中增长最快的领域。依托自贸区的优势，天津跨境电商行业发展迎来了新的契机。 </p><p></p><p>该专业授予管理学学士学位。毕业生可到跨境电商企业、从事国际货物与服务贸易的跨国公司，从事新兴制造业、现代服务业、跨国投资与外包行业的外向型企业，以及政府部门、国际组织、贸易与投资促进机构、教育科研机构等从事国际商务经营管理及教育、研发工作，也可到企业中担任总裁企划顾问，担任市场部、发展规划部、人力资源部或公关部等职能部门经理，从事国际市场营销方案制定、项目规划与投资、投资资金管理等知识管理工作以及国际商法事务等相关工作。 </p><p></p><p>2、核心课程 </p><p></p><p>该专业的教学在一、二年级以基础课程为主，在三、四年级重点提升适应跨文化沟通的创新型、应用型国际商务专业知识与技能。本专业开设的核心课程主要包括：电子商务、国际贸易、国际贸易实务、国际营销学、跨国公司管理、国际金融、国际商法、国际商务谈判、物流与供应链管理、微观经济学和宏观经济学等。 </p><p></p><p>3、职业规划： </p><p></p><p>从扎实学好基础课程入手，初步了解国际商务专业属性及就业领域，提高人际沟通能力与团队合作能力；做好由基础课程学习向专业课程学习的过渡，提高专业基本素质，强化外语能力，为职业发展确定方向；提高职业素养，整理海内外高校求学信息或考研信息、就业企业信息，向职业生涯目标加速；围绕职业生涯规划的阶段目标进行冲刺，达到个人期望，获得出国深造offer或考研、就业成功。 </p><p></p><p>4、实践基地 </p><p></p><p>本专业的校内实践基地为经济管理实验教学中心，是天津市普通高等学校实验教学示范中心建设项目。本专业实践基地合作的国内企业主要包括：大美网络科技有限公司、天津乾海国际货运代理有限公司、天津崇信企业管理咨询有限公司等。 </p><p></p><p>  </p>
87_3578,87,3578,金融学,四年,经济学学士,本科(普通),经济学,金融学类,<p>1、职业前景（市场需求） </p><p></p><p>    随着我国金融市场的日益繁荣，居民财富水平不断上升，市场对各类金融、投资、理财人才的需求逐年增加。本系开课程适应市场需求，重视理论与实务高度结合，外语与专业相结合的培养特色，培养具有扎实的金融学理论基础，掌握银行、证券、保险、投资等金融业务与创新的前沿理论和实务的专业人才 </p><p></p><p>2、核心课程 </p><p></p><p>    目前本系设有国际金融、理财规划两个专业方向，开设宏观经济学、微观经济学、中央银行学、国际金融、商业银行经营与管理、投资学、金融工程、证券投资学、个人理财学等30余门专业课程及金融市场学、公司金融等10余门中英双语课程。 </p><p></p><p>3、职业规划： </p><p></p><p>    本系学生一、二年级主要修读公共课和专业基础课，通过英语四六级考试。三、四年级修读各类专业必修课及专业选修课程，并在科研导师的指导下做专业学术论文，提高理论水平和科研能力，同时也可选择考取证券从业资格证、理财规划师、信用管理师、贵金属分析师等各类专业资格证书，增加就业竞争力。 </p><p></p><p>4、实践基地 </p><p></p><p>    本系与天津市理财业协会、申银万国证券、中国银行等金融机构和部门共建良好的学生实践基地，同时也积极引进国内先进设备，与国内一流金融研究数据提供商合作开发，建有金融综合实验研究中心、商业银行仿真实训实验室和投资理财专业实验室等专业实验室。 </p><p></p><p>5、部分就业单位 </p><p></p><p>    学生毕业相继进入金融管理局、汇丰银行、渣打银行、星展银行、渤海证券、海通证券、德勤、毕马威等国内外知名企业和政府机构工作，也有多名学生考入北京大学、厦门大学等知名学府攻读研究生。 </p><p></p><p>6、优秀毕业生介绍 </p><p></p><p>    张旭辉，金融学专业2013届毕业生，现就职于招商银行天津市分行。 </p>
87_3571,87,3571,法语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p>1、职业前景 </p><p></p><p>目前，全国开设法语的高校达到103所，还有很多高中在陆续开设法语班，法语势头正劲，这主要得益于其就业前景的一片大好。一方面，中法关系趋于稳定，法国需要中国拉动内需，而处于经济转型期的中国也同样需要法国的支持，更何况法国在“一带一路”的辐射区内。双方都发表声明表示愿意在文化、环保、教育、能源等方面加强全面战略伙伴关系。另一方面，非洲经济迅速崛起，是一个潜在的经济增长极，已成为吸纳法语毕业生的主要劳动市场。 </p><p></p><p>“一带一路”的设想表明在信息时代的国家，其战略都离不开与世界的沟通交流与合作，而作为载体的语言在此扮演了一个至关重要的角色。未来的五年，世界一体化进程将在广度和深度方面得到更加迅猛地发展，随着近年中国大型企业在海外的投资增加，市场对小语种专业学生的需求量大增。但是这种增加也具有一种新常态，而且日趋明显，那就是由以往对单一掌握小语种能力的需求转化为“多语种+专业+国际视野”的复合型人才的需求。就拿法语来说，当下比较流行的奢侈品、高级糕点、旅游管理等行业需要大量的优秀毕业生。 </p><p></p><p>中建、中土、中石油、华为等大机构先后入驻非洲，对法语人才的需求也是与日俱增，对精通桥梁、建筑、医学、通讯等方面的翻译人才更是求贤若渴。中非关系的稳定和日益深化的双边关系是坚实的保障。 </p><p></p><p>在中国经济大国地位日益得到巩固的同时，中国文化“走出去”的呼声也愈来愈高。建设社会主义文化强国的战略任务是中国提高文化软实力的支撑，也是对外语类人才史无前例的考验。法国和中国都是举世公认的文化大国，但是国学在法国鲜为人知，相反，法国的文化大家在中国耳熟能详，在如此的“文化贸易逆差”面前，法语专业学生有责任、有义务承担起中国文化输出的时代使命。 </p><p></p><p>外交部、商务部、中联这些的政府机关，以及各省市的外事部门每年也需要很多法语毕业生。此外，标致、米其林、欧尚、神龙等法资企业也吸纳一部分法语毕业生。 </p><p></p><p>总之，法语专业就业前景很好，就业面甚广，从政府机关到私营机构，从大学教师到法语导游，从非洲到中国，到处都可以看见法语毕业生的身影。 </p><p></p><p>2、核心课程 </p><p></p><p>法语专业创建于1974年, 拥有硕士学位授予权。该专业师资力量雄厚，现有教授2人、副教授1人、讲师9人，法国外教1人。专业研究方向为法国文学、翻译理论与实践和法国学。MTI设有口、笔译方向。 </p><p></p><p>该学科为我校重点学科。该专业的核心课程：基础法语，高级法语、法语听说、法语高级视听说，法语口译、法语笔译、法语写作、法国文学、法语专题讨论、法国概况。 </p><p></p><p>3、职业规划： </p><p></p><p>四年制本科学习分为基础阶段和高年级专业阶段。基础阶段为一至二年级：通过法语基础课程的学习掌握法语的发音、变位、句法、语法，初步具有听、说、读、写的能力和交际能力，养成良好的学风，坚持晨读、听力和背诵，为高年级的学习打下坚实的基础。高年级专业阶段为三至四年级：在夯实基础、吃透语法之后，逐渐了解法国的文化、社会、政治、经济概况，不断扩大知识面，有意识地加强跨文化交际能力。在提高语言技能的同时，结合理论与实践提高学生的口笔译能力，内容涉及经贸、管理、旅游等方面，使学生毕业时能够胜任以法语为工具的翻译、教学等工作，并具有基本的英语工作能力和较好的汉语表达能力以及初步的科研能力。 </p><p></p><p>4、实践基地 </p><p></p><p>该专业现有两个实践基地：1.天津外大翻译中心  2.天津泰达集团有限公司 </p><p></p><p>5、部分就业单位 </p><p></p><p>中国水利水电第十四工程局、中国建筑阿尔及尔分公司、特变电工股份有限公司新疆线缆厂、北京客运物流有限公司、中兴通讯股份有限公司 </p><p></p><p>6、优秀毕业生介绍 </p><p></p><p>皮爱宽，男，中共党员，法语系2007届优秀毕业生，曾外派马赛总领馆、塞内加尔使馆，现外交部政策司综合处随员。 </p>"
87_3558,87,3558,德语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>专业介绍—— </p><p></p><p>1、职业前景 </p><p></p><p>基于合理的专业课程设置，该专业学生深受用人单位的欢迎。就业前景目前较为乐观。毕业生大多数进入德企（如大众汽车、西门子公司等）、国企（如天津港（集团）有限公司）、政府部门（如出入境管理局、海关等）。另有部分毕业生或出国深造，或考取国内知名高校硕士研究生，如北京大学、北京外国语大学、上海外国语大学、中国外交学院等。 </p><p></p><p>2、核心课程 </p><p></p><p>德语专业创建于1975年，目前拥有硕士学位授予权。该专业拥有高职称、高学历、高水平的师资队伍，目前在职教师11人，教授2人，副教授4人，讲师5人，均曾受德意志学术交流中心或国家留学基金委资助赴德语国家留学进修，5人获得博士学位，1人正在攻读博士学位。教师的科研方向集中在德汉翻译理论与实践、德语文学、德语教学法、德国文化学等方面。目前该系教师主持国家级社科项目一项，以及省市级别多项科研项目。我系自身拥有学术性硕士学位以及口笔译专业硕士（MTI）授予权。毕业生可获得中德双方硕士学位，攻读研究生期间有机会获得奖学金资助。 </p><p></p><p>专业课程《基础德语》为天津市市级精品课程。基础德语、德语视听说、高级德语、翻译导论、德语国家概况、经济德语、德语国家文学史、跨文化交际、德语国家历史、新闻外交翻译。 </p><p></p><p>3、职业规划： </p><p></p><p>在基础阶段（第一及第二学年）除对学生进行基础语言技能如听、说、读、写的系统性训练。专业课程《基础德语》为天津市市级精品课程。高级德语阶段（第三及第四学年）可在本校继续学习经济德语相关课程，也可在通过选拨考试成绩合格后，到德国交换学习一年。学习的内容涵盖语言、文化、文学及经济等方面。第四学年可以在符合学校规章制度的条件下实习，同时完成毕业论文。优秀毕业生可继续出国深造，或被用人单位留用。 </p><p></p><p>本系的优秀毕业生也可考取或被推荐为我系的硕士研究生。我系自身拥有学术性硕士学位以及口笔译专业硕士（MTI）授予权。学术型硕士方向为德语教学法和德语文学，在读期间有获德国学术交流中心奖学金机会，赴德短期进修。该专业方向的毕业生可进入高校从教，继续从事学术研究。德语口笔译专业硕士（MTI）与德国西萨克森应用科技大学合作办学，学生在读期间可获得奖学金资助在德国进修一年。毕业后可获取双方大学研究生学历。该方向毕业生以进入德资企业工作为主。 </p><p></p><p>4、实践基地： </p><p></p><p> 西门子机械传动（天津）有限公司、歌德学院天津分院等 </p><p></p><p>5、部分就业单位： </p><p></p><p> 西门子机械传动（天津）有限公司、德国图书信息中心北京分 部、一汽—大众汽车有限公司、中国银行（国际部）、北京航空航天大学 </p><p></p><p>6、优秀毕业生介绍 </p><p></p><p>张舒，北京外国语大学外国文学研究所在读硕士，曾经担任任国际奥委会主席巴赫先生的口译，赴柬埔寨支教，获校级优秀学生干部、优秀毕业论文等称号与奖项。 </p>
