special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
60_1950,60,1950,建筑学,五年,工学学士,本科(普通),工学,建筑类,<p>建筑学</p><p>学院网址：http://hgw022072.chinaw3.com</p><p>咨询电话：022-27404491</p><p>2.1．1专业特色</p><p>建筑业是社会经济发展的支柱产业，我国快速的城镇化进程带来对建筑业的旺盛需求。建筑学是一门横跨人文、艺术和工程技术的综合学科，主要研究建筑、城市及其空间布局，为人类的生产、生活提供适宜的空间环境，同时满足人们对审美的需求。其中涉及社会经济、政治、文化、艺术、历史、宗教，以及人的生理、心理、审美、社会行为等多个人文艺术和社会科学领域，以及结构、材料、施工、工艺、物理环境等自然科学和工程技术领域。因此，建筑学专业注重全面拓展学生的知识结构，综合提高学生的创造性思维、空间想象力、艺术造型和表现能力，培养具有创新精神和实践能力的高级专门人才——建筑师。</p><p>天津大学建筑学专业，1991年首批通过国家建筑学专业教育评估，后均以优秀级通过。2001年建筑设计及其理论二级学科被评为国家级重点学科，2007年成为国家一级重点学科，此后历次学科评估中均位列全国前三甲。</p><p>2.1.2 培养目标</p><p>本专业致力于培养理论基础厚、专业口径宽、实践能力强、综合素质高，国际视野与本土思维相结合的创新型建筑设计领军人才。本学生毕业后授予建筑学学士学位，主要从事建筑设计、城市建设与管理、房地产开发等领域的工作，如奥运国家体育场、国家游泳馆、国家大剧院、北京南站等国家重大工程主持人均为本校建筑学专业毕业生。</p><p>2.1.3 核心课程</p><p>本专业的课程设置主要包括：建筑概论、美术基础（素描、色彩）、建筑制图与表达、建筑设计、场地设计、外国建筑史、中国建筑史、建筑设计原理、设计分析、环境心理学、建筑力学与结构、建筑物理与设备、建筑构造、建筑经济、建筑师业务等专业核心课程，以及测绘实习、施工实习、生产实习等实习和实践环节。</p><p>2.1.4 合作交流</p><p>建筑学专业十分重视国际合作与交流，先后与美国、英国、德国、法国、加拿大、意大利、日本、澳大利亚等全球50多所知名建筑院校建立了长期稳定的交流与合作关系。通过广泛开展学生的交换培养、师生互访、联合教学、暑期课堂、作业联展等不断提高专业教育的多元性和开放性，每年都有师生派往国外知名院校学习深造，同时还接纳来自世界各地的留学生和海外研修生。此外，还与联合国教科文组织，以及英国威尔士低碳研究院、澳大利亚国立大学可持续能源系统研究中心等国际领先的研究机构，建立了紧密的合作伙伴关系，并共同组建“中国历史文化遗产保护国际研究中心”、“低碳建筑国际研究中心”两个国际研究中心，通过国际科研项目合作、定期举办学术讲座、主办国际会议等多种形式的学术交流活动，不断提高科研水平和全球影响力。</p>
60_1971,60,1971,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>培养目标：培养适应国家经济发展需要的，德智体能全面发展的，具备机械设计制造基础知识及工程能力，具有社会责任感和创新意识，能够在机械工程及相关领域从事产品开发、设计制造、组织管理、科学研究等工作的高级专门人才。</p><p>培养要求：通过系统学习和训练，毕业生应获得以下几方面的知识和能力：1. 掌握扎实的数学和自然科学基础知识;2. 具有较好的人文社会科学素养和较强的语言文字表达能力;3. 具有社会责任感和职业道德；4. 掌握扎实的机械工程基础知识和专业知识；5. 具有对于机械工程问题进行系统表达、建立模型、分析求解的能力；6. 具有本专业必要的工程设计、实验检测、系统控制等工程实践能力；7. 具有较强的组织管理能力和团队合作能力；8. 具有创新意识和初步的科学研究及技术开发能力；9. 具有终生教育的意识和继续学习的能力。</p><p>核心课程：理论力学、材料力学、工程流体力学、工程热力学，工程图学、机械原理、机械设计，工程材料及其成型技术基础、机械制造技术基础、计算机辅助设计与制造、先进制造技术实验，机械控制工程基础、机械工程测试技术基础、机电控制技术实验课程设置 (点击链接到学院课程体系)</p>
60_2007,60,2007,材料成型及控制工程,四年,工学学士,本科(普通),工学,机械类,<p>材料成型及控制工程</p><p>学院网址：http://mse.tju.edu.cn　</p><p>咨询电话：13207616027</p><p>在国家同类专业方向中，排名前两名</p><p>始建立于1952年，是全国最早成立的材料成型及控制类专业之一</p><p>国家“211工程”和“985工程”重点建设学科（材料加工工程）</p><p>国家一级重点学科（材料科学与工程）和国家二级重点学科（材料加工工程）</p><p>国务院学位委员会首批批准建立博士、硕士学位授予单位</p><p>2013年通过国际工程教育专业认证</p><p>教育部卓越工程师培养计划专业</p><p>专业特色</p><p>本专业学科创建于1952年，是国内最早建立的相关专业之一，是国家首批硕士、博士学位授权单位和天津市首批重点学科；学科设有博士后流动站。学科经过多年努力在材料加工工程研究领域取得许多研究成果，并形成了以高性能材料连接机理及物理过程、新型连接材料研制开发、结构完整性评价、材料加工自动化与智能控制及表面工程技术为研究方向的综合性学科，近年来又形成了面向海洋工程、航天与航空工程的优势研究方向，其学术、科研水平和研究成果在国内高校处于领先地位。近几年，在海洋工程技术及装备和航空航天技术等领域取得了具有世界领先水平的科研成果。</p><p>多个学科交叉：本专业以物理学、化学、计算机技术等为基础，掌握机械工程、电气工程、材料工程等学科的综合性知识，在许多方面对这些相关学科知识的吸收和融合程度并不亚于这些学科本身，学生知识面宽广，适应能力强。</p><p>处于国家重大需求关键技术研发的前沿：航空航天、能源、海洋工程等是国家实力重要关键的发展领域，其发展对于极限使用条件下的材料加工及成型技术提出了很高的要求，需要以勇于创新的精神开发研究具有自主知识产权的成果和技术，增强国家实力。科学研究与技术创新的相辅相成：在科学研究基础上进行技术创新是本专业学科特征之一，新材料的应用需要新的加工应用技术，要首先展开应用技术基础理论原理的科学研究，然后进行技术创新，开发新的应用技术。</p><p>培养目标：</p><p>本专业主要面向能源、航空航天、电子电器、机械制造、海洋工程等国家关键产业，培养能适应社会、经济、科技发展需要，掌握坚实的基础理论、系统和先进的材料加工专业知识，具有优良的科学素养和人文素质、良好的自主学习能力、创新精神和实践能力、较强的工艺设计和产品设计能力的高级专门人才，毕业后能在材料加工技术与工程领域从事工程设计、装备研发、技术开发、生产及管理等方面工作。</p><p>核心课程：</p><p>材料成型原理、传输原理、材料加工自动化、材料测试分析方法、无损检测技术、材料成型方法及工艺、弧焊电源及控制、材料成型结构设计、金属材料焊接、金属学、固态相变、材料加工导论等。</p><p>师资力量</p><p>师资力量雄厚，有国家“千人计划”1名，天津市“千人计划”1名；教授13名，副教授6名，高级工程师1名，讲师11人，工程师1名；博士生导师12名，硕士生导师30名。其中，单平教授曾连任两届天津大学校长（1997～2006）及我国国家级学会两届理事长，陆国权教授为国家“千人计划”引进人才，专业还拥有教育部各类人才计划入选者5人。</p><p>国际合作：</p><p>先后接待美国弗吉尼亚理工大学、日本大阪大学、澳大利亚南澳大学等国外知名高校专家学者前来访问和交流，建立了长期稳定的学生与学术交流关系。2008年，以本专业为主体主办了亚太地区学术交流会；本专业的教师、研究生和本科生也经常出国参加学术交流活动，其中有一半以上的教师曾在国外留学或长期访问。</p><p>深造及就业：</p><p>可从事材料加工工程、机械、电气控制、计算机应用、质量检测等多领域的高新技术产品研究、设计开发、企业管理等工作，是国民经济各工业部门、航空航天、高等院校，科研院所、高新技术公司、三资企业等适用的、面向二十一世纪的宽专业面综合型的人才。本专业成绩优秀的毕业生可免试攻读本校及外校研究生，近年来，该专业本科毕业生选择读研的比例在45%左右，并有10%左右的学生选择出国深造。借助本专业在国内学术界和企业界良好的声誉与巨大的影响力，本专业毕业生不仅保持了极高的就业率，也保持了很高的就业质量，本科生就业于设计院、研究单位、央企、国家大型企业及外企，研究生就业几乎都在设计院、研究单位和央企，就业形势保持良好。</p>
60_1998,60,1998,港口航道与海岸工程,四年,工学学士,本科(普通),工学,水利类,<p>1.1专业特色：本专业创建于1951年，天津大学是国内最早设置此专业的院校之一。</p><p>本专业为国家重点学科，是国务院学位委员会首批硕士和博士学位授予单位，设有水利工程博士后流动站。</p><p>本专业是国家首批特色专业，“卓越工程师培养计划”专业。</p><p>我国有漫长的海岸线，改革开放以来沿海地区的经济、文化和科学技术得到迅速发展，对海岸地区资源的合理开发利用和水上运输的发展，提出了日益增长的需求。伴随着我国“一带一路”战略的实施，本专业人才培养要求越来越高。</p><p>1.2培养目标与就业：培养适应国家现代化建设需要和具有国际竞争力的海港和海岸建设的高级工程技术人才和管理人才。</p><p>毕业生具有深厚的理论基础，宽广的专业知识和较强的工作和创新能力，并具有国际工程管理知识和国际视野。学生毕业后主要从事港口与航道工程及其他相关行业的勘察、设计、施工和管理工作，主要在交通系统所属的设计院、工程局、港务局、投资与开发等部门从事设计、施工、管理、研究、教育等技术与管理工作。本专业毕业生就业薪资水平处于同类行业前列。</p><p>1.3核心课程：重点学习理论力学、材料力学、结构力学、工程测量、工程地质、土力学与地基、水力学、工程水文学、钢筋混凝土结构、钢结构、海岸动力学、港口水工建筑物、港口规划与平面布置、渠化工程、工程项目管理、国际工程项目管理等专业基础课和专业课。　</p><p>1.4合作交流：本专业与国内外著名大学和研究机构保持着长期和多方面的学术联系与交流。每年均有交流生前往美国、英国等境外高校学习。</p><p>本专业学生免试推荐就读国内高水平大学研究生比例30%以上，就读国外高水平大学研究生比例10%以上，全部学生读研深造率超过50%。</p>
60_1994,60,1994,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>专业特色：工商管理专业在2008年被教育部确定为国家级特色专业建设试点，2010年被天津市教委确定为市级高等学校品牌专业。在同类985院校工商管理专业中首次提出并实践 “夹层制”实践教学人才培养模式。培养计划为：将本科生四年制教育整体分为四个阶段，学生入学后先在学校里修完二年的课程，然后到企业工作实践半年，通过在企业半年实习中发现问题、解决问题，然后再进行一年的理论学习过程，将在企业中的管理问题带入学习中，最后半年再回到企业进行最后的毕业论文的撰写，即所谓“2+0.5+1+0.5”的综合培养方案。实施校内导师以及企业导师共同指导的“双导师制”管理方法，并成立“创新与创业实践中心”完善日常管理工作。</p><p>培养目标：天津大学工商管理专业主要培养能在企事业及政府部门从事经营运作、人力资源、市场营销、创业策划等管理实务的应用型管理人才。</p><p>本专业把全面提高学生素质，培养学生的完善品格作为教学活动的重要目标。通过创业学的系列课程培养学生的企业家精神；通过各种企业实践活动增强学生的实践能力；通过国际交流开阔学生的国际视野；通过社会实践锻炼学生了解社会、融入社会的能力；通过组织丰富多彩的文化体育活动强健学生的体魄和心智。</p><p>师资力量：工商管理系现有教师20人，其中教授3人，副教授12人，讲师5人。博士生导师3人，硕士生导师12人。全部具有博士学位及海外留学或企业工作经历。承担数十项国家级基金科研项目，密切对外教学与科研合作。</p><p>主修课程：管理学、经济学、会计学、运筹学、企业战略管理、企业运营管理、应用统计学、市场营销学、人力资源管理、经济法、企业财务管理、组织行为学、投资学、货币银行学、管理信息系统、技术创新管理；专业课程突出市场营销以及人力资源专业方向，课程包括：创业学、创业营销、品牌管理、消费者行为学、渠道设计与策划、薪酬与绩效管理、人员聘用与开发等。</p><p>合作交流：本专业与新西兰坎特布雷大学联合实行“1.5+2+0.5”（1.5年就读于天津大学，2年就读于国外大学,0.5年回到天津大学撰写毕业论文）的合作模式，使得本专业学生有机会同时获得国内和国际两个毕业证书。</p><p>考研就业：工商管理专业毕业生除了因为学习成绩优秀被保送本专业硕士和硕博连读及出国留学继续深造以外，大都活跃在我国各类型工商企业、教育培训部门、科研院所的工作舞台上。近四年的毕业生以国有大型企业居多，如中国银行、建设银行、中投证劵等金融类企业，也有像万科、恒大地产等地产类企业，还有如华为、海信、苏宁电器、普华永道、顶益食品等等企业。毕业生自主选择的行业、企业性质较为广泛，主要从事市场营销、人力资源、创业策划等管理实务较强的工作。</p>"
60_2000,60,2000,工程管理,四年,管理学学士,本科(普通),管理学,管理科学与工程类,<p>专业特色：</p><p>·1981年，创建了我国第一个“基本建设管理工程专业” </p><p>·1993年，创建了我国第一个“国际工程管理专业”，并组织出版了国内第一套国际工程管理教学丛书 </p><p>·1999年，因教育部学科目录调整，更名为“工程管理”专业 </p><p>·2001年、2006年和 2011年三次顺利通过建设部专业评估委员会的评估，获得了英国皇家特许建造师学会 （CIOB）的课程认证 </p><p>·2002年以来，天津大学工程管理专业多次在大学专业排名中列为全国第一 </p><p>·2003年，成为天津大学八个示范专业之一 </p><p>·2007年，工程管理本科及硕士课程获得了英国皇家特许测量师学会（RICS）的课程认证 </p><p>·2008年，入选首批“教育部第一类特色专业”　</p><p>培养目标：经济全球化背景下建设行业的领导者。工程管理是一个横跨技术与管理的学科，相比于工程技术类专业与管理类专业，其最大的特征是复合型，其研究对象是探究专门技术的管理规律。所培养的学生具有管理学、经济学、土木工程技术、法律和外语的坚实基础，接受工程师、经济师的基本素质训练，掌握现代管理科学的理论、方法和手段，成为能在国内外工程建设领域，从事项目决策和全过程管理的复合型、外向型、开拓型的高级管理人才。目前拥有工程管理学士、硕士、博士学位授予权，项目管理和工程管理工程硕士学位授予权。师资力量：拥有一大批知名专家学者组成的师资队伍，其中教授 6人，副教授 13人，大多具有博士学位及国际研究经历，系主任王雪青教授为全国三八红旗手、天津市五一劳动奖章获得者、全国高等教育工程管理专业指导委员会副主任委员，张连营教授为全国项目管理领域工程硕士教学协作组副组长，在业界有着很大的学术及社会影响。　</p><p>主修课程：管理学、经济学、工程经济学、工程项目管理与软件应用、工程成本规划与控制、工程招投标与合同管理课程设计、工程招投标与商务谈判、经济法与建设法规、企业财务管理、会计学、房屋建筑学、施工技术与施工组织设计、工程结构、结构力学、工程力学、画法几何与工程制图、建筑材料、环境保护与可持续发展、工程项目QHSE管理、企业运营模拟（ERP沙盘）等。</p><p>合作交流：工程管理专业坚持以深层次的国际合作提升整体育人水平，继续深入与国际咨询工程师联合会 （FIDIC）、英国皇家特许建造师学会 （CIOB）、英国皇家特许测量师学会 （RICS）、美国项目管理协会 （PMI）、国际建筑工程研究与创新理事会 （CIB）、世界银行等国际组织以及美国麻省理工学院、美国斯坦福大学、美国普渡大学、英国雷丁大学、新加坡国立大学、香港大学、台湾成功大学等著名高校在科学研究、师资培训与学生联合培养等方面开展合作。考研就业：本专业每年招生60余人，毕业生的20%面向本校与其他985高校保研，10%的毕业生考研，每年毕业生中约20%的学生出国读研（包括美国斯坦福大学 、加州大学伯克利分校、密歇根大学、 西北大学、佐治亚理工学院、普渡大学，加拿大的多伦多大学，以及英国的伦敦大学学院、曼彻斯特大学、雷丁大学等），约50%的学生就业。</p>
60_1960,60,1960,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,<p>专业介绍：该专业是教育部第一类特色专业，数学与应用数学专业着重在以下五个方面培养：（1）基础数学；（2）计算数学与应用软件；（3）数学建模和优化理论；（4）应用统计与信息处理和决策；（5）金融数学。在学生的知识结构中注重数学思维方法的系统培养和计算机编程能力的训练，使学生具有较强的数学分析能力和数学建模能力，从而具备适应高科技发展研究所需要的科学计算和高级企业所需要的财务精算等基本能力。通过加强基础、拓宽专业的培养思路，学生在系统学习数学专业理论课程的同时，还可以辅修计算机、管理、金融等课程，使择业有更宽的选择面。数学系目前拥有较雄厚的师资队伍，其中教授14人（含刘徽应用数学中心），副教授15人，博士生导师12人。教授、副教授中硕士生指导教师30余人，中青年教师中绝大部分具博士学位。他们都具有丰富的教学、科研经验，是带领各学科发展和培养高素质、创新型人才的核心力量。其中，一批勇于创新、年富力强的青年教师正在成为数学系发展的生力军。2007年《数学与应用数学专业》被教育部认定为高等学校特色专业。《数学分析》被评为天津大学精品课程；《高等数学》、《线性代数》被评为天津市精品课程；多本教材如《线性代数及其应用》、《数学模型方法与算法》、《应用概率统计》、《应用数理统计》等入选“十一五”国家规划教材。目前，数学系全体师生正在为把天津大学数学系建成国内一流的数学系而努力工作。</p><p>学制：四年 课程设置：主修课程：数学分析，高等代数，解析几何，常微分方程，数理方程，实分析，复分析，泛函分析，微分几何，近世代数，数值分析，最优化理论与方法，概率论，数理统计，微观经济学，金融市场学，计算机语言，微机原理，计算机数据结构，计算机信息管理，数学模型，Mathlab软件。并在以上课程的基础上，学习不同方向的一些专业课程。</p><p>本专业适用领域：本专业口径宽，适应性强，毕业生中有近10%的同学出国深造，有60%左右的同学获得保送或考取校内外名校数学、经济、管理、计算机或其他相关专业研究生，有30%左右的毕业生成为科研机构、金融（含保险、证券）部门、高等院校、高科技企业从事科研、管理、软件开发与应用及教学等工作的高级专门人才。尤其近年来，应用数学专业的毕业生以较强的分析和解决问题的能力普遍受到用人单位的欢迎。</p>
60_1957,60,1957,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>1.1专业特色：本专业涵盖土木工程设计、施工、管理的主要领域，集设计理论、工程材料、施工技术于一体。根据土木工程市场和国家建设的需要，本专业包括建筑工程、桥梁工程与地下工程三个专业方向。本专业主要研究工程结构的理论与实践，按照工程结构的不同使用要求，运用先进科学技术，进行土木工程结构的设计、施工、监测、检测；研究结构的基本理论，发展新型结构，改善结构功能。本专业历史悠久，始建于1895年，是北洋大学（天津大学前身）的开校专业之一，1997年通过英国JBM专家组评估，学历获得英联邦及欧盟国家认可。</p><p>本专业为教育部重点学科，2007年教育部学科评估中，土木工程一级学科下属结构工程学科评为国家重点学科。</p><p>本专业是国务院学位委员会首批博士、硕士学位授予单位，设有土木工程博士后流动站。</p><p>2010年，本专业荣膺教育部首批卓越工程师培养计划专业。</p><p>2013年，以优秀成绩通过住建部土木工程专业评估。</p><p>1.2培养目标：培养适应国家现代化建设需要的、德智体美等全面发展的、掌握土木工程学科的基本理论和基本知识，经过工程师的基本训练，能胜任土木工程（房屋建筑工程、桥梁工程、地下工程）的技术与管理工作，具有扎实的基础理论、宽广的专业知识、较强的实践能力和创新能力，具有一定国际视野，能面向未来的高级专门人才。</p><p>学生毕业后能在有关土木工程（房屋建筑工程、桥梁工程、地下工程）的勘察、设计、施工、管理、研究、教育、投资和开发、金融与保险等部门从事技术与管理工作。</p><p>1.3核心课程：本专业核心课程包括土木工程专业的基础课程和房屋建筑工程、桥梁工程、地下工程三个特色专业方向课程。</p><p>1专业基础课程：理论力学、材料力学、结构力学、岩土力学、弹性力学、土木工程材料；混凝土结构原理、钢结构原理、基础工程、工程抗震原理；土木工程施工、工程经济与造价</p><p>2专业方向课程：（1）建筑工程方向：混凝土结构设计、建筑钢结构设计、建筑结构抗震设计、砌体结构、高层建筑结构</p><p>（2）桥梁工程方向：桥梁工程、桥梁抗震与抗风设计、桥梁施工、桥梁水文与勘测</p><p>（3）地下工程方向：地下工程结构设计、地下工程施工、地下工程数值分析、隧道工程、地下工程水力学</p><p>1.4合作交流：土木工程专业与国内外著名大学和研究机构保持着长期和多方面的学术联系与交流。每年均有交流生前往美国、英国及日本等境外高校学习。</p><p>本专业学生免试推荐就读国内高水平大学研究生比例30%以上，就读国外高水平大学研究生比例10%以上，全部学生读研深造率超过50%。本专业每年招收硕士研究生120多名，超过本科生招生人数。</p>
60_2009,60,2009,财务管理,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>专业特色：多学科交叉。与经济学、会计学、金融学、数量经济与技术经济等学科交叉，对相关学科学术成果及应用研究成果兼容并包； </p><p>突出“数理”和“工科”特色。本科教学由会计与财务管理系及技术经济与数量经济研究所共同承担，技术经济及管理是国家二级重点（培育）学科。本专业强化学生在应用统计、运筹学和计量经济学等方面的知识，提升学生运用定量方法进行科学财务决策的能力。</p><p>与坎特伯雷大学等国际院校之间开展国际双学位项目，学生在校期间有诸多机会去美国、新加坡、新西兰和台湾等国家和地区的高校进行交流，使学生具备良好的国际视野。</p><p>通过香港会计师公会、澳洲会计师公会等多个国际知名会计行业协会的课程认证，有助于提升学生的国际认可度和就业竞争力，为学生未来国际化发展提供良好平台。</p><p>重视培养学生的实践应用能力，在强调素质教育的同时，全面提高学生的实践能力和创新能力。本系建有较为完善的会计与财务模拟实验室，并开辟学生培养教育的“第二课堂”，使学生有机会在国际知名企业进行学习和实习。培养目标：本专业培养德智体美等全面发展，掌握管理学、经济学、会计学、财务学、金融学的基础理论与方法，在会计核算、财务管理、资本运作、投融资管理、风险控制和金融管理等领域具备较强的经济定量分析、评价及决策的综合素质和能力，适应于现代经济发展需要的宽基础、高素质、具有创新精神和实践能力的高级专门人才。</p><p>师资力量：天津大学财务管理系、技术经济与计量经济研究所现有22位教师，其中5位教授 （博士生导师），15位副教授 （硕士生导师），多位老师具有在国际著名高校学习和工作的经历。近 5年来，系所教师承担了20余项国家自然科学基金、国家社会科学基金、教育部博士点基金和省部级科学研究项目，在国内外高水平核心期刊上发表论文200余篇，出版专著及教材 10余部。获得省部级科技进步奖及哲学社会科学优秀成果奖10余项。</p><p>主修课程：管理学、宏微观经济学、运筹学、统计学、计量经济学、企业战略管理、财务管理、财务会计、投资学、技术经济学、金融机构与金融市场、跨国公司财务管理、货币银行学、金融衍生工具、管理与成本会计、财务分析、税收理论与实务、风险管理、资产评估、审计、企业制度与公司治理、财务会计理论等。　</p><p>合作交流：天津大学财务管理专业与坎特布雷大学联合实行“1.5+2+0.5”（1.5年就读于天津大学，2年就读于国外大学,0.5年回到天津大学撰写毕业论文）的合作模式，使得本专业学生有机会同时获得国内和国际两个本科毕业证书。</p><p>本专业是香港会计师公会（HKICPA，The Hong Kong Institute of Certified Public Accountants）的课程认证专业，学生在校期间有机会获得其奖学金项目并具有参加香港CPA考试的资格。本专业是澳洲会计师公会（CPA Australia）的课程认证专业，使学生可免考基础阶段14门课程中的8门课程。本专业与美国管理会计师协会（IMA，The Institute of Management Accountants）签署有“美国管理会计师协会、天津大学CMA奖学金项目”的合作协议。这些认证为本专业学生获取全球认可的专业资格提供了良好契机，并提升了学生的就业竞争力。</p><p>考研就业：本专业每年招生50人左右，40%左右的毕业生面向本校与 “985”和“211”高校保研、考研或者出国深造。财务管理专业学生的毕业去向广泛，毕业后可在有关政府部门及下属机构、金融机构及金融公司、保险公司、会计师事务所及税务师事务所等中介机构、大中型公司财务部、工程咨询公司等单位从事会计、财务管理、审计、经济评价与决策、资产评估、金融投资分析与财产保险、商业银行经营管理等工作。中国银行、中国建设银行和招商银行等国有银行或股份制银行、埃森哲国际咨询公司、德勤会计师事务所、普华永道会计师事务所，万科、华润地产等国内知名地产企业，国电电力等知名国企都活跃着天津大学财务管理专业毕业生的身影。</p>"
60_2006,60,2006,城乡规划,四年,工学学士,本科(普通),工学,建筑类,<p>城乡规划</p><p>学院网址：http://hgw022072.chinaw3.com</p><p>咨询电话：022-27404491</p><p>2.2.1专业特色</p><p>城乡规划是支撑我国现代城乡经济发展和城镇化建设的核心学科，主要涉及城乡经济与社会发展、空间形态、土地利用、道路交通、市政设施、住房和社区、生态和环境保护、历史遗产保护、综合防灾等诸方面，是集造型艺术、工程技术和经济社会科学于一体的综合性学科。本专业培养具备城乡经济与社会、城乡规划与设计、建筑设计等知识和能力的宽基础、高素质、具有创新精神和实践能力，满足城乡规划设计、管理、开发等多种社会需求的高级专门人才。</p><p>2.2.2 培养目标</p><p>培养具有国际化视野和本土创新能力的城乡规划学专业领军人物，学生毕业后能在政府城市规划管理部门、城市规划设计院、房地产开发、高等院校的城市规划专业及其他城市规划的相关部门，从事城市规划方面的编制与设计、开发与管理、教学与科研工作。</p><p>2.2.3 核心课程</p><p>城乡规划专业的课程设置主要包括：城市规划概论、城市规划原理、区域规划概论、历史文化名城保护、乡村规划原理、GIS与数字化城市、城市地理概论、外国城市建设史、中国城市建设史、城市基础设施与工程规划、城市道路与交通、环境保护与可持续发展、城市生态规划概论、城市生态绿地规划、城市设计概论、城市规划管理与法规、管理概论、城市规划的社会调查研究方法以及实习和实践环节。</p><p>2.2.4 合作交流</p><p>本学科重视专业教育的开放性和国际化，与美国、加拿大、意大利、日本、澳大利亚、德国、英国、法国以及港台等 30多所著名大学和研究机构建立了长期稳定的交流与合作关系，长期开展师生互访、联合教学和合作科研项目等活动；每年都有师生派往国外知名大学学术交流或学习深造，并接收来自国外的留学生；鼓励学生参加国际竞赛、国际会议等活动。近年来，本专业邀请美国、澳大利亚、新西兰等国家的学者召开了关于生态城市、应对气候变化、文化遗产、交通规划等方面的主题讲座，并组织了新加坡筑土国际都市设计事务所工作坊、西交利物浦大学城市规划系生态城市工作坊、韩国釜山规划设计工作坊，以及已连续举办了四期中德联合设计工作坊。</p>
