special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
80_3156,80,3156,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>通信工程专业坚持以社会需求为导向，以学科建设为龙头，以深化改革为动力，以本科教育为主体，以应用型人才培养为定位，全面培养和造就厚基础、宽口径、具有创新精神和实践能力的高级专门人才的专业建设思路。经过多年建设，通信工程专业办学条件日趋完备，专业水平显著提高，正逐步向教学-实践-就业的一体化培养模式目标迈进，是天津市市属高校处于领先地位的专业之一。培养目标：本专业培养具备通信技术、通信系统和通信网络等方面的基础知识和基本理论，能在通信领域从事通信网络和通信系统的研究、设计、制造、运营和管理，应用通信技术与设备等工作的高级工程技术人才。</p><p>培养要求：本专业学生业务培养注重与通信系统和通信网相关的基础理论、组成原理和设计方法的学习。在为学生打下坚实基础的同时，培养学生现代通信电子电路的开发、设计、仿真、制作、调试能力；电子、通信仪器设备的安装、开发、使用和维护能力以及现代通信网和系统的安装、使用、维护及其仿真、设计和开发能力。</p>
80_3180,80,3180,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>电子信息工程专业是电子信息产业的主要支撑专业，在国家和天津市经济建设和社会发展中具有重要地位。天津工业大学电子信息工程专业始建于1978年，前身是化纤自动化教研室。经过多年建设，专业发展迅速，逐渐形成了与天津城市定位相匹配、与产业结构布局相衔接、与经济发展方式转变相适应的人才培养体系，多年来为国家和天津市培养了大批高水平的电子与信息技术专业人才。专业特色：嵌入式系统、智能控制、传感与检测、仪器设计开发</p><p>培养目标：本专业培养具备电子技术和信息系统的基础理论、掌握以“信息流”——信息获取、传输、处理、控制为核心的专业知识，接受电子设备与信息系统等方面的工程实训，拥有设计、开发、应用和集成电子设备与信息系统的基本能力，在嵌入式系统、智能控制、传感与检测、仪器设计开发等方面具有优势和特色，可从事各类电子设备和信息系统的科学研究、产品设计、工艺制造、应用开发和技术管理的复合型工程技术人才。</p><p>培养思路：夯实理论基础、突出专业特色、注重实习实践、校企联合培养。课程体系：1、通识基础课程：思想政治理论、军事理论、体育、大学英语、数学、大学物理、大学计算机基础、C语言程序设计、工程制图、企业管理、大学生心理健康、职业规划、就业指导，等。</p><p>2、学科基础课程：电路理论、模拟电子技术、数字电子技术、信号与系统、高频电子技术、通信原理、微机原理及应用、电磁场与电磁波。</p><p>3、专业课程：专业课程分为四个课程群，对应嵌入式系统、智能控制、传感与检测、仪器设计开发四个特色方向，在每个特色方向下对学生进行系统教学和实践训练，突出学生的专业特色和优势。（1）嵌入式系统课程群理论课： EDA原理及应用（FPGA）、嵌入式系统（ARM）、数字信号处理及DSP技术（DSP）。</p><p>实践课:电子系统设计与工程实践（单片机）、EDA课程设计专题实践、嵌入式系统设计专题实践。（2）智能控制课程群：理论课：自动控制原理、计算机控制技术、可编程控制器原理及应用。实践课：计算机控制系统设计专题实践。</p><p>（3）传感与检测课程群：理论课：传感器与检测技术、电子测量技术、现代测控技术、计算机视觉、光电检测技术与系统。实践课：传感与检测专题实践。（4）仪器设计开发课程群，理论课：虚拟仪器技术、智能仪器、现场总线技术及应用</p><p>实践课：虚拟仪器设计专题实践4、综合实习实践课程：电工实践、电子实践、生产实习、毕业实践、毕业设计（论文）。5、专业选修课：计算机通信网络、程控交换原理、Matlab工程计算、无线传感器网络、电磁兼容、电子电路与计算机仿真、电子线路CAD、面向对象应用程序设计、医学成像新技术、现代软件设计、网页设计。</p>
80_3161,80,3161,高分子材料与工程,四年,工学学士,本科(普通),工学,材料类,<p>本专业主干学科为材料科学与工程。核心知识领域：高分子物理、高分子化学、材料科学研究方法、材料科学基础、聚合反应原理、高分子材料学、高分子材料研究方法、聚合物加工原理、聚合物加工工程、高聚物制备工程、高分子膜材料与工艺、膜分离技术与膜过程等。主要专业实验：高分子化学实验、高分子物理实验、分离膜材料专业实验、材料科学研究方法实训、化工原理实验、化工课程设计、材料综合设计型实验、材料创新创业实践、毕业论文（毕业设计）。主要实践性教学环节：军事训练、入学教育、认识实习、金工实习、职业技能专项实训、毕业实习。培养目标：本专业为国家培养品德优秀、视野开阔、知识扎实、能力卓越、竞争力强的复合型人才。学生将获得材料科学与工程的基础知识和高分子材料和工程专业知识，具备开展高分子材料产品的科技创新、合成设计、工艺制备及其加工应用的能力；能够应用科学原理和专业知识，选择和使用先进科技资源和信息技术工具，通过科学研究和实践，解决复杂的高分子材料领域工程问题。培养要求：本专业学生主要学习材料科学与工程的基础知识，高分子化学与物理的基本理论知识以及高分子材料的组成、结构与性能方面的知识，学习高分子材料合成、制备与包括分离膜成型在内的加工技术知识，具有扎实的高分子材料和高分子材料与工程的基础知识和实验技能。</p><p>毕业生应获得以下几方面的知识和能力：</p><p>1.具有良好的工程职业道德、追求卓越的态度、爱国敬业的精神、社会责任感和人文科学素养。</p><p>2.能够将数学、自然科学、工程基础和专业知识用于解决高分子材料研究开发过程中的复杂工程问题。</p><p>3.掌握高分子材料合成、改性的基本原理以及高分子材料的组成、结构和性能关系，掌握合成高分子材料的主要工业方法及相关化学工程技术，掌握包括聚合物膜在内的聚合物成型加工的基本理论和基本技能，了解高分子材料与工程专业的发展现状和趋势，了解本学科专业在光、电、磁功能高分子材料，分离膜材料等新兴科学交叉领域的发展</p><p>4.能够应用高分子材料与工程相关的基本理论知识，识别、表达、并通过文献研究分析复杂工程问题，以获得有效结论。</p><p>5.能够设计针对高分子材料制备与应用过程中复杂工程问题的解决方案，设计满足特定需求的系统、单元装置或工艺流程，并能够在设计环节中体现创新意识，考虑社会、健康、安全、法律、文化以及环境等因素。</p><p>6.能够基于高分子材料领域的科学原理和方法，设计实验、分析与解释数据，并能够对信息进行综合分析得到合理有效的结论。</p><p>7.能够开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，对高分子材料领域复杂工程问题进行预测与模拟，并能够理解其局限性。</p><p>8.能够基于工程相关背景知识进行合理分析，评价高分子材料专业工程实践和复杂工程问题解决方案对社会、健康、安全、法律以及文化的影响，并理解应承担的责任。</p><p>9.能够理解和评价针对复杂工程问题的专业工程实践对环境、社会可持续发展的影响。</p><p>10.具有一定的国际视野和跨文化环境下的交流、竞技与合作的能力。</p><p>11.能正确认识工程对于客观世界和社会的影响，了解与本专业相关的法律、法规，熟悉环境保护和可持续发展等方面的方针和政策。本专业修业四年，授工学学士学位。</p>
80_3191,80,3191,动画,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,<p>本专业主要培养三维动画、二维动画、定格动画、游戏前期设计、影视后期特效的高级专门人才。</p><p>动画实验中心获批“天津市实验教学示范中心”建设单位，构建了代表产业技术前沿的实践教学平台，配备有能完整支撑二维动画、三维动画、定格动画、数字音频、影视后期制作实践教学环节的设备。特别是英国VICON光学运动捕捉系统（16镜头）、三维扫描系统、180CPU三维动画渲染集群、以色列OBJET三维快速成型机、电影级拍摄及后期编辑系统、录音棚等专业制作设备，使实践教学进入产业技术发展的前沿，保证了本科生毕业后能够更快、更好地融入企业的实际制作环节。动漫产业已经形成集动画、漫画以及玩具、游戏、出版物等衍生产品为一体的产业链，本着“人才链与产业链完整结合”的创意环境建设理念，依据学生自身的特点进行分型培养、团队创作、企业实题项目的实践模式，校内实践教学环节采用工作室制，由教师和企业设计师共同管理。依据学生的优势发展方向和未来职业、岗位意向，细分实践培养类型，再依据产业链中企业的实际运行模式，将学生组合成创作团队，参与到相关企业的实际制作流程中。</p><p>我校先后与十几家业内知名企业共建了校外实践基地，选用企业实际项目进行创作实践，聘请行业专家授课指导，组织学生加入企业的创作团队。动画专业学生作品获得国际、国内600多项动画大奖。几十名优秀毕业生在韩国、日本、加拿大、美国、英国、法国等知名的高校攻读硕士学位。本专业学制四年，学生毕业后可获得艺术学学士学位，本专业具有动画硕士研究方向。</p>
80_3151,80,3151,纺织工程,四年,工学学士,本科(普通),工学,纺织类,<p>纺织工程专业介绍</p><p>发布者：纺织学院 浏览次数：</p><p>我校纺织工程专业始建于1912年，其特色与优势明显，为我国纺织工程领域培养了大量的专业人才，现已成为国家级特色专业。该专业主要培养具备纺织工程方面的知识和能力，能在纺织企业、科研、教学和贸易等部门从事纺织工艺设计、纺织品设计与开发、纺织生产质量检测与控制、纺织品贸易及检验、纺织高新技术及前沿科学研究等方面工作的高级专门人才。</p><p>  该专业根据纺织品三大领域发展趋势和现代纺织人才市场的需求，按照新型纺织产业链的结构布局共设置五个专业方向：1.纺织科学与技术方向、2.纺织品设计与应用方向、3.纺织与服装贸易方向、4.纺织品商务与检验方向、5.针织与针织服装方向。并以专业平台课程、专业方向课程和专业实践的教学模式分层次、逐步递进开展教学，强调实践动手能力和创新能力的培养。</p><p>  开设的主要专业平台课程包括：纺织材料学、微机原理及应用、纺织化学、企业管理与技术经济分析、纺纱原理、织造原理、针织原理、织物组织设计与分析、染整原理等。各专业方向在此基础上通过专业方向课程的教学，达到专业知识与能力的进一步拓展，以适应社会及行业的需要。</p><p>  本专业学制四年，学生毕业后可获得工学学士学位。本专业具有博士、硕士学位授予权。学习优秀者可免试推荐为本校研究生，或推荐去国外合作大学进一步深造。</p>
80_3168,80,3168,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,"<p>、培养目标：本专业围绕化学纤维材料、橡塑材料和生物材料专业三个方向，培养具有高分子材料科学与工程的基础理论，掌握了材料的制备、组成、结构与性能之间关系的基本规律,接受了各种先进材料的制备、性能分析与检测技能基本训练,拥有材料设计和制备工艺设计、材料的性能和产品质量提高、新材料和新工艺研究开发等的基本能力,能在材料的制备、加工成型、结构与性能、应用等领域从事科学研究与教学、技术开发、工艺和设备设计、技术改造及经营管理等的多层次、高素质、全面发展的科学研究或工程技术创新型人才。</p><p></p><p>二、培养要求：本专业学生主要学习材料科学与工程的基本理论和基本知识，接受各种先进材料的制备、性能分析与检测技能的基本训练，培养材料设计和制备工艺设计、材料的性能和产品质量提高、新材料和新工艺研究开发等方面的基本能力。</p><p></p><p>毕业生应获得以下几方面的知识和能力：</p><p></p><p>1.掌握材料的组成与结构、材料的测试与表征、材料的制备与合成、材料的性能与应用等方面的基本理论。</p><p></p><p>2.具备创造性思维能力、创新实验能力、科技开发能力、科学研究能力。</p><p></p><p>3.掌握工程制图、工程设计基础、电工电子学等方面的知识，具备较扎实的工程素质。</p><p></p><p>4.具备综合应用知识解决问题能力、综合实验能力、工程实践能力、工程综合能力。</p><p></p><p>5.具备一定的生产管理、市场预测以及产品销售等方面的基本能力。</p><p></p><p>6.熟练掌握外语、计算机及信息技术应用等方面的知识，具备较强的计算机及信息技术应用能力。</p><p></p><p>三、主干学科：材料科学与工程</p><p></p><p>核心知识领域：无机化学、分析化学、有机化学、物理化学、大学物理、材料科学研究方法、高分子化学、高分子物理、化纤工艺学、工厂设计与AutoCAD、生物化学、生物医学材料学、生物材料制备与加工、塑料与橡胶成型加工、聚合物共混改性原理、材料科学与工程基础、高分子材料加工设备等。</p><p></p><p>核心课程示例：</p><p></p><p>无机化学（45学时）、分析化学（51学时）、有机化学（60学时）、物理化学（120学时）、大学物理（120学时）、材料科学研究方法（30学时）、高分子化学（45学时）、高分子物理（51学时）、化纤工艺学（75学时）、工厂设计与AutoCAD（30学时）、生物化学（75学时）、生物医学材料学（45学时）、生物材料制备与加工（30学时）、塑料与橡胶成型加工（60学时）、聚合物共混改性原理（30学时）、材料科学与工程基础（45学时）、高分子材料加工设备（30学时）。</p><p></p><p>1.专业方向一：化纤工艺学（75学时）、工厂设计与AutoCAD（30学时）、高分子材料加工设备（30学时）、膜分离技术（30学时）、材料科学与工程基础（45学时）。</p><p></p><p>2.专业方向二：生物化学（75学时）、生物医学材料学（45学时）、生物材料制备与加工（30学时）、生物材料概论（45学时）、生物材料实验（45学时）。</p><p></p><p>3.专业方向三：橡塑材料学（45学时）、塑料与橡胶成型加工（60学时）、聚合物共混改性原理（30学时）、材料科学与工程基础（45学时）、材料的表面与界面（30学时）、模具与设计（30学时）。</p><p></p><p>五、主要实践性教学环节：电工实践、金工实习、化纤工艺实验、高分子实验、毕业实习、材料大型综合实验、毕业论文（毕业设计）。</p><p></p><p>六、主要专业实验：高分子实验、化纤工艺实验、橡塑材料专业实验、生物材料实验材料大型综合实验。</p><p></p><p>七、修业年限：四年。</p><p></p><p>八、授予学位：工学学士。</p>"
80_3188,80,3188,表演,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,<p>1.影视表演与文化管理方向：本专业方向培养从事影视剧、戏剧、广告、广播以及文化、宣传、教育等领域中的表演、教学、经营、管理等工作的高级专门人才。本专业方向开设的主要课程有：艺术概论、戏剧表演基础理论、中外戏剧史、表演心理学、影视表演艺术创作、台词训练、声乐训练、形体训练、戏剧编导基础、形象设计、舞美设计、影视经典作品赏析、文化产业经营与管理、文化产业法律法规等。该专业培养的学生在校内外的多次表演中展现了良好的艺术才能。2007年学生排演的话剧《雷雨》在天津市话剧节展演中获奖，2008年由学生自编自演的话剧《桑麻情缘》作为我校建校50周年献礼话剧得到了天津市表演艺术界和艺术教育界相关专家、学者的一致好评。本专业方向聘任了享受国务院专家津贴的著名话剧表演艺术家、梅花奖获得者、天津人民艺术剧院副院长张金元担任专业教学指导，并有多名具有较高艺术造诣和丰富艺术教育经验的国家一级演员加盟本专业方向教师队伍。本专业方向的毕业生不仅在话剧、影视剧、歌舞剧、音乐剧中具有较强的表演能力，并通过对表演基础理论及文化管理理论的学习，使其具有一定的教学能力及文化管理和文化经营能力。本专业毕业生可在影视、戏剧领域从事表演工作；在广播、传媒领域从事编导工作；在文化、教育机构从事教学工作；在艺术院、团、剧场、演出公司从事经营管理工作以及从事演艺经纪人等工作。本专业学制四年，学生毕业后可获得文学学士学位。</p><p>2.音乐表演与文化管理方向：本专业方向培养具有扎实的音乐理论基础，高水平的演奏、演唱、舞蹈表演能力以及音乐创造能力的高级表演人才和适应文化产业发展需要的艺术经营管理的高级专门人才。本专业方向开设的主要课程有：艺术概论、中外音乐史、音乐美学、音乐心理学、基础乐理、音乐分析、音乐创作、指挥法、合唱、合奏、音乐制作、艺术录音、名作赏析、文化产业经营与管理、文化产业法律法规等。本专业是我校特色和亮点专业之一。由该专业方向学生组成的管乐团、民乐团、合唱团、舞蹈团在国内外的艺术表演中为学校获得了诸多荣誉。1999年管乐团被天津市教委确认为“天津市大学生艺术团管乐团”。在2002年天津市大学生艺术节中获一等奖；在2002年举办的天津市学校文艺展演比赛中获一等奖；在2004年、2006年、2008年分获天津市12届、13届、14届大学生艺术节文艺展演中获一等奖；在2009年全国大学生艺术展演活动中获两项一等奖。该专业方向的民乐团于2004年应邀在维也纳金色大厅的演出，成为第一个走进金色大厅的中国大学生民族器乐团；2006年管乐团在澳门理工学院音乐厅隆重举行了“濠江海河学子情—天津工业大学赴澳门理工学院专场音乐会”；2007年我校艺术团应中华人民共和国驻墨尔本总领事馆的邀请，赴澳大利亚演出。本专业毕业生可在各级文化机构从事音乐表演、音乐创作、音乐教学工作；在艺术院、团、剧场、演出公司从事经营管理工作以及从事演艺经纪人等工作。本专业学制四年，学生毕业后可获得文学学士学位。</p>
80_3164,80,3164,非织造材料与工程,四年,工学学士,本科(普通),工学,纺织类,<p>非织造材料与工程专业是教育部于2005年以“行业急需人才”为由正式设立的新专业。非织造材料又称非织造布、非织造织物、无纺织物或无纺布，是我国战略性新兴纤维材料的重要组成部分，属于国家“十一五”以来重点发展方向，广泛应用于国防、环境、能源、医疗卫生、水利工程、土木建筑等领域，非织造行业30多年来发展速度从未低于国家GDP增长速度，2015年全国产量达到490万吨，位居世界第一，属于名符其实的“朝阳工业”。</p><p></p><p>天津工业大学非织造材料与工程专业是我国最早从事非织造人才培养的专业建设点，拥有完整的本科、硕士、博士教育体系，为我国培养了大批具有开拓创新精神和实践能力的高级工程技术人才，被誉为“中国非织造人才摇篮”。目前该专业排名全国第一，并入选卓越工程师培养计划，是“国家级特色专业”和“天津市品牌专业”建设点。</p><p>天津工业大学非织造材料与工程专业确立了以化学为基础，以装备为手段，以产品为中心，理论与实践并举的人才培养方案。在教学理念上兼顾重视理论基础的培养和实践能力的锻炼，强调创新意识和创新能力训练；在课程设置上，全面综合纺织、造纸、印刷、化学、塑料等技术，广泛涉及化学、物理、电子、机械等各个学科分支，充分体现“多学科交叉、多行业融合、多领域应用”的理念和特色，将纺织科学与工程、材料科学与工程、机械工程三大学科设为本专业的主干学科，并编写出版了国内第一本非织造材料与工程专业教材《非织造布学》，随后《非织造材料与工程》、《非织造后整理》被选为国家“十二五”规划教材。该专业根据产业发展和社会需求设立了“非织造材料设计与检测”和“非织造技术与应用”方向，学生自主选择，实施个性化培养。该专业重视利用社会资源办学，拓宽办学渠道，积极与国内知名非织造企业合作，为实践教学提供了良好的条件，建有包括“国家级实验教学示范中心”、“国家级虚拟仿真实验教学示范中心”、“国家级工程教育实践中心”和“天津市非织造布技术工程中心”在内的校内外多层次教育实践基地，创建了“金三发”杯全国非织造产品设计及应用大赛，提供多渠道创新实践平台，多项教学成果获得国家级和省部级教学成果奖。</p><p></p><p>该专业培养适应我国非织造行业发展需求，具有扎实学科理论基础，系统掌握非织造材料与工程专业知识，具有国际视野、开拓创新精神和实践能力，能够在非织造行业及相关领域从事工程技术、经营管理、质量控制、研究开发、检验与贸易等工作的复合型高级工程技术人才。近年来该专业毕业生表现出良好的工程实践能力和新产品、新技术研发和应用能力，一直是行业诚邀加盟的重点对象。该专业学制四年，毕业后可获得工学学士学位。本专业具有硕士、博士学位授予权。学习优秀者可免试推荐攻读硕士研究生，或推荐进入国外合作大学进一步深造。</p><p></p><p>该专业以建设非织造强国为己任，以培养一流人才为宗旨，以建设一流师资队伍和一流特色学科平台为抓手，坚持教书育人和科技创新双引领战略，强调教研相长，以研促教。十几年来，本专业教师紧密围绕国内外非织造技术发展新动向、新热点，本着面向社会、服务行业的精神，在“非织造专用纤维原料”、“非织造加工技术与设备”以及“非织造产品开发与应用”等方向上展开一列的科学研究。研究成果获得国家科技进步奖3项，省部级科技奖励等10余项，多项成果已应用于当今国内外热点科技领域，如PM2.5治理、水电解及动力电池隔膜、军用保暖材料、吸音隔热材料、医用防护服、海洋悬浮物防扩散过滤、海洋漏油回收等。</p>
80_3158,80,3158,轻化工程,四年,工学学士,本科(普通),工学,轻工类,<p> 轻化工程专业——原染整工程专业始建于1958年，其特色与优势明显，是国家级特色专业建设点。为我国纺织工程技术领域培养了大量的专业人才，为纺织工业的发展做出了重要的贡献。该专业培养能够在系统掌握化学化工基础知识及实验技能的基础上，熟练运用计算机和先进的仪器设备从事纺织品染整和皮革加工等相关领域的工业生产、工艺设计、科学研究、技术管理、质量控制、新产品开发等的高级专门人才。</p><p>  轻化工程专业以染整工程为主要专业方向，同时兼顾皮革工程、造纸工程、纺织化学品等领域的专业教学。该专业特别强调学生在具有深厚的化学基础理论知识的同时，加强对学生进行系统的工程实践训练，从而使学生具有较强的新产品、新工艺、新材料、新技术的研究开发及应用能力。</p><p>  开设的主要专业课程有：有机化学、无机化学、分析化学、物理化学、生物化学、化工原理、仪器分析、助剂化学，染料化学、纤维化学及物理、织物漂整工艺、测色与计算机配色、织物染印工艺、织物整理、纺织品标准及检验、生态纺织品加工、皮革工程等。</p><p>  本专业毕业的学生基础理论扎实，实验技能好，知识面广，具有较强的独立工作能力，毕业生遍布高校、科研单位、国家机关、跨国公司、外资企业等。本专业学生近年来就业情况良好，就业率始终保持在95%以上。</p><p>本专业学制四年，学生毕业后可获得工学学士学位。本专业具有博士学位和硕士学位授予权。学习优秀者可免试推荐为本校研究生，或推荐去国外合作大学进一步深造。</p>
80_3159,80,3159,复合材料与工程,四年,工学学士,本科(普通),工学,材料类,<p>业务培养目标</p><p></p><p>本专业培养具有良好的思想道德素质、强烈的社会责任感、健全身体和健康的体魄，德、智、体全面发展，具有材料科学与工程的基础知识和复合材料与工程专业知识，基本的科学素质和良好工程素质的材料科学与工程领域应用型人才。学生具备材料科学、材料工程领域的较宽基础知识，能在复合材料的制备、加工成型、结构与性能、应用等领域从事技术开发、工艺、产品和设备设计、技术改造及生产管理等方面工作，成为适应社会经济多层次、高素质、全面发展的应用型工程技术人才。</p><p></p><p>二、业务培养要求</p><p></p><p>毕业生应获得以下几方面的知识和能力：</p><p></p><p>1. 具有良好的工程职业道德、执着向上的态度、爱国敬业的精神、社会责任感和人文科学素养；</p><p></p><p>2. 掌握复合材料的设计、制备、组成与结构、测试与表征、性能与应用的基本理论；掌握基体树脂与增强纤维材料的改性、应用、工业生产过程和设备、生产工艺的专业基础知识；</p><p></p><p>3. 具备创造性思维能力、创新实验能力、技术研究与开发能力，具有正确结构设计、材料设计、工艺设计、设备选用等的能力，具有研究改进材料性能、开发新材料、制品、工艺的能力；</p><p></p><p>4. 掌握本专业所需的工程力学、工程制图、工程设计基础、电工电子学等方面的基本知识，具备较扎实的工程素质；</p><p></p><p>5. 具备综合应用知识解决问题能力、工程实践能力、工程综合能力；</p><p></p><p>6. 熟练掌握外语、计算机及信息技术应用等方面的知识，具备较强的计算机及信息技术应用能力；</p><p></p><p>7. 掌握经济学、管理学等方面的知识，具备生产管理、市场预测基本能力；</p><p></p><p>8. 具有应对危机和突发事件的初步能力；</p><p></p><p>9. 具有一定的国际视野和跨文化环境下的交流、竞争和合作的初步能力。</p><p></p><p>三、主干学科</p><p></p><p>材料科学与工程。</p><p></p><p>四、核心知识领域</p><p></p><p>无机化学、分析化学、有机化学、物理化学、大学物理、材料科学研究方法、高分子化学、高分子物理、材料科学基础、复合材料学、复合材料成型工艺与设备、复合材料结构设计等。</p><p></p><p>核心课程示例</p><p></p><p>无机化学（45学时）、分析化学（51学时）、有机化学（60学时）、物理化学（120学时）、大学物理（120学时）、材料科学研究方法（30学时）、高分子化学（45学时）、高分子物理（51学时）、材料科学基础（45学时）、复合材料学（45学时）、复合材料成型工艺与设备（60学时）、复合材料结构设计（50学时）。</p><p></p><p>五、主要实践性教学环节</p><p></p><p>高分子化学与物理实验、金工实习、电工实践、复合材料产品设计、材料大型综合实验、毕业实习、毕业设计（论文）</p><p></p><p>主要专业实验</p><p></p><p>复合材料工艺与制备、复合材料性能测试实验、材料近代测试技术实验</p><p></p><p>六、修业年限</p><p></p><p>四年．</p><p></p><p>七、授予学位</p><p></p><p>本专业毕业后所授予的复合材料与工程专业工学学士学位。</p>
