special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
79_3124,79,3124,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>本专业培养思想素质高、人文修养好、专业基础扎实、专业知识结构合理、实践能力强，能够从事各级各类学校及教育机构的汉语言文学教学和科研工作，或在党政机关、新闻出版、研究院所、事业单位、企业单位从事组织宣传、编辑出版、高级文秘、文案策划及行政管理等工作的中国语言文学学科复合型人才。</p><p> </p><p>本专业标准学制为4年，修完规定学分授予文学学士学位。开设的专业必修课有现代汉语、古代汉语、语言学概论、中国古代文学、中国现代文学、中国当代文学、外国文学史、比较文学、文学概论、写作等，另外开设专业选修课如马列文论、西方现代主义文学、美学、莫言研究、儿童文学、现代应用文写作、文史工具书使用、文学与民俗、现代汉语语音研究等，注重专业实习、学年论文和毕业论文等实践性教学环节。本专业为天津市品牌专业建设点，是学校重点发展的第一批特色专业。</p>
79_3107,79,3107,世界史（要求考生有较好的英语基础）,四年,历史学学士,本科(普通),历史学,历史学类,<p>本专业培养具有良好人文素养及人文精神，掌握历史学基础知识，具有世界历史专业特长，同时较熟练地掌握一门外语的复合型人才，具有从事世界历史专业的研究与教学能力，并能满足各级政府机关和企事业单位对涉外人才的需要。</p><p>主要课程：中外通史、世界经济史、西方思想史、国际关系史、文化人类学著作选读（双语）、西方史学原著选读（双语）、欧洲经济社会史、西方文化史、西方法律社会史、世界主要地区国别史、专业英语等。</p>
79_3111,79,3111,教育学,四年,教育学学士,本科(普通),教育学,教育学类,<p>  教育学专业旨在培养具有良好的教育理论素养，较强的教学能力及一定的教育管理和教育科研能力的专门人才。本专业致力于培养学生具有较宽的知识面，德、智、体、美全面发展，使学生掌握系统的教育科学理论知识，培养学生的教育实践能力及创新精神，为进修深造奠定扎实的学术基础。学生毕业后适合从事中小学教育教学工作、教育行政机构管理工作、社会教育机构的咨询、管理及教学工作及中小学教育科研工作。</p><p>主要课程：教育原理、普通心理学、中外教育史、学校教育管理学、教育行政学、教育科学研究方法、教育心理学、教育测量与评价、教育统计学、教育法学、课程论、教学论等专业必修课和选修课等。</p>
79_3079,79,3079,法学,四年,法学学士,本科(普通),法学,法学类,<p>培养目标：为党政机关、企业事业单位和一切社会团体，培养具有社会主义法治理念，品德端正，业务优良的以法律服务为主的应用型专门人才。</p><p>     主要课程：法理学、宪法学、中国法制史学、外国法制史学、刑法学、民法学、商法学、经济法学、行政法与行政诉讼法学、知识产权法学、刑事诉讼法学、民事诉讼学、环境保护和自然资源法学、劳动和社会保障法学、国际法学、国际私法学、国际经济法学等。</p><p>在完成必修课程教学任务的基础上，开设宪法与行政法、民商法、经济法、刑法、国际法五个方向选修课程供学生选修。除课堂教学外，该院还组织学生进行法律见习、法律实习，围绕地方经济与社会的发展，从法学角度撰写学年论文、毕业论文。</p><p>    为了适应社会对复合型法律人才的需要，该院一方面吸纳其他专业的学生副辅修法学专业课程，另一方面组织法学专业的学生副辅修其他专业课程，经考核合格后颁发“双证”，在此基础上，该院还与外国语学院联合开设法律与外语紧密型副辅修班。努力培养懂外语、懂法律、懂经济的涉外法律实务人才。</p>
79_3099,79,3099,化学,四年,理学学士,本科(普通),理学,化学类,"<p>化学是研究物质的组成、结构、性质和应用的一门科学，是生命科学、材料科学、能源科学、环境科学、化学工程与工艺等其他学科的重要基础和组成部分，当代科学技术领域的重大成就都直接或者间接地依赖于化学学科的快速发展。</p><p>我院化学专业于1958年开始招生,2010年被评为天津市品牌专业。</p><p>该专业主要为化学及相关领域的科研院所培养科研辅助人员；为化学、材料、药物、环境等相关企、事业单位培养从事新产品的研制、开发和分析检测人员；为中等学校化学课程及相关课程教学工作培养师资以及为化学及相关专业硕士学位授权点输送化学专业人才。</p><p>该专业的通修基础课包括：外国语、高等数学、普通物理、计算机应用基础、无机化学、无机化学实验、有机化学、有机化学实验、分析化学、分析化学实验、物理化学、物理化学实验、化学工程基础、结构化学、化学综合实验、化学信息资源检索、高等无机化学、高等有机化学、环境化学、材料化学基础等。</p>"
79_3097,79,3097,物理学,四年,理学学士,本科(普通),理学,物理学类,<p>物理学在自然科学领域处于母学科地位。该专业注重夯实物理学基础，注重实践能力和创新精神的培养，注重物理学新技术、新发展、新成就的介绍和应用，为学生从事物理及相关领域的工作、适应社会飞速发展的需要奠定基础。物理学专业于2011年定为校级品牌专业。</p><p>物理学专业是宽口径专业，可在物理学及相关科技领域从事教学、科研、开发与管理等工作；也可报考物理、天文、材料科学与工程、化学、生物、信息等理工类，以及文理兼收的文科类等专业方向的研究生。</p><p>主要课程：高等数学、数理方法、普通物理、理论物理、电子技术、计算机语言等专业必修课，并开设天体物理、纳米材料、薄膜技术、现代光学等物理学科前沿系列、现代教育技术系列、电子技术应用系列等多门专业选修课程。</p><p>本专业重视国际合作与交流，跟加拿大Trent大学共同实施国际合作办学项目，双方互认学分，学生在师大修读完前2年课程后，有机会到Trent修读后续专业课程，符合要求的学生可获得双方学位。</p>
79_3110,79,3110,思想政治教育,四年,法学学士,本科(普通),法学,马克思主义理论类,<p>思想政治教育专业是具有博士、硕士学位授予权的市级重点学科、教育部特色专业、天津市品牌专业，也是天津市思想政治教育专职队伍人才培养基地。本专业的发展思路是稳定专业数量与学生规模，提高培养质量，打造国内一流的特色品牌专业。专业注重应用研究型人才的培养，即在坚持培养社会所需要的零培训就业能力的优秀本科毕业生的同时，也为准备进一步深造的学生创造条件，加强学生学术研究能力的培养。</p><p>经过五十余年的建设和积淀，思想政治教育专业现已形成并正在完善自己的专业特色：培养特色为师范与非师范统一，深造与就业兼顾，做人与做事并重；课程特色为加强基础，强化实践，重视科研；管理特色为年级团队负责制与教学、学工、行政三位一体制。</p><p>主要课程：思想政治教育学原理、思想政治教育方法论、思想政治教育原著选读、思想政治教育史、比较思想政治教育、思想政治教育实务、中外哲学、政治学、政治经济学、教育学、心理学、中学思想政治课教学基本理论、中学思想政治课教学设计与案例分析、政治微格教学等。</p><p> </p><p>就业方向：中小学教师；国家各级党政军群公检法机关或宣传教育机构公务员；在传媒机构、事业单位、大中型企业及社区服务机构中从事宣传、管理与研究等工作。</p>
79_3131,79,3131,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,<p>1959年创办，本专业主要培养德、智、体、美全面发展，能适应新世纪各种新闻与大众传媒工作的专门人才。学生毕业后能胜任报刊社、通讯社、电台、电视台、出版社、网络公司等部门工作以及各级党政部门、企事业单位宣传报道、公共关系、秘书等工作。</p><p>主要课程：新闻学概论、传播学概论、中国新闻事业史、外国新闻事业史、新闻采访学、新闻写作学、新闻编辑学、新闻评论学、新闻摄影学、公共关系学、广告学、媒介经营与管理、广播电视概论、网络与新媒体等50余门专业必修和选修课程。</p>
79_3113,79,3113,应用心理学,四年,理学学士,本科(普通),理学,心理学类,<p>应用心理学专业旨在培养具有坚实的心理学理论基础，能熟练地运用心理与理论服务于社会实践的专门人才。专业以培养具有较宽的知识面，德、智、体全面发展的心理学专业人才为目标。毕业生可继续深造进而从事相关领域研究的工作，亦可从事政府及企事业单位的心理学咨询服务工作、社区心理学服务工作、学校心理学咨询服务以及人才测评与职业心理培训等工作。</p><p> </p><p>    本专业主要课程包括基本理论课程群：基础心理学、生理心理学、社会心理学、心理测量学、心理统计学、心理科学研究方法、心理学史、情绪心理学、人格心理学；发展与教育心理学课程群：发展心理学、教育心理学等；心理健康辅导课程群：医学心理学概论、心理辅导与咨询等；人力资源管理课程群：组织行为学、人才测评与就业指导等。</p>
79_3100,79,3100,小学教育,四年,教育学学士,本科(普通),教育学,教育学类,<p>培养热爱小学教育事业，掌握现代教育基本理论，具有先进的教育理念、扎实的专业知识和广博的文化科学知识，能在小学从事教育、教学和管理的复合型人才。本着综合培养、发展专长的教育理念，小学教育专业招生文理兼收，实行“综合多元（2+2）”培养模式，大学前两年为综合培养，分三大方向：文科、理科、英语，大学后两年为多元培养，分若干模块。</p>
