special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
81_1026615,81,1026615,机械工程,四年,工学学士,本科(普通),工学,机械类,"<p>专业特色
本专业为国家级一流专业建设点、国家特色专业，天津市品牌专业，天津市卓越工程师教育培养计划专业，2018年通过工程教育专业认证。</p><p>本专业适应国家特别是京津冀地区装备制造业及相关行业的发展需要，以学生为中心，实施机设、机制、机电三个专业方向个性化培养模式，培养具有创新意识和胜任机械设计与制造、技术开发、科学研究等创新能力，能解决复杂工程问题的应用型高级专门人才。 </p><p>培养目标 </p><p>培养目标1:能适应装备制造业及相关行业的技术发展，认识工程实践对于客观世界和社会的影响；了解相关法律法规、熟悉行业标准，深化自身的知识基础，扩展自身的能力，取得职业生涯上的进步。 </p><p>培养目标2:能基于良好的科学知识和工程实践活动，运用科学方法和观点并使用现代工具分析、设计及研究机械制造装备和制造工艺；运用管理科学原理与经济决策方法设计及实施工程解决方案，参与解决方案效果的评价并提出改进方案，以满足企业、机构和用户的需求。 </p><p>培养目标3:能基于工程实践活动，在跨文化和多学科背景下，具有良好的国际视野和沟通技巧，善于与相关人员进行书面或口头沟通；正确认识在项目团队中的角色定位，根据相关的质量标准、程序开展工作，胜任装备制造业及相关行业的工作。
培养目标4: 能在从事专业相关活动中，全面考虑社会、健康、安全、法律、文化及环境等因素；具备社会责任感并坚守职业道德规范，具有发挥想象力、创造性、革新的能力，成为装备制造业及相关行业的专业人士，并持续自我发展。 </p><p>专业核心课程： 工程制图、理论力学、材料力学、机械原理、机械设计、互换性与测量技术、热工学与流体力学基础、液压与气压传动、工程材料与成形技术、控制工程基础、机械制造技术基础、机械工程测试技术。 </p><p>机械制造及其自动化专业方向：机械制造装备设计、机械CAD/CAM。 </p><p>机械设计及其自动化专业方向：机械系统设计、计算机辅助工程。</p><p>机电传动及控制专业方向：电气控制与PLC应用、机电一体化系统设计。 </p><p> 本专业招收理工类考生，学制四年，授工学学士学位。
本专业要求考生必须选考物理科目方可报考。</p>"
81_3219,81,3219,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"专业特色</br>
本专业是首批“国家级一流本科专业”建设点，教育部特色专业、天津市品牌专业、天津市优势特色专业，通过了国家工程教育专业认证。本专业拥有天津市教学创新团队，专业负责人是天津市教学名师。专业课程与实践涉及面广，培养的学生综合能力较强，社会声誉好，一直受到社会和用人单位的好评。</br>
培养目标</br>
本专业培养面向计算机与信息领域，培养适应国家发展需求，具有社会 、良好的职业道德和人文、科学和工程素养，系统掌握计算机科学与技术的基本理论和专业技能，具有扎实的数理基础和计算机理论基础，能够在社会大背景视角下理解、分析和解决计算机领域工程实践问题，具有项目管理能力，从事计算机应用系统设计、研发、实施、运维与管理等工作，具有终身学习能力、团队合作能力与创新能力的应用型高级专门人才。培养的毕业生多在IT相关企事业单位从事专业相关工作，包括百度、腾讯、中国移动等，部分毕业生赴海外和国内知名高校继续深造。</br>
专业核心课程</br>
高级语言程序设计、数字逻辑、离散数学、数据结构与算法、计算机网络、数据库系统、操作系统、计算机组成与结构、软件工程、编译原理、数字图像处理等。</br>
</br>
本专业招收理工类考生，学制四年。授工学学士学位。</br>
本专业要求考生必须选考物理科目方可报考。</br>
</br>"
81_3222,81,3222,信息安全,四年,工学学士,本科(普通),工学,计算机类,"专业特色</br>
本专业是首批“国家级一流本科专业”建设点，本专业负责人由教育部教学指导委员会委员担任，2017年入选 “国家网络安全优秀教师”。本专业于2005年获教育部批准，2010 年被遴选为天津市品牌专业，是天津市优势特色专业，2013 年入选教育部第三批卓越工程师教育培养计划。本专业拥有天津市级教学团队，注重学生实践创新能力培养，毕业生综合素质较高，受到社会和用人单位的一致认可。</br>
培养目标</br>
本专业面向网络与信息安全领域，培养具有扎实的计算机和数理基础，掌握信息安全的专业知识和专业技能，能够从事网络安全管理、信息系统安全维护、信息安全产品研发、系统安全设计与评估等工作的高级专门人才。培养的毕业生多在信息安全产品研发与服务企业、互联网企业、国家机关、事业单位、各级信息中心、网络运营商等单位从事网络信息安全相关工作，部分毕业生赴美国、英国等海外高校深造。</br>
专业核心课程</br>
高级程序设计语言、数据结构与算法、计算机网络原理、数据库系统、离散数学、计算机组成与结构、信息论与编码、信息安全工程与管理、密码学原理、网络安全、网络攻击与防御技术、操作系统安全、入侵检测技术、计算机病毒原理与防治等。</br>
</br>
本专业招收理工类考生，学制四年，授工学学士学位。</br>
本专业要求考生必须选考物理科目方可报考。</br>"
81_108738,81,108738,材料物理,四年,工学学士,本科(普通),工学,材料类,<p>专业特色本专业2019年入选国家首批一流本科专业建设点。是教育部特色专业、天津市品牌专业。拥有一支由天津市特聘教授、爱岗敬业、学术和教学造诣深厚、治学严谨的高水平教学团队。专业实验与实践资源丰富。学生基础扎实，培养质量高。毕业生能够在新材料、电子信息、能源等相关领域研发、制造、管理、教学等工作。培养目标1.本专业培养的学生，能掌握扎实的理论基础知识和熟练的实践技能，具备较强的创新意识、良好的英语能力和计算机应用能力。具有人文社会科学素养、社会责任感，能够在工程实践中理解并遵守工程职业道德和规范，履行责任，掌握科学锻炼身体的基本技能，接受国防教育，身体健康，心理素质好。2.具有现代科学意识和国际视野，在材料科学、凝聚态物理、材料分析与测试、新型电子信息材料、纳米材料及相关的领域具有宽厚的理论基础、扎实的专业基础知识、熟练的实验技能。3.学生掌握材料科学领域的基本理论和技术，具有扎实的数理基础，基本的材料科学基础理论、掌握基本的材料性能测试监测技术，初步具备综合类实践、实验独立设计、分析和调试能力以及进行产品开发与设计、技术改造和创新、工程设计与分析等解决实际工程问题的能力。专业核心课程材料科学基础、材料物理化学、固体物理、量子力学、材料物理性能、材料现代分析方法、材料合成与制备、半导体物理、半导体材料与器件应用、电子信息材料、纳米电子学、材料工程基础等。本专业招收理工类考生，学制四年，授理学学士学位。本专业要求考生必须选考物理科目方可报考。</p>
81_108736,81,108736,测控技术与仪器,四年,工学学士,本科(普通),工学,仪器类,"专业特色</br>
本专业是国家级“一流专业”建设专业，通过中国工程教育认证，达成毕业生学历国际互认。专业面向仪器科学与技术相关工程领域，是电子、光学、精密机械、计算机技术与信息技术等多学科交叉型专业。以测试测量理论和方法为基础，以信息获取、测量与应用为主要任务，研究测控仪器的工作原理、应用技术和设计方法。培养具备信息测量与控制、仪器仪表综合设计与应用等方面的基础理论和专业知识，能够在仪器仪表工程领域从事科学研究、技术开发、生产管理等工作的应用型工程技术人才。</br>
培养目标</br>
本专业培养适应地方经济建设和社会发展需要，能够在仪器仪表工程领域从事科学研究、技术开发、企业生产管理等工作的应用型工程技术人才。经过工程实践与学习深造，具备以下能力：</br>
1.具有社会责任感、良好的职业道德、工程素养和人文素养；</br>
2.具备自然科学基础知识、仪器仪表工程领域的基础理论和专业知识的综合应用能力，进行测控系统设计与开发；</br>
3. 具备仪器仪表工程领域丰富的工程实践经验，能够作为骨干成员在工程项目中承担主要工作；</br>
4.具有创新意识、自主学习和实践能力。</br>
专业核心课程</br>
电路、模拟电子技术、数字电子技术、工程光学、工程力学、精密机械设计、信号与系统、自动控制原理、单片机技术原理、专业导论、传感器与检测技术、测控电路、误差理论与不确定度评定、测控仪器设计、光电检测技术、激光应用技术、计算机视觉系统与应用、数字图像处理与图像分析、虚拟仪器技术、电子设计自动化、精密测量理论与技术、嵌入式系统设计与应用。</br>
</br>
本专业招收理工类考生，学制四年，授工学学士学位。</br>
本专业要求考生必须选考物理科目方可报考。</br>"
81_3239,81,3239,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,"专业特色</br>
本专业是国家级“一流专业”建设专业、天津市一流专业、“教育部卓越工程师教育培养计划”实施专业、教育部工程教育认证专业和十三五天津市应用型专业，毕业生学历国际互认。该专业面向国家战略和京津冀地区电子信息行业发展需求，以立德树人为根本，以“重品德、厚基础、宽口径、强实践”为宗旨进行办学，建立了系统的、特色鲜明的专业培养体系，具备保障学生培养质量的长效机制。</br>
该专业突出“以学生为中心”的工程教育理念，根据产业需求逆向设计科学的课程体系，通过设置贯穿大学四年的工程实践，注重工程实践能力的培养，使学生掌握现代电子技术理论、通晓电子系统设计原理与设计方法，具备分析和解决电子信息相关领域复杂工程问题的能力。学生毕业后能够通过读研或者出国进修继续深造。</br>
培养目标</br>
本专业培养具备社会主义核心价值观，扎实的数学与自然科学基础和现代电子技术理论、电子系统设计原理与设计方法方面的基础理论和专门知识，具有在电子信息领域跟踪和发展新理论、新知识、新技术的能力，并具有国际视野、社会责任感及健全人格，能够成为在电子信息领域及相关产业中从事研究开发、工程设计、设备制造、网络运营或技术管理等工作的应用型高级工程技术人才。具体体现在以下5方面：</br>
1.专业知识：能够适应现代电子信息工程技术发展，融会贯通工程数理基本知识和电子信息工程专业知识，能对复杂工程项目提供系统性的解决方案。</br>
2.创新能力：能够跟踪电子信息工程及相关领域的前沿技术，具备一定的工程创新能力，以及运用现代工具从事本领域相关产品的设计、开发、生产和研究的能力。</br>
3.个人素养：具备社会责任感，理解并坚守职业道德规范，综合考虑法律、环境与可持续性发展等因素影响，在工程实践中能够积极服务国家与社会。</br>
4.管理能力：具备健康的身心和良好的人文科学素养，拥有团队精神、有效的沟通、表达能力和工程项目管理的能力。</br>
5.学习能力：具有一定全球化意识和国际视野，能够积极主动适应不断变化的国内外形势和环境，拥有自主的、终生的学习习惯和能力。</br>
专业核心课程</br>
电路、模拟电子技术、信号与系统、 数字电子技术、高频电子线路、电磁场与电磁波、数字信号处理、电子信息工程专业导论、工程伦理概论、项目管理与经济决策、微机原理及单片机技术、通信原理。分成2个专业方向：</br>
信号处理方向：数据结构与算法、信息理论基础、传感器原理及应用、数字图像处理等。</br>
微波天线方向：微波电子线电路、微波技术、天线原理与技术、天线设计与仿真等。</br>
</br>
本专业招收理工类考生，学制四年，授工学学士学位。</br>
本专业要求考生必须选考物理科目方可报考。</br>
本专业对应硕士专业：信息与通信工程（一级学科代码0810）、通信与信息系统（二级学科代码081001）、信号与信息处理（二级学科代码081002）。</br>"
81_3240,81,3240,通信工程,四年,工学学士,本科(普通),工学,电子信息类,"专业特色</br>
本专业是十二五天津市品牌专业、十三五天津市应用型专业，以立德树人为根本，以“学生为中心”的工程教育理念为导向，以“重品德、厚基础、宽口径、强实践”为宗旨，构建具有专业特色的培养体系和质量保障机制。本专业以通信和信号处理理论和方法为基础，以信息的传输和处理为主要对象，从信息采集到传输，从信号分析到处理，从功能模块到系统，培养学生分析和解决通信工程问题的能力。本专业基础理论完备，内涵丰富，应用领域广泛，是推动信息产业发展的专业之一。毕业生具备扎实的通信工程基本理论及专业知识，在行业中供不应求，并能够在国内或国外继续深造。</br>
培养目标</br>
本专业培养适应国家和京津冀区域经济建设和社会发展需要，能够在通信工程及相关领域从事科学研究、技术开发、企业生产管理等工作的应用型高级工程技术人才。根据学校定位，通信工程专业培养目标具体如下：</br>
1.具备健康的身心、强烈的社会责任感、良好的人文素养和工程素养，并坚守职业道德规范，具有全球化意识和国际视野，拥有团队精神、有效的沟通、表达能力和工程项目管理的能力；</br>
2.具备通信领域相关的理论和专业知识，能对通信领域复杂工程项目提供系统性的解决方案，同时综合考虑法律、环境与可持续性发展等因素影响；</br>
3.具备通信工程及相关领域丰富的综合应用能力和工程创新能力，进行通信技术研究、系统设计与开发，能够在工程项目中承担主要工作；</br>
4.具有终生学习能力，能够适应通信技术的快速发展。</br>
专业核心课程</br>
电路、信号与系统、模拟电子技术、数字电子技术、电磁场与电磁波、通信原理、高频电子线路、数字信号处理、数据结构和算法、微机原理及单片机技术、通信工程导论、信息理论基础、微波技术与天线、移动通信、交换技术与通信网、工程伦理概论、项目管理与经济决策等。</br>
</br>
本专业招收理工类考生，学制四年，授工学学士学位。</br>
本专业要求考生必须选考物理科目方可报考。</br>
本专业对应硕士点学科：信息与通信工程（一级学科代码0810）、通信与信息系统（二级学科代码081001）、信号与信息处理（二级学科代码081002）。</br>
</br>"
81_3252,81,3252,制药工程,四年,工学学士,本科(普通),工学,化工与制药类,"专业特色</br>
制药工程专业于2011年获批为天津市品牌专业，2010年获得制药工程专业硕士学位授予权，2019年获批建立“天津市药物靶向与生物成像重点实验室”。专业坚持创新能力培养四年不断线的教学理念，实现四位一体的实习实践教学模式，采用课堂教学、科学研究和企业需求三结合的教学组织方法，从而以学生为中心构建了集创新型、工程型、应用型人才培育于一体的教学机制，适应京津冀地区制药及相关健康产业对专业化人才的需求。</br>
培养目标</br>
    培养综合具备药学、化工、化学等学科中与制药密切相关的专业基础知识和工程实践能力，具有社会责任感和国际视野，遵守工程职业道德规范，能够在制药、保健、化妆等相关行业从事产品生产、科技开发、应用研究、车间设计、经营管理等方面工作的应用型高级专门人才。</br>
专业核心课程</br>
    制药工艺学、制药车间设计、药物化学、药物合成反应、药理学、药剂学、药物分析学、天然药物化学、生物制药技术、环境与安全等。</br>
</br>
本专业招收理工类考生，学制四年，授工学学士学位。</br>
本专业要求考生必须选考化学科目方可报考。</br>"
81_3227,81,3227,应用物理学,四年,理学学士,本科(普通),理学,物理学类,"专业特色</br>
     本专业依托物理学一级学科，具有鲜明理工融合特色，培养学生掌握扎实物理学基本理论、方法和基本实验技能，具有良好的数学基础，成为高素质的应用型人才。同时本专业既体现物理专业的特点，又兼顾光电及光学方面的应用，强调物理学与光电、光学领域的紧密交叉结合，使学生具有理科的基础、工科的发展余地，为其今后在物理、光电及材料等交叉学科发展上打下扎实的基础。</br>
培养目标</br>
1.培养具备较扎实的物理学基础和相关应用领域的专门知识，具备较强科学实践能力和创新意识的应用物理学专门人才；</br>
2.培养能够在物理学科、交叉学科以及相关科学技术领域从事教学、研究、新技术开发与应用以及管理工作，或在物理学及相关学科继续深造的应用型高级专门人才；</br>
    3.培养未来能够在相关科研部门、产业研究部门、高等院校等从事应用物理前沿科学研究和教学、自主创新研发工作，以及高科技领域开发及管理、人才培训等工作的专门高级人才。</br>
专业核心课程</br>
力学、热学、电磁学、光学、原子物理学、理论力学、热力学与统计物理、数学物理方法、电动力学、量子力学、固体物理、普通物理实验、近代物理实验、光谱学与光谱技术、激光原理、光电技术基础。</br>
</br>
本专业招收理工类考生，学制四年，授理学学士学位。</br>
本专业要求考生必须选考物理科目方可报考。</br>
 </br>"
81_3229,81,3229,环境工程,四年,工学学士,本科(普通),工学,环境科学与工程类,"专业特色</br>
本专业为天津市一流本科专业建设点。专业注重培养学生实践与创新能力，建有水处理装置、垃圾填埋场、农林废弃物堆肥装置、市政管网模拟等多套中试级别的校内实训基地，并与多家环保企业联合建有实践基地。培养能在环境相关行业从事科学研究、工程设计、生产与运营管理、环境管理与规划等方面工作的复合型工程技术人才。</br>
培养目标</br>
1.具有良好的职业道德、个人修养、国际视野及可持续发展理念，在工作中具有较高的职业素养和社会责任感；</br>
2.在水、大气及土壤等环境介质污染治理与控制、固体废弃物处理处置及资源化、物理污染控制等方向具备独立开展科学研究、工程设计、技术开发和生产管理的能力；具备从事环境监测与评价、环境规划与管理的知识与能力；全面掌握注册环保工程师的理论知识体系；</br>
3、能够从事工程设计类如环境介质污染治理与控制、固体废弃物处理处置及资源化、物理污染控制工程项目的设计等工作；能够从事环境咨询类包括环境影响评价、环境工程咨询、环境监理与监测、环境管理体系与环境标志产品认证等工作；能够主动跟踪社会科技发展，并关注环境可持续发展问题进行技术创新。</br>
专业核心课程</br>
环境工程微生物学、环境工程原理、给水处理工程、水污染控制工程、大气污染控制工程、固体废弃物处理处置及资源化利用、环境监测、物理性污染控制工程、环境影响评价、环境规划与管理。</br>
</br>
本专业招收理工类考生，学制四年，授工学学士学位。</br>
本专业要求考生必须选考化学科目方可报考。</br>"
