special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
82_3304,82,3304,包装工程,四年,工学学士,本科(普通),工学,轻工类,<p>专业特色：本专业旨在培养德、智、体、美全面发展，知识、能力、素质协调统一，掌握包装工程基础理论和相关设计与艺术知识，具备现代包装设计、包装制造技术、包装技术研究与开发、包装生产与管理等工作能力的高级应用型人才。</p><p>培养目标：具有扎实的自然科学基础，较好的人文、社会科学基础以及良好的科学素养；掌握材料科学与工程、机械工程及自动化、艺术设计和计算机应用等包装工程的基础理论；系统掌握本专业所需的专业基本知识与技能，以及相关学科和专业的基础知识；具有分析解决包装工程技术问题、实现产品包装系统整体设计的能力，具有研究开发新材料、新结构、新工艺、新设备和工程管理的能力。</p><p>合作办学：与泰国农业大学签订合作协议，开展交换生项目，共同培养包装工程专业本科生；与芬兰拉普拉塔理工大学签订合作协议，共同培养包装工程专业硕士研究生，授予包装工程专业中芬双硕士学位。</p><p>就业前景：毕业生能在各类与包装相关的企业、科研机构、外贸、商检、商品生产和物流等部门的产品包装领域从事包装系统设计、包装材料选用、包装工艺设计、产品质量检测、管理与研发等工作。每年读研深造和出国留学的人数占应届毕业生的20%以上。</p>
82_3291,82,3291,高分子材料与工程,四年,工学学士,本科(普通),工学,材料类,<p>高分子材料与工程专业始建于1958年，是我国高校中最早成立的塑料成型加工专业， 1984年成为国内本学科最早的硕士授权点之一。几十年来，本专业共培养本科生3000余人，已成为国内外高分子材料与加工工程行业的栋梁之材，许多毕业生在塑料加工领域的企业及研究单位担任公司领导、技术主管，为我国高分子材料与工程工业的发展做出了重要贡献，成为我国高校同类专业中具有较强实力和影响力的专业之一。如今的主要研究方向包括各种功能高分子材料制备的新技术和新理论，以及高分子材料加工过程的控制优化、复合材料的加工设备设计等领域。</p><p>主要课程：学生主要学习无机与分析化学、有机化学、物理化学、化工原理、高分子化学、高分子物理、高分子材料与应用、聚合物成型工艺、聚合物成型模具、聚合物成型设备、聚合物助剂、聚合物改性原理、高分子材料成型模具制造、高分子模具流动分析等系列课程。培养目标：本专业培养能在高分子材料的合成与改性、加工成型、新材料的开发与应用等领域从事科学研究、新产品开发、工艺、模具和设备设计、生产及经营管理等方面的高级工程技术人员。</p><p>培养要求：掌握本专业的基本理论和专业技能，具有较好的创新和创造能力，具有认识问题、分析问题和解决问题的能力；具备在实际工作中再学习和提高的能力；具有较高的人文素质和协作精神。</p><p>考研就业：本专业培养的毕业生适应面广，学生毕业后去向主要有：（1）石油化工、汽车、航天航空、电子电器、通讯、食品、医药、生物、包装、轻工等三资企业大型国有企业、公司、科研院所从事各种材料的研发、改性、生产、加工、模具设计及管理的高级工程技术工作；（2）在海关、商检、外贸、物资、公安、环保等部门从事相关的分析测试及技术监督等工作；（3）继续深造，攻读硕士、硕博连读学位或出国攻读研究生。</p>
82_3293,82,3293,过程装备与控制工程,四年,工学学士,本科(普通),工学,机械类,<p>本专业为多学科交叉专业，学生应掌握机械工程、化学工程与技术、动力工程及工程热物理、控制工程等方面的基本概念和基本理论。本专业主要研究化工、食品、生物、制药、环境、材料等过程工程装备技术，研究内容包括：高效传热传质技术与装备、流体流动与非均相分离技术、干燥与粉体加工技术及机械、冷热过程节能与测控、能源环境综合技术与装备，涉及过程工业典型过程（反应、传热、传质、分离、混合、流动）及其装备的研究开发，将机械工程、泛化学工程、动力工程、控制工程、材料工程等交叉集成，实现流程性产品的绿色、节能生产，开发设计新型的过程工程装备。</p><p>专业培养：本专业主要培养学生从事生化、化工、轻工、食品、医药、环保等生产过程中装备（设备、机械）的设计、制造、研发、管理。学生应具有机械制造、化工工艺、生化工艺及控制工程等方面的知识，系统掌握机械学、化学工程学、生化工程学、控制工程学及管理工程学的基本理论和基本技能，获得过程装备及控制工程设计的系统训练，掌握过程装备制造的理论知识和操作技能。培养具有理论研究、工程设计、技术开发及生产管理能力的高级工程技术人才。</p><p>师资队伍：本专业拥有一支高水平的师资队伍，其中天津市高校青年领军人物1人，天津市青年千人计划一人，享受国务院政府特殊津贴2人。共有教授5人，副教授9人，具有博士学位教师12人。本专业教师主持了多项国家自然科学基金、“863项目”，“教育部科技支撑项目”，天津市基础研究项目，同时承担多项企业合作、技术开发等项目，许多研究成果达到国内先进水平。</p><p>考研就业：可继续深造，攻读国内外大学研究生，本校招生专业有：化工过程机械、能源工程、动力工程，每年招收硕士研究生25名左右；近几年本专业毕业生有40多名考取浙江大学、天津大学、大连理工大学、北京化工大学、中国石油大学985院校研究生。</p><p>本专业为教育部高校招生绿牌专业，就业及发展前景良好，连续多年本科生就业率超过95%。本专业是多学科、多领域相互交叉，集机、电、生化为一体，知识面宽、深受用人单位欢迎的专业。毕业生就业前景广阔，就业竞争力强，即可在生物、食品、医药、化工、石油、环保、劳动安全等行业部门从事工程设计、技术开发、生产管理和科学研究等方面的工作，还可到相关研究院、设计院从事研发工作，社会需求量大。</p>
82_3295,82,3295,测控技术与仪器,四年,工学学士,本科(普通),工学,仪器类,<p>本专业本科培养始于1999年，2010年被评为天津市品牌专业。以培养从事信息采集、处理、传输以及自动化检测与控制技术的人才为基本目标，着力于培养应用型高级复合型人才。在课程设置上，形成了“基础教育平台+仪器科学平台＋专业教育平台”的课程体系，将理论教学与实践训练相融合。</p><p>培养目标：本专业以培养从事信息采集、处理、传输以及自动化检测与控制技术的研究与应用方面的复合型高级专门人才为目标，紧密结合市场需求，设置信息采集与处理、通信技术、测控技术与系统等课程内容进行深入的专业学习与训练。重视工程实践训练，强化创新意识，全面提高学生的工程素质和创造能力。要求学生具有坚实的自然科学、外语和计算机基础，掌握系统的仪器仪表科学基础理论和基本技能。</p><p>师资力量：现有教师10人，其中，7人具有高级职称，7人具有博士学位，6人为硕士生导师，2人拥有海外留学经历。骨干教师先后获得天津市“五一”劳动奖章、天津市德艺双馨十佳教师、 天津市“三八”红旗手、天津市教学名师及天津科技大学教学名师等荣誉。教师团队具有较强的教学科研实力，近年来主持多项国家级科研项目，发表学术论文100余篇。</p><p>学生获奖：近五年，本专业学生累计获得各种科技竞赛奖项30余项，包括全国大学生电子设计竞赛、“挑战杯”全国大学生课外学术科技作品竞赛、“挑战杯”中国大学生创业计划竞赛、全国大学生“飞思卡尔”杯智能汽车竞赛、全国大学生机器人大赛等。</p><p>就业考研：本专业是多学科、多领域相互交叉的专业，知识面宽，就业面广，学生可从事各类信息的采集、处理、传输及自动控制技术的研究、开发与应用工作，适用于各类高等院校、企事业单位及测试计量管理部门。学生也可以选择进入国内外各类高校继续深造，每年均有学生考入985/211学校攻读硕士研究生。</p>
82_3299,82,3299,自动化,四年,工学学士,本科(普通),工学,自动化类,<p>培养目标： 本专业培养具备坚实的电路原理、电子技术基础、自动控制理论、过程控制、自动检测与仪表、信息处理及计算机技术等工程技术基础理论，掌握生产过程自动化、工业电气自动化、电子与计算机应用等方面专业知识，受到良好的实践训练，具有较强解决工程实际问题能力的高级工程技术人才。</p><p>学制： 四年学位： 工学学士</p><p>主要课程： 电路原理、模拟电子技术、数字电子技术、自动控制理论、自动检测技术及仪表、控制仪表及装置、过程控制系统、计算机控制系统、微机原理、单片机与接口技术、嵌入式系统、工控机与PLC、电气自动化概论、先进控制技术及应用、网络控制技术、自动化工程设计概论、最优控制等就业前景： 本专业毕业生知识面较宽，就业前景广阔。可在工业自动化、电气自动化、电子和计算机应用等领域从事科研开发、工程设计、系统运行与维护、管理和决策等工作。</p>
82_3290,82,3290,环境科学,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>本专业成立于2002年，以“立足天津，面向全国”的服务面向定位，特别是适应天津滨海新区经济建设和社会发展对人才得需求，培养具有创新精神和实践能力的高素质应用型人才为目标。</p><p>专业培养：本专业旨在培养德、智、体、美全面发展，系统掌握环境自然科学、环境技术科学和环境人文社会科学等方面基本理论、基本知识和实践技能，具有环境监测、环境评价、环境治理与设计、环境管理与规划的实践能力，具有创新意识、分析解决问题和开展科学研究的能力，能够在政府、科研机构、企事业和行政部门从事科学研究、环境保护和环境规划管理等工作的高素质应用型人才。</p><p>培养要求：掌握全面扎实的环境科学专业基本理论和基本知识；了解环境自然科学、环境技术科学与环境人文社会科学的理论前沿；接受环境科学专业技能的基本训练；具有运用多学科知识，识别、分析与解决环境问题的素养；具有一定的环境科学研究和实际工作能力，具有一定的创新性思维能力。</p><p>师资力量：承担国家863计划项目、973项目、国家自然科学基金项目、国家“水专项”、环保部公益专项项目、水利部项目、天津市科委、农委和科技兴海项目等科研项目，多项研究成果达到国际先进、国内领先水平。</p><p>考研就业：本专业毕业生可以进入环保领域的大专院校、科研院所和企事业单位，以及海洋、国土、水利、电力、交通、市政建设和规划等单位的环境监测部门，也可以在各大中型企业、公司的环保部门及咨询机构从事环境咨询工作。我校拥有环境科学与工程一级学科硕士学位授权点。每年读研深造和出国留学的人数占应届毕业生的30%以上。</p>
82_3333,82,3333,印刷工程,四年,工学学士,本科(普通),工学,轻工类,<p>本专业始建于1991年，是天津市唯一的印刷工程本科专业。2003年天津科技大学在轻工技术与工程一级学科下自主设置印刷工程硕士学位授权点。2013年调整为印刷与包装工程博士和硕士学位授权点。</p><p>专业特色：该专业以传递和再现图形图像为主要目的，以计算机技术、材料科学、光学工程、电子信息、机械工程等相关学科理论为基础，研究图形图像等可视化信息的获取、制作、处理、传输、记录与再现过程的原理、方法和应用技术，实现上述信息的再现和可视化应用。</p><p>培养目标：学生具备良好的自然科学基础、工程应用能力和人文艺术修养；掌握印刷及相关媒体生产的基本原理、技术和方法；熟悉印刷及相关领域的生产和运行管理；具备较强的分析、解决工程技术问题的能力和创新意识。</p><p>主要课程：印刷概论、印刷色彩学、色彩管理、印前处理原理与技术、印刷原理与工艺、印刷质量标准与测控、印后加工与整饰、媒体设计与制作、数字印刷与流程控制、印刷材料与适性、印刷设备与控制、数字图像处理、计算机图形学、印刷企业管理系统、云印刷网页设计与网站开发、印刷电子学、特种印刷、包装和标签印刷等。</p><p>就业前景：毕业生可在工业印刷、包装、出版、互联网等行业从事图形图像等可视化信息、媒体及功能的设计、制作、处理、传播、生产管理、工艺及质量管控等工作。</p>
82_3337,82,3337,日语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>本专业2004年开始招生，近年来学院积极引进海内外优秀人才，并充分利用国际优秀的教育资源，与日本多所高校开展了本科生 “1+3”、“2+2”、“3+1”等合作办学及本、硕互派公费交换生项目，形成了多种形式的本科及硕士层次的人才培养模式。</p><p>培养目标：本专业培养具有扎实的日语语言基础和广泛的科学文化知识，在中日贸易、外事、文化、新闻出版、教育、科研、旅游等相关领域从事翻译、管理、教育和研究等工作的高水平日语专业人才。学生主修课程为日语语言专业基础、文学文化、翻译三大系列，同时可选修人力资源管理相关课程。学生受到日语听、说、读、写、译等基本技能训练和语言文化等专业知识和创新能力的培养。</p><p>培养要求：掌握扎实的日语基本技能和日语基础知识。具有较好的人文社会科学素养和较强的日语语言表达能力。具有对日语基础的基础研究和批评能力。具有专业必要的语言和沟通能力，具有较强的日语交流能力和团队合作能力，具有创新意识、终生教育的意识和继续学习的能力。</p><p>师资力量:本专业拥有一支以中青年为主力、教学及科研能力强、业务精湛的师资队伍。共有专业教师14人，其中90%以上有海外学习经历，近60%的教师具有博士学位。教师在市级高校教师课堂教学比赛中多次获得二、三等奖。2人入选天津市“131”创新型人才培养工程第三层次人才，1人入选天津市“用三年时间引进千名以上高层次人才”计划。主持国家社科基金1项、省部级科研项目6项、局级项目3项。教师发表相关学术论文50余篇，出版译著8部。</p><p>专业奖项: 学生取得“笹川杯”全国高校日本知识大赛“优秀团队奖”、“团体三等奖”和“个人优胜奖”，获得“大中物产杯”日语演讲大赛初级组冠、亚军，“加计学园杯”日语演讲国际比赛(北京赛区)冠军，天津市高校翻译大赛一、二、三等奖，中国人日语作文大赛三等奖，日本广岛大学日语作文演讲比赛优秀奖等奖项。</p><p>合作办学: 近年来，本专业与长崎大学、福井大学、福山大学等日本高校开展合作办学及互派留学生项目，每年派出公费生和自费生二十余名，成绩优异者还可获得国家留学基金委或日方提供的奖学金。达到中日双方学校毕业要求的学生，可同时获得中国和日本两方大学颁发的学士学位证书；硕士研究生在学期间可到日本公费交换留学。截至目前，赴日学习的学生达140余人。</p><p>就业考研：学生毕业后可在外事、外企、贸易、文化、新闻出版、教育和行政管理等部门从事翻译、管理、教学及研究等方面的工作。本专业优秀毕业生可推荐免试攻读硕士研究生，毕业生中已有多名同学考入早稻田大学、神户大学、中央大学等日本高校以及北京大学、上海外国语大学、武汉大学等国内名校继续深造。</p>
82_3311,82,3311,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>本专业前身为1987年设立的应用英语专业，1996更名为工业外贸专业，1998年更名为英语专业，是我校首个语言类专业，为外国语学院老牌专业。</p><p>本专业强化质量意识，内化教师素质，积极引进海内外知名高校的优秀人才，促进本专业内涵式发展；利用国外优质高等教育资源，积极谋划、探索国际合作办学模式；根据社会和学生需求，制定动态的课程体系；坚持以学生为本，注重培养学生可持续发展潜能，增强学生的就业能力和社会竞争力。经过30年的发展，本专业已为我国外事、外贸、文化、新闻出版、教育、科研等领域输送了2000多名综合素质高、适应能力强的英语复合型人才。</p><p>培养目标：培养具有扎实的英语语言功底、熟练的英语语言技能（即：听、说、读、写、译能力）、宽广的科学文化知识、熟知目的语国家文化、具有较强的跨文化交际能力的英语复合型人才，能够在我国外事、外贸、外企、新闻出版、教育科研等领域，胜任外事翻译、国际商务与管理、英文编辑与校对、教育和科研等工作。</p><p>本专业分基础阶段（一、二年级）和高级阶段（三、四年级）的学习。</p><p>一、二年级的基础阶段，夯实学生的英语语言基础知识，学生受到英语听、说、读、写、译等基本技能的系统、科学训练，为高年级阶段学习打下坚实基础。</p><p>三、四年级的高级阶段，根据社会需求、学生需求和兴趣，设置开放、动态的课程模块，例如：英语专业的商务方向课程模块、英日双语方向课程模块、英语教育模块等。学生可根据自己的兴趣和爱好，进行方向课程模块的选择。注重学生思辨能力、人文素养和创新思维等能力的培养，以实现复合型人才的总体培养目标。</p><p>培养要求：根据商务、英日双语、英语教育等不同方向，在基础阶段（一、二年级）和高级阶段（三、四年级），设置灵活的课程设置体系，提出相应的培养要求（以商务方向和英日双语方向为例）。</p><p> 商务方向（English Business）</p><p>主修课程：基础阶段的英语专业基础课程、高年级的文学文化、翻译和商务四大系列课程。学生受到英语听、说、读、写、译等基本技能训练和文化、商务等专业知识和创新能力的培养。</p><p>培养要求：通过四年的本科阶段学习，学生掌握扎实的英语基础知识和英语基本技能，商务基础知识和基本技能；具有较好的人文社会科学素养和较强的英语语言文字表达能力；具有对英语基础理论和商务基础知识的基础研究和批评能力；具有较强的英语和商务交流能力和团队合作能力，具有创新意识、终生教育的意识和继续学习的能力。</p><p>英日双语方向 (English-Japanese)</p><p>主修课程：基础阶段的英语专业基础、日语专业基础、高年级的文学文化、翻译等系列课程。学生接受英语、日语听、说、读、写、译等基本技能训练和语言文化等专业知识和创新能力的培养。</p><p>培养要求：通过四年的本科阶段学习，学生掌握扎实的英语、日语两种语言的基本知识和基本技能；具有较好的人文社会科学素养和较强的英语和日语语言表达能力；具有对英语基础理论和日语基础知识的基础研究和批评能力；具有较强的与目的语国家人士进行语言沟通和跨文化交际能力；具有创新意识、终生教育意识和继续学习的能力。</p><p> </p><p>师资力量：本专业师资力量雄厚，共有英语专业教师22人，日语专业教师14人，近45%具有博士学位，50%以上具有海外留学经历，其中50%具有高级职称，天津市级教学名师1人。教师职称、年龄及专业结构合理。</p><p>教师教学经验丰富、科研能力强。近5年来，在天津市及全国教师课堂教学竞赛中多次获得一、二等奖；本专业教师主持国家级、省部级科研立项8项，出版专著及译著10几部，在全国外语类重要刊物及普通刊物上发表百余篇论文。</p><p>专业奖项：近年来，本专业学生在“外研社杯”全国英语演讲比赛、阅读比赛和写作比赛、“外研社杯”全国英语辩论赛、海峡两岸全国口译大赛华北赛区、“21世纪杯”全国英语演讲比赛以及天津市大学生英语演讲竞赛、天津市高校翻译大赛等各级、各类专业竞赛中屡获佳绩。</p><p>就业考研：本专业学生毕业后，一部分在外经外贸公司、日资及合资企业、商业投资公司、国际教育机构、中小学校、新闻媒体、科研院所等单位就业，从事涉外经贸、英语、日语翻译、英语教学及管理等工作，并得到了用人单位的广泛认可和好评。一部分毕业生选择自主创业，业务已发展到国际市场。一部分毕业生选择继续深造，近年来考取了北京大学、浙江大学、北京外国语大学、上海外国语大学、广东外语外贸大学、外交学院、上海理工大学等国内知名高校的研究生，展现了他们的良好的专业素质、宽广的知识面，较强的工作能力和社会适应能力。</p>
82_3317,82,3317,翻译,四年,文学学士,本科(普通),文学,外国语言文学类,<p>翻译专业前身为天津科技大学外国语学院英语专业口笔译方向。2014年正式招收本科生。主修课程为专业基础、文学文化、翻译(笔译和口译)三大系列。学生接受英语语言基本技能训练和文化、翻译等专业知识以及创新能力的培养。</p><p>专业培养：为国家培养具有扎实的英汉语言基本功，较强的跨文化交际能力，适应社会发展需求、具备社会竞争力，能够在涉外企业、外事、文化教育、新闻出版、科研等部门从事具体翻译实务和基础翻译研究的具有创新意识、国际视野和家国情怀的优秀翻译人才。</p><p>培养要求：掌握扎实的英语语言应用技能和基础知识、英汉翻译理论和基本技能；具有较好的人文社会科学素养和较强的英、汉语文字表达能力；具有对英语语言基础理论、翻译基础理论基本的研究和批评能力；具有专业必需的语言和沟通能力，具有较强的英语语言交流能力和团队合作能力，具有创新意识、终生教育的意识和继续学习的能力。</p><p>师资力量：本专业拥有一支教学经验丰富、科研能力强、职称、年龄及专业结构合理的师资队伍。共有专业教师23人，40%具有博士学位，50%以上具有海外留学经历，具有高级职称教师占53%，天津市级教学名师1人。在全国外语类重要刊物及普通刊物上发表近百篇论文，承担天津市及国家级项目多项，在天津市及全国教师课堂教学竞赛中多次获得等级奖。</p><p>专业奖项: 学生在“外研社杯”全国英语演讲比赛、天津市大学生英语演讲竞赛、“21世纪杯”全国英语演讲比赛、“外研社杯”全国英语辩论赛、海峡两岸全国口译大赛华北赛区、“中译杯”全国口译大赛、天津市高校翻译大赛等全国及天津市各类专业竞赛中屡获佳绩。</p><p>就业考研：本专业毕业生社会需求量大，就业面宽，可以在国际贸易、外事、文化、新闻出版、教育、科研、旅游等部门从事翻译实务、翻译研究、英语教学、英语培训、语言服务等各项相关工作。本专业学生近年来推免或考取北京大学、北京外国语大学、上海外国语大学、广东外语外贸大学、南开大学、外交学院、山东大学、对外经贸大学、北京邮电大学、中国石油大学等国内重点院校的研究生，展现了本专业学生优异的学习能力与良好的专业素养。</p>
