special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
95_3903,95,3903,美术学,四年,艺术学学士,本科(普通),艺术学,美术学类,    业务培养目标：本专业为美术史论、美术教育领域培养教学和科研，美术评论和编辑、艺术管理和博物馆等方面的高级专门人才，学生毕业后能从事美术教育、美术研究、文博艺术管理、新闻出版等方面的工作。 <br>　　业务培养要求：本专业教学以马克思主义
95_3904,95,3904,绘画,四年,艺术学学士,本科(普通),艺术学,美术学类,"    我院是全国具有重要影响的专业美术学院之一，我院按照""发挥优势、办出特色、加快发展、提高实力、争创一流""的办学思路，培养德、智、体、美全面发展的美术创作、艺术设计和艺术理论的高素质专门人才。"
95_3905,95,3905,雕塑,四年,艺术学学士,本科(普通),艺术学,美术学类,    培养方式： <br>　　１、由造型艺术学院基础部进行一年级的基础教学。 <br>　　２、雕塑系进行二年级至五年级的本科专业基础教学。 <br>　　３、雕塑系现设立石雕、木雕、陶艺和金属材料雕塑工作室，按照各自不同的艺术方向进行教学，学生在四、五年
95_3906,95,3906,艺术设计学,四年,艺术学学士,本科(普通),艺术学,设计学类,"　  教学目标： <br>　　培养学生掌握时机专业的基础理论和知识，强化学生对设计理念的理解和认识；培养学生具 备设计造型基础和艺术表现能力;开启学生的设计思维,强化创新意识和能力;掌握计算机设计应用等 专业技能;强化学生获取并运用知识的学习能力."
95_2012468,95,2012468,文物保护与修复,四年,艺术学学士,本科(普通),艺术学,美术学类,<p>专业定义</p><p>该专业教育的特点是文、理、工交叉渗透，现代科学技术与人文科学知识相结合；既掌握数理化等学科的基本知识和历史、文物考古的一般知识，又掌握文物保护材料应用、文物材质分析和文物保护修复等实际操作技能。例如：培养能在考古、博物馆、文物管理机构从事文物保护与科学研究工作的高级专门人才。</p><p>课程体系</p><p>《考古学概论》《文物学概论》《博物学概论》《普通化学及实验》《有机化学及实验》《分析化学及实验》《普通物理学》《高等数学》《防腐防霉杀菌概论》《文物修复与保护实验》《古建保护与维修》《文物近代分析技术》《文物与环境》等。</p><p>就业方向</p><p>事业单位：考古专家、博物馆文物管理员、文物管理员、科学研究员等。</p><p><br/></p>
95_2011783,95,2011783,戏剧影视美术设计,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,"<p>    培养目标：本专业培养具备戏剧影视美术设计等多学科交叉方面的基本理论和基础知识，以
及戏剧影视美术设计能力，能在戏剧与影视等学科领域从事舞台美术的创作设计、舞台技术制作
与应用等方面工作的复合型、创新型的人才。
</p><p>    培养要求：本专业分为学习舞台设计、舞台灯光设计、舞台绘景技术、舞台服装设计、舞台化
装设计、舞台技术制作等专业方向，学生主要学习与专业方向相关的基本理论和基础知识，以及
电脑美术设计、计算机科学、美术史学、戏剧与影视学、艺术学、音乐学等方面的知识，接受与专业
方向相关的戏剧与影视舞台美术设计、技术制作方面的基本训练，掌握舞台美术设计、技术制作
及相关领域创意设计等方面的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．了解党和国家对戏剧、影视及文化艺术领域方面的方针、政策和法规；
</p><p>    2．基本掌握舞台设计、舞台灯光设计、舞台绘景技术、舞台服装设计、舞台化装设计、技术制
作、电脑设计、计算机科学以及美术史学、戏剧与影视学、音乐学、艺术学等多学科交叉领域方面
的基本理论和基础知识；
</p><p>    3．基本掌握戏剧与影视艺术作品中的舞台美术创作设计、技术制作与应用等方面的理论研
究方法和技能技巧；
</p><p>    4．基本了解和掌握戏剧、影视作品的艺术创作过程中各环节的工作程序，具有很好地与他
人合作的素质，具有整体和大局的意识；
</p><p>    5．基本了解国内外舞台美术领域的研究发展动态和行业需求，能适应不同的工作环境，具
有较强的新技术应用与创新能力；
</p><p>    6．具有对影视与戏剧艺术作品中的美术成分进行鉴赏，以及对影视与戏剧艺术作品中的美
术内容进行一定分析的艺术及逻辑思维能力。
</p><p>    主干学科：戏剧与影视学、设计学、美术学、计算机。
</p><p>    核心课程：舞台设计、舞台灯光设计、舞台灯光技术、舞台绘景、舞台绘景技术、舞台服装设
计、舞台服装技术、舞台化装设计、舞台化装技术、舞台技术、电脑美术设计。
</p><p>    主要实践性教学环节：各个教学阶段专业课的教学实习、校内教学实习剧目和毕业剧目的舞
台创作设计实践、戏剧影视及相关领域的美术创作设计实践、社会艺术机构的参观培训、社会艺
术机构艺术创作实践、参与校外的各种社会文化艺术活动等。
</p><p>    主要专业实验：模型制作、布景制作、灯光实验、绘景实验、服装制作、人物造型实验、道具制
作、舞台技术体现、多媒体影像制作。
</p><p>    修业年限：四年。
</p><p>    授予学位：艺术学学士。
</p>"
95_1862068,95,1862068,历史建筑保护工程,五年，四年,工学学士,本科(普通),工学,建筑类,<p>		专业代码：082804T</p><p>		授予学位：工学学士</p><p>		修学年限：五年/四年</p><p>		开设课程：</p><p>		建筑初步、美术、历史建筑形制与工艺、建筑设计、建筑历史、建筑技术、保护技术、艺术史、文博专题等。</p><p>		主要实践教学环节</p><p>		包括课程实习、毕业实习等。</p><p>		培养目标</p><p>		本专业着重培养以建筑学的基本理论及技能为基础，系统掌握历史建筑和历史环境保护与再生的理论、方法与技术，具有较高建筑学素养和特殊保护技能的专家和未来的专业领导者。</p><p>		专业培养要求</p><p>		本专业学生主要学习历史建筑保护工程的基本理论、基本知识和基本技能，受到相应的基本训练，具有建筑设计、规划设计和园林设计的基本能力。</p><p>		毕业生具备的专业知识与能力</p><p>		1.了解建筑学的基本知识和理论，了解建筑历史演变的过程；2.深入了解历史建筑的形制及工艺特征；掌握历史建筑保护技术的各类知识；3.学习掌握建筑设计、规划设计和园林设计的基本理论和方法；4.深入学习和掌握城乡建筑遗产保护的理论、设计和技术，深入了解和掌握建筑理论、文博理论的基本内容。</p>
95_2012603,95,2012603,跨媒体艺术,四年,艺术学学士,本科(普通),艺术学,美术学类,<p>专业定义</p><p>跨媒体艺术强调打破媒介间的屏障，运用更灵活的媒介和手段进行艺术创作，涵盖实验影像、虚拟现实、空间多媒体与社会学、图像与视觉文化、现场艺术等多个专业领域，突破了既有的美术学学科格局，并旨在从媒体中发掘创意，从技术中发显人文，致力于培养掌握媒体技术、具有实验精神和深厚造型基础的当代艺术与新兴媒体产业的创作型人才。</p><p>课程体系</p><p>《社会基础》、《媒介基础》、《影像创作中的分工和协作》、《媒体素描》、《三维动画》、《社会性互动》、《活动影像基础》、《日常生活艺术》、《自由创作》、《影像的跨媒体实践》。</p><p>就业方向</p><p>影视、设计类企业：艺术设计、影视剪辑、动画创作。</p><p><br/></p>
95_2013156,95,2013156,科技艺术,四年,艺术学学士,本科(普通),艺术学,美术学类,科技艺术专业是艺术创作与科技创新深度结合的交叉专业。科技艺术是秉持人文精神和社会关怀，积极面对科技发展所带来的崭新人类经验和社会问题，创造性地运用新的科技发展成果。科技艺术专业致力于培养具有良好的艺术素养，关注科技发展前沿，具备科技全景视野，能够通过研究与协作将科技创新与美术创作紧密结合的创新型美术人才。
95_2156517,95,2156517,艺术管理,四年,,本科(普通),艺术学,艺术学理论类,<p>术管理专业以艺术学为基础，以管理学为依托，面向文化艺术管理人才的社会发展需要，着力培养具备较高艺术素养、掌握艺术市场经营管理的复合型，应用型专业人才。</p><p>经过四年的系统学习，能够适应画廊、拍卖行、艺术展览等艺术品经营、剧院团演艺管理、以及创意行业的企、事业单位的宣传、创意、营销、项目执行和组织管理工作，以及相关文化艺术管理管理部门的工作。</p><p><br/></p>
