special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
90_3766,90,3766,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,天津市优势特色建设专业<br/>天津市市级教学团队<br/>“双证书”制专业<br/>培养目标：培养具备良好的思想素质、人文社会科学素养和职业道德，具有一定的实践能力和创新精神，掌握机械设计、机械制造工艺及自动化控制方面的基础知识，并具备一定的职业操作技能，能够在机械设计与制造领域从事一般机械装备的产品设计与技术开发，也能从事机械制造、应用研究及生产管理等相关工作的应用型高级专门人才。<br/>主修课程：机械制图、理论力学、材料力学、工程材料及热处理、机械原理、机械设计、互换性与测量技术、机械制造工程、电工与电子技术、液压与气动控制技术、机械创新设计、机械装备设计等。<br/>主要实践教学环节：军事技能、金工实习、课程设计、三维造型训练、工程实训、毕业实习、毕业设计等，并实施大学生创新创业培养计划，开展各种设计、实做活动。<br/>就业方向：毕业生可选择到企事业单位、科研院所从事机械产品的设计、生产过程的工艺设计、企业运行管理和经营销售等工作，或选择机械类及相近专业攻读硕士。<br/>授予学位：工学学士
90_3768,90,3768,机电技术教育,四年,工学学士,本科(普通),工学,机械类,<p>国家级高等院校特色专业建设点<br/>天津市优势特色建设专业<br/>天津市市级教学团队<br/>“双证书”制专业<br/>培养目标：培养掌握机电一体化领域较宽广的技术及理论，主要包括机械工程、电气工程、自动化等基础知识；掌握本专业必需的数学分析与计算、工程图样阅读及绘制、工艺方案确定、数控机床操作、数控机床及机器人故障诊断与维修等基本技能；熟悉各种数控系统的特点、软硬件结构，掌握数控机床的操作与编程，能进行PLC编程和参数设置，了解数控机床的机械结构和机电联调技能，精通数控机床的机械和电气维修；精通数控编程、操作和维修等综合知识，能够自行完成数控系统的选型、数控机床机械结构设计和电气系统的设计、安装、调试和维修，完成机床的数控化改造；熟悉机器人的结构与原理，能够进行工业机器人的编程、操作与维护；获得中级职业资格证书，完成高级职业技能训练；能够在本专业领域从事机电一体化产品的设计制造、应用维护、技术开发工作的应用型高级专门人才及“一体化”职教师资。<br/>主修课程：画法几何及机械制图、工程力学、电工学、机械设计基础、互换性与测量技术、液压与气动控制技术、电机与拖动、机床电控及PLC、机器人技术与应用、工业机器人编程与操作、数控原理与系统、数控机床编程与操作、数控机床机械结构、数控机床故障诊断与维修。<br/>主要实践教学环节：军事理论与训练、课程设计、金工实习、技能训练、教育实习（选修）、微格教学（选修）、企业认知（选修）、生产实习（选修）、毕业实习、毕业设计（论文），并实施大学生创新培养行动计划，开展各种设计、实做活动。<br/>就业方向：毕业生可选择到中、高等职业院校从事机电类（尤其是数控机床和机器人方向）及相近专业的教学及管理工作，也可在企事业单位、科研院所从事数控机床、机器人应用与研发、故障诊断与维修、企业运行管理和经营销售等工作；或选择机电类及相近专业攻读硕士。<br/>授予学位：工学学士</p>
90_3713,90,3713,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,天津市优势特色建设专业<br/>“双证书”制专业<br/>培养目标：培养具有理想信念、道德情操、扎实学识，具备良好的思想素质、人文社会科学素养和职业道德，具有一定的实践能力和创新精神，掌握计算机科学与技术专业、嵌入式应用开发及教育教学的基本理论知识和能力，具备较强的教学技能和一定的教学研究能力，能够在计算机科学领域从事教学及教学管理、服务等方面的工作的“一体化双师型”职教师资，也能从事计算机相关行业的系统开发、测试、集成、管理和服务等工作。<br/>主修课程：高级语言程序设计、数字逻辑、数据结构、操作系统、Java程序设计、计算机组成原理、数据库原理与应用、单片机原理与应用、嵌入式体系结构及接口技术、计算机网络和Linux操作系统等。<br/>主要实践环节：教育实习、课程设计、微格教学、师范教育技能训练、说课与教学反思、毕业实习、毕业设计和技能训练等，并实施大学生创新培养行动计划，开展各种设计、实做活动。<br/>就业方向：毕业生可选择在中、高等职业院校从事专业教学和管理工作，或在国家机关以及各个企、事业单位的信息技术部门、软件公司等单位从事计算机应用系统的研发、技术服务、科学研究和信息管理等相关工作。<br/>授予学位：工学学士
90_3773,90,3773,教育技术学,四年,教育学学士,本科(普通),教育学,教育学类,天津市品牌专业<br/>“双证书”制专业<br/>培养目标：培养具有理想信念、道德情操、扎实学识，具备良好的思想素质、人文社会科学素养和职业道德，具有一定的实践能力和创新精神，掌握教育技术学专业基础理论知识和技能，具备较强的教学技能和一定的教学研究能力，能够在职业院校从事教学资源设计、开发等方面的工作的“一体化双师型”职教师资，也能在其他领域从事相关课程的教学工作。<br/>主修课程：教育技术学专业概论、教学设计、学与教的原理、高级语言程序设计、多媒体教育应用、动画制作技术、计算机网络与应用、数据库原理与应用、数据结构、移动教学App开发、现代远程教育、虚拟现实技术等。<br/>主要实践教学环节：课程设计、技能训练、教育实习、毕业实习和毕业设计等。<br/>就业方向：毕业生可选择在中、高等职业院校从事专业教学和管理工作，或从事教学媒体和教学系统的设计开发，或在企事业单位从事教育信息化及信息技术应用与管理等工作，或在多媒体、影视制作公司从事多媒体设计开发和视频节目前期后期制作等工作。<br/>授予学位：理学学士
90_3774,90,3774,网络工程,四年,工学学士,本科(普通),工学,计算机类,天津市品牌专业<br/>天津市应用型专业（建设）<br/>“双证书”制专业<br/>培养目标：培养具备良好的思想素质、人文社会科学素养和职业道德，具有一定的实践能力和创新精神，掌握计算机、通信与网络的基本理论、工程技术原理和方法，能够在企事业单位从事网络工程规划设计、网络系统管理与维护、网络应用程序设计与开发等方面的工作，也能够从事计算机网络相关技术培训工作的应用型人才。<br/>主修课程：高级语言程序设计、数据结构、操作系统、数据通信基础、数据库原理及应用、计算机网络、网络互联设备与技术、网络安全、无线网络技术、网络存储技术、云计算与大数据技术、SDN网络技术、网络规划与设计、Java程序设计和网络编程技术等。<br/>主要实践教学环节：专业实习、课程设计、毕业设计和职业技能训练等，并实施大学生创新培养行动计划，开展各种设计和实做活动。<br/>就业方向：充分利用华为ICT学院为学生提供良好的实践环境和操作平台，帮助学生获得华为职业资格认证，为学生就业奠定坚实基础。毕业生可选择在中、高等职业院校从事计算机及网络工程专业教学和管理工作，或到企事业单位从事有关网络管理、网络安全、网络工程建设、各类服务器的维护管理、动态商务网站开发与管理、网络相关产品设备的商品贸易等工作。<br/>授予学位：工学学士
90_3712,90,3712,交通运输（智能交通方向）,四年,工学学士,本科(普通),工学,交通运输类,天津市优势特色建设专业<br/>“双证书”制专业<br/><br/>培养目标：立足服务本地区智能交通生产与服务的企事业单位，面向全国智能交通软硬件产业及交通服务主体，培养具备良好的思想素质、人文社会科学素养和职业道德，掌握智能交通领域及汽车运用领域相关的专业基础理论知识和交通管理与控制技术、智能交通技术应用等领域相关技术基础和技能，能从事公路与城市道路“人-车-路-环境”系统集成、交通信息采集与处理、交通控制与管理、交通设施运行与维护等工作的应用型人才。<br/>主修课程：工程力学、机械设计基础、电工与电子技术基础、控制工程基础、电力与电子技术、电气控制与PLC、交通工程学、交通管理与控制、交通信息检测与处理技术、汽车构造、智能交通系统集成等。<br/>主要实践教学环节：专业认知实习、部件测绘课程设计、金工实习、电子工艺基础训练、汽车构造拆装实习、交通工程课程设计、交通管理与控制实习、智能交通系统集成实习、职业技能训练、毕业实习、毕业设计等。<br/>就业方向：能从事公路与城市道路智能交通系统集成、交通信息采集与处理、交通控制与管理、交通设施/设备运行与维护等工作的应用型人才。<br/>授予学位：工学学士<br/>
90_111614,90,111614,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,校内优势特色专业<br/>培养目标：培养掌握数学科学的基础理论与基本方法，具有良好的数学基础和数学思维能力，以及接受科学研究初步训练，并运用数学知识和使用计算机解决实际问题的能力，能够在中、高等（职业）院校从事数学、计算机等学科教学的师资，或在企事业单位从事实际应用、开发研究等工作的应用型高级专门人才。<br/>主修课程：数学分析、高等代数与解析几何、概率论与数理统计、常微分方程、复变函数、数值分析、数学建模、实变函数、数理方程、运筹学。<br/>主要实践教学环节：课程设计、毕业论文、教育实习、毕业实习、数学建模综合训练和大学生创新实践活动。<br/>就业方向：毕业生可选择到普通中学或职业院校从事数学学科的教学和管理工作，或在政府、金融部门从事统计与信息处理工作，也可选择数学类、计算机类、经济管理类相关专业继续深造攻读硕士。<br/>授予学位：理学学士
90_3711,90,3711,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,天津市优势特色建设专业<br/>天津市市级教学团队<br/>“双证书”制专业<br/>培养目标：培养具备良好的思想素质、人文社会科学素养和职业道德，具有一定的实践能力和创新精神，掌握电子技术和信息工程技术理论知识和能力，具备较强的教学技能和一定的教学研究能力，能够在电子信息领域从事理论和实践教学工作的“一体化”职教师资，也能在电子信息和智能制造行业从事智能电子设备设计开发及信息系统的集成调试等工作。<br/>主修课程：电路分析基础、模拟电路、数字电路、计算机基础（C语言）、软件技术基础、信号与系统、单片机应用技术、EDA技术、传感器技术与虚拟仪器、电磁场、高频电子线路、通信原理、数字信号处理、数字图像处理与应用等。<br/>主要实践教学环节：军事理论与训练、金工实习、专业认知实践、电子制图CAD课程设计、电子技术课程设计、职业技能训练、电路CAD课程设计、专业课程设计、专业综合课程设计、微格教学、教育实习、毕业设计、大学生创新实践活动等。<br/>就业方向：可选择到职业院校从事电子信息工程相关专业教学和管理工作；也可到企事业单位从事电子技术、信息处理、计算机应用技术领域的科学研究、产品设计、技术开发和管理等工作；还可报考信号与信息处理、通信与信息系统、电路与系统、计算机应用等学科的研究生。毕业生就业面宽，从业部门涉及国家机关、研究院所、高等院校、外资公司、企事业单位等。<br/>授予学位：工学学士
90_111616,90,111616,通信工程,四年,工学学士,本科(普通),工学,电子信息类,国家级高等院校特色专业建设点<br/>天津市品牌专业<br/>天津市应用型建设专业<br/>“双证书”制专业<br/>培养目标：培养具备良好的思想素质、人文社会科学素养和职业道德，具有一定的实践能力和创新精神，掌握通信基础理论知识和技能，能够在通信行业从事科学研究、工程设计、设备制造等方面的工作，也能从事网络运营、技术管理等相关领域工作的应用型高级专门人才。<br/>主修课程：电路分析基础、模拟电路、数字电路、EDA技术、单片机应用技术、软件技术基础、信号与系统、电磁场、通信原理、高频电子线路、移动通信、光纤通信技术、数据通信、微波技术与天线等。<br/>主要实践教学环节：金工实习、电子制图CAD课程设计、电子技术课程设计、职业技能训练、电路CAD课程设计、专业课程设计、专业综合课程设计、毕业设计、大学生创新实践活动等。<br/>就业方向：可从事无线通信、通信网络、计算机科学及应用电子技术领域的研究、设计和技术开发等工作。培养出的人才主要是面向IT产业、通信电信行业、各类企事业单位及管理部门。<br/>授予学位：工学学士
90_3782,90,3782,电子科学与技术,四年,工学学士,本科(普通),工学,电子信息类,天津市品牌专业<br/>天津市应用型建设专业<br/>“双证书”制专业<br/>培养目标：立足光电子行业，服务京津冀协同发展，面向工程技术应用，培养具备良好的思想素质、人文社会科学素养和职业道德，德、智、体、美全面发展，掌握电路及系统、电子材料与元器件、光电子器件的设计方法及测试技术；具备电子技术、计算机技术、信息处理技术、光电子技术、光通信技术、激光加工技术等领域的基础理论知识和实践技能，能够在光电子行业从事各种电子及光电传感系统的设计、研究和光电子应用等方面的工作，也能从事相关领域工程设计及产品开发与管理等工作的应用型高级专门人才。<br/>主修课程：电路分析基础、模拟电路、信号与系统、数字电路、单片机应用技术、软件技术基础、嵌入式系统设计、智能控制技术、基础光学、光纤光学及应用、激光原理与技术、光电子器件与技术、光纤通信与调试技术、激光加工技术、光纤传感技术等。<br/>主要实践教学环节：金工实习、电子技术课程设计、电路CAD课程设计、专业实验、专业课程设计、职业技能训练、毕业实习、毕业设计以及各种大学生创新实践活动等。<br/>就业方向：可选择到电子产品与设备生产企业，从事各种光、电产品与设备的装配、调试、检测、应用及维修技术工作；或到企事业单位从事光机电设备、光通信设备及计算机控制等设备的安全运行及维护管理等工作；还可报考物理电子学、光学工程、光学、信号与信息处理、电路与系统、计算机应用等学科的研究生。<br/>授予学位：工学学士
