special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
84_3398,84,3398,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>会计学（注册会计师）：本专业培养掌握扎实的会计基础理论，熟悉国内外财务、会计及审计规则，通晓国家相关法律法规和政策，具有较高理论水平、实际应用能力和国内外合格水平的执业会计师。</p><p>本专业特色：以培养引领创新、服务社会、顺应时代要求、具有可持续发展潜质的注册会计师专业精英人才为目标。根据注册会计师职业能力和素质特点要求设置培养方案，在课程设置和教学上突出实施国际化和卓越职业能力战略，有三分之一的课程实现全英文或双语授课，有三分之一的课程实现卓越职业实践能力操作课程。开设主要专业课程：会计原理、中级财务会计、高级财务会计、成本管理会计、财务管理、审计学、税法、计算机会计与审计、财务分析、政府及非营利组织会计、税务筹划、资产评估、计算机财务模型等。</p><p>会计学（国际会计）：本专业培养会计基础理论扎实，熟悉国际财务、会计规则，通晓国家相关法律、法规和政策，具有较高理论水平和实际应用能力，具有较高外语水平的国际会计高级专门人才。</p><p>本专业特色：以培养引领创新、服务社会、顺应时代要求、具有可持续发展潜质的国际会计专业精英人才为目标。根据国际会计师职业能力和素质特点要求设置培养方案，在课程设置和教学上突出实施会计国际化和卓越职业能力战略，有二分之一的课程实现全英文或双语授课，有三分之一的课程实现卓越职业实践能力操作课程。开设主要专业课程：会计原理、中级财务会计、财务管理、成本管理会计、国际会计、高级财务会计、税务会计、审计学、财务分析、会计制度设计、会计信息系统等。</p><p>会计学（财务会计）：本专业培养具有较高理论水平、熟悉国内外会计准则等法规制度、精通会计业务的高级会计管理专门人才。</p><p>本专业特色：以培养引领创新、服务社会、顺应时代要求、具有可持续发展潜质的高级会计专业精英人才为目标。根据高级会计师职业能力和素质特点要求设置培养方案，在课程设置和教学上突出实施国际化和卓越职业能力战略，有四分之一的课程实现全英文或双语授课，有三分之一的课程实现卓越职业实践能力操作课程。开设主要核心课程：会计原理、中级财务会计、财务管理、成本管理会计、高级财务会计、税务会计、审计学、财务分析、会计制度设计、会计信息系统等。</p><p>会计学（会计与信息管理）：本专业培养在各行各业、各个层次进行会计信息化软件开发设计、应用管理、并懂得硬件维修养护知识以及能够从事会计信息化教学、科研的高级复合型专业人才。本专业特色：以培养引领创新、服务社会、顺应时代要求、具有可持续发展潜质的会计信息化专业精英人才为目标。根据会计信息化职业能力和素质特点要求设置培养方案，在课程设置和教学上突出实施国际化和卓越会计信息化职业能力战略，有四分之一的课程实现全英文或双语授课，有三分之一的课程实现卓越职业实践能力操作课程。</p><p>开设主要核心课程：会计原理、中级财务会计、财务管理、成本管理会计、会计信息系统（双语）、会计智能系统分析与设计、现代网络与多媒体技术、C语言程序开发、计算机财务模型、税务会计、审计学、高级财务会计、ERP项目实施等。</p>
84_3411,84,3411,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,<p>本专业培养掌握管理学、经济学的基本原理和现代企业管理基本理论和知识；掌握企业管理的定性、定量分析方法；具有较强的语言与文字表达、人际沟通能力，具有创新精神和实践技能，胜任企事业、政府部门管理岗位工作的高素质复合型人才。</p><p>本专业特色：建立了本科生导师制度。注重培养本科生的科研能力，提供优质的学术资源和系统性支持，包括制定研究导师、组织学术讲座、师生课题组、支持学术论文发表，以及出国交流等。同时注重培养学生的实践能力，提供广泛的社会资源和支持系统。采用参观、调研、实习、实训等多种形式开展实践教学，邀请企业界人士参与人才培养，与企业合作建立的校外实践教学基地为学生实习提供了良好平台。2008年获批天津市教学团队，2009年工商管理专业成为教育部特色专业，2010年被评为天津市品牌专业；2013年获批国家级“管理学校外实践教育基地”项目。</p><p>开设主要专业课程：工商管理专业导论、管理学原理、战略管理、运营管理、服务管理、管理沟通、市场营销、公司治理、质量管理、人力资源管理、组织行为学、企业市场调查与分析、管理经济学、电子商务、商业谈判等。</p>
84_3407,84,3407,旅游管理,四年,管理学学士,本科(普通),管理学,旅游管理类,<p>现代旅游业是融合工业、农业、商贸、文化、科技、体育、影视、康体等发展迅速的观光、休闲、娱乐、度假、商务型并存的综合性产业。全面建成小康社会为旅游业发展提供了重大机遇，我国旅游业将迎来新一轮黄金发展期。</p><p>本专业培养具有较高的现代管理理论素养和扎实的旅游管理专业知识，毕业后能在旅游相关企事业机构从事经营、管理、策划、咨询、服务等工作的应用型、复合型人才。</p><p>本专业为天津市品牌专业建设点，并具有旅游管理专业硕士（MTA）学位授予权。与康辉旅行社、经典假期旅行社、同程旅游网、五大道旅游公司、滨海航母旅游集团等共建实践教学基地。以提高学生创新能力为重点，加强科研与教学的紧密结合，大力提倡和促进学生主动、自主学习，提高人才培养质量。</p><p>学生可以在旅行社、旅游景区、度假区、旅游规划设计单位、酒店、会展企业从事旅游企业经营管理、旅游规划、产业分析、市场营销等工作，以及文化、娱乐、商贸、教育、咨询、金融、房地产、政府机构、事业单位等相关产业或部门工作。</p><p>开设的主要课程：旅游学概论、旅行社管理、旅游经济学、旅游心理学、旅游法规、服务管理学、旅游目的地管理、旅游规划与开发、旅游生态与环境、导游业务与技巧、虚拟旅游规划设计、旅游企业战略管理、旅游消费者行为学、旅游市场调查与预测、旅行社运营实验等。</p>
84_3405,84,3405,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>本专业是天津市重点学科“外国语言文学”下的本科传统专业。本专业培养具备专业经贸知识、掌握高水平语用技能、具有跨文化交际能力的商务翻译人才。在培养英语语言应用能力的同时，特别强调英语与经贸、金融、会计等经管专业知识的结合，形成有别于其他院校同类专业的特色。注重国际交流，与英国赫瑞瓦特大学、朴茨茅斯大学等院校的相关院系合作办学，为学生提供多种海外学习机会。</p><p>毕业生能在国家机关、涉外金融机构、会计师事务所、专业翻译机构、教育教学机构等单位承担金融、财务、商务管理、商务翻译、英语教师、经贸洽谈、文秘等工作。本专业的特色课程包括：商务英语翻译、财经新闻英语、英语语言文化创新训练、经典名著与流行文化、英语演讲与辩论、学术论文指导与写作。跨学科课程包括：政治经济学、金融学、国际金融、会计学、财务管理、国际贸易理论与实务、国际经济技术合作。主要实践环节有：英语交际实践、英语语言文化创新训练、语言测试训练、创业训练、毕业实习等。</p>
84_3404,84,3404,劳动与社会保障,四年,管理学学士,本科(普通),管理学,公共管理类,<p>劳动与社会保障专业为天津市战略新兴产业相关专业和校级优势专业。培养具有中外劳动与社会保障基本理论和专门知识，具有较好的综合能力和应用能力，掌握管理学、社会学和经济学等方面知识，具备基本的管理技能，能在各级各类行政事业单位、企业和社会团体从事劳动就业、社会保障、人力资源管理工作的复合型人才。本专业学生主要学习劳动与社会保障专业方向的基本理论和基本知识，接受社会保险实务的基础训练，掌握从事社会保障相关管理工作的基本能力。学生在读期间若符合学校选拔条件可申请我校美国、英国、韩国等高水平高等院校交换生或短期访学项目。本专业多名毕业生被南开大学、对外经贸大学等国内外著名高校录取为硕士研究生。</p><p>毕业生大多分布于企事业单位从事社会保障相关工作。目前已经取得了用人单位的认同，到我校招收社会保障毕业生的单位在逐年增多。学生毕业后大多在各级政府、高等院校、大型国有企业、民营股份制企业及外国在华投资企业工作，充分体现本专业培养复合型和应用型人才的理念。</p><p>核心课程：社会保障概论、社会学、社会保险学、劳动关系学、人力资源管理、社会保障基金管理、社会保障国际比较、社会福利与社会救助、西方经济学、劳动关系学等。特色课程：社会保障前沿问题研究、社会调查研究方法、社会工作导论、国外社会保险制度改革等。</p>
84_3383,84,3383,财政学,四年,经济学学士,本科(普通),经济学,财政学类,<p>财政学专业是国家级特色专业和天津市品牌专业。拥有一支学历、职称层次高，年龄结构合理的师资队伍。20人的专任师资团队中，博士生导师6人，硕士生导师14人，教授11人，副教授4人。旨在培养“懂政治、通经济、精财政”的复合型人才，培养学生具有良好的经济学基础、扎实的财税专业知识、优秀的政治素养和综合素质，具备将前沿的经济学研究方法应用到财税实际业务的能力，具备在财税领域创新发展和终身学习的能力，以及向经济学其他相关专业拓展学习和研究的能力，毕业后能在财政（含税务）部门、企事业单位和非盈利组织，以及科研院校等领域从事财税管理、财务管理和财税政策分析等方面工作。在大力推进教育教学改革的同时，非常重视师生的国内外学术交流研讨。学生在校期间成功申请英国剑桥大学、格拉斯哥等院校的学习机会以及韩国首尔东国大学和台湾静宜大学等交换生项目。多名毕业生被北京大学、中央财经大学、暨南大学、对外经贸大学、美国纽约大学等国内外著名高校录取为硕士研究生。</p><p>本专业已累计培养财政本科、硕士、博士毕业生近4000多名，大多分布于财税机关和其他经济管理部门、高等院校、科研院所、中介机构、金融证券，以及部分企、事业单位的相关涉财岗位。每年就业率稳定在95%以上。</p><p>专业核心课程包括：财政学、西方财政学（双语）、政府预算管理、财政政治学、公债经济学、财税史、地方财政学、政府会计、中国税制、财税计算机应用。特色课程有：财政政治学、地方财政学、财税统计分析、中外财税理论前沿。</p>
84_3427,84,3427,广播电视学（财经新闻）,四年,文学学士,本科(普通),文学,新闻传播学类,<p>广播电视学（财经新闻）原名广播电视新闻学，是国家“十一五”期间重点建设的新兴专业，也是我校在“十一五”和“十二五”期间，重点建设的学科专业。本专业以新闻传播理论为基础、以经济学和金融学理论为支撑、以新闻采编实务为重点，围绕财经新闻方向，优势显著，并配备虚拟演播厅、非线性编辑、新媒体、广播编辑、摄影、报纸编辑等六个实验室，此外，与天津电视台、天津日报、今晚报、大唐盛世广告（天津）等合作，建立近20个实习基地，理论紧密联系实践。本专业自2004年招生以来，培养了一大批优秀的媒体从业人才，就业率保持在97%以上。</p><p>本专业人才培养目标为精通新闻传播理论、掌握广播电视采编技能、具备财经新闻素养的高素质、实用型人才。培养学生具有较高的政治思想觉悟、较深厚的新闻职业道德修养、较扎实的新闻学和经济学理论基础、较娴熟的新闻传播实务技术、较广博的社会文化知识。就业方向主要是各类新闻媒体、各类出版单位、企事业（单位）宣传部门、文化机构、各类网站与数字媒体、政府机构、公关公司等。能以较高的审美素养、深厚的财经知识储备从事经济新闻记者、编辑、传媒与文化产业管理、媒介公关、企业新闻广告策划等工作。</p><p>开设课程基本是“新闻+财经+实务”模式，主要课程有：传播学原理、新闻学原理、财经新闻学、比较新闻学、报刊编辑学、世界新闻传播史、中国新闻传播史、马列新闻论著选读、广告学、新闻采访与写作、国际新闻报道、新闻摄影与摄像、新闻编辑与评论、电视编辑与节目制作、电视专题与电视栏目、广播电视技术基础、财经新闻分析与策划、微电影理论与实践、电视剧研究、政治经济学、微观经济学、宏观经济薛、金融学、财政学、管理学原理、市场营销学、经济法等。</p>
84_3384,84,3384,金融学,四年,经济学学士,本科(普通),经济学,金融学类,<p>修读完成金融学系列课程（微观经济学、宏观经济学、货币银行学、国际金融（双语）、投资学、商业银行管理学、互联网金融、金融市场学（双语）、公司金融、金融法、财务分析等），你将成为具有扎实的金融学基础理论、知识面宽、综合素质高，具有创新意识和实践能力，熟悉金融政策和监管法规的创新复合型人才。毕业后的主要职业去向包括：人民银行、银监局、商业银行、政策性银行、证券公司、信托公司、国有大中型企业等。</p>
84_3424,84,3424,数学与应用数学（经济数学与数学建模）,四年,理学学士,本科(普通),理学,数学类,<p>（1）专业特色：数学系在人才培养方面突出数学与财经科学交叉特色，侧重金融数学的教学和研究。形成了利用数学工具研究金融问题，进行数学建模、理论分析、数值计算，探索金融发展内在规律并指导实践的学科特色。在教学中注重财经应用特色与实践教学环节，以提高学生的实践能力和创新思维能力。设有“数学与应用数学实验室”、“数学建模实验室”，努力培养具有扎实理论功底和应用操作能力的专业人才。</p><p>（2）培养目标：本专业旨在培养数学与经济兼通的高素质复合型、应用型人才。要求毕业生应具备系统扎实的数学理论基础和经济理论基础，具有合理的知识结构和较高的外语及计算机应用水平，具备运用数学模型对经济管理问题进行定量分析和科学决策的能力。本专业注重培养学生的创新能力、数学建模能力及分析问题解决问题的能力。</p><p>（3）毕业去向：毕业生基本素质较好，就业面较宽，主要在经济、金融、投资、保险等部门就业，从事经济定量分析与管理工作，也有到教育部门从事教学、管理和研究工作。还有一些学生凭借扎实的数学基础，考取数学、金融数学、经济学、计算机科学等专业硕士研究生，继续学习深造，为更高层次的研究生教育输送优秀人才。本专业学生具有国际交流学习的机会。</p><p>（4）主要课程：主要基础课程有：数学分析、高等代数、空间解析几何、概率论与数理统计、微观经济学、宏观经济学、金融学、统计学、数据结构、程序设计、数据库原理等。主要专业课程有：常微分方程、偏微分方程、实变函数、复变函数、数值分析、随机过程、数理金融学等；以及若干选修课程：泛函分析、多元统计分析、时间序列分析、精算数学、利息理论、组合投资学、博弈论、信息经济学等。</p>
84_3412,84,3412,日语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>　　专业培养目标：培养了解日本政治、经济、历史、文化、文学等方面的基础知识，能在外事、经贸、文化、新闻出版等部门，从事管理及接待工作的高级技术应用性专门人才。 　　</p><p>　　专业核心能力：掌握较系统的日语文学基础知识，了解我国国情和日本国社会文化，具有运用日语听、说、读、写、译的基本技能。 　　</p><p>　　专业核心课程与主要实践环节：基础日语、日语语法、日语阅读、日语听说、日语写作基础，报刊导读、日本历史、日本概况、日本文学史、日本经济、语言实践活动、社会实习等，以及各校的主要特色课程和实践环节。 　　</p><p>　　可设置的专业方向：科技日语。 　　</p><p>　　就业面向：各级政府涉外部门、企事业单位、科研机关、学校、三资企业等部门，从事外事、国际文化交流等方面的接待服务和管理工作。</p><p> </p>
