special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
70_2520,70,2520,茶学,四年,农学学士,本科(普通),农学,植物生产类,<p>培养目标：培养具有较宽和较深的茶树栽培、育种、茶叶加工与贸易、茶叶类液体饮料加工的基础理论，具有科学研究、技术开发和农业管理能力的适用型科学技术人才。</p><p>主要课程：植物生理生化、普通遗传学、茶叶生物化学、茶树栽培学、茶树育种学、茶叶机械、茶叶和茶饮料加工、茶叶贸易学、茶叶审评与检验等。</p><p>就业方向：可从事茶叶生产、茶饮料加工、茶叶贸易等有关部门的行政管理、技术指导和技术开发、教学和科研工作。</p><p>专业特色与优势：国家级重点（培育）学科，农业部和安徽省重点学科，安徽省首批首批“皖江学者”特聘教授设岗位；茶学专业教师队伍为国家级教学团队，茶学专业为国家首批高等学校特色专业，在全国创办最早，专业课程门类设置最齐全，为学校的传统优势专业。</p>
70_2556,70,2556,动物医学,四年,农学学士,本科(普通),农学,动物医学类,<p>培养目标：培养德、智、体全面发展，能从事动物疾病防治、兽医公共卫生、兽医行业管理或执法等的高级专门人才。</p><p>主要课程：家畜解剖学、动物生理学、动物病理学、兽医药理学、兽医微生物学、兽医临床诊断学、兽医内科学、兽医外科学、兽医产科学、兽医传染病学、兽医寄生虫学、中兽医学、动物性食品卫生学等。</p><p>就业方向：畜牧生产、兽医诊疗、兽药生产、畜产品或食品生产等行业和教育、科研、管理等部门从事动物疾病防治等技术工作或教学、科研、兽医行政管理或执法等工作。</p><p>专业特色和优势：国家高校特色专业和省级高校示范专业，在围绕安徽农业发展培育学科生长点，在服务地方经济的实践中培养高素质人才。</p>
70_2566,70,2566,木材科学与工程,四年,工学学士,本科(普通),工学,林业工程类,<p>培养目标 ：培养从事木材加工、造型艺术、电工与电子技术、家具设计、室内装饰与装修的高级工程技术人才。</p><p>主要课程 ：木材学、木材干燥学、木工机械与刀具、胶料与涂料、人造板生产工艺学、家具设计与制造、机械与家具制图、家具生产设备与刀具、室内装饰工程、AutoCAD。</p><p>就业方向 ：可到轻工、建材、机械、林业、木制品、造板、家具制造、建筑企业等从事工程技术、生产管理、教学科研等工作。</p><p>专业特色和优势 ：在木材构造和性质、材质改良、加工利用、改性与保护等研究方向处于国内领先水平。</p>
70_2567,70,2567,农学,四年,农学学士,本科(普通),农学,植物生产类,<p>培养目标： 培养具备作物生产、作物遗传育种、耕作与农业生态、农业推广、种子科学等方面的基本理论、基本知识和基本技能，能在农业及其他相关的部门或单位从事与农学有关的技术与设计、推广与开发、经营与管理、教学与科研等工作的应用型高级专门人才。</p><p>主要课程： 植物学、植物生理学、生物化学、遗传学、田间试验与统计方法、农业气象学、农业生态学、作物栽培学、作物育种学、作物种子学、耕作学、农产品贮藏与加工、农业推广学、种子检验、加工、贮藏及营销、农业经济管理等。</p><p>就业方向： 可从事农业行政管理，农业企业经营管理，作物生产、种子生产、检验及营销、农业教育、农业科研等企事业单位、自主创业以及相关涉农单位的工作。</p><p>专业特色和优势： 努力培养“双创”人才，随着教学质量的提升，招生规模和质量稳步上升，学生就业面广、就业率高，毕业生受到用人单位一致好评。</p>
70_2581,70,2581,植物保护,四年,农学学士,本科(普通),农学,植物生产类,<p>培养目标 ：培养具备植物保护科学的基本理论、知识和技能，能从事植物保护、植物检疫、作物安全、农产品安全、生态安全、农药生产与经营工作的技术与设计、推广与开发、经营与管理、教学与科研的复合型、应用型、创新创业型高级专门人才。</p><p>主要课程 ：生物化学、生物技术、植物生理学、农药学、农业植物病理学、农业昆虫学、昆虫学通论、普通植物病理学、植物检疫等。</p><p>就业方向 ：可从事植物保护、植物检疫、农药检测、仓储病虫及城市卫生害虫防治、环境保护、有益生物开发利用及教学科研等工作及农药经营与市场管理和农业技术推广与管理工作。</p><p>专业特色和优势 ：本专业为我省唯一设置的国家级特色专业，学科历史悠久，本科毕业生考研通过率近年来均超过40%，居学校前列。毕业生一次就业率超过90%。</p>
70_2561,70,2561,园艺,四年,农学学士,本科(普通),农学,植物生产类,<p>培养目标： 培养掌握较完整的现代生物科学的知识体系，具有较宽厚的园艺基础知识和基本理论，掌握较扎实而熟练的基本技能，能从事花卉、观赏树木、园艺工程规划设计、设施园艺、蔬菜、食用菌、果树及其它相关专业领域的现代园艺产业开发、经营管理、科技推广及教学和科研等业务工作，有较宽广的专业适应性和一定专业特长的应用型、复合型人才。</p><p>主要课程： 花卉学、观赏树木学、盆景艺术、园林规划与设计、园艺工程规划设计、设施园艺学、园艺环境工程与调控、园艺生物技术、园艺植物组织培养学、园艺产品贮藏保鲜与加工、园艺产品营养与保健、园艺产品质量标准与法规。</p><p>就业方向： 毕业后主要去向为园艺科研院所、中等和高等院校、企业部门、行政部门等从事园艺作物生产、园艺生物技术、园艺工程规划设计、现代设施园艺等方面的教学、科研、管理和开发等相关工作。</p><p>专业特色和优势： 本专业为国家级特色专业，注重创新人才培养，着力培养学生从事园艺产业开发、经营管理和技术推广等实践能力和创业能力。</p>
70_2563,70,2563,林学,四年,农学学士,本科(普通),农学,林学类,<p>培养目标 ：本专业培养学生具有生态学、植物学、林木遗传育种学、森林培育学、森林资源保护学、森林经理学、森林利用学、林业经济管理及开发利用等方面的知识。能在林业、农业、环境保护、森林旅游、自然保护区、森林公园等部门和相关企业从事森林培育、森林资源保护、森林生态环境建设，同时懂得经营与管理的复合型、应用型高级专门人才。</p><p>主要课程 ：树木学、测树学、森林土壤学、森林生态学、林木遗传育种学、森林培育学、森林经理学、森林昆虫学、林木病理学、森林利用学等。</p><p>就业方向 ：各级林业、农业、环境保护、自然保护区、森林公园、林场、苗圃、科研、规划设计院所、林业集团公司等相关政府部门、企事业单位从事森林培育、森林生态环境建设、规划设计与管理、森林病虫害防治与检疫、林木良种基地建设等方面的生产、行政管理、教育与科研工作。</p><p>专业特色和优势 ：以生态环境建设和生物资源培育、保护与开发利用为特色。专业建设历史悠久，师资、科研实力强，具有丰富的学科建设和人才培养优势。</p>
70_2562,70,2562,园林,四年,农学学士,本科(普通),农学,林学类,<p>培养目标 ：面向整个国土、城乡、城市的生态保护与人居环境建设，培养具备风景园林规划与设计以及观赏园艺等方面的知识，能在城市园林、城市规划、林业、旅游等部门和园林及花卉企业从事风景区、森林公园、城镇各类园林绿地的规划、设计、施工，园林植物繁育栽培、养护及管理的高级技术人才以及相关专业的教学与科研人才。</p><p>主要课程 ：园林树木学、花卉学、城市生态学、园林规划设计、园林建筑设计、园林工程、园林植物栽培等。</p><p>就业方向 ：可从事行政管理，风景园林、景观建筑和环境艺术的规划设计和施工管理，园林绿地的繁育栽培、养护及管理以及教学科研等工作。</p><p>专业特色和优势 ：专业特色以生物学科基础为优势，打造风景园林规划设计、施工、养护全能型人才。在园林植物生态、栽培、遗传育种、应用和风景园林设计五个专业方向上保持国内同类院校的先进水平。</p>
70_2564,70,2564,城乡规划,四年,工学学士,本科(普通),工学,建筑类,<p>培养目标 ：本专业培养掌握城市规划基础理论和实际工作技能，具备建筑设计、城市规划，城市设计等方面的知识，从事城市规划、城市设计、景观设计、园林规划设计、城市开发、房地产筹划及城市规划管理等工作的城市规划学科国家高级工程技术人才。</p><p>主要课程 ：建筑设计、城市总体规划原理、城市详细规划设计、城市设计、城市道路与交通、园林规划原理、园林设计、分区规划、园林树木学、园林花卉学、计算机辅助设计、城市规划管理与法规等。</p><p>就业方向 ：毕业生能在城市规划设计、城市规划管理、建筑设计、园林、决策咨询、房地产开发等部门从事城市规划设计与管理、建筑设计、园林规划、景观设计等方面的工作，并能参与城市社会与经济发展规划、区域规划、城市开发、房地产筹划以及相关政策法规研究等方面的工作。也可继续攻读城市规划、园林、建筑、环境艺术设计专业硕士学位。</p><p>专业特色和优势 ：本专业以城市物质空间形态建设为特色，以生态环境建设与风景园林规划设计为优势。</p>
70_2555,70,2555,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,<p>培养目标： 本专业培养德、智、体、美全面发展，具备材料理、化相关的基本知识和基本技能，能在材料科学与工程及与其相关的领域从事研究、教学、科技开发及相关管理工作的材料科学高级专门人才。</p><p>主要课程： 高分子化学、高分子物理、纤维化学与物理、化学纤维概论、天然纤维材料、纺织材料学、植物纤维化学学、蛋白质化学与工艺、天然高聚物科学、高分子材料概论、聚合物改性、生物功能高分子材料、材料近代测试与分析、生物高分子材料及加工新技术、生物功能材料电化学、高性能纤维、功能性纤维。</p><p>就业方向： 各类生物质材料科研院所、大专院校等相关政府部门、生物质材料加工企业从事相关的生产、教育、科研及行政管理工作。</p><p>专业特色和优势： 以生物质材料的性质研究及其加工利用为特色。专业建设借助于木材科学与工程专业平台，师资、科研实力强，具有丰富的学科建设和人才培养优势。</p>
