special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
72_170874,72,170874,放射医学,五年,医学学士,本科(普通),医学,临床医学类,专业代码：100206TK</br>授予学位：医学学士</br>修学年限：四年</br>开设课程：</br>解剖学、组织与胚胎学、病原学、免疫学、生物化学、生理学、病理学、药理学、临床医学导论、内科学、外科学、预防医学、放射医学及防护、影像诊断学、肿瘤放射治疗学、核医学。</br>相近专业：</br>临床医学 麻醉学 医学检验 眼视光学 康复治疗学 精神医学 医学技术 听力学 医学实验学 医疗美容技术 医学影像技术</br>主要实践教学环节</br>包括临床见习、毕业实习等。</br>培养目标：</br>本专业培养从事放射医学及防护、放射病诊治、核医学及医学影像等工作的德智体全面发展的、具有创新精神和系统的放射医学理论与实践能力的临床医师。</br>专业培养要求：</br>本专业学生主要学习基础医学、临床医学、放射医学的基础知识；用放射诊断、核素诊断、影像诊断等各种诊断技术进行疾病诊断，并掌握其基本理论、方法和技能；应用γ射线、深部X射线、放射性核素等各种射线进行诊断及放射治疗，并掌握其基本理论、方法和技能；放射损伤及放射病的诊治技术；放射防护的基本理论、方法和技能；医学科学研究的初步能力。</br>毕业生具备的专业知识与能力：</br>1.掌握基础医学、临床医学、放射医学的基本理论、基本知识；2.掌握放射医学及计算机的基本理论和操作技能；3.具有运用放射医学诊断及防治疾病的能力；4.熟悉有关放射医学方针、政策和方法；5.了解放射医学各专业分支的理论前沿和发展动态；6.掌握文献检索、资料查询、计算机应用的基本方法，具有一定的科学研究和实际工作能力。</br>
72_564257,72,564257,临床医学（“5+3”一体化）,五年,医学学士,本科(普通),医学,临床医学类,培养目标：本专业培养适应医药卫生事业发展需要，具有良好职业素养、初步临床工作能力、 终身学习能力和进一步深造基础，能在各级卫生保健机构在上级医师的指导与监督下，从事安全 有效的医疗实践的应用型人才。 培养要求：本专业学生主要学习自然科学、基础医学和临床医学方面的基本知识与基本理 论，接受临床技能、沟通技能等方面的基本训练，掌握初步的医疗、健康宣教、自主学习和终身学 习的能力。 毕业生应获得以下几方面的知识和能力： 1．掌握医学相关的自然科学、社会科学知识和方法，并能用于指导未来的学习与医学实践； 2．掌握基础医学相关知识，即生命各阶段人体的正常结构、功能和心理状态，掌握各种常见 病和多发病（包括精神疾病）的发病原因、发病机制、临床表现、诊断及防治原则； 3．掌握基本的药理知识和临床合理用药原则； 4．掌握正常的妊娠和分娩知识、产科常见急症处理方法、产前及产后的保健原则以及计划 生育的医学知识； 5．掌握临床流行病学的有关知识和相关科学实验方法，掌握健康教育、疾病预防与筛查的 原则，掌握缓解与改善疾患和残障、康复以及临终关怀的有关知识； 6．掌握中国传统医学的基本特点，了解中医的辨证论治等原则； 7．掌握传染病的发生、发展及传播规律，掌握常见传染病的防治原则； 8．掌握临床医学的基本知识和临床操作的基本技能，具备临床各科常见病、多发病的诊断 和处理能力，具备一般急症的诊断、急救及处理能力； 9．掌握临床思维分析方法，能够运用循证医学、预防医学原理指导医学实践； 10.具有一定的科学研究能力，能够结合临床实际，独立利用图书馆和现代信息技术研究医 学问题和获取信息，能够用一门外语阅读医学文献； 11.具有与病人及家属进行有效沟通的能力，具有与医生、护士及其他医疗卫生从业人员交 流沟通的能力，能够对病人和公众进行健康生活方式、疾病预防等方面知识的宣传教育； 12.熟悉医疗相关方针、政策和法规，理解全科医学和社区卫生政策； 13.了解医疗相关专业领域的最新前沿进展； 14.具备自主学习和终身学习的能力。 主干学科：基础医学、临床医学。 核心课程：人体解剖学、组织胚胎学、生理学、生物化学、病理学、诊断学、内科学、外科学、妇 产科学、儿科学。 主要实践性教学环节：临床见习、临床实习等。 主要专业实验：普通化学实验、生物物理实验、机能实验等。 修业年限：五年。 授予学位：医学学士。 【本专业为国家控制布点的专业】 1003  口腔医学类
72_1142682,72,1142682,应用心理学,四年,理学学士,本科(普通),理学,心理学类,培养目标：本专业培养具备心理学学科的基本理论、基本知识和基本技能，接受初步的科学 思维和科学实验训练，能够在科研部门、教育机构及其他企事业单位，针对不同的领域（例如但 不限于公共管理、工商管理、经济决策、公共关系、市场营销、广告策划、工业与商业设计、公安、军 事、体育、文化艺术、航空航天、医护、社会工作等）从事和心理学相关的工作或继续攻读相关学 科的硕士、博士学位的应用型、复合型人才。 培养要求：本专业学生主要学习心理学方面的基本理论和基本知识，接受心理学实验研究设 计、分析方法以及查阅、理解和写作专业文献等方面的基本训练，掌握心理学的实证以及相关的 统计、测量技术，具有从事相关方面研究与实践工作的基本能力。 毕业生应获得以下几方面的知识和能力： 1．具有良好的中、英文语言运用能力，能够利用计算机及信息技术进行文献检索、数据和文 字处理等工作，具有一定的文学、历史学、哲学、人类学、政治学、艺术、法学、社会学、经济学、管理 学等人文社会科学方面的知识，具有数学、物理、化学、生命科学、地球科学等方面的知识； 2．掌握心理学科的基本理论和基本知识，掌握心理学的实证以及相关的统计、测量技术，掌 握心理学实验研究设计、分析方法以及查阅、理解和写作专业文献的方法，了解心理学科的发展 趋势和应用前景，具有初步的对实践领域的具体应用问题的敏感性和解决能力； 3．具有知识获取、知识应用和知识创新能力，具有一定的政治分析能力、较严密的逻辑推理 思维能力和一定的批判性思维能力，具有与他人和谐交往的能力以及良好的适应和心理调节能 力，具有一定的国际视野和跨文化环境下的交流、竞争与合作的初步能力。 主干学科：教育心理学、管理心理学、临床与咨询心理学。 核心知识领域：普通心理学、实验心理学、心理统计及其常用软件、心理测量学、生物心理学、 社会心理学、变态心理学、发展心理学、心理学史、管理心理学、教育心理学、临床与咨询心理学。 核心课程示例： 示例一：心理学导论（上、下）（共96学时）、普通生物学（动物部分）（36学时）、动物学实验 （36学时）、线性代数（54学时）、生理学（54学时）、生理学实验（36学时）、概率统计（54学时）、 文科物理学（54学时）、生物心理学（54学时）、人格心理学（54学时）、心理统计（54学时）、实验 心理学（54学时）、实验心理学实验（36学时）、变态心理学（54学时）、发展心理学（54学时）、认 知心理学（54学时）、心理测量（54学时）、社会心理学（54学时）。 示例二：CNS解剖与生理（54学时）、心理统计（108学时）、普通心理学（上）（54学时）、普通 心理学（上）实验（18学时）、普通心理学（下）（54学时）、普通心理学（下）实验（18学时）、实验 心理学（上）（36学时）、实验心理学（上）实验（18学时）、实验心理学（下）（36学时）、实验心理 学（下）实验（18学时）、发展心理学（54学时）、心理测量（54学时）、心理测量实验（18学时）、人 格心理学（54学时）、生理心理学（54学时）、教育心理学（54学时）、社会心理学（54学时）、心理 学史（54学时）、认知心理学（54学时）、认知心理学实验（18学时）、变态心理学（54学时）、心理 咨询概论（54学时）、组织管理心理学（54学时）、人事测评与职业规划（36学时）、人力资源开发 与管理（36学时）。 示例三：人体解剖生理（56学时）、心理学原理（56学时）、心理与教育统计学（54学时）、发 展心理学（54学时）、教育心理学（54学时）、心理咨询学概论（54学时）、教育学（54学时）、人格 心理学（54学时）、心理测量学（54学时）、实验心理学（上）（36学时）、统计软件包（54学时，含 实训36学时）、心理学史（54学时）、临床心理学（54学时）、异常心理学（54学时）、实验心理学 （下）（实验72学时）、社会心理学（54学时）、心理测验及其应用（72学时，含实训36学时）、认 知心理学（72学时，含实训36学时）。 主要实践性教学环节：独立设置的实验课程、教学实习、社会实践、科技训练、综合论文训练 等多种形式。 主要专业实验：实验心理学实验等实验课程；普通心理学、发展心理学、社会心理学等课程安 排的一定课时的教学实验；管理心理学、变态心理学、心理咨询与治疗等课程安排的一定课时的 见习和实习环节。 修业年限：四年。 授予学位：理学学士或教育学学士。 0712统计学类
72_2713,72,2713,预防医学,五年,医学学士,本科(普通),医学,公共卫生与预防医学类,<p>本专业属医学专业范畴，主要学习医学基础知识与基本技能、公共卫生政策制定、预防医学原理和方法相关的核心课程，培养德、智、体、美全面发展，能胜任公共卫生机构工作的高级公共卫生与预防医学专业人才。毕业后主要从事疾病预防控制、卫生监督、社区卫生、健康教育、院内感染管理、职业病防治、公共营养与临床营养等工作。</p><p>本专业为国家级特色专业和省级教改示范专业，开设基础医学、临床医学和预防医学课程。专业课包括流行病学、卫生统计学、环境卫生学、职业卫生与职业病学、营养与食品卫生学、儿童青少年卫生学、卫生化学、卫生毒理学、公共卫生监督学、健康教育等。本专业为适应社会对人才需求，设有医院感染管理和社区卫生服务模块选修课程供学生选择。</p><p>本专业学制五年。其中:基础、专业理论和实践教学四年；本专业实行临床学院制，临床医学理论、见习和实习教学一年。</p><p>毕业后授医学学士学位。</p>
72_2712,72,2712,药学,四年,理学学士,本科(普通),医学,药学类,<p>本专业为国家特色专业建设点，学制四年。培养适应我国药学事业发展需要，掌握药学基本知识和基本技能，了解药物的研制、生产、流通、使用全过程，熟悉国家药政法规、政策与营销的基本知识，能从事药学工作的高级医药管理专门人才。学生主要就业去向为各大中型药品生产、经营企业、药品监督管理机构、各级医院、科研机构及高等医药院校。</p><p>本专业主要开设有机化学、人体解剖学、生理学、生物化学、病理学、药理学、药物化学、诊断学、药物分析学、药剂学、临床药理学、药物经济学、药品法规、药事管理学等42门课程。实习半年。毕业后授理学学士学位。</p><p>根据后期选择修完的选修课程情况，颁发药品营销和药品监督与管理专业方向证书。</p>
72_2709,72,2709,医学信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>医学信息工程是一门以信息科学和生命科学为主的多学科交叉的新兴学科；是互联网、计算机、大数据、医疗智能仪器以及移动医疗等在生命科学中的应用。培养具有较扎实的医学、计算机科学的基本理论、基本知识和基本技能，掌握移动医疗与软件工程设计思想和方法，具备医学信息与工程技术的实用性人才。开设的主要课程有医学信息工程概论、临床医学概论、模拟电子技术、数字电子技术、移动医疗、生物医学传感器、医学仪器原理与设计、操作系统、C/C++、数据库原理与技术、计算机网络与通信、数据结构、软件工程、高级编程——Java面向对象技术、信号与系统等。就业方向：学生毕业后可在医院、医疗器械企业及软件公司从事计算机软件系统的设计、开发、维护、测试应用等工作，也可以在研究机构、高等院校从事科学研究与教学工作等。学制四年，学生毕业后达到要求授予工学学士学位。</p>
72_2708,72,2708,临床医学,五年,医学学士,本科(普通),医学,临床医学类,<p>             </p><p></p><p>本专业是省级教改示范专业和国家特色专业建设点，学制五年，培养综合素质较高、基础知识扎实、专业知识丰富、具有创新精神，能适应医疗、教学、科研工作需要、适应终身教育的高级医学人才。要求学生扎实掌握本专业所必备的基础理论、基础知识和基本技能，特别注重实践能力的培养，并能运用所学的知识和技能防治常见病、多发病及处理一般疑难急重病症；初步掌握中医基本理论和基本技能；能阅读一种外文专业书刊；具有初步科学研究能力。毕业后主要在医疗卫生机构、医药卫生管理机构、药品生产及营销机构工作，还可在医学教育和科研机构就业。</p>
72_2695,72,2695,医学影像学,五年,医学学士,本科(普通),医学,临床医学类,<p>本专业学制五年，培养具备基础医学、临床医学和现代医学影像学基本理论知识和能力，能在医疗卫生及科研单位从事医学影像诊断、介入放射和医学成像等临床和科研工作的医学高级专门人才。要求学生通过五年的在校学习，掌握医学专业基础理论和基本技能；掌握现代医学影像学的基本原理、特点和初步临床应用；并具有初步的科学研究能力。毕业后具有从事医学影像诊断、介入放射和医学成像技术工作能力，能在医院影像、介入放射、同位素等科室从事医疗、科研和管理工作。</p>
72_2714,72,2714,麻醉学,五年,医学学士,本科(普通),医学,临床医学类,<p>本专业学制五年，培养具备基础医学、临床医学、麻醉学等方面的基本知识和专业技能；能在医疗卫生单位的麻醉科、重症监测治疗病房、疼痛诊疗、急诊科、药物依赖戒断等岗位从事临床医疗工作的应用型人才。本专业学生主要学习基础医学、临床医学、麻醉学等方面的基本理论和基本知识。开设的主要课程除基础医学、临床医学相关课程外，麻醉专业课开设麻醉解剖学、麻醉生理学、麻醉设备学、麻醉药理学、临床麻醉学、危重病医学、疼痛诊疗学等课程；接受相应课程的基本技能训练；掌握常见手术麻醉方法与生命机能调控、围术期并发症防治、危重病症监测治疗、疼痛诊疗等方面的基本能力。</p><p>本专业实习一年。毕业后授医学学士学位。</p>
72_2692,72,2692,生物技术,四年,理学学士,本科(普通),理学,生物科学类,<p>生物技术专业为本科四年学制。本专业培养具备较强的数理化基础，接受严格科学思维、专业理论和专业技能的训练，掌握生物科学、生物技术及基础医学的基础理论、基本知识和基本技能，并能在生物学、医学及其相关的生物技术产业等领域从事科学研究、技术开发、人才培养等方面工作的高级复合型人才。主干课程：生物化学、细胞生物学、微生物学、遗传学、生物信息学、基因工程、细胞工程、发酵工程、蛋白质工程、生物技术综合实验等相关课程。完成学业并符合条件毕业时授理学学士学位。 就业方向：在生命科学领域、医疗卫生和医药等企事业单位、高校、科研院所等部门从事与生物技术有关的科学研究、技术开发、人才培养、生产管理和产品营销等工作的高级专门人才。毕业后授理学学士学位。</p>
