special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
67_2370,67,2370,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,数学与应用数学（本科，按“数学类”招生，一年后分专业）</br>培养目标：本专业入选2019年度国家级一流本科专业建设点。本专业培养学生掌握数学科学的基本理论和基本方法，具有运用数学知识解决实际问题的能力，通过科学研究的初步训练，能成为在科技、教育和经济部门从事科研、教学工作或在生产经营及管理部门从事实际应用、开发研究和管理工作的高级专门人才。</br>主要课程：数学分析、高等代数、解析几何、常微分方程、复变函数、实变函数、泛函分析、概率统计、近世代数、微分几何等。</br>就业去向：国家机关、科研院所、高等学校、邮电通信、金融保险、教育培训等企事业单位。</br>授予学位：理学学士
67_2346,67,2346,信息与计算科学,四年,理学学士,本科(普通),理学,数学类,信息与计算科学（本科，按“数学类”招生，一年后分专业）</br>培养目标：本专业培养学生具有良好的数学素养，掌握信息科学和计算科学的基本理论和方法，受到科学研究的初步训练，能运用所学知识和熟练的计算机技能解决实际问题，能成为在科技、教育和经济部门从事研究、教学、应用开发和管理工作的高级专门人才。</br>主要课程：数学分析、高等代数、解析几何、实变函数与泛函分析、程序设计、离散数学、数值分析、信息论基础、现代密码学、数据结构与算法等。</br>就业去向：国家机关、科研院所、金融保险、邮电通信、软件开发、高等学校等企事业单位。</br>授予学位：理学学士
67_2345,67,2345,统计学,四年,理学学士,本科(普通),理学,统计学类,统计学（本科，按“数学类”招生，一年后分专业）</br>培养目标：本专业入选2020年度国家级一流本科专业建设点。本专业培养学生具有良好的数学与经济学素养，掌握统计学的基本理论和方法，能熟练地构建统计模型，并运用统计软件分析数据，能在企事业单位和相关部门从事统计调查、统计整理、统计分析等应用和管理工作，以及能成为在科研、教育部门从事研究和教学工作的高级专门人才。</br>主要课程：数学分析、高等代数、解析几何、实变函数、概率论、数理统计、多元统计分析、时间序列分析、应用随机过程、技术经济学、统计预测与决策等。</br>就业去向：国家机关、科研院所、金融保险、邮电通信、税务工商、高等学校等企事业单位。</br>授予学位：理学学士
67_2332,67,2332,材料物理,四年,工学学士,本科(普通),工学,材料类,材料物理（本科，按特色专业招生）</br>培养目标：本专业培养具有良好的科学素质和创新思维，扎实的材料物理方面的专业知识、专业理论和实验技能，并能运用材料科学的基础理论、基础知识和实验技能进行材料研究和技术开发等基本能力的学生，为材料科学与工程及其相关领域输送优秀人才。</br>主要课程：高等数学、力学和热学、电磁学、光学、普通物理实验、大学化学、大学化学实验、原子物理学、复变函数、数理方程、热力学·统计物理、量子力学、近代物理实验、固体物理、材料科学基础、磁性物理、半导体物理、薄膜物理与技术、材料合成制备与加工、材料物理性能、材料物理研究方法、材料物理实验等。</br>就业去向：科研院所、高等院校、国家机关和企业及相关单位从事与材料特别是功能材料相关的科研、教学、管理与科技开发和生产管理工作，可以继续攻读材料物理及相关专业的硕博士学位。</br>授予学位：理学学士</br>“双一流”建设学科群：材料科学与信息技术</br>院士工作站：量子材料和器件院士工作站</br>博士后科研流动站：材料科学与工程；博士学位授权点：材料科学与工程、物理电子学；硕士学位授权点：理论物理、光学、原子与分子物理、凝聚态物理、材料物理与化学、材料学、光学工程</br>国家级一流本科专业建设点:应用物理学、材料物理、光电信息科学与工程</br>省级重点学科：理论物理、材料物理与化学</br>重点实验室：光电信息获取与控制教育部重点实验室、信息材料与智能感知安徽省实验室、信息材料与器件省级重点实验室、光电转换能源材料与器件安徽省重点实验室、磁性材料安徽省工程技术研究中心、安徽省基础物理实验课教学示范中心。</br>英才班：物质科学英才班</br>学院在大学二年级初，在全校范围内选拔30名左右优秀本科生组建“物质科学英才班”，实行“一制三化”（导师制、小班化、个性化、国际化）的培养模式，旨在造就一批具有跨学科知识、较强的创新精神和工程实践能力、宽阔的国际视野、持久的研究性学习能力和核心竞争力的科学与工程领域高层次拔尖创新人才。
67_316144,67,316144,光电信息科学与工程,四年,工学学士,本科(普通),工学,电子信息类,光电信息科学与工程（本科，按“物理学类”招生，一学年后分专业）</br>培养目标：本专业培养具有光电信息科学与工程方面的宽厚的基础理论、扎实的专门知识与熟练的基本技能，能够综合运用光学科学理论和技术分析解决理论和工程问题，高素质、有创新意识和实践能力的高级专业人才。</br>主要课程：工程光学、工程制图与CAD、光电子技术、光电检测技术、信号与系统、电路分析、数字电子技术、模拟电子技术、信息显示技术、微机原理与应用、电动力学、量子力学、固体物理、光通信原理、激光原理与技术、光纤通信系统与工程、光纤技术与应用、传感器原理与技术、信息光学等。</br>就业去向：光电企业、国家机关及相关单位从事科研、教学、产品设计、生产技术、管理与科技开发工作，可以继续攻读光电信息科学与技术及相关专业的硕博士学位。</br>授予学位：工学学士
67_2341,67,2341,应用物理学,四年,理学学士,本科(普通),理学,物理学类,应用物理学（本科，按“物理学类”招生，一学年后分专业）</br>培养目标：本专业培养的毕业生具有良好的科学素质，扎实的物理学知识、良好的数学基础、较强的实验技能和较高的科研素质，同时具有较强的知识更新能力和较广泛的科学适应能力。面向国家大科学工程或装置等国家和社会需求，为学生从事物理学及相关交叉学科前沿问题的研究打下良好基础，培养能够从事前沿基础原始创新研究工作和应用开发及管理工作的物理学相关专业基础性人才，同时也培养能将物理学应用于技术和社会各个领域的复合型、综合性人才。</br>主要课程：高等数学、力学、热学、电磁学、光学、普通物理实验、理论力学、复变函数、数理方程、原子物理学、电动力学、量子力学、近代物理实验、热力学·统计物理、计算物理和固体物理。</br>就业去向：科研院所、高等院校、国家机关及相关单位从事科研、教学、产品设计、生产技术、管理与科技开发工作，也可以继续攻读应用物理专业及相关专业的硕博士学位。</br>授予学位：理学学士</br>光电信息科学与工程（本科，按“物理学类”招生，一学年后分专业）</br>培养目标：本专业培养具有光电信息科学与工程方面的宽厚的基础理论、扎实的专门知识与熟练的基本技能，能够综合运用光学科学理论和技术分析解决理论和工程问题，高素质、有创新意识和实践能力的高级专业人才。</br>主要课程：工程光学、工程制图与CAD、光电子技术、光电检测技术、信号与系统、电路分析、数字电子技术、模拟电子技术、信息显示技术、微机原理与应用、电动力学、量子力学、固体物理、光通信原理、激光原理与技术、光纤通信系统与工程、光纤技术与应用、传感器原理与技术、信息光学等。</br>就业去向：光电企业、国家机关及相关单位从事科研、教学、产品设计、生产技术、管理与科技开发工作，可以继续攻读光电信息科学与技术及相关专业的硕博士学位。</br>授予学位：工学学士</br>材料物理（本科，按特色专业招生）</br>培养目标：本专业培养具有良好的科学素质和创新思维，扎实的材料物理方面的专业知识、专业理论和实验技能，并能运用材料科学的基础理论、基础知识和实验技能进行材料研究和技术开发等基本能力的学生，为材料科学与工程及其相关领域输送优秀人才。</br>主要课程：高等数学、力学和热学、电磁学、光学、普通物理实验、大学化学、大学化学实验、原子物理学、复变函数、数理方程、热力学·统计物理、量子力学、近代物理实验、固体物理、材料科学基础、磁性物理、半导体物理、薄膜物理与技术、材料合成制备与加工、材料物理性能、材料物理研究方法、材料物理实验等。</br>就业去向：科研院所、高等院校、国家机关和企业及相关单位从事与材料特别是功能材料相关的科研、教学、管理与科技开发和生产管理工作，可以继续攻读材料物理及相关专业的硕博士学位。</br>授予学位：理学学士</br>“双一流”建设学科群：材料科学与信息技术</br>院士工作站：量子材料和器件院士工作站</br>博士后科研流动站：材料科学与工程；博士学位授权点：材料科学与工程、物理电子学；硕士学位授权点：理论物理、光学、原子与分子物理、凝聚态物理、材料物理与化学、材料学、光学工程</br>国家级一流本科专业建设点:应用物理学、材料物理、光电信息科学与工程</br>省级重点学科：理论物理、材料物理与化学</br>重点实验室：光电信息获取与控制教育部重点实验室、信息材料与智能感知安徽省实验室、信息材料与器件省级重点实验室、光电转换能源材料与器件安徽省重点实验室、磁性材料安徽省工程技术研究中心、安徽省基础物理实验课教学示范中心。</br>英才班：物质科学英才班</br>学院在大学二年级初，在全校范围内选拔30名左右优秀本科生组建“物质科学英才班”，实行“一制三化”（导师制、小班化、个性化、国际化）的培养模式，旨在造就一批具有跨学科知识、较强的创新精神和工程实践能力、宽阔的国际视野、持久的研究性学习能力和核心竞争力的科学与工程领域高层次拔尖创新人才。
67_2380,67,2380,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,化学工程与工艺（本科，已通过中国工程教育专业认证）</br>专业特色：国家一流本科专业建设点，以“夯实基础、强化实践、突出创新”的培养模式，为国家培养经济建设需要的化工专业人才。</br>培养目标：基于安徽大学“文理交融、理工互通、寓教于研”的人才培养机制和“233N”的人才培养模式，立足安徽省，面向长三角和珠三角，服务区域经济，培养德、智、体、美、劳全面发展，具备现代化工及相关学科的基本理论、基本知识和基本技能，了解现代化工的发展方向，具有工程实践能力、技术开发和科学研究的能力，具备创新意识和获取新知识能力，能在化工行业及相关领域从事生产、设计、研发、管理等工作的工程技术人才。</br>本专业培养的学生，毕业后5年左右预期可以达到以下目标：</br>具备现代化工及相关学科的基本理论、基本知识和基本技能，能在化工行业及相关领域从事生产、设计、研发、管理等工作；面对化工新产品、新工艺、新设备和新技术，具有工程实践能力、技术开发和科学研究的能力；理解并能执行国家对于化工生产、设计、研究与开发、环境保护、安全健康等方面的方针、政策和法规；具有社会责任感和良好的职业道德、良好的人文社会科学素养以及健康的身心素质；具有创新意识和获取新知识能力，了解现代化工的发展方向；具有沟通、团队合作能力和国际化视野，在化工及相关领域具有职业发展竞争力。</br>主要课程：高等数学、大学物理、工程制图与CAD、无机及分析化学、有机化学、物理化学、化工原理、化学反应工程、化工热力学、化工工艺学、化工设备、化工设计、分离工程、化工仪表及自动化、化工制图与CAD及相关实验课程等。</br>就业去向：化工、能源、信息、材料、环保、生物工程、轻工、制药、食品、冶金和军工等部门从事技术开发、工程设计、生产技术管理和科学研究等方面工作。</br>授予学位：工学学士
67_2328,67,2328,化学,四年,理学学士,本科(普通),理学,化学类,化学（本科，按“材料类”招生，一学年后分专业）</br>专业特色：国家一流本科专业建设点，注重基础理论、实践能力、创新能力、科学素养协调发展，为国家培养综合素质优秀、基础宽厚、视野开阔、发展潜力大、创新意识强、具有社会责任感和国际竞争力的化学学科及相关领域的人才。</br>培养目标：基于“233N”的人才培养模式，德、智、体、美、劳全面发展，具备良好的科研素质和道德修养；掌握化学专业基础知识、基本理论和基本技能；具备较强分析问题、解决问题能力，学会从事科学研究及管理的基本方法；了解化学学科前沿和发展方向，具有创新意识和获取新知识的能力；为攻读硕士、博士学位奠定坚实的基础；学生毕业后能在化学及相关领域从事科研、教学、管理工作，为国家和地方输送素质高、基础厚、业务精、创新能力强的化学学科及相关领域的人才。</br>主要课程：无机化学、分析化学、有机化学、物理化学、高分子化学、结构化学、化工原理、仪器分析、量子化学、计算化学、化学信息学及相关实验课程等。</br>就业去向：学校、科研院所、企业和管理部门，从事教学、科研、技术开发、分析测试、商品检验工作等。</br>授予学位：理学学士
67_2329,67,2329,高分子材料与工程,四年,工学学士,本科(普通),工学,材料类,高分子材料与工程（本科，按“材料类”招生，一学年后分专业）</br>专业特色：以高分子材料合成、加工及应用为专业发展方向，注重创新精神和创新能力培养，基于OBE理念构建了递进式、多层次、模块化的课程体系，实现创新创业教育贯穿人才培养全过程，提升双创人才培养质量，支撑国家产业转型升级、服务国家战略需求。</br>培养目标：本专业基于安徽大学“文理交融、理工互通、寓教于研”的人才培养机制和“233N”的人才培养模式，立足安徽省、面向全国，培养德、智、体、美、劳全面发展，具备良好的科研素质和道德修养；具有高分子材料与工程专业的基本技能和实践能力；具备在高分子材料领域从事材料制备和加工、工艺设计和设备选型的能力；具备一定的分析问题、解决问题能力；具备工程实践能力、技术开发和科学研究的能力，具备创新意识和获取新知识的能力；能在高分子材料合成、改性和加工成型等领域从事科学研究、技术开发、材料设计、工艺和设备设计、生产及管理等方面的高素质、厚基础的高级工程技术人才。</br>本专业培养的学生，毕业后5年左右预期可以达到以下目标：</br>目标1：具备良好的人文社会科学素养、诚实守信的职业道德操守、高度的社会责任感，能够适应市场经济对高分子材料专业领域工程技术人才的要求；目标2：具备一定的科学研究能力和创新精神，能够开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具在高分子材料科学与工程领域从事新产品与新技术的研发工作；目标3：具有独立分析解决高分子材料科学与工程相关领域复杂工程问题的能力，能够综合考虑社会、环境、法律、经济、道德、政策、文化等因素影响，从事工艺设计、产品生产、检测等工作，成为企业的技术骨干；目标4：重视沟通交流，能够融入团队，具有管理和决策能力，具备国际化视野和参与国际竞争与合作的能力，能够在生产、营销、行政等管理工作中有效带动工程实践项目的组织实施。</br>主要课程：无机及分析化学、有机化学、物理化学、化工原理、工程制图与CAD、机械设计基础、电工与电子技术、材料科学与工程基础、材料现代测试研究方法、高分子化学、高分子物理、高分子成型加工原理、聚合反应工程、聚合物流变学、高分子材料成型机械与模具等理论及相关实验、实践课程。</br>就业去向：学校、科研院所、塑料、橡胶、涂料、粘合剂等行业，从事教学、科研、高分子材料研制、技术开发、管理工作等。</br>授予学位：工学学士
67_2388,67,2388,材料化学,四年,工学学士,本科(普通),工学,材料类,材料化学（本科，按“材料类”招生，一学年后分专业）</br>专业特色：以无机非金属功能材料为发展方向，注重创新精神和创新能力培养，为国家及地方经济建设培养高质量的复合型人才。</br>培养目标：基于“233N”的人才培养模式，培养德、智、体、美、劳全面发展，具备良好的科研素质和道德修养；系统地掌握材料化学专业基本理论、基本知识和技能；具备一定的分析问题、解决问题能力；了解无机非金属功能材料学科的发展方向，具有创新意识及获取新知识的能力；具备运用所学知识和实验技能进行功能材料研究和技术开发的基本能力；学生毕业后能在材料科学与化学及其相关领域从事生产、科研、教学、管理工作；为国家和地方输送素质高、基础厚、业务精、能力强的化学材料专门人才。</br>主要课程：无机及分析化学、有机化学、物理化学、材料科学基础、材料工程基础、无机材料合成化学、无机材料结构与性能、结晶学、仪器分析、固体物理、材料现代测试研究方法、化学信息学、纳米材料科学及相关实验课程等。</br>就业去向：学校、科研院所、化学材料相关企业，从事教学、科研、材料设计开发、管理工作等。</br>授予学位：工学学士
