special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
69_2459,69,2459,环境设计,四年,艺术学学士,本科(普通),艺术学,设计学类,专业介绍：</br>环境设计专业主要是进行室内外人居环境设计研究与环境营造实践。依据生态原则，引入产品全生命周期理念，从宏观整体审视空间设计的方方面面与所有细节。涉及环境与设施、空间与装饰、造型与构造、使用功能与审美功能等计划，从而达到满足人们的功能使用及视觉审美需求。</br>培养目标：</br>培养基础扎实、知识面宽，实践能力强的应用型环境设计专门人才，要求其掌握相应的设计思维、表达、沟通和管理能力，能从事设计研发或自主创业，具有创新精神、时代精神、责任意识，具有科学的理性精神、领先的审美判断、系统的专业知识。培养具有良好人文素养的创新与能力并重的应用型设计人才。
69_2511,69,2511,数字媒体艺术,四年,艺术学学士,本科(普通),艺术学,设计学类,一、专业介绍</br>本专业在新兴产业发展背景下，紧跟信息社会进程，培养科学技术与艺术素养相结合，掌握平面视觉符号的基本应用能力的平面设计师，专业倡导以图形、色彩、文字为基本符号来进行信息有效传递，要求其具有数字媒体艺术设计基本理论和专业技能，能够在各级艺术设计、出版教育和生产制作单位工作。</br>二、培养目标</br>具有较好的设计学、艺术理论知识认知与学习能力，系统掌握本专业的视觉设计理论和知识，了解数字媒体艺术专业的学科前沿、应用背景和发展趋势，并学会运用相关知识解决平面设计领域的复杂设计及社会实践等问题。能够应用自然科学、人文科学、设计学的基本原理，识别、表达、并通过文献研究分析数字媒体艺术流程与方法、数字媒体艺术开发及应用等问题，以获得有效结论。能够基于数字媒体艺术基本原理，采用科学研究方法对数字媒体艺术过程的复杂问题进行研究。能够针对设计问题，开发、选择与使用恰当的技术、资源、现代工具和信息技术，包括对复杂数字媒体艺术问题的预测与模拟，并能够理解其局限性。
69_2512,69,2512,视觉传达设计,四年,艺术学学士,本科(普通),艺术学,设计学类,一、专业介绍</br>紧跟信息社会进程，培养科学技术与艺术素养相结合，掌握平面视觉符号的基本应用能力的平面设计师，专业倡导以图形、色彩、文字为基本符号来进行信息有效传递，要求其具有视觉传达艺术设计基本理论和专业技能，能够在各级艺术设计、出版教育和生产制作单位开展工作。</br>二、培养目标</br>具有较好的设计学、艺术理论知识认知与学习能力，系统掌握本专业的视觉设计理论和知识，了解视觉传达设计专业的学科前沿、应用背景和发展趋势，并学会运用相关知识解决平面设计领域的复杂设计及社会实践等问题。能够应用自然科学、人文科学、设计学的基本原理，识别、表达、并通过文献研究分析视觉传达设计流程与方法、视觉传达设计开发及应用等问题，以获得有效结论。能够基于视觉传达设计基本原理，采用科学研究方法对视觉传达设计过程的复杂问题进行研究，包括设计方案、设计实验、分析与解释数据、并通过信息综合得到合理有效的结论。能够针对设计问题，开发、选择与使用恰当的技术、资源、现代工具和信息技术，包括对复杂视觉传达设计问题的预测与模拟，并能够理解其局限性。能够理解和评价针对视觉传达设计流程等复杂问题的专业社会实践对环境、社会可持续发展的影响。
69_2516,69,2516,冶金工程,四年,工学学士,本科(普通),工学,材料类,本专业按照重基础、宽口径、复合型、高素质的人才培养模式，培养德、智、体、美全面发展的，了解现代冶金和材料学科发展，适应社会经济和科学技术发展要求，掌握现代冶金工程（冶金物理化学、钢铁冶金和有色金属冶金）相关基础理论、专业知识和基本技能，善于应用现代信息技术和管理技术，具备国际化视野、富有民族责任感和创新精神，具有分析和解决复杂工程问题的能力，毕业后5年左右能够在其所从事的冶金工程及相关领域承担生产、管理及经营、工程设计和科学研究等工作的工程技术型或科学技术型高素质应用人才。</br>本专业学生主要学习黑色和有色金属冶金的基础理论，生产工艺和设备，实验研究，设计方法，过程控制与管理，环境保护及资源综合利用的基本理论和基本知识，受到冶炼工艺制定、工程设计、测试技能和科学研究的基本训练，具有开发新技术、新工艺和新材料及工业设计和生产组织、管理的能力。根据专业建设和学科发展需要，设立钢铁冶金方向和有色金属冶金方向两个模块课程。具体描述如下：</br>（1）具有从事冶金技术研究、设计和开发所需的自然科学、人文科学知识及计算机和外语应用能力。</br>（2）掌握扎实的冶金基本理论，具有从事冶金工程创新和工程管理必须的相关知识。</br>（3）熟悉冶金行业的最新发展动态及相应的新技术、新工艺和新装备。</br>（4）具有良好的工程职业道德、坚定的追求卓越的态度、强烈的爱国敬业精神、社会责任感和丰富的人文科学素养。</br>（5）具有信息获取和职业发展及终身学习能力；具有良好的质量、环境、职业健康、安全和服务意识、应对危机与突发事件的初步能力。</br>（6）具有较好的组织管理能力、较强的交流沟通、环境适应和团队合作能力；具有一定的国际视野和跨文化环境下的交流、竞争与合作的初步能力。</br>（7）掌握文献检索、资料查询及运用现代信息技术获取相关信息的基本方法，具有阅读和撰写科技论文或技术报告的能力。</br>（8）了解工程实践活动对环境、可持续发展所带来的各种影响，注重环境保护、生态平衡和可持续发展。</br>（9）掌握基本的创新方法，具有较强的创新能力和追求创新的态度和意识；具有综合运用理论和技术手段设计系统和过程的能力。
69_2515,69,2515,材料成型及控制工程,四年,工学学士,本科(普通),工学,机械类,学生能够通过终身学习来顺应社会发展，在独立和团队工作环境中，综合应用材料成型及控制工程以及其他相关领域的专业知识，持续增强和展示自身健全人格、专业能力和工程师职业道德，成为在安徽、华东乃至全国各地的机械、冶金、材料及其他新行业，从事研究、设计、开发及管理等工作的应用型工程人才，优秀者成为相关技术或管理领域的高级人才。</br>学生毕业5年左右能够达到以下预期成就：</br>目标1：履行并承担材料成型及控制工程及其相关领域工程技术人员应尽的社会义务及责任，主动提高并展示自身社会服务职责、社会公德、人文科学素养和工程职业道德；</br>目标2：针对材料成型及控制工程及其相关领域的复杂工程实际问题，运用数学、自然科学和工程科学等知识，经分析、判断和综合处理等过程，提出并践行工程解决方案；</br>目标3：应用系统与集成、材料成型分析与组织设计、计算机信息化等专业能力，承担材料成型及控制工程及其相关领域多学科背景下复杂工程系统的流程设计，产品开发、制造及管理工作；</br>目标4：参与或承担材料成型及控制工程及其相关领域的技术和服务工作，主动提高并展示多学科背景下的沟通以及跨文化条件下的交流能力；</br>目标5：主动锤炼团队意识和终身学习能力，主动拓展自己的知识和能力，能够在不同的岗位上做出贡献，获得自身的持续发展。
69_2461,69,2461,测控技术与仪器,四年,工学学士,本科(普通),工学,仪器类,"一：专业概况</br>安徽工业大学测控技术与仪器专业成立于1978年,是安徽工业大学最早开设的专业之一，目前专业师资力量雄厚，教学设施齐全，实验设备丰富，具备良好的专业培养条件。2008年本专业获批教育部“国家级特色专业建设点”；2012年获批教育部“卓越工程师教育培养计划”本科专业；2013年入选省级专业综合改革试点专业；2018通过中国“工程教育专业认证”；2019年获批安徽省一流专业。</br>二：培养目标</br>专业培养能适应社会发展，身心健康、有社会责任感和职业道德及人文素养，能在过程参数检测与控制、自动化仪表及装置设计与制造、流程工业自动化工程等领域从事技术开发、工程设计、生产运维和管理等方面工作，服务于冶金、化工、能源等行业，具有社会主义核心价值观，国际视野和创新意识的专门技术人才。</br>三：师资力量</br>测控专业师资力量雄厚，现有专职教师22人，教授9人，副教授9人，高级实验师2人，50%以上教师具有博士学位，安徽省学术与技术带头人1人，安徽省教学名师1人。近年来，主持及参与了各类教学、科研课题50余项，科研经费长年位于电气学院前列。</br>四：就业前景</br>测控技术仪器专业长期坚持以学生为本，质量至上，以培养优秀工程技术人员为追求，将培养适应社会发展需要、合格的社会主义建设者放在首位。本专业的学生多次在“挑战杯”大学生课外学术竞赛、全国大学生电子竞赛、智能汽车竞赛等大赛中斩获国际级、国家级奖项。毕业生就业前景广阔，一次就业率平均达到95%以上，其中约30%毕业生考取研究生继续升造，就业率与就业质量在学校各专业中始终名列前茅。毕业生进入高等学校、科研院所、设计院、高新企业、科技公司从事研发、运维、技术支持和管理等工作。"
69_2489,69,2489,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,本专业以“厚基础、宽口径、重能力、求创新”为人才培养特色，培养德智体美劳全面发展，具备应用广泛的新型功能材料制备与合成、加工、结构与性能检测和分析等基础及专业知识与技能，能在新能源、电子以及信息等当今发展迅速的技术领域从事现有材料性能提升、新材料与器件的研发、应用、教学及相关管理工作的科学技术型或工程技术型高级专业人才。
69_2488,69,2488,金属材料工程,四年,工学学士,本科(普通),工学,材料类,本专业培养适应于区域经济建设及行业和社会发展需要，系统掌握金属材料工程专业基础理论、专业知识及实践能力，具有良好团队合作精神和沟通能力，具备创新意识和国际化视野，善于应用现代信息技术和管理技术，德智体美劳全面发展，能够在所从事的金属材料工程及相关领域承担生产、管理及经营、工程设计和科学研究等方面的工程技术型或科学技术型高素质人才。
69_2472,69,2472,无机非金属材料工程,四年,工学学士,本科(普通),工学,材料类,无机非金属材料工程专业以“厚基础、复合型、重能力、求创新”为人才培养特色，培养适应无机非金属材料行业与长三角区域经济发展需要，德智体美劳全面发展，系统掌握无机非金属材料工程专业基础理论、专业知识及实践能力，具有良好的团队合作精神和沟通能力，具备创新意识和国际化视野，善于应用现代信息技术和管理知识，能够在当前应用广泛的先进无机非金属材料工程领域承担新材料和器件研发、生产、管理以及教学等方面工作的科学技术型或工程技术型高级专业人才。
69_2514,69,2514,焊接技术与工程,四年,工学学士,本科(普通),工学,材料类,本专业培养能适应当前社会和国民经济发展需求，具有良好的人文素质和科学素养，扎实的自然科学基础，系统地掌握材料、机械、自动化等基础知识和先进的焊接技术与工程专业知识，具有创新能力、国际视野和团队合作精神、德智体美劳全面发展的材料连接类工程技术型或科学技术型专业人才。
