special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
68_2419,68,2419,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,<p>本专业培养掌握安全科学、安全技术及工程的基础理论、基本知识、基本技能，具备安全工程师的基本能力，能从事安全技术及工程、安全科学与研究、安全管理与监察、职业健康与安全、安全检测与监测、安全规划设计与生产、事故调查分析与救援等方面复合型的高级工程技术人才。</p><p>    本专业主要开设课程有工程力学、流体力学与流体机械、工程热力学、传热学、物理化学、空调与制冷、消防工程学、安全系统工程、安全人机工程学、安全学原理、工业通风工程、安全监测与监控、煤矿地质学、采矿学、地下工程施工和通风安全学等课程。</p><p>    毕业生主要从事矿山安全技术及工程、消防工程、公共安全工程等领域的规划设计、施工、科学研究、职业卫生与健康、安全管理与监察、安全信息化与安全评价等方面的工作。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2446,68,2446,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>本专业培养具备土木工程学科的基础理论和专业知识，获得工程师的基本训练并具有创新精神的高级工程技术人才，能够从事矿山建设工程、岩土工程、建筑工程、路桥工程的项目规划、设计、研究、施工及管理工作。</p><p>    本专业学生主要学习力学理论基础，土木工程知识，人文社科知识，接受课程设计、试验仪器操作、工程实践等方面的基本训练。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2406,68,2406,弹药工程与爆炸技术,四年,工学学士,本科(普通),工学,兵器类,<p>    本专业主要培养具备火炸药、起爆器材、火工烟火技术、爆炸理论、工程爆破及安全技术等方面基础理论知识和工程实践能力，并能在公安、消防、安全等公共管理机构及爆破器材工厂、铁道、水利水电、矿业、建筑工程、兵器工业、高等院校和科研院所等企事业单位从事设计、技术开发、产品制造、实验测试和科技与安全管理等工作的高级工程专门技术人才。</p><p>    本专业学生主要学习爆破器材和工程爆破方面的基本知识和基本技能，具备爆炸物品生产技术管理、工程爆破设计与施工及安全管理、爆破器材和爆破新技术研发的基本能力。毕业生可在公安、消防、安全等公共管理机构及爆破器材工厂、铁道、水利水电、矿业、建筑工程、兵器工业、高等院校和科研院所等企事业单位从事设计、技术开发、产品制造、实验测试和科技与安全管理等工作。</p><p>   本专业学制四年，授予工学学士学位。</p>
68_2442,68,2442,采矿工程,四年,工学学士,本科(普通),工学,矿业类,<p>本专业培养具备固体矿床开采、设计与施工的基本理论知识和方法，具备采矿工程师的基本能力，具有创新意识和初步创新能力，具有从事矿区开发规划、矿山生产、设计、施工、科研及管理能力的高级工程技术人才。</p><p>    本专业学生除学习公共基础课外，主要课程有：理论力学、材料力学、测量学、采矿学、矿山岩体力学、矿山压力及其控制、地下工程施工、矿山通风与安全、采掘机械、电工技术与电子技术、煤矿地质学、采矿系统工程、开采沉陷与控制、现代企业管理等课程。</p><p>    毕业生主要从事企事业矿山开采、岩土工程、地下建筑工程等领域的设计、施工、科学研究、安全监察与管理等方面的工作。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2432,68,2432,水文与水资源工程,四年,工学学士,本科(普通),工学,水利类,<p> 本专业培养从事水资源开发与管理、水资源规划与设计、水资源保护与利用工程技术、管理与科学研究，具有分析解决水资源开发利用过程问题的能力，能够适应社会经济发展需要的 “德、智、体、美”全面发展的高级技术人才。</p><p>    本专业学生主要学习水文与水资源、信息采集及处理、水资源评价与管理、水环境保护、地下水开发与利用等方面基本理论，并接受运算、实验、测试等方面基本训练，具有较扎实自然科学知识，较好人文科学知识，较强的数学与计算机、外语应用能力，能在水利、能源、交通、城建、农林、环境保护、矿山等企事业部门从事水文与水资源评价、勘测、规划设计以及预测与管理工作，也可继续深造学习。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2451,68,2451,地质工程,四年,工学学士,本科(普通),工学,地质类,<p> 本专业培养掌握地质学的基本理论和基础知识，熟悉地质工程的设计、施工、评价和管理流程，具备解决地质工程技术问题的基本能力，能适应经济建设和社会发展需要的德、智、体、美全面发展的应用型高级专门人才。</p><p>    本专业学生在学习高等数学、大学物理、大学化学、外语、计算机技术基础上，主要学习地质学、工程地质学和矿井地质学等方面的基本知识和理论；受到工程师的基本训练，具有从事地质资源、地质环境和地质工程等勘察、设计、施工和管理的基本能力；具有一定创新能力，能够在地质资源勘探与开采、工程勘察、地质灾害防治等单位从事科学研究、技术开发、生产及管理等方面专业技术工作。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2428,68,2428,环境工程,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>本专业培养具备水、气、声、固体废物等污染防治和给排水工程、环境规划等方面知识和基本技能，具有从事污染控制工程的设计、运营管理以及制定环境规划和进行环境管理的能力，并具备环境工程方面的新理论、新工艺和新设备的研究和开发能力，成为具有可持续发展理念的环境工程领域高级工程技术人才。</p><p>    本专业学生主要学习掌握环境工程学科基本知识和理论体系，获得环保工程师、环境影响评价工程师的基本训练，具备在环保部门、设计单位、工矿企业、科研单位、高等院校以及政府部门、规划部门、经济管理部门等从事环境污染治理、规划、设计、管理、评价、教育、研究和开发等方面工作的能力。</p><p>     本专业学制四年，授予工学学士学位。</p>
68_2412,68,2412,建筑学,五年,工学学士,本科(普通),工学,建筑类,<p>本专业培养具备建筑设计、城市设计、室内设计、市政设计等方面的知识和专业技能，能在建筑设计和规划部门从事各种类型的建筑设计和相关的规划工作，并具备多种职业适应能力的通用型、复合型高级工程技术人才。</p><p>    本专业学生主要学习建筑设计、城市规划原理、建筑工程技术、环境和空间表现、绘画艺术等方面的基本理论与基本知识，接受建筑设计、规划等方面的基本训练，具备项目策划、规划设计、建筑设计、室内设计以及建筑施工图绘制等方面的基本能力。</p><p>    本专业学制五年，授予工学学士学位。</p>
68_2447,68,2447,建筑环境与能源应用工程,四年,工学学士,本科(普通),工学,土木类,<p>本专业主要培养具备室内环境设备系统及建设公共设施的设计、施工、安装调试与管理工作及国民经济各部门所需的特殊环境研究开发的基础理论及专业知识，能够从事建筑物采暖、空调、通风除尘、空气净化、给水排水和燃气应用等系统与设备以及相关的城市供热、供燃气系统与设备的设计、安装调试与运行等方面工作的专业人员和技术人才。</p><p>    本专业学生主要学习建筑物理环境和环境控制系统的基础理论和基本知识，接受建筑设备与能源应用系统的设计、调试和运行管理等方面的基本训练，并初步具备研究、施工及管理的工作能力。</p><p>   本专业学制四年，授予工学学士学位。</p>
68_2445,68,2445,工程造价,四年,管理学学士,本科(普通),管理学,管理科学与工程类,<p>本专业培养具有土木工程技术、管理学、经济学及建设法规等方面的基本知识，掌握工程造价管理的理论及方法，具备工程计量与计价、工程招投标与合同管理、造价控制、工程投融资与项目评价等方面的能力，能够从事工程估价经济文件编制、投资控制、成本控制及工程建设全过程造价管理、造价咨询等方面工作的复合型造价管理人才。</p><p>    本专业学生主要学习管理学、经济学、施工技术、工程造价管理、项目投资与融资、工程项目评估、工程招投标与合同管理、管理信息系统及建设法规等方面的基础理论和基本知识。接受造价工程师等方面的基本训练，具备工程造价的确定与控制、工程项目的组织与管理等方面的基本能力。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2431,68,2431,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>本专业以培养机械工程宽口径人才为目标，以培养高级工程技术人才为主题，培养具有现代科技观念和综合素质，基础扎实、思路开阔，具有较强的创新意识和实际操作能力，可以成为机电产品研究开发、生产过程自动化技术应用与改造、企业经营管理等方面的高级工程技术应用人才。</p><p>    本专业学生学习掌握机械设计制造与自动化专业基础理论、基本知识和技能，熟悉机械产品的设计程序、制造工艺，具有应用现有的技术、工具或新兴技术，发现、分析和解决工程实践活动中问题的能力，并具备良好的职业道德，较强的沟通交流和组织管理能力。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2453,68,2453,工业设计,四年,工学学士,本科(普通),工学,机械类,<p>本专业培养具备工业设计的基础理论、知识与应用能力，具有扎实的专业理论基础，掌握现代工业设计专业知识和现代设计方法，能在企事业单位、专业设计部门、科研单位从事工业产品造型设计与开发、视觉传达设计、环境设计、设计管理及产品造型设计的应用型高级专门人才。</p><p>    本专业学生主要学习工业设计的基础理论与知识，接受工业设计原理、程序、方法以及设计表达等方面的基本训练，具备适当处理工业设计与环境、用户、市场、功能、造型、色彩、结构、材料、工艺等的相互关系，并将这些综合地表现在产品及服务设计上的基本能力。</p><p>   本专业学制四年，授予工学学士学位。</p>
68_2421,68,2421,过程装备与控制工程,四年,工学学士,本科(普通),工学,机械类,<p>本专业培养具备过程工业设备、控制和管理等方面基础理论知识和工程实践能力，并能在化工、石油、能源、轻工、制药、食品、环保、机械及劳动安全、高等院校和科研院所等企事业单位从事工程设计、技术开发、生产制造、经营管理、实验测试和科技与安全管理等方面工作的高级工程技术人才。</p><p>    本专业学生主要学习过程工业机械设备和控制方面的基本知识和基本技能，具备过程工业生产技术管理、过程装备设计、制造与安装施工及安全管理、过程装备和控制新技术研发的基本能力。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2392,68,2392,车辆工程,四年,工学学士,本科(普通),工学,机械类,<p>本专业培养具备机械工程的基础知识和理论，扎实掌握车辆工程专业基础知识和能力，能在科研院所、企业、高新技术公司从事各种车辆（包括汽车、改装车辆、特种车辆）的研究、设计、制造、检测、实验、开发应用等工作，并从事运行管理、经营销售领域的高级工程技术人才。</p><p>    本专业学生主要学习掌握机械工程的基础理论，汽车理论、构造、设计和汽车电子等方面的专业知识，接受现代机械工程师的基本技能训练，具有较强的自学能力、实践能力、创新意识和较高的综合素质，具备初步的科学研究、科技开发及组织管理能力。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2437,68,2437,测控技术与仪器,四年,工学学士,本科(普通),工学,仪器类,<p>   本专业培养具备精密仪器设计制造以及测量与控制方面基础知识与应用能力，能在国民经济各部门从事测量与控制领域内有关技术、仪器与系统的设计制造、科技开发、应用研究、运行管理等方面的高级工程技术人才。</p><p>    本专业学生主要学习机械与电子学基础理论、精密仪器的光学、测量与控制理论和有关测控仪器的设计方法，受到现代测控技术和仪器应用的基本训练，系统掌握光、机、电、计算机等方面知识和市场经济及企业管理等基础知识，具备测控技术及仪器系统的应用及设计开发能力和较强的外语应用能力、自学能力、创新意识，具有较高的综合素质。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2420,68,2420,自动化,四年,工学学士,本科(普通),工学,自动化类,<p>本专业主要培养从事工业过程控制、运动控制、检测与自动化仪表、电力电子技术、电子与计算机技术、信息处理、管理与决策等领域的系统分析、系统设计、系统运行、科学研究与开发等方面的高级工程技术人才。</p><p>    本专业学生除学习公共基础课外，还学习电路理论、电子技术基础、计算机原理及应用、电机与电力拖动基础、电力电子技术、自动控制原理、信号与系统分析、过程检测及仪表、计算机网络、过程控制、运动控制、计算机控制系统等课程。</p><p>    毕业生可到研究设计院（所）、企事业单位从事运动控制、过程控制、计算机监控等方面的设计、技术开发和科学研究等工作。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2423,68,2423,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>   本专业主要培养掌握现代电子电路、信息系统理论与技术，具有信息采集、传输、处理及应用、计算机应用技术等方面能力的高级工程技术人才。</p><p>    本专业学生除学习公共基础课外，主要课程有：电路理论、信号与系统、模拟电子技术、数字电子技术、感测技术、高频电路、电视技术、数字信号处理、信息理论与编码、微型计算机技术、光电子技术、通讯技术，多媒体技术等。</p><p>     毕业生可到研究设计院（所）、企事业单位从事电子技术或信息系统方面的设计、技术开发、系统运行维护、科研等工作。</p><p>    本专业学制四年，授予工学学士学位。</p>
68_2452,68,2452,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>    本专业主要培养具有现代通信技术、通信系统及通信网络方面的高级工程技术人才。学生除学习公共基础课外，还学习电路理论、计算机技术、信号与系统、模拟与数字电子技术、电磁场理论、通信原理、微波通信技术、移动通信、光纤通信、程控交换、数据通信与计算机网络、多媒体通信、随机信号分析、智能化信息检测技术、数字信号处理等相关课程。</p><p>    毕业生可在通信与信息处理领域中从事研究、设计、运营、管理及在国民经济各部门从事通信与信息技术及设备的开发应用工作。</p><p>   本专业学制四年，授予工学学士学位。</p>
68_2441,68,2441,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>   本专业主要培养从事电气工程的系统运行、自动控制、电力电子技术、信息处理、试验分析、研制开发、经济管理以及计算机控制技术等方面的宽口径复合型高级工程技术人才。</p><p>    学生除学习公共基础课外，还学习电路理论、自动控制理论、电子技术基础、电力电子技术、电机与拖动、自动控制系统、发电厂电气控制、电力系统自动化、继电保护、计算机控制技术、可编程控制器、智能监测技术等相关课程。</p><p>    毕业生可到研究设计院（所）、企事业单位从事电气设备、自动控制及电力系统自动化等方面的设计、运行、管理和研究工作。</p><p>    本专业学制四年，授予工学学士学位。</p>
