special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
53_1478,53,1478,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,<p>本专业是国家级特色专业建设点，设有三语培养双学士（经济学、文学）实验班，鼓励国内外本硕连读。本专业是国际经济与贸易国际化人才培养国家特色专业点，旨在培养具有全球视野和国际化经营技能的专业人才。</p>
53_1483,53,1483,法学,四年,法学学士,本科(普通),法学,法学类,<p>法学专业为国家级重点学科，旨在培养基础雄厚、特色突出的法律精英人才。学生必须全面掌握法学专业基础知识，熟练 掌握至少一门外语；并在此基础上，形成有效的综合分析和独立解决国内外法律问题能力。通过严格系统的专 业学习，能够熟练运用外语、熟悉国际经贸业务、精通法律专业知识，成为复合型法律专门人才。</p>
53_1514,53,1514,西班牙语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>成立于 1954 年，是我国高校最早建立的西语专业之一。近五十年来，为我国经贸战线培养了大量高级西语人才，在全国 目前十余所设有西语专业的高校中享有较高声誉。本专业研究生教育现设有西班牙语语言学、西班牙及拉美文学文化、经贸西语和区域国别研究等四个专业方向，主要培养 具有坚实理论基础和系统专业知识，能够从事相关专业的教学、科研工作，并能胜任涉外工作的高级应用型与研究型人才。</p>
53_1493,53,1493,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>本专业依据 EQUIS 和 AACSB 等国际标准制定了国际化的专 业培养目标，形成了以双语教学为依托，以英文原版教材为载体， 以完善的财务会计教学模块为基础，将会计学专业学历教育与国 际职业资格教育相结合，兼顾中西方会计教学内容，与工商管理 深度融合的会计培养模式。</p><p>旨在培养具有全球化视野和通晓国际 会计准则，具备会计、审计、财务管理、税务等方面的知识，具 有在跨国企业、国内企事业单位中从事会计、审计、财务管理、 税务筹划、咨询等方面工作能力的高素质专门人才。</p>
53_1492,53,1492,市场营销,四年,管理学学士,本科(普通),管理学,工商管理类,<p>作为国家级高等学校特色专业建设点，营销专业通过“一二 课堂、校内外融合的浸入式商科教育模式”一直以来着力培养学生先进实用的市场分析方法和解决商务问题的技能。我们在“一 课堂”开设了营销学原理、营销管理、全球营销、商务调研、服务营销、营销渠道、消费者行为、企业间营销、销售与客户关 系管理、整合营销沟通、营销实验、ERP 沙盘模拟、智慧营销等营销类专业课程。这些课程大多数采用最新的英文原版教材， 使用全英语或双语授课，使得我们的毕业生具备了较强的中、英文书面与口头表达能力和全球商务沟通能力。“二课堂”更是 为同学们准备了丰富的活动和实训：国内外商务模拟和策划比赛、系友交流、营销管理实习、实践项目植入、社会实践等等。经过四年的磨练，我们希望你实现自己的梦想，能够胜任在全球组织中从事市场调研、 营销策划、营销咨询、品牌管理和服务营销任务，真正作为有责任感的全球商务精英。</p>
53_1516,53,1516,意大利语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>我校于1959年开设意大利语专业，是我国为数不多的开设意语专业的院校之一。本专业具有较强的师资队伍，教学、科研在全国意大利语界名列前茅。本专业学生主要学习经贸专业知识和意大利语言文学文化知识。主要课程有：基础意语、意语精读、文学选读、翻译理论与实践、谈判与口译、视听说、意语语法、意大利概况等。本专业 2000 年开始招收硕士研究生，现设有意大利语语言学、意大利文学文化、商务意语和区域国别研究等四个专业方向， 主要培养具有坚实理论基础和系统专业知识，能够从事相关专业的教学、科研工作，并能胜任涉外工作的高级应用型与研究型人才。</p>
53_1490,53,1490,电子商务,四年,管理学学士,本科(普通),管理学,电子商务类,<p>旨在培养德才兼备、基础 宽厚，具有“互联网 +”与”一带一路”国际化背景下的既懂经济管理与贸易金融， 又懂信息技术与专业前沿，且具备较高外语水平与国际化视野，掌握经济管理方法、互联网创新与应用、电子商务理论和实践、电子商务规划、系统设计和管理 技能，能够利用互联网及新兴媒体开展国内外商务活动，具有较强实践能力、创 新创业能力和跨文化沟通能力的高素质复合型专门人才。</p>
53_1482,53,1482,金融工程,四年,经济学学士,本科(普通),经济学,金融学类,<p>金融工程专业是国家级和北京市特色专业建设点，自 2003 年设立该专业以来，已在同类高校中具有卓越声誉。该专业着 重培养运用金融数量方法解决金融实际问题的专门人才。金融工程系拥有一支实力雄厚、视野开阔、学术过硬、充满活力的师 资团队，全部教师具有博士学位，近半数具有国外留学或国外访问学者背景。同时，学校拥有金融工程实验室，可以提供较好 的国内外经济金融数据库和金融分析软件，并与多家金融机构建立了金融工程教学实习基地，有利于培养学生学以致用的能力。本专业 的特色在于综合应用各种定量技术方法如金融建模、统计分析、数值计算、仿真模拟等，培养具备扎实的金融经济理论，具有 深厚的数理基础，掌握金融工程技术，并熟悉金融风险管理、公司理财、投资战略策划及金融产品定价方法，能在跨国公司和 金融机构从事金融财务管理、金融分析和策划的高素质复合型现代化人才。</p>
53_1502,53,1502,日语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>成立于 1953 年，是我国高校最早成立的日语专业之一，具有较强的师资队伍，教学、科研在全国日语界名列前茅，承担 我国日语核心期刊《日语学习与研究》杂志的编辑工作本专业 1986 年开始招收硕士研究生，现设有日语语言学、日本文学文化、商务日语和区域国别研究等四个专业方向，主 要培养具有坚实理论基础和系统专业知识，能够从事相关专业的教学、科研工作，并能胜任涉外工作的高级应用型与研究型人才。</p>
53_1479,53,1479,金融学（国际金融与市场）,四年,经济学学士,本科(普通),经济学,金融学类,<p>本专业源自对外经济贸易大学1956 年创立的国际金融专业，是传统优势与现代金融技能相结合的强势专业、国家级特色和国际化特色突出的优势专业。培养适应全球金融一体化的金融专业人才，使学生具备扎实的外语、计算机、数量方法、经济学及会计学基础，掌握本专业的基本理论，精通金融市场业务、银行管理和投资分析等方面的基本技能，能够胜任国内外各类金融机构和大中型企业财务、投资等部门的专业工作。</p>
