special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
126_6257,126,6257,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>【软件工程专业】</p><p></p><p>软件工程专业是国家级特色专业，培养具有扎实软件基础理论和工程知识的高级程序设计师、软件系统分析师和软件项目管理师。建立了鲜明的“2+X”人才培养模式，设有软件工程、嵌入式系统、服务科学与工程和信息安全等专业方向，要求学生在完成基础课和专业基础课后，进入面向专业方向的课程学习与工程训练；从知识结构上，要求重视数学和工程基础的积累、人文素质的提高和专业创新能力的培养。要求学生熟悉软件系统的设计方法和技术规范，具备信息获取能力和国际化视野，能够从事软件产品开发和项目管理。引进与国际接轨的培训模式，与国内外知名企业建立了联合校外实训中心和校内实训基地，保证学生直接参加企业课题的研发和实践。毕业生主要就业去向是高新技术企业、科研部门、企事业单位和教育机构，且95%以上的毕业生可以实现高质量就业或继续深造。</p><p></p><p>学    制：四年</p><p></p><p>授予学位：工学学士</p>
126_6262,126,6262,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>【英语专业】</p><p></p><p>国家级特色专业，山东省重点学科。设英语语言文学、科技英语、商务英语、“英语+法学”、“英语+国际政治”双学位班等方向。培养学生全面掌握语言学、文学及相关人文社会科学和科学技术方面知识，具有扎实的英语语言基础和较熟练的听、说、读、写、译能力，具有一定的实际应用第二外语的能力，能适应教育、外事、经贸、旅游、文化、新闻出版、法律、科技、军事、科研等部门的工作。</p>
126_6256,126,6256,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,<p>【计算机科学与技术】</p><p></p><p>计算机科学与技术专业面向国家和地方经济发展的需求，培养学生成为具有良好计算机科学素养和实践能力的创新型计算机科学与技术人才。</p><p></p><p>学院计算机科学与技术专业为山东省品牌专业，是国内首家参加国际专业认证的计算机科学与技术专业，是国家拔尖创新人才试验计划所在专业，并与中科院计算所合作，实施了“科教协同育人系列行动计划”（即“菁英计划”）。</p><p></p><p>学生在校期间主要学习高级程序设计语言、离散数学、数据结构、计算机组成、操作系统、编译原理、数据库引论、计算机体系结构、数字逻辑、计算机网络、面向对象技术、微机原理、多核平台技术、嵌入式系统、计算机图形学、信息与网络安全、软件工程等课程。</p><p></p><p>学    制：四年</p>
126_6259,126,6259,临床医学,五年,医学学士,本科(普通),医学,临床医学类,<p><br/></p><p><br/></p><p>【临床医学（五年制）】</p><p><br/></p><p>该专业基础和临床课程采用双语授课，学生入校后强化英语教学，基础和临床课程采用双语授课，使学生具备扎实的基础和专业英语功底。前三年在学校学习人文、自然和基础医学知识，后两年到附属医院学习临床理论和技能，使学生具备防治常见病、多发病，处理疑难和危重病症的基本能力。</p><p><br/></p><p>学    制：五年</p><p><br/></p><p>授予学位：医学学士</p><p><br/></p><p><br/></p>
126_6254,126,6254,美术学,四年,艺术学学士,本科(普通),艺术学,美术学类,<p>本专业设油画、国画两个专业方向。特点是在优化绘画、美术史论等课程的基础上，融合视觉传达设计专业的部分基础课程，课程设置贯彻知识、能力、素质协调发展和综合提高的原则，加强基本训练，拓展知识领域，重视艺术实践、外语等适应社会需求的能力的培养，提高学生的专业素质与总体素质，使技法、理论、人文修养三方面兼顾，形成科学、完整且富有特色的艺术教学体系。  </p><p></p><p>学生入校后，除系统学习各类绘画技法、美术理论外，加强艺术设计、三维动画、英语等课程的教学。学生在校期间，能够充分利用山东大学学科齐全的优势，跨学科选修多种课程，攻读第二学位，以丰富学生的人文修养，增强发展潜力，提高就业竞争力。第一学年，系统学习各种公共基础课程和专业基础课程，一年后，分出国画、油画二个专业方向。本专业培养能在各类院校、企事业单位、专业艺术团体、社会文化团体、影视音像部门及社会其他文艺单位从事美术教学、创作、研究及组织策划等工作的具有高水平艺术技能、文化理论素养和宽口径知识结构的艺术人才。  </p><p></p><p>专业基础课程：素描基础、国画基础、设计基础、彩画、速写、解剖、构图、透视、艺术概论等。国画方向专业课程：素描写生、工笔人物、意笔人物、山水、户外写生、国画创作、艺术考察、毕业设计、中国美术史等。油画方向专业课程：素描写生、油画写生、油画创作、户外写生、艺术考察、毕业设计、西方美术史等。  </p><p></p><p>学制：四年  </p><p></p><p>授予学位：艺术学学士</p>
126_6260,126,6260,口腔医学,五年,医学学士,本科(普通),医学,口腔医学类,<p>2014年按口腔医学（五年制）、口腔医学（七年制）招收本科生。</p><p><br/></p><p>【口腔医学（五年制）】</p><p><br/></p><p>五年制学生要求掌握自然科学知识、基础医学及临床医学基本理论知识和一定的实践技能，学生毕业后能够独立从事口腔疾病的医疗和保健工作。在毕业前安排临床实习一年。</p><p><br/></p><p>学 &nbsp; &nbsp;制：五年</p><p><br/></p><p>授予学位：医学学士</p><p><br/></p><p>【口腔医学（七年制）】<br/></p><p><br/></p><p>七年制学生旨在培养医学理论知识和实际工作能力达到硕士水平的高级口腔临床医学专门人才。在毕业前安排临床实习两年。</p><p><br/></p><p>学 &nbsp; &nbsp;制：七年</p><p><br/></p><p>授予学位：医学硕士</p>
126_6261,126,6261,护理学,四年,理学学士,本科(普通),医学,护理学类,<p>【护理学】</p><p></p><p>护理学专业以关爱健康为宗旨，以社会需求为导向，培养具有良好职业道德，系统掌握护理学和医学基础理论、专业知识和基本技能，具有较强的临床护理实践能力和创新健康护理理念的高素质护理人才。毕业生适合在国内大中城市三级甲等医院从事高端临床护理、高等护理院校从事护理教育等方面工作，或报考护理学及相关专业的研究生继续深造，也可出国就业或继续深造。</p><p></p><p>学    制：四年       </p><p></p><p>授予学位：理学学士</p>
126_6266,126,6266,预防医学,五年,医学学士,本科(普通),医学,公共卫生与预防医学类,<p>预防医学专业设预防医学、卫生检验、卫生事业管理三个专业方向。</p><p></p><p>【预防医学方向】</p><p></p><p>本专业方向在培养学生掌握一般临床医学理论知识与技能的基础上，系统地掌握本专业的基础理论、基本知识和基本技能，并能运用所学的知识、技能从事疾病预防控制、卫生监督等预防医学的实践工作和科学研究。</p><p></p><p>主要就业去向：疾病预防控制中心、卫生监督所、出入境卫生检验检疫局、医疗卫生机构、卫生行政主管部门（如卫生计生委、卫生局等）、高等院校、医学科研单位等。</p><p></p><p>【卫生检验方向】</p><p></p><p>本专业方向培养学生具有从事卫生检验、检疫、环境监测、临床医学检验工作和科学研究的能力，并且有一定的预防医学、临床医学知识和外语水平。毕业后从事卫生检验和临床检验实践技术工作。本专业属于预防医学范畴，应用现代医学理论和科学技术对环境、食品、作业现场的卫生状况进行监测，为制定预防措施和临床医疗方法提供检验依据。</p><p></p><p>主要就业去向：出入境卫生检验检疫局、疾病预防控制中心、卫生监督所、医疗单位、高等院校、医学科研单位等。</p><p></p><p>【卫生事业管理方向】</p><p></p><p>本专业方向在培养学生掌握一般临床医学理论知识与技能的基础上，系统地掌握本专业的基础理论、基本知识和基本技能，具有相关的卫生管理知识和外语水平。培养学生具有坚实的基础和专业知识，具有勇于创新、独立思考的科学精神，使之成为德、智、体、美全面发展的卫生管理人才。</p><p></p><p>主要就业去向：卫生行政主管部门（如卫生计生委、卫生局等）、疾病预防控制中心、卫生监督所、医疗单位、出入境卫生检验检疫局、高等院校、医学科研单位等。</p>
126_6268,126,6268,数字媒体技术,四年,工学学士,本科(普通),工学,计算机类,<p>【数字媒体技术专业】</p><p></p><p>数字媒体技术专业是信息领域最具创新力、想象力和发展活力的专业之一，培养面向数字媒体与数字内容产业应用需求的人才。三年级选择专业方向，专业现有两个专业方向，数字娱乐应用设计与开发方向侧重计算机游戏、移动互联网络下交互式数字娱乐应用设计与开发；动画设计与制作方向侧重影视特效设计、3D动画角色场景建模、运动建模、材质与灯光设计以及动画渲染。毕业生主要就业去向是电视、电影、广告、出版、图书、新闻等文化行业和各类媒体与网络企业。95%以上的毕业生可以实现高质量就业或继续深造。</p><p></p><p>学    制：四年</p><p></p><p>授予学位：工学学士</p>
126_6296,126,6296,集成电路设计与集成系统,四年,工学学士,本科(普通),工学,电子信息类,<p>该专业是为了满足国家大力发展集成电路产业的需求，以培养集成电路与集成系统的设计专门人才为目标而设置的。该专业强调理论与实践相结合，培养的学生能很好地适应集成电路产业对人才的需求。</p><p></p><p>培养的学生具有坚实的电路理论基础，熟悉集成电路器件和工艺的专门知识，掌握集成电路与系统的设计技能，能成为从事集成电路芯片设计、电路系统研发等产业科技开发、生产管理、科学研究等工作的高级专门人才。</p><p></p><p>本专业必修核心课程包括：电路与系统基础课程和集成电路芯片设计系列核心专业课程。本专业强调理论与实践相结合，专业级的集成电路设计软硬件环境保障每一门设计课程都有相应的实验课，通过案例教学课程学生可以学习集成电路芯片设计的全部流程。</p><p></p><p>学制：4年；授予学位：工学学士</p>
