special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
96_3952,96,3952,农学,四年,农学学士,本科(普通),农学,植物生产类,<p>该专业创建于1932年，先后于2003年、2006年获得“自治区首批精品专业”和 “自治区首批优质专业”称号；2007年获得“国家首批特色专业”称号。2014年， 在凤凰网的专业评价中，农学专业成为广西自治区唯一的五星级专业。2015年，农学专业获得广西自治区创新创业示范专业建设。</p>
96_3913,96,3913,法学,四年,法学学士,本科(普通),法学,法学类,<p>本专业是广西唯一的法学类自治区级重点学科和自治区级优势特色专业。拥有国家级卓越法律人才培养基地、国家级教学团队和国家级教学名师。拥有法学一级学科硕士点和8个二级学科硕士点及法律专业硕士学位授权点。拥有3门自治区级精品课程、2个自治区级教学团队、2个自治区级人文社科研究基地和1个自治区级校外实践基地。本专业着重培养具有扎实的法学理论功底和具备较强法律实务能力的高层次、应用型、复合型卓越法律人才。本专业开设了法理学、宪法学、民法学、刑法学、行政法学、民事诉讼法、刑事诉讼法、行政救济法、环境法、国际法等21门专业必修课程。同时还开设了40余门内容丰富、形式多样的法律实践、实验选修课程供学生自主选择，特别注重对学生学习兴趣的引导和培养。本专业还与区内60余家司法机关、行政机关和律师事务所建立了实践教学联合培养平台，为学生提供丰富的专业实践、实习渠道。本专业毕业生具有极强的专业对口性，适合在法院、检察院、公安机关从事司法工作；在各级人大和党政机关、行政部门、事业单位从事立法、执法及综合管理工作；在律师事务所从事律师业务；在国有或私营企业、NGO组织、行业组织及社会团体从事法务工作；也可在大中专院校、科研单位从事科研和管理工作。尤其在党的十八届四中全会提出全面推进依法治国的大背景下，社会对法学专门人才的需求不断加大，本专业毕业生将具有更为宽阔的就业和发展空间。</p>
96_3954,96,3954,植物保护,四年,农学学士,本科(普通),农学,植物生产类,<p>该专业是广西高校重点学科，获批自治区级创新创业教育改革示范专业（2016）、2013年被列入广西优势特色重点学科、广西大学2014年高等学校优势特色专业，2014年进入第一批卓越农林人才培养计划。拥有一级学科植物保护学博士后流动站1个、二级博士授权点1个（植物病理学）、二级学科硕士点3个（植物病理学、农业昆虫与害虫防治、农药学）、植物保护硕士专业学位授权点、植保本科专业。拥有“八桂学者”设岗基地、3个教研室、3个研究所，是广西植物保护学科中唯一具有学士、硕士、博士授权的学科。培养具备植物保护科学知识和技能，掌握农林及城市环境有害生物检测与监控技术、综合治理技术、植物检疫、作物无公害生产等专业知识和技能，具有开展农林植物病虫草鼠等有害生物鉴定、预测预报、灾害防控的科学研究、生产技术指导、行政管理能力。能够从事农业有害生物控制、森林保护、园林植物病虫害防控、环境生物资源保护与利用等方面的教学、科研、各级行政、环保、技术开发与推广应用、科技成果转化、农产品安全与检验、农产品采后服务、绿色食品生产和无公害农产品的农药残留安全与检验、农药加工和经营管理工作。毕业生可在各级农业和林业部门、出入境检验检疫机构、海关、食品药品安全监管部门、农药生产企业、各级基层农场和森林公园、园林保护、教育、科研、党政机关等单位就业。</p>
96_106033,96,106033,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,"<p style=""text-align: justify; text-indent: 0em; line-height: 2em;""><span style=""font-family: arial, helvetica, sans-serif; font-size: 16px; color: rgb(0, 0, 0);""><span style=""font-size: 16px; font-family: arial, helvetica, sans-serif; text-align: justify; background-color: rgb(255, 255, 255);"">机械设计制造及其自动化专业是国家级特色专业、广西优质本科专业、广西优势特色专业，2016年、2019年连续两次通过中国工程教育专业认证，2019年获国家级一流本科专业建设立项。该专业以现代制造模式的全局形态向学生展示教学内容和实验内涵，为培养创新型制造业人才提供拓展性的学习和训练空间；同时与企业密切联系，紧跟行业最新发展动态，充分利用校内外的人才资源和设备资源，为培养学生的创新创业能力和工程实践能力构建优异的人才培养体系，与企业全程互动，协同育人。</span><br/><strong style=""padding: 0px; margin: 0px; overflow-wrap: break-word; appearance: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; text-size-adjust: none; color: rgb(51, 51, 51); font-family: &quot;microsoft Yahei&quot;, Arial, Helvetica, sans-serif; text-align: justify; white-space: normal; background-color: rgb(255, 255, 255);"">主要课程：</strong><span style=""font-size: 16px; font-family: arial, helvetica, sans-serif; text-align: justify; background-color: rgb(255, 255, 255);"">互换性与技术测量、机械制造技术基础、热工学基础、控制工程、传感与测试技术、液压传动、机械电气自动控制、数控机床及编程、智能制造导论、特种加工技术、有限元分析、智能制造技术基础、数控加工实验技术、机电液分析与测控实验技术、机械电气自动控制实验技术、企业综合实践、机械工程综合应用实践、导师制课程等。</span><br/><strong style=""padding: 0px; margin: 0px; overflow-wrap: break-word; appearance: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; text-size-adjust: none; color: rgb(51, 51, 51); font-family: &quot;microsoft Yahei&quot;, Arial, Helvetica, sans-serif; text-align: justify; white-space: normal; background-color: rgb(255, 255, 255);"">就业去向：</strong><span style=""font-size: 16px; font-family: arial, helvetica, sans-serif; text-align: justify; background-color: rgb(255, 255, 255);"">毕业后主要在机械工程及相关领域的企业和科研院所的技术部门，运用数字化、智能化方法，从事先进机电产品研发、机械优化设计、机械制造工艺优化设计、产品质量控制、生产系统信息化管理以及技术服务等工作，部分学生继续升学深造，从事机械工程科学研究和应用研究。</span></span></p>"
96_3935,96,3935,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,     学院办学历史悠久，始创于1933年的电机系，现有农业电气化与自动化、电气工程及其自动化、自动化三个本科专业，“电气工程学科”是自治区重点学科。学院师资力量雄厚，有教职工110人，其中：教授13人，副教授36人，具有博士学位和在读博士学位的教师20人。各专业的教学实验手段齐备：计算机室拥有各种微机、终端200多台；高压实验室装备有进口的100万伏冲击电压发生器等设备；即将建成的电力系统仿真实验室具有国内先进水平；系资料室有各种学术资料5千多种，2.6万册。成人教育始于1982年，成人学历教育2003年开设专业有：“电气工程及其自动化”本科专业和“电气工程及其自动化”、“自动化”、“农业电气化与自动化”三个专科专业。 <br>
96_3942,96,3942,水利水电工程,四年,工学学士,本科(普通),工学,水利类,    该专业培养学生掌握工程力学、水力学、岩土力学及工程结构的基本理论，掌握水工建筑物的设计理论和技能，掌握水流试验，施工系统分析和科学管理的基本知识，具有计算机应用的能力。 <br>　　主要课程有：工程力学、水力学、土力学、工程地质及水文地质学、工程测量、工程水文学、工程经济学、水利水能规划、水工建筑物、水电站、施工、建筑材料、钢筋混凝土结构和钢结构。 <br>　　毕业生可在水利水电部门、高等学校、科研单位从事水利水电建筑工程的勘测、设计、施工、管理、教学和科研等工作。 <br>
96_3918,96,3918,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,该专业培养具有新闻学基本理论和较宽广的文化科学知识，熟悉我国新闻宣传政策与法规，能熟练运用现代传播技术从事新闻传播、社会活动并具备开展传播科学研究的基本能力的高级人才。主要课程有：广播电视概论、广播电视史、广播新闻采写、广播音响报道、广播编辑与制作、电视新闻采写、电视摄像、电视编辑与节目制作、电视音乐音响、大众传播学、播音与节目主持、网络传播、媒介经营与管理、新闻道德与法规等。毕业生能在广播电视媒体和行政事业单位宣传部门从事采访、编辑、制作、节目主持与管理工作；也可在政府、社区、公司、企业的宣传策划部门从事组织形象宣传工作；还可在大专院校和研究机构从事广播电视新闻学的教学与理论研究等工作。 <br>
96_3926,96,3926,矿物资源工程,四年,工学学士,本科(普通),工学,矿业类,     广西唯一培养矿产资源开发、加工和利用领域高级工程技术人才的宽口径本科专业，自治区级重点建设学科。学生应掌握矿产资源开采、加工和利用的基本理论和方法，能够从事矿产资源开发加工的规划、设计、生产管理、科学研究和城市控制爆破、地下工程建设、矿山安全和环境保护等工作。主要课程有：工程化学、物理化学、环境工程、运筹学、经济管理基础、计算机辅助设计、地质学与矿物学、现代矿床开采理论与实践、现代矿物加工理论与实践、流体力学与通风工程、岩体力学与测试技术、爆破工程、井巷工程、工程测量学、矿石可选性研究、选矿厂设计、矿产品市场与贸易等。毕业生可到相关企业、科研设计院所、大中专院校和人防、建筑、环保、贸易等单位和部门就业
96_3955,96,3955,林学,四年,农学学士,本科(普通),农学,林学类,　　学科：农学 <br />　　门类：森林资源类 <br />　　专业名称：林学 <br /><br /> <br />　　业务培养目标：本专业培养具备森林培育、林木遗传育种、森林病虫鼠害防治与检疫、野生植物资源开发利用等方面的知识，能在林业、农业、环境保护等部门从事森林培育、森林资源保护、森林生态环境建设的高级科学技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习森林培育(包括经济林栽培)、林木遗传育种、森林病虫鼠害防治、野生植物资源开发与利用等方面的基本理论和基本知识，受到林木良种选育、造林、森林资源调查规划、森林病虫鼠害防治与检疫、林火管理及野生植物利用的基本训练，具有森林经营方案编制、森林培育、森林资源保护、森林生态环境建设管理的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．具备扎实的数学、物理、化学等基本理论知识； <br />　　2．掌握林学、生物学、植物保护学、环境科学学科的基本理论、基本知识； <br />　　3．掌握土壤理化性质分析、林木生理生化分析和森林资源调查、评价的方法，掌握林木良种选育、林木栽培抚育、森林病虫鼠害防治和林特产品加工利用的技术； <br />　　4．具有森林经营方案编制、森林培育、野生植物资源开发利用、森林资源监测、森林生态环境建设管理的基本能力；<br />　　5．熟悉我国林业可持续发展、森林生态环境建设、森林资源保护和国土绿化的方针、政策和法规； <br />　　6．了解国内外林学学科理论前沿、生物工程技术应用前景、林业科技发展趋势以及林业生产发展动态。<br /><br />　　主干学科：林学、生物学、植物保护。 <br /><br />　　主要课程：森林植物学、植物生理学、植物营养学、林木遗传育种、生物技术、土壤肥料学、森林环境学、森林昆虫学、林木病理学、森林生态学、测量与遥感等。 <br /><br />　　主要实践性教学环节：包括实验、课程设计、教学综合实习、生产实习、毕业论文(设计)等，-般安排28-30周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：农学学士  <br /><br /> <br />
96_3947,96,3947,轻化工程,四年,工学学士,本科(普通),工学,轻工类,　  涵盖制浆造纸、包装、印刷和环保等行业，是与国民经济建设关系十分密切的重要产业，也是我区的支柱产业之一。具有产业的关联面广泛和不可替代性等特点。近年来，该专业坚持同企业建立“产、学、研”全面合作关系，硕果累累，特别是在各种高效、低污染制浆造纸技术方面，已完成多项高水平研究课题，部分达到国内领先水平且实现产业化
96_3908,96,3908,木材科学与工程,四年,工学学士,本科(普通),工学,林业工程类,　　学科：工学 <br />　　门类：林业工程类 <br />　　专业名称：木材科学与工程 <br /><br /> <br />　　业务培养目标：本专业培养具备木材物理化学、电工与电子技术、机械基础、造型艺术和木材科学与加工技术等方向的知识，能在木材工业、家具制造业、室内工程等领域的企业、设计院、科研院所从事木材加工、室内设计、室内装饰的高级工程技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习木材物理化学、电工与电子技术、机械基础、造型艺术、设计艺术和木材科学与加工技术等方面的基本理论和基本知识，受到制图、木材及其产品性能测试、木材干燥、制材、人造板、木制品与家具设计制造的基本训练，具有木材加工和室内装饰工程的生产技术、工艺流程和设备选择及经营管理的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．具备扎实的数学、物理、化学等基本理论知识； <br />　　2．掌握木材科学与工程、设计艺术学学科的基本理论、基本知识； <br />　　3．掌握木材物理性质、化学性质分析方法及应用技术，掌握家具设计、造型艺术设计、室内设计方法； <br />　　4．具有木材干燥、制材、木制品及家具生产、人造板生产、木材及其产品性能检测、室内设计的基本能力； <br />　　5．熟悉我国林业、木材加工工业、环境保护的方针、政策和法规； <br />　　6．了解国内外木材科学与加工技术的理论前沿、应用前景及发展动态。 <br /><br />　　主干学科：林业工程 <br /><br />　　主要课程：木材学、胶合材料学、热工学、机械设计制造基础、木材切削原理与刀具、电工与电子技术、投影制图、人体工效学、美学基础、专业绘画、建筑设计基础等。 <br /><br />　　主要实践性教学环节：包括实验、教学实习、生产实习、课程设计、毕业论文(设计)等，一般安排30——35周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士  <br /><br />
96_3985,96,3985,思想政治教育,四年,法学学士,本科(普通),法学,马克思主义理论类,　　学科：法学 <br />　　门类：政治学类 <br />　　专业名称：思想政治教育 <br /><br /> <br />　　业务培养目标：本专业培养具备马克思主义基本理论和思想政治教育专业知识，能在党政机关、学校、企事业单位从事思想政治工作的专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习马克思主义、毛泽东思想、邓小平理论和思想政治教育专业的基本理论和基本知识，受到思想政治教育专业技能与方法的基本训练，掌握从事思想政治工作的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握思想政治教育专业的基本理论、基本知识； <br />　　2．掌握马克思主义的基本原理和科学分析方法； <br />　　3．具有从事思想政治工作的基本能力； <br />　　4．了解党和国家的有关方针、政策和法规； <br />　　5．了解思想政治教育学科专业的理论前沿、发展动态； <br />　　6．掌握文件检索、资料查询的基本方法，具有-定的科学研究和工作能力。 <br /><br />　　主干学科：政治学、教育学 <br /><br />　　主要课程：马克思主义思想政治教育理论基础、思想政治道德观教育、中华人民共和国史、伦理学、教育学、管理学、心理学基础、思想政治教育史、思想政治教育案例分析等。 <br /><br />　　主要实践性教学环节：包括社会调查、专业实习、以及思想政治工作实践(如学生政治辅导员、少先队辅导员等)。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：法学或教育学学士 <br /><br />
96_3978,96,3978,生物科学,四年,理学学士,本科(普通),理学,生物科学类,　　学科：工学 <br />　　门类：电气信息类 <br />　　专业名称：计算机科学与技术 <br /><br /> <br />　　业务培养目标：本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习计算机科学与技术方面的基本理论和基本知识，接受从事研究与应用计算机的基本训练，具有研究和开发计算机系统的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握计算机科学与技术的基本理论、基本知识； <br />　　2．掌握计算机系统的分析和设计的基本方法； <br />　　3．具有研究开发计算机软、硬件的基本能力； <br />　　4．了解与计算机有关的法规； <br />　　5．了解计算机科学与技术的发展动态； <br />　　6．掌握文献检索、资料查询的基本方法，具有获取信息的能力。 <br /><br />　　主干学科：计算机科学与技术 <br /><br />　　主要课程：电路原理、模拟电子技术、数字逻辑、数字分析、计算机原理、微型计算机技术、计算机系统结构、计算机网络、高级语言、汇编语言、数据结构、操作系统等。 <br /><br />　　主要实践性教学环节：包括电子工艺实习、硬件部件设计及调试、计算机基础训练、课程设计、计算机工程实践、生产实习、毕业设计(论文)。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学或理学学士 <br /><br />
