special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
129_6633,129,6633,朝鲜语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>培养具有扎实的朝鲜语语言基础和比较广泛的科学文化知识，能在外事、经贸、文化、新闻出版、教育、科研、旅游等部门从事翻译、研究、教学、管理工作的朝鲜语高级专门人才。</p>
129_6662,129,6662,中国少数民族语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,"<p>　　学科：文学 <br />
　　门类：中国语言文学类 <br />
　　专业名称：中国少数民族语言文学 <br />
<br />
 <br />
　　业务培养目标：本专业培养具备有关少数民族语言文学全面系统知识，能在少数民族教育文化部门及相关单位从事有关少数民族语、文字、文学、文献的教学、研究、编辑、翻译、新闻、文学创作等方面工作的少数民族语言文学高级专门人才。 <br />
<br />
　　业务培养要求：本专业学生主要学习有关民族语言、文学、文献方面的基本理论和基础知识．受到有关理论、发展历史、研究现状等系统教育和从事专业工作所需业务能力的基本训练。 <br />
<br />
　　毕业生应获得以下几方面的知识和能力： <br />
　　1．掌握马克思主义的基本原理和有关民族语言文学的基本理论； <br />
　　2．掌握本专业的基本知识以及与专业有关的新闻、历史、哲学、艺术、计算语言学、心理学、教育学、行政管理学、文书学、逻辑学、民族学等相关学科的知识； <br />
　　3．具有较强的语言、文学修养和鉴赏能力，能阅读古典文献； <br />
　　4．了解我国关于民族语言文字和文学艺术的方针、政策及法规； <br />
　　5．了解本学科的前沿成就和发展前景； <br />
　　6．掌握有关民族文献资料的查询方法，有较强的写作能力和一定的实际工作能力以及初步的科研能力。 <br />
<br />
　　主干学科：中国语言文学 <br />
<br />
　　主要课程：语言学概论、有关民族语言史、古代汉语、有关民族现代语言、现代汉语、汉语一民族语语法对比、文学概论、有关民族文学史、中国文学史、有关民族历史等。 <br />
<br />
　　主要实践性教学环节：包括有关民族语言实习、翻译实习、语言调查等，一般安排8周左右。 <br />
<br />
　　修业年限：四年 <br />
<br />
　　授予学位：文学学士 <br />
<br />
 </p>"
129_6609,129,6609,动物科学,四年,农学学士,本科(普通),农学,动物生产类,<p>培养具备动物科学的基本知识和技能，能在与动物科学相关领域和部门从事技术与设计、推广与开发、经营与管理、教学与科研等工作的具有创新精神和实践能力的复合型人才。</p>
129_6564,129,6564,汉语言,四年,文学学士,本科(普通),文学,中国语言文学类,培养目标：培养具有汉语言文学基本理论、基础知识和基本技能的汉语言文学教育高级专门人才。 <br>　　培养要求：汉语言文学的基本理论和基本知识，受到教育及教学研究的基本训练，具有良好的人文素养和教师职业素养，具备从事本专业的教学能力和科研能力。 <br>　　主要课程：现代汉语、现当代文学、写作、古代文学、文学概论、语文教学论、外国文学、汉语史、中国现当代文学作品选读。 <br>　　就业前景：在高等和中等学校从事汉语言文学教学和教学研究的教师、教学研究人员及其他教育工作。 <br>　　修业年限：四年 授予学位：文学学士 <br>
129_168585,129,168585,学前教育,四年,教育学学士,本科(普通),教育学,教育学类,"<p>    培养目标：本专业培养具有良好思想道德品质、扎实的学前教育专业知识，能在保教机构、教
育行政部门以及其他相关机构从事保教、研究和管理等方面工作的复合型人才。
</p><p>    培养要求：本专业学生主要学习学前教育方面的基本理论和基本知识，接受学前教育技能的
基本训练，掌握保育、教育和研究的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握学前儿童保育学、学前教育学、学前儿童发展科学、幼儿园教育活动设计与组织等学
科的基本理论和基本知识；
</p><p>    2．掌握观察幼儿、分析幼儿的基本能力以及对幼儿实施保育和教育的技能；
</p><p>    3．具有设计具体教育方案和实施方案的基本能力；
</p><p>    4．熟悉国家和地方有关学前教育的方针、政策和法规；
</p><p>    5．了解学前教育理论和学前教育实践的发展动态；
</p><p>    6．具有一定的科学研究和管理工作能力，具有一定的批判性思维能力。
</p><p>    主干学科：教育学、心理学。
</p><p>    核心课程：学前教育学、学前儿童发展科学、学前儿童保育学、学前教育史、学前教育研究方
法、学前特殊儿童教育、幼儿园课程、学前儿童语言教育、学前儿童健康教育、学前儿童艺术教
育等。
</p><p>    主要实践性教学环节：幼儿园见习、教育实习、教育调查等。
</p><p>    修业年限：四年。
</p><p>    授予学位：教育学学士。
</p>"
129_6620,129,6620,产品设计,四年,艺术学学士,本科(普通),艺术学,设计学类,<p>培养具有扎实的工业设计基础理论知识及产品造型能力、具有创新意识和设计实践能力，能在各类产品和用品的改良与创新设计、视觉传达设计、环境设施设计、界面交互设计等行业从事产品研发和设计工作的应用型人才。</p>
129_6648,129,6648,旅游管理,四年,管理学学士,本科(普通),管理学,旅游管理类,<p>培养适应现代旅游业发展需要，具备较高的现代管理理论素养和系统的旅游管理专业知识，能在各类旅游相关企事业单位以及教育和研究机构等从事经营、管理、策划、咨询、服务等工作的应用型、复合型人才。</p>
129_6638,129,6638,护理学,四年,理学学士,本科(普通),医学,护理学类,<p>有基本的临床护理和社区护理能力、初步的教学、管理及科研能力，能在各类医疗卫生保健机构从事护理工作的应用型专业人才。</p>
129_6637,129,6637,园林,四年,农学学士,本科(普通),农学,林学类,　　学科：农学 <br />　　门类：森林生产类 <br />　　专业名称：园林 <br /><br /> <br />　　业务培养目标：本专业培养具备生态学、园林植物与观赏园艺、风景园林规划与设计等方面的知识，能在城市建设、园林、林业部门和花卉企业从事风景区、森林公园、城镇各类园林绿地的 规划、设计、施工、园林植物繁育栽培、养护及管理的高级工程技术人才。 <br /><br />　　业务培养要求：本专业学生主要学习生态学、园林植物、观赏园艺、园林设计、园林建筑、园林工程等方面的基本理论和基本知识，受到绘画及表现技法、规划设计、园林植物栽培繁育及插花艺术等方面的基本训练，具有城镇绿化、园林建筑、园林工程、园林植物造景等规划设计及园林植 物的栽培、繁育及养护管理等方面的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．具备扎实的数学、物理、化学等基本理论知识； <br />　　2．掌握生物学、林学、建筑学、设计艺术学学科的基本理论、基本知识； <br />　　3．掌握风景名胜区规划、森林公园规划、城市绿地系统规划、各类园林绿地规划设计、园林植物栽培、养护管理的技术； <br />　　4．具有一定的绘画技法及风景园林表现技法，能应用艺术理论及设计理论对植物材料、自然景观进行艺术设计的基本能力和园林植物栽培繁育的初步能力； <br />　　5．了解国内外园林学科的理论前沿、应用前景及发展动态； <br />　　6．熟悉我国国土绿化、风景名胜区及森林公园建设、环境保护、森林资源及国土资源管理保护的方针、政策和法规。 <br />　　主干学科：生物学、林学、建筑学 <br /><br />　　主要课程：生态学(包括景观生态、植物生态、城市生态)、观赏植物学、园林植物遗传育种、插花艺术、园林史、绘画、设计初步、环境艺术学、植物造景设计原理等。 <br /><br />　　主要实践性教学环节：包括实验、教学综合实习、课程设计、毕业论文(设计)等，一般安排25-30周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：农学学士  <br /><br />
129_6573,129,6573,绘画,四年,艺术学学士,本科(普通),艺术学,美术学类,<p>培养和发展学生的独特艺术个性及艺术表现语言，掌握绘画艺术的基本规律，具备能够进行中国画、油画、版画创作的能力，同时重视培养学生运用知识与传递知识的能力的人才。</p>
129_6663,129,6663,小学教育,四年,教育学学士,本科(普通),教育学,教育学类,<p>学科：</p><p>门类：</p><p>培养目标:达到高等师范专科小学教育专业学历，提高素质水平。</p><p>主要课程：近现代史、马克思主义基本原理、英语(二)、心理卫生与心理辅导、课程与教学论、发展与教育心理学、中外教育简史、中小学教育管理、比较教育、小学艺术教育、现代教育测量与评价、中小学教师信息技术、学校管理心理学、教学设计、德育原理、教育社会学、学习心理学、教育哲学。</p><p>就业方向：小学教师。</p>
129_6654,129,6654,社会学,四年,法学学士,本科(普通),法学,社会学类,<p>培养熟练掌握社会学理论及其研究方法，熟悉社会科学各主要学科的基本知识，能够胜任社会研究、社会管理、社会服务工作，具有扎实的专业素质、健康的人格品质、良好的人文修养的复合型人才。</p>
129_6652,129,6652,药物制剂,四年,理学学士,本科(普通),医学,药学类,<p>能够在药学领域从事药物剂型与制剂的研究开发，药物制剂的生产、制备、质量控制和管理及中药民族药学等方面工作的复合型应用性药学制剂专门人才。</p>
129_6650,129,6650,应用化学,四年,理学学士,本科(普通),理学,化学类,<p>培养能在精细化学品合成、天然产品的加工及环境保护等企业、事业单位从事科学研究与开发、生产及管理工作的具有创新精神与实践能力的应用型高级专门人才。</p>
129_6556,129,6556,经济学,四年,经济学学士,本科(普通),经济学,经济学类,<p>培养具有较扎实的经济学理论基础、掌握现代经济分析方法，能在高等学校和科研机构、综合经济管理部门、企事业单位从事经济学教学和经济管理等方面工作的复合型专门人才。</p>
129_6578,129,6578,历史学,四年,历史学学士,本科(普通),历史学,历史学类,    培养目标：培养具有一定的马克思主义基本理论素养和系统的专业基本知识，有进一步培养潜能的史学专门人才，具有在高等和中等学校进行历史学教学和教学研究的教师、教学研究人员和其他教育工作者。 <br>　　培养要求::主要学习历史学的基本理论和基本知识，接受中国历史和世界历史发展的基本史实及史学研究的基本训练及教育理论与实践的基本训练；对有关的社会科学、人文科学与自然科学有一定了解；学会历史学的基本研究方法与分析方法；较熟练地掌握一至二门外语；了解国内外史学发展及历史学教学的理论前沿和发展动态；掌握文献检索与资料查询的基本方法。 <br>　　主要课程：中国通史、世界通史、国际关系、中国史学史、西方史学史、史学概论、历史文献、历史地理、历史教学论、文化人类学、现代化论、古典文明史。 <br>　　就业前景:高等学校.、中等学校、科研机构、新闻出版、档案馆、博物馆及事业单位。 <br>　　修业年限：四年 授予学位：历史学学士 <br>
129_6579,129,6579,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,培养目标：培养掌握数学科学的基本理论与基本方法，具备运用数学知识和使用计算机解决实际问题的能力，能在科技、教育和经济部门从事研究、教学工作或在生产经营及管理部门从事实际应用、开发研究和管理工作的高级专门人才。 <br>　　培养要求：在数学理论和应用两方面都受到良好的教育，受到科学研究的初步训练，具有较高的科学素质和较强的创新意识，具备科研、教学、解决实际问题等方面的基本能力和较强的接收新知识的能力。 <br>　　主要课程：数学分析、近世代数、实变函数、拓扑学、高等代数、数学建模、数据基础、FoxPro 、C++语言。 <br>
129_6580,129,6580,物理学,四年,理学学士,本科(普通),理学,物理学类,    培养德、智、体全面发展的，在21世纪知识经济时代具有创新、应变和竞争能力的物理学基础性、应用性人才。掌握系统的物理学、基础理论、数学的基础理论和基本方法，具有较熟练的实验技能，具有良好的计算机应用和外语应用技能，适应高科技产业的环境，在市场上能有较强的竞争力，能够在科研 <br>　　部门、高科技产业部门，公司，高等学校从事应用性高科技领域的研究、开发、生产技术管理和教学工作。 <br>
129_6581,129,6581,化学,四年,理学学士,本科(普通),理学,化学类,培养目标：在朝汉双语环境下培养中、高等化学教育实践与管理的人才，同时培养与化学相关的科研、开发和管理的高级技术人才。 <br>　　培养要求：主要学习化学基础理论、现代化学教育、图文处理和化学信息学等方面的知识，接受良好的科学思维和科学实验的基本训练，系统、扎实地掌握化学的基础知识和基本技能，使学生具备化学教师的基本素质。 <br>　　主要课程： 无机化学、 分析化学、 物理化学、有机化学、生物化学、环境化学、计算机在化学中的应用、化学教学法、教育学，心理学，化学信息学。 <br>　　就业前景：中、高等化学教育和管理部门，科研、环保、检疫、中、外企事业单位，品学兼优的学生可继续在本学科攻读硕士、博士学位。 <br>　　修业年限：四年 授予学位：理学学士 <br>
129_6582,129,6582,地理科学,四年,理学学士,本科(普通),理学,地理科学类,培养目标：主要培养掌握地理科学的基本理论、基础知识与基本方法的地理科学高级专门人才。 <br>　　培养要求：学习地理科学的基本理论和方法，接受地理科学思维和地理科学技能的训练，具有野外调查、实验室分析和计算机遥感应用及GIS地理信息处理的技能，并通过教育理论课程和教学实践环节，形成良好的教师素质，获得从事地理教学的基本能力和地理教学研究、地理科学研究、地理实际应用等各种基本能力。 <br>　　主要课程：自然地理学、地貌学、经济地理学、人文地理学、计量地理学、测量地理学、地理信息系统、环境地理学、地理教学论、地理课件制作。 <br>　　就业前景：高等和中等学校、科研部门、企业、行政管理部门。 <br>　　修业年限：四年 授予学位：理学学士 <br>
129_6583,129,6583,环境科学,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>具备环境科学的基本理论和基本技能，能在政府、企业与科研单位从事环境保护与监测、农业资源综合利用等领域的工作，具有创新精神、实践能力和跨文化素质的复合型人才。</p>
129_6584,129,6584,心理学,四年,理学学士,本科(普通),理学,心理学类,"    培养目标：培养具有心理学的基本理论、基本知识和基本技能，能在基础教育学校，尤其是民族基础教育学校从事心理教学工作、心理咨询服务工作的高级专门人才。 <br>　　培养要求：主要学习心理学及相关基础学科的基本理论和基本知识, 了解心理学的理论前沿、应用前景和最新发展动态及相近专业一般原理和知识；掌握心理学的实证研究方法，掌握相关的统计、测量方法，具有一定的实验设计、数据处理和计算机应用的能力；具备良好的教师素养和从事心理教育、心理咨询的基本能力；掌握资料查询、文件检索及运用现代信息技术获取相关信息的基本方法，具有整理、分析实验结果的能力。 <br>　　主要课程：人体解剖生理学、普通心理学、发展心理学、教育心理学、教育与心理统计、实验心理学、心理测量学、人格心理学、认知心理学、心理学史、社会心理学、人际关系心理学、民族心理学、心理咨询方法与策略。 <br>　　就业前景：在各级各类学校从事心理教育、心理咨询以及企事业单位的相关部门工作。 <br>　　修业年限：四年 授予学位：理学学士 <br>"
129_6585,129,6585,统计学,四年,理学学士,本科(普通),理学,统计学类,<p>培养具备系统的统计学理论知识和应用知识，掌握统计学的主要方法，具有处理特定行业数据问题的能力，能在经济、管理、生物、医药、等相关领域中从事数据搜集、分析与决策的复合型应用性人才。</p>
129_6588,129,6588,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>培养具备机械设计和制造、自动化基础知识和应用能力，在企业、高等院校、科研部门从事设计制造、技术开发、应用研究、教学、运行管理、经营等工作的高级专门人才。</p>
129_6590,129,6590,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,"<p>培养具有扎实的电子技术和信息系统的基础知识,具备电子领域中研究、设计、制造、运营及技术管理的能力，具有创新精神与实践能力和跨文化素质的复合型应用性高级专门人才。</p>"
129_6591,129,6591,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>培养具备计算机基本理论与应用技术、通信技术、通信系统和通信网等方面的知识，能在通信领域从事研究、设计、制造、开发、应用通信技术与设备工作的高级专门人才。</p>
129_6570,129,6570,音乐表演,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,"<p>培养具备音乐表演方面的知识与能力,能在专业文艺团体、文化馆（站）等相关部门从事音乐表演、音乐表演辅导和研究工作的应用型专业人才。</p>"
129_6557,129,6557,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,<p>培养掌握国际经济、国际贸易的基本理论、基础知识、基本技能，能在企业和对外贸易部门从事国际贸易业务及管理业务的高级专门人才。</p>
129_6558,129,6558,法学,四年,法学学士,本科(普通),法学,法学类,<p>培养德、智、体等全面发展，掌握马克思主义基本原理，具有深厚的法学专业知识功底，熟悉我国法律和党的相关政策，达到较高的外语水平，具有创新精神和较强创新能力、实践能力，能在国家机关、企事业单位和社会团体，特别是能在国家立法机关、审判机关、检察机关、司法行政机关、仲裁机构、法律服务机构和涉外活动中从事法律工作，能够满足民族地区与东北亚法治环境建设需求的，具有跨文化素质的应用型、复合型专门人才。</p>
129_6559,129,6559,国际政治,四年,法学学士,本科(普通),法学,政治学类,    培养目标：培养具有一定马克思主义理论素养和国际政治、国际法、政治法等方面的基本理论和专业知识的国际政治学专门人才。 <br>　　培养要求：主要学习马克思主义基本原理和政治学、国际政治的基本理论、基本知识；掌握社会科学和自然科学相结合的分析方法；具有在党政机关、企事业单位、高校和科研部门从事涉外工作、教学和研究工作的基本能力；了解我国对外方针政策、法规以及国际组织；了解国际政治的理论前沿和政治学、世界经济的发展动态。 <br>　　主要课程：政治学原理、国际政治概论、国际法与国际组织、比较政治制度、当代国际关系、近现代国际关系、西方国际关系理论、国际政治经济学、美国外交政策、亚太地区政治与经济、欧洲地区政治与经济、各国政治与经济。 <br>　　就业前景：在党政机关、企事业单位、高校和科研等部门从事外交、外事、对外宣传、教学和研究工作，毕业后出国留学深造。 <br>　　修业年限：四年 授予学位：法学学士 <br>
129_6560,129,6560,教育技术学,四年,教育学学士,本科(普通),教育学,教育学类,    培养目标：培养能够在新技术教育领域从事设计、开发、运用、管理等教育技术学高级专门人才；同时培养影视编导与制作、计算机网络技术、多媒体课件制作等高级复合型人才。 <br>　　培养要求：主要学习影视编导和制作的理论与技术，培养计算机图像及处理、计算机动画制作、多媒体软件的开发技能和网络技术应用等综合能力；多媒体课件制作中心、网络中心、非线性编辑实验室、演播室等诸实验室，为学生接受学习资源和学习过程的设计、开发、运用、管理、评价等方面的训练提供了良好的教学环境。 <br>　　主要课程： <br>　　教育技术学、教学系统设计、影视编导制作技术、计算机网络技术、多媒体计算机技术、图像处理技术、计算机动画制作技术、非线性编辑技术及应用、远程教育、教育技术研究方法和教育传播学。 <br>　　就业前景：在各级各类教学及科研单位、电视台、影视制作中心、网络中心、电教馆、广告公司等部门工作。 <br>　　修业年限：四年 授予学位：理学学士 <br>
129_6561,129,6561,体育教育,四年,教育学学士,本科(普通),教育学,体育学类,体育教育专业 <br>　　培养目标：培养能胜任学校体育教育、教学、训练和竞赛工作，并能从事学校体育科学研究、学校体育管理及社会体育指导等工作的高级专门人才。 <br>　　培养要求：主要学习体育学基础理论、基本知识和基本技能，初步掌握体育教育、人体生长发育和体育活动时身心变化的规律及增强体质、增进健康的科学方法，具备从事体育教学、组织与指导课外体育锻炼、运动训练及竞赛工作的能力，具备体育科学研究的初步能力，能阅读本专业的外文书刊，熟练掌握运用计算机的基本技能。 <br>　　主要课程：体育理论、学校体育学、人体解剖学、运动生理学、体育保健、体育测量与评价、田径、体操、足球、排球、篮球、健美操、跆拳道、运动训练学、体育管理学、群众体育学。 <br>　　修业年限：四年 授予学位：教育学学士 <br>
129_6562,129,6562,运动训练,四年,教育学学士,本科(普通),教育学,体育学类,培养目标：培养具备竞技运动方面的基本理论和基本知识，能从事运动训练教学、训练、组织、指导管理以及科学研究工作的高级专门人才。 <br>　　培养要求：主要学习本专业所需要的基础理论、基本知识和基本技能，掌握运动训练的基本规律，人体生长发育规律和运动训练中身心变化规律，能够从事运动训练和竞赛的组织、管理与指导工作，培养运动训练理论与实践方面科学研究的初步能力，外语水平达到能够阅读本专业有关外文书刊及初步翻译的能力。 <br>　　主要课程：运动解剖学、运动生理学、体育概论、运动心理学、运动训练学、田径、体操、足球、排球、篮球、学校体育学、群众体育学、体育管理学。 <br>　　修业年限：四年 授予学位：教育学学士 <br>
129_6563,129,6563,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,培养目标：培养具备一定的文艺理论素养和系统的汉语言文学知识的汉语言文学高级专门人才。 <br>　　培养要求：主要学习汉语和中国文学方面的基本知识，受到有关理论、发展历史、研究现状等方面的系统教育和业务能力的基本训练。 <br>　　主要课程：文学概论、古代文学、现当代文学、外国文学、比较文学、写作、现代汉语、古代汉语、语言学概论。 <br>　　就业前景：在新闻、文艺、出版部门，高校、科研机构和机关企事业单位从事文学评论、汉语言文学教学与研究工作及文化、宣传方面的工作。 <br>　　修业年限：四年 授予学位：文学学士 <br>
129_6565,129,6565,汉语国际教育,四年,文学学士,本科(普通),文学,中国语言文学类,培养目标：培养能在高校面向日本、韩国留学生从事对外汉语教学的师资以及能在外事外交、文化宣传、新闻出版、海关边防、公安安全、外贸外资企业、旅游企事业等部门从事翻译、科研和管理工作的高级语言学专门人才。 <br>　　培养要求：主要学习汉语、日语、朝鲜语（韩国语）的基础知识、基本技能，受到严格的“三语”的听、说、读、写、译等语言实践训练，具有较高的“三语”表达能力和科研能力，了解日、朝（韩）等国家的社会与文化知识，掌握双语教学技能，并熟练掌握计算机操作技能。 <br>　　主要课程：日语综合、日语语法、日语听力、日语会话、日语写作、日汉翻译、汉日翻译、现代朝鲜语、第二语言教学论、现代汉语、古代汉语、中国文学。 <br>　　就业前景：从事大中专院校留学生教育的对外汉语师资，文化、宣传、新闻、出版、海关、边防、国家安全以及外事部门需要的双语高级人才，语言学研究与管理需要的高级语言学人才，境内、境外企事业单位所需的高级翻译及高级语言学工作者。 <br>　　修业年限：四年授予学位：文学学士 <br>
129_6566,129,6566,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,    培养目标：培养具备系统的新闻理论知识与技能，熟悉我国新闻、宣传政策法规的新闻学高级专门人才。 <br>　　培养要求：主要学习朝鲜语言、文学、新闻方面的基本理论和知识，受到有关语言文字及新闻基本理论、发展史等方面的系统教育和新闻采编能力的基本训练，掌握新闻采访、写作、编辑、评论摄影等业务知识与技能。 <br>　　主要课程：朝鲜语语法、朝鲜文学史、文学概论、比较文学概论、美学概论、文化学概论、西方现代主义文学流派史、新闻编辑学、采访与写作、广告学。 <br>　　就业前景：在新闻、出版与宣传部门从事编辑、记者与管理工作，或在影视制作中心从事文字工作。 <br>　　修业年限：四年 授予学位：文学学士 <br>
129_6568,129,6568,作曲与作曲技术理论,五年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,<p>培养具备音乐创作能力及音乐理论研究能力，能在专业文艺团体、文化馆（站），以及出版和广播影视等部门，从事音乐创作与研究、编辑等工作的应用型、创新型人才，应用型高级专门人才</p>
129_6592,129,6592,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,<p>培养系统掌握计算机理论与应用，能在科研、教育、企事业、技术和行政管理等单位从事教学、科研、开发和应用工作的计算机高级专门人才。</p>
129_6618,129,6618,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,<p>掌握现代管理理论，具有国际化视野、跨文化管理能力、创新意识、企业家精神，具有实践能力与沟通技能，能够在中小企业和跨国公司从事管理工作，或者能够进行理论研究和教学工作的应用型复合型专业人才。</p>
129_6624,129,6624,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>培养适应现代市场经济需要，具备会计学、经济、管理、法律等方面的知识和能力，能够从事会计实务以及教学、科研、管理工作的应用型、复合型人才。</p>
129_6625,129,6625,农林经济管理,四年,管理学学士,本科(普通),管理学,农业经济管理类,<p>具备系统的管理科学和经济科学的基础理论和相关的农业科学基础知识，具有农业经济管理的基本方法、技能，能在各类企业、教育科研单位和各级政府部门从事农业管理方面工作的应用型高级专门管理人才。</p>
129_6626,129,6626,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>培养在出版、文化、教育、旅游、经贸等领域从事翻译、研究、教学、管理工作的英语专门人才。</p>
129_6628,129,6628,俄语,四年,文学学士,本科(普通),文学,外国语言文学类,    培养目标：培养具有俄语语言基础知识、广博的科学文化知识及较强的英语二外运用能力和其它专业知识，能够在外事、教育、经贸、科技、军事、研究、管理等部门从事翻译、教学、管理、研究等工作的复合型俄语人才。 <br>　　培养要求：主要学习俄语语言基础知识及具有熟练的俄语听、说、读、写、译能力，对独联体国家的社会、经济、文化、国情等各方面有较广泛的了解，较熟练地掌握一门第二外语，攻读第二学位（自选）或辅修专业（自选），掌握一定的科研方法，每学年选派学生到俄罗斯留学一年。 <br>　　主要课程：基础俄语、高级俄语、俄语听说、俄语口语、俄罗斯文学、报刊选读、俄罗斯概况、翻译、写作、计算机、第二外语。 <br>　　就业前景：在高等院校、政府、企业、安全、部队等部门工作。 <br>　　修业年限：四年 授予学位：文学学士 <br>
129_6629,129,6629,日语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>培养全面、系统地掌握日语专业知识和人文知识，具有熟练的日语运用能力，能够从事科研、政府机关以及涉外企业等领域工作的应用型日语专门人才。</p>
129_6635,129,6635,生物技术,四年,理学学士,本科(普通),理学,生物科学类,<p>培养系统掌握现代生物技术基础理论和基本实验技能，并能运用所掌握的理论知识和技能在教学、科研、生物技术产业及其相关领域从事应用研究、技术开发、人才培养及管理等方面工作的复合型人才。</p>
129_6615,129,6615,中医学,五年,医学学士,本科(普通),医学,中医学类,<p>系统掌握中医药基本理论、基本知识、基本技能，具有一定的现代医学和朝医学基本知识，能从事中医学临床、教学、科研等方面工作的应用型中医学专门人才。</p>
129_6614,129,6614,口腔医学,五年,医学学士,本科(普通),医学,口腔医学类,<p>具备医学基础理论和临床医学知识，掌握口腔医学基本理论和临床操作技能，能在医疗卫生机构从事口腔常见病、多发病的诊治和预防工作的口腔医学应用型专门人才。</p>
129_6594,129,6594,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>培养掌握深厚的基础理论知识和土木工程专业知识，具备房屋建筑、市政工程、地下建筑等项目的规划、设计、研究、施工、教育、管理、投资、开发部门从事技术或管理工作的能力，并获得工程师基本训练的应用型、复合型的高级土木工程技术和管理人才。</p>
129_6599,129,6599,食品科学与工程,四年,工学学士,本科(普通),工学,食品科学与工程类,<p>具备化学、生物学、食品科学与工程的基本理论和技能，能在食品生产、加工、等领域，从事食品生产技术管理、科学研究、市场营销及教育教学等方面工作的应用型人才。</p>
129_6602,129,6602,农学,四年,农学学士,本科(普通),农学,植物生产类,<p>具备坚实的生物科学、作物生产、作物遗传育种及种子生产与经营管理等方面知识与技能，能在与农学有关的教学、科研、技术设计、推广开发、经营管理等部门工作的复合型高级专门人才。</p>
129_6605,129,6605,园艺,四年,农学学士,本科(普通),农学,植物生产类,<p>具备生物学和园艺学知识和技能，能在农业、商贸、园林管理等部门从事与园艺有关的教学与科研、技术设计、推广开发、经营与管理等工作的复合型人才。</p>
129_6610,129,6610,动物医学,五年,农学学士,本科(普通),农学,动物医学类,<p>具有系统而深入的专业知识、具有较为宽广的自然科学和人文科学知识，具有在兽医医疗、兽医教育与科研及相关部门从事动物医疗、技术服务等工作能力的专业人才。</p>
129_6611,129,6611,临床医学,五年,医学学士,本科(普通),医学,临床医学类,<p>培养适应医药卫生事业发展需要，能在各级卫生保健机构在上级医师的指导监督下，从事安全有效的医疗实践的应用型人才。</p>
