special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
65_1998782,65,1998782,社会体育指导与管理,四年,教育学学士,本科(普通),教育学,体育学类,社会体育指导与管理专业2006年开始招生，专业设立初期以培养社区体育管理人才为主，十三五期间对接山东新旧动能转换十强产业“医养健康”和德州体育制造与装备业，形成了体育产业与营销、健身指导与管理两个培养方向，为社会培养了近500名优秀毕业生，为德州市培养社会体育指导员1000余人。</br></br>以“大体育”、“大健康”为导向，深化人才培养改革，获批建设了“中国围棋协会师资培养基地”、“山东省体育行业国家职业资格培训基地”、“山东省体育职业能力研究与实践基地”、“教育部“1+X”职业技能营养师培训试点单位”等，开展了健身教练、武术、羽毛球、营养师等项目的国家职业资格培训。</br></br>2020年与泰山体育集团共建泰山体育产业学院，跨学科、跨专业组建泰山体育产业班，积极探索高校现代产业学院人才培养新模式，适应体育事业与体育产业对应用型人才的需求，全面推进深造率和高质量就业率并重的现代应用教育体系建设，着眼于培养学历和技能并重的适应能力强的创新性、应用型人才。</br></br>积极推行本科生“导师制”， 强化“双师型”教师队伍建设，依托实践教学平台，探索以社会实践、志愿服务项目带动实践教学的模式，培养学生的创新能力和实务能力，2020届毕业生考研率达到33.33%；健身教练、教师资格等资格证书拥有率达到100%。</br></br>社会体育指导与管理专业已成为“深造率高”、“就业技能强”、“发展潜力大”的应用型人才培养的摇篮。
65_2292,65,2292,服装与服饰设计,四年,艺术学学士,本科(普通),艺术学,设计学类,"<P>　　服装与服饰设计(表演方向)(本科 学制四年 艺术学学士 文理兼招)</P>
<P>　　培养目标：根据社会经济发展需求，坚持育人为本，着力培养和提升学生艺术创新精神和实践能力，良好的科学素养，培养具备在服装表演、服装艺术设计、形象设计、音乐表演及营销理论研究等方面的知识和能力，毕业后能够从事时装模特、时装表演的组织与编导、音乐表演、服装设计、市场营销、服装理论研究及宣传评论等领域工作的高等服装专业复合型应用型人才。</P>
<P>　　主要课程：服装表演、形体训练、舞蹈基础、服装设计、服饰色彩与图案、音乐基础、服装结构、服装缝制工艺、服装市场营销等。</P>
<P>　　主要实践性教学环节：表演实践、音乐编导实践、排练与实践、时装摄影、形象设计、市场调研、毕业实习、汇报演出、毕业设计(论文)。</P>
"
65_2270,65,2270,材料化学,四年,工学学士,本科(普通),工学,材料类,"<P>　　材料化学(含高分子材料方向)(本科 学制四年 理学学士)</P>
<P>　　材料、信息、能源被称为现代文明的三大支柱。材料是国民经济的基础，材料化学是长盛不衰的产业，是就业率最高的十大专业之一。</P>
<P>　　材料化学专业设有材料化学和高分子材料两个方向，旨在培养 “厚基础、强实践、求创新、高素养、重责任”的专业人才，能在传统领域(石油、化工、能源、信息、医学、电子、汽车、航空等)、新型无机非金属材料、高分子材料、材料科学与化学及其相关领域进行材料的合成改性、新材料和功能材料的技术开发与制造、材料的性能测试及生产管理的创新性、应用型人才。</P>
<P>　　近年来该专业40%左右的毕业生考取“211”、“985”等重点大学的研究生，由于具有较突出的综合素养和宽泛的择业面，毕业生一次性就业率高达98.5%。</P>"
65_2268,65,2268,环境工程,四年,工学学士,本科(普通),工学,环境科学与工程类,"<P>　　环境工程(含环境监测与质量评价方向)(本科 学制四年 工学学士)</P>
<P>　　环境工程专业是德州学院重点专业之一，该专业包括环境工程和环境监测与质量评价两个方向。</P>
<P>　　通过专业的系统训练后，可获得工业及生活用水、气体、固体、液体废物等环境污染综合防治、自然资源和生态环境保护、环境规划与管理、环境污染监测与质量评价等专业知识，能在政府、经管、环保、设计等部门及工矿企业、科研院所、学校等单位从事环境规划、设计、监测、评价、管理、研发和教育培训等方面的工作。</P>
<P>　　环境工程专业是德州学院综合改革试点专业，其专业优势主要体现在高考研率和高就业率两个方面，历届毕业生考研录取率平均为50%左右、一次性就业率达98%以上，成为我校社会影响力较大的品牌专业之一。</P>
"
65_2267,65,2267,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,"
<P>　　机械设计制造及其自动化(本科 学制四年 工学学士)</P>
<P>　　机械设计制造及其自动化专业是德州学院品牌专业、特色专业及热门专业，是以培养现代机械工程师为目的的专业，也是我国高校开设最久、硕士点博士点设置最多、硕士研究生录取人数最多的专业之一，该专业每年的硕士研究生录取率均在30%以上。</P>
<P>　　随着我国由制造业大国向制造业强国的快速转化，机械设计制造及其自动化专业具有非常好的就业前景和发展潜力，该专业是我国目前就业领域最多、就业面最广、就业率最高的专业之一，该专业每年的一次性就业率均为100%。</P>
<P>　　本专业培养具备机械设计、制造、自动化基础知识与应用能力，能在工业生产和教学第一线从事机械工程及自动化领域内的设计制造、科技开发、应用研究、运行管理和经营销售等方面工作的高级技术人才。主要从事：生产总监(生产主管)、物流管理、设备管理、质量管理、项目管理、机电产品开发、机械产品开发、液压产品开发、仪器仪表开发、环保设备开发、矿业设备设计、模具设计制造、机械制造工艺师、CNC工程师等工作。还可以从事教学和相关的研究工作。</P>
"
65_2263,65,2263,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,"<P>　　工商管理(本科 学制四年 管理学学士 文理兼招)</P>
<P>　　本专业始建于2001年，是校级重点专业，现有在校学生538人。依托本专业构建的创业教育创新实验区为山东省“十二五”人才培养模式创新实验区。本专业教学以创业教育和创业企业管理为特色方向，在扎实管理学、经济学基本理论知识基础上，致力于学生创新素质开发、创业知识传授、创业能力训练和以就业为导向的科技文化竞赛四项核心教学工作。近三年，学生平均每年取得省级以上创业比赛奖励30余项，100多人次。</P>
<P>　　本专业的主要课程包括：经济学、管理学、会计学、生产运作管理、市场营销学、物流管理、管理信息系统、组织行为学等。本专业的主要实践教学环节包括：ERP企业管理综合实训、全国大学生“挑战杯”创业计划大赛、全国大学生电子商务“创新、创意及创业”挑战赛等。</P>
"
65_2261,65,2261,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,"<P>　　新闻学(本科 学制四年 文学学士 文理兼招)</P>
<P>　　培养目标：本专业培养具备系统的新闻理论知识和技能、宽广的文化科学知识，熟悉新闻、宣传政策法规和规律，能在报纸、杂志、电视、网络等平面媒体和电子媒体从事出版、编辑、记者、节目主持人等工作的新闻学高级专门人才;能够在机关、企事业单位担任宣传、文秘、广告等方面实际工作的应用型人才。</P>
<P>　　主要课程：新闻学概论、中外新闻事业史、马列新闻论著选读、新闻采访与写作、新闻编辑学、新闻评论学、传播学、新闻摄影与摄像、广播电视学、广告学、社交礼仪等。</P>
"
65_2260,65,2260,法学,四年,法学学士,本科(普通),法学,法学类,"<P>　　法学(本科 学制四年 法学学士 文理兼招)</P>
<P>　　校级重点建设专业。专任教师26人，其中教授5人，副教授11人，博士5人，硕士16人，有省级教学名师1人，律师10人，获德州市优秀律师称号2人，结构合理，素质优良。</P>
<P>　　该专业培养系统掌握法学、哲学、政治学、管理学等多学科理论知识、熟悉我国法律和党的相关政策，能在行政机关、企事业单位、社会团体和学校从事领导、管理、教学等工作的高级专门人才，重点培养能在立法机关、法院、检察院、司法局、仲裁机构和法律事务所等机构从事法律工作的法官、检察官、律师等高级专门人才。</P>
<P>　　近三年来，本专业学生获得省部级以上大学生竞赛奖励12项，应届本科毕业生考研率分别为37.34%、15.00%、15.84%;司法考试过关率37.6%、35.2%、30.5%;公务员、事业编、选调生考取率分别为21.6%、19.1%、21.5%。</P>
"
65_2271,65,2271,小学教育,四年,教育学学士,本科(普通),教育学,教育学类,"<P>　　小学教育(师范类 本科 学制四年 教育学学士 文理兼招)</P>
<P>　　小学教育专业创办于2008年，教学设备先进齐全，有心理测量室、画室、琴房、舞蹈房、器乐房、声乐房等教学实验室和技能训练室。建有德州市北园小学、德州市实验小学等校外教学实践基地。师资力量雄厚，专业教师23名，教授3人，其中，外聘华东师范大学陆有铨、南京师范大学杨启亮著名教育学专家为兼职教授，副教授11人，博士1人，硕士16人，山东省技术拔尖人才1名。主要开设专业理论课程有心理学、教育概论、小学生心理学、小学生教育学、小学语文课程与教学论、小学数学课程与教学论等;主要开设专业技能课程有音乐、舞蹈、书法、美术、琴法、声乐等。经过近三年的探索与实践，教育成效显著，学生综合素养取得了较大的提升，为将来能够胜任小学教育工作奠定了极好的基础。</P>
"
65_2285,65,2285,非织造材料与工程,四年,工学学士,本科(普通),工学,纺织类,"<P>　　非织造材料与工程(本科 学制四年 工学学士)</P>
<P>　　本专业主要培养适应经济社会发展需要，具备扎实的学科理论基础，掌握非织造材料与工程专业知识，具有创新意识和较强实践能力，能够在非织造行业及其相关领域从事技术开发、生产及经营管理、质量控制、检测与贸易和科学研究等方面工作的高素质非织造材料与工程专业应用型人才。</P>
<P>　　主要课程：英语、高等数学、计算机技术基础、机械设计基础、电工电子技术、纺织材料学、高分子物理与化学、高分子材料与纺丝技术、非织造学、非织造布后整理、非织造材料性能测试等。</P>
<P>　　实验实习教学活动：纺织材料学实验、产品设计、产品检测、工艺上机、专业实习、毕业实习、毕业论文(设计)等。</P>
"
