special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
74_2800,74,2800,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,<p>本专业培养立足新疆，面向西部，服务于区域经济建设和大化工行业发展，培养具有良好的安全、健康、环境意识，良好的职业道德和社会责任感，掌握化工生产工艺过程和设备的基本规律和原理，在煤化工、氯碱化工、化工新材料领域具有竞争优势的专业人才。</p>
74_2867,74,2867,给排水科学与工程,四年,工学学士,本科(普通),工学,土木类,<p>本专业培养适应社会主义现代化建设和现代科学技术发展需要，德智体全面发展，主要培养掌握给排水科学与工程的基本理论和基本知识，通过对学生工程设计、科学研究及施工管理等方面的基本训练，使学生具备给排水科学与工程的勘测、规划、设计、施工、管理等基本技能，并结合地域特点培养学生在供热工程方面的基本能力。</p>
74_2832,74,2832,法学,四年,法学学士,本科(普通),法学,法学类,<p>本专业按照厚基础、多样化、高素质、强应用、重创新、国际性的法律人才培养模式，培养具有扎实的法学基本理论和基础知识，具有学习和一定研究能力，较强法学实践能力，富有正义感和法律职业良知的应用型、复合型法治人才和少数民族双语法律人才。同时培养“一带一路”和向西开放战略背景下具有外语交流能力，通晓国际经贸规则的涉外法律服务人才。</p>
74_2781,74,2781,经济学,四年,经济学学士,本科(普通),经济学,经济学类,<p>本专业培养具有扎实的经济学基本理论，掌握现代经济学理论和分析方法，具有运用数量分析方法和现代经济技术手段进行社会经济调查、经济分析与预测以及综合经济管理的能力，能够在政府及各类企事业单位从事经济分析研究的高素质专门人才和拔尖创新人才。</p>
74_2783,74,2783,金融学,四年,经济学学士,本科(普通),经济学,金融学类,<p>本专业培养掌握金融学、经济学、财务管理的基本理论和基本知识，具备从事金融业务操作、公司理财及投融资运营的基本能力，能够在各类金融机构从事金融相关业务，在政府及各类企事业单位从事投融资相关业务的高级复合应用型创新人才。</p>
74_2807,74,2807,俄语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>借力“一带一路”，培养具有扎实的俄语语言基础知识和语言基本技能、熟练的俄语语言运用能力，同时具有较强的第二外语实际应用能力，能够在外事、教育、经贸、文化、旅游、公安等领域从事口笔译、对外汉语教学、经贸洽谈及合资企业管理工作的复语复合型外语人才人才。</p>
74_2798,74,2798,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>本专业按照“厚基础、宽口径”的培养理念，基于“立足兵团、服务新疆、面向全国、辐射中亚”的办学定位，着眼于国家及新疆地方经济社会建设需要，培养熟悉自然科学和人文社会科学的相关理论和方法，掌握土木工程学科的基本原理、基本知识和主要技术，德智体美全面发展，具有扎实的基础理论、宽广的专业知识，较强的实践能力和创新能力，具备工程师基本素养，能够在房屋建筑、道路、桥梁等领域从事勘察、设计、施工、管理与开发等方面工作的土木工程应用型高级专门人才。</p>
74_2818,74,2818,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>电气工程主要是研究电能的产生、传输、转换、控制、储存和利用的学科。本专业隶属于电气类，培养具备电气工程领域相关的基础理论、专业技术和实践能力，能在电气工程领域的装备制造、系统运行、技术开发等部门从事设计、研发、运行等工作的复合型工程科技人才。</p>
74_2785,74,2785,中国少数民族语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>培养精通维吾尔语言，熟知维吾尔民族、文化、历史，了解国家语言政策和民族政策，具有较深厚的汉语言文学、文化功底，能运用汉、维两种语言从事民汉语言文字工作、政府公务和教育工作的“民汉兼通”的双语人才。</p>
74_1032508,74,1032508,资源勘查工程（藏语言文学）,四年,工学学士,本科(普通),工学,地质类,"<p>    培养目标：本专业培养知识、能力、素质各方面全面发展，系统掌握矿产资源勘查方面的基本
理论、基本方法和技能，获得相关的工程训练，能适应21世纪国内外资源勘查工作的需要，在企
业、科研院所等部门中从事金属非金属矿产、能源矿产等资源勘查评价、开发、科学研究及经营管
理等方面工作的应用型、复合型工程技术人才。
</p><p>    培养要求：本专业学生在牢固掌握数学、物理、化学、外语、计算机等基础知识的基础上，系统
学习地质学与矿产资源勘查的基础理论知识，掌握矿产资源勘查和综合评价的基本技能和方法，
接受工程师的基本训练，具有从事矿产地质调查，矿产资源勘查评价、开发利用和管理的能力。
本专业学生在金属非金属、能源等矿产资源勘查评价、开发与管理等方面可有所侧重。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．熟悉党和国家的各项方针和政策，了解中国优秀的传统文化，具有较强的社会服务意识
和责任感，良好的职业道德，遵守学术道德规范和保证职业诚信；
</p><p>    2．掌握从事资源勘查工程领域工作所需的相关数学、物理、化学等自然科学知识和计算机
信息技术的基础知识，掌握地质学的基本理论、技能和工作方法；
</p><p>    3．具有对矿产地质、矿产形成机理和分布规律等进行研究和综合分析的基本能力；
</p><p>    4．掌握与矿产资源有关的基本实验、测试方法和分析技术；
</p><p>    5．具有对地球化学、地球物理、遥感等现代勘查方法的信息采集、处理、成果解释和综合应
用的能力；
</p><p>    6．具有综合运用所学理论和方法，开展矿产资源综合评价和经济分析的基本能力，并具有
从事矿产资源勘查工程的初步设计与工程取样及矿山（油田）地质工作的能力；
</p><p>    7．熟悉本专业领域的方针、政策和法规，具有对矿产资源的合理开发和环境保护的知识和
能力，具有一定的管理知识和能力；
</p><p>    8．具有一定国际视野和较强的交流、竞争和团队合作的能力；
</p><p>    9．具有较强的创新意识和初步的创新能力。
</p><p>    主干学科：地质资源与地质工程。
</p><p>    核心知识领域：地质学基础、矿床地质特征、成矿（藏）理论、成矿（藏）规律、矿石（油气）的
组成和组构鉴定与分析、矿产勘查理论与方法、矿产勘查技术、地学信息采集处理与综合应用等。
</p><p>    核心课程示例：
</p><p>    1．示例一
</p><p>    (1)固体矿产勘查方向：普通地质学（48学时）、测量学（40学时）、结晶学与矿物学(80学
时)、晶体光学及光性矿物学（40学时）、岩石学（80学时）、地层及古生物（40学时）、构造地质学
（64学时）、地球化学（48学时）、矿石学（40学时）、矿田构造学（32学时）、矿床学A（80学时）、
矿产勘查理论与方法A（80学时）、矿产综合勘查技术（56学时）、矿床统计预测（48学时）、矿业
工程概论（56学时）、流体包裹体（32学时）、资源经济学（40学时）、矿床地球化学（32学时）。
</p><p>    (2)石油与天然气勘查方向：普通地质学(48学时)、测量学（40学时）、结晶学与矿物学(80
学时)、晶体光学及光性矿物学（40学时）、岩石学（80学时）、地层及古生物（40学时）、构造地质
学（64学时）、石油及天然气地质学（80学时）、含油气盆地沉积学（64学时）、含油气盆地构造学
（64学时）、油气地球化学（48学时）、地球物理勘探原理（96学时）、油气勘查与评价（48学时）、
油（气学时）层物理学（48学时）、油（气学时）层物理学（48学时）、地震地质综合解释（48学
时）。
</p><p>    (3)煤及煤层气勘查方向：普通地质学（48学时）、测量学（40学时）、结晶学与矿物学(80
学时)、晶体光学及光性矿物学（40学时）、岩石学（80学时）、地层及古生物（40学时）、构造地质
学（64学时）、煤田地质学（40学时）、煤层气地质学（56学时）、煤岩及煤化学基础（48学时）、聚
煤盆地沉积学（48学时）、煤层气渗流力学（48学时）、煤及煤层气地球物理勘探（64学时）、煤与
煤层气资源勘查（48学时）、煤与瓦斯共采（48学时）、煤及煤层气钻井工艺（48学时）、煤层气采
气工程（48学时）。
</p><p>    2．示例二
</p><p>    (1)固体矿产勘查方向：地球科学概论（60学时）、结晶学与矿物学（60学时）、晶体光学及
光性矿物学（48学时）、岩石学AI（44学时）、岩石学AⅡ（42学时）、岩石学AⅢ（42学时）、古
生物学与地层学（64学时）、构造地质学（64学时）、矿相学（40学时）、勘查地球物理（48学时）、
勘查地球化学（32学时）、遥感地质学（32学时）、矿床学（72学时）、矿产勘查学（72学时）。
</p><p>    (2)石油与天然气勘查方向：地球科学概论（60学时）、结晶学与矿物学B（60学时）、晶体
光学及光性矿物学（48学时）、岩石学AI（44学时）、岩石学AⅡ（42学时）、岩石学AⅢ（42学
时）、古生物学与地层学（96学时）、构造地质学（64学时）、石油地质学（48学时）、勘探地球物理
（60学时）、油层物理学（32学时）、油气盆地地质学（英语学时）（48学时）、油气田地下地质学
（48学时）、油气田勘探开发方法（32学时）、石油构造分析（32学时）。
</p><p>    3．示例三
</p><p>    (1)固体矿产勘查方向：普通地质学（40学时）、工程测量（32学时）、结晶学与矿物学(72
学时)、晶体光学与岩浆岩石学（80学时）、变质岩石学（40学时）、沉积岩石学（含岩相古地理）
（48学时）、地层古生物学（含地史学）（64学时）、构造地质学（72学时）、矿石学与矿相学（48学
时）、地球化学（40学时）、矿床学（80学时）、矿产勘查技术与方法I（72学时）、矿产勘查技术与
方法Ⅱ（128学时）、成矿规律与成矿预测（40学时）、矿产资源经济学（32学时）、工程技术概论
（32学时）。
</p><p>    (2)石油与天然气勘查方向：普通地质学（48学时）、古生物地层学（40学时）、矿物学(40
学时)、晶体光学及结晶岩石学（72学时）、沉积岩石学及岩相古地理（64学时）、岩相古地理(32
学时)、构造地质学（72学时）、板块构造与沉积盆地分析（40学时）、石油地球物理测井原理(48
学时)、地震勘探原理（56学时）、石油与天然气地质学（72学时）、油层物理学（56学时）、油气田
地下地质学（56学时）、地震地下地质学（56学时）、油气田开发基础（56学时）。
</p><p>    主要实践性教学环节：地质认识实习、地质教学实习、专业教学实习与课程设计、生产实习、
毕业设计（论文）。
</p><p>    主要专业实验：矿物、岩石、化石等鉴定实验，矿石鉴定与可开发性分析与评价，地质、地球物
理、地球化学、遥感信息的综合分析与解释，找矿信息挖掘与定量评价，勘查工程的初步设计与工
程取样等。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士。
</p>"
