special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
106_4811,106,4811,包装工程,四年,工学学士,本科(普通),工学,轻工类,专业代码：081702</br>专业介绍：</br>培养目标：</br>本专业适应包装工业科技创新和高质量发展需求，围绕粤港澳大湾区建设和“一带一路”倡议，培养基础理论扎实、专业知识宽厚、实践能力突出，德智体美劳全面发展，具有综合创新能力和国际视野、弘扬“忠信笃敬、知行合一、自强不息、和而不同”暨南精神的包装行业科技和管理高素质人才。</br>A1.具备包装工程基础及专业知识，具有发现、分析和创新性地解决复杂工程问题的能力，具有整体包装系统解决方案的能力，能够适应国家包装及相关行业的建设需要；</br>A2.具有良好的职业素养，有创新精神和批判思维，有沟通及组织协调能力，具备环境、社会可持续发展意识，能在行业中有效发挥作用；</br>A3.具备自主学习、终生学习的能力，主动面向包装领域的科技、经济和社会需求，在包装及相关行业、技术和管理等方面发挥引领和骨干作用；</br>A4.秉持“忠信笃敬”的校训，有全球视野。</br>培养规格：包装工程专业学制为四年，总学分160分。本专业培养的毕业生要系统掌握包装工程基础理论和专业知识，具备运用现代信息技术获取相关信息的能力；能够综合运用基础理论和技术手段，分析并解决包装工程领域的复杂问题；具备较好的语言表达和终身学习能力；具有团队精神和协作管理能力；具有一定国际视野和跨文化交流能力。</br>课程体系：</br>包装工程课程体系包括数理化等基础课程、工程基础课程和专业课程。除专业核心课程模块外，课程体系中设置了大量专业选修课程模块，包括智能包装与物流、食品包装两个方向课程模块。</br>核心课程包括包装材料学、包装工艺与机械、运输包装、运输包装课程设计、包装结构设计、包装结构设计课程设计、包装装潢与造型设计、包装装潢与造型设计课程设计、包装印刷、包装印刷课程设计、包装工程项目管理等，实践学时占总学时的27.55%。</br>授予学位：工学学士</br>修读年限：四年
106_4834,106,4834,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,专业代码：080601</br>培养目标：具备解决电气工程及相关领域的实际工程问题的能力。自觉遵守职业道德与工程伦理，在工程实践中将公众安全、健康、合法权益放在首位，并考虑环境保护与可持续发展。能与国内外同行、客户和公众有效沟通，能够适应在不同的文化背景及多学科团队中工作，具有电气工程领域相关的技术管理能力。主动适应不断变化的国内外形势，养成终身学习的习惯，能够根据自身的特点和技术的进步，修订职业发展规划，拓展和提高职业竞争力。</br>培养规格：本专业设置4年制、 要求总学分160、总学时3501。本专业学生毕业时应该从知识，能力和素养三个方面达到以下要求：工程知识：具有运用数学、科学及工程知识的能力。问题分析能力：通过文献检索与阅读研究，利用数学、自然科学和工程科学的知识表达与分析复杂工程问题。设计/开发解决方案：设计针对自动化领域复杂工程问题的解决方案，并能够在设计环节中体现创新意识，考虑社会、健康、安全、法律、文化以及环境等因素。研究能力：能够基于科学原理并采用科学方法对自动化和能源电力领域复杂工程问题进行研究，包括设计实验、分析与解释数据、并通过信息综合得到合理有效的结论。使用现代工具：具有执行自动化实务和能源电力应用所需要的技术、技巧及使用现代工具的能力。工程与社会：能够基于工程相关背景知识进行合理分析，评价专业工程实践和复杂工程问题解决方案对社会、健康、安全、法律以及文化的影响，并理解应承担的责任。环境和可持续发展：能够理解和评价针对自动化领域复杂工程问题的专业工程实践对环境、社会可持续发展的影响。职业规范：具有良好的职业道德，认知社会责任及尊重多元观点。个人和团队：能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色。沟通能力：能够就自动化及能源电力领域的复杂工程问题与业界同行及社会公众进行有效沟通和交流，并具备一定的国际视野，能够在跨文化背景下进行沟通和交流。项目管理能力：理解并掌握自动化管理原理与经济决策方法，并能在多学科环境中应用。终身学习能力：具有自主学习和终身学习的意识，有不断学习和适应发展的能力。</br>课程体系：本专业课程体系设有通识教育课程、基础教育课程、专业基础课程三大类理论教学环节和实践教学环节。为加强学生创新意识和动手能力的培养，课外教学的学分要求学生通过参加学术活动、课外科技活动、社团活动和各类文体活动等来完成。本专业总学分要求修满160.0学分、必修学分要求修满111.0学分方可毕业。本专业课程体系包括以下核心专业基础课程：电路分析，模拟电子技术，数字电子技术，信号与系统，电机学，电力电子技术，电力系统分析。本专业课程体系包括以下实践教学环节：基础课程实验，专业课程实验，课程设计，认识实习，金工实习，生产实习，毕业实习和毕业设计等，本专业实践学时达到总学时的37 %以上。本专业课程体系还包括以下特点：在通识、基础、专业教育课程的选修部分分别设置创新创业类知识群。在基础教育选修中针对低年级开设新生学科研讨会。专业教育选修中针对学科和行业设置本专业领域的创新创业课程。必修课学分比例69.4%。基础教育选修、专业教育选修总学分占比19.4%。通识教育选修、自由选修（包括跨专业选修）总学分占比11.3%。</br>授予学位：工学学士</br>修读年限：四年
106_4833,106,4833,自动化,四年,工学学士,本科(普通),工学,自动化类,"专业代码：080801</br>培养目标：本专业面向能源转型及其智能化利用发展，培养学生具备自动控制、人工智能等信息科学领域的基本素养，掌握信息科学与控制领域的专业基础知识及其在新能源工程和电气工程等领域的应用技能，构建大工程、大系统观念和培养扎实的工程实践能力，为国家和社会培育从事科学研究、工程设计、系统运行、产品技术开发与测试、项目运营管理等的技术人才、跨学科的复合型人才和社会责任及国际胜任的领军人才。</br>培养规格：本专业要求：总学分修满160学分，其中必修学分106，基础教育选修学分16.0，专业教育选修学分20.0，通识教育选修学分12.0，剩余6.0学分为学生任意选修学分。通过全国英语四级考试，通过《国家学生体质健康标准》测试，方可获得毕业证和学位证。毕业要求1工程知识：能够将数学、自然科学、工程基础和专业知识用于解决自动化工程领域复杂工程问题。1.1能将数学、物理等自然科学和工程科学的图形、符号等语言工具用于自动化工程问题的恰当表述。1.2能够对自动化工程问题中的环节、元件建立数学模型并求解。1.3能够将数学模型和自动化专业知识用于推演，分析自动化工程问题，并寻求解决方案。1.4能够应用专业知识和恰当数学模型对自动化领域复杂工程问题解决方案进行比较和综合。毕业要求2 问题分析：能够应用数学、自然科学和工程科学的基本原理，识别、表达、并通过文献研究分析自动化领域复杂工程问题，以获得有效结论。2.1 能够应用数学，自然科学和工程科学的基本原理，识别和判断自动化领域复杂工程问题的关键环节。2.2能够基于相关科学原理和数学模型方法正确表达自动化领域复杂工程问题。2.3能够认识到问题有多种解决方案，能够通过文献研究寻求可替代的解决方案，并能正确表达。2.4能够运用自动化领域基本原理，借助文献研究，分析自动化领域复杂工程问题的影响因素，论证解决方案的合理性，获得有效结论。毕业要求3 设计/开发解决方案：能够设计针对自动化工程领域复杂工程问题的解决方案，设计满足特定需求的系统、单元（部件）或工艺流程，并能够在设计环节中体现创新意识，考虑社会、健康、安全、法律、文化及环境等因素。3.1 掌握自动化工程设计和产品开发全周期、全流程的基本设计方法和技术，了解影响设计目标和技术方案的各种因素。3.2 能够针对自动化复杂工程问题解决方案的特定需求设计相应的单元、系统，并在设计中体现创新意识。3.3 能够在设计中考虑安全、健康、法律、文化及环境等制约因素，对设计进行优化和改进。毕业要求4 研究：能够基于科学原理并采用科学方法对自动化领域复杂工程问题进行研究，包括设计实验、分析与解释数据、并通过信息综合得到合理有效的结论。4.1 能够基于科学原理，通过文献研究或相关方法，对自动化复杂工程问题的解决方案进行调研，并设计符合对象特性的实验方案。 4.2 能够根据实验方案构建实验系统或仿真系统，安全地开展实验，正确地采集实验数据。4.3 能够分析和解释实验结果，并通过信息综合得到合理有效的结论。毕业要求5 使用现代工具：能够针对复杂自动化工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括对复杂工程问题的预测与模拟，并能够理解其局限性。5.1 了解自动化工程专业常用的现代仪器，信息技术工具，仿真软件的使用原理和方法，并理解其局限性。能够选择和正确使用恰当的计算机技术、信息资源和专业仿真软件，对自动化复杂工程问题进行分析，计算与设计。5.2 能够针对具体对象，开发或选用满足特定需求的现代工具，对自动化复杂工程问题进行模拟和仿真，并能够分析其局限性。毕业要求6 工程与社会：能够基于自动化工程相关背景知识进行合理分析，评价自动化专业工程实践和复杂工程问题解决方案对社会、健康、安全、法律以及文化的影响，并理解应承担的责任。6.1 了解自动化领域相关的技术标准体系，知识产权、产业政策和法律法规，理解不同社会文化对工程活动的影响。6.2能够分析和评价自动化工程实践和复杂工程问题解决方案的实施对社会、健康、安全、法律以及文化的影响，以及这些制约因素对项目实施的影响，并理解应承担的责任。毕业要求7 环境和可持续发展：能够理解和评价针对自动化工程领域复杂工程问题的工程实践对环境、社会可持续发展的影响。7.1 树立科学发展观，理解国家环境保护相关政策和社会可持续发展的重要性。7.2 能够站在环境保护和可持续发展的角度思考自动化领域工程实践的可持续性，评价解决自动化领域复杂工程问题的方案实施和工程实践可能对人类和环境造成的损害和隐患。毕业要求8 职业规范：具有人文社会科学素养、社会责任感，能够在工程实践中理解并遵守工程职业道德和规范，履行责任。8.1 有正确的价值观，理解个人与社会的关系，了解中国国情。8.2 理解工程师对公众的安全、健康和福祉，以及环境保护的社会责任，能够在工程实践中自觉履行责任。8.3 理解诚实公正、诚信守则的工程职业道德与规范，并在工程实践中自觉遵守职业道德规范。毕业要求9 个人和团队：能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色。9.1 能够主动与其他学科的成员有效沟通，共享信息，合作共事。9.2 能够组织、协调和指挥团队开展工作，能够独立或合作开展工作，胜任团队成员和团队负责人的角色。毕业要求10 沟通：能够就自动化工程领域复杂工程问题与业界同行及社会公众进行有效沟通和交流，包括撰写报告和设计文稿，陈述发言、清晰表达或回应指令，并具备一定的国际视野，能够在跨文化背景下进行沟通和交流。10.1 能够就自动化领域复杂工程问题，以口头、文稿、图表等方式，准确表达自己的观点，能够与业界同行和社会公众进行准确有效沟通和交流。10.2了解自动化工程领域的国际发展趋势和研究热点，理解和尊重世界不同文化的差异和多样性，能够就专业问题在跨文化背景下进行基本沟通和交流。毕业要求11 项目管理：理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用。11.1 理解并掌握自动化工程管理原理与经济决策方法,并能在多学科环境中应用。毕业要求12 终身学习：具有自主学习和终身学习的意识，有不断学习和适应发展的能力。12.1 了解社会和科学技术的快速发展趋势，能够认识自主学习和终身学习的必要性。12.2 具有自主学习的能力，掌握拓展知识和提高能力的途径和方法，包括对技术问题的理解能力，归纳总结能力和提出问题的能力等。</br>课程体系：本专业围绕为社会主义事业建设培养合格的自动化及人工智能工程领域从事科学研究、工程设计、系统运行、产品技术开发与测试、项目运营管理等工作的高素质工程技术人才这一目标；结合自动化及控制科学学科由经典控制理论向最优化控制理论，再向智能化控制科学的发展趋势，设计自动化与控制科学的理论与实践相结合的专业课程体系和培养模式，并在理论课程和实践课程中夯实从自动化学科理论到实践的中间环节。专业主干课程包括：电路分析，信号与系统，自动控制原理、现代控制理论，人工智能及应用、工业过程控制、计算机控制基础。其中，电路分析是能源电力行业特色专业基础课程；自动控制原理、现代控制理论和人工智能及应用，体现了自动化与控制学科的发展趋势，课程设计紧跟时代和科学发展的客观规律；信号与系统是构建自动控制和数字信息系统的基础课程；工业过程控制是自动化学科由理论联系实际的重要中间理论环节；计算机控制基础是数字化、芯片化实现数字控制策略的重要理论指导课程。以上专业主干课程构成了自动化与控制科学学科的基础知识体系，体现自动化科学的发展和应用趋势，注重理论和实践的紧密结合，体现能源电力的行业特色，为自动化学科及其在能源电力中的应用培养专业人才。专业主干课程：电路分析，模拟电子技术，数字电子技术，信号与系统，现代控制理论，工业过程控制，检测技术，计算机控制系统主要实践环节：基础课程实验，专业课程实验，课程设计，认识实习，金工实习，生产实习，毕业实习和毕业设计等，实践学时达到总学时的34%以上。</br>授予学位：工学学士</br>修读年限：四年"
106_4822,106,4822,法学,四年,法学学士,本科(普通),法学,法学类,专业代码：030101K</br>专业介绍：</br>培养目标：坚持立德树人、德法兼修，充分发挥综合性院校学科多元的优势，培养德才兼备，具备必要的经济管理知识、系统的法学理论、扎实的法律专业知识和法律思维能力，具有国际视野、创新能力、法律职业能力和较好的人文素养、职业素养，熟悉和坚持中国特色社会主义法治体系，适合从事执政、立法、监察、司法、行政执法以及法律服务等法律工作或相关工作，或者从事理论研究的专门人才。培养笃信“一国两制”和传播中华法治文化的融合型涉外法治人才，实现港澳台三地融入国家发展大局的战略目标，促进中华法治文化“走出去”。</br>培养规格：学制4年，总学分160学分，其中必修学分110分，基础教育选修学分10分，专业教育选修学分21分，通识教育选修学分14分，任意选修学分5分。知识要求：具备必要的经济学及管理学知识，系统掌握法学的基本理论和专业知识，并谙熟法学各学科基础知识（特别是国际法及港澳台法律制度）和法学的基本分析方法、技术和思维方式。了解法学发展的历史、前沿及趋势，对我国法律制度及相关政策走向，有清晰的认知和判断能力要求：能够熟练进行一般法律的文献检索，具有较强的计算机应用及外语能力，掌握法学基本理论、法律专业知识，掌握法学的基本分析方法和技术等基本研究方法，具有一定的科学研究能力和较强实际工作能力。熟悉法律实务，具备必要的法学理论知识，能够在社会上用专业知识解决各种法律问题。素质要求：了解中华文化和中国国情，具有忠于法律、忠于职守，维护公平正义的职业道德及素养。</br>课程体系：法学专业的专业主干课程包括：习近平法治思想概论、法律职业伦理、法理学、宪法、中国法律史、刑法、民法学、民事诉讼法、刑事诉讼法、行政法与行政诉讼法、知识产权法、国际法、商法、国际经济法、国际私法、经济法。本专业实践教学包括毕业实习以及案例分析与实训知识群、私法知识和创新创业知识群所提供的实践教学环节。</br>授予学位：法学学士</br>修读年限：四年
106_4823,106,4823,知识产权,四年,法学学士,本科(普通),法学,法学类,专业代码：030102T</br>专业介绍：</br>培养目标：坚持立德树人、德法兼修，充分发挥侨校学科多元化的综合优势，培养德、智、体、美、劳全面发展，具备必要的经济学及管理学知识、扎实的法学理论功底及系统的知识产权专业知识，特别是具有国际视野、通晓国际与港澳台法律规则，能够参与国（区）际知识产权事务和维护国家利益，兼具良好的人文素养、职业道德及较强的知识产权实践能力，能够胜任国际组织、国家机关、企事业单位、律师事务所及专业知识产权服务机构的知识产权管理、运用与保护工作，或者有志于知识产权理论研究，服务国家“一国两制”大局、服务粤港澳融合大局和服务中华优秀法治文化“走出去”大局的专门知识产权人才。</br>培养规格：学制4年，总学分160学分，其中必修学分104分，基础教育选修学分18分，专业教育选修学分18分，通识教育选修学分14分，任意选修学分6分。知识要求：具备必要的经济学及管理学知识，系统掌握知识产权法的基本理论和专业知识，并谙熟法学各学科基础知识（特别是国际法及港澳台法律制度）和法学的基本分析方法、技术和思维方式。了解知识产权法发展的历史、前沿及趋势，对我国知识产权法律制度及相关政策走向，有清晰的认知和判断。能力要求：能够熟练进行专利、商标检索及一般法律文献检索，具有较强的计算机应用及外语能力，掌握社会调查、数据分析、法律经济分析等基本研究方法，具有一定的科学研究能力和较强实际工作能力。熟悉商标、专利代理实务，具备必要的经济管理知识，能够为企业进行知识产权战略设计，以及日常知识产权管理工作。素质要求：了解中华文化和中国国情，具有忠于法律、忠于职守，维护公平正义的职业道德及素养。</br>课程体系：知识产权专业的主干学科为法学。专业主干课程包括：习近平法治思想概论、法理学、宪法、刑法、民法总论、民事诉讼法、行政法与行政诉讼法、知识产权法总论、著作权法、专利法、商标法、公平竞争法、知识产权管理、知识产权文献检索与应用。本专业实践教学包括毕业实习以及法律实务知识群、知识产权实务知识群所提供的实践教学环节。</br>授予学位：法学学士</br>修读年限：四年
106_4890,106,4890,翻译,四年,文学学士,本科(普通),文学,外国语言文学类,<p>我院翻译专业的特色主要表现在“实践化教学”和“国际化办学”两个方面。</p><p></p><p>实践化教学</p><p></p><p>翻译是一门实践性极强的学科。为提高学生的翻译实践能力，学院兴建了翻译实验室、翻译中心、外语实践中心、英语晨星报等校内实践教学平台，并开设“每月一题翻译之星”评比专栏，每年承办“暨南大学翻译竞赛”，鼓励学生参加各类学科竞赛，如“韩素音青年翻译奖竞赛”、“《英语世界》杯”翻译大赛、“全国口译大赛”和“外研社杯”全国大学生英语辩论赛等。另外，还与环球网、珠海市电视台、珠海航展有限公司、珠海市进出口商会、深圳诺贝笔翻译公司和华为翻译中心、北京外语教学与研究出版社、上海文化贸易语言服务基地、福州译国译民翻译有限公司等企事业单位共建近二十个校外实习基地。学院还颁布了《暨南大学翻译学院关于本院学生参加翻译实践活动的规定》（2012），鼓励和督促学生积极参加翻译实践活动。</p><p></p><p>国际化办学</p><p></p><p>暨南大学与美国、日本、丹麦、法国、俄罗斯、韩国等国家及港澳台地区共近40所大学签订了交换生协议，互免学费，每年都有众多学生作为交换生到国外学习半年或一年。为了促进人才培养模式的国际化，学院成立了院级国际交流合作委员会，多途径开拓合作办学渠道，与美国威斯康辛大学、澳大利亚西悉尼大学等国外知名高校开展课程共建、教师互访、学生交换（3+1）等合作项目，不断扩大合作范围。此外，还充分发挥毗邻港澳的地理位置优势，与澳门暨育教育中心合作，开设兼读制翻译本科和翻译硕士专业学位班。</p><p></p><p>培养目标</p><p></p><p>本专业旨在培养适应新时代中国特色社会主义建设要求、德才兼备、具有国际视野的通用型翻译专业人才。毕业生应熟练掌握英汉两种语言，具备较强的逻辑思维能力、较宽广的知识面、较高的跨文化交际素质和良好的职业道德，了解中外社会文化，熟悉翻译基础理论，掌握基本的专业笔译技能和口译技能，能熟练使用各种翻译工具，并具备较强的独立思考能力、工作能力和沟通协调能力。毕业生能够胜任一定难度文本及涉外场合的笔译、口译或其他相关跨文化交流工作。</p>
106_4867,106,4867,行政管理,四年,管理学学士,本科(普通),管理学,公共管理类,专业代码：120402</br>专业介绍：</br>培养目标：暨南大学行政管理专业秉持“厚德惟新、善治天下”的培养理念，坚持立德树人的根本使命，认定“培养具有国际视野和家国情怀的现代领导者”的目标，践行“需求导向，服务社会”的宗旨，培养基础理论扎实、知识体系完备的，具有张口能讲、提笔能写、遇事能办综合素质和综合能力的，以综合管理知识为主、兼修行政管理技能和方法的复合型、应用型行政管理和领导人才。</br>培养规格：</br>本专业课程体系主要培养学生的国家认知与家国情怀、社会和人文关怀、国际视野与创新能力、从事究的知识基础和研究能力、从事公共部门实际管理所需要的沟通协调能力与运作技能。</br>知识、能力和素质要求如下：</br>1、要求学生全面系统地掌握行政管理的基础理论、专业知识和基本技能，了解本专业学科的理论前沿与发展动态。</br>2、具备较强的学习能力和创新能力，包括运用现代科学技术手段处理行政事务的能力、社会调查研究分析能力、解决实际问题能力、组织和策划能力、写作和沟通能力、计算机操作能力，具备外语听、说、读、写能力等。</br>3、具有身心健康、全面发展和积极进取的综合素质，具有包容的个性和良好的团队合作精神。</br>4、具有严谨的逻辑思维能力和批判性思维能力。</br>本专业学制四年，授予管理学学士学位。总学分修满160学分，其中必修学分114，基础教育选修学分10，专业教育选修学分20，通识教育选修学分12，任意选修学分4。</br>课程体系：</br>暨南大学行政管理专业课程体系包括三类课程：通识教育课程、基础教育课程、专业教育课程。本专业实践学时达到总学时的20%。</br>本专业核心课程如下：</br>管理学原理、政治学、微观经济学、宏观经济学、公共经济学、社会学、统计学、逻辑学、行政管理学、行政法学、公共政策学、社会保障学、社会科学研究方法、市政学、中国政府与政治、应急管理概论等。</br>授予学位：管理学学士</br>修读年限：四年
106_4899,106,4899,财务管理,四年,管理学学士,本科(普通),管理学,工商管理类,专业名称：财务管理</br>专业代码：120204</br>专业介绍：</br>培养目标：</br>本专业培养适应现代市场经济需要，具备人文素养、科学素养和基础素质，具备经济、管理、法律、会计学、财务管理和审计等方面的知识和能力，能在营利性和非营利性组织从事会计、财务和审计相关工作的应用型、复合型人才。培养要求：</br>本专业学生主要学习会计学方面的基本理论和基本知识，接受财务、审计方法和技巧方面的基本训练，具备分析和解决会计问题的基本能力。</br>毕业生应获得以下几方面的知识和能力：</br>A1.人文素养，科学素养，基础素质</br>A2.基础知识和专业知识</br>A3.科研思维与能力、创新思维与能力、实践能力</br>A4.商业伦理、职业道德</br>培养规格：</br>本专业学分要求：总学分修满160.0学分，其中必修学分106.0，基础教育选修学分12.0，专业教育选修学分20.0，通识教育选修学分14.0，剩余8.0学分为学生任意选修学分。</br>知识、能力、素养要求：</br>B1.具有较强的语言（掌握至少一门外语）与文字表达、人际沟通、信息获取能力、数据处理与分析能力；</br>B2.熟悉国内外有关财务管理、会计相关政策和法规；</br>B3.掌握经济学、管理学的基本理论、基本方法和基本技能；</br>B4.掌握财务管理和会计学的基本理论和基本知识；</br>B5.了解本学科的理论前沿和发展动态；掌握文献检索、资料查询的基本方法，具有一定的科学研究；</br>B6.实践应用能力，创新能力，解决财务管理、会计等实际问题的基本能力。 </br>课程体系：</br>本专业培养计划设置三大课程模块：通识教育课程、基础教育课程、专业教育课程。基础教育选修课中，根据专业特色设置知识群有：创新创业知识群、数据科学知识群、经营基础知识群。专业教育选修课中，设置了财会管理知识群、企业管理知识群、营销管理与数字商务知识群、组织与经营管理知识群、旅游与服务管理知识群。</br>核心课程有财务学原理、公司理财、高级财务管理、会计学II、成本管理会计、财务报表分析。</br>本专业实践学时达到总学时的15%。</br>授予学位：管理学学士</br>修读年限：四年
106_4895,106,4895,电子商务,四年,管理学学士,本科(普通),管理学,电子商务类,专业代码：120801</br>专业介绍：</br>培养目标：本专业立足一流专业教学质量培养标准，培养热爱祖国、了解国情，德智体美劳全面发展的社会主义事业建设者和接班人；培养具有良好的人文素养和科学精神，较强的学习研究能力、创新精神和实践能力，知识体系完善的新电商人才；培养具备现代管理与信息经济理念，掌握信息技术和电子服务综合技能，具有数据科学、信息技术和商务运营与管理能力的厚基础、宽口径电商人才；培养具备互联网创新创业素质，能适应数字经济发展趋势的复合型、应用型、创新型、卓越型电商人才。</br>培养规格：</br>电子商务专业学制4年，要求总学分修满160学分，其中必修学分109，基础教育选修学分10，专业教育选修学分28，通识教育选修学分10，剩余3学分为自由选修学分。授予管理学学士学位。</br>知识要求：掌握科学的世界观、历史观、民族观、国家观和文化观；掌握自然科学、社会科学和人文学科等通识类相关知识；掌握现代管理、数据科学和信息技术的基础理论和专业知识；掌握电子商务类专业理论与专门方法，能够将理论与实践紧密结合，解决实际问题；了解快速发展的电子商务新兴产业动态，注重产业技术创新和商业模式创新并及时掌握相关的理论与技术知识。</br>能力要求：具备独立自主地获取本专业相关知识的学习能力；具备将所获取的知识与实践融会贯通并灵活应用于电子商务实务的技能；初步具备基于多学科知识融合的创意、创新和创业能力；具备良好的外语听、说、读、写能力；具备良好的计算机操作与互联网应用能力。</br>素质要求：具备较高的思想政治素质和良好的道德素养、人文素养、科学素养及职业素养；具备较高的网络文明素养、电子商务诚信与信用素养、信息安全与保密素养；具备良好的人际沟通素质和团队合作素质；具备国际化视野和基本的创新精神及创业意识。</br>课程体系：</br>专业核心课程：管理学原理、经济学原理、市场营销学、高等数学、概率论与数理统计、统计学原理、网页设计与制作、面向对象程序设计、数据库原理与设计、信息系统开发与管理、计算机网络、云计算技术、大数据技术与应用、商务智能方法与应用、物流管理、电子支付与安全、电子商务案例分析、电子商务运营管理、电子商务系统建设与管理、电子商务信息安全与管理等。</br>主要实践环节：本专业实践学时达到总学时的31.60%；必修课实践学时占必修课总学时的37.67%。</br>授予学位：管理学学士</br>修读年限：四年
106_4819,106,4819,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,专业代码：120201K</br>专业介绍：</br>培养目标：</br>A1.在恰当的分析和定量技术的支撑下，熟练地展开评判性思维和管理决策；</br>A2.恰当地运用管理各职能领域的概念和理论；</br>A3.培养和提升口头沟通和书面沟通的能力及团队管理与领导力；</br>A4.通过学习使学生具有社会主义市场经济的商业伦理与社会责任；</br>A5.培养提升学生运用创新性的解决方案，应对企业战略挑战、组织挑战与全球化运营挑战的能力。</br>培养规格：</br>学制：四年</br>授予学位：管理学学士</br>本专业要求总学分160，其中必修学分104，占比65 %；基础教育选修学分12、专业教育选修学分20、集中实践环节选修6，合计38学分，选修占比23.75%；通识教育选修学分14、自由选修学分10，合计24学分，通识选修占比15%。</br>毕业要求：</br>B1.运用恰当的分析工具以及定性与定量的方法解决企业管理中存在的问题；</br>B2.运用经济学概念、模型与思维解决企业管理问题，并有效管理企业资源；</br>B3.熟练掌握商务应用的相关程序和工具，解决实际管理问题；</br>B4.掌握管理各领域职能，如会计系统、财务会计、公司金融、营销管理、生产运营以及组织绩效管理等方面的知识；</br>B5.具备较强的语言与文字表达、人际沟通以及团队领导能力；</br>B6.具备足够的敏感性，主要针对与企业经营活动中涉及到的法律、道德、伦理与社会责任方面的要求；</br>B7.具有创造性的战略设计、组织创新与人力资源管理创新能力，帮助企业获取持续的竞争优势；</br>B8. 了解管理学科的理论前沿和发展动态，基本掌握进行管理学研究的科学方法，具有诊断、分析实际管理问题以及提供相应解决方案的能力。</br>课程体系：</br>主干学科：工商管理、经济学</br>专业主干课程：管理学原理、高等数学、统计学、经济法、基础会计、财务学原理、宏观经济学、微观经济学、运筹学、人力资源管理、组织行为学、市场营销学、管理信息系统、战略管理、产业经济学、生产运作管理、国际企业管理、管理研究方法、创业项目管理。</br>主要实践环节：本专业实践学时达到总学时的15 %</br>授予学位：管理学学士</br>修读年限：四年
