special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
42_805,42,805,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,<p>本专业培养系统地掌握经济学基本原理和当代国际经济与贸易基础理论，全面把握当代世界经济现状及发展趋势，具备宽厚的国际贸易、国际投资、国际金融专业知识，熟悉中国对外经济的有关政策法规和通行的国际贸易与投资的规则及惯例，具备较强的国际商务经营管理技能，能熟练地运用英语和掌握计算机基本操作，具有较高的创新、创造和创业素质和能力，能胜任政府机构、涉外贸易投资金融部门和外资企业工作的国际化、复合型高级人才。</p>
42_809,42,809,法学,四年,法学学士,本科(普通),法学,法学类,<p>法学以培养高品位、高素质、高水平的具备较强社会适应能力的全面发展型治国之才为基本目标。</p>
42_826,42,826,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,<p>培养具备系统的新闻传播理论知识与扎实的专业技能、宽广的文化与科学知识，熟悉我国新闻、宣传政策法规，素质高，能力强，并富有创新精神，能在政府部门、新闻与出版单位、学校、大型企事业单位等从事采编、公关策划以及经营管理等工作的复合型专门人才。</p>
42_839,42,839,信息安全,四年,工学学士,本科(普通),工学,计算机类,<p>本专业是计算机、通信、数学、物理、法律、管理等学科的交叉学科，以学习信息安全理论与技术为主，兼学通信技术，同时加强数学和物理基础。旨在培养能够从事计算机、通信、电子信息、电子商务技术、电子金融、电子政务、军事等领域的信息安全研究、应用、开发、管理等方面的高级技术人才。</p>
42_877,42,877,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>本专业依托信息与通信工程一级学科博士学位授权点，是一包含现代电子学、信息科学和计算机科学等学科的完整知识结构，对工业、农业、生物、医疗、航空航天、军事、金融业、广播电视、互联网等行业领域有广泛影响的学科，主要研究对象包括信息的获取、传输、处理和应用，以及信息与通信设备及系统的研究、分析、设计、开发、维护、测试、集成和应用。培养具有扎实的数理基础和批判性思维能力，掌握通信与信号处理领域内的基本理论和前沿技术，掌握现代信息系统的分析与设计方法，具有开阔视野并了解学科发展方向，具有创新精神和工程实践能力，在信息领域、工业领域以及其他社会经济发展的主要领域具备科学研究、技术开发或经营管理能力的领军人才。</p>
42_869,42,869,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>软件工程是研究大规模程序设计方法、工具和管理的一门工程科学，其特点是按工程化的原则和方法来组织和规范软件开发过程，并对其中的各种方法进行研究，以提高软件产品的质量，降低软件开发的成本。软件工程要求用计算机和数学的方法来构造模型与算法，用工程科学来制定规范、设计模型和评估成本，用管理科学来控制工程的计划实施、资源分配和质量保证。</p>
42_888,42,888,水利水电工程,四年,工学学士,本科(普通),工学,水利类,<p>该专业主要研究水利水电工程建设的基本理论和基本规律及工程设计、施工管理方法。专业特点是：重点在大型水利水电工程，兼顾中型工程，设计、施工与管理结合。培养具有水利水电工程的规划、勘测、设计、施工、管理和科学研究等方面的专门知识，德智体美全面发展，有创新精神和实践能力的水利水电工程建设的复合型高级工程技术人才和管理人才。该专业实力在全国 40 余所大学同类专业中位居前列。</p>
42_911,42,911,口腔医学,五年,医学学士,本科(普通),医学,口腔医学类,　　学科：医学 <br />　　门类：口腔医学类 <br />　　专业名称：口腔医学 <br /><br /> <br />　　业务培养目标：本专业培养具备医学基础理论和临床医学知识，掌握口腔医学的基本理论和临床操作技能，能在医疗卫生机构从事口腔常见病、多发病的诊治、修复和与预防工作的医学高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习口腔医学的基本理论和基本知识，受到口腔及颌面部疾病的诊断、治疗、预防方面的训练，具有口腔常见病、多发病的诊疗、修复和预防保健的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握基础医学和临床医学的基本理论知识和实验技能； <br />　　2．掌握口腔医学各学科的基本理论知识和医疗技能； <br />　　3．具有口腔及颌面部常见病、多发病的诊治和急、难、重症的初步处理的能力； <br />　　4．具有口腔修复工作的基本知识和-般操作技能； <br />　　5．熟悉国家卫生工作方针、政策和法规； <br />　　6．掌握文献检索、资料查询的基本方法，具有口腔医学科学研究和实际工作的初步能力。<br /><br />　　主干学科：基础医学、临床医学、口腔医学。<br /><br />　　主要课程：物理学、生物学、口腔解剖生理学、口腔组织病理学、口腔材料学、口腔内科学、口腔颌面外科学、口腔修复学、口腔正畸学。 <br /><br />　　主要实践性教学环节：包括口腔内科、口腔外科和口腔修复等学科的毕业实习，一般安排36-42周。 <br /><br />　　修业年限：五年 <br /><br />　　授予学位：医学学士  <br /><br /> <br /><br />
42_1025844,42,1025844,历史学,四年,历史学学士,本科(普通),历史学,历史学类,"<p>    培养目标：本专业培养具有历史学基本理论、专门知识和基本技能，能在国家机关、新闻出
版、文教事业及各类企业事业单位或领域从事研究、教学和管理等方面工作的历史学科复合型
人才。
</p><p>    培养要求：本专业学生主要学习历史学科的基本理论和基础知识，接受中国历史和世界历史
发展的基本史实及史学研究的基本训练，掌握从事专业工作和历史学教学研究的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．掌握历史学科的基本理论和基础知识，对有关人文科学、社会科学与自然科学有一定的
了解；
</p><p>    2．掌握历史学的基本研究与分析方法；
</p><p>    3．具有从事历史研究的初步能力和较强的口头表达和文字表达能力；
</p><p>    4．熟悉古文字学、史料学、历史地理学等方面的基础知识及教育法规，能够初步运用教育
学、心理学基础理论与历史学基本理论；
</p><p>    5．了解国内外历史学研究与教学的理论前沿和发展动态；
</p><p>    6．掌握文献检索、资料查询的基本方法，具有一定的批判性思维能力。
</p><p>    主干学科：中国史、世界史。
</p><p>    核心课程：中国通史、世界通史、史学概论、中国历史要籍介绍及选读、外国历史要籍介绍及
选读、中国史学史、西方史学史等。
</p><p>    主要实践性教学环节：学年论文、毕业论文、专业考察、教学实习、读书报告、学术前沿讲座、
大学生科研立项等。
</p><p>    修业年限：四年。
</p><p>    授予学位：历史学学士。
</p>"
42_969,42,969,物理学,四年,理学学士,本科(普通),理学,物理学类,<p>　　学科：理学 <br/>　　门类：物理学类 <br/>　　专业名称：物理学 <br/><br/>　　业务培养目标：本专业培养掌握物理学的基本理论与方法，具有良好的数学基础和实验技能，能在物理学或相关的科学技术领域中从事科研、教学、技术和相关的管理工作的高级专门人才。 <br/><br/>　　业务培养要求：本专业学生主要学习物质运动的基本规律，接受运用物理知识和方法进行科学研究和技术开发训练，获得基础研究或应用基础研究的初步训练，具备良好的科学素养和一定的科学研究与应用开发能力。<br/><br/>　　毕业生应获得以下几方面的知识和能力： <br/>　　1．掌握数学的基本理论和基本方法，具有较高的数学修养； <br/>　　2．掌握坚实的、系统的物理学基础理论及较广泛的物理学基本知识和基本实验方法，具有一定的基础科学研究能力和应用开发能力； <br/>　　3．了解相近专业的一般原理和知识； <br/>　　4．了解物理学发展的前沿和科学发展的总体趋势； <br/>　　5．了解国家科学技术、知识产权等有关政策和法规； <br/>　　6．掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；具有-定的实验设计，创造实验条件，归纳、整理、分析实验结果，撰写论文，参与学术交流的能力。 <br/><br/>　　主干学科：物理学 <br/><br/>　　主要课程：高等数学、普通物理学、数学物理方法、理论力学、热力学与统计物理、电动力学、量子力学、固体物理学、结构和物性、计算物理学入门等。 <br/><br/>　　主要实践性教学环节：包括生产实习，科研训练，毕业论文等，一般安排10-20周。 <br/><br/>　　修业年限：四年<br/><br/>　　授予学位：理学学士 <br/></p><p><br/></p><p><br/></p>
