special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
128_6496,128,6496,材料成型及控制工程,四年,工学学士,本科(普通),工学,机械类,材料成型及控制工程专业培养具有良好的社会责任感、职业道德、人文素养和良好的科学素质，具备材料成型及控制工程专业基础理论及应用知识，能够从事成型制造及相关领域的科学研究、技术开发、设计制造、企业管理等工作，具有一定国际视野、实践能力和创新意识的适应社会经济发展需要的高素质复合型技术人才。</br></br>　　</br>就业介绍：近5年毕业生平均就业率为97%以上，升学率接近40%，其中免试推荐研究生占比大约为27%。毕业生就业行业主要集中在先进制造业与汽车产业、信息产业、交通运输业，当中知名企业包括中国航天科技集团有限公司、中国航天科工集团有限公司、中国航空工业集团有限公司、中国航空发动机集团有限公司、华为技术有限公司，中芯国际集成电路制造有限公司，上海汽车集团股份有限公司，东风汽车集团股份有限公司，烽火通信科技股份有限公司，康佳集团股份有限公司，海信集团股份有限公司，中国南方航空工业（集团）有限公司，广东美的制冷设备有限公司，比亚迪股份有限公司，广州中船黄埔造船有限公司等。
128_6492,128,6492,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,材料科学与工程专业培养具有良好社会责任感和职业道德，具有较好自然科学基础和人文社会科学基础，扎实的材料科学与工程领域的基础知识，综合素质好，具有创新精神、可持续发展意识及国际化视野，能在材料制备、加工成型，材料结构及性能调控，材料应用等领域从事科学研究与教学、新材料研制、技术开发和改造、工艺和设备设计、生产技术管理与经营管理等方面工作，适应社会主义市场经济发展的高层次、高素质、德智体全面发展的科学研究与工程技术人才。</br>就业介绍：材料科学与工程专业毕业生读研和出国深造率约62%，国内升学主要为中国科学院大学、清华大学、浙江大学、复旦大学等世界一流大学，出国（境）去向包括美国卡耐基梅隆大学，斯坦福大学、乔治华盛顿大学、昆士兰大学、莫纳什大学、帝国理工学院、东京工业大学、哥伦比亚大学、加州大学、东京大学、宾夕法尼亚大学、新加坡国立大学等国际顶尖高校深造。</br>近五年，本专业学位获得率100%，90%从事与专业相关的工作，取得中级及以上技术职称或进入中层及以上管理岗位超过75%。用人单位对毕业生工作能力和业务水平评价优秀率超过90%，就业企业包括美国英特尔公司、三星电子公司、德州仪器公司、台湾积体电路制造股份有限公司、贝特瑞新能源材料股份有限公司、京东方科技集团股份有限公司、富士康科技集团、中芯国际集成电路制造有限公司、武汉新芯集成电路制造有限公司、海思半导体有限公司等国内外知名企业。
128_6487,128,6487,材料物理,四年,工学学士,本科(普通),工学,材料类,材料物理专业培养德智体美劳全面发展的社会主义事业建设者和接班人，具有坚实的数学、物理、材料科学、人文科学基础理论及熟练的实验技能，具备解决材料设计、材料分析和材料应用等方面复杂工程问题的综合能力，了解材料学科发展的前沿和发展的总体趋势，具有创新精神、创造意识、创业能力和国际化视野，能在电子元件材料、半导体材料、光纤传感材料、光电材料等信息功能材料与技术领域从事科学研究、技术和产品开发、生产及经营管理等工作，并具有职业竞争力的卓越人才。</br>就业介绍：近3年，应届毕业生升学比例超过50%，境外升学比例10%左右，其中2022届免试推荐研究生比例为27%。国内升学高校包括清华大学、上海交通大学、浙江大学、南京大学、中国科学技术大学等国内知名高校，境外升学包括英国牛津大学、英国剑桥大学、英国帝国理工学院、英国斯特拉斯克莱德大学、美国哈佛大学、美国宾夕法尼亚大学、美国宾州州立大学、美国加州大学、美国哥伦比亚大学等知名学府。</br>本科生毕业5年后，几乎全部从事与专业相关的工作，毕业生对签约单位及就业职位满意度高达90%以上，用人单位、高校及科研单位对本专业学生非常满意，反馈情况良好。2022届毕业生共30人，就业率为100%。
128_6468,128,6468,无机非金属材料工程,四年,工学学士,本科(普通),工学,材料类,无机非金属材料工程专业培养德智体美劳全面发展的社会主义事业建设者和接班人，具有坚实的数学、物理、材料科学、人文科学基础理论及熟练的实验技能，具备解决材料设计、材料分析和材料应用等方面复杂工程问题的综合能力，了解材料学科发展的前沿和发展的总体趋势，具有创新精神、创造意识、创业能力和国际化视野，能在电子元件材料、半导体材料、光纤传感材料、光电材料等信息功能材料与技术领域从事科学研究、技术和产品开发、生产及经营管理等工作，并具有职业竞争力的卓越人才。</br>就业介绍：近3年在读本科生国际化交流比例20%以上，毕业后攻读境内外学位比例60%以上，其中国内升学高校包括清华大学、浙江大学等国内一流名校，国外升学高校包括英国伦敦大学学院、英国伯明翰大学、美国密歇根大学、美国哈佛大学、德国慕尼黑工业大学、荷兰代尔夫特理工大学、新加坡国立大学等高等学府。毕业生就业行业主要集中在材料制造产业、综合性设计院、基础设施建设等，面向世界500强和战略性新兴产业就业比例为65.59%。</br>
128_6530,128,6530,船舶与海洋工程,四年,工学学士,本科(普通),工学,海洋工程类,船舶与海洋工程专业面向国家经济社会发展，以培养具备“适应性强、实干精神强、创新意识强”的高级技术及管理人才为宗旨，培养具备坚实的专业技术知识以及应用能力，掌握船舶与海洋工程的基本原理以及专业技能和研究方法，具有实践能力和国际交流能力，在领域内从事科学研究、项目策划与管理、生产运营与经营管理等工作的高级复合型专业人才。</br>就业介绍：2022届本科毕业生158人，整体就业率98.73%。升学与出国（境）81人，其中免试推荐研究生42人。毕业生就业行业主要集中在船舶领域，多为国有企业，如中国船舶集团、招商局集团、中国船级社、中国航天科工集团等。
128_6551,128,6551,道路桥梁与渡河工程,四年,工学学士,本科(普通),工学,土木类,　　道路桥梁与渡河工程始建于1949年，目前为省级重点学科，主要开展道路与铁道、桥梁与隧道及其他各类交通基础设施的规划、勘察、设计、管养、安全等专业知识和应用技术的学习，并在工程地质、测量、设计、施工和工程管理等方面进行实习实训，培养具备从事交通土建工程项目规划、设计、研发、施工及管理能力的高级工程技术人才和国际工程项目管理人才。</br>　　本专业具有道路与铁道工程、桥梁与隧道工程两个二级学科硕博点，本专业学生毕业后既可继续攻读研究生学位，也能在道路与铁道、桥梁与隧道以及其它土木工程项目规划、设计、施工、研究以及工程管理、投资开发等部门从事技术或管理工作。</br>就业介绍：2022届本科毕业生126人，整体就业率98.41%，升学与出国（境）66人（含免试推荐研究生11人），毕业生就业行业主要集中在建筑业，面向世界500强和战略性新兴产业就业比例为75%。
128_6524,128,6524,港口航道与海岸工程,四年,工学学士,本科(普通),工学,水利类,港口航道与海岸工程主要研究和解决港口工程、航道工程、海岸工程以及相近的水利工程、土木工程、海洋工程等领域涉及的勘测、规划、设计、施工、研发、投资和管理存在的实际问题。伴随与前沿科技的深度融合，专业应用已拓展至可再生能源、物联网数字孪生等新兴领域。</br>就业介绍：2022届本科毕业生54人，整体就业率90.74%，升学与出国（境）19人（含免试推荐研究生5人），毕业生就业行业主要集中在交通、港口、海事等领域。
128_6499,128,6499,车辆工程,四年,工学学士,本科(普通),工学,机械类,车辆工程专业是融合机械、能源、材料、人工智能、大数据、信息、控制、计算机等多学科领域知识，研究和解决道路车辆、轨道车辆、军用车辆、工程车辆及拖拉机等陆上移动机械在设计开发、生产制造、试验检测、运行管理等方面理论和实际问题的宽口径综合性专业。</br>就业介绍：2022届毕业生260人，总体就业率为95%。升学与出国（境）172人（国内升学163人（含免试推荐研究生55人），出国（境）9人）；就业行业主要集中在汽车行业，如一汽大众、东风日产、东风本田、上汽通用、广汽新能源、比亚迪、吉利汽车、特斯拉、蔚来等。
128_6505,128,6505,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,能源与动力工程（车辆）专业面向国家重大需求，以“厚基础、强能力、重特色、高素质”为目标，培养理想信念坚定、道德品质优秀、素质能力卓越，具有强烈社会责任感和国际视野，适应国家能源及动力系统科技和产业发展需求，胜任能源及动力机械产品设计开发、试验、制造等领域工作的拔尖创新人才和支撑行业发展的卓越工程技术人才。</br>就业介绍：2022届本科毕业生146人，总体就业率为95.2%。升学与出国（境）71人（国内升学69人）。就业行业主要集中在汽车行业，典型就业单位如：一汽大众、东风日产、东风本田、上汽通用、广汽新能源、比亚迪、吉利汽车、特斯拉、蔚来等。
128_6501,128,6501,汽车服务工程,四年,工学学士,本科(普通),工学,机械类,汽车服务工程专业旨在培养掌握现代机械（车辆）、新能源、人工智能、大数据、管理等多学科专业理论知识，具有汽车工程服务技术及相关运作管理的研究与创新能力，胜任汽车商品企划、汽车产品营销、汽车技术支持、汽车产业链管理等智能服务领域工作；能够对实际问题进行辨识和定义，通过团队协作、交流与沟通解决问题；拥有健康身心，恪守职业伦理；适应能力强、实干精神强、创新意识强和具有卓越追求与卓越能力的卓越人才。</br>就业介绍：2022届毕业生78人，总体就业率为94.87%。升学与出国（境）18人（国内升学16人，出国（境）2人）；就业行业主要集中在汽车及智能服务行业，如东风日产、东风本田、上汽通用、广汽新能源、比亚迪、蔚来、三一集团、汽车之家等。
128_6497,128,6497,机械工程,四年,工学学士,本科(普通),工学,机械类,机械工业是国民经济和工业的重要支柱和主导产业，是国家综合国力的集中体现。机械工程专业作为历史最悠久的工程专业之一，主要研究和解决机械设计、机械制造、机电工程及自动化的各种理论和实际问题的应用学科。</br>就业介绍：2022届毕业生328人，整体就业率95%，升学与出国（境）159人（国内升学139人，出国（境）20人），毕业生就业行业主要集中在制造业、建筑业、信息传输、软件与信息技术服务业和电力、热力、燃气及水生产和供应业。
128_6528,128,6528,轮机工程,四年,工学学士,本科(普通),工学,交通运输类,轮机工程专业面向船舶智能化和智能船舶的挑战，培养适应国家海洋强国战略需求，具有良好的社会责任感、职业道德、人文素养和科学工程素质，以船舶动力、电气工程和自动控制为基础，掌握船舶机、电、测、控等多学科交叉融合知识，具备现代船舶机电一体化管理能力，船岸协同，岸基支持，既能从事远洋船舶的维护与管理、修理与检验等工作，也能承担船海工程和交通运输工程领域的科学研究等方面的工作，符合国际海员适任标准要求，具有国际竞争力的高端航运人才。</br>就业介绍：2022届本科毕业生292人，整体就业率96.57%，升学与出国（境）110人（含免试推荐研究生33人），毕业生主要在船舶行业就业，面向世界500强和战略性新兴产业就业比例为84.2%。
128_6514,128,6514,土木工程,四年,工学学士,本科(普通),工学,土木类,土木工程是一门历史悠久的学科，是国家经济建设和社会发展的支柱学科。土木工程专业主要是学习应用勘察、规划、设计、施工、安装和管理等专业技术，为人类的生活和生产活动建造安全、适用和耐久的工程结构与基础设施，包括房屋、道路、铁路、隧道和桥梁等。土木工程专业将会为“一带一路”、“双碳”战略、 海洋战略、新型城镇化等国家倡议和战略提供关键支撑。土木工程专业分三个方向：建筑工程、道路与桥梁工程和岩土工程。</br>就业介绍：2022届本科毕业生265人，总体就业率为95.09%，升学与出国（境）100人（含免试推荐研究生35人），毕业生就业行业主要为国有企业、设计院、事业单位等。
128_6517,128,6517,建筑学,五年,工学学士,本科(普通),工学,建筑类,建筑学是研究建筑物及其环境的学科，也是关于建筑设计艺术与技术结合的学科，旨在总结人类建筑活动的经验，研究人类建筑活动的规律和方法，创造适合人类生活需求及审美要求的物质形态和空间环境。建筑学包括建筑设计、建筑历史、建筑技术、城市设计、室内设计和建筑遗产保护等方向，并由此与城乡规划学和风景园林学共同构成综合性的人居环境科学。</br>就业介绍：2022届本科毕业生56人，总体就业率为94.64%，升学与出国（境）20人（含免试推荐研究生13人），毕业生就业行业主要集中在国有企业、研究院、设计院、事业单位等。
128_6516,128,6516,给排水科学与工程,四年,工学学士,本科(普通),工学,土木类,给排水科学与工程专业以水力学、化学、生物学为主要学科基础，综合运用工程力学、材料、设备、仪表与控制、信息科学、管理、经济、法律等相关学科知识和技术，不断吸收融合分子生物学、纳米科学与技术、膜科学与技术、痕量分析与检测技术等现代科学技术成果，以水为核心，培养从事水资源可持续发展、市政给排水、建筑给排水、工业给排水、海绵城市、智慧水务等复杂工程的规划、设计、咨询、建设、运营与教学研究，以及与水处理相关的新产品、新设备、新工艺开发的高素质工程技术应用型和创新创业型人才；在水环境保护、水污染治理、水生态修复等领域具有广阔的发展前景。</br>就业介绍：2022届本科毕业生46人，总体就业率为95.65%。升学与出国（境）14人（含免试推荐研究生4人），毕业生就业行业主要为国有企业、设计院、事业单位等。
