special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
54_1585,54,1585,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,<p>学    制：四年</p><p>授予学位：文学学士学位</p><p>培养目标：本专业为各类媒体培养具有系统的新闻理论知识与技能、具备良好的人文素养与科学素养、熟悉我国新闻、宣传政策法规、具有创新精神和实践能力的新闻专业人才；为社会机构（如企事业单位、社会团体）培养懂新闻业务、编辑技术和公关技巧的新闻人才；为政府培养既能够从事政府信息发布工作，又能够为政府进行国际传播、危机公关的新闻人才；为各类新媒体培养具有新闻传播能力、内容制作能力、网络编辑能力、经营管理能力的复合型人才。</p><p>培养要求：毕业生应获得以下方面知识和能力：熟悉我国关于广播电视、报刊和网站等新闻媒体的宣传方针、政策和法规，了解新闻传媒业的前沿发展动态；掌握新闻学、编辑学、传播学等专业理论知识，并能够运用于新闻采访与写作、新闻编辑、新闻评论等专业技能中；熟练掌握新闻采访、新闻写作、新闻编辑、新闻评论等基本专业技能，并能够适应报刊杂志、广播电视、新媒体的不同要求。</p><p>主要课程：新闻采访写作、新闻编辑学、新闻评论学、新闻摄影、中国新闻事业史、网络新闻学概论、媒介经营管理、外国新闻事业史、新闻报道策划等。</p><p>专业特色：新闻学专业创办于1981年，并于1982年招收第一届本科生。1998年获得新闻学二级学科硕士学位授予权；2006年获得新闻传播学一级学科硕士学位授予权；2007年新闻学专业被评为首批国家级特色专业，成为全国800余个新闻传播类专业教学点中仅有的20家具有此项称号的专业之一；2010年获得国家首批新闻与传播专业硕士；同年在新闻专业基础上建立的“传媒与社会发展研究中心“成为河北省6个哲学社会科学基地之一；2011年获得新闻传播学一级学科博士学位授予权；2012年，新闻学专业获得河北省和国家两级“本科教学工程专业综合改革试点”；2013年，新闻学专业获批河北省重点学科。2015年，在中国科学评价研究中心、中国科教评价网、中国教育质量评价中心公布的“新闻传播类各专业大学竞争力排名”中，该专业在全国220余所院校中排名第11位。2016年申报创建“全媒体数字实验班”，探索卓越新闻人才的培养实践模式。该专业国际化发展突出，2015年1月，正式创立河北大学中美媒介研究所，为新闻学师资培训和学生培养的国际化提供平台；2017年，我院与美国密苏里大学新闻学院正式签订了“新闻学本科双学位合作项目”（“2+2”合作办学计划），进一步提升了新闻学专业国际化发展的水平。</p><p>就业前景：学生毕业后可在各大新闻媒体及网站、企事业单位从事教学、研究、编辑、评论、管理等方面工作。就业率93%。</p>
54_1532,54,1532,教育学,四年,教育学学士,本科(普通),教育学,教育学类,<p>学    制：四年</p><p>授予学位：教育学学士学位</p><p>培养目标：本专业强化专业教育和通识教育相融通的培养目标导向，培养具备丰富的现代教育思想、教育理论与教育方法，具备扎实的教育专业技能，拥有良好社会品德与优良个性的能够在中小学校、高等院校、教育管理部门、教育科研单位、教育信息咨询与培训机构、教育产业部门以及其他社会工作部门从事教学、管理、科研、咨询、培训指导、人力资源开发和教育产品设计等方面工作的教育学学科复合型人才。</p><p>培养要求：学生主要学习教育学的基本理论和基本知识，受到教学技能、课程开发、教育科研、教育统计与评价、学校咨询、课件设计与网页制作等方面的基本训练，掌握运用教育学、教育心理学理论和教育评价、班主任工作等基本技能解决教育教学中问题的基本能力。具体包括：1.掌握教育学的基本理论、基本知识；2.掌握教育文献检索、教育社会调查和数据处理、教育教学评价的分析方法；3.具有从事教育类课程专业教学和中小学学科教学的工作能力以及进行教育科学研究的基本能力；4.熟悉国家关于教育方面的方针、政策和法规；5.了解教育学学科发展的理论前沿和应用前景；6.具有一定的科学研究和实际工作能力，具有一定的批判性思维能力；7.了解世界及我国教育改革的现状和发展趋势；8.具有从事教育管理和其他社会工作所需的基本能力；9.具有职业生涯发展规划的基本意识与能力；10.具有终身学习和终身发展的基本意识与能力。</p><p>主要课程：教育学原理、教育心理学、教育科学研究方法、教学论、课程论、中外教育史、教育社会学、教育管理学、德育论、比较教育学、教育法学、教育经济学、学校心理学、教育哲学、教育统计学、教育测量与评价、教育人类学、高等教育学、特殊教育学、成人教育学、职业教育学、语文教学法、数学教学法、教学技能训练、专业外语、研究性学习、专业见习等。</p><p>专业特色：教育学专业作为国家级特色专业、省级教师教育创新高地、省级专业综合改革试点，是河北大学教育学院历史最悠久的专业，师资力量雄厚，80%教师具有博士学位和高级职称。下设四个研究所，并有教育史博士学位授予点，教育学原理、教育史、比较教育学、高等教育学、成人教育学、少年儿童组织与思想意识教育六个硕士学位授予点与教育管理领域的教育硕士授予点。实行本科生导师制。围绕高质量教育人才培养模式设置了既包含学科基础知识的必修课程，也包含反映社会需求和专业发展前沿动态的各类选修课程，坚持“学术为先，注重实践”两结合教学模式，实现教育科研与教学一体化，注重学生教育基本素养、研究能力和实践能力的同步提升。</p><p>就业前景：所培养学生一部分考取本专业或跨专业研究生，一部分考取公务员或选调生，一部分直接进入中小学校、高等院校、教育管理部门、教育科研单位、教育信息咨询与培训机构以及其他社会工作部门从事教学、管理、科研、咨询、培训指导、人力资源开发和教育产品设计等方面的工作，社会适应能力强，就业前景灵活。近三年平均就业率达到97.5%。</p>
54_1577,54,1577,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>学    制：四年</p><p>授予学位：文学学士学位</p><p>培养目标：本专业培养具备一定的文艺理论素养和系统的汉语言文学知识，能在政府机关、学校、科研机构和新闻、文艺、出版、文化、互联网、对外交流等企事业单位从事文学评论、汉语言文学教学与研究工作，以及文化宣传方面的实际工作的中国语言文学学科复合型人才。</p><p>培养要求：本专业学生主要学习汉语言文学方面的基本理论和基本知识，接受文学理论、文学史、语言学及中外文化等方面的系统教育和业务能力方面的基本训练，掌握语言文字表达的基本能力。</p><p>主要课程：现代汉语、古代汉语、语言学概论、当代文学史、现代文学史、古代文学史、文学概论等。</p><p>专业特色：汉语言文学专业2008年被评为国家级特色专业，拥有一支职称结构、年龄层次、专业分布、学缘构成合理的教师队伍，多名教师获得国家高层次人才特殊支持计划名师和河北省教学名师称号。中国古代文学课程被批准为首批国家级精品课，古代汉语、中国现代文学史、现代汉语等先后被评为省级精品课。本专业学术积淀深厚，教学资源丰富，为学生学好专业知识、提高综合素质提供有力的支撑。</p><p>就业前景：就业情况良好，毕业生在党政机关、文化教育、新闻出版及其它各类企事业单位从事相关工作，能够才尽其用。就业率和考研率达到90%以上。</p>
54_1555,54,1555,生物信息学,四年,理学学士,本科(普通),理学,生物科学类,<p>学    制：四年</p><p>授予学位：理学学士学位</p><p>培养目标：本专业培养具备较好的生物学基础知识、计算机科学与技术、数学和统计学素养，掌握生物信息学基本理论和方法，具有生物信息收集、分析、挖掘、利用等方面的基本能力，能在学校、科研机构、医疗医药、环境保护等相关部门与行业从事教学、科研、管理、疾病分子诊断、药物设计、生物软件开发、环境微生物监测等工作的创新性人才。</p><p>培养要求：本专业学生应具有良好的人文和科学素养，应掌握生命科学、电子与计算机技术、生物信息技术等基本理论知识。本科毕业生能够胜任生命科学相关研究与相关技术开发工作，能够在科技成果转化及产业化过程中发挥技术骨干作用，或继续攻读硕士博士学位。毕业生应获得以下几方面的知识和能力：</p><p>1.较好的人文社科知识和人文素养，较强的协调与组织能力；</p><p>2.较强的英语语言能力；</p><p>3．掌握数学和计算机等方面的基本理论，熟悉数据开发和数据管理的基本技能，熟练掌握计算机编程和软件的开发与利用。</p><p>4.掌握生物学的基本理论、基本知识和基本实验技能，重点学习普通生物学、细胞生物学、遗传学、分子生物学、生物信息学、生物数据库管理系统、基因组学、蛋白质组学和生物芯片技术等课程。</p><p>5.了解生物信息科学的理论前沿、应用前景及最新发展动态。</p><p>6.掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；具有一定的实验设计、结果分析、归纳整理、论文撰写和参与学术交流的能力。</p><p>主要课程：生物信息学基础、基因组学、蛋白质组学、Linux系统应用与Shell编程、Perl语言等。</p><p>专业特色：生物信息学是生命科学、计算机科学和信息科学等多学科交叉的新兴学科。河北大学生物信息学专业经过多年的探索和发展，已经形成了较为完善的课程体系和高水平的师资队伍，教学资源和教学水平得到了不断改善和加强。本专业涵盖动物学博士学位点、生物学一级学科硕士点；拥有国家动物学重点（培育）学科、河北省生物学强势特色学科三个省级重点实验室；教学实习依托药物化学与分子诊断省部共建教育部重点实验室，具有较好的教学条件和优越的育人环境。2015年河北大学与军事医学科学院国家蛋白质科学中心签订了“生命科学凤凰班” 联合培养协议，采用2.5-1.5的培养模式，旨在充分发挥两个单位的资源优势，培养高层次生物信息专业人才。</p><p>就业前景：本专业毕业后可选择到国内为高校或科研院所攻读研究生，也可以在生命科学的研究机构、高等学校、企事业单位以及生命科学或到信息学科学相关的其他部门，从事科学研究、教学管理、产品开发等工作。高校、科研院所、医院、制药厂及测序公司等为本专业的主要就业去向。毕业生当年就业率在92%以上。</p>
54_1565,54,1565,应用心理学,四年,理学学士,本科(普通),理学,心理学类,<p>学    制：四年</p><p>授予学位：理学学士学位</p><p>培养目标：本专业培养掌握心理学的基本理论和广泛的心理学知识及技能，能在学校及教育培训部门、医疗和司法部门、企业和政府部门，从事教育、培训、咨询、人力资源管理和开发工作的高级专门人才。</p><p>培养要求：本专业学生主要学习心理学的基础理论和基本知识，受到教学、实验、临床和人力资源等方面的基本训练，获得教育培训与组织管理等方面的基本能力。毕业生应获得以下几方面的知识和能力： </p><p>1.掌握心理学的基础理论、基本知识； </p><p>2.掌握心理学相关的研究方法及数据分析技术； </p><p>3.具有从事心理学教学与拓展训练、在不同类型的组织中熟练从事人力资源管理工作的基本能力； </p><p>4.熟悉心理咨询与辅导的职业规范、原理与技术； </p><p>5.了解应用心理学的最新发展动态和应用前景； </p><p>6.具有初步的科学研究和实际工作能力，具有一定的批判性思维能力。</p><p>主要课程：普通心理学、实验心理学、认知心理学、发展心理学、心理统计学、心理测量学、心理学研究方法、人格心理学、教育心理学、社会心理学、人力资源教育开发与管理、变态心理学、环境心理学、工程心理学、犯罪心理学、临床心理学、心理学史、咨询心理学、管理心理学、运动心理学、语言心理学、健康心理学、专业外语、专业见习等。</p><p>专业特色：心理学专业是河北大学传统优势学科，早在1986年就首批获得发展与教育心理学硕士学位授予权，2007年获得基础心理学硕士学位授予权，2010年获得心理学一级学科硕士学位授予权。应用心理学本科专业于2000年开始招生，该专业以心理学一级学科硕士学位点为依托，不断拓宽学科领域，强化学科特色。经过多年建设与发展，已形成了教育与发展、心理健康教育和人力资源管理等核心方向，在认知发展与教学设计、学习动机培养与激发、个性与社会性发展、心理健康教育与评价、人力资源管理与开发等领域具有较强专业优势，为学生进一步深造和就业奠定了坚实的理论和实践基础。该专业拥有一支知识结构和年龄结构合理、学术水平较高、教学能力强的教师队伍。校图书馆和教育学院资料室拥有丰富的图书资料；心理与行为实验中心设有基础心理、测量与评估、行为实验、认知心理、情绪心理等实验室，并拥有眼动仪、脑电记录仪、生理多导仪和听觉实验系统等大型实验设备；实践教学基地包括校心理咨询中心、园区辅导站、保定市前卫路小学及河北省第六人民医院等，这些都为该专业教学科研发展提供了重要资源保障和良好平台。</p><p>就业前景：所培养学生一部分考取研究生继续深造，一部分考取公务员或选调生，一部分直接进入中小学校、教育管理部门、教育信息咨询与培训机构、医疗和司法部门、以及企业从事教学、管理、科研、咨询、培训指导、人力资源开发等方面工作，就业前景灵活。近三年平均就业率达95%以上。</p>
54_1535,54,1535,哲学,四年,哲学学士,本科(普通),哲学,哲学类,<p>学    制：四年</p><p>授予学位：哲学学士学位</p><p>培养目标：本专业培养具有马克思主义哲学与东西方哲学广阔视域的哲学专门人才和有哲学终极关怀与开拓创新精神的通用人才。</p><p>培养要求：为培养出本专业具有较高哲学思维能力的理论人才，以及具有哲学素养和广博知识背景的复合型人才，具体要求如下：1.能准确地理解和掌握马克思主义哲学、东方哲学和西方哲学的理论和历史，初步具备马克思主义哲学，东方哲学和西方哲学的广阔视域。2.具有哲学见地，掌握哲学基本研究方法，初步具备原典阅读与独立调查研究能力。3.具有社会科学、自然科学等相关知识和相应实践能力，初步培养起对社会现实和个体生命敏锐的问题意识和批判精神。4.通过系统专门课程，培养学生的逻辑思维，批判性思维和创造性思维能力。5.具有较强的表达能力、社会活动能力，以及一定的管理能力。6.具备从事实际工作的开拓创新精神。</p><p>主要课程：哲学导论、马克思主义哲学、马克思主义哲学史、马克思恩格斯列宁经典著作导读、中国哲学史（含原著导读）类课程、西方哲学史（含原著导读）类课程、逻辑学、科学技术哲学、伦理学、宗教学、美学等。</p><p>专业特色：哲学专业始建于1955年，是河北大学最早建立的专业之一。建立以来，始终重视专业建设，形成了结构合理、学术水平较高的师资队伍，在中国哲学、马克思主义哲学、逻辑学和伦理学领域，具有较大优势和影响力。现有哲学一级学科博士学位授权点，哲学一级学科博士后科研流动站，中国哲学省级重点学科，中国哲学、马克思主义哲学、逻辑学和伦理学四个硕士学位授权点。本专业是教育部财政部2009年批准的第四批高等学校特色专业建设点。近年来，学院为了促进哲学学科发展，加大了本科教学改革力度，多次进行人才培养方案调整，建立起了比较系统、科学的课程体系，逐渐形成了注重哲学原典的阅读，提倡东西古今哲学的融通、强调学科交叉等学术风格。</p><p>就业前景：哲学专业毕业生主要有两个流向：一是每年70%以上的毕业生考上全国重点大学研究生，进一步从事高层次哲学专业的学习。二是部分毕业生在国家机关、文教事业、新闻出版、企业等部门从事行政管理、理论宣传、教学科研等方面的实际工作。</p>
54_1534,54,1534,劳动与社会保障,四年,管理学学士,本科(普通),管理学,公共管理类,<p>学    制：四年</p><p>授予学位：管理学学士学位</p><p>培养目标：本专业致力于培养德、智、体全面发展，通晓中外劳动社会保障理论，熟练掌握劳动与社会保障操作技能，能从事劳动就业、社会保障、人力资源管理和商业性保险运作和管理，并具有一定理论研究能力和教学能力，具备创新精神的应用复合型人才。</p><p>培养要求：毕业生应具备以下知识和能力：</p><p>1.掌握公共管理学科和劳动与社会保障专业的基本理论、基本知识；</p><p>2.具有处理劳动与社会保障领域业务的基本能力；</p><p>3.熟悉国家有关劳动与社会保障的方针、政策和法规；</p><p>4.了解社会保障的理论前沿和国际、国内发展动态；</p><p>5.掌握文献检索、实践调研、数据处理、经济模型构建等基本方法，具有一定的科学研究和实际工作能力，具有一定的批判性思维能力。</p><p>主要课程：微观经济学、宏观经济学、财政学、公共管理学、公共政策学、社会保障学、福利经济学、社会救助、社会保险、劳动经济学、薪酬管理、社会保障制度国际比较等。</p><p>专业特色：河北大学劳动与社会保障专业为河北省品牌特色专业，拥有省级管理学教育创新高地。本专业依托综合性院校的资源优势，形成了强有力的师资支撑和具有特色的研究方向。一是公共财政与社会保障方向，侧重从财政视角研究社会保障问题；二是劳动与就业方向，通过河北省人力资源和社会保障厅实践导师支持，在劳动、就业、薪酬等方面形成研究特色；三是社会保障国际比较方向，从更广阔的视野研究社会保障问题。</p><p>就业前景：学生毕业后可在人力资源和社会保障部门、民政部门、非营利组织、企事业单位人力资源管理部门、金融公司、保险公司及其他公共经济部门从事实际工作，以及在有关的研机构和高等院校从事研究和教学工作，具有广阔的就业前景，就业率在95%以上。</p>
54_1546,54,1546,化学,四年,理学学士,本科(普通),理学,化学类,<p>学    制：四年</p><p>授予学位：理学学士学位</p><p>培养目标：本专业培养学生具有现代化学基本理论、基本知识和基本技能，知识面宽广，受到科学思维和科学实验的训练，具有一定的科学研究、应用研究及管理的能力。</p><p>培养要求：化学专业学生主要学习化学理论及相关学科知识，接受化学专业理论和实践的基本训练，具有较强的创业、创新意识和应用所学知识解决实际问题的能力。</p><p>毕业生应获得以下知识和能力：</p><p>1、掌握数学、物理等方面的基本理论和基本知识；</p><p>2、具有较为扎实的化学基本理论、基本知识和基本实验技能；</p><p>3、具有一定地运用计算机、外语交流的能力；</p><p>4、掌握运用现代信息技术获取相关信息的基本方法，具有初步的科学研究和实际工作能力。</p><p>主要课程：无机化学、分析化学、有机化学、物理化学、结构化学、仪器分析、无机合成化学、有机合成化学、分子光谱分析、基本操作实验、基础有机制备实验、基础化学分析实验、物性参数测定实验、基础仪器分析实验、无机合成与表征实验、有机合成与表征实验、综合实验、研究与创新实验等。</p><p>专业特色：化学专业为学生提供化学知识方面的职业才能，除了使学生掌握科学基础知识外，该专业还培养学生具有判断力的思维、实验技术、解释观察以及清晰表达思维等能力。</p><p>就业前景：学生毕业后可在学校、科研单位以及轻工、化工、食品、医药、疾控中心等企事业单位从事教学、科学研究；也可以继续攻读分析化学、无机化学、有机化学、物理化学及相关学科的硕士学位。</p>
54_1542,54,1542,生物科学,四年,理学学士,本科(普通),理学,生物科学类,<p>学    制：四年</p><p>授予学位：理学学士学位</p><p>培养目标：本专业主要面向国民经济建设和社会发展需要，立足培养德智体美全面发展，具有坚实的生物科学基本理论、基本知识和较强的实验技能，符合社会需要的科学研究型、就业创业型或复合型生物学人才，能够在中高等学校和科研机构从事生命科学领域教学或技术研发工作，或到环保、医药、农业及食品等其它相关领域的企事业单位从事管理、技术研发或销售等工作。</p><p>培养要求：本专业学生主要学习生物科学方面的基本理论和基本技能，受到生物科学研究的基本训练，掌握从事生物科学研究和生物产业研发的基本能力。毕业生应获得以下几方面的知识和能力：</p><p>1.掌握数、理、化等方面的基本理论和基本知识，具备良好的人文素养、英语水平和计算机应用能力。</p><p>2.掌握生物科学的基础理论、基本技能和基本知识，掌握生物科学的分析方法和实验技术；具有在生命科学领域从事科学技术研究、生产工艺与技术管理、新产品研发的基本能力；了解生物科学的理论前沿、应用前景、发展动态；熟悉国家科技政策、知识产权等有关政策和法规，了解生物产业发展状况和行业需求；</p><p>3.具备现代信息意识，掌握运用现代信息技术获取相关信息的方法；具有一定的实验设计、归纳、整理、分析实验结果、撰写论文和参与学术交流的能力。</p><p>4.接受生物科学基础研究和应用开发方面的科学思维和科学实验训练，具有较高的科学素质与实际工作能力。</p><p>主要课程：动物生物学、植物生物学、生物化学、遗传学、细胞生物学、微生物学、分子生物学、生态学、发育生物学、系统生物学、神经生物学等。</p><p>专业特色：河北大学生物科学专业办学历史悠久，师资力量雄厚，形成了本科生、硕士生、博士生和博士后各个层次的人才培养体系。本专业在无脊椎动物系统学、土壤植物学、生态学和水生生物学等方面形成了鲜明的特色，拥有动物学国家重点（培育）学科，河北省生物学强势特色学科、河北省生物学国家重点培育学科、河北省动物学重点学科、河北省生物工程重点学科、河北省“白洋淀流域生态保护和京津冀可持续发展”协同创新中心等重点平台，无脊椎动物系统学和应用、微生物多样性研究与应用、生物工程等省级重点实验室（工程中心）以及河北省生物实验教学示范中心。2012年河北大学与中国科学院动物研究所联合设立“生命科学星辰班”，采用2.5+1.5培养模式，旨在充分发挥两个单位的资源优势，培养具有国际学术视野的生物科学拔尖创新人才，开创了河北省高校“科教结合协同育人”的先河。本科教学水平处于国内前列。</p><p>就业前景：21世纪是生物学的世纪，生物产业被列为国家七大战略性新兴产业之一，毕业生就业前景良好，可选择攻读研究生，也可到中高等学校和科研院所从事生命科学领域的教学或技术研发工作，或到环保、医药、农业及食品等其它相关领域的企事业单位从事管理、技术研发或销售等工作。毕业生当年就业率在92%以上。</p>
54_1538,54,1538,历史学,四年,历史学学士,本科(普通),历史学,历史学类,<p>学    制：四年</p><p>授予学位：文学学士学位</p><p>培养目标：本专业培养具有一定的马克思主义基本理论素养和系统的专业基本知识，熟悉中    外历史和民族文化，具有创新思维能力和实践能力，有进一步培养潜能的史学专门人才，以及能在国家机关、文教事业、新闻出版、文博档案及各类企事业单位从事实际工作的应用型、复合型高级专门人才。</p><p>培养要求：熟练掌握历史学科的基本理论和基本知识；对有关的社会科学、人文科学与自然科学有一定的了解；掌握历史学的基本研究方法和分析方法；具有从事历史研究初步能力和较强的口头表达能力和文字表达能力；熟悉古文字学、版本目录学、史料学、历史地理及考古学方面的基本知识；了解国内外史学界最重要的理论前沿和发展动态；掌握文献检索，资料查询的基本方法。</p><p>主要课程：中国历史要籍介绍与选读、中国古代史、世界古代史、中国近代史、世界近代史、中国现代史、世界现代史、中华人民共和国史、世界当代史、考古学通论。</p><p>专业特色：历史学是我校优势特色学科之一。1996年历史学科被省政府确定为河北省历史学人才培养与科学研究基地。2005年，历史学科被评定为河北省强势特色学科，得到河北省的重点资助。师资队伍雄厚，科研成果丰硕，在国家权威期刊、出版社发表（出版）了多部论著，完成或在研各类项目数十项，多项获奖。与此同时，本专业加强学术交流，积极开展外联，不断扩大本学科的学术地位和社会影响，在中国古代史、中国近代社会经济史、中国近代思想文化史、中华民国史、中国现代政治思想史、河北地方史、历史文献学、史学理论等方面均形成了自己的特色与优势。</p><p>就业前景：就业情况良好，毕业生在党政机关、文化教育、新闻出版及其它各类企事业单位能够才尽其用。</p>
