special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
41_204163,41,204163,电气工程及其自动化（中外合作办学）,四年,工学学士,本科(普通),工学,电气类,专业简介：本专业由河北工业大学电气工程及其自动化专业和芬兰LUT大学电气工程专业联合开办。河北工业大学电气工程及其自动化专业依托河北工业大学“电机与电器”国家重点学科，入选国家一流专业（2019年）。芬兰LUT大学电气工程专业获得了EUR-ACE和ASIIN国际认证，是该校优势专业。</br>专业特色：学生将在国际化氛围下，通过多元化课程掌握电力系统及其自动化、新能源发电、智能电网、电力电子技术、电工装备等领域的知识。通过学习管理和经济类课程，掌握管理营销和创新创业技能，可在国际工作环境中以专家和管理角色进行工程设计和项目开发。</br>毕业回报：除升学世界著名高校和就职国内外科研院所外，还可以在能源电力系统或先进电工装备制造等行业的国际大型企业担任设计工程师、产品研发经理、生产管理或技术销售主管等工作。
41_746,41,746,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,电气工程及其自动化专业是学校传统强势专业之一，源于1929年河北省立工业学院机电工程学系，1958年设电机专业和电器专业，2009年获评教育部高等学校特色专业，2011年入选“教育部卓越工程师培养计划”，2017年通过国家工程教育专业认证，2019年被评为国家级一流专业，2019年本专业与美国佛罗里达国际大学联合培养本科生（中美电气3+1项目），同年获批中美创新型人才国际合作培养项目。</br>专业人才培养目标：本专业坚持以习近平新时代中国特色社会主义思想为指导，落实立德树人根本任务，弘扬河北工业大学“勤慎公忠”校训精神和“工学并举”办学特色，立足京津冀协同发展和雄安新区规划建设，面向电工装备制造、能源电力等电气工程及相关领域的重大需求，培养德智体美劳全面发展、严谨务实、开拓创新、具有高度的社会责任感的专业精英和社会栋梁，为国家和区域经济社会发展提供人才支持与智力支撑。</br>本专业培养具有扎实的自然科学基础和良好的人文社会科学素养，具备较强的工程实践能力和良好的创新研发能力，系统掌握电气工程及其自动化领域的基础理论和专业知识，毕业后能够从事与电气工程领域相关的系统运行、工程设计、试验分析、研究开发和教育管理等工作的复合型高素质工程技术人才。</br>专业主要特色：依托国家一流专业、国家重点学科和国家重点实验室，以电工装备制造与电力系统运行为工程应用背景，以电器可靠性、工程电磁场、电站励磁等科研优势强化实践教学，瞄准电工新技术、智能电网、新型电机、智能电器等学科发展前沿，培养学生具备电气工程完整产业链的知识结构和创新能力，使专业知识始终与电气产业发展趋势同步。</br>专业核心课程：有电路理论基础、模拟电子技术基础、数字电子技术基础、工程电磁场、信号分析与处理、电机学、电器学、自动控制原理、单片机嵌入式系统、电力电子技术、电力系统分析、高电压技术等。</br>就业方向：学生毕业后能够在能源、电力、装备等科研院所、企事业单位、高校、机关等单位从事与电气工程相关的系统运行、自动控制、信息处理、研究开发、经济管理等工作。
41_745,41,745,生物医学工程,四年,工学学士,本科(普通),工学,生物医学工程类,本专业是河北省首批建设的生物医学工程本科专业（2001年），2003年获批生物医学工程一级学科硕士点，2018年获批生物医学工程一级学科博士点，已建成本-硕-博全方位人才培养体系，2019年获批国家级一流本科专业建设点。本专业所在单位为中国电工技术学会生物电工专业委员会主任委员单位、全国生物医学工程实践教学联盟理事单位。廿年接续奋斗，始终秉持“医工交叉融合，创新实干并重”的育才理念，精心构建“学-产-研-医”全链条式培养模式，汇聚了教育部教学指导委员会委员、国家杰青领衔的海内外高水平师资队伍，依托国家级、河北省和天津市生命科学与医学工程相关重点实验室、国际化生物医学与健康工程研究院等教学科研平台，培养服务健康中国和创新驱动发展国家重大战略的复合型人才。近年来，本专业学生连续在全国大学生生物医学工程创新设计等竞赛中荣获佳绩。生物医学工程学科2012年获批河北省重点学科。</br>培养目标</br>面向健康中国国家战略和大健康产业与社会发展需求，贯彻产出导向教育理念，培养德智体美劳全面发展的，在卫生健康、生命科学、医学技术、再生医学、医疗监管等领域的研究、开发、管理、转化等方面的高素质人才，具备利用或研发创新技术方法，发现、分析、决策或解决本领域复杂问题的能力；同时具备高度社会责任感和人文伦理精神，具有扎实的基本理论、基础知识和基本技能（“三基”教育）、突出的创新和实践能力、良好的沟通和合作能力、宽广的国际视野以及终身学习等能力。</br>专业特色</br>秉承“工学并举”办学特色和“兴工报国”办学传统，校企协同、产学研协作，国内外合作，以具体临床问题和产品开发设计为导向，通过项目实操、团队竞赛、技能培训、成果路演、创新创业讲座、医疗企业沉浸式体验等模块培养学生的学习能力、动手能力、协作能力和问题解决能力。</br>本专业学科平台高，师资力量雄厚；同时积极引进了美国布朗大学、德国美茵茨大学、清华大学、北京大学等国内外一流高校先进教学与实践资源，开展海外知名教授、企业专家授课并担任创新创业导师，提升人才培养质量。</br>就业前景</br>恰逢健康中国战略实施新时代背景，本专业就业前景愈加广阔。学生毕业后可进入科研院所、企事业单位、大专院校、医疗机构、防疫与疾控、政府专业机构等部门，从事生命科学仪器、生物医学材料、再生医学、医疗器械、医学诊断与生物检验、健康检测与传感、医学信息处理等领域的科学研究、技术研发、行业分析与监管、教育培训、决策与管理等工作，亦可进入国内外一流高校深造。近年来，优秀毕业生先后进入清华大学、北京大学、曼彻斯特大学等国内外知名高校攻读研究生。
41_791,41,791,制药工程,四年,工学学士,本科(普通),工学,化工与制药类,● 国家级一流本科专业建设点</br>● 教育部首批设置的制药工程本科专业</br>● 学位提升：推免直读本校化学工程与技术硕士、博士和双一流高校、中科院、中国医学科学院系统相关专业硕士、博士。</br>● 平台支撑：微通道连续流技术应用联合实验室和学院其它各级教学/科研平台</br>● 实践支撑：京津冀三地实践教学基地 </br>河北工业大学是教育部首批设置制药工程本科专业的34所高校之一。2019年河北工业大学制药工程专业入选首批国家级一流本科专业建设点。自1999年建立以来，河北工业大学制药工程专业为社会培养了1153名德才兼备的制药工程技术人才。</br>培养目标：立足于京津冀医药产业协同发展的国家战略，培养满足国家和地区经济、科技发展需求，具有扎实的数学和自然科学基础、系统的制药工程专业知识、较高的工程实践能力、一定的国际视野，能够在制药及相关领域，特别是化学制药方向，从事工程技术开发、工艺与工程设计、生产过程控制、生产管理以及科学研究与合作创新等工作的高素质工程技术人才。</br>本专业具有完整的本、硕、博培养体系，80%教师具有博士学位，分别毕业于天津大学、南开大学、兰州大学、沈阳药科大学等院校。教师中有河北省百名优秀创新人才2人，河北省首批“青年拔尖人才”1人，河北省杰出青年科学基金获得者1人，河北省高等学校化工制药类教学指导委员会委员1名，天津经济技术开发区安全生产监督管理局专家组成员1人，天津市生物医药技术专业高、中级技术职务任职资格评审委员会委员1名。</br>学生培养和毕业去向：本专业坚持走内涵发展道路，教学实验条件优良，工程实践特色突出，与包括石药集团、天津药业研究院有限公司、甘李药业、冀衡药业、天津药明康德新药开发有限公司、北京万全德众医药生物技术有限公司等多家企业保持长期合作，共建教学实习基地。毕业生主要就业于京津冀及部分生源省市的科研、教育、制药企业以及政府药事管理部门，近50%的毕业生攻读研究生。
41_787,41,787,电子科学与技术,四年,工学学士,本科(普通),工学,电子信息类,电子科学与技术专业两次通过中国工程教育专业认证、是河北省一流本科专业，同时入选国家级一流本科专业建设点。专业师资力量雄厚，现有国家级人才3人、省级教学名师2人、省“拔尖人才”2人、校级名师4人。专业所在学科是河北省、天津市重点学科和国家一流学科重点建设学科，具有硕士、博士学位授予权，设有电子科学与技术一级学科博士后流动站。</br>培养目标：从事微电子（含集成电路方向）、光电子、电子技术应用等相关领域的生产运行与技术管理、工程设计、技术开发、科学研究的电子信息类高素质专门人才。</br>核心课程：集成电路原理与设计、微电子器件、光电子器件与技术、嵌入式系统、单片机原理及系统设计、EDA技术综合应用、集成电路仿真与综合设计，光电技术综合实验，半导体物理与器件综合实验。</br>专业特色：紧密围绕现代电子学与信息科技的发展，以新型电子器件与光电器件、集成电路与系统、电子技术应用等为主要教学内容，培养基础理论扎实，掌握现代微电子、光电子和应用电子技术的电子信息类创新型工程技术人才、管理人才和创业人才。
41_786,41,786,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,本专业是河北省品牌特色专业，入选国家级一流本科专业建设点，2020年顺利通过国际工程教育专业认证，具有硕士学位授予权并积极申请工程博士点。旨在培养具备电子技术和信息系统的基本知识，能从事各类电子设备和信息、智能系统研究、设计、制造、应用、管理和维护、富有创新精神、实践能力的高素质工程技术人才。培养的学生具备扎实的现代电子技术理论、通晓电子系统设计原理与方法，具有较强的计算机、英语、相关工程技术综合应用能力，能在电子技术、信息通信、控制与计算机等领域从事软硬件系统的设计、制造、应用开发和技术管理的高素质专门人才。另设有人工智能实验班，面向技术前沿来订制课程内容如机器学习、机器视觉等，课程体系的设置上体现人工智能多学科交叉的相生共融，部分前沿课程由企业和学校合作，同时在培养方案上强化在一线企业里的创新实践和实习实训。本专业还设有国际留学生班，培养了一大批来自亚非拉等多个国家的留学生。
41_785,41,785,通信工程,四年,工学学士,本科(普通),工学,电子信息类,本专业是河北省品牌特色专业，以及河北省高等学校本科教育创新高地。已通过中国工程教育专业认证，为国家级一流本科专业建设点，具有硕士学位授予权。</br>专业培养目标：为适应国家和京津冀协同发展、雄安新区规划建设对人才的需求，本专业培养具有良好道德与修养、社会责任感强，拥有良好的人文素养和扎实的自然科学基础，掌握通信技术、通信网络与系统、信号与信息处理等方面专业知识，工程实践能力强，能够在通信工程及相关领域从事科学研究、工程设计、系统运行、技术开发、项目管理等工作的高素质专门人才。</br>专业核心课程：通信电子线路、信号与线性系统、数字信号处理、通信原理、信息论基础等。</br>毕业走向：本专业毕业生可继续攻读“通信与信息系统”、“电子与通信工程”、“电子科学与技术”以及其他电子信息类相关学科的硕士学位，也可以就业从事通信系统的研究、设计、制造、应用和开发等工作。可到电信、广电、电力、能源、交通、公安、国防等行业或部门从事通信系统的运行和技术管理工作。
41_743,41,743,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,河北工业大学机械设计制造及其自动化专业具有百年办学历史，入选国家“一流专业”建设试点，通过国家工程教育专业认证。美国亚利桑那大学机械工程专业通过ABET国际专业认证，在全美排名前30，毕业生薪酬排名前6。</br>双方强强联合，突出“以学生发展为中心”的办学理念，通过扎实的基础知识教学、实际研究和设计项目实践培养学生的科学素质、工程素养、独立学习意识和解决复杂工程问题及颠覆性创新问题的能力。核心课程由中美高水平教师授课。学生重点学习动力学和控制、机械设计、热科学、制造技术和材料应用的基本原理。</br>毕业生有以下升学和就业机会：</br>1）申请世界名校攻读硕士或博士学位；</br>2）同等条件下可优先录取至亚利桑那大学攻读硕士或博士学位；</br>3）成绩优秀者有机会推免国内研究生；</br>4）考取国内研究生；</br>5）就职机械工程或相关领域国际知名企业或科研院所；
41_917998,41,917998,金属材料工程,四年,工学学士,本科(普通),工学,材料类,金属材料工程专业是国家级一流专业和国家特色专业，设有国家“卓越工程师”培养计划试点。</br>专业立足京津冀、面向全国，培养的高素质专门人才具有良好的人文科学素养、深厚的自然科学基础，掌握材料科学基本理论和材料研究与测试的基本方法，掌握金属材料的制备、加工与产品质量分析等工程方面的基础知识和基本技能，具备较强工程意识、工程设计与实践能力、生产管理与组织管理能力，具有自我获取知识的能力、创新精神和国际化视野。</br>专业的核心课程有材料科学基础、物理化学、现代材料分析方法、相变原理及工艺、金属材料学等。</br>本专业能够在金属材料及复合材料的研究与开发、生产与工艺设计、质量分析与控制、安全环保与节能降耗、资源循环利用等涉及先进智能制造领域培养特色人才，学生毕业后可在先进智能制造相关企事业单位从事生产技术、质量管理、技术开发与管理等方面的工作，也能到科研院所、高等院校从事金属材料、复合材料及相关领域的工作。
41_792,41,792,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,● 国家级一流本科专业建设点 </br>● 通过国家工程教育专业认证 </br>● 国家级特色专业 </br>● 学位提升：推免直读本校和双一流高校、中科院等单位化学工程与技术及相关专业硕士、博士学位</br>● 教学资源：拥有国家级教学团队、国家级精品视频公开课程、河北省级一流课程等</br>● 平台支撑：河北省绿色化工与高效节能重点实验室、天津市本质安全化工技术重点实验室及河北省绿色化学工业产业技术研究院等</br>● 实践支撑：河北省、天津市虚拟仿真实验实践教学项目，河北工大-中国天辰实践教学基地、河北工大-河北阳煤正元实践教学基地等</br>化学工程与工艺专业是教育部首批认定的国家级一流本科专业建设点，通过了国家工程教育专业认证。本专业还是国家级特色专业、国家本科教学综合改革试点专业和河北省品牌特色专业。专业具有雄厚的师资力量，总人数25，其中教授8人、副教授15人。多名教师曾留学/访学英国、美国、德国、日本、加拿大、澳大利亚等国。本专业拥有多个省、市级教学和科研平台，具有先进的教学和科研仪器。</br>培养目标：立足京津冀、辐射全国，服务于国民经济建设和化工行业发展，培养能够在化学工业及其相关过程工业领域从事生产管理、工程设计、技术开发和科学研究等工作的高素质工程技术人才。毕业5年左右的毕业生，达到如下预期。</br>（1）具有在化工及相关领域独立从事工程实践和科学研究的专业知识和能力，并能够在社会大背景下解决复杂化学工程问题。</br>（2）具备良好的人文素质、交往能力和团队精神、创新意识，能够融入、带动或协调项目的组织实施，并有效发挥作用。</br>（3）具有国际视野、自我发展和终身学习的习惯与能力，能够主动适应职业环境的变化和发展。</br>（4）具备工程师职业规范，能够在化工、环保、医药、石化、轻工、能源等化工相关行业领域成功地开展与化学工程与工艺专业相关的工作。</br>学生培养及毕业去向：本专业注重学生素质培养，引导学生在校期间刻苦学习，德智体美劳全面提升，并充分运用所学，积极参加各类竞赛活动，每届都有多人次获国家和省部级奖。学生毕业后去向，主要有：（1）在化工、环保、医药、石化、轻工、能源、汽车、机电、冶金和军工等企业、事业单位，从事生产管理、工程设计、技术开发等工作；（2）通过保研或考研，在国内高校（含本校）、研究院继续攻读研究生，从事与化工相关的科研、教学及管理等工作；（3）出国深造或工作，在国外高校、研究院等从事科研、教学等工作。
