special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
56_1711,56,1711,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,"<p> </p>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">本专业所在学科为国家特色专业，河北省重点学科，同时还进入河北省本科教育创新高地计划。</span><span style=""font-size: 12pt; color: black"">2008</span><span style=""font-size: 12pt; color: black"">年进入河北省普通高等学校本科一批招生。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">本专业师资力量雄厚，有教授</span><span style=""font-size: 12pt; color: black"">10</span><span style=""font-size: 12pt; color: black"">人，博士</span><span style=""font-size: 12pt; color: black"">12</span><span style=""font-size: 12pt; color: black"">人，硕士生导师</span><span style=""font-size: 12pt; color: black"">4</span><span style=""font-size: 12pt; color: black"">人。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">本专业培养具备管理、经济、法律和会计学等方面的知识和能力，能在企、事业单位及政府部门从事会计实务以及教学、科研方面工作的工商管理学科高级专门人才。</span></div>
<div><span style=""font-size: 12pt; color: black"">主要课程：会计学、中级财务会计、高级财务会计、成本管理会计、审计学、财务管理、非盈利组织会计、会计模拟实验、</span><span style=""font-size: 12pt; color: black"">ERP</span><span style=""font-size: 12pt; color: black"">财会模拟沙盘、财务理论专题、国际会计、税务会计等。其中《成本管理会计》为河北省精品课。</span></div>
<p><span style=""font-size: 12pt; color: black"">
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">学院咨询电话：</span><span style=""font-size: 12pt; color: black"">0311-87326053</span></div>
</span></p>"
56_1702,56,1702,法学,四年,法学学士,本科(普通),法学,法学类,"<p> </p>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">本专业</span><span style=""font-size: 12pt; color: black"">2008</span><span style=""font-size: 12pt; color: black"">年被确定为国家特色专业建设点。法学院把素质教育作为培养学生的基本目标，以培养既掌握现代法学基本理论，又全面熟悉现代法律、法规，能适应社会主义市场经济需要的通法律、精外语、懂经济、会管理的复合型人才为基本思路，注重学生理论水平和实践能力的培养，使学生成为具有较高综合素质和发展潜力的德、智、体全面发展的法律专门人才。学生毕业后能从事立法、审判、检察、行政、律师、法律顾问等工作。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">主要课程：法理学、宪法学、中国法制史、民法学、经济法学、刑法学、民事诉讼法学、刑事诉讼法学、行政法与行政诉讼、商法学、国际经济法学、国际私法学等。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">学院咨询电话：</span><span style=""font-size: 12pt; color: black"">0311-87655560</span></div>"
56_1739,56,1739,工程管理,四年,管理学学士,本科(普通),管理学,管理科学与工程类,"<div style=""text-indent: 24pt; line-height: 19pt"">
<div style=""text-indent: 24pt; line-height: 19pt""> </div>
<b><span style=""font-size: 15pt; color: black"">工程管理</span></b></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">本专业培养德、智、体全面发展，基础扎实，知识面宽，具备管理学、经济学、土木工程技术和法律方面的基本知识，掌握现代管理科学的理论、方法和手段，能在国内外工程建设领域从事项目决策和全过程管理的复合型高级管理人才。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">主要课程：宏（微）观经济学、经济法律通论、管理学原理、会计学、统计学、财务管理、信息技术与管理、市场营销学、工程经济学、工程招投标与合同管理、工程项目管理、工程造价管理、工程概预算、工程监理、工程结构、项目论证与评估、工程咨询及国际工程管理、工程融资等。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">学院咨询电话：</span><span style=""font-size: 12pt; color: black"">0311-87655561</span></div>
<p><br />
 <br />
 </p>"
56_1706,56,1706,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"<p><span style=""font-size: 12pt; font-family: 宋体; mso-hansi-font-family: 'Times New Roman'; mso-bidi-font-family: 宋体; mso-font-kerning: 0pt; mso-ascii-font-family: 'Times New Roman'"">
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 24pt; line-height: 19pt; text-align: left; mso-char-indent-count: 2.0; mso-line-height-rule: exactly; mso-pagination: widow-orphan"" align=""left""> </p>
<div style=""text-indent: 24pt; line-height: 19pt"" align=""left""><span style=""font-size: 12pt"">本专业培养的学生能系统地掌握计算机科学与技术的基本理论、基础知识、基本技能与方法，能在教育、科研、企事业单位等部门从事计算机教学、科学研究和应用开发。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt"" align=""left""><span style=""font-size: 12pt"">主要课程：电路原理、模拟电子技术、数字电子技术、计算机原理、微型计算机技术、计算机系统结构、计算机网络、高级语言、汇编语言、数据结构、操作系统、编译原理等.</span></div>
<span style=""font-size: 12pt"">
<div style=""text-indent: 24pt; line-height: 19pt"" align=""left""><span style=""font-size: 12pt; color: black"">学院咨询电话：</span><span style=""font-size: 12pt; color: black"">0311-87657399</span></div>
</span></span></p>"
56_1754,56,1754,资产评估,四年,管理学学士,本科(普通),管理学,工商管理类,　　学科：文学 <br />　　门类：新闻传播学类 <br />　　专业名称：编辑出版学 <br /><br /> <br />　　业务培养目标：本专业培养具备系统的编辑出版理论知识与技能、宽广的文化与科学知识，能在书刊出版、新闻宣传和文化教育部门从事编辑、出版、发行的业务与管理工作以及教学科研的编辑出版学高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习编辑学、出版与发行学的基本知识，受到编辑与出版的基本技能训练，具有社会活动和科研的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握编辑与出版的基本理论与基本知识； <br />　　2．掌握市场分析、选题策划、文字加工、宣传促销的知识与方法； <br />　　3．具有较强的口头表达和文字表达能力和初步从事科学研究的能力； <br />　　4．了解我国有关编辑与出版市场营销的方针、政策、法规； <br />　　5．了解有关社会科学、人文科学、管理科学、自然科学与技术科学基本知识。 <br /><br />　　主干学科：新闻传播学 <br /><br />　　主要课程：编辑学概论、古代汉语、现代汉语、出版发行学基础、中国编辑出版史、图书学、出版美学(含装帧设计)、书业法律基础、报刊编辑学、出版现代技术等。 <br /><br />　　主要实践性教学环节：包括编辑业务实习、出版实习等，一般安排20周。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：文学学士 <br /><br /> <br />
56_1753,56,1753,商务英语,四年,文学学士,本科(普通),文学,外国语言文学类,　　专业名称：商务英语<br /><br />　　专业代码：660108<br /><br />　　专业培养目标：培养具有较强的运用英语进行商务贸易、商务谈判和企业管理的综合能力，适应现代各类经贸活动要求的高级技术应用性专门人才。<br /><br />　　专业核心能力：在商贸领域较熟练地运用英语听、说、读、译的能力，具有商务、财务与管理等方面的实际工作能力。<br /><br />　　专业核心课程与主要实践环节：外贸英语（精读、听力、口语、泛读）、剑桥商务英语、外贸应用文与函电、英美概况、国际商法、国际贸易实务、经贸英语翻译、经贸英语写作、外刊经贸知识选读、社会调查、商务英语实习等，以及各校的主要特色课程和实践环节。<br /><br />　　可设置的专业方向：商贸英语、经贸英语、外贸英语。<br /><br />　　就业面向：可在外资企业、涉外企事业单位，从事商务贸易等方面的接待服务和管理工作。<br /><br />
56_1751,56,1751,会展经济与管理,四年,管理学学士,本科(普通),管理学,旅游管理类,"本专业培养德 、智、体等方面全面发展，具有一定创新能力、实践能力和创新精神，具有高度的社会责任感和奉献精神，具有管理学、经济学、法律等方面的知识和能力，有较强的创意、策划、组织、管理与协作能力，既掌握会展设计的基本方法和技能，同时又具有现代管理知识，能在政府有关部门、大中型会展企业（包括会议公司、展览公司、展示设计公司等）、高星级饭店、以及旅游企、事业部门或奖励旅游部门从事会展活动进行设计、策划与管理的应用型高级管理人才。 <br>本专业学生主要学习会展策划与组织, 会展管理与服务, 商务会议, 沟通交流技巧, 旅游消费心理, 大型会议沙龙管理, 商务谈判等方面的基本理论和基础知识，受到会展和旅游等企业管理方法与技巧的基本训练，具有分析和解决会展与旅游企业问题的基本能力。 <br>毕业生应获得以下几个方面的知识能力：掌握经济学、管理学和现代企业管理学的基本理念、基本原理；掌握会展企业的开发、策划、营销和管理的基本知识；具有较强的语言表达和解决企业管理工作实际问题的能力；具有人际关系的沟通、协调、合作的能力和团队精神；熟悉我国的企业管理有关方针、政策和法规以及国际企业管理的惯例与规则；熟练掌握一门外语；具有计算机操作应用技能；掌握文献检索、资料查询的基本方法；具有初步的科学研究和实际工作能力。 <br>招收条件：不录取患有慢性病或呈澳抗阳性者。五官端正，男身高1.7米以上，女生高1.6米以上。 <br>学院咨询电话：0311-87656977"
56_1747,56,1747,动画,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业本着面向广电影视行业，培养德、智、体、美等全面发展，具有高度社会责任感和奉献精神，具备宽厚的学科基础，掌握动画专业的基本理论和技能，具备原画设计、场景设计及动画创作能力，能够在影视动画制作公司、影视广告制作公司、各级电视台及其他影视创作部门从事影视动画设计、动画制作的高级应用型人才。 <br>本专业具有一批知识结构和年龄结构合理、专业能力较强的师资队伍。拥有动画专业机房2个、后期制作实验室1个、动画创作工作室2个、二维制作实验室1个。实验室实行全天开放，以满足日常教学及学生进行动画创作的需要。本专业与省内外动画企业合作，能较好地满足学生校外实践性教学要求。 <br>本专业分二维动画和三维动画两个专业方向，主要学习素描、速写、色彩、动画概论、运动规律、视听语言、摄影摄像、影视编导、影视后期制作、原画与场景设计、动画造型、材质与灯光、短片制作等课程。 <br>学院咨询电话：0311-87657198
56_1749,56,1749,绘画,四年,艺术学学士,本科(普通),艺术学,美术学类,以倡导人类文化和民族艺术为凭借，坚持走多元化的道路，不以画种为界限，以兼容并蓄、一专多能的综合素质为办学方针，培养的学生能够在全国文化艺术领域内，从事艺术教育、艺术创作、艺术设计及艺术综合管理人才，立足中国、面向世界。把深入生活到创作实践和严谨扎实的基础训练结合起来，形成高质量、高水平的教学传统和良好的学术风范。在学好专业课的基础上，同时能够较好地掌握一门外语，并能熟练应用电脑工具。 <br>绘画专业自2005年创建以来，注重加强学科建设，以学生为中心，培养学生德智体美全面发展和一专多能的综合素质；本专业的基础建设优良，师资力量雄厚；现有副教授以上职称4人，具有硕士学位教师3人；绘画专业教师分别毕业、进修于中央美院、天津美院、南京艺术学院、首都师大等院校。绘画专业教师严格执教，以身作则，注重自身建设，加大科研力度，近几年来本专业教师多次参加国家级、省级、市级等美展并多人次获奖。 <br>绘画专业分油画和国画两个方向。根据教育部的教学大纲规定，科学合理设置教学课程。绘画专业理论课程包括：中国美术史、外国美术史、艺术概论、透视、解剖等；专业设置包括素描、油画、国画、创作、版画、综合材料；其中素描包括：静物、石膏像、人物、人体；油画包括：静物、人物、人体、风景写生；国画包括：人物、山水等。 <br>学院咨询电话：0311-87657198
56_1714,56,1714,物流管理,四年,管理学学士,本科(普通),管理学,物流管理与工程类,"<div style=""text-indent: 24pt; line-height: 19pt"">
<div style=""text-indent: 24pt; line-height: 19pt""> </div>
<b><span style=""font-size: 15pt; color: black"">物流管理</span></b></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">本专业培养德、智、体全面发展，具有一定创新能力、实践能力和创业精神，具有高度社会责任感，适应社会主义市场经济发展要求，具备现代物流及相关学科基本理论和实际运作能力，能在各类型工商企业、物流企业、经济管理部门从事物流管理以及本专业教学、科研工作的中、高级专门人才。</span></div>
<div style=""text-indent: 24pt; line-height: 19pt""><span style=""font-size: 12pt; color: black"">主要课程：宏（微）观经济学、经济法律通论、管理学原理、会计学、统计学、财务管理、信息技术与管理、市场营销学、商品学、企业物流原理、配送管理、物流信息管理、供应链管理、运输管理、仓储管理、物流系统分析、物流成本管理、电子商务等。</span></div>
<div>
<div style=""text-indent: 24pt; line-height: 19pt""> </div>
<span style=""font-size: 12pt; color: black"">学院咨询电话：</span><span style=""font-size: 12pt; color: black"">0311-87655561</span></div>
<p><br />
<br />
 </p>"
