special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
116_5554,116,5554,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>国 家 级 特 色 专 业 ， 国 家 “ 卓 越 工 程 师 教 育 培养计划”专业，江苏省首批品牌专业，江苏省 “十二五”重点建设专业。  分建筑工程、地下工 程 、 桥 梁 工 程 、 隧 道 与 城 市 轨 道 工 程 四 个 专 业 方向培养。  设有土木工程博士后流动站，拥有 土 木 工 程 一 级 学 科 博 士 学 位 授 予 权 ，   岩 土 工 程、结构工程、防灾减灾与防护工程、桥梁与隧 道工程等四个二级学科博士学位授予权。  毕业 生可在房屋建筑、地下工程、桥梁工程、隧道与 城 市 轨 道 工 程 等 土 木 工 程 领 域 从 事 设 计 、 施 工 、 管 理 、 投 资 、 房 地 产 开 发 工 作 ， 或 在 科 研 和 教育等部门从事技术、管理工作</p>
116_5550,116,5550,海洋科学,四年,理学学士,本科(普通),理学,海洋科学类,<p>江苏省“十二五”重点建设专业。 源于 1957 年创办的海洋工程水文专业，拥有物理海洋学 硕士、  博士点，2012 年教育部一级学科评估中 全国排名第七。  培养具有物理海洋及海洋工程 水文专长的高级研究与技术人才。  毕业生可在 海洋管理部门、交通、水利等行业设计院、施工 局、沿海各省交通、水利、海岸工程及相近行业 从事规划、勘测、设计、研究、施工和管理等。</p>
116_5557,116,5557,交通工程,四年,工学学士,本科(普通),工学,交通运输类,<p>江苏省“十二五”重点建设专业。  培养具备 交通规划、交通控制与管理、物流规划与管理、交 通设计与交通土建等方面知识的高级专业人才。 分道路工程、交通工程管理两个专业方向进行培 养。  毕业生主要面向交通部门从事交通规划设 计、交通管理、教学科研工作；也可以在公路、航 运、市政等部门从事设计、施工及管理工作。</p>
116_5571,116,5571,水利水电工程,四年,工学学士,本科(普通),工学,水利类,<p>首批国家级特色专业。  创建于 1915 年，是 我国同类专业中建立最早、培养学生最多的专 业。  涵盖水利水电枢纽及河道整治的勘测、规 划、设计、施工、监理、运行及管理等领域，并向 水利水电工程建设监理、安全管理等方向拓展。 多年来就业供需比在 1:6 以上。毕业生主要就业 去向为国家及各省级设计院、水利行政、管理部 门、各流域水电开发公司和水电投资公司</p>
116_5542,116,5542,水文与水资源工程,四年,工学学士,本科(普通),工学,水利类,<p>国 家 级 特 色 专 业 ， 江 苏 省 品 牌 专 业 ，通 过 全国首批水文与水资源工程专业认证。  创立于 1952 年，培养掌握水文水资源、水环境和水生态 专业基础理论和基本技能的高级专门人才。  学生 毕业后能在水利、水务、能源、交通、城建、农林、环 保、国土资源、教育等部门从事与水文、水资源、水 环境和水生态有关的勘测评价、规划设计、预测 预报与管理、教学与科学研究等工作</p>
116_5566,116,5566,港口航道与海岸工程,四年,工学学士,本科(普通),工学,水利类,<p>国家级特色专业，江苏省品牌专业。  由两 院院士严岂教授于 1952 年创建，  是我国同类 专业中建设最早、  培养学生最多的专业之一， 学科实力全国领先。  培养具有 口、航道及海 岸工程方面规划设计、研究开发和施工管理能 力的高级专门人才。  就业面向全国交通、水利 等 行 业 各 大 设 计 院 、 科 研 所 、 工 程 施 工 及 管 理 单位、高等学校等，主要集中在沿海发达省市， 平均一次就业率高达 98.5%。</p>
116_5561,116,5561,环境工程,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>国 家 级 特 色 专 业 。   培 养 具 备 城 市 和 城 镇 水、气、固体废弃物污染防治、水污染控制规划 以 及 水 资 源 保 护 等 方 面 知 识 和 技 能 的 高 级 技 术人才。  毕业后能在政府部门、规划部门、经济 管 理 部 门 、 环 保 部 门 、 水 利 部 门 、 市 政 部 门 、 城 建 部 门 、 设 计 单 位 、 科 研 单 位 、 高 等 院 校 、 工 矿 企业等从事环境规划、设计、施工、管理和研究 开发工作。</p>
116_5560,116,5560,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,<p>国家级特色专业。  培养系统掌握计算机硬 件 、 软 件 与 应 用 的 基 本 理 论 、 方 法 和 技 能 的 高 级专门科学技术人才。  毕业生可在科研部门、 教 育 单 位 、 企 事 业 单 位 、 技 术 和 行 政 管 理 部 门 等从事计算机教学、科学研究和应用等岗位的 工作。  近三年来就业率达 98%以上</p>
116_5564,116,5564,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>国 家 级 特 色 专 业 。   培 养 具 备 电 力 系 统 运 行、电力电子技术、电机与电器、自动化控制等 专业知识和技能的高级工程技术人才。  毕业生 可在电力公司、发电公司、电力和水利设计院、 研 究 所 以 及 其 他 领 域 从 事 电 气 工 程 及 其 自 动 化方面的研究、工程设计、运行管理、科技开发 及教学工作。</p>
116_5537,116,5537,法语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>培养具有扎实的法语语言基础、熟练的法 语语言技能、掌握第二外语（英语）基础知识和 技 能 、 具 备 较 高 的 法 语 文 学 鉴 赏 、 写 作 与 翻 译 能力的高级专门人才。  毕业生能在法语语言文 学 、 翻 译 和 文 化 等 领 域 从 事 学 术 研 究 ， 也 可 从 事涉外工程、商务活动等翻译工作。  就业部门 包括各类学校、政府部门、外贸、金融、海关、中 外企业等单位</p>
116_5540,116,5540,环境生态工程,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>培养具有扎实的生态学、环境科学和工程 设计等方面基础知识，掌握环境工程治理专业 技能，具备解决复杂环境生态工程问题能力的 高级专门人才。  毕业后能从事流域、区域生态 环 境 监 测 与 评 价 、 环 境 生 态 规 划 与 管 理 、 生 态 修复工程设计与建设管理的实践</p>
116_5546,116,5546,水务工程,四年,工学学士,本科(普通),工学,水利类,<p>培养掌握城市水务工程的规划与设计、水 资 源 开 发 利 用 、 水 环 境 保 护 、 水 务 管 理 等 方 面 的专业基础知识与技能的高级技术人才。  学生 毕 业 后 可 在 水 务 、 水 利 、 市 政 、 环 境 、 交 通 等 有 关 部 门 从 事 涉 水 工 程 规 划 、 设 计 、 施 工 、 管 理 、 教学与科学研究等工作。</p>
116_5575,116,5575,自然地理与资源环境,四年,理学学士,本科(普通),理学,地理科学类,<p>培 养 掌 握 自 然 地 理 、 水 资 源 、 水 环 境 与 水 生态理论基础的高级专门人才，特别突出水资 源保护、水环境监测、水生态修复等专业特色。 学 生 毕 业 后 可 在 水 利 、 水 务 、 环 保 、 国 土 资 源 、 能 源 、 交 通 、 城 建 、 农 林 、 教 育 等 部 门 从 事 与 水 资 源 、 水 环 境 、 水 生 态 及 城 乡 规 划 管 理 等 有 关 的 勘 测 、 评 价 、 规 划 、 设 计 、 施 工 、 管 理 、 教 学 与 科学研究等工作。</p>
116_5568,116,5568,农业水利工程,四年,工学学士,本科(普通),工学,农业工程类,<p>国家级特色专业。  依托河海大学水利、岩 土、力学等国家重点学科，培养从事农田水利、 水 土 保 持 、 设 施 农 业 工 程 的 勘 测 、 规 划 、 设 计 、 施工、  管理和科学研究的高级工程技术人才。 学 生 毕 业 后 主 要 在 水 利 、 水 电 、 水 保 、 农 业 、 国 土 等 部 门 从 事 工 程 勘 测 、 规 划 、 设 计 、 施 工 、 管 理和科学研究工作</p>
116_5562,116,5562,环境科学,四年,工学学士,本科(普通),工学,环境科学与工程类,<p>水环境科学特色优势专业。  培养具有环境 科学理论基础与实践技能，掌握环境监测与环 境质量评价、环境规划与管理、环境影响评价、 环 境 模 拟 与 预 测 等 基 本 能 力 的 环 境 科 学 类 高 级专门人才。  毕业后能在科研机构、高等院校、 规 划 部 门 、 经 济 管 理 部 门 、 环 保 部 门 、 水 利 部 门 、 市 政 部 门 、 城 建 部 门 、 设 计 单 位 、 企 事 业 单 位 等 从 事 科 研 、 教 学 、 环 境 保 护 和 环 境 管 理 等 方面的工作。</p>
116_5563,116,5563,给排水科学与工程,四年,工学学士,本科(普通),工学,土木类,<p>江 苏 省 品 牌 专 业 。   培 养 具 有 城 市 给 水 工 程、排水工程、建筑给水排水工程、工业给水排 水 工 程 等 方 面 基 本 理 论 和 专 业 知 识 的 市 政 工 程高级技术人才。  毕业后能在政府部门、规划 部 门 、 经 济 管 理 部 门 、 水 利 部 门 、 市 政 部 门 、 城 建 部 门 、 设 计 单 位 、 科 研 单 位 、 高 等 院 校 、 工 矿 企业等从事给排水工程规划、设计、施工、管理 和研究开发方面的工作。</p>
116_5565,116,5565,自动化,四年,工学学士,本科(普通),工学,自动化类,<p>江苏省品牌专业，“卓越工程师教育培养计 划”专业。  培养具备自动化控制技术、电力电子 技术、检测技术、电子技术、信息处理等现代技 术，能够进行控制系统分析、设计及管理运行的 高级工程技术人才。  毕业生可在电力系统、水 利、能源、交通等部门从事自动化系统的研究、 工程设计、运行管理、科技开发及教学工作</p>
116_5558,116,5558,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,<p>国家级特色专业。  培养能源动力工程及其 自动化领域的高级工程技术人才。  毕业后在水 利水电、流体机械、电力、动力工程等相关设计 院、发电厂、制造厂和研究机构从事工程设计、 科研、教学、设备制造、安装检修、运行管理、技 术开发等方面的工作，其中以各流域水电开发 公司、水电厂、抽水蓄能电站为主要就业单位</p>
116_5559,116,5559,新能源科学与工程,四年,工学学士,本科(普通),工学,能源动力类,<p>国家级特色专业。  培养新能源领域的高级 工程技术人才。  毕业生可在太阳能发电、风力 发 电 、 水 利 水 电 、 其 他 电 力 和 动 力 工 程 等 相 关 发电厂、设计院、制造厂、施工单位和教学研究 机 构 从 事 工 程 设 计 、 科 研 、 教 学 、 设 备 制 造 、 安 装检修、运行管理、技术开发等方面的工作</p>
116_5555,116,5555,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>国家级特色专业，江苏省品牌专业。  培养 具备通信技术、通信系统和通信网等方面的知 识的高级专门人才。  毕业生主要在通信与电子 领域中从事研究、设计、制造、运营及在国民经 济各部门和国防工业中从事开发、应用通信技 术 与 设 备 或 在 教 学 、 科 研 部 门 从 事 教 学 、 科 研 工作。  近三年来就业率达 98%以上。</p>
116_5556,116,5556,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>培 养 具 备 信 息 采 集 、 处 理 、 控 制 与 传 输 的 基础知识，掌握电子信息系统和计算机科学的 核心技术的高级工程技术人才。  毕业生在需要 电子信息化建设的各个行业，如电力、金融、水 利、国防教育、电子信息设备制造商以及电子信 息服务商（如电信、移动、联通）从事电子工程、 信息工程、通讯工程、计算机应用技术、 多 媒 体 应 用 技 术 等 方 面 的 设 计 、 运 行 管 理 、 科 研 开 发 及教学工作。  近三年来就业率达 98%以上。</p>
116_5551,116,5551,工程力学,四年,工学学士,本科(普通),工学,力学类,<p>国家级特色专业，江苏省品牌专业。  结合 河 海 大 学 特 色 ， 分 水 利 和 土 木 两 个 方 向 ， 培 养 具备扎实的力学基础知识、  数值计算和实验能 力，能够在水利、土木等领域从事有关核心工程 力学问题的分析、计算、试验和研究的高级专门 人才。 近几年本科学生有近 50%可保送、考取硕 士研究生。 本科毕业生能够胜任水利、土木等行 业的设计、施工、技术开发、业务管理以及教学 工作。  近年来就业率保持在 98%以上。</p>
116_5552,116,5552,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,<p>河海大学品牌专业。  分土木工程材料和金 属材料两个专业方向，  培养掌握材料科学、材 料工程方面基础知识，具备材料生产工艺与技 术 开 发 、 产 品 质 量 检 测 与 检 验 、 材 料 生 产 技 术 管理与经营等技能的高级工程技术人才。  毕业 生 可 在 水 利 、 土 木 、 机 械 、 交 通 、 国 防 等 领 域 从 事 材 料 科 学 研 究 、 材 料 合 成 与 加 工 、 材 料 成 型 与 热 处 理 、 技 术 开 发 、 质 量 检 验 、 施 工 监 理 、 经 营销售及相关教学等工作。  近年来升学率保持 在 40%以上，就业率保持在 98%以上</p>
