special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
71_2644,71,2644,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,"<p>材料科学与工程是济南大学历史最长的专业之一,本专业为国家级特色专业，国家“卓越工程师教育培养计划”试点专业，培养具有无机非金属材料等领域的科学技术知识，能在材料组成设计、制备、加工、成型、性能及工程应用等领域，从事科学研究、教学、技术开发、工艺和工程设计、技术改造及经营管理等方面的工作，具有良好业务素质并富有创新精神的材料研究与工程技术人才。授予工学学士学位。</p>
<p>主要课程：大学英语、高等数学、C语言程序设计、无机材料科学基础、粉体工程与设备、现代材料测试技术、材料工艺性能与实验、物理化学、无机非金属材料工艺学、流体力学与设备、硅酸盐工业热工基础、无机非金属材料工厂工艺设计概论。</p>"
71_2652,71,2652,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"<p>本专业培养具有良好科学素养、系统掌握计算机科学理论与计算机信息技术，熟练掌握计算机软件、硬件与应用的基本理论、基本知识和基本技能与方法，能够在科研部门、教学单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的高级专门人才，授予工学学士学位。卓越工程师教育培养计划是计算机科学与技术专业的一个特色培养方向。</p>
<p>主要课程：程序设计基础，离散数学，数据结构，电路与电子技术，数字电路与数字逻辑，计算机组成原理，数据库，计算机网络，操作系统，计算机体系结构，软件工程，人工智能，编译原理，嵌入式系统，面向对象程序设计，Web系统设计，Java程序设计等。</p>
"
71_2671,71,2671,药学,四年,理学学士,本科(普通),医学,药学类,"<p>本专业始建于2009年，同年正式招生本科生，毕业授予理学学士学位。本专业培养掌握药学学科知识体系，具备一定实验操作技能，能在药品研发、生产、经营使用等领域从事药物制剂、药品检验、临床用药、有关科学管理等方面工作的高级复合型专门人才。药学专业以药物所依托，专业基础课、专业课教学主要由药物所科研人员承担。</p>
<p>主要课程：有机化学、生物化学、药物化学、天然药物化学、药理学、药物毒理学、药剂学、药物分析、临床医学概论、病理生理学、人体生理解剖学、药事管理学、波谱分析。</p>
"
71_2669,71,2669,生物技术,四年,理学学士,本科(普通),理学,生物科学类,"<p>本专业成立于1995年，2002年开始招收本科生，专业拥有成熟的培养模式，毕业授予理学学士学位。培养掌握生物科学理论体系；能在科研机构和高等院校从事科学研究、教学工作，或在工业、医药、食品、农、林、牧、渔、环保、园林等行业的企业、事业和行政管理部门，从事与生物技术和生物科学有关的科学研究、技术开发、技术推广、生产管理和行政管理等工作的应用型、复合型高级专门人才。专业课教学主体上由山东省医学科学院所属山东省医药生物技术研究中心的科研人员承担。</p>
<p>主要课程：普通生物学、生物化学、微生物学、细胞生物学、分子生物学、遗传学、酶及酶工程、基因工程原理及技术、微生物与发酵工程、生物产品分离分析技术。</p>
"
71_2662,71,2662,烹饪与营养教育,四年,工学学士,本科(普通),工学,食品科学与工程类,"<p>经审核符合学位授予资格的授予工学学位。烹饪与营养教育专业培养适应社会发展需要的，德、智、体全面发展，基础扎实、实践能力强，具有创新精神的高素质应用型（复合型）人才。毕业后可胜任餐饮设计与技术开发、餐饮产品质量与安全管理、营养与保健指导、职业学校教师以及星级酒店的管理等工作。</p>
<p>主要课程：普通化学、生物化学、微生物学、食品化学、营养学、食品安全与卫生、食品感官分析、药膳食疗学、食品质量与安全管理、公共营养学、烹饪工艺学、餐饮策划与设计等。</p>
<p>注：本专业要求考生无从事食品行业所限制的传染性疾病和其它疾病。</p>
"
71_2628,71,2628,旅游管理,四年,管理学学士,本科(普通),管理学,旅游管理类,"<p>经审核符合学位授予资格的授予管理学学士。本专业培养德、智、体、美全面发展，具备人文素质与科学素养，基础扎实、实践能力强、具有创新精神和国际化视野的高级应用型专门人才。毕业生可胜任各级旅游行政管理部门和旅游企事业单位从事旅游经济管理和企业管理等工作。</p>
<p>主要课程：管理学原理、市场营销学、西方经济学、人力资源管理、旅游心理学、旅游经济学、旅游学概论、旅游资源学、旅游法规、战略管理、财务管理、旅行社管理实务、酒店管理实务、旅游景区管理、旅游文化学等。</p>
<p>注：本专业要求考生无从事本行业所限制的传染性疾病和其它疾病。</p>
"
71_2663,71,2663,金融学,四年,经济学学士,本科(普通),经济学,金融学类,"<p>本专业包括金融与风险管理、投资与理财两个专业方向，以及金融、投资与风险管理中英合作培养金融学专业，培养具备人文素质与科学素养，基础扎实、实践能力强、具有创新精神的高素质应用型专门人才。毕业生具有现代金融经济理论、信息技术及数理知识，能够开发、设计、综合运用新的金融产品、金融工具和手段，解决金融实务问题，开展金融风险管理，具备一定的财务管理、金融证券投资分析、个人及家庭综合理财规划等方面的操作能力。授予经济学学士学位。</p>
<p>主要课程：宏观经济学、微观经济学、计量经济学、金融学、国际金融、金融市场学、财政与税收、会计学、保险学、国际经济学（双语）、商业银行经营学、公司金融（双语）、个人理财、证券投资学、金融机构风险管理、财务报表分析、金融工程等。</p>
"
71_2617,71,2617,经济学,四年,经济学学士,本科(普通),经济学,经济学类,"<p>本专业培养具备人文素质与科学素养，基础扎实、实践能力强、具有创新精神的高级复合型经济学专门人才。熟悉现代经济理论，熟练掌握现代经济学分析方法，知识面较宽，具有向经济学、管理学相关领域扩展的能力，能在综合经济管理部门、政策研究部门，科研机构、金融机构、教育部门和国内外企业从事经济分析、预测、规划、管理、具体业务和教育等工作。授予经济学学士学位。</p>
<p>主要课程：政治经济学、宏观经济学、微观经济学、金融学、管理学、会计学、计量经济学、商法、国际经济学（双语）、经济学说史、公共经济学、发展经济学、制度经济学、区域经济学、产业经济学、物流学、劳动经济学、市场营销、国际金融、国际贸易等。</p>
"
71_2595,71,2595,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>本专业包括会计、审计等多个专业发展方向，培养具有强烈社会责任感，具备可持续发展能力和创新精神，能在各类企事业单位、会计师事务所、政府机关及有关部门从事会计管理、审计实务、财务管理等实际工作以及教学和科学研究工作的应用型专门人才。授予管理学学士学位。</p>
<p>主要课程：管理学、微观经济学、金融学、统计学、经济法、税法、基础会计、财务会计学、成本会计学、管理会计学、高级会计学、审计学、财务管理学、财务分析、会计信息系统、公司战略与风险管理等。</p>
"
71_2668,71,2668,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>本专业包括工商企业管理、人力资源管理等发展方向，培养具有强烈社会责任感,具备管理、经济、法律及企业管理方面的知识和能力，能在企事业单位及政府部门从事管理以及教学、科研方面工作的应用型专门人才。授予管理学学士学位。</p>
<p>主要课程：管理学、微观经济学、宏观经济学、管理信息系统、统计学、运筹学、会计学、财务管理、市场营销学、经济法、企业运营管理、人力资源管理、企业战略管理、组织行为学、技术经济学、国际商务、公共关系、证券投资与期货交易、质量管理等课程。</p>
"
71_2594,71,2594,信息管理与信息系统,四年,管理学学士,本科(普通),管理学,管理科学与工程类,"<p>本专业包括信息系统设计与开发、信息管理等专业发展方向，培养具有强烈社会责任感，既具有现代经济学、管理学和计算机科学的基本理论，又具有扎实的管理信息系统开发与应用能力，能在国家各级管理部门、工商企业、金融机构、教育或科研单位从事信息管理以及信息系统分析与设计，实施、维护和评价等方面工作的应用型专门人才。授予管理学学士学位。</p>
<p>主要课程:管理学、会计学、宏观经济学、微观经济学、市场营销学、生产与运作管理、概率论与数理统计、运筹学、信息管理学、程序设计、数据结构、数据库原理、计算机组成原理、操作系统、计算机网络技术、管理信息系统、网站设计技术、信息系统分析与设计、信息存储与检索、信息组织、信息经济学、信息分析与预测、决策支持系统、电子商务等。</p>
"
