special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
114_5369,114,5369,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,培养具有宽广的文化与科学知识、开阔的文化历史视野、敏锐的观察和思考能力，能够系统掌握新闻学和传播理论知识，掌握国内、国际新闻与传播的规则和技巧，具备扎实的新闻采访和文字写作、图像摄制以及新闻编辑等专业机能的高级新闻传播人才。 <br>    本专业属于浙江大学与浙江日报、浙江广播电视厅、浙江省新闻出版局、新华社浙江分社等数十家新闻媒体联合办学专业，这数十家新闻媒体就是本专业学生的毕业实习基地。国内外的新闻传播著名学者和著名记者、编辑将给本专业学生讲授当今世界新闻传播的理论和实践。学生可以在全开放的图片摄影室、影像工作室、电视节目编播室、多媒体工作室独立制作自己的各种新闻作品。同时，学生兼任学校报纸、电视台、广播台、杂志、网站的记者、编辑、主持人。毕业生可到各大众传播媒介(通讯社、报刊、广播、电视、网络传播机构)从事专业和管理工作，也可以到新闻出版管理机构、宣传部门从事新闻宣传的管理与监督工作。 <br>    主干课程：新闻学概论、传播学概论、中外新闻史、新闻采访与写作、新闻编辑与评论、新闻摄影、新闻道德与法规、广播电视学、专业采访报道、中外名家名作研究、媒介经营管理。 <br>
114_5415,114,5415,临床医学,五年,医学学士,本科(普通),医学,临床医学类,　　学科：医学 <br />　　门类：临床医学与医学技术类 <br />　　专业名称：临床医学 <br /><br /> <br />　　业务培养目标：本专业培养具备基础医学、临床医学的基本理论和医疗预防的基本技能；能在医疗卫生单位、医学科研等部门从事医疗及预防、医学科研等方面工作的医学高级专门人才。<br /><br />　　业务培养要求：本专业学生主要学习医学方面的基础理论和基本知识，受到人类疾病的诊断、治疗、预防方面的基本训练．具有对人类疾病的病因、发病机制作出分类鉴别的能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力：<br />　　1．掌握基础医学中临床医学的基本理论、基本知识； <br />　　2．掌握常见病名发病诊断处理的临床基本技能；<br />　　3．具有对急、难、重症的初步处理能力；<br />　　4．熟悉国家卫生工作方针、政策和法规；<br />　　5．掌握医学文献检索、资料调查的基本方法，具有一定的科学研究和实际工作能力。<br /><br />　　主干学科：基础医学、临床医学。<br /><br />　　主要课程：人体解剖学、组织胚胎学、生理学、生物化学、药理学、病理学、预防医学、免疫学、诊断学、内科学、外科学、妇产科学、儿科学、中医学。<br /><br />　　主要实践性教学环节：毕业实习安排一般不少于48周。<br /><br />　　修业年限：五年<br /><br />　　授予学位：医学学士  <br /><br /> <br />
114_5448,114,5448,农林经济管理,四年,管理学学士,本科(普通),管理学,农业经济管理类,　　学科：管理学 <br />　　门类：农业经济管理类 <br />　　专业名称：农林经济管理 <br /><br /> <br />　　业务培养目标：本专业培养具备系统的管理科学和经济科学的基础理论和相关的农(林)业科学基础知识．掌握农(林)业经济管理的基本方法和技能，能在各类农(林)业企业、教育科研单位和各级政府部门从事经营管理、市场营销、金融财会、政策研究等方面工作的高级专门人才。 <br /><br />　　业务培养要求：本专业学生主要学习管理科学和经济科学的基本理论和相关的农(林)业科学基本知识，受到调查、策划、技术经济分析、计算机应用等方面的基本训练，掌握企业经营管理、市场营销、政策研究等方面的基本能力。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握管理科学和经济科学的基本理论、基本知识，具有相关的农(林)业科学知识和较宽广的人文、社会科学知识； 2．掌握企业经营管理、技术经济分析、经济核算、社会调查等基本方法； <br />　　3．具有独立获取知识、计算机应用和信息处理、较好的语言和文字表达、组织协调、分析和解决实际问题等方面的基本能力； <br />　　4．熟悉国家有关方针、政策和法规； <br />　　5．了解农(林)业经济科学的理论前沿和农(林)业企业经营管理的发展动态； <br />　　6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。 <br /><br />　　主干学科：农林经济管理、经济学 <br /><br />　　主要课程：经济学、农(林)业经济学、管理学原理、农(林)业企业经营管理学、农(林)业技术经济学、农(林)产品营销学、农(林)业政策学、农(林)业概论。 <br /><br />　　主要实践性教学环节：包括教学实习、生产实习、生产劳动、社会实践等，一般安排20周左右。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：管理学或农学学士  <br /><br /> <br />
114_5380,114,5380,环境科学,四年,工学学士,本科(普通),工学,环境科学与工程类,是文、理、工交叉与综合的朝阳专业。培养具有良好环保意识与素养，掌握一定环境学科基础理论知识，具备基本的调查、评价、分析环境问题、环境规划管理决策、优化设计环境污染控制方案等能力的国家需求的复合型环保人才。 <br>    现有环境科学与工程博士后流动站、环境科学博士点、硕士点，在2003年教育部学位与研究生教育评估中名列全国第一。《环境化学》于2004年列为国家级精品课程。污染控制化学、环境污染化学等研究方向在国内具有重要地位和影响；污染控制新材料新技术原理、土壤有机污染的化学与生物修复等研究达到国际先进水平。毕业生可到环保研究机构、认证、咨询机构、大中型企事业、政府部门等单位工作。优秀毕业生可免试攻读研究生或硕博联读研究生。随着国际社会和我国政府对环境问题越来越重视，各类有关环境的规范法规日趋严格，本专业毕业生的就业领域、地域范围也正在不断拓展。 <br>    主干课程：环境化学、环境监测、环境影响评价、环境物理学、环境地学、环境毒理学、环境法学、环境管理学、环境污染修复、水污染控制工程、大气污染控制工程等。
114_5435,114,5435,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,    中文系是一个传统老系，教学科研力量雄厚。经过几代学者的努力，已形成了自己明显的优势和特色，在国内外享有很高的声誉。中国古代文学学科夏承焘教授的词学研究、王焕镳教授的先秦诸子研究、胡士莹教授的话本小说研究在海内外素负盛名；汉语史学科?
114_5374,114,5374,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,本专业培养基础扎实、心理健康、学习自主，富有创新精神和创新能力、具有杰出数学才能和优秀综合素质的研究人才。培养学生掌握数学科学的基本理论与基本方法，具有运用数学知识，使用计算机解决实际问题的能力，接受科学研究的训练。本专业配有国内外一流的师资力量进行教学和管理。优秀的毕业生将被保送到国内外著名高校或研究单位攻读研究生继续深造。 <br>    主干课程：数学分析，高等代数，几何学，常微分方程，实变函数，概率论，科学计算，抽象代数，微分几何，数学规划，复分析，点集拓扑，泛函分析，偏微分方程、数论、组合数学。 <br>
114_5432,114,5432,生物科学,四年,理学学士,本科(普通),理学,生物科学类,生物科学是21世纪最有发展和影响力的前沿科学之一。本专业致力培养具有坚实生物科学基础知识和基础理论及研究技能的，能够成为21世纪生命科学基础研究和教学事业主力和带头人的一流创新型人才。 <br>    本专业为四年制理学本科，实行学分制管理。对优秀学生将采用学士-硕士-博士一贯制的培养体制。学生从二年级结束后即可进入教授的研究实验室接受系统的科研训练。约70%毕业生继续攻读研究生和出国深造（其中40-50%的优秀学生具免试资格），其余毕业生在各有关研究所、院校与政府机关，环境、卫生、防疫、医药、专利等部门及高新技术企业就职。 <br>    主干课程：植物学及实验、动物学及实验、微生物学及实验、生态学及实验、生物化学及实验、细胞生物学及实验、植物生理学及实验、遗传学及实验、分子生物学、发育生物学、生物统计与实验设计、细胞与分子生物学实验技术以及生物科学研究技术等。 <br>
114_5452,114,5452,教育学,四年,教育学学士,本科(普通),教育学,教育学类,　　学科：教育学 <br />　　门类：教育学类 <br />　　专业名称：教育学 <br /> <br />　　业务培养目标：本专业培养具有良好思想道德品质、较高教育理论素养和较强教育实际工作能力的中、高等师范院校师资、中小学校教育科研人员、教育科学研究单位研究人员、各级教育行政管理人员和其他教育工作者。<br /><br />　　业务培养要求：本专业学生主要学习教育科学的基本理论和基本知识，受到教育科学研究的基本训练，掌握从事教师工作的基本技能。 <br /><br />　　毕业生应获得以下几方面的知识和能力： <br />　　1．掌握教育学科的基本理论和基本知识 <br />　　2．掌握教育科学研究的基本方法； <br />　　3．具有从事教育专业教学和其它一两门中小学学科教学工作的能力； <br />　　4．熟悉我国的教育方针、政策和法规； <br />　　5．了解教育科学的理论前沿、教育改革的实际状况和发展趋势； <br />　　6．掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。 <br /><br />　　主干学科：教育学、心理学<br /><br />　　主要课程：普通心理学、教育心理学、中国教育史、外国教育史、教育通论、教学论、德育原理、教育社会学、教育统计测量评价、教育哲学、中小学语文或数学教学法等。 <br /><br />　　主要实践性教学环节：教育见习、实习、社会调查、教育调查等，一般安排时间总数不少于20周。<br /><br />　　修业年限：四年 <br /><br />　　授予学位：教育学学士 <br /><br /> <br />
114_5447,114,5447,劳动与社会保障,四年,管理学学士,本科(普通),管理学,公共管理类,<p>学科：管理学 <br/>门类：公共管理类 <br/>专业名称：劳动与社会保障 <br/><br/>专业培养目标：本专业培养具备比较扎实的管理学与经济学专业知识，掌握现代管理技术与方法，能在政府部门、政策研究部门、大中型企事业单位从事劳动与社会保障工作的高级专门人才。 <br/><br/>业务培养要求：本专业要求学生系统掌握管理学、经济学、社会学等相关专业的基础知识，了解国内外劳动与社会保障理论及实践的历史和现状，具备运用现代技术手段进行调查分析和实际操作的能力，具备较强的书面和口头表达能力，熟练掌握一门外语。&nbsp;</p><p><br/>毕业生应获得以下几方面的知识和能力： <br/>1．掌握管理学、经济学的基本理论和方法； <br/>2．掌握现代管理和计算机应用技能； <br/>3．了解中外劳动与社会保障领域的理论与实践进展； <br/>4．熟悉党和国家有关的方针政策和法规； <br/>5．掌握中外经济学文献检索、资料查询的基本方法，具有一定的经济研究和实际工作能力。 <br/><br/>主干学科：管理学、经济学、社会学 <br/><br/>主要课程：管理学原理、西方经济学、人口学、社会学、财政学、保险学、统计学、计量经济学、社会调查研究方法、行政学和行政法、货币银行学、人力资源管理等。 <br/><br/>修业年限：四年 <br/><br/>授予学位：管理学学士<br/><br/></p>
114_5444,114,5444,哲学,四年,哲学学士,本科(普通),哲学,哲学类,<p>学科：哲学 <br/>门类：哲学类 <br/>专业名称：哲学 <br/> <br/>业务培养目标：本专业培养具有一定马克思主义哲学理论素养和系统的专业基础知识，有进一步培养潜质的哲学专门人才，以及能在国家机关、文教事业、新闻出版、企业等部门从事实际工作的应用型、复合型高级专门人才。 <br/><br/>业务培养要求：本专业学生主要学习马克思主义的基本理论与历史，以及社会科学、自然科学和思维科学的基础知识，受到中西方哲学的基本理论和发展线索的系统教育，以及创造性思维的培养和业务能力的训练。 <br/><br/>毕业生应获得以下几方面的知识和能力： <br/>1.比较系统地掌握马克思主义哲学、中国哲学和西方哲学的理论和历史；<br/>2.具有一定的社会科学、人文科学、自然科学、思维科学的相关知识； <br/>3.掌握哲学学科的基本研究方法、治学方法和相应的社会调查能力；<br/>4.了解国内外哲学界最重要的理论前沿和发展动态；<br/>5.了解国内外最重大的实践问题和发展动态； <br/>6.具有分析和解决社会现实问题的初步能力。 <br/><br/>主干学科：哲学<br/><br/>主要课程:哲学概论、马克思主义哲学原理、中国哲学史、西方哲学史、科学技术哲学、伦理学、宗教学、美学、逻辑学、心理学、中外哲学原著导读等。 <br/><br/>主要实践性教学环节：包括社会实习、社会调查、社会公益活动等，一般安排10周左右。 <br/><br/>修业年限：四年<br/><br/>授予学位：哲学学士 <br/><br/><br/><br/> <br/></p>
