special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
58_1827,58,1827,体育教育,四年,教育学学士,本科(普通),教育学,体育学类,"<p><span style=""color: rgb(102, 102, 102); font-family: Helvetica, &quot;Hiragino Sans GB&quot;, &quot;Microsoft Yahei&quot;, 微软雅黑, Arial, sans-serif; font-size: 14px; text-indent: 28px; text-wrap: wrap;"">本专业培养德、智、体、美全面发展，具备现代的教育理念、良好的专业基础理论和运动技术、技能；能胜任中小学体育教学、训练与竞赛工作，并能从事体育科学研究、学校体育管理等工作的一专多能的体育教育人才。</span></p>"
58_1819,58,1819,英语,四年,文学学士,本科(普通),文学,外国语言文学类,<p>四年制本科。培养能够胜任大中专院校、中学英语教学任务及从事外贸、外事、文秘、翻译工作的高级专门人才。07年该专业共设置两个方向：教育方向和翻译方向。一、二年级两个方向共同开设基础课程。</p>
58_1831,58,1831,生物科学,四年,理学学士,本科(普通),理学,生物科学类,<p>四年制本科，湖南省示范性重点专业。主要培养掌握生物科学的基本理论、基本知识和实验技能，能在高等和中等学校进行教学和教学科研的教师、教学科研人员，以及其他教育工作者，能在科研机构从事科学研究，在工业、 医药、食品、农、林、牧、渔、环保、园林等企业、事业和行政管理部门从事与生物科学相关的应用研究、技术开发、生产管理和行政管理等工作的高级专门人才。主要开设植物学、动物学、微生物学、植物生理学、生理学、生物化学、分子生物学、遗传学、人体组织解剖学、发育生物学、生态学、生物教学论、教育学、心理学等课程。</p>
58_1834,58,1834,教育学,四年,教育学学士,本科(普通),教育学,教育学类,<p>四年制本科。主要培养社会各部门教育科学教学科研人员、管理人员、思想教育工作者及中学心理教育课程骨干教师。主要专业课程有教育学原理、课程与教学论、德育原理、普通心理学 、教育心理学、教育社会学、教育经济学、教育科研方法、中外教育史、教育哲学、现代教育技术基础、学校管理学、教育统计测量与评价等。</p>
58_1811,58,1811,思想政治教育,四年,法学学士,本科(普通),法学,马克思主义理论类,<p>四年制本科。培养具有哲学、法学、管理学和教育学等多种学科基本理论知识，能在中等以上学校从事马克思主义理论和思想政治教育学科的教学、科研工作的高级专门人才和党政机关、新闻机构、企事业单位从事理论宣传、教育及思想政治工作的复合型人才。主要开设马克思主义哲学、政治经济学、毛泽东思想概论、邓小平理论概论、伦理学、政治学、现代管理学、世界政治经济与国际关系等20多门必修课和社会调查理论等近40门选修课程。本专业授予法学学士学位。</p>
58_1867,58,1867,化学,四年,理学学士,本科(普通),理学,化学类,<p>四年制本科。湖南省重点本科专业，主要培养各类高等学校、高级中学、中等专业学校的化学师资和企事业单位的科研开发与管理人才。开设无机化学、分析化学、有机化学、物理化学、结构化学、化学工程基础、仪器分析、化学实验（基础性实验、综合性实验、研究性实验）、中学化学教学论、现代无机化学、高分子导论、化学信息学、有机合成、环境化学、生物化学、催化原理、计算机化学、化学化工管理、化学前沿讲座等专业课程。</p>
58_1852,58,1852,历史学,四年,历史学学士,本科(普通),历史学,历史学类,<p>四年制本科。培养具有历史学基本理论、基础知识和基本技能，具有较宽的知识面，胜任历史和相关学科教学、科研以及在企事业单位从事宣传、文秘、行政等工作的人才。开设书法、教育学、心理学、学科教学论、大学语文、中国古代史、中国近代史、中国现代史、中国当代史、世界古代史、世界近代史、世界现代史、历史文选、社会学、政治学、文化学、中国古代文化史、历史文献学、西方史学史、中外政治制度史等多门必修课、选修课。</p>
58_1840,58,1840,医学检验技术,四年,理学学士,本科(普通),医学,医学技术类,<p>该校医学检验专业是办学历史较长的传统专业，经过长期的发展和建设，逐步形成了本专业的办学特色：①品质与能力并重，教书与育人交融；在临床工作中医学检验人员发出的检验报告，是临床医师诊断疾病的重要依据，是某些疾病诊断的“金标准”。它关系到医师和病人及其家属对治疗方案、手术范围、治疗费用等方面的抉择。某些检验结果，人们形容为“生死判决书”。这人命关天的工作，要求检验技术人员具有对病人高度负责的精神和过硬的专业技术本领。为此，培养医学检验人才，我们始终坚持的教育理念是“品质与能力并重，教书与育人交融”。我们寓育人于专业技术培养的各个环节，把学生的道德品质培养贯穿于学生专业学习的全过程。用人单位一直反映该校医学检验专业毕业生既具有良好的业务素质，又具有良好的道德品质和团队精神。②突出形态学教学优势；尽管如今医学检验项目已由过去的手工操作为主向仪器化、自动化、智能化方向转变，但诸多形态学检验项目仍无法被仪器所取代，尚需手工操作完成。因此，敏锐的形态观察和分析能力是医学检验技术人员和病理医师的“真功夫”，且这种观察分析能力的培养需要系统而反复的训练。根据用人单位反映，该校医学检验专业的毕业生在形态学检验方面表现出明显的强势，其原因是我们对形态学教学的充分重视，在教学时间和教学条件上给予充分的保障，使形态学教学达到理想的效果，成为该校医学检验专业毕业生的特色。毕业生进入单位后能很快地独立承担本科室的各项检验工作，尤其是在形态学检验方面，对异常病变和稀有标本具有较强的分析判断能力，检验报告的准确率较高。③培养宽厚基础的应用型人才；50年来该校医学检验专业在注重学生动手操作能力和观察分析能力培养的同时，也非常注重宽厚的专业知识和综合素质的培养：在进行专业基础课和专业课的教学中，始终注意将新的理论知识和研究成果渗透到各相关的教学内容中，本专业还加强了其它相关自然科学、技术科学和人文科学课程的学习，以培养学生的综合素质，坚持把教学和科研相结合，安排学生参与一些科研实践活动，有效地培养了学生应用知识解决实际问题的能力，开拓了学生的创新精神。</p><p>培养目标：</p><p>本专业培养适应社会主义现代化建设需要、德智体全面发展，具有从事医学检验科学技术或管理工作理论知识和实际能力的高级医学检验人才；高、中等医学院校师资和科研人才。</p><p>本专业毕业生面向省内外的各级医院的临床检验室、血站、防疫站、医学基础和临床实验室和研究室、职防所、临检中心、检疫中心、仪器和试剂公司、生物制剂公司等。截止2012年本专业的毕业生就业率在95%以上。</p>
58_1842,58,1842,药学,四年,理学学士,本科(普通),医学,药学类,<p>湖南师范大学医学院药学专业，2009被湖南省教育厅确定为省级特色专业。始创于1954年，是该校医学院办学历史最长、基础最雄厚、社会影响较大的专业之一，至今已有五十余年的历史。1993年前，该校药学专业为湖南省唯一西药高等药学人才培养基地，为湖南省各级医药单位和研究部门培养了大量的药学高级专门人才。经该校培养毕业的学生深受用人单位和社会的欢迎，许多毕业生已成为我省医药和卫生行业的技术骨干和管理干部，为湖南省药学事业的发展做出了重要贡献。该校药学专业于2001年被省教育厅定为省级专科重点专业。2002年招收了第一届普通全日制本科生。2004年被确定为湖南省本科重点建设专业，如今拥有“生药学”和“药物分析”二个硕士点，于2004年开始招收硕士研究生。50余年来，药学专业以踏实的创业精神，创建了我省培养高级药学人才的基地，已为湖南乃至全国输送药学专业人才达4500多人。2011年“生药学”学科获批湖南师范大学“十二五”校级重点学科。</p><p>本专业师资力量雄厚。拥有硕士生导师11人，其中教授4人，拥有博士学位者6人，硕士学位者8人。</p><p>各学科带头人均具有高学历、高职称，并有明确的科研发展方向。该校药学专业教师来自北京大学、中国药科大学、沈阳药科大学、中山大学、四川大学、华中科技大学、湖南大学、中南大学等国内著名高校，并拥有一定数量的学术带头人和相当数量的教学科研骨干，师资队伍结构基本为研究生学历教师为主，形成了职称、学历、年龄、学缘结构合理的教学队伍。</p><p>专任教师中，均具有讲师以上职称，均已取得高等学校教师资格。所有具有正副教授职称的教师都进入了教学第一线，每学年至少为本科生讲授1～3门课程。专业必修课、专业限选课等全由讲师以上职称的教师授课</p><p>在基本教学条件上，医学院在地域上相对独立，环境优美，教学、实践、科研设施好。拥有独立的教学及实验大楼，教学使用面积3.5万m2，其中学生实验用房面积7634 m2。有专业教学、实验、办公用房共61间，面积达3000m2。教学仪器设备齐全，价值661.7多万元，其中大型教学仪器设备价值352万元。2003年至2008年新添置仪器设备价值280余万元。教学设备先进、完善，配备了多功能的多媒体理论教学授课场地 。</p>
58_1822,58,1822,物理学,四年,理学学士,本科(普通),理学,物理学类,<p>四年制本科。主要为科研、教育、企业和管理部门培养从事研究、教学、应用开发和管理工作的高级人才。主要开设力学、热学、光学、电磁学、原子物理、理论力学、电动力学、量子力学、理论力学、热力学与统计物理、数理方法、现代光学与光电子学、计算机操作系统、微机原理与应用、量子信息等专业课程。</p>
