special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
64_2209,64,2209,麻醉学,五年,医学学士,本科(普通),医学,临床医学类,学制： 五年  授予学位：医学学士</br>培养目标：培养适应我国新时代中国特色社会主义建设，特别是健康中国战略及医疗卫生事业发展需要，德、智、体、美、劳全面发展，掌握基础医学、临床医学及麻醉学相关的基础理论、基本知识和基本技能，具有良好职业素养、创新精神、健康管理和终生学习能力的应用型医学人才，毕业后能在临床麻醉、重症医学、急诊急救、疼痛诊疗及相关领域工作。</br>主干学科：基础医学、临床医学、麻醉学</br>核心课程：系统解剖学、组织学与胚胎学、生理学、生物化学、医学微生物学、病理学、药理学、病理生理学、麻醉药理学、麻醉设备学、麻醉生理学、麻醉解剖学、诊断学、外科学总论、内科学、外科学、妇产科学、儿科学、神经病学、临床麻醉学、危重病医学、疼痛诊疗学</br>专业优势与特色：麻醉学专业属于医学门类，我校于2003年设置该专业，2011年经国务院学位委员会批准获硕士学位授予权，开始招收硕士研究生。2013年被评为山东省特色专业，2015年被评为山东省应用型人才培养特色名校省财政重点支持专业建设项目，同年附属医院麻醉科被山东省卫生与计划生育委员会评为山东省临床重点专科。2019年被评为山东省一流专业。自麻醉学专业开办以来，本科毕业生就业率高，就业层次高，考研率高，得到了毕业生和用人单位的认可。</br>就业方向及形势：滨州医学院麻醉学专业培养具有基础医学、临床医学和麻醉学全面才能的临床医师，毕业后能在各级医院麻醉科、疼痛科、急救中心、重症医学科（ICU）等部门工作的医高级专门人才。目前，全国麻醉医师需求巨大，麻醉学专业就业形势良好，本科毕业生就业率较高，毕业生待遇较好。</br>
64_2205,64,2205,护理学,四年,理学学士,本科(普通),医学,护理学类,"培养适应医药卫生事业发展和现代高等护理教育事业发展需要，德智体美劳全面发展基础扎实、技能熟练，具有基本临床护理能力、初步的教学能力、管理能力、科研能力以及终身学习能力，能够在各级医疗卫生保健机构从事护理工作的应用型专业人才。</br>
滨州医学院重点学科、山东省高等学校特色专业、教育部、财政部批准为国家级特色专业建设点、硕士学位授予权点、山东省名校工程重点建设专业和应用型人才培养专业发展支持计划、山东省高水平应用型重点立项建设专业建设群、山东省教育服务新旧动能转换专业对接产业项目；在艾瑞深中国校友会网2017年中国大学护理学本科专业排行榜中位列第16名，山东省第2名；2018年“软科中国最好学科排名”中位列第16名，山东省第2名。"
64_2206,64,2206,生物技术,四年,"理学学士,工学学士",本科(普通),理学,生物科学类,"学制：四年  授予学位：理学学士</br>
培养目标</br>
培养适应我国经济社会发展需要，德智体美劳全面发展，具有社会责任感和良好职业素质，掌握生物科学与技术的基础理论、基本知识和基本技能，能在生物技术相关领域尤其是生物医药领域从事科学研究、技术开发、产业应用、人才培养及管理等方面工作的高素质应用型人才。</br>
主干学科</br>
生物学、基础医学、药学。</br>
核心课程</br>
普通生物学、微生物学、生物化学、细胞生物学、医学免疫学、遗传学、分子生物学、基因工程、细胞工程、酶工程、生物技术制药。</br>
专业优势与特色</br>
生物技术专业先后被评为省级特色专业、国家级特色专业、省级一流本科专业，设有生物学一级学科硕士点，致力于培养具有医药背景的生物医药行业紧缺人才。</br>
有专业教师32人，其中教授8人，副教授11人，有首批全国高校黄大年式教师团队1个，中组部青年千人1人，省级教学名师3人，泰山学者等省级人才3人。</br>
拥有山东省高校医学生物技术重点实验室等科研平台。依托药学院实验教学中心，占地面积6000余平方米，仪器设备价值5000余万元，为学生提供优良的教学科研条件。</br>
专业坚持校企合作协同育人，拥有30多个实践教学基地，与荣昌生物制药公司在“规模化哺乳动物细胞培养”方向合办了“2.5+1.5”生物技术卓越班，学生就业和升学率居省内同类高校前列。</br>
就业方向及形势</br>
可以在生物技术企业、科研院所、医院、政府机关和事业单位等从事科学研究、技术开发、产业应用、人才培养及管理等方面工作；也可继续攻读生物学方向硕士、博士学位，成为生物技术领域的顶尖人才。近三年毕业生就业率99%以上，考研录取率40%以上，多名学生考入北京协和医学院、中国科学技术大学、复旦大学、上海交通大学、华中科技大学、山东大学等双一流高校。</br>
</br>"
64_2221,64,2221,药学,四年,理学学士,本科(普通),医学,药学类,学制：四年  授予学位：理学学士</br>培养目标</br>培养适应我国经济社会发展特别是医药卫生事业发展需要，德智体美劳全面发展，具有良好职业道德和素质，系统掌握药学学科基础知识、基本理论和基本技能，毕业后能在药物研发、生产、检验、使用和管理等领域从事药物发现和评价、药物制剂设计与制备、药品质量标准研究和质量控制、药品管理以及药学服务等工作的应用型药学人才。</br>主干学科</br>药学、化学和生物学。</br>核心课程</br>有机化学、分析化学、物理化学、人体解剖生理学、生物化学、微生物学与免疫学、药物化学、天然药物化学、生药学、临床医学概论、药剂学、药理学、药物分析、药事管理学、生物药剂学与药物动力学。</br>专业优势与特色</br>药学专业是省级一流专业、省级特色专业、山东省高水平应用型专业群核心专业，拥有药学硕士专业学位授予权，致力于培养医药行业紧缺的具有医学背景的药学人才。</br>现有专任教师50名，其中教授16名，副教授25名，双师型教师18名，硕博比为97.6%。拥有省级教学名师3人，山东省有突出贡献青年专家1人，泰山学者特聘专家及泰山产业领军人才3人，泰山学者青年专家2人，烟台市“双百计划”创新人才1人，山东省青创人才引育团队1支。</br>专业拥有省医药卫生重点实验室和校企共建的GMP药物工艺（中试）车间等科研平台。依托药学院实验教学中心，占地面积6000余平方米，仪器设备价值5000余万元，为学生提供优良的教学科研条件。</br>专业依托30余家药企组成的药学院理事会，走出校企合作联合办学的特色之路，分别与北大世家成立“3+1”药学精锐班、威高集团成立“3+1”药学青竹班，既拓宽了学生的专业视野，提高了学生综合能力，又为学生学习、实习、就业搭建了平台。</br>就业方向及形势</br>可以在国内大中型制药企业（理事会单位优先录用）、科研院所、医院、政府机关事业单位从事药物研究、药物制剂、质量控制、药品管理以及药学服务等工作；也可继续攻读药物化学、药剂学、药物分析、药理学、药事管理学等相关学科的硕、博士学位或出国留学深造。近三年本科毕业生就业率97%以上，考研录取率40%以上，多名学生考取包括中国药科大学、沈阳药科大学、中国海洋大学、复旦大学、山东大学、南京大学等著名医药院校</br></br>
64_2229,64,2229,中药学,四年,理学学士,本科(普通),医学,中药学类,学制：四年  授予学位：理学学士</br>培养目标</br>培养适应社会主义现代化建设和中医药事业发展需要，德智体美劳全面发展的，掌握中药学基础理论、基本知识、基本技能，具备中医药思维、中国传统文化知识以及一定的人文社会科学、自然科学知识，具有良好的思想道德、职业素养、创新创业意识、传承传统中药学理论和技术的能力、自主学习和终身学习以及社会服务的能力，能够从事中药生产、检验及药学服务等方面工作的知识、能力、素质协调发展，具有社会责任感，基础扎实、创新精神和实践能力强的应用型人才，毕业后能在中药教育、研究、管理、流通、国际交流及文化传播等领域工作。</br>主干学科</br>中药学、中医学、化学。</br>核心课程</br>中医学基础、临床中药学、方剂学、药用植物学、中药化学、中药药剂学、中药鉴定学、中药炮制学、中药药理学、中药分析、药事管理学。</br>专业优势与特色</br>中药学专业成立于2016年，是山东省高水平应用型专业群核心专业，培育医学背景的中药学人才。</br>现有专任教师20余名，硕博比为100%。拥有泰山产业领军人才1人，北京市科技新星与领军人才1人，中华中医药学会中青年创新人才1人。拥有山东省青创人才引育团队、山东省动物类中药创新研究院等科研创新团队。</br>拥有国家中医药管理局重点研究室、省医药卫生重点实验室、省中医药管理局重点实验室等省部级科研平台。依托药学院实验教学中心，占地面积6000余平方米，仪器设备价值5000余万元，为学生提供优良的教学科研条件。</br>依托30余家药企组成的药学理事会，坚持产学研融合的实践教学之路，可为学生提供中药材种植-饮片鉴定-复方调制-现代制剂生产全环节的学习、实践和就业机会。</br>就业方向及形势</br>可以在中药学相关企业、科研院所、医院、政府机关事业单位等从事科学研究、技术开发、产业应用及管理等方面工作；或在国内外科研院所攻读中药学及相关学科方向硕士、博士学位，成为中药学领域的顶尖人才。2020年，首届毕业生考研率为31%，其余学生均已签订就业协议。</br></br>
64_2216,64,2216,统计学,四年,理学学士,本科(普通),理学,统计学类,"学制：四年         授予学位：理学学士</br>
培养目标：培养适应经济社会发展需要，德智体美劳全面发展，具有一定的医学基础知识、良好的数学素养，掌握现代统计学和健康医疗大数据有关的基本理论、方法、数据管理、统计分析软件，能从事统计调查、数据管理、统计分析、统计监督、统计信息服务等的应用型人才。</br>
主干学科：统计学、预防医学。</br>
核心课程：健康医疗大数据概论、医学概论、高等数学、高等代数、概率论与数理统计、数据库技术及应用、程序设计基础（Python）、卫生统计学、统计软件应用、调查技术与方法、多元统计方法、实验设计与统计分析、时间序列分析、统计预测与决策、流行病学。</br>
专业优势与特色：1. 山东省一流本科建设专业建设点、应用型人才培养特色名校重点建设专业；2.全国医学院校唯一拥有以国家级统计学杂志（《中国医院统计》）为支撑的高校专业；3.以健康医疗大数据为方向，以医学背景、数学基础、计算机技术、预防医学为专业能力培养平台，以全国大学生市场调查与分析大赛、全国大学生数学竞赛、全国大学生创新创业项目建设等为创新人才培养载体，构建应用型统计学人才培养体系。</br>
就业方向与形势：随着“互联网+医疗健康”与大数据应用的飞速发展，统计学专业的重要性与日俱增，国内外从事健康医疗大数据、生物统计工作的专业人才存在大量缺口。就业方向主要为各级卫生行政机关、医院、疾病控制、医药部门、科研机构等，从事与生物医学数据分析等相关工作。每年约40%左右考取研究生，就业率100%。新冠疫情中，世界各地的卫生统计学者在疫情流行病学调查资料分析、疫情预评估等方面发挥了重大作用，为疫情防控决策提供了科学依据。后疫情时代统计学专业就业前景将更加广阔。</br>
人才发展远景：卫生事业情势的掌控者，卫生事业布局的指南者，卫生事业科研的领导者。</br>"
64_2208,64,2208,医学影像学,五年,医学学士,本科(普通),医学,临床医学类,学制：五年  授予学位：医学学士</br>培养目标  培养适应我国医药卫生事业现代化发展需要的，德智体美劳和实践创新能力等全面发展，具有较高素质和工作能力，具有基础医学、临床医学、医学影像学的基础知识和技能，毕业时能在医疗卫生单位从事医学影像诊断（包括超声医学）、介入放射学、医学成像技术和放疗物理等方面工作，掌握科学方法，具备终生学习和进一步深造的扎实基础和能力的应用型医学影像学专业人才，毕业后能够在上级医师指导和监督下在各级医疗卫生机构开展安全有效的医疗实践。</br>主干学科  基础医学、临床医学、医学影像学</br>核心课程  系统解剖学、生理学、生物化学与分子生物学、病理学、断层解剖学、诊断学、外科学总论、内科学、外科学、妇产科学、儿科学、医学影像检查技术学、医学影像诊断学、医学超声影像学、介入放射学、影像核医学与分子影像。</br>专业优势与特色  本专业是学校传统优势专业、山东省一流专业，依托省级重点建设专业群、省级一流学科、省级协同创新中心，建有MRI、CT、DR等大型仪器设备虚拟仿真实验中心、PACS图像处理分析实验室以及分子影像、脑功能科研平台，师资力量雄厚，见习医院均为三级甲等综合医院。本专业注重新医科发展、医教协同育人，注重培养学生的创新实践能力、临床综合能力，培养具有发展潜力的高层次应用型人才。</br>就业方向及形势  本专业学生毕业后可以选择考取硕士研究生继续深造学习；也可在医疗卫生单位从事医学影像诊断、介入放射学、超声医学和核医学科医师等方面的工作。近年来，国家不断加大对医疗卫生事业投入，各种高端大型影像设备逐渐普及，目前国内各级医疗卫生单位对医学影像专业人才需求较大，毕业生具有良好的就业前景。据麦可思报告分析，近三年，本专业毕业生就业率达92%以上，就业专业对口率达90%以上。</br>
64_2207,64,2207,临床医学,五年,医学学士,本科(普通),医学,临床医学类,"培养适应我国经济社会发展特别是医疗卫生事业发展需要，德智体美全面发展，掌握基础医学、临床医学及相关学科的基础理论、基本知识和基本技能，具有良好职业素养、创新精神、健康管理和终生学习能力的应用型医学人才，毕业时能够在上级医师指导和监督下在各级医疗卫生机构开展安全有效的医疗实践。</br>
临床医学专业是我校最具传统优势的五年制本科专业之一，现为国家特色专业建设点、教育部“本科教学工程”地方高校第一批本科专业综合改革试点、山东省名校建设工程应用型人才重点建设专业、山东省普通本科高校应用型人才培养专业发展支持计划建设专业、山东省高水平应用型重点立项建设专业（群）、山东省教育服务新旧动能转换专业对接产业项目，2013年以优异成绩通过国家教育部临床医学专业认证。"
64_2217,64,2217,儿科学,五年,医学学士,本科(普通),医学,临床医学类,"学制：五年  授予学位：医学学士</br>
培养目标： 培养适应我国经济社会发展特别是医疗卫生事业发展需要，身心健康，能够掌握基础医学、临床医学、儿科学的基础理论、基本知识和基本技能，具有较高的思想道德素质、较强的服务意识、独立创新精神及独立社会适应能力的应用型人才，毕业后能在儿科相关的各级医疗卫生机构从事儿科和儿童保健工作或医学研究的儿科医学专门人才。同时能在上级医生指导下安全有效的从事医疗实践，并具有在儿科医学学科领域进一步学习和深造的潜能。</br>
主干学科：基础医学、临床医学、儿科学</br>
核心课程：组织学与胚胎学、人体解剖学、生理学、生物化学、医学免疫学、医学微生物学、药理学、病理生理学、诊断学、内科学、外科学、妇产科学。</br>
专业优势与特色：自建校以来儿科学就是我校的一门重要学科，儿科学教研室率先开展了“以病例讨论为导向，改革临床医学《儿科学》理论和见习教学模式的研究”，早在 1999年就被确定为山东省省级教学改革试点课程，获得2009年山东省省级优秀教学成果二等奖。2012年儿科教学团队获得山东省高等学校省级教学团队。作为主编、副主编参编多部儿科优秀教材，其中案例版《儿科学》教材全国反应良好。儿科教学团队师资力量雄厚，教学经验丰富，现有授课教师60余名，其中教授5人，副教授7人，全部为硕士及以上学历，山东省教学名师2人。在教学中积极探索和深化教学改革，采用多种教学方法，教学成果显著，理论授课成绩名列前茅。自2016年开始招收临床医学儿科学方向本科生，2018年开始招收儿科专业本科生，目前已培养儿科方向本科生200余人。</br>
就业方向及形势：随着国家计划生育二胎政策的放开及社会对儿科医疗服务的需求日益增长，目前中国每1000个孩子仅有0.63名医生现状，儿科医生缺口大，就业形势乐观。儿科专业毕业生可以到各级医疗卫生单位从事儿科相关的医疗、保健、预防、教学及科研等工作。</br>"
64_2234,64,2234,眼视光学,四年,理学学士,本科(普通),医学,医学技术类,"学制：四年   授予学位：理学学术</br>培养目标：培养适应我国医疗卫生初级保健事业发展需要，德智体美全面发展，具有医学常识和眼保健能力，掌握眼视光学的基础理论、基本知识、基本技能及常见眼病识别能力，掌握屈光不正的矫治、老视验配等技术，掌握医学验光、低视力康复及双眼视觉功能的检查、诊断和处理，能够进行视力矫正、双眼视功能康复、近视防控、眼科基础保健以及眼科特殊检查等工作的应用型眼保健人才。</br>主干学科：基础医学、眼视光学</br>核心课程：生理学、生物化学、病理学、系统解剖学、组织学与胚胎学、眼视光应用光学、眼科学基础、眼病学、斜视弱视学、眼镜学、接触镜学、眼视光器械学、眼视光学理论与方法</br>专业优势与特色：为山东省高水平应用型重点立项建设专业（群），山东省惟一医学技术一级硕士学位授予（眼视光）单位，山东省一流本科专业建设点。拥有高质量专业师资及国家、省级重点临床学科实习单位。以眼科功能性疾病为基本识别点，全面围绕双眼视觉功能健康为核心，突出眼视光专业所具备的眼保健功能，突出眼视光专业的视力康复功能，打造""一个核心、两个突出""的专业特色。</br>就业方向及形式：毕业后能在医院眼视光中心、眼科特检中心、眼镜企业或视觉科学研究等领域工作以及继续攻读硕士、博士学位。我校毕业生考研录取率在30%左右，考入学校包括北京大学、中山大学、天津医科大学等双一流高校。就业率高，用人单位满意度高。特别是2018年习近平总书记倡导全社会要关心青少年近视问题，目前社会对近视防控人才需求量极大，这也是我校眼视光学专业的教学特长。</br>"
