special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
103_4625,103,4625,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>本专业由我校与台湾海洋大学联合培养，旨在培养德、智、体全面发展，具备现代船舶与海洋工程装备设计、研究、建造的基本技能和管理基础知识、计算机编程及应用能力，能从事船舶与海洋结构物设计、研究、制造、检验、使用和相关管理工作的船舶与海洋工程学科高级工程技术人才。学生毕业后，可到船舶与海洋工程设计研究单位、海事局、船级社与船舶检验部门、造船厂、船舶公司、高等院校、航运管理等部门从事船舶与海洋结构物设计、研究、制造、检验、使用、教学和管理等工作，也可到机电装备制造行业相关单位就业。</p>
103_4634,103,4634,车辆工程,四年,工学学士,本科(普通),工学,机械类,<p> 本专业为国家级特色专业，教育部卓越工程师教育培养计划学科专业。主要培养具备汽车理论、汽车设计、汽车计算机控制与机电一体化技术以及汽车制造、试验技术、运用与管理等方面知识和能力的高级工程技术人才。本专业注重培养学生扎实的理论知识、工程技术基础和系统的专业知识及较强的实践动手能力；实行机械大类培养，理论基础课和技术基础课设置与机械设计制造及自动化专业相同。使学生既具备机械设计制造及自动化专业基础知识，又具有车辆工程专业知识。学生毕业后可在汽车制造、特种车辆、工程机械及其零部件制造、公路、城市交通管理等企事业单位从事整车、零部件及其电子控制系统的设计开发、试验研究、汽车运用、售后服务、维修与管理等方面工作。优秀毕业生可直接推荐硕、博连读。</p>
103_4603,103,4603,资源勘查工程,四年,工学学士,本科(普通),工学,地质类,<p>本专业为国家级本科特色专业和教育部首批卓越工程师教育培养计划专业，入选福建省专业综合改革试点。以校企联合的紫金模式为办学特色，依托国家级工程实践教育中心，采用3（年理论）+1（年实践）的人才培养模式，突出实践能力的训练，培养具有扎实的地质矿产勘查基础理论知识，掌握地质矿产调查与勘探的室内、外工作方法与技能，具备分析和研究矿床形成规律、经济技术条件和进行数据采集、处理、解释、应用的能力，能在区域地质调查、固体矿产勘查与开发利用等领域从事勘查、评价、研究和管理的高级工程技术人才。学生毕业后主要在地矿勘查单位、矿山、国土资源部门和相关科研单位就业。</p>
103_4623,103,4623,法学,四年,法学学士,本科(普通),法学,法学类,<p>本专业旨在培养契合社会发展需要，具有良好法律职业道德与现代法治理念，系统掌握法学基本理论与基础知识，熟悉法律实务，能够运用法学理论与法律知识分析并解决法律问题的服务东南区域社会经济发展应用复合型法律人才，以期为立法机关、司法机关与司法行政机关、律师界、企事业单位及福建省特色产业输送具有法治理念、国际视野、创新思维与实践能力的高素质复合型法律职业人才，同时为研究生教育提供优质生源。</p>
103_4636,103,4636,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>本专业由我校与台湾东华大学联合培养。本专业是研究电能的生产、传输、分配、变换、控制和利用的学科，具有强弱电相结合、软硬件相结合、元件与系统相结合的特点。学生通过接受电工、电子、信息、控制及计算机技术方面的基本训练，掌握电气工程领域相关的基础理论、专业技术和实践能力，具备解决电气工程领域中的装备设计与制造、系统分析与运行及控制问题的基本能力。本专业培养具有创业意识和创新能力，能在电气工程领域所属的设备制造企业、研究所及设计院从事电机电器设计与控制，电力电子与电力传动，以及电力系统运行、设计、管理等工作，也可在其它部门从事电气技术运行管理工作的复合应用型工程科技人才。</p>
103_4629,103,4629,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>本专业2016年9月通过了IEET工程教育专业认证。通过学习电子信息工程领域的基础理论、专业知识，以及相应的实践训练，使学生掌握信号与信息处理、电子与电路设计和信息传输等方面知识，具备一定的系统分析和解决复杂工程问题能力，具有持续学习和研究的能力，具备良好的项目执行、团队协作和组织管理能力。能够胜任电子电路、信息与通信系统的设计、开发和应用工作。毕业后可以从事电子系统设计，单片机与嵌入式系统开发、计算机网络应用、计算机图像图形处理、多媒体通信等方面的研发、生产、应用以及技术管理等方面的工作。</p>
103_4628,103,4628,物流管理,四年,管理学学士,本科(普通),管理学,物流管理与工程类,<p>本专业为省级特色专业，培养具有系统的经济学、管理学基础理论，掌握现代物流与供应链系统分析、设计、运营、管理的基本理论、方法与技术，能在企业、科研院所以及政府部门从事供应链设计与管理、物流系统优化及运营管理等方面工作的高层次复合型应用型人才。毕业后可在专业物流企业从事组织和管理工作，在制造企业从事物流相关业务的运作和管理工作，在外贸进出口公司、货代公司及保税区从事国际物流及国际货运代理工作，在连锁流通企业从事采购、配送管理工作，在交通运输企业从事运输组织和管理工作等。</p>
103_4627,103,4627,物流工程,四年,管理学学士,本科(普通),管理学,物流管理与工程类,<p>本专业注重自然科学与人文科学、工程技术与管理科学的渗透和交融，培养具有面向现代物流系统进行分析、设计、运作、优化和管理能力的复合型高级物流工程规划与管理人才。毕业后学生将掌握物流系统运作与管理、物流技术的应用与集成等基础知识与基本技能，具备现代物流理念，兼具工程技术与管理才能，能够从统筹的视角认知、分析、解决复杂物流系统运作和管理问题，可以在专业物流企业、大型制造企业、连锁零售企业、港口、站场和管理咨询公司从事物流工程项目运营管理、物流规划、物流咨询等工作。</p>
103_4630,103,4630,自动化,四年,工学学士,本科(普通),工学,自动化类,<p>本专业培养适应社会发展需要，具备扎实系统的基础理论知识、自动化工程领域专业知识，具有良好综合素质、较强工程实践能力、自我学习能力、适应能力和创新意识，能在国民经济和科研各部门中从事运动控制、过程控制、制造系统自动化、自动化仪表和设备、新型传感器、人工智能与机器人控制、自动化软件技术等领域的科学研究、技术开发、工程设计、系统运行管理与维护、教育和管理决策等工作的高素质工程科技人才。该专业设有5名福建恒锋电子新生奖学金。</p>
103_4635,103,4635,材料成型及控制工程,四年,工学学士,本科(普通),工学,机械类,"<p>本专业按照机械学科大类进行招生与培养,分三个方向：液态成型、塑性成形和连接成形。实行通识教育+专业方向的培养模式，拥有学士-硕士-博士完整的育人体系。培养适应21世纪现代化建设需要，德、智、体等全面发展，具有爱国敬业精神、良好的社会责任感和职业道德，具有扎实的自然科学基础和人文社会科学基础，具备机械、材料、自动控制及数字化设计等学科基础知识，能够借助科学工具将所学知识运用于解决工程实际问题，具有创新精神、团队合作精神、社会交往能力、组织管理能力和终身学习能力，能够在机械工程、材料加工工程及相关装备的设计与制造等领域从事科学研究、技术开发、工程应用、生产组织与管理等方面工作的高级工程技术人才。</p>"
