special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
118_5741,118,5741,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>主干课程：含汉语言文学(师范)、汉语言文学(基地)、汉语国际教育、秘书学专业</p>
118_5622,118,5622,纺织工程,四年,工学学士,本科(普通),工学,纺织类,<p>主干课程:工程力学、电工电子学、机械制图、纺织化学、纺织材料学、纺纱学、织物组织学、长丝工艺学、机织学、针织学、纺织品设计学、计算机信息技术、企业经营与管理、纺织品CAD技术、质量管理工程、纺织专业外语、纺织工艺与产品设计、纹织设计、纺织信息系统与数据库技术等。</p><p>就业方向:在中外企业、科研单位、海关及其他相关部门从事市场营销、纺织品贸易、产品研发、质量检验、生产管理等工作。2015届毕业生就业率为100%。</p>
118_5624,118,5624,档案学,四年,管理学学士,本科(普通),管理学,图书情报与档案管理类,<p>主干课程:信息资源管理、档案学概论、档案管理学、科技档案管理学、档案文献编研学、电子文件管理、数据库原理、档案信息化概论等。</p><p>就业方向:党政机关、事业单位、群众团体和各类大中型企业的综合办公部门、秘书部门、机要部门、档案管理部门、信息中心、网络管理中心、宣传部门等；各级各类档案馆；相关中高等档案职业、专业教育部门；有关科研单位等就业。2015届就业率达86.2%，其中升学、出国7人。</p>
118_5626,118,5626,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,<p>主干课程 普通物理、机械制图、机械设计基础、工程热力学、工程流体力学、传热学、锅炉设备、燃烧理论与技术、流体机械、换热技术与设备、动力机械基础等。</p><p>就业方向 在电厂、供电局、中外企业、高等学校、科研院所从事热能有效利用、热工设备、动力机械和动力工程的设计、制造、运行管理等有关领域的技术和研究工作。</p>
118_5627,118,5627,图书情报与档案管理类,四年,,本科(普通),管理学,图书情报与档案管理类,<p>含档案学、信息资源管理专业。</p>
118_5637,118,5637,生物制药,四年,工学学士,本科(普通),工学,生物工程类,<p>主干课程 细胞生物学、生物化学、医学微生物学、分子生物学、药理学、药剂学、生物药品分析、细胞工程制药、基因工程制药、酶工程制药、生物制药工艺学。</p><p>就业方向 在生物药品生产、检验、流通、使用和研发领域从事生物医药产品的鉴定研究、开发生产及指导临床合理用药。</p>
118_5638,118,5638,护理学,四年,理学学士,本科(普通),医学,护理学类,<p>主干课程 系统解剖学、生理学、生物化学、病理学、药理学、护理伦理学、护理心理学、护理管理学、健康评估、护理学基础、急重症护理学、内科护理学、外科护理学、妇产科护理学、儿科护理学、精神病护理学。</p><p>就业方向 在医疗卫生机构、医学教学科研单位从事临床护理、社区护理、护理教育、护理管理等方面工作。</p>
118_5639,118,5639,药学,四年,理学学士,本科(普通),医学,药学类,<p>主干课程 无机化学、有机化学、分析化学、物理化学、生物化学、解剖生理学、药理学、临床医学概论、药物化学、药剂学、药物分析、药事管理学。</p><p>就业方向 在药品生产、检验、流通、使用和研究与开发领域以及医药科研单位从事药物鉴定、药物研究、药物制剂及临床合理用药等方面的工作。</p>
118_5641,118,5641,医学检验技术,四年,理学学士,本科(普通),医学,医学技术类,<p>主干课程 生理学、生物化学、病理学、药理学、诊断学、内科学、寄生虫学检验、免疫学检验、微生物学检验、临床生物化学检验、临床分子生物学检验、血液学检验、临床检验学、检验仪器分析。</p><p>就业方向 在医疗卫生机构、医学科研单位、生物及制药类企业、医院检验科、血站、卫生防疫部门、高等院校从事医学检验的医疗、教学、科研、管理等方面的工作。</p>
118_5642,118,5642,法医学,五年,医学学士,本科(普通),医学,法医学类,<p>主干课程 系统解剖学、局部解剖学、病理学、诊断学、内科学、外科学、律师公证仲裁制度、证据法学、保险法、刑事科学技术、法医毒物分析、法医病理学、法医物证学、法医毒理学、法医临床学、法医精神病学。</p><p>就业方向 在法医鉴定机构、公安局、检察院、保险公司理赔中心、医院医疗纠纷调解办公室、高等院校和科研单位从事法医学鉴定、教学、科研、管理等方面的工作。近三年累计有33名学生考取公务员。</p>
118_5645,118,5645,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>主干课程:微观经济学、宏观经济学、会计学、中级财务会计、管理学、成本会计、经济法概论、财务管理、管理信息系统、管理会计等。</p><p>就业方向:在政府部门、企事业单位从事会计实务以及教学、科研、管理等工作。2015届毕业生就业率为93%。</p>
