special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
37_549,37,549,物联网工程,四年,工学学士,本科(普通),工学,计算机类,陕西省一流培育专业，培养具备物联网相关的电子、通信、计算机、信息处理等基本理论、专业知识与技能，具有较强的物联网应用系统分析、设计与工程实践能力，能从事物联网设计、组网、部署与综合应用的高级专门人才。主干课程有：程序设计基础、数据结构、模拟电子技术、数字逻辑电路、物联网基础、计算机网络、计算机组成原理、物联网基础、传感网原理及应用、物联网通信技术等。
37_583,37,583,戏剧影视文学,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业培养学生了解我国文化艺术管理的政策法规，熟悉影视戏剧艺术和产业发展前沿，掌握戏剧、影视、广播等学科的历史演变、基础概念、基本原理和戏剧影视创作所需的文化知识、技术方法以及相关的影视戏剧产业运营和管理知识，成为具备较强的剧本创作、艺术批评以及影视戏剧编导、策划、制作能力的高素质复合型人才。适合在全国广播电台、电视台、影视公司、戏剧院团以及与戏剧影视相关的大众传媒、新闻出版、教学科研、文化艺术管理等诸多机构和单位从事文艺创作、策划、编导、编辑、理论研究、宣传、教学等多种专业性工作。
37_616,37,616,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,本专业为教育部特色专业、陕西省一流专业、省级综合改革试点专业。本专业肩负着萃取、传承和发展中华优秀文化的重任，培养学生掌握扎实的人文学科基本知识，掌握系统的汉语言文学基本理论，具备较强的文学感悟能力、文献典籍阅读能力、审美鉴评能力和语言表达能力，成为兼具人文素质、理论修养、实践能力、创新精神和国际视野的高层次复合型人才。适合在文化管理、教育科研机构和新闻出版等部门从事汉语言文学教学与研究、文学创作与批评等工作，或在政府部门、企事业单位从事文秘或宣传等工作。
37_614,37,614,汉语国际教育,四年,文学学士,本科(普通),文学,中国语言文学类,本专业适应21世纪社会主义现代化建设和经济全球化需要，培养具有汉语国际教育教学基本素养和汉、外多语种基础知识及实际运用能力，成为具备较深的中国语言文学专业功底和深厚文化底蕴、具有汉语国际教育教学的基本素养和技能的高素质国际化的应用型人才。适合在国内、外各级各类学校从事汉语国际教育教学工作和双语教学及研究工作，或者在国内、外相关政府部门、文化企事业单位、新闻出版等机构从事文化交流及相关工作。
37_627,37,627,广播电视编导,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业培养学生掌握并运用马克思主义的基本理论，学习艺术、文学、美学、广播电视艺术等方面的基本理论和基本知识，了解我国的文艺政策和世界广播影视产业的最新动态，熟悉广播电视节目编导、策划、制作、管理等基本技能，成为掌握广播电视节目、栏目、频道运营等方面的基本能力的高素质复合型人才。适合在全国广播电影电视系统和文化部门从事广播电视节目编导、策划、制作、营销、管理等方面工作。
37_601,37,601,世界史,四年,历史学学士,本科(普通),历史学,历史学类,本专业是由历史学院与我校优势学科中东研究所通力合作，充分发挥科研与教学相结合的优势而开设的新兴专业。世界史专业具有鲜明的特色和广阔的发展前景，旨在培养视野开阔、知识面广，能够独立从事世界史、国际关系史以及国际法、国际组织等相关学术研究和文化教育的学术人才，以及具有外语特长，在外交外贸、国际交流和新闻出版等部门及各类企事业单位胜任各种涉外工作能力的专门人才。
37_591,37,591,历史学（基地班）,四年,历史学学士,本科(普通),历史学,历史学类,本专业是西北大学历史悠久、学者辈出的优势专业之一，是国家文科基础学科人才培养与科学研究基地。该专业充分利用陕西特有的人文历史资源，以传统史学与现代考古学相结合、扎实的专业基础和广泛的知识视野相结合为教学特色。培养具有较高业务素质、富于创新精神的历史学教学与研究的高级专门人才。
37_1034062,37,1034062,历史学（国学）,四年,历史学学士,本科(普通),历史学,历史学类,本专业是为适应中国现代化进程的加速，以及建立新的和谐社会的战略需求所设置的新兴专业。本专业以西北大学历史悠久、学者辈出的优势专业历史学为基础，以中国传统文化为研究对象，以弘扬优秀的中国文化为目标，通过引导学生学习和传承中华民族的优秀传统文化，以进一步提升学生的自身综合素质，造就新一代的国学研究与实践人才。经过培养后的学生应具有较宽厚的国学专业基础与文化基础，德、智、体全面发展，成为能胜任科研单位、政府部门、大专院校等单位教学、科研工作的复合型人才。
37_589,37,589,文物与博物馆学,四年,历史学学士,本科(普通),历史学,历史学类,本专业是适应国家文化遗产保护事业发展的战略需求，立足考古学专业兴办的本科专业。专业以考古学、文化遗产管理学和文物与博物馆学的综合学习和训练为基础，以文化遗产管理、文化遗产保护规划设计、博物馆展览策划设计为重点，旨在培养具备文博考古、规划设计和运营管理等专业知识和技能的文化事业和文化产业的复合型技能人才。毕业后适合在文化与旅游管理部门、规划设计管理部门、文化与旅游规划设计公司、博物馆、文化创意公司、新闻出版和教育等单位从事相关专业工作。
37_588,37,588,文物保护技术,四年,历史学学士,本科(普通),历史学,历史学类,本专业是陕西省名牌专业、特色专业、“一流专业”建设培育专业。该专业的特点是文、理、工交叉渗透，强调自然科学技术与人文科学知识相结合，理论知识学习与实践操作训练相结合。培养主要涉及文物保护学、化学、考古学、文物学的基本理论与知识，要求学生掌握文物保护与修复的基本方法。专业现拥有国家级实验教学中心、教育部重点实验室、国家文物局重点科研基地等教学、科研平台，同时在故宫博物院、敦煌研究院、秦陵博物院等全国三十余家文博单位建立了教学实习基地。毕业生除了可以在国内外继续攻读文物保护学的硕士及博士研究生外，可以到博物馆、文物考古研究所、文物行政管理部门、高等院校等单位工作。据统计，在我国现有的文物保护和修复专业人员中，50%毕业于西北大学。
